chr	start	end	enhancer_class	n_abc_pairs	mean_delta_abc	mean_delta_unnorm	n_gained	n_lost
chr6	54440765	54440944	Activity_Lost	2	-0.020006	-0.2386645	0	2
chr2	141834156	141834861	Activity_Lost	1	-0.021083	-0.166532	0	1
chr5	49662132	49662464	Activity_Lost	2	-0.0192015	-0.0644095	0	2
chr10	64118764	64119206	Activity_Lost	1	-0.050583	-0.455463	0	1
chr10	7323267	7323619	Activity_Lost	2	-0.015634	-0.104809	0	2
chr10	66228121	66228584	Activity_Lost	1	-0.04115	-0.162668	0	1
chr7	48785286	48785554	Activity_Lost	2	-0.048135	-0.5291385	0	2
chr9	91122535	91122933	Activity_Lost	1	-0.017576	-0.091251	0	1
chr8	26748495	26749211	Activity_Lost	3	-0.0159186666666667	-0.15232	0	3
chr10	108649160	108649602	Activity_Lost	2	-0.026266	-0.102983	0	2
chr6	106920956	106921331	Activity_Lost	3	0.00478933333333333	-0.035006	1	1
chr3	136969785	136970156	Activity_Lost	1	-0.017226	-0.116444	0	1
chr14	16074168	16074527	Activity_Lost	1	-0.021408	-0.090391	0	1
chr1	133978617	133979011	Activity_Lost	4	-0.01250325	-0.08672625	0	2
chr2	138477195	138477759	Activity_Lost	1	-0.006206	-0.07044	0	0
chr9	75785805	75786251	Activity_Lost	1	-0.109804	-0.349146	0	1
chr16	33670397	33670839	Activity_Lost	6	-0.0259705	-0.377970666666667	0	5
chr6	147029703	147030098	Activity_Lost	6	-0.0244258333333333	-0.134516	0	5
chr15	42674884	42675275	Activity_Lost	1	-0.000259	-0.164786	0	0
chr4	75394914	75395290	Activity_Lost	1	-0.01491	-0.044463	0	1
chr9	90700126	90700439	Activity_Lost	1	0.004143	-0.04183	0	0
chr11	18751370	18751894	Activity_Lost	3	-0.0410856666666667	-0.665633	0	3
chr13	108170608	108170917	Activity_Lost	7	-0.0303791428571429	-0.193862285714286	0	7
chr2	73985601	73986146	Activity_Lost	16	-0.018124875	-0.07658875	2	14
chr18	39187783	39188279	Activity_Lost	1	-0.015317	-0.04152	0	1
chr12	118112490	118112942	Activity_Lost	3	-0.00977333333333333	-0.098857	0	2
chr3	69797602	69797953	Activity_Lost	4	-0.02692075	-0.08213175	0	4
chr15	79000527	79001298	Activity_Lost	2	-0.006293	-0.1973455	0	0
chr9	75883696	75884067	Activity_Lost	1	-0.020225	-0.06431	0	1
chr14	60704734	60704831	Activity_Lost	6	-0.015976	-0.0849213333333333	0	5
chr6	86480343	86480876	Activity_Lost	1	-0.01086	-0.143594	0	1
chr14	93876060	93876277	Activity_Lost	1	-0.013558	-0.094248	0	1
chr1	23629387	23629675	Activity_Lost	1	-0.003174	-0.016032	0	0
chr14	122230353	122231045	Activity_Lost	6	-0.022138	-0.635506833333333	0	6
chr15	86234748	86235344	Activity_Lost	1	-0.006735	-0.116616	0	0
chr16	37622984	37623313	Activity_Lost	3	-0.0107846666666667	-0.217860333333333	0	1
chr4	3711906	3712474	Activity_Lost	1	-0.014804	-0.091866	0	1
chr3	140933200	140933477	Activity_Lost	1	-0.046421	-0.181373	0	1
chr13	76301998	76302339	Activity_Lost	7	-0.032358	-0.160917857142857	0	5
chr10	40103852	40104161	Activity_Lost	2	0.0060485	0.005879	1	0
chr15	88579425	88579866	Activity_Lost	3	-0.0384183333333333	-0.550777333333333	0	3
chr6	122782134	122782554	Activity_Lost	4	-0.0224475	-0.149138	0	3
chr3	122247318	122247486	Activity_Lost	2	-0.0207045	-0.31271	0	2
chr16	72800184	72800603	Activity_Lost	1	-0.012852	-0.001986	0	1
chr2	132513552	132514650	Activity_Lost	12	-0.0278698333333333	-0.234934	0	12
chr2	58135113	58135384	Activity_Lost	3	-0.023278	-0.0725606666666667	0	3
chr8	25348126	25348598	Activity_Lost	1	-0.014325	-0.179301	0	1
chr5	106277199	106277616	Activity_Lost	9	-0.0230552222222222	-0.202406	0	9
chrX	158373264	158373559	Activity_Lost	1	-0.028302	-0.021482	0	1
chr19	17136628	17137258	Activity_Lost	4	-0.043092	-0.18010025	0	4
chr6	104318404	104319020	Activity_Lost	1	-0.034125	-0.165941	0	1
chr11	99281267	99281453	Activity_Lost	3	-0.0254456666666667	-0.338482666666667	0	3
chr10	63092679	63093506	Activity_Lost	1	-0.020407	-0.678727	0	1
chr3	79821185	79821424	Activity_Lost	2	0.001636	0.0134495	1	1
chr6	85522824	85523354	Activity_Lost	3	-0.012308	-0.260646	0	3
chr15	68275279	68275999	Activity_Lost	1	-0.008105	-0.093942	0	0
chr12	118098287	118098650	Activity_Lost	3	-0.0251116666666667	-0.0132813333333333	0	3
chr10	20023573	20023922	Activity_Lost	6	-0.015519	-0.0447766666666667	0	4
chr6	51848895	51849483	Activity_Lost	1	-0.004342	-0.042239	0	0
chr11	102748316	102748681	Activity_Lost	1	-0.008915	-0.243048	0	0
chr11	73015929	73016116	Activity_Lost	4	-0.01536475	-0.27688025	0	4
chr3	79823219	79823625	Activity_Lost	2	0.005118	0.0271115	1	1
chr16	72913161	72913603	Activity_Lost	1	0.005758	0.001598	0	0
chr11	31771069	31771887	Activity_Lost	2	-0.0078525	-0.188397	0	1
chr8	57569336	57569673	Activity_Lost	2	0.002147	-0.02673	0	0
chr3	122206092	122206600	Activity_Lost	12	-0.0230969166666667	-0.27422675	1	9
chr1	24227018	24227152	Activity_Lost	1	0.021578	0.059719	1	0
chr6	43402997	43403430	Activity_Lost	1	-0.023448	-0.021657	0	1
chr4	34498691	34499322	Activity_Lost	2	-0.017333	-0.1237095	0	2
chr8	115432576	115433087	Activity_Lost	2	-0.0284715	-0.274724	0	2
chr2	79462015	79462237	Activity_Lost	2	-0.0093935	-0.2263375	0	0
chr4	149461458	149462227	Activity_Lost	6	-0.0498371666666667	-0.596473166666667	0	6
chr4	142077604	142077733	Activity_Lost	1	-0.020469	-0.563475	0	1
chr13	56698381	56698773	Activity_Lost	2	-0.0243975	-0.212129	0	2
chr8	40272330	40272638	Activity_Lost	2	0.007069	-0.0202245	1	0
chr4	3690928	3691521	Activity_Lost	1	-0.048119	-0.295703	0	1
chr16	33862537	33862739	Activity_Lost	1	-0.00808	-0.133585	0	0
chr18	13398074	13398583	Activity_Lost	3	-0.0312023333333333	-0.241482666666667	0	3
chr1	173369759	173369889	Activity_Lost	1	-0.015715	-0.354581	0	1
chr1	137591311	137591583	Activity_Lost	1	-0.0092	-0.028492	0	0
chr10	128938545	128938831	Activity_Lost	7	-0.0415204285714286	-0.533498714285714	0	6
chr1	133873225	133873430	Activity_Lost	2	-0.016072	-0.2169255	0	2
chr15	37432520	37432748	Activity_Lost	1	-0.076627	-0.569025	0	1
chr18	12790606	12790833	Activity_Lost	1	0.003194	0.013435	0	0
chr2	26300363	26301057	Activity_Lost	1	-0.000437	-0.083467	0	0
chr4	81580567	81580904	Activity_Lost	1	-0.021688	-0.093694	0	1
chr6	6115873	6116344	Activity_Lost	1	0.029822	0.0229	1	0
chr8	124494344	124495001	Activity_Lost	4	-0.026561	-0.47424525	0	4
chr6	20604240	20604571	Activity_Lost	2	0.001371	-0.048532	1	1
chr18	38918106	38918867	Activity_Lost	1	-0.010624	-0.351795	0	1
chr17	48598475	48599058	Activity_Lost	15	-0.0370537333333333	-0.316316466666667	0	14
chr17	48583292	48583850	Activity_Lost	1	-0.062115	-0.588514	0	1
chr1	133908645	133909058	Activity_Lost	2	-0.021266	-0.338664	0	2
chr5	28243754	28244049	Activity_Lost	1	-0.014224	-0.448298	0	1
chr18	64844958	64845664	Activity_Lost	1	-0.024273	-0.359318	0	1
chr7	38224959	38225291	Activity_Lost	6	-0.032199	-0.5672695	0	5
chr5	106463746	106464310	Activity_Lost	6	-0.0122186666666667	-0.166087	0	4
chr5	38870049	38870202	Activity_Lost	1	-0.008973	-0.295517	0	0
chr4	9519344	9519571	Activity_Lost	1	-0.022154	-0.17754	0	1
chr4	26000293	26000880	Activity_Lost	1	-0.008111	-0.096435	0	0
chr3	137011627	137011889	Activity_Lost	1	-0.006156	-0.05654	0	0
chr4	6441835	6442031	Activity_Lost	1	-0.012947	-0.106253	0	1
chr8	123898650	123898992	Activity_Lost	1	-0.025261	-0.477521	0	1
chr5	106472347	106472503	Activity_Lost	1	-0.020389	-0.228911	0	1
chr17	25111820	25112370	Activity_Lost	3	-0.0198593333333333	-0.358019333333333	0	3
chr10	59623484	59623822	Activity_Lost	1	-0.026433	-0.379401	0	1
chr16	67850188	67850556	Activity_Lost	1	-0.049143	-0.008951	0	1
chr18	56985526	56985665	Activity_Lost	1	-0.018022	-0.152948	0	1
chr2	75929051	75929406	Activity_Lost	2	-0.020905	-0.0829765	0	1
chr17	10946514	10946879	Activity_Lost	2	-0.0194475	-0.2060095	0	2
chr1	52501829	52502065	Activity_Lost	3	-0.044018	-0.414525	0	3
chr17	42336608	42336930	Activity_Lost	1	-0.005139	-0.050429	0	0
chrX	10268805	10269306	Activity_Lost	2	-0.009239	-0.0830135	0	1
chr12	31917487	31917701	Activity_Lost	1	-0.011006	-0.199469	0	1
chr10	93771898	93772300	Activity_Lost	1	-0.016585	-0.230581	0	1
chr2	57900237	57901046	Activity_Lost	6	-0.00615016666666667	-0.0656385	1	5
chr4	142080905	142081526	Activity_Lost	3	-0.0257506666666667	-0.649615333333333	0	3
chr18	57781548	57781875	Activity_Lost	1	-0.016783	-0.213272	0	1
chr4	135943449	135943716	Activity_Lost	1	-0.019854	-0.386296	0	1
chr19	17159575	17160450	Activity_Lost	6	-0.0146686666666667	-0.0896613333333333	0	5
chr15	41439703	41440225	Activity_Lost	1	-0.008256	-0.112092	0	0
chr12	100857934	100858365	Activity_Lost	1	-0.00951	-0.192545	0	0
chr3	122207872	122208097	Activity_Lost	5	-0.0194256	-0.2573396	0	5
chr6	43295787	43296343	Activity_Lost	4	-0.0156985	-0.06472275	1	3
chr18	13373714	13374425	Activity_Lost	1	-0.018888	-0.104411	0	1
chr1	24586921	24587590	Activity_Lost	1	0.031456	-0.031333	1	0
chr8	57843513	57843877	Activity_Lost	3	-0.0242626666666667	-0.0240256666666667	0	3
chr7	90030600	90030808	Activity_Lost	1	-0.007102	-0.07169	0	0
chr9	79295146	79295671	Activity_Lost	3	0.00753266666666667	-0.0191513333333333	1	1
chr1	167066887	167067216	Activity_Lost	6	-0.00959	-0.158954666666667	1	3
chr18	38213971	38214120	Activity_Lost	3	-0.0105256666666667	-0.255508666666667	0	2
chr7	4783621	4784223	Activity_Lost	7	-0.0416077142857143	-0.943622714285714	0	7
chr8	26441185	26442066	Activity_Lost	4	-0.02028475	-0.4118555	0	4
chr11	99250097	99250505	Activity_Lost	1	-0.014886	-0.176017	0	1
chr17	42190318	42190860	Activity_Lost	3	-0.003603	-0.02254	1	2
chr2	141817580	141818035	Activity_Lost	1	7.6e-05	-0.03943	0	0
chr18	38906328	38906696	Activity_Lost	1	-0.027017	-0.568474	0	1
chr9	100461734	100462016	Activity_Lost	1	-0.021222	-0.366986	0	1
chr10	50063468	50063688	Activity_Lost	2	-0.0203025	-0.041322	0	2
chr9	45291607	45291890	Activity_Lost	6	-0.019727	-0.177115666666667	0	3
chr15	37733503	37733641	Activity_Lost	1	-0.010342	-0.136698	0	1
chr8	124495011	124495112	Activity_Lost	4	-0.026561	-0.47424525	0	4
chr3	104597031	104597592	Activity_Lost	2	-0.018084	-0.242289	0	1
chr6	43337438	43337859	Activity_Lost	15	0.0173652666666667	-0.0202288	8	5
chr12	29878045	29878362	Activity_Lost	1	-0.009659	-0.03689	0	0
chr5	106050906	106051394	Activity_Lost	12	-0.00856758333333333	-0.0820763333333333	1	7
chr9	72155255	72155756	Activity_Lost	2	-0.009641	-0.071639	0	1
chr7	24525814	24525925	Activity_Lost	1	-0.014675	-0.367847	0	1
chr16	33937635	33938060	Activity_Lost	2	-0.003051	-0.1622325	0	0
chr10	108679697	108680150	Activity_Lost	1	-0.018299	-0.116002	0	1
chr8	126735623	126736804	Activity_Lost	3	0.00275533333333333	0.007829	0	0
chr11	102353039	102353506	Activity_Lost	2	-0.026651	-0.429674	0	1
chr10	49789832	49790052	Activity_Lost	1	-0.039408	-0.241328	0	1
chr10	40638897	40639041	Activity_Lost	8	-0.03713275	-0.304696625	0	8
chr3	103573135	103573386	Activity_Lost	2	-0.05723	-0.592111	0	2
chr11	75879941	75880482	Activity_Lost	2	-0.029928	-0.3098285	0	2
chr1	84952439	84952789	Activity_Lost	4	-0.05667825	-0.11461475	0	4
chr15	57578721	57579264	Activity_Lost	5	-0.004788	-0.0295412	1	2
chr1	48753312	48753701	Activity_Lost	1	-0.021875	-0.024942	0	1
chr10	108724942	108725186	Activity_Lost	1	0.000993	-0.084418	0	0
chr9	55273977	55274234	Activity_Lost	2	-0.0081775	-0.0701905	0	0
chr3	75942356	75942889	Activity_Lost	2	-0.0100065	-0.100439	0	1
chr3	109923701	109924131	Activity_Lost	1	-0.006505	-0.056083	0	0
chr4	6444256	6444451	Activity_Lost	1	-0.031156	-0.254263	0	1
chr4	33736106	33736500	Activity_Lost	1	0.002034	-0.003013	0	0
chr15	4815757	4816088	Activity_Lost	1	-0.024785	-0.041214	0	1
chr8	67645561	67646013	Activity_Lost	3	-0.016002	-0.0365653333333333	0	3
chr5	18367885	18368265	Activity_Lost	3	-0.0297076666666667	-0.191696333333333	0	2
chr11	31838493	31838952	Activity_Lost	1	0.000289	-0.064661	0	0
chr3	86963088	86963381	Activity_Lost	3	-0.0220833333333333	-0.0996423333333333	0	3
chr16	13427421	13427550	Activity_Lost	1	-0.023366	-0.053788	0	1
chr3	65108968	65109906	Activity_Lost	2	0.012667	-0.0022615	1	1
chr19	4082632	4082793	Activity_Lost	1	-0.013073	-0.67842	0	1
chr5	120643691	120644410	Activity_Lost	3	-0.0465586666666667	-0.596049666666667	0	3
chr3	65262386	65263468	Activity_Lost	3	0.017213	0.007221	2	0
chr4	137038151	137038357	Activity_Lost	1	-0.005671	-0.101238	0	0
chr9	91126797	91127254	Activity_Lost	8	-0.025268125	-0.289161875	0	8
chr4	69116350	69116740	Activity_Lost	1	-0.009386	-0.120563	0	0
chr15	68286917	68287579	Activity_Lost	7	-0.0189114285714286	-0.120404285714286	1	5
chr2	139197944	139198728	Activity_Lost	2	0.004331	0.006777	1	1
chr19	22437182	22437573	Activity_Lost	1	-0.021478	-0.085025	0	1
chr2	136648563	136649131	Activity_Lost	1	-0.013308	-0.317014	0	1
chr6	5935478	5935895	Activity_Lost	4	-0.00311725	-0.009359	1	2
chr3	122176695	122177249	Activity_Lost	7	-0.0177801428571429	-0.198023285714286	0	6
chr11	94913834	94914184	Activity_Lost	1	-0.011552	-0.156944	0	1
chr15	53748302	53748833	Activity_Lost	7	-0.0363374285714286	-0.114932142857143	0	7
chr9	75430727	75430849	Activity_Lost	3	-0.0118163333333333	-0.125612666666667	0	2
chr14	105779322	105779795	Activity_Lost	1	-0.015325	-0.048925	0	1
chr6	34710338	34710551	Activity_Lost	2	-0.0181565	-0.0489835	0	1
chr10	40638366	40638803	Activity_Lost	8	-0.03713275	-0.304696625	0	8
chr10	25039911	25040260	Activity_Lost	3	0.013684	0.037731	2	1
chr4	86681928	86682171	Activity_Lost	1	-0.044856	-0.209858	0	1
chr13	13573590	13574703	Activity_Lost	6	-0.022343	-0.086927	0	6
chr8	111357188	111357363	Activity_Lost	2	-0.0222165	-0.189864	0	2
chr1	51979012	51979408	Activity_Lost	2	-0.0443545	-0.1508365	0	2
chr15	42309690	42309983	Activity_Lost	4	-0.003076	-0.08030825	1	2
chr3	85590203	85590675	Activity_Lost	2	-0.017797	-0.052602	0	2
chr3	81963892	81964034	Activity_Lost	1	-0.022645	-0.053636	0	1
chr17	87458829	87459639	Activity_Lost	3	-0.0181043333333333	-0.257845	0	3
chr10	109690582	109691058	Activity_Lost	3	0.00491333333333333	-0.0289223333333333	1	1
chr17	80801476	80801988	Activity_Lost	1	-0.015961	-0.14222	0	1
chr11	42927119	42927504	Activity_Lost	4	-0.00897925	-0.08770925	0	3
chr14	122223788	122224201	Activity_Lost	7	-0.0113124285714286	-0.360144142857143	0	5
chr6	54462877	54463100	Activity_Lost	2	-0.012311	-0.1709515	0	2
chr6	83523014	83523473	Activity_Lost	1	-0.00116	-0.031515	0	0
chr13	43725658	43726012	Activity_Lost	2	-0.000226	-0.1315365	0	0
chr3	85534991	85535416	Activity_Lost	2	0.000651	-0.013558	0	0
chr13	101215699	101216249	Activity_Lost	4	0.00300825	-0.04281325	1	2
chr13	30041619	30041780	Activity_Lost	1	-0.012256	-0.106567	0	1
chr10	17253046	17253329	Activity_Lost	2	0.0035135	-0.040606	1	1
chr9	58516512	58516769	Activity_Lost	3	-0.016813	-0.177294	0	3
chr14	60705013	60705269	Activity_Lost	6	-0.015976	-0.0849213333333333	0	5
chr6	88627332	88627871	Activity_Lost	1	-0.006892	-0.125552	0	0
chr16	72795119	72795526	Activity_Lost	1	-0.056824	-0.010364	0	1
chr11	54196018	54196525	Activity_Lost	3	-0.0204933333333333	-0.136992666666667	0	3
chr5	74266352	74266862	Activity_Lost	3	-0.008001	-0.0894876666666667	0	0
chr17	46661292	46661710	Activity_Lost	7	-0.0184304285714286	-0.439338571428571	0	7
chr13	40036996	40037400	Activity_Lost	6	-0.0200488333333333	-0.0350036666666667	0	4
chr2	138792747	138793403	Activity_Lost	4	-0.009522	-0.159551	1	3
chr12	77019952	77020488	Activity_Lost	1	-0.011036	-0.215605	0	1
chr17	80809227	80809681	Activity_Lost	2	-0.017233	-0.172052	0	2
chr7	74398323	74398582	Activity_Lost	1	-0.023237	-0.251769	0	1
chr11	99265269	99265495	Activity_Lost	2	-0.0142705	-0.1937245	0	2
chr6	24097484	24097682	Activity_Lost	2	-0.005889	-0.0445475	0	1
chr6	147030178	147030185	Activity_Lost	6	-0.0244258333333333	-0.134516	0	5
chr8	79208658	79208982	Activity_Lost	3	0.000803999999999998	-0.0484673333333333	1	2
chr14	105718621	105719031	Activity_Lost	1	-0.00438	-0.041084	0	0
chr1	72210947	72211121	Activity_Lost	1	-0.014142	-0.185384	0	1
chr2	93217128	93217409	Activity_Lost	2	0.001941	-0.031841	0	0
chr12	71398636	71399145	Activity_Lost	2	-0.011039	-0.100205	0	1
chr9	37519003	37519277	Activity_Lost	3	-0.012063	-0.0648853333333333	0	1
chr11	18712686	18713131	Activity_Lost	5	-0.0099206	-0.1554644	0	2
chr3	121285328	121285524	Activity_Lost	2	-0.0177605	-0.240396	0	2
chr6	44341562	44341895	Activity_Lost	1	-0.019843	-0.018629	0	1
chr8	111357549	111357782	Activity_Lost	2	-0.0222165	-0.189864	0	2
chr10	128919391	128919606	Activity_Lost	5	-0.00114	-0.032261	0	1
chr19	38237987	38238837	Activity_Lost	15	-0.00994626666666667	-0.070913	2	7
chr14	60368840	60369240	Activity_Lost	1	-0.002772	-0.237916	0	0
chr13	104759374	104759793	Activity_Lost	7	-0.0156751428571429	-0.0798931428571429	0	4
chr2	163433989	163434246	Activity_Lost	6	-0.0221486666666667	-0.2702385	0	4
chrX	162591105	162591481	Activity_Lost	1	-0.039041	-0.218605	0	1
chr1	23656351	23656514	Activity_Lost	1	-0.005195	-0.019923	0	0
chr1	75445101	75445272	Activity_Lost	2	-0.021405	-0.5715165	0	2
chr10	59614262	59614411	Activity_Lost	1	-0.027339	-0.41512	0	1
chr13	101551084	101551424	Activity_Lost	1	-0.00613	-0.082049	0	0
chr10	105578289	105578583	Activity_Lost	3	-0.0730156666666667	-0.881502333333333	0	3
chr16	4976246	4976565	Activity_Lost	1	-0.012594	-0.121024	0	1
chr4	6448667	6448777	Activity_Lost	1	-0.026871	-0.23759	0	1
chr3	51889788	51890299	Activity_Lost	4	-0.0024395	-0.10693725	1	2
chr2	93223397	93223832	Activity_Lost	1	-0.014935	-0.238289	0	1
chr2	41899340	41899653	Activity_Lost	1	-0.020433	-0.005519	0	1
chr16	24149535	24149845	Activity_Lost	1	-0.025081	-0.119512	0	1
chr16	33837373	33837477	Activity_Lost	1	-0.01128	-0.163181	0	1
chr9	66657170	66657572	Activity_Lost	1	-0.015665	-0.164953	0	1
chrX	61722328	61722829	Activity_Lost	10	-0.0361291	-0.1766015	1	9
chr7	139384965	139385464	Activity_Lost	1	-0.023691	-0.711494	0	1
chr4	98587752	98587978	Activity_Lost	1	-0.014114	-0.060809	0	1
chr1	59579354	59579709	Activity_Lost	1	-0.006486	-0.061692	0	0
chr13	20461629	20461975	Activity_Lost	1	0.0358	0.060981	1	0
chr6	51592289	51593090	Activity_Lost	20	-0.0101461	-0.05441045	1	10
chr1	193317105	193317385	Activity_Lost	4	-0.00152475	-0.06269325	0	0
chr5	106420993	106421485	Activity_Lost	4	-0.00379775	-0.06189975	0	1
chr7	132267515	132268063	Activity_Lost	1	-0.0188	-0.319524	0	1
chr10	85270341	85270891	Activity_Lost	1	0.135777	0.582655	1	0
chr4	81726697	81727396	Activity_Lost	7	-0.0648048571428572	-0.348651285714286	0	6
chr6	106381657	106381998	Activity_Lost	2	-0.014931	-0.0386575	0	2
chr10	116599154	116599729	Activity_Lost	1	-0.013575	-0.091036	0	1
chr14	105697501	105698031	Activity_Lost	10	-0.0202825	-0.0888232	0	7
chr5	147426491	147426694	Activity_Lost	3	-0.0277013333333333	-0.320801333333333	0	3
chr14	105732111	105732819	Activity_Lost	13	-0.0372794615384615	-0.192040769230769	1	11
chr19	10760272	10760835	Activity_Lost	4	-0.01074925	-0.19730775	0	3
chr14	79140774	79141207	Activity_Lost	1	-0.016113	-0.151057	0	1
chr18	30695411	30695881	Activity_Lost	2	-0.0075335	-0.137523	0	0
chr12	71366130	71366619	Activity_Lost	3	-0.0381596666666667	-0.421700666666667	0	3
chr15	57590053	57590637	Activity_Lost	15	-0.0199856	-0.149523066666667	0	14
chr5	129393968	129394173	Activity_Lost	2	-0.0069515	-0.0461745	0	0
chr10	127667558	127668322	Activity_Lost	5	-0.0332012	-0.9710252	0	5
chr8	121681360	121681870	Activity_Lost	1	-0.012617	-0.278434	0	1
chr8	57962254	57963088	Activity_Lost	5	-0.0201776	-0.0515164	0	5
chr9	86977028	86977233	Activity_Lost	1	-0.01222	-0.083817	0	1
chr3	17779231	17779587	Activity_Lost	2	-0.019118	-0.058527	0	2
chr13	30041954	30042177	Activity_Lost	1	-0.012256	-0.106567	0	1
chr3	65283447	65283695	Activity_Lost	1	-0.010885	-0.014712	0	1
chr13	92905994	92906503	Activity_Lost	2	-0.018035	-0.051458	0	2
chr7	114292755	114292875	Activity_Lost	3	-0.0152663333333333	-0.166973333333333	0	3
chr10	40108049	40108275	Activity_Lost	3	-0.0144223333333333	-0.08587	0	3
chr13	111287002	111287385	Activity_Lost	1	-0.005481	-0.017199	0	0
chr15	95043947	95044483	Activity_Lost	2	-0.008358	-0.056673	0	1
chr18	69018333	69018770	Activity_Lost	4	-0.02011125	-0.1888885	0	4
chr5	107495935	107496335	Activity_Lost	19	-0.047853	-0.28444647368421	0	19
chr8	114541232	114541603	Activity_Lost	1	0.008202	0.019751	0	0
chr10	12718245	12718771	Activity_Lost	2	-0.010609	-0.0521535	0	2
chr16	22779293	22779946	Activity_Lost	1	-0.018613	-0.147139	0	1
chr7	145289397	145289772	Activity_Lost	1	0.0058	0.109444	0	0
chr11	75869816	75870703	Activity_Lost	4	-0.01134825	-0.197768	0	2
chrX	61710256	61710377	Activity_Lost	2	-0.0055395	-0.0229715	1	1
chr19	17140451	17140668	Activity_Lost	1	-0.010628	-0.090577	0	1
chrX	84076500	84077065	Activity_Lost	1	-0.027245	-0.010783	0	1
chr2	91971203	91971907	Activity_Lost	1	-0.015193	-0.208646	0	1
chr19	5939955	5940992	Activity_Lost	5	-0.014357	-0.3900552	0	3
chr10	53398245	53398682	Activity_Lost	1	-0.013371	-0.057938	0	1
chr8	126754347	126754862	Activity_Lost	1	-0.030219	-0.553787	0	1
chr12	29538034	29538186	Activity_Lost	1	-0.013443	-0.292905	0	1
chr11	18754858	18755096	Activity_Lost	1	-0.00973	-0.200032	0	0
chr16	6084857	6085292	Activity_Lost	1	0.002338	0.020645	0	0
chr11	33336516	33337237	Activity_Lost	13	-0.0146516153846154	-0.226664615384615	3	8
chr3	65299228	65299566	Activity_Lost	3	0.0222323333333333	0.013952	3	0
chr6	43159557	43159765	Activity_Lost	2	0.0356945	0.00694	1	1
chr3	101653031	101653787	Activity_Lost	2	-0.00185	-0.065834	0	0
chr12	4006240	4006494	Activity_Lost	3	-0.0126676666666667	-0.181285	0	3
chr8	35905144	35905504	Activity_Lost	1	-0.003611	-0.04058	0	0
chr11	75132327	75132656	Activity_Lost	1	-0.014383	-0.281068	0	1
