loop_id	chr1	start1	end1	chr2	start2	end2	coordinate	logFC	logCPM	LR	PValue	FDR	fold_change	abs_logFC	significance_category	direction
loop_8769	chr7	128855000	128860000	chr7	129305000	129310000	chr7:128855000-128860000_chr7:129305000-129310000	1.33277493759894	3.96265443367598	2.47742372886624	0.115491288262083	0.999998013132112	2.51886698254612	1.33277493759894	NS	unchanged
loop_13381	chr15	100550000	100555000	chr15	100610000	100615000	chr15:100550000-100555000_chr15:100610000-100615000	-1.30610789117745	6.70653542870916	2.46333680109248	0.116530993558387	0.999998013132112	0.404410429432175	1.30610789117745	NS	unchanged
loop_10208	chr14	23580000	23585000	chr14	24005000	24010000	chr14:23580000-23585000_chr14:24005000-24010000	1.25851065640054	5.08429274842675	2.26494213340324	0.132331154925887	0.999998013132112	2.39248628824786	1.25851065640054	NS	unchanged
loop_1173	chr12	104935000	104940000	chr12	109020000	109025000	chr12:104935000-104940000_chr12:109020000-109025000	-1.40766557065621	1.24241749241573	2.21830361306701	0.136382841359818	0.999998013132112	0.37692109087286	1.40766557065621	NS	unchanged
loop_14777	chr1	19205000	19210000	chr1	19970000	19975000	chr1:19205000-19210000_chr1:19970000-19975000	1.21760123322233	5.02866105882688	2.12283496302819	0.145117709924375	0.999998013132112	2.32559718972768	1.21760123322233	NS	unchanged
loop_4610	chr8	120970000	120975000	chr8	121090000	121095000	chr8:120970000-120975000_chr8:121090000-121095000	1.20725570223452	5.43629596388037	2.09751790269663	0.147538474576998	0.999998013132112	2.30898004073563	1.20725570223452	NS	unchanged
loop_8575	chr6	35250000	35255000	chr6	36390000	36395000	chr6:35250000-35255000_chr6:36390000-36395000	1.22744784003087	2.99675921906474	2.03767682252806	0.153443838718218	0.999998013132112	2.34152402382035	1.22744784003087	NS	unchanged
loop_409	chr9	90825000	90830000	chr9	91960000	91965000	chr9:90825000-90830000_chr9:91960000-91965000	-1.21309489969822	2.99229832906177	1.9879243019275	0.158558081143084	0.999998013132112	0.431342297875433	1.21309489969822	NS	unchanged
loop_20908	chr7	136485000	136490000	chr7	137320000	137325000	chr7:136485000-136490000_chr7:137320000-137325000	1.16671724183316	4.4620840296196	1.93658877727911	0.164039398500052	0.999998013132112	2.24500279613379	1.16671724183316	NS	unchanged
loop_7762	chr3	158210000	158215000	chr3	159285000	159290000	chr3:158210000-158215000_chr3:159285000-159290000	1.18453146635881	3.22408986965989	1.92265624478441	0.165564133057484	0.999998013132112	2.27289567469625	1.18453146635881	NS	unchanged
loop_3978	chr6	43400000	43405000	chr6	43665000	43670000	chr6:43400000-43405000_chr6:43665000-43670000	-1.13220941284172	4.90095926556351	1.83895843406413	0.175073074214359	0.999998013132112	0.456216517849024	1.13220941284172	NS	unchanged
loop_15178	chr1	14740000	14745000	chr1	14860000	14865000	chr1:14740000-14745000_chr1:14860000-14865000	1.12593985358806	5.44085731027281	1.83136695922301	0.175966172379958	0.999998013132112	2.18243676573511	1.12593985358806	NS	unchanged
loop_4575	chr8	28145000	28150000	chr8	29290000	29295000	chr8:28145000-28150000_chr8:29290000-29295000	1.14178305131136	3.86059592978672	1.83110512162491	0.175997069788682	0.999998013132112	2.20653564210331	1.14178305131136	NS	unchanged
loop_3209	chr4	45755000	45760000	chr4	47290000	47295000	chr4:45755000-45760000_chr4:47290000-47295000	-1.2031250677401	2.05336215892675	1.82742687081175	0.176431773245429	0.999998013132112	0.434333438424795	1.2031250677401	NS	unchanged
loop_8660	chr7	128780000	128785000	chr7	129310000	129315000	chr7:128780000-128785000_chr7:129310000-129315000	1.15528343573386	3.05916811491616	1.81779545673636	0.177575913803372	0.999998013132112	2.22728077102529	1.15528343573386	NS	unchanged
loop_8552	chr6	80015000	80020000	chr6	81765000	81770000	chr6:80015000-80020000_chr6:81765000-81770000	1.13743078866241	3.77954788732561	1.81327288157819	0.178116115182044	0.999998013132112	2.19988908733005	1.13743078866241	NS	unchanged
loop_6769	chr1	40580000	40585000	chr1	40770000	40775000	chr1:40580000-40585000_chr1:40770000-40775000	1.12140141927394	4.62860229112496	1.79815971080918	0.179935136184757	0.999998013132112	2.17558203718703	1.12140141927394	NS	unchanged
loop_5654	chr13	113045000	113050000	chr13	113265000	113270000	chr13:113045000-113050000_chr13:113265000-113270000	1.11985649469515	4.43862454255022	1.78725799959935	0.181260605611701	0.999998013132112	2.17325354012423	1.11985649469515	NS	unchanged
loop_6522	chr1	187830000	187835000	chr1	188075000	188080000	chr1:187830000-187835000_chr1:188075000-188080000	1.13251470640971	3.48074336408048	1.78035650210298	0.182105556127575	0.999998013132112	2.1924055719933	1.13251470640971	NS	unchanged
loop_8104	chr5	125525000	125530000	chr5	126255000	126260000	chr5:125525000-125530000_chr5:126255000-126260000	1.13016667882564	3.12251558066861	1.74712053479997	0.186239131103924	0.999998013132112	2.18884027110509	1.13016667882564	NS	unchanged
loop_12085	chr13	9880000	9885000	chr13	10345000	10350000	chr13:9880000-9885000_chr13:10345000-10350000	1.10608009285399	4.44406152925972	1.74482945601559	0.186528064339482	0.999998013132112	2.15259975027078	1.10608009285399	NS	unchanged
loop_5365	chr11	24465000	24470000	chr11	24690000	24695000	chr11:24465000-24470000_chr11:24690000-24695000	1.09882833601451	4.74741488117722	1.73154773710596	0.188213357867711	0.999998013132112	2.14180678104205	1.09882833601451	NS	unchanged
loop_11429	chr11	34845000	34850000	chr11	36000000	36005000	chr11:34845000-34850000_chr11:36000000-36005000	-1.09330750714989	4.35322005590105	1.70171165051138	0.192064282613682	0.999998013132112	0.468685638308781	1.09330750714989	NS	unchanged
loop_8884	chr7	39845000	39850000	chr7	40900000	40905000	chr7:39845000-39850000_chr7:40900000-40905000	1.08292023433021	3.46261574773409	1.63065709089919	0.201612187740497	0.999998013132112	2.11831954562103	1.08292023433021	NS	unchanged
loop_3924	chr6	51175000	51180000	chr6	52310000	52315000	chr6:51175000-51180000_chr6:52310000-52315000	-1.07061688641516	4.14972566507182	1.62618792672996	0.202231123641378	0.999998013132112	0.476115371852289	1.07061688641516	NS	unchanged
loop_2487	chr19	16800000	16805000	chr19	18545000	18550000	chr19:16800000-16805000_chr19:18545000-18550000	-1.0761328186398	3.11313688930968	1.58535334502413	0.207991269411804	0.999998013132112	0.474298490281977	1.0761328186398	NS	unchanged
loop_6551	chr1	32175000	32180000	chr1	32550000	32555000	chr1:32175000-32180000_chr1:32550000-32555000	1.05325924818351	4.18725242079857	1.57750091526277	0.209121034010523	0.999998013132112	2.07521274943928	1.05325924818351	NS	unchanged
loop_8039	chr5	3145000	3150000	chr5	3515000	3520000	chr5:3145000-3150000_chr5:3515000-3520000	1.04341952774341	5.16419907805994	1.57377939471618	0.209659001798759	0.999998013132112	2.06110717867833	1.04341952774341	NS	unchanged
loop_7225	chr2	147805000	147810000	chr2	148045000	148050000	chr2:147805000-147810000_chr2:148045000-148050000	1.04065177315964	4.68365797687036	1.55542012412812	0.212337064129334	0.999998013132112	2.0571568148709	1.04065177315964	NS	unchanged
loop_5192	chr9	15685000	15690000	chr9	17270000	17275000	chr9:15685000-15690000_chr9:17270000-17275000	1.04562070488059	3.96874528162495	1.54702524078063	0.213575133729682	0.999998013132112	2.06425429200893	1.04562070488059	NS	unchanged
loop_4139	chr7	131545000	131550000	chr7	137310000	137315000	chr7:131545000-131550000_chr7:137310000-137315000	-1.06993560992454	2.51262202110955	1.5135313275982	0.218601026879563	0.999998013132112	0.476340258470339	1.06993560992454	NS	unchanged
loop_18684	chr4	47120000	47125000	chr4	47400000	47405000	chr4:47120000-47125000_chr4:47400000-47405000	1.01746157905196	5.01054275129145	1.49527438260764	0.221399909467805	0.999998013132112	2.02435397475706	1.01746157905196	NS	unchanged
loop_8633	chr7	133955000	133960000	chr7	134345000	134350000	chr7:133955000-133960000_chr7:134345000-134350000	1.0298511989048	3.65776516751817	1.48830056357302	0.222480324303661	0.999998013132112	2.04181364573059	1.0298511989048	NS	unchanged
loop_8187	chr5	132115000	132120000	chr5	133795000	133800000	chr5:132115000-132120000_chr5:133795000-133800000	1.02892018257198	3.5647754863834	1.4811040290981	0.223601866576174	0.999998013132112	2.04049642444982	1.02892018257198	NS	unchanged
loop_4496	chr10	108295000	108300000	chr10	109860000	109865000	chr10:108295000-108300000_chr10:109860000-109865000	-1.02117009203424	3.91971735238001	1.47407132529923	0.224704427276871	0.999998013132112	0.492716574345401	1.02117009203424	NS	unchanged
loop_4627	chr8	69450000	69455000	chr8	69535000	69540000	chr8:69450000-69455000_chr8:69535000-69540000	1.00264128624164	6.7393896021565	1.47169419926171	0.225078577365714	0.999998013132112	2.00366495409839	1.00264128624164	NS	unchanged
loop_6272	chr16	28835000	28840000	chr16	29435000	29440000	chr16:28835000-28840000_chr16:29435000-29440000	1.01044364172641	4.50871050959886	1.46394388291033	0.22630364876943	0.999998013132112	2.01453049115505	1.01044364172641	NS	unchanged
loop_8345	chr5	50475000	50480000	chr5	50695000	50700000	chr5:50475000-50480000_chr5:50695000-50700000	1.01171021600459	4.15917236014253	1.45717905346071	0.227379496694991	0.999998013132112	2.01629986915298	1.01171021600459	NS	unchanged
loop_6513	chr1	113970000	113975000	chr1	114330000	114335000	chr1:113970000-113975000_chr1:114330000-114335000	1.01304072529116	3.75126727809834	1.44536600609844	0.22927297397517	0.999998013132112	2.0181602367652	1.01304072529116	NS	unchanged
loop_2644	chr2	138585000	138590000	chr2	139275000	139280000	chr2:138585000-138590000_chr2:139275000-139280000	-1.00617805494105	4.17342774804939	1.44119479981439	0.229946093704855	0.999998013132112	0.497863427307269	1.00617805494105	NS	unchanged
loop_9777	chr14	23790000	23795000	chr14	24005000	24010000	chr14:23790000-23795000_chr14:24005000-24010000	0.992023160079129	5.00101061278271	1.42273242489719	0.232954182451233	0.999998013132112	1.98897226674525	0.992023160079129	NS	unchanged
loop_5582	chr13	49955000	49960000	chr13	50830000	50835000	chr13:49955000-49960000_chr13:50830000-50835000	1.00006637924256	4.00077583608777	1.41911706846565	0.23354878393524	0.999998013132112	2.00009202328667	1.00006637924256	NS	unchanged
loop_1474	chr15	42065000	42070000	chr15	42675000	42680000	chr15:42065000-42070000_chr15:42675000-42680000	-0.997897930183118	4.15895300356653	1.41759797489961	0.233799169536326	0.999998013132112	0.500729052885457	0.997897930183118	NS	unchanged
loop_8843	chr7	134225000	134230000	chr7	134340000	134345000	chr7:134225000-134230000_chr7:134340000-134345000	0.983768654657145	5.03090680012164	1.40014381069007	0.236699493530203	0.999998013132112	1.97762468261447	0.983768654657145	NS	unchanged
loop_969	chr13	83520000	83525000	chr13	83715000	83720000	chr13:83520000-83525000_chr13:83715000-83720000	-0.984391867796022	3.36791928416849	1.34717622553056	0.245772380113917	0.999998013132112	0.505438733469737	0.984391867796022	NS	unchanged
loop_508	chr9	87730000	87735000	chr9	89880000	89885000	chr9:87730000-87735000_chr9:89880000-89885000	-1.00912500340899	2.43683436209423	1.3432868106317	0.246455163261456	0.999998013132112	0.496847495067121	1.00912500340899	NS	unchanged
loop_7867	chr4	38995000	39000000	chr4	39340000	39345000	chr4:38995000-39000000_chr4:39340000-39345000	0.96835382228041	4.10646321336362	1.3357362433626	0.247787292195139	0.999998013132112	1.95660674765377	0.96835382228041	NS	unchanged
loop_7702	chr3	82875000	82880000	chr3	82980000	82985000	chr3:82875000-82880000_chr3:82980000-82985000	0.957338187773152	4.95019043714969	1.32592115430191	0.249532146946888	0.999998013132112	1.94172405330541	0.957338187773152	NS	unchanged
loop_15991	chr19	43610000	43615000	chr19	45230000	45235000	chr19:43610000-43615000_chr19:45230000-45235000	-0.968422417979731	3.84170521757907	1.32583712025919	0.249547150784603	0.999998013132112	0.511064604787768	0.968422417979731	NS	unchanged
loop_296	chr14	61685000	61690000	chr14	63250000	63255000	chr14:61685000-61690000_chr14:63250000-63255000	-0.984778618274053	2.95088510269624	1.32272301411231	0.250103938928365	0.999998013132112	0.505303256139384	0.984778618274053	NS	unchanged
loop_6006	chr15	93590000	93595000	chr15	94210000	94215000	chr15:93590000-93595000_chr15:94210000-94215000	0.964794297803908	3.97195154736812	1.32174286789566	0.250279499800953	0.999998013132112	1.95178521247337	0.964794297803908	NS	unchanged
loop_2566	chr2	70660000	70665000	chr2	71055000	71060000	chr2:70660000-70665000_chr2:71055000-71060000	0.95472090823905	5.10038969616811	1.32129837229598	0.250359166350378	0.999998013132112	1.93820464867984	0.95472090823905	NS	unchanged
loop_8034	chr4	77080000	77085000	chr4	77515000	77520000	chr4:77080000-77085000_chr4:77515000-77520000	0.948136036005612	4.89967742681403	1.30013526548855	0.25418851728755	0.999998013132112	1.92937828740753	0.948136036005612	NS	unchanged
loop_4823	chr14	104040000	104045000	chr14	104375000	104380000	chr14:104040000-104045000_chr14:104375000-104380000	0.951537057955362	3.81237390373356	1.28079529384918	0.257751216226971	0.999998013132112	1.93393198606922	0.951537057955362	NS	unchanged
loop_3352	chr4	82535000	82540000	chr4	82700000	82705000	chr4:82535000-82540000_chr4:82700000-82705000	-0.955543268914622	3.41363813273594	1.27325053491494	0.259157766375165	0.999998013132112	0.515647378168181	0.955543268914622	NS	unchanged
loop_4751	chr8	71205000	71210000	chr8	71785000	71790000	chr8:71205000-71210000_chr8:71785000-71790000	0.936336298030226	4.88002821611163	1.26820703595183	0.260103308382604	0.999998013132112	1.91366234660387	0.936336298030226	NS	unchanged
loop_7184	chr2	115855000	115860000	chr2	116820000	116825000	chr2:115855000-115860000_chr2:116820000-116825000	0.964063491929162	2.57078892450326	1.24278574049587	0.264934848374302	0.999998013132112	1.95079677427237	0.964063491929162	NS	unchanged
loop_6583	chr1	13785000	13790000	chr1	14570000	14575000	chr1:13785000-13790000_chr1:14570000-14575000	0.927155080028775	4.76939210479685	1.24192037099032	0.265101272243153	0.999998013132112	1.90152259238357	0.927155080028775	NS	unchanged
loop_1642	chr16	42190000	42195000	chr16	42910000	42915000	chr16:42190000-42195000_chr16:42910000-42915000	0.928619670081807	4.28523302557638	1.23517766163942	0.266402464122855	0.999998013132112	1.90345395353913	0.928619670081807	NS	unchanged
loop_4443	chr10	107800000	107805000	chr10	109860000	109865000	chr10:107800000-107805000_chr10:109860000-109865000	-0.971907087967133	2.27441790847661	1.23268340770767	0.266885813199973	0.999998013132112	0.509831674475329	0.971907087967133	NS	unchanged
loop_19713	chr5	16935000	16940000	chr5	17765000	17770000	chr5:16935000-16940000_chr5:17765000-17770000	0.914673800261839	4.80544503785695	1.20991678302906	0.271348603426559	0.999998013132112	1.88514278451306	0.914673800261839	NS	unchanged
loop_8385	chr6	31660000	31665000	chr6	33400000	33405000	chr6:31660000-31665000_chr6:33400000-33405000	0.950054346336402	2.56139544523638	1.20695650709864	0.27193571659308	0.999998013132112	1.93194543288245	0.950054346336402	NS	unchanged
loop_17750	chr3	87085000	87090000	chr3	87175000	87180000	chr3:87085000-87090000_chr3:87175000-87180000	0.907964046094084	5.47890186507189	1.20188405207119	0.272945441923096	0.999998013132112	1.8763956301092	0.907964046094084	NS	unchanged
loop_3426	chr4	27490000	27495000	chr4	28815000	28820000	chr4:27490000-27495000_chr4:28815000-28820000	-0.921455002374041	3.46516323668259	1.18803904053831	0.275725462178769	0.999998013132112	0.52797627135122	0.921455002374041	NS	unchanged
loop_559	chr9	90825000	90830000	chr9	91120000	91125000	chr9:90825000-90830000_chr9:91120000-91125000	-0.901010035948663	4.72574086128451	1.17280328057209	0.278825989672678	0.999998013132112	0.535511686354888	0.901010035948663	NS	unchanged
loop_4310	chr7	143425000	143430000	chr7	144270000	144275000	chr7:143425000-143430000_chr7:144270000-144275000	-0.933795265811163	2.64431873541987	1.17110343314961	0.279174630681183	0.999998013132112	0.523479423165993	0.933795265811163	NS	unchanged
loop_467	chr9	75785000	75790000	chr9	76015000	76020000	chr9:75785000-75790000_chr9:76015000-76020000	-0.897243090653872	5.13501224664078	1.1696545645994	0.279472229543946	0.999998013132112	0.536911759844113	0.897243090653872	NS	unchanged
loop_6773	chr1	25825000	25830000	chr1	25925000	25930000	chr1:25825000-25830000_chr1:25925000-25930000	0.904159845877209	4.11772602012784	1.16776812967237	0.27986030475175	0.999998013132112	1.87145433517662	0.904159845877209	NS	unchanged
loop_16719	chr2	70125000	70130000	chr2	70560000	70565000	chr2:70125000-70130000_chr2:70560000-70565000	0.893848530231737	5.38469237600425	1.16436549156349	0.280562012347174	0.999998013132112	1.85812625201908	0.893848530231737	NS	unchanged
loop_7417	chr2	147845000	147850000	chr2	148045000	148050000	chr2:147845000-147850000_chr2:148045000-148050000	0.895448563459367	4.90799925907698	1.16207943276636	0.281034701504534	0.999998013132112	1.86018816595137	0.895448563459367	NS	unchanged
loop_17261	chrX	144405000	144410000	chrX	144640000	144645000	chrX:144405000-144410000_chrX:144640000-144645000	0.902813343463898	3.90730334621246	1.15825977189989	0.281826740982043	0.999998013132112	1.86970847612618	0.902813343463898	NS	unchanged
loop_5740	chr13	28415000	28420000	chr13	28480000	28485000	chr13:28415000-28420000_chr13:28480000-28485000	0.891439963228231	5.08068933011003	1.15439912193981	0.28263014922987	0.999998013132112	1.85502671421563	0.891439963228231	NS	unchanged
loop_21081	chr7	116700000	116705000	chr7	117375000	117380000	chr7:116700000-116705000_chr7:117375000-117380000	0.897293749372379	4.00541797858023	1.14729208656924	0.284116728959077	0.999998013132112	1.86256884158163	0.897293749372379	NS	unchanged
loop_3379	chr4	35370000	35375000	chr4	40010000	40015000	chr4:35370000-35375000_chr4:40010000-40015000	-0.89904847583877	3.87955516322138	1.14714330303733	0.28414795571399	0.999998013132112	0.536240289954739	0.89904847583877	NS	unchanged
loop_8112	chr5	3340000	3345000	chr5	3515000	3520000	chr5:3340000-3345000_chr5:3515000-3520000	0.887130551465338	5.26845846532773	1.14585695141798	0.28441811718231	0.999998013132112	1.84949391191177	0.887130551465338	NS	unchanged
loop_59	chr8	95970000	95975000	chr8	100770000	100775000	chr8:95970000-95975000_chr8:100770000-100775000	-0.897917387330602	3.7276597467533	1.13923967422641	0.285813045506241	0.999998013132112	0.536660872988315	0.897917387330602	NS	unchanged
loop_772	chr11	113795000	113800000	chr11	114175000	114180000	chr11:113795000-113800000_chr11:114175000-114180000	-0.893172243269193	3.76930691252008	1.12886702537052	0.28801713347285	0.999998013132112	0.538428901266716	0.893172243269193	NS	unchanged
loop_10626	chr9	41470000	41475000	chr9	41950000	41955000	chr9:41470000-41475000_chr9:41950000-41955000	0.878867459631748	5.33134057775765	1.12566970729998	0.288700886512485	0.999998013132112	1.83893114197075	0.878867459631748	NS	unchanged
loop_424	chr9	55540000	55545000	chr9	63135000	63140000	chr9:55540000-55545000_chr9:63135000-63140000	-0.930610495878353	1.93307015498257	1.09759650866459	0.294794175861318	0.999998013132112	0.524636287906143	0.930610495878353	NS	unchanged
loop_12331	chr13	96855000	96860000	chr13	97005000	97010000	chr13:96855000-96860000_chr13:97005000-97010000	0.867969527700524	5.23325266715658	1.09722671117512	0.294875531816621	0.999998013132112	1.8250924274636	0.867969527700524	NS	unchanged
loop_3899	chr6	19765000	19770000	chr6	21535000	21540000	chr6:19765000-19770000_chr6:21535000-21540000	-0.890963301320601	3.10857193757345	1.09574980435464	0.295200740266934	0.999998013132112	0.53925393299114	0.890963301320601	NS	unchanged
loop_6938	chr18	45500000	45505000	chr18	45895000	45900000	chr18:45500000-45505000_chr18:45895000-45900000	0.88053028197325	3.68176261529137	1.09557020659476	0.295240318238331	0.999998013132112	1.8410518802886	0.88053028197325	NS	unchanged
loop_4665	chr8	74710000	74715000	chr8	74925000	74930000	chr8:74710000-74715000_chr8:74925000-74930000	0.86249368154565	4.60588924212853	1.07452967070442	0.299924537295729	0.999998013132112	1.8181782961098	0.86249368154565	NS	unchanged
loop_21992	chr10	57000000	57005000	chr10	57315000	57320000	chr10:57000000-57005000_chr10:57315000-57320000	0.860182436187	4.5772762191057	1.06835550673723	0.301317193489978	0.999998013132112	1.81526784605006	0.860182436187	NS	unchanged
loop_851	chr11	33195000	33200000	chr11	33295000	33300000	chr11:33195000-33200000_chr11:33295000-33300000	-0.853451063123131	5.92619001282748	1.06750763976777	0.301509090272221	0.999998013132112	0.553459224428474	0.853451063123131	NS	unchanged
loop_8199	chr5	75205000	75210000	chr5	75850000	75855000	chr5:75205000-75210000_chr5:75850000-75855000	0.865634044248671	3.94940499696108	1.06750498753053	0.301509690797312	0.999998013132112	1.82214029635831	0.865634044248671	NS	unchanged
loop_4594	chr8	102785000	102790000	chr8	104025000	104030000	chr8:102785000-102790000_chr8:104025000-104030000	0.859529655578089	4.02925573301985	1.05486046454424	0.30439032784918	0.999998013132112	1.81444667208545	0.859529655578089	NS	unchanged
loop_473	chr9	90705000	90710000	chr9	90825000	90830000	chr9:90705000-90710000_chr9:90825000-90830000	-0.849697067074783	5.1260954197559	1.05064874741748	0.305357721822186	0.999998013132112	0.554901240356783	0.849697067074783	NS	unchanged
loop_11125	chr11	12370000	12375000	chr11	12540000	12545000	chr11:12370000-12375000_chr11:12540000-12545000	0.844476169013585	6.27272229764008	1.04779870203492	0.306014610778061	0.999998013132112	1.79561265485196	0.844476169013585	NS	unchanged
loop_11902	chr13	96855000	96860000	chr13	97095000	97100000	chr13:96855000-96860000_chr13:97095000-97100000	0.844650657558885	5.88656454833939	1.04579503805264	0.306477518899139	0.999998013132112	1.79582984059047	0.844650657558885	NS	unchanged
loop_5171	chr9	15430000	15435000	chr9	15680000	15685000	chr9:15430000-15435000_chr9:15680000-15685000	0.852472690546918	4.10147843352417	1.03967167831107	0.3078978431357	0.999998013132112	1.80559294993257	0.852472690546918	NS	unchanged
loop_17540	chr3	42070000	42075000	chr3	50905000	50910000	chr3:42070000-42075000_chr3:50905000-50910000	-0.887040906192963	2.31615227642271	1.03454295650463	0.309094041066947	0.999998013132112	0.540722049884786	0.887040906192963	NS	unchanged
loop_14673	chr1	19205000	19210000	chr1	20510000	20515000	chr1:19205000-19210000_chr1:20510000-20515000	0.845361448055357	4.67652933986476	1.03406744389337	0.309205252960817	0.999998013132112	1.79671483238973	0.845361448055357	NS	unchanged
loop_15237	chr1	43140000	43145000	chr1	43260000	43265000	chr1:43140000-43145000_chr1:43260000-43265000	0.839111868515858	5.96184928922622	1.03283492131918	0.30949375502936	0.999998013132112	1.78894851566365	0.839111868515858	NS	unchanged
loop_7871	chr4	39210000	39215000	chr4	39340000	39345000	chr4:39210000-39215000_chr4:39340000-39345000	0.843128984936728	4.68681672146703	1.02885897864665	0.310426811492811	0.999998013132112	1.79393670004323	0.843128984936728	NS	unchanged
loop_7068	chr19	48200000	48205000	chr19	48390000	48395000	chr19:48200000-48205000_chr19:48390000-48395000	0.847088101267389	4.187707362905	1.02878612719166	0.310443942073273	0.999998013132112	1.7988664725813	0.847088101267389	NS	unchanged
loop_20691	chr7	135835000	135840000	chr7	137320000	137325000	chr7:135835000-135840000_chr7:137320000-137325000	0.853328461974506	3.64287565040697	1.02872058063509	0.31045935600258	0.999998013132112	1.80666430124605	0.853328461974506	NS	unchanged
loop_6238	chr16	58460000	58465000	chr16	58660000	58665000	chr16:58460000-58465000_chr16:58660000-58665000	0.840286058052182	4.93902389941959	1.02573837712535	0.311161706333817	0.999998013132112	1.79040510878331	0.840286058052182	NS	unchanged
loop_8465	chr6	41135000	41140000	chr6	41555000	41560000	chr6:41135000-41140000_chr6:41555000-41560000	0.848799596346779	3.7513857297006	1.02140146379431	0.312186808526654	0.999998013132112	1.80100176655561	0.848799596346779	NS	unchanged
loop_15768	chr18	45010000	45015000	chr18	46135000	46140000	chr18:45010000-45015000_chr18:46135000-46140000	0.84066111214047	4.32964626675627	1.01648469580317	0.31335430285896	0.999998013132112	1.79087061675849	0.84066111214047	NS	unchanged
loop_7166	chr2	166155000	166160000	chr2	166560000	166565000	chr2:166155000-166160000_chr2:166560000-166565000	0.832751523261169	5.46744801794141	1.01356683159648	0.314049850355765	0.999998013132112	1.78107901786235	0.832751523261169	NS	unchanged
loop_4949	chr14	39530000	39535000	chr14	40890000	40895000	chr14:39530000-39535000_chr14:40890000-40895000	0.842013434665664	3.61409443986752	1.00111154011486	0.317041697092975	0.999998013132112	1.79255009164717	0.842013434665664	NS	unchanged
loop_10664	chr9	105695000	105700000	chr9	105855000	105860000	chr9:105695000-105700000_chr9:105855000-105860000	0.825799993909731	5.71496792349992	0.999019731493027	0.317547820458806	0.999998013132112	1.77251765075066	0.825799993909731	NS	unchanged
loop_9140	chr8	61535000	61540000	chr8	61870000	61875000	chr8:61535000-61540000_chr8:61870000-61875000	0.82433015015647	5.69767313810377	0.995381682777463	0.318430591881273	0.999998013132112	1.7707126973837	0.82433015015647	NS	unchanged
loop_6081	chr15	68935000	68940000	chr15	69575000	69580000	chr15:68935000-68940000_chr15:69575000-69580000	0.835717273573425	3.75814926424328	0.990828965637525	0.319539852426046	0.999998013132112	1.78474415053114	0.835717273573425	NS	unchanged
loop_9638	chr8	16890000	16895000	chr8	17420000	17425000	chr8:16890000-16895000_chr8:17420000-17425000	0.832580163706179	3.95178758545064	0.9887826138552	0.320040096420919	0.999998013132112	1.78086747850424	0.832580163706179	NS	unchanged
loop_5205	chr9	76270000	76275000	chr9	76655000	76660000	chr9:76270000-76275000_chr9:76655000-76660000	0.827368904969118	4.30730096697184	0.984609564391011	0.321063422501561	0.999998013132112	1.77444628786536	0.827368904969118	NS	unchanged
