loop_id	direction	loop_type	anchor	gene
loop_4080	up_in_mutant	Other-Other	anchor1_nearest_gene	100861755
loop_4080	up_in_mutant	Other-Other	anchor2_nearest_gene	105242399
loop_4307	up_in_mutant	Other-Other	anchor1_nearest_gene	69419
loop_4307	up_in_mutant	Other-Other	anchor2_nearest_gene	236193
loop_4309	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	319520
loop_4309	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	67276
loop_4389	up_in_mutant	Other-Other	anchor1_nearest_gene	17925
loop_4389	up_in_mutant	Other-Other	anchor2_nearest_gene	74015
loop_4713	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	102466147
loop_4713	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	244682
loop_7428	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	319520
loop_7428	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	67276
loop_8364	up_in_mutant	Other-Other	anchor1_nearest_gene	69419
loop_8364	up_in_mutant	Other-Other	anchor2_nearest_gene	236193
loop_8390	up_in_mutant	Other-Other	anchor1_nearest_gene	69419
loop_8390	up_in_mutant	Other-Other	anchor2_nearest_gene	236193
loop_8692	up_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	78506
loop_8692	up_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	70546
loop_8667	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	319582
loop_8667	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	414128
loop_8758	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	320685
loop_8758	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	100039954
loop_8805	up_in_mutant	Other-Other	anchor1_nearest_gene	22427
loop_8805	up_in_mutant	Other-Other	anchor2_nearest_gene	68153
loop_10501	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	217980
loop_10501	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	66505
loop_12019	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	224171
loop_12019	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	667772
loop_12880	up_in_mutant	Other-Other	anchor1_nearest_gene	69368
loop_12880	up_in_mutant	Other-Other	anchor2_nearest_gene	241128
loop_19513	down_in_mutant	Other-Other	anchor1_nearest_gene	18089
loop_19513	down_in_mutant	Other-Other	anchor2_nearest_gene	18504
loop_13109	down_in_mutant	Promoter-Other	anchor1_nearest_gene	18089
loop_13109	down_in_mutant	Promoter-Other	anchor2_nearest_gene	16814
loop_18042	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	22326
loop_18042	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	329078
loop_14438	down_in_mutant	Other-Other	anchor1_nearest_gene	228731
loop_14438	down_in_mutant	Other-Other	anchor2_nearest_gene	15376
loop_15566	down_in_mutant	Promoter-Active_Enhancer	anchor1_nearest_gene	102635783
loop_15566	down_in_mutant	Promoter-Active_Enhancer	anchor2_nearest_gene	18028
loop_15592	down_in_mutant	Promoter-Promoter	anchor1_nearest_gene	102635783
loop_15592	down_in_mutant	Promoter-Promoter	anchor2_nearest_gene	18028
loop_16029	up_in_mutant	Promoter-Active_Enhancer	anchor1_nearest_gene	100861755
loop_16029	up_in_mutant	Promoter-Active_Enhancer	anchor2_nearest_gene	105242399
loop_16581	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	108073
loop_16581	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	67336
loop_16414	down_in_mutant	Promoter-Other	anchor1_nearest_gene	12237
loop_16414	down_in_mutant	Promoter-Other	anchor2_nearest_gene	13593
loop_17706	up_in_mutant	Promoter-Other	anchor1_nearest_gene	14609
loop_17706	up_in_mutant	Promoter-Other	anchor2_nearest_gene	74928
loop_17895	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor1_nearest_gene	78506
loop_17895	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor2_nearest_gene	78506
loop_17936	up_in_mutant	Other-Other	anchor1_nearest_gene	17925
loop_17936	up_in_mutant	Other-Other	anchor2_nearest_gene	236193
loop_18971	up_in_mutant	Other-Other	anchor1_nearest_gene	394252
loop_18971	up_in_mutant	Other-Other	anchor2_nearest_gene	18788
loop_19875	up_in_mutant	Other-Other	anchor1_nearest_gene	258569
loop_19875	up_in_mutant	Other-Other	anchor2_nearest_gene	387515
loop_20048	up_in_mutant	Other-Other	anchor1_nearest_gene	14407
loop_20048	up_in_mutant	Other-Other	anchor2_nearest_gene	791383
loop_21838	up_in_mutant	Other-Other	anchor1_nearest_gene	18511
loop_21838	up_in_mutant	Other-Other	anchor2_nearest_gene	217593
loop_51	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	320685
loop_51	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	100039954
loop_57	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	75677
loop_57	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	100039954
loop_58	down_in_mutant	Promoter-Other	anchor1_nearest_gene	434280
loop_58	down_in_mutant	Promoter-Other	anchor2_nearest_gene	71296
loop_59	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	15111
loop_59	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	109215
loop_60	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	58198
loop_60	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	109215
loop_62	down_in_mutant	Other-Other	anchor1_nearest_gene	15111
loop_62	down_in_mutant	Other-Other	anchor2_nearest_gene	58198
loop_225	down_in_mutant	Other-Other	anchor1_nearest_gene	69909
loop_225	down_in_mutant	Other-Other	anchor2_nearest_gene	103889
loop_611	down_in_mutant	Other-Other	anchor1_nearest_gene	16876
loop_611	down_in_mutant	Other-Other	anchor2_nearest_gene	74971
loop_715	down_in_mutant	Other-Other	anchor1_nearest_gene	240590
loop_715	down_in_mutant	Other-Other	anchor2_nearest_gene	22326
loop_964	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	24060
loop_964	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	100526501
loop_966	down_in_mutant	Other-Other	anchor1_nearest_gene	70602
loop_966	down_in_mutant	Other-Other	anchor2_nearest_gene	70673
loop_1268	down_in_mutant	Other-Other	anchor1_nearest_gene	21907
loop_1268	down_in_mutant	Other-Other	anchor2_nearest_gene	20464
loop_1271	down_in_mutant	Other-Other	anchor1_nearest_gene	21412
loop_1271	down_in_mutant	Other-Other	anchor2_nearest_gene	216285
loop_1294	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	23965
loop_1294	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	100039954
loop_1310	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	23965
loop_1310	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	100039954
loop_1314	up_in_mutant	Other-Other	anchor1_nearest_gene	69419
loop_1314	up_in_mutant	Other-Other	anchor2_nearest_gene	258335
loop_1325	down_in_mutant	Other-Other	anchor1_nearest_gene	75996
loop_1325	down_in_mutant	Other-Other	anchor2_nearest_gene	58198
loop_1446	down_in_mutant	Other-Other	anchor1_nearest_gene	244813
loop_1446	down_in_mutant	Other-Other	anchor2_nearest_gene	15379
loop_1512	down_in_mutant	Other-Other	anchor1_nearest_gene	320453
loop_1512	down_in_mutant	Other-Other	anchor2_nearest_gene	75395
loop_1516	down_in_mutant	Other-Other	anchor1_nearest_gene	21387
loop_1516	down_in_mutant	Other-Other	anchor2_nearest_gene	103889
loop_2061	down_in_mutant	Promoter-Other	anchor1_nearest_gene	68986
loop_2061	down_in_mutant	Promoter-Other	anchor2_nearest_gene	15438
loop_2070	down_in_mutant	Other-Other	anchor1_nearest_gene	15376
loop_2070	down_in_mutant	Other-Other	anchor2_nearest_gene	21420
loop_2167	down_in_mutant	Other-Other	anchor1_nearest_gene	100504145
loop_2167	down_in_mutant	Other-Other	anchor2_nearest_gene	11924
loop_2250	down_in_mutant	Active_Enhancer-Other	anchor1_nearest_gene	208820
loop_2250	down_in_mutant	Active_Enhancer-Other	anchor2_nearest_gene	208890
loop_2329	down_in_mutant	Promoter-Active_Enhancer	anchor1_nearest_gene	102465620
loop_2329	down_in_mutant	Promoter-Active_Enhancer	anchor2_nearest_gene	320827
loop_2330	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	277854
loop_2330	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	15194
loop_2586	down_in_mutant	Other-Other	anchor1_nearest_gene	58198
loop_2586	down_in_mutant	Other-Other	anchor2_nearest_gene	16373
loop_2588	down_in_mutant	Other-Other	anchor1_nearest_gene	18997
loop_2588	down_in_mutant	Other-Other	anchor2_nearest_gene	58198
loop_2729	down_in_mutant	Other-Other	anchor1_nearest_gene	69909
loop_2729	down_in_mutant	Other-Other	anchor2_nearest_gene	75395
loop_3100	down_in_mutant	Other-Other	anchor1_nearest_gene	18089
loop_3100	down_in_mutant	Other-Other	anchor2_nearest_gene	22326
loop_3102	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	240590
loop_3102	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	22326
loop_3208	down_in_mutant	Other-Other	anchor1_nearest_gene	99041
loop_3208	down_in_mutant	Other-Other	anchor2_nearest_gene	21420
loop_3291	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	76295
loop_3291	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	21744
loop_3471	down_in_mutant	Other-Other	anchor1_nearest_gene	387515
loop_3471	down_in_mutant	Other-Other	anchor2_nearest_gene	259067
loop_3596	down_in_mutant	Promoter-Poised_Enhancer	anchor1_nearest_gene	102640148
loop_3596	down_in_mutant	Promoter-Poised_Enhancer	anchor2_nearest_gene	20979
loop_3664	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	320685
loop_3664	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	100039954
loop_3726	up_in_mutant	Active_Enhancer-Other	anchor1_nearest_gene	100038847
loop_3726	up_in_mutant	Active_Enhancer-Other	anchor2_nearest_gene	286940
loop_3951	up_in_mutant	Other-Other	anchor1_nearest_gene	76983
loop_3951	up_in_mutant	Other-Other	anchor2_nearest_gene	56856
loop_4540	up_in_mutant	Other-Other	anchor1_nearest_gene	108755
loop_4540	up_in_mutant	Other-Other	anchor2_nearest_gene	109093
loop_4819	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor1_nearest_gene	102465211
loop_4819	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor2_nearest_gene	102465211
loop_4884	up_in_mutant	Promoter-Other	anchor1_nearest_gene	244431
loop_4884	up_in_mutant	Promoter-Other	anchor2_nearest_gene	80286
loop_4888	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	76478
loop_4888	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	74015
loop_4905	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	23965
loop_4905	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	100039954
loop_4911	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	23965
loop_4911	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	100039954
loop_4914	up_in_mutant	Other-Other	anchor1_nearest_gene	270058
loop_4914	up_in_mutant	Other-Other	anchor2_nearest_gene	74015
loop_4918	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	100039954
loop_4918	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	15111
loop_4921	up_in_mutant	Promoter-Active_Enhancer	anchor1_nearest_gene	244421
loop_4921	up_in_mutant	Promoter-Active_Enhancer	anchor2_nearest_gene	85305
loop_5278	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	628813
loop_5278	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	70422
loop_5289	up_in_mutant	Other-Other	anchor1_nearest_gene	628813
loop_5289	up_in_mutant	Other-Other	anchor2_nearest_gene	76892
loop_5346	up_in_mutant	Other-Other	anchor1_nearest_gene	11774
loop_5346	up_in_mutant	Other-Other	anchor2_nearest_gene	218460
loop_5394	up_in_mutant	Active_Enhancer-Other	anchor1_nearest_gene	100503530
loop_5394	up_in_mutant	Active_Enhancer-Other	anchor2_nearest_gene	68916
loop_5406	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	69046
loop_5406	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	544971
loop_5774	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	100041639
loop_5774	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	12648
loop_6044	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	225326
loop_6044	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	73473
loop_6398	up_in_mutant	Active_Enhancer-Other	anchor1_nearest_gene	242122
loop_6398	up_in_mutant	Active_Enhancer-Other	anchor2_nearest_gene	78908
loop_6571	up_in_mutant	Other-Other	anchor1_nearest_gene	100019
loop_6571	up_in_mutant	Other-Other	anchor2_nearest_gene	109093
loop_6585	up_in_mutant	Other-Other	anchor1_nearest_gene	100019
loop_6585	up_in_mutant	Other-Other	anchor2_nearest_gene	100526501
loop_6730	up_in_mutant	Other-Other	anchor1_nearest_gene	100763
loop_6730	up_in_mutant	Other-Other	anchor2_nearest_gene	277854
loop_6807	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	75196
loop_6807	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	74725
loop_7111	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor1_nearest_gene	209462
loop_7111	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor2_nearest_gene	320363
loop_7202	up_in_mutant	Other-Other	anchor1_nearest_gene	100039954
loop_7202	up_in_mutant	Other-Other	anchor2_nearest_gene	15111
loop_7417	up_in_mutant	Other-Other	anchor1_nearest_gene	628813
loop_7417	up_in_mutant	Other-Other	anchor2_nearest_gene	66569
loop_7483	up_in_mutant	Other-Other	anchor1_nearest_gene	217995
loop_7483	up_in_mutant	Other-Other	anchor2_nearest_gene	102216272
loop_7853	up_in_mutant	Other-Other	anchor1_nearest_gene	269003
loop_7853	up_in_mutant	Other-Other	anchor2_nearest_gene	108112
loop_8041	up_in_mutant	Active_Enhancer-Other	anchor1_nearest_gene	242122
loop_8041	up_in_mutant	Active_Enhancer-Other	anchor2_nearest_gene	78908
loop_8063	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	66880
loop_8063	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	18741
loop_8150	up_in_mutant	Other-Other	anchor1_nearest_gene	108755
loop_8150	up_in_mutant	Other-Other	anchor2_nearest_gene	109093
loop_8498	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	69419
loop_8498	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	236193
loop_8561	up_in_mutant	Active_Enhancer-Active_Enhancer	anchor1_nearest_gene	21951
loop_8561	up_in_mutant	Active_Enhancer-Active_Enhancer	anchor2_nearest_gene	67276
loop_8779	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	320685
loop_8779	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	100039954
loop_8812	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	414128
loop_8812	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	80286
loop_8828	down_in_mutant	Promoter-Other	anchor1_nearest_gene	14934
loop_8828	down_in_mutant	Promoter-Other	anchor2_nearest_gene	74841
loop_8834	down_in_mutant	Promoter-Other	anchor1_nearest_gene	58198
loop_8834	down_in_mutant	Promoter-Other	anchor2_nearest_gene	71296
loop_8841	up_in_mutant	Other-Other	anchor1_nearest_gene	244421
loop_8841	up_in_mutant	Other-Other	anchor2_nearest_gene	414128
loop_8845	down_in_mutant	Other-Other	anchor1_nearest_gene	434280
loop_8845	down_in_mutant	Other-Other	anchor2_nearest_gene	58198
loop_8846	down_in_mutant	Other-Other	anchor1_nearest_gene	75996
loop_8846	down_in_mutant	Other-Other	anchor2_nearest_gene	11906
loop_8847	down_in_mutant	Other-Other	anchor1_nearest_gene	434280
loop_8847	down_in_mutant	Other-Other	anchor2_nearest_gene	75996
loop_9644	down_in_mutant	Other-Other	anchor1_nearest_gene	64290
loop_9644	down_in_mutant	Other-Other	anchor2_nearest_gene	15379
loop_9656	down_in_mutant	Other-Other	anchor1_nearest_gene	244813
loop_9656	down_in_mutant	Other-Other	anchor2_nearest_gene	15379
loop_9657	down_in_mutant	Other-Other	anchor1_nearest_gene	104360
loop_9657	down_in_mutant	Other-Other	anchor2_nearest_gene	15379
loop_10149	down_in_mutant	Other-Other	anchor1_nearest_gene	69909
loop_10149	down_in_mutant	Other-Other	anchor2_nearest_gene	15408
loop_10155	down_in_mutant	Other-Other	anchor1_nearest_gene	69909
loop_10155	down_in_mutant	Other-Other	anchor2_nearest_gene	14607
loop_10524	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	21371
loop_10524	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	15229
loop_10591	down_in_mutant	Other-Other	anchor1_nearest_gene	15229
loop_10591	down_in_mutant	Other-Other	anchor2_nearest_gene	16392
loop_10875	down_in_mutant	Other-Other	anchor1_nearest_gene	67293
loop_10875	down_in_mutant	Other-Other	anchor2_nearest_gene	18511
loop_10974	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	18511
loop_10974	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	20471
loop_12466	up_in_mutant	Other-Other	anchor1_nearest_gene	269109
loop_12466	up_in_mutant	Other-Other	anchor2_nearest_gene	74117
loop_13141	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	18089
loop_13141	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	18504
loop_13154	down_in_mutant	Other-Other	anchor1_nearest_gene	22326
loop_13154	down_in_mutant	Other-Other	anchor2_nearest_gene	329078
loop_13156	down_in_mutant	Other-Other	anchor1_nearest_gene	18089
loop_13156	down_in_mutant	Other-Other	anchor2_nearest_gene	21908
loop_13214	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	18089
loop_13214	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	22326
loop_13659	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	228730
loop_13659	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	15376
loop_13852	down_in_mutant	Other-Other	anchor1_nearest_gene	228730
loop_13852	down_in_mutant	Other-Other	anchor2_nearest_gene	15376
loop_13925	down_in_mutant	Promoter-Other	anchor1_nearest_gene	68986
loop_13925	down_in_mutant	Promoter-Other	anchor2_nearest_gene	15433
loop_13932	down_in_mutant	Other-Other	anchor1_nearest_gene	15438
loop_13932	down_in_mutant	Other-Other	anchor2_nearest_gene	15376
loop_14489	down_in_mutant	Other-Other	anchor1_nearest_gene	100504145
loop_14489	down_in_mutant	Other-Other	anchor2_nearest_gene	18741
loop_14494	down_in_mutant	Other-Other	anchor1_nearest_gene	18741
loop_14494	down_in_mutant	Other-Other	anchor2_nearest_gene	99686
loop_14495	down_in_mutant	Other-Other	anchor1_nearest_gene	11924
loop_14495	down_in_mutant	Other-Other	anchor2_nearest_gene	99686
loop_14905	down_in_mutant	Active_Enhancer-Other	anchor1_nearest_gene	68099
loop_14905	down_in_mutant	Active_Enhancer-Other	anchor2_nearest_gene	208890
loop_14987	down_in_mutant	Other-Other	anchor1_nearest_gene	12579
loop_14987	down_in_mutant	Other-Other	anchor2_nearest_gene	242620
loop_16829	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	102640148
loop_16829	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	20979
loop_16957	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	414128
loop_16957	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	80286
loop_17125	down_in_mutant	Other-Other	anchor1_nearest_gene	244813
loop_17125	down_in_mutant	Other-Other	anchor2_nearest_gene	387236
loop_18419	down_in_mutant	Other-Other	anchor1_nearest_gene	66880
loop_18419	down_in_mutant	Other-Other	anchor2_nearest_gene	100504145
loop_18547	down_in_mutant	Other-Other	anchor1_nearest_gene	12578
loop_18547	down_in_mutant	Other-Other	anchor2_nearest_gene	242620
loop_18550	down_in_mutant	Other-Other	anchor1_nearest_gene	70602
loop_18550	down_in_mutant	Other-Other	anchor2_nearest_gene	110805
loop_18556	down_in_mutant	Other-Other	anchor1_nearest_gene	70602
loop_18556	down_in_mutant	Other-Other	anchor2_nearest_gene	12578
loop_19055	down_in_mutant	Other-Other	anchor1_nearest_gene	21907
loop_19055	down_in_mutant	Other-Other	anchor2_nearest_gene	20464
loop_19406	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	100041639
loop_19406	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	12648
loop_19460	up_in_mutant	Promoter-Poised_Enhancer	anchor1_nearest_gene	21419
loop_19460	up_in_mutant	Promoter-Poised_Enhancer	anchor2_nearest_gene	75028
loop_19960	down_in_mutant	Promoter-Promoter	anchor1_nearest_gene	622675
loop_19960	down_in_mutant	Promoter-Promoter	anchor2_nearest_gene	17125
loop_19964	up_in_mutant	Promoter-Other	anchor1_nearest_gene	67276
loop_19964	up_in_mutant	Promoter-Other	anchor2_nearest_gene	71908
loop_19966	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor1_nearest_gene	54384
loop_19966	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor2_nearest_gene	78849
loop_19978	up_in_mutant	Other-Other	anchor1_nearest_gene	69419
loop_19978	up_in_mutant	Other-Other	anchor2_nearest_gene	404315
loop_20005	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	66732
loop_20005	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	93688
loop_20283	up_in_mutant	Other-Other	anchor1_nearest_gene	19264
loop_20283	up_in_mutant	Other-Other	anchor2_nearest_gene	16876
loop_20287	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	394252
loop_20287	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	20725
loop_20331	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	225326
loop_20331	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	73473
loop_20543	up_in_mutant	Other-Other	anchor1_nearest_gene	277854
loop_20543	up_in_mutant	Other-Other	anchor2_nearest_gene	15194
loop_20941	up_in_mutant	Other-Other	anchor1_nearest_gene	102466216
loop_20941	up_in_mutant	Other-Other	anchor2_nearest_gene	100683
