loop_id	logFC	FDR	direction	anchor1_chr	anchor1_start	anchor1_end	anchor1_annotation	anchor1_all_genes	anchor1_gene_count	anchor2_chr	anchor2_start	anchor2_end	anchor2_annotation	anchor2_all_genes	anchor2_gene_count
loop_9583	-0.452292326043221	0.0105621375536239	down	chr9	40875000	40900000	Promoter (<=1kb)	Bsx,Jhy	2	chr9	41575000	41600000	Promoter (<=1kb)	Mir125b-1,Mir100hg	2
loop_2344	0.407607541857131	0.0120629189926992	up	chr8	34870000	34880000	Exon (ENSMUST00000033929.5/21951, exon 6 of 27)	Tnks	1	chr8	35470000	35480000	Exon (ENSMUST00000033927.7/67276, exon 4 of 7)	Eri1	1
loop_2361	-0.567636305733043	0.0205159221502545	down	chr8	57540000	57550000	Promoter (1-2kb)	Galnt7	1	chr8	57960000	57970000	Promoter (<=1kb)	Galntl6	1
loop_4080	0.459325147918567	0.0164014095997052	up	chr5	15540000	15550000	Intron (ENSMUST00000178227.5/ENSMUST00000178227.5, intron 2 of 2)	NA	0	chr5	15590000	15600000	Exon (ENSMUST00000197277.1/ENSMUST00000197277.1, exon 2 of 6)	NA	0
loop_4307	0.583222953592287	0.0053478346973716	up	chr8	71140000	71150000	Distal Intergenic	NA	0	chr8	71830000	71840000	Exon (ENSMUST00000212931.1/ENSMUST00000212931.1, exon 6 of 10)	NA	0
loop_4309	0.438531496090977	0.005866821480695	up	chr8	34850000	34860000	Exon (ENSMUST00000033929.5/21951, exon 13 of 27)	Tnks	1	chr8	35460000	35470000	3' UTR	Eri1	1
loop_4389	1.49215068588679	2.56421900049556e-05	up	chr8	71210000	71220000	Distal Intergenic	NA	0	chr8	71780000	71790000	Exon (ENSMUST00000212427.1/ENSMUST00000212427.1, exon 1 of 4)	NA	0
loop_4713	0.572202495601236	0.022620335524039	up	chr9	9580000	9590000	Exon (ENSMUST00000215363.1/ENSMUST00000215363.1, exon 3 of 5)	NA	0	chr9	10900000	10910000	Promoter (<=1kb)	Cntn5	1
loop_7428	0.569481690131179	0.0075177148628495	up	chr8	34820000	34830000	3' UTR	Tnks	1	chr8	35460000	35470000	3' UTR	Eri1	1
loop_8364	0.506266118738773	0.0164014095997052	up	chr8	71130000	71140000	Distal Intergenic	NA	0	chr8	71850000	71860000	Exon (ENSMUST00000212931.1/ENSMUST00000212931.1, exon 1 of 10)	NA	0
loop_8390	0.44004598884684	0.0164014095997052	up	chr8	71130000	71140000	Distal Intergenic	NA	0	chr8	71810000	71820000	Distal Intergenic	NA	0
loop_8692	0.385417922933943	0.0112458667431278	up	chr8	40180000	40190000	Distal Intergenic	NA	0	chr8	40380000	40390000	3' UTR	Micu3	1
loop_8667	0.424038596320175	0.0037529240316719	up	chr8	36525000	36550000	Distal Intergenic	NA	0	chr8	37050000	37075000	Distal Intergenic	NA	0
loop_8758	-0.907636620590362	0.0053478346973716	down	chr8	48220000	48230000	3' UTR	Tenm3	1	chr8	49820000	49830000	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 2 of 3)	NA	0
loop_8805	0.405045328744502	0.0279548023039296	up	chr8	33210000	33220000	Distal Intergenic	NA	0	chr8	33720000	33730000	Promoter (1-2kb)	NA	0
loop_10501	-0.404442747798368	0.0164014095997052	down	chr13	9180000	9190000	Distal Intergenic	NA	0	chr13	9840000	9850000	Distal Intergenic	NA	0
loop_12019	0.564036909492803	0.0080305936373873	up	chr16	49010000	49020000	Promoter (<=1kb)	Cip2a	1	chr16	49320000	49330000	Distal Intergenic	NA	0
loop_12880	0.399036967127201	0.0152296050443023	up	chr1	79780000	79790000	3' UTR	Mrpl44	1	chr1	80100000	80110000	Distal Intergenic	NA	0
loop_19513	-0.347891210837679	0.0139417069502811	down	chr19	43600000	43625000	Promoter (<=1kb)	Mir3084-2,Nkx2-3	2	chr19	44750000	44775000	Promoter (<=1kb)	Mir3084-2,Pax2	2
loop_13109	-0.433887422733374	0.0072549435388523	down	chr19	43600000	43625000	Promoter (<=1kb)	Mir3084-2,Nkx2-3	2	chr19	45225000	45250000	Promoter (<=1kb)	Mir3084-2,Lbx1	2
loop_18042	-0.396711155978786	0.0130435399402478	down	chr19	59175000	59200000	Exon (ENSMUST00000236019.1/ENSMUST00000236019.1, exon 1 of 1)	Mir3084-2	1	chr19	59450000	59475000	Promoter (<=1kb)	Mir3084-2,Emx2,Emx2os	3
loop_14438	-0.449344269369866	0.0269274413761963	down	chr2	147080000	147090000	Promoter (<=1kb)	Nkx2-4	1	chr2	148030000	148040000	Exon (ENSMUST00000132070.1/ENSMUST00000132070.1, exon 1 of 5)	NA	0
loop_15566	-0.510023682308334	0.0265860782333663	down	chr4	82530000	82540000	Intron (ENSMUST00000139835.1/102635783, intron 1 of 1)	Gm11266,Nfib	2	chr4	82700000	82710000	Promoter (<=1kb)	Nfib	1
loop_15592	-0.664483931374313	0.0084439241924161	down	chr4	82510000	82520000	Promoter (1-2kb)	Gm11266,Nfib	2	chr4	82700000	82710000	Promoter (<=1kb)	Nfib	1
loop_16029	0.546459951447628	0.0075177148628495	up	chr5	15520000	15530000	Promoter (<=1kb)	Gm21190	1	chr5	15580000	15590000	3' UTR	Gm21083	1
loop_16581	-0.425091885207135	0.0180706558798058	down	chr6	111060000	111070000	3' UTR	Grm7	1	chr6	111860000	111870000	Distal Intergenic	NA	0
loop_16414	-1.3440356291333	0.0014165462047666	down	chr7	131550000	131575000	Promoter (<=1kb)	Bub3,Fgfr2,Hmx2	3	chr7	137300000	137325000	Promoter (<=1kb)	Ebf3	1
loop_17706	0.375262567986718	0.0180706558798058	up	chr10	56370000	56380000	Promoter (<=1kb)	Gja1	1	chr10	57180000	57190000	Distal Intergenic	NA	0
loop_17895	0.387391598664985	0.0125381759837717	up	chr8	40180000	40190000	Distal Intergenic	NA	0	chr8	40290000	40300000	Intron (ENSMUST00000118639.1/80857, intron 1 of 2)	Fgf20	1
loop_17936	1.00989598387211	2.56421900049556e-05	up	chr8	71190000	71200000	Distal Intergenic	NA	0	chr8	71810000	71820000	Distal Intergenic	NA	0
loop_18971	0.410748004377354	0.0279548023039296	up	chr1	107120000	107130000	Distal Intergenic	NA	0	chr1	107480000	107490000	Distal Intergenic	NA	0
loop_19875	0.373449281904222	0.0281586939122201	up	chr6	41760000	41770000	3' UTR	NA	0	chr6	42190000	42200000	Distal Intergenic	NA	0
loop_20048	0.602771575667794	0.0080305936373873	up	chr7	56940000	56950000	Intron (ENSMUST00000068911.12/14407, intron 5 of 9)	Gabrg3	1	chr7	57380000	57390000	Promoter (<=1kb)	Gabrg3,Gm9962	2
loop_21838	0.544817153178618	0.0152296050443023	up	chr12	56680000	56690000	Promoter (1-2kb)	NA	0	chr12	57190000	57200000	Promoter (<=1kb)	Slc25a21	1
loop_51	-0.778369948212038	0.0037923314878649	down	chr8	48200000	48225000	Distal Intergenic	NA	0	chr8	50275000	50300000	Intron (ENSMUST00000210850.1/ENSMUST00000210850.1, intron 3 of 4)	NA	0
loop_57	-0.526699063345898	0.0177223396604711	down	chr8	47850000	47875000	Exon (ENSMUST00000057561.8/52357, exon 10 of 23)	Wwc2	1	chr8	50275000	50300000	Intron (ENSMUST00000210850.1/ENSMUST00000210850.1, intron 3 of 4)	NA	0
loop_58	-0.971315924387862	0.0232482187122889	down	chr8	12375000	12400000	Promoter (<=1kb)	Sox1,Sox1ot	2	chr8	92350000	92375000	Promoter (<=1kb)	Irx5,Crnde	2
loop_59	-1.26277552432515	0.0022367399412622	down	chr8	57300000	57325000	Promoter (<=1kb)	Hand2os1,Hand2	2	chr8	108700000	108725000	Promoter (<=1kb)	Zfhx3	1
loop_60	-1.31418547582669	0.014939203019758	down	chr8	89025000	89050000	Promoter (<=1kb)	Sall1	1	chr8	108700000	108725000	Promoter (<=1kb)	Zfhx3	1
loop_62	-2.00769909675552	0.0014165462047666	down	chr8	57300000	57325000	Promoter (<=1kb)	Hand2os1,Hand2	2	chr8	89025000	89050000	Promoter (<=1kb)	Sall1	1
loop_225	-0.711085675572845	0.001576260373577	down	chr11	85825000	85850000	Promoter (<=1kb)	Bcas3,Tbx2,2610027K06Rik	3	chr11	96325000	96350000	Promoter (<=1kb)	Hoxb3os,Hoxb3	2
loop_611	-1.17816135652886	0.0203861789965565	down	chr1	138825000	138850000	Promoter (<=1kb)	Lhx9	1	chr1	184700000	184725000	Promoter (<=1kb)	4930488B22Rik	1
loop_715	-0.895280520017971	0.0072549435388523	down	chr19	25600000	25625000	Promoter (<=1kb)	Mir3084-2,Dmrt3,Dmrt1	3	chr19	59150000	59175000	Promoter (<=1kb)	Mir3084-2,Vax1	2
loop_964	0.62518332416956	0.0094993359520156	up	chr4	34650000	34675000	3' UTR	Rars2,Slc35a1	2	chr4	40975000	41000000	Promoter (<=1kb)	Mir3094,Nfx1	2
loop_966	-1.07245055489017	0.019455386982868	down	chr4	44700000	44725000	Promoter (<=1kb)	Pax5,5730488B01Rik	2	chr4	154625000	154650000	Promoter (<=1kb)	Prdm16	1
loop_1268	-0.702232013364356	0.008925482244469	down	chr10	42575000	42600000	Promoter (<=1kb)	Ostm1,Nr2e1	2	chr10	50900000	50925000	Exon (ENSMUST00000020071.3/20464, exon 2 of 11)	Sim1	1
loop_1271	-0.707195567120944	0.0143081055854705	down	chr10	22825000	22850000	Distal Intergenic	NA	0	chr10	103025000	103050000	Promoter (<=1kb)	Alx1,Lrriq1	2
loop_1294	-0.577623803711098	0.0022367399412622	down	chr8	49475000	49500000	Exon (ENSMUST00000212179.1/ENSMUST00000212179.1, exon 7 of 10)	NA	0	chr8	49800000	49825000	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 1 of 3)	NA	0
loop_1310	-0.606222476164762	0.0038780013920774	down	chr8	48525000	48550000	Intron (ENSMUST00000033965.13/23965, intron 2 of 28)	Tenm3	1	chr8	49825000	49850000	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 3 of 3)	NA	0
loop_1314	0.386219870675121	0.011857211712961	up	chr8	71125000	71150000	Exon (ENSMUST00000212780.1/ENSMUST00000212780.1, exon 13 of 15)	NA	0	chr8	72100000	72125000	Promoter (<=1kb)	Or1ab2,Or2z9	2
loop_1325	-1.79635431192262	0.0022367399412622	down	chr8	57325000	57350000	Promoter (<=1kb)	Hdnr	1	chr8	89025000	89050000	Promoter (<=1kb)	Sall1	1
loop_1446	-0.70073650896796	0.0155236594351187	down	chr9	40850000	40875000	Promoter (<=1kb)	Bsx	1	chr9	74850000	74875000	Promoter (<=1kb)	Gm16551,Onecut1	2
loop_1512	-0.478277577110739	0.0141387214545522	down	chr11	95125000	95150000	Promoter (<=1kb)	Dlx3,Dlx4,Dlx4os	3	chr11	96300000	96325000	Promoter (<=1kb)	Hoxb3,Hoxb4,Hoxb5,Hoxb6,Mir10a,Hoxb5os	6
loop_1516	-0.680888985246812	0.0022367399412622	down	chr11	85875000	85900000	Promoter (<=1kb)	Tbx4	1	chr11	96325000	96350000	Promoter (<=1kb)	Hoxb3os,Hoxb3	2
loop_2061	-0.81435560868903	0.0081050498653018	down	chr2	70550000	70575000	Promoter (<=1kb)	Gad1,Gad1os	2	chr2	74675000	74700000	Promoter (<=1kb)	Hoxd10,Hoxd11,Hoxd12,Hoxd9	4
loop_2070	-0.783590382483065	0.0139417069502811	down	chr2	148025000	148050000	Promoter (<=1kb)	Foxa2	1	chr2	172550000	172575000	Promoter (<=1kb)	Tfap2c	1
loop_2167	-0.775689703733717	0.0203861789965565	down	chr3	96325000	96350000	Promoter (<=1kb)	Platr30,Gm26689	2	chr3	127625000	127650000	Promoter (<=1kb)	Neurog2	1
loop_2250	-0.469375079554381	0.0139417069502811	down	chr4	13125000	13150000	Distal Intergenic	NA	0	chr4	14425000	14450000	Exon (ENSMUST00000121022.1/ENSMUST00000121022.1, exon 1 of 1)	NA	0
loop_2329	-0.558153256743829	0.0123851974764148	down	chr5	75175000	75200000	Promoter (<=1kb)	Mir7025,Pdgfra	2	chr5	76675000	76700000	Intron (ENSMUST00000128112.7/320827, intron 1 of 3)	Cracd	1
loop_2330	0.377730818414886	0.0223169101301851	up	chr5	32925000	32950000	Promoter (<=1kb)	Depdc5	1	chr5	34825000	34850000	Exon (ENSMUST00000080036.2/15194, exon 23 of 67)	Htt	1
loop_2586	-0.747824757412843	0.0244189885990721	down	chr8	89025000	89050000	Promoter (<=1kb)	Sall1	1	chr8	91800000	91825000	Promoter (<=1kb)	Irx3	1
loop_2588	-1.35315780232522	0.0159162927948547	down	chr8	78425000	78450000	Promoter (<=1kb)	Pou4f2	1	chr8	89025000	89050000	Promoter (<=1kb)	Sall1	1
loop_2729	-0.739012623139261	0.0022367399412622	down	chr11	85825000	85850000	Promoter (<=1kb)	Bcas3,Tbx2,2610027K06Rik	3	chr11	96300000	96325000	Promoter (<=1kb)	Hoxb3,Hoxb4,Hoxb5,Hoxb6,Mir10a,Hoxb5os	6
loop_3100	-0.616306378294882	0.0141387214545522	down	chr19	43600000	43625000	Promoter (<=1kb)	Mir3084-2,Nkx2-3	2	chr19	59150000	59175000	Promoter (<=1kb)	Mir3084-2,Vax1	2
loop_3102	-0.890281662427113	0.0105621375536239	down	chr19	25600000	25625000	Promoter (<=1kb)	Mir3084-2,Dmrt3,Dmrt1	3	chr19	59175000	59200000	Exon (ENSMUST00000236019.1/ENSMUST00000236019.1, exon 1 of 1)	Mir3084-2	1
loop_3208	-0.762544348724794	0.0244189885990721	down	chr2	147350000	147375000	Promoter (<=1kb)	Pax1,Pax1dt	2	chr2	172550000	172575000	Promoter (<=1kb)	Tfap2c	1
loop_3291	0.407124621294818	0.0244189885990721	up	chr3	35825000	35850000	Promoter (<=1kb)	Atp11b	1	chr3	36975000	37000000	Exon (ENSMUST00000057272.14/229227, exon 45 of 86)	Bltp1	1
loop_3471	-0.330340115478846	0.0203861789965565	down	chr6	42200000	42225000	Promoter (<=1kb)	Tas2r144	1	chr6	42850000	42875000	Distal Intergenic	NA	0
loop_3596	-0.315074710081474	0.0203861789965565	down	chr10	108450000	108475000	Exon (ENSMUST00000217857.1/102640148, exon 2 of 3)	Gm36283	1	chr10	109000000	109025000	Promoter (<=1kb)	Syt1	1
loop_3664	-0.53381622452861	0.0081050498653018	down	chr8	48200000	48225000	Distal Intergenic	NA	0	chr8	50150000	50175000	Intron (ENSMUST00000210850.1/ENSMUST00000210850.1, intron 3 of 4)	NA	0
loop_3726	0.340584929654899	0.019455386982868	up	chr14	6875000	6900000	5' UTR	NA	0	chr14	7725000	7750000	Exon (ENSMUST00000145085.2/ENSMUST00000145085.2, exon 1 of 3)	NA	0
loop_3951	0.328589988286789	0.0295775368310501	up	chr12	51400000	51425000	Promoter (<=1kb)	Scfd1	1	chr12	55675000	55700000	Promoter (<=1kb)	Ralgapa1	1
loop_4540	0.432076375592215	0.0239805708872319	up	chr4	32750000	32775000	Promoter (<=1kb)	Mdn1	1	chr4	34625000	34650000	Promoter (<=1kb)	Rars2	1
loop_4819	0.328223450544882	0.0105621375536239	up	chr8	34200000	34225000	Exon (ENSMUST00000188318.1/ENSMUST00000188318.1, exon 1 of 4)	NA	0	chr8	34375000	34400000	Exon (ENSMUST00000211696.1/ENSMUST00000211696.1, exon 1 of 3)	NA	0
loop_4884	0.366895361704927	0.0198980828799264	up	chr8	38650000	38675000	Promoter (<=1kb)	Sgcz	1	chr8	39000000	39025000	Promoter (<=1kb)	Tusc3	1
loop_4888	0.484837454264023	0.0081050498653018	up	chr8	71275000	71300000	5' UTR	Myo9b	1	chr8	71725000	71750000	Promoter (<=1kb)	Fcho1	1
loop_4905	-0.659836959076838	0.0014165462047666	down	chr8	48550000	48575000	Promoter (<=1kb)	Tenm3	1	chr8	49800000	49825000	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 1 of 3)	NA	0
loop_4911	-0.489783378570363	0.0163097242074147	down	chr8	48675000	48700000	Promoter (<=1kb)	Tenm3	1	chr8	49825000	49850000	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 3 of 3)	NA	0
loop_4914	0.553248237312558	0.0041446268755018	up	chr8	70900000	70925000	Promoter (<=1kb)	Map1s	1	chr8	71775000	71800000	Exon (ENSMUST00000212427.1/ENSMUST00000212427.1, exon 1 of 4)	NA	0
loop_4918	1.75692245774895	0.000759372960282	up	chr8	49800000	49825000	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 1 of 3)	NA	0	chr8	57300000	57325000	Promoter (<=1kb)	Hand2os1,Hand2	2
loop_4921	2.08939701644879	0.008891949712806	up	chr8	36325000	36350000	Distal Intergenic	NA	0	chr8	112000000	112025000	Promoter (<=1kb)	Terf2ip,Kars1	2
loop_5278	0.433060164641467	0.0218085818230721	up	chr11	84275000	84300000	Promoter (<=1kb)	Acaca	1	chr11	86225000	86250000	Promoter (<=1kb)	Ints2,Brip1os	2
loop_5289	0.480356576808429	0.014939203019758	up	chr11	84250000	84275000	Exon (ENSMUST00000103201.7/107476, exon 16 of 56)	Acaca	1	chr11	86500000	86525000	Promoter (<=1kb)	Rps6kb1	1
loop_5346	0.373433763038163	0.0105621375536239	up	chr13	94450000	94475000	Promoter (<=1kb)	Ap3b1	1	chr13	94925000	94950000	Distal Intergenic	NA	0
loop_5394	0.430036531752292	0.0141387214545522	up	chr13	25725000	25750000	Distal Intergenic	NA	0	chr13	29825000	29850000	3' UTR	Cdkal1	1
loop_5406	0.755230892503434	0.0130435399402478	up	chr13	59775000	59800000	Promoter (<=1kb)	Etohd2,Tut7	2	chr13	100050000	100075000	Promoter (<=1kb)	Bdp1	1
loop_5774	-0.425636025829636	0.0141657350120946	down	chr17	15050000	15075000	Promoter (<=1kb)	Ermard	1	chr17	15725000	15750000	Promoter (<=1kb)	Chd1	1
loop_6044	0.442915050609512	0.0146260318761259	up	chr18	30325000	30350000	3' UTR	Pik3c3	1	chr18	32075000	32100000	Promoter (<=1kb)	Iws1	1
loop_6398	0.521955395219656	0.0143777093235225	up	chr3	100750000	100775000	Distal Intergenic	NA	0	chr3	101450000	101475000	3' UTR	Igsf3	1
loop_6571	0.51187748945053	0.0047018693821115	up	chr4	32700000	32725000	Promoter (<=1kb)	Mdn1	1	chr4	34625000	34650000	Promoter (<=1kb)	Rars2	1
loop_6585	0.447916852652472	0.0146260318761259	up	chr4	32700000	32725000	Promoter (<=1kb)	Mdn1	1	chr4	41000000	41025000	Promoter (<=1kb)	Nfx1	1
loop_6730	0.44794949136839	0.026010995469866	up	chr5	29600000	29625000	Exon (ENSMUST00000049453.8/100763, exon 7 of 23)	Ube3c	1	chr5	32900000	32925000	Promoter (<=1kb)	Depdc5	1
loop_6807	-0.317092296350967	0.0138631412524675	down	chr6	18900000	18925000	Distal Intergenic	NA	0	chr6	19200000	19225000	Distal Intergenic	NA	0
loop_7111	0.445828335103364	0.0132232129786777	up	chr10	45675000	45700000	Promoter (<=1kb)	Hace1	1	chr10	46225000	46250000	Exon (ENSMUST00000214686.1/ENSMUST00000214686.1, exon 1 of 5)	NA	0
loop_7202	2.34333028913408	1.58542358000681e-05	up	chr8	49650000	49675000	Distal Intergenic	NA	0	chr8	57300000	57325000	Promoter (<=1kb)	Hand2os1,Hand2	2
loop_7417	0.469651237875856	0.014939203019758	up	chr11	84300000	84325000	Exon (ENSMUST00000103201.7/107476, exon 34 of 56)	Acaca	1	chr11	87025000	87050000	3' UTR	Gdpd1	1
loop_7483	0.65226215155329	0.021574178227729	up	chr13	12400000	12425000	Promoter (<=1kb)	Heatr1	1	chr13	100625000	100650000	Promoter (<=1kb)	Rad17	1
loop_7853	0.620633129979945	0.0119712780562376	up	chr18	31675000	31700000	Exon (ENSMUST00000178164.7/269003, exon 12 of 22)	Sap130	1	chr18	36600000	36625000	Promoter (<=1kb)	Ankhd1	1
loop_8041	0.54194912428281	0.0138631412524675	up	chr3	100750000	100775000	Distal Intergenic	NA	0	chr3	101425000	101450000	Exon (ENSMUST00000043983.10/78908, exon 3 of 11)	Igsf3	1
loop_8063	-0.531668368761095	0.0203861789965565	down	chr3	66950000	66975000	3' UTR	Shox2	1	chr3	129200000	129225000	Promoter (<=1kb)	Pitx2	1
loop_8150	0.45895623897176	0.0143777093235225	up	chr4	32725000	32750000	Promoter (<=1kb)	Mdn1	1	chr4	34625000	34650000	Promoter (<=1kb)	Rars2	1
loop_8498	0.612032596922294	0.000759372960282	up	chr8	71125000	71150000	Exon (ENSMUST00000212780.1/ENSMUST00000212780.1, exon 13 of 15)	NA	0	chr8	71825000	71850000	Exon (ENSMUST00000212931.1/ENSMUST00000212931.1, exon 4 of 10)	NA	0
loop_8561	0.341771745888228	0.0063499926113771	up	chr8	34875000	34900000	Promoter (<=1kb)	Tnks	1	chr8	35450000	35475000	3' UTR	Eri1	1
loop_8779	-0.694673289419943	0.000759372960282	down	chr8	48200000	48225000	Distal Intergenic	NA	0	chr8	49825000	49850000	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 3 of 3)	NA	0
loop_8812	0.310247061428104	0.0264750841369715	up	chr8	37125000	37150000	Intron (ENSMUST00000211374.1/ENSMUST00000211374.1, intron 1 of 3)	NA	0	chr8	39050000	39075000	3' UTR	Tusc3	1
loop_8828	-0.397021525918184	0.0203861789965565	down	chr8	80475000	80500000	Promoter (<=1kb)	Gypa	1	chr8	81000000	81025000	Promoter (<=1kb)	Usp38	1
loop_8834	-0.754770939390441	0.0105621375536239	down	chr8	89025000	89050000	Promoter (<=1kb)	Sall1	1	chr8	92350000	92375000	Promoter (<=1kb)	Irx5,Crnde	2
loop_8841	0.526177264790519	0.0105621375536239	up	chr8	36200000	36225000	3' UTR	Lonrf1	1	chr8	37050000	37075000	Distal Intergenic	NA	0
loop_8845	-1.23338733335528	0.0020581611589264	down	chr8	12375000	12400000	Promoter (<=1kb)	Sox1,Sox1ot	2	chr8	89025000	89050000	Promoter (<=1kb)	Sall1	1
loop_8846	-0.699352595907757	0.0223169101301851	down	chr8	57325000	57350000	Promoter (<=1kb)	Hdnr	1	chr8	108225000	108250000	Intron (ENSMUST00000220518.1/11906, intron 2 of 15)	Zfhx3	1
loop_8847	-0.960055279119097	0.0265233094967848	down	chr8	12375000	12400000	Promoter (<=1kb)	Sox1,Sox1ot	2	chr8	57325000	57350000	Promoter (<=1kb)	Hdnr	1
loop_9644	-0.595063304934702	0.0295775368310501	down	chr9	69750000	69775000	Promoter (<=1kb)	B230323A14Rik,Foxb1	2	chr9	74850000	74875000	Promoter (<=1kb)	Gm16551,Onecut1	2
loop_9656	-0.690527358393859	0.0228820904134496	down	chr9	40875000	40900000	Promoter (<=1kb)	Bsx,Jhy	2	chr9	74850000	74875000	Promoter (<=1kb)	Gm16551,Onecut1	2
loop_9657	-0.705936081443634	0.0203861789965565	down	chr9	55525000	55550000	Promoter (<=1kb)	Isl2,Scaper	2	chr9	74850000	74875000	Promoter (<=1kb)	Gm16551,Onecut1	2
loop_10149	-0.540374045603432	0.0203861789965565	down	chr11	85825000	85850000	Promoter (<=1kb)	Bcas3,Tbx2,2610027K06Rik	3	chr11	96175000	96200000	Promoter (<=1kb)	Hoxb13	1
loop_10155	-0.726864890897287	0.0066738896651772	down	chr11	85825000	85850000	Promoter (<=1kb)	Bcas3,Tbx2,2610027K06Rik	3	chr11	96000000	96025000	Promoter (<=1kb)	Igf2bp1,Gip	2
loop_10524	-0.450751533510876	0.0132492221415787	down	chr13	94700000	94725000	Exon (ENSMUST00000221742.1/ENSMUST00000221742.1, exon 1 of 5)	NA	0	chr13	98350000	98375000	Promoter (<=1kb)	Foxd1	1
loop_10591	-0.70451688849716	0.0244189885990721	down	chr13	98350000	98375000	Promoter (<=1kb)	Foxd1	1	chr13	116300000	116325000	Promoter (<=1kb)	Isl1	1
loop_10875	-0.392411946958903	0.0223169101301851	down	chr12	49375000	49400000	Promoter (<=1kb)	Foxg1,3110039M20Rik	2	chr12	56675000	56700000	Promoter (<=1kb)	Pax9	1
loop_10974	-0.783604647339721	0.0175119435369202	down	chr12	56675000	56700000	Promoter (<=1kb)	Pax9	1	chr12	73025000	73050000	Promoter (<=1kb)	Six1	1
loop_12466	0.322412267368637	0.0139417069502811	up	chr1	124700000	124725000	Intron (ENSMUST00000239072.1/269109, intron 1 of 25)	Dpp10	1	chr1	125350000	125375000	Distal Intergenic	NA	0
loop_13141	-0.313251823856758	0.0269386986512202	down	chr19	43600000	43625000	Promoter (<=1kb)	Mir3084-2,Nkx2-3	2	chr19	44725000	44750000	Exon (ENSMUST00000236936.1/ENSMUST00000236936.1, exon 1 of 6)	Mir3084-2	1
loop_13154	-0.431653425377823	0.0123851974764148	down	chr19	59150000	59175000	Promoter (<=1kb)	Mir3084-2,Vax1	2	chr19	59450000	59475000	Promoter (<=1kb)	Mir3084-2,Emx2,Emx2os	3
loop_13156	-0.417871141604092	0.008925482244469	down	chr19	43600000	43625000	Promoter (<=1kb)	Mir3084-2,Nkx2-3	2	chr19	45150000	45175000	Promoter (<=1kb)	Mir3084-2,Tlx1	2
loop_13214	-0.565140239231705	0.0293576746073575	down	chr19	43600000	43625000	Promoter (<=1kb)	Mir3084-2,Nkx2-3	2	chr19	59175000	59200000	Exon (ENSMUST00000236019.1/ENSMUST00000236019.1, exon 1 of 1)	Mir3084-2	1
loop_13659	-0.323979208919178	0.0223169101301851	down	chr2	146825000	146850000	Exon (ENSMUST00000139345.1/ENSMUST00000139345.1, exon 1 of 2)	NA	0	chr2	148025000	148050000	Promoter (<=1kb)	Foxa2	1
