gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	ABC.Score_WT	ABC.Score_KO	logFC_AxC
Paxx	-0.454121	0.010412	132.372786	FALSE	-2.53849	-5.612921	7	0	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	10.058414567242188	9.4422911653882	0.189368	0.143719	-0.3979393382589428
Cd80	0.008717	0.996602	48.158004	FALSE	-2.492258	-3.287425	6	0	6	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	9.861291353211756	9.245167951357768	0.539162	0	-19.040361969569233
Sod2	0.060561	0.725339	418.755062	FALSE	2.429544	4.9836	6	6	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	9.593892468354849	8.977769066500858	0	0.343931	18.391763827270257
Tspan3	-0.02661	0.894973	478.791093	FALSE	2.23835	2.650625	3	3	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	8.77868274817544	8.162559346321451	0	0.419148	18.677103661915286
Ddo	-0.207249	0.391257	131.897403	FALSE	-2.140947	-2.548938	5	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	8.363377496051237	7.74725409419725	0.392279	0.216743	-0.8558917262395264
Clk4	0.075624	0.547833	949.728151	FALSE	2.122498	2.802847	5	5	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	8.284714964132924	7.668591562278936	0	0.383626	18.54934473649074
E2f4	0.005351	0.99004	280.852599	FALSE	-2.08282	-4.332829	10	1	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	8.115536583654045	7.499413181800057	0.209194	0.126318	-0.7277767146232209
Exoc3l	-1.347031	0	37.975737	TRUE	-2.08282	-4.370476	10	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	8.115536583654045	7.499413181800057	0.207234	0.125519	-0.7233504235121305
Gsdme	-0.098053	0.306528	467.0271	FALSE	2.060095	2.614278	4	4	0	FALSE	NA	1	1	0	0.317247060256668	-0.317247060256668	TRUE	TRUE	2	0	0.9044788099717967	1.744492097101303	8.01864211577808	10.66761302285118	0	0.480255	18.873444112515376
Insig2	0.151759	0.263554	277.609514	FALSE	-2.053933	-2.142496	2	0	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.992368685148743	7.376245283294756	0.76353	0	-19.54232720727865
Cystm1	-0.0345	0.807869	772.473322	FALSE	-2.03995	-4.38637	7	0	7	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.932748207951402	7.316624806097415	0.18767	0	-17.517846208310687
Selenom	-0.311444	0.107776	370.453749	FALSE	-2.007707	-2.696836	9	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.7952710538161005	7.179147651962113	0.153651	0.058718	-1.3877672417600666
Fgfr1	0.183346	0.090764	1656.989853	FALSE	1.977318	5.785402	10	10	0	TRUE	Control	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	7.665698953297611	8.049575551443622	0	0.249233	17.92714136577415
Wdr1	-0.228712	0.062109	678.487401	FALSE	-1.961433	-4.156413	6	0	6	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.5979687609011455	6.981845359047158	0.260718	0	-17.992136198111783
Dnajc18	-0.245649	0.021859	392.380901	FALSE	1.949552	3.264406	6	6	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.547310755495894	6.931187353641906	0	0.225185	17.78075761109823
Asic4	-0.068676	0.948752	17.645262	FALSE	-1.878599	-3.660477	11	5	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.24478256279168	6.628659160937692	0.225513	0.157767	-0.5154123853990445
Clnk	-0.86405	0.018076	16.356314	TRUE	-1.870148	-4.722268	7	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.208749332955826	6.592625931101838	0.386126	0.422444	0.12968808419715688
Senp3	-0.076363	0.571538	404.761227	FALSE	-1.828289	-1.964709	11	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.030271641830635	6.414148239976647	0.158883	0.073959	-1.103156719294379
Cnot7	0.177829	0.568429	59.624095	FALSE	1.818097	2.400882	7	7	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.986815165852997	6.37069176399901	0	0.50641099999999994	18.94995206588429
Homez	-0.280147	0.088979	116.469975	FALSE	-1.805954	-8.166585	8	0	8	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.935040049310958	6.3189166474569705	0.124128	0	-16.921480683124457
Gm26981	0.011125	0.983808	215.800713	FALSE	1.777824	3.731038	9	9	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.81509983451004	6.198976432656052	0	0.332809	18.3443392574761
Gmppa	-0.288163	0.156332	271.017695	FALSE	-1.697258	-2.814515	11	3	4	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.471583896164828	5.855460494310841	0.308617	0.258506	-0.25561886168533166
Rtn4r	-0.188741	0.164124	1174.088941	FALSE	-1.66727	-1.609613	6	2	3	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	6.34372157261524	6.727598170761253	0.326994	0.274158	-0.2542557412749057
Zbtb46	-0.056415	0.738747	1526.588094	FALSE	-1.655627	-1.213977	7	4	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.29407834755562	5.677954945701632	0.413166	0.358681	-0.20401968222723366
Hagh	-0.134428	0.50212	230.776943	FALSE	1.649462	3.420733	7	7	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.2677921255773885	5.651668723723401	0	0.204396	17.641014495972204
Efcab15	-0.322284	0.393426	34.309508	FALSE	1.641748	5.584008	12	12	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.234901303786621	5.618777901932634	0	0.180048	17.458030061196066
Il11	-1.427029	0	32.388686	TRUE	-1.611335	-2.496647	9	4	2	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	6.105226872476975	6.489103470622988	0.234732	0.116789	-1.0071039272587319
Tmem190	-1.664161	0	29.847778	TRUE	-1.611335	-2.497795	9	4	2	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	6.105226872476975	6.489103470622988	0.234639	0.116742	-1.0071129287826164
Eef1a1	-0.286424	0.111243	1263.745344	FALSE	-1.592458	-1.661243	5	2	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.024739441449712	5.408616039595724	0.581026	0.490134	-0.24542603473134839
Rps10	0.15842	0.625818	106.292133	FALSE	-1.584412	-3.457964	7	1	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.990433043714617	5.37430964186063	0.103542	0.053359	-0.9563994521633256
Inpp5j	-0.448181	6.3e-5	554.233373	FALSE	-1.574075	-2.572855	8	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.946358319207078	5.33023491735309	0.140094	0.06108	-1.1976098799885306
Tmem238	-1.45205	0	95.854032	TRUE	-1.56582	-2.807594	10	2	2	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	5.911160790832333	6.295037388978345	0.190329	0.096604	-0.9783332126353493
Gm28401	-0.917426	0.07266	16.613416	FALSE	-1.550919	-4.802725	13	4	5	FALSE	NA	4	4	0	0.585277781779022	-0.45451373265036227	TRUE	TRUE	2	0	4.421687961938113	3.512532271923644	5.8476261608732685	13.781846394735023	0.184268	0.106718	-0.7879963303939272
Fat2	-0.18825	0.073885	14014.30689	FALSE	-1.538941	-1.508949	7	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.796554568520428	5.18043116666644	0.42138	0.378575	-0.1545423111160319
Apex2	0.189435	0.505415	206.321538	FALSE	1.532336	2.740587	9	9	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.7683922820376665	5.152268880183679	0	0.372085	18.505276583496183
Pxylp1	0.008187	0.974731	1854.47332	FALSE	-1.527717	-5.890674	9	0	9	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.7486978685230765	5.132574466669089	0.187328	0	-17.515214731826532
Mgat3	-0.098814	0.439111	1342.840397	FALSE	-1.494243	-1.790073	8	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.605971997558059	4.989848595704071	0.162852	0.094092	-0.7914109931077148
Heg1	-1.66262	0	775.307293	TRUE	-1.484324	-2.691714	8	1	4	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.563679534329822	4.947556132475834	0.300369	0.209648	-0.5187647795341102
Tssk5	-1.078769	3.7e-5	25.7838	TRUE	-1.481703	-2.689236	7	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.552504159178979	4.936380757324992	0.211561	0.150231	-0.49388837382783046
Nab2	-1.162431	0	229.282106	TRUE	-1.478994	-3.50259	6	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.54095357112723	4.924830169273243	0.122541	0.064334	-0.9296005809445557
