gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	ABC.Score_WT	ABC.Score_KO	logFC_AxC	loop_logFC_signed	boundary_flag	ATAC_FC	H2AK119ub_FC	H3K27ac_FC	H3K27me3_FC
Cobl	-0.262099	0.353439	79.144385	FALSE	0.233095	0.319821	14	4	6	TRUE	Mutant	9	0	9	0.806071166067635	0.5702091677399028	TRUE	TRUE	3	1	10.283703215215304	4.968975665949646	0.22871063901740815	16.481389520182358	0.156362	0.32962	1.075908989144369	0.5702091677399028	1	2.79746148846523	1.61707710838209	0.630147973801285	-1.08874396028286
Adam12	0.727643	0	294.370967	TRUE	0.425958	1.046864	8	3	1	TRUE	Mutant	8	1	7	0.824200362858701	0.3404089866205148	TRUE	TRUE	3	1	9.111300164559866	5.088563256811658	1.0510366129651332	16.25090003433666	0.108537	0.188891	0.7993613717568336	0.3404089866205148	1	2.6041307119499	0.743512859982756	-0.742862968402684	-1.06102938146061
Gap43	-0.370897	0.024524	2258.063685	FALSE	0.367977	0.108373	9	3	3	FALSE	NA	10	6	4	0.652914420895264	0.01177809104137917	TRUE	TRUE	2	0	11.456106265870744	3.9586911844851	0.8038182128808088	16.218615663236655	0.06133	0.112088	0.869956324953514	0.01177809104137917	0	0.839688736921844	1.67823168108831	-1.28980511848834	-0.128483450622338
Syt1	-2.493288	0	12572.08513	TRUE	-0.261382	-1.594783	9	0	2	TRUE	Control	9	7	2	0.700274583089885	-0.2224852011934709	TRUE	TRUE	3	1	10.283703215215304	4.271098168918072	0.3493202677438062	15.904121651877183	0.035704	0.017346	-1.041439934356585	-0.2224852011934709	1	1.5698493820387	1.6409618248335	-2.57906807376718	3.8367737658084198
Cttn	0.086766	0.541893	511.61111	FALSE	0.176142	0.063995	6	1	2	FALSE	NA	9	2	7	0.887982533764969	0.20441191217783755	TRUE	TRUE	2	0	10.283703215215304	5.509296521861133	-0.01412459217906182	15.778875144897375	0.126872	0.151023	0.2513927537248502	0.20441191217783755	0	0.129991467034288	NA	0.263121453112529	NA
Mpdz	-1.003615	0	795.30667	TRUE	0.039026	-0.945199	13	1	6	TRUE	Control	10	10	0	0.569680714409841	-0.4313068096796197	FALSE	TRUE	2	1	11.456106265870744	3.4096476415294275	-0.5987574571859126	15.26699645021426	0.010975	0.039645	1.8528229289586238	-0.4313068096796197	1	1.85170446993112	1.61251338915299	-2.20894927440791	3.11725897229452
Tmem161b	-0.241305	6.04e-4	1051.49201	FALSE	0.217566	-0.489702	16	5	4	FALSE	NA	10	10	0	0.587775891771127	-0.417718658547511	TRUE	TRUE	2	0	11.456106265870744	3.5290108263299467	0.1624983533564249	15.147615445557117	0.044754	0.078231	0.8057099795687233	-0.417718658547511	0	-1.30174067944079	2.053742780444	-2.28577947322599	3.60299035804464
Angpt1	-1.978162	0	457.752094	TRUE	-0.380397	-1.116814	7	1	4	FALSE	NA	8	8	0	0.824911416210738	-0.4751401089012885	TRUE	TRUE	2	0	9.111300164559866	5.093253655306663	0.856774397304108	15.061328217170637	0.123042	0.064311	-0.936002723440373	-0.4751401089012885	0	-1.800342093373	1.40246176791725	-2.11421700398086	4.44396786922438
Nyx	-0.826315	0.057034	13.05869	FALSE	-3.788131	-11.566117	11	0	11	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	15.386612575206437	14.770489173352448	0.271743	0	-18.051888655905376	0	0	-0.706053530292883	-0.389266384471032	-1.55148584833354	NA
Nckap5	-0.087906	0.80643	596.473183	FALSE	-0.02831	0.164029	13	7	3	TRUE	Mutant	9	1	8	0.645780332513054	0.28353867654747567	FALSE	TRUE	2	1	10.283703215215304	3.91163182204023	-0.6444481554371263	14.550886881818409	0.057482	0.006573	-3.1282919955354522	0.28353867654747567	1	1.03137812224007	1.05149485812447	-0.140329241636117	-0.737599670547108
Trim36	0.218084	0.556414	36.795315	FALSE	-0.154761	-0.046886	12	4	4	FALSE	NA	8	0	8	0.818208172398066	0.42295817477458575	TRUE	TRUE	2	0	9.111300164559866	5.049036319714984	-0.1052885357502823	14.055047948524567	0.132138	0.042838	-1.6250596234053254	0.42295817477458575	0	-0.853505045837958	1.28230023659227	-1.07726394113134	-0.406940590554971
Cntnap2	-1.261873	0	12921.788188	TRUE	-0.209111	-0.244363	4	1	2	TRUE	Control	8	8	0	0.601466608445091	-0.40044901179874526	TRUE	TRUE	3	1	9.111300164559866	3.6193203884734033	0.12644806838871192	13.85706862142198	0.05103	0.01081	-2.2388739367524892	-0.40044901179874526	1	0.911151910945878	1.8333283991363	-1.95367060936285	2.40543554785053
Zmynd11	0.21776	0.010368	2332.988134	FALSE	0.074321	0.112513	9	2	2	FALSE	NA	7	1	6	1.01311171109921	0.4565485226857296	TRUE	TRUE	2	0	7.938897113904428	6.334699711886706	-0.4482672374419236	13.825329588349213	0.043495	0.063367	0.5428717491346942	0.4565485226857296	0	0.306863271820206	0.560810107760417	1.00104142686046	NA
Gm28401	-0.917426	0.07266	16.613416	FALSE	-1.550919	-4.802725	13	4	5	FALSE	NA	4	4	0	0.585277781779022	-0.45451373265036227	TRUE	TRUE	2	0	4.421687961938113	3.512532271923644	5.8476261608732685	13.781846394735023	0.184268	0.106718	-0.7879963303939272	-0.45451373265036227	0	-1.35513132960034	1.27535835506582	-1.94601312099123	NA
Dhx32	-0.422497	0	328.042409	FALSE	-0.112545	-0.257367	9	1	4	FALSE	NA	9	0	9	0.625802372293926	0.4385036080177322	TRUE	TRUE	2	0	10.283703215215304	3.779849032075703	-0.28528839739392137	13.778263849897083	0.107427	0.085016	-0.33754680939400655	0.4385036080177322	0	0.359923483202955	0.372078195902627	-1.08738061170851	NA
Tmem132b	0.643302	4.1e-5	112.159532	TRUE	-0.053912	0.02828	11	2	2	TRUE	Mutant	7	1	6	0.855457298738027	0.3080505518635374	TRUE	TRUE	3	1	7.938897113904428	5.294746779590725	-0.5352867839713207	13.698357109523831	0.043195	0.015702	-1.4598575163362217	0.3080505518635374	1	1.31669173661386	0.460725311262909	-0.867925970723546	-0.985137003840099
Nkain3	1.676183	0	271.779684	TRUE	0.12957	0.292666	8	3	4	TRUE	Control	4	0	4	1.28734035539557	0.8988979998210865	TRUE	TRUE	3	1	4.421687961938113	8.14362391822099	-0.21269749241753916	13.352614387741564	0.016935	0.054371	1.6827707222269561	0.8988979998210865	1	3.50898068502722	2.06911317295402	2.08329547617586	-1.16821863027961
Ggh	-0.195672	0.4232	101.388797	FALSE	0.076141	-0.03412	13	3	4	FALSE	NA	5	1	4	1.28734035539557	0.6078244268225304	TRUE	TRUE	2	0	5.594091012593551	8.14362391822099	-0.4405071524459168	13.297207778368625	0.003279	0.035226	3.4249138973857782	0.6078244268225304	0	2.04485429862874	1.70184168046202	-0.947314387567232	NA
Mcemp1	-0.129119	0.895543	16.088121	FALSE	-3.425745	-5.462288	6	0	6	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	13.841477321710324	13.225353919856335	0.493545	0	-18.912825028984994	0	0	-0.786126154406584	0.0547148656749116	-1.09324575860812	NA
Tigit	-1.804208	3.51e-4	10.385155	TRUE	0.240158	0.627423	8	8	0	FALSE	NA	8	7	1	0.608249329950787	-0.31581571665326064	TRUE	TRUE	2	0	9.111300164559866	3.6640619914082806	0.25882573809806536	13.034187894066212	0	0.155635	17.247816281639192	-0.31581571665326064	0	-0.597146582150134	1.63148598681013	-1.27502316817788	0.0510419876585313
Epha5	2.508837	0	866.392238	TRUE	0.692434	1.773786	7	3	3	TRUE	Mutant	4	0	4	0.870564439075675	0.720470261029924	TRUE	TRUE	3	1	4.421687961938113	5.3943996510673005	2.1872324423035443	13.003320055308958	0.089755	0.180219	1.0056788353985797	0.720470261029924	1	2.82368538489126	2.25446499946299	2.25836839852925	-1.35941457493341
Plxna2	-0.139804	0.302467	3354.262735	FALSE	3.108156	5.844856	6	6	0	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	12.487346753690105	12.871223351836116	0	0.369834	18.49652223767823	0	1	-0.950907973408136	0.772405332355655	-0.894407168841292	NA
Svep1	-1.985089	0	1330.944619	TRUE	-0.748093	-1.695216	6	1	2	TRUE	Mutant	6	3	3	0.424993429859573	-0.04956084363373031	TRUE	TRUE	3	1	6.76649406324899	2.455231183528397	2.4245503383435127	12.6462755851209	0.203799	0.156242	-0.38336249591465055	-0.04956084363373031	1	-0.463121616828227	1.34226300379865	-1.93508265134349	NA
Tpk1	-0.604286	0	1022.32656	TRUE	-0.458261	-1.093614	7	2	5	TRUE	Mutant	5	5	0	0.77147728872594	-0.5968829648479574	TRUE	TRUE	3	1	5.594091012593551	4.740780313582579	1.188769594078324	12.523640920254454	0.091766	0.036094	-1.3461764405215675	-0.5968829648479574	1	-0.971083130252623	1.8333283991363	-1.97387066984874	2.86508637773681
Gm15663	-1.066948	1e-6	39.41557	TRUE	-1.366688	-2.10319	4	1	2	FALSE	NA	4	2	2	0.503813035789609	0.089168399230147	TRUE	TRUE	2	0	4.421687961938113	2.9751575153177416	5.062105161478033	12.458950638733889	0.208277	0.100311	-1.0540162571417182	0.089168399230147	0	-1.3519971194163	1.66302760300729	-1.85413969765338	2.53318382371355
Onecut2	1.775246	0	336.642287	TRUE	0.367239	0.53629	9	3	2	FALSE	NA	4	2	2	1.13832226024143	-0.2927341910232385	TRUE	TRUE	2	0	4.421687961938113	7.1606396636117875	0.8006715410527576	12.38299916660266	0.098298	0.158732	0.6913534451311343	-0.2927341910232385	0	2.20242909886554	1.11297976206276	-1.44513958397142	NA
Dctd	-0.18849	0.755345	19.198765	FALSE	-0.028945	0.329439	11	3	2	FALSE	NA	8	4	4	0.61593548355768	-0.02757813042710614	FALSE	TRUE	1	0	9.111300164559866	3.7147630016867206	-0.6417406532544535	12.184322512992134	0.033786	0.008248	-2.0341771153180876	-0.02757813042710614	0	0.895418274895714	1.39524806869181	-0.547606325520358	-0.974240712885687
Grik4	0.487827	1.28e-4	427.614867	FALSE	0.093073	0.384718	7	1	1	TRUE	Mutant	7	1	6	0.572901318228105	0.33744762776765697	TRUE	TRUE	3	1	7.938897113904428	3.430892060473403	-0.36831277928526446	12.001476395092563	0.01738	0.035305	1.0224022912612285	0.33744762776765697	1	1.26065143694219	-0.429699535979518	1.35710826746075	-1.2368367558328
Cdh8	-1.206488	0	3350.01147	TRUE	-0.139419	-0.66483	5	1	2	FALSE	NA	8	8	0	0.499289638027787	-0.3715426623106262	TRUE	TRUE	2	0	9.111300164559866	2.945319335111463	-0.17070349399684082	11.885916005674488	0.165276	0.194604	0.2356628051642048	-0.3715426623106262	0	-0.937189152439309	1.38185652993649	-1.69227716882946	NA
Rbm25	0.057419	0.796877	1973.231478	FALSE	3.103792	4.159306	4	4	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	12.468739604831548	11.85261620297756	0	0.342989	18.387806989141843	0	0	0.138119583280001	NA	-0.121045945530884	NA
Rsrc1	0.231127	0.157789	879.242315	FALSE	0.115595	0.036821	12	5	7	FALSE	NA	6	5	1	0.850380542318386	-0.5008984435763508	TRUE	TRUE	2	0	6.76649406324899	5.261258419537328	-0.2722838593511627	11.755468623435156	0.162412	0.22893	0.4952457197407613	-0.5008984435763508	0	1.08486518233709	1.13955572847003	-0.284416752871415	-0.0339266150675129
Myc	0.681368	0.345076	10.747098	FALSE	0.454143	1.349085	8	3	1	TRUE	Mutant	4	0	4	0.818645046401275	0.5001840365403267	TRUE	TRUE	3	1	4.421687961938113	5.05191811917671	1.1712113358291176	11.64481741694394	0.095802	0.151336	0.6596220128294688	0.5001840365403267	1	2.28917383274055	1.14803014873412	1.74218878519227	-1.08508250468457
Kcnn2	0.179644	0.316009	1966.006077	FALSE	-0.084388	-0.050228	7	2	2	TRUE	Mutant	7	1	6	0.517557164787109	0.33145516392926944	TRUE	TRUE	3	1	7.938897113904428	3.065819406975165	-0.4053437343348903	11.599372786544704	0.036945	8e-4	-5.527472124975162	0.33145516392926944	1	1.09959432550334	1.28230023659227	-1.07726394113134	-0.110713083005577
Stxbp5l	-0.423583	0.002794	5227.20261	FALSE	-0.539133	-0.844398	10	4	3	TRUE	Mutant	6	6	0	0.364168266982651	-0.32626180401750066	TRUE	TRUE	3	1	6.76649406324899	2.05400355187595	1.5335902500107756	11.354087865135714	0.161733	0.12973	-0.3180997351186315	-0.32626180401750066	1	-1.202629100448	1.61045685848169	-2.88047443362083	NA
Khdrbs3	1.923649	0	322.459433	TRUE	0.210786	0.593014	12	5	4	FALSE	NA	6	4	2	0.722260810886389	-0.06767165464130931	TRUE	TRUE	2	0	6.76649406324899	4.416128312538279	0.13358990485481712	11.316212280642086	0.112457	0.175976	0.646000587802621	-0.06767165464130931	0	-1.77579368424606	1.43892202005214	1.99893690547424	-1.39705094551634
Dlgap2	2.235078	0	341.548891	TRUE	0.1976	0.428651	4	1	2	TRUE	Control	6	0	6	0.564881609870098	0.4361166441031682	TRUE	TRUE	3	1	6.76649406324899	3.37799078674336	0.07736766268045134	11.2218525126728	0.008851	0.058814	2.7321087863240963	0.4361166441031682	1	3.48639465911995	1.03696477414646	1.18703001420602	-0.882303292123142
Fam133b	0.141767	0.332456	445.703585	FALSE	-0.07624	0.057046	16	4	5	FALSE	NA	5	0	5	0.970849948973045	0.8380551342937856	TRUE	TRUE	2	0	5.594091012593551	6.0559238578597885	-0.4400850379323977	11.209929832520942	0.037945	0.003085	-3.62013784788664	0.8380551342937856	0	2.04850884870519	1.43704985524692	1.63072230768407	-0.731774685565974
Nav3	-0.559932	0.007851	3818.866906	TRUE	0.030961	-0.221815	4	2	0	TRUE	Control	5	4	1	0.844265986118768	-0.4152806910071284	FALSE	TRUE	2	1	5.594091012593551	5.220924308019324	-0.6331448667973384	11.181870453815538	0.015728	0.03032	0.9468903833265584	-0.4152806910071284	1	1.12777092322025	1.69235277338606	-2.14469274702358	3.5193669550628
Vps13a	-0.014057	0.974258	1509.522649	FALSE	-0.229309	-0.206455	13	4	5	FALSE	NA	5	4	1	0.838938214949579	-0.3434172705673054	TRUE	TRUE	2	0	5.594091012593551	5.185780152096135	0.21256795671252812	10.992439121402214	0.102884	0.01383	-2.8950552873283724	-0.3434172705673054	0	0.491218689483297	0.963473580124002	-1.9539048585694	-0.498653330879792
Gnat2	0.083745	0.942017	12.608927	FALSE	2.901671	3.460705	4	4	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	11.606939528195344	10.990816126341356	0	0.447592	18.771827948319807	0	0	0.0162105927968578	NA	NA	NA
Vax2	-0.006084	0.99287	49.884049	FALSE	-0.049383	-0.121034	9	0	3	FALSE	NA	4	3	1	1.12504897828188	-0.6820965649758415	FALSE	TRUE	1	0	4.421687961938113	7.073083671436944	-0.554597457019076	10.94017417635598	0.03048	0.011712	-1.3797996001640838	-0.6820965649758415	0	1.34764284895	NA	0.0563411770051501	NA
Cenpc1	0.050276	0.853615	473.095848	FALSE	-0.061301	0.036654	3	0	2	TRUE	Mutant	6	2	4	0.580489103657753	0.15085064683427865	TRUE	TRUE	3	1	6.76649406324899	3.480944194054778	-0.5037816916441261	10.74365656565964	0.062209	0.033381	-0.8980761134566385	0.15085064683427865	1	-1.13904464309065	1.60131094796568	0.197375008119212	NA
Gsdme	-0.098053	0.306528	467.0271	FALSE	2.060095	2.614278	4	4	0	FALSE	NA	1	1	0	0.317247060256668	-0.317247060256668	TRUE	TRUE	2	0	0.9044788099717967	1.744492097101303	8.01864211577808	10.66761302285118	0	0.480255	18.873444112515376	-0.317247060256668	0	0.300451406563636	0.52534895270606	0.0374254176784556	NA
Nrg3	-0.017888	0.976206	9003.237283	FALSE	0.056782	0.15533	6	0	2	TRUE	Control	5	0	5	0.747760355531914	0.6367831102246378	TRUE	TRUE	3	1	5.594091012593551	4.5843337298758735	-0.52304972686223306	10.655375015607191	0.182984	0.165133	-0.14808819775503587	0.6367831102246378	1	-0.43988571462307	0.880469848910916	-1.17985272725211	0.27933624165879
Etv1	-0.161534	0.510997	8405.257906	FALSE	-0.243454	-0.165669	13	2	2	TRUE	Mutant	6	6	0	0.439709923912543	-0.3663918073223118	TRUE	TRUE	3	1	6.76649406324899	2.5523071924664804	0.2728791667501744	10.591680422465643	0.03449	0.014561	-1.244011443241557	-0.3663918073223118	1	1.69282852623389	2.3699578397773	-2.37578669642775	NA
Grid1	0.57691	1.8e-5	1297.056089	TRUE	0.234637	0.468358	8	2	3	TRUE	Control	5	1	4	0.616621952318271	0.404870875157524	TRUE	TRUE	3	1	5.594091012593551	3.719291230169605	0.2352853923491898	10.548667635112343	0.110931	0.170711	0.6218888819184937	0.404870875157524	1	1.52978990402922	0.69946701284187	0.921979141670951	-1.34535411623485
Dipk2a	-0.300667	0.003634	1199.669352	FALSE	0.387556	-0.290243	5	1	2	TRUE	Control	4	4	0	0.693425681985245	-0.46916500646125625	TRUE	TRUE	3	1	4.421687961938113	4.2259200183030545	0.8872988195493897	10.534906799790557	0.094355	0.135894	0.5263062105071777	-0.46916500646125625	1	-0.913488846951643	1.59202047270323	-1.69392524741139	1.67775976935636
Cnr1	-0.739792	0	3617.500795	TRUE	-1.061247	-4.422381	9	0	5	FALSE	NA	4	4	0	0.407900527865251	-0.3722678899506465	TRUE	TRUE	2	0	4.421687961938113	2.342479416646548	3.7597710289146744	10.523938407499337	0.135719	0.093554	-0.5367466704102944	-0.3722678899506465	0	0.850968346789768	1.68208684389746	-1.97067427533221	2.9864586855909
Sox6	0.004181	0.994216	585.082848	FALSE	-3.51e-4	0.459827	7	5	2	FALSE	NA	8	0	8	0.376621083973942	0.34386313544673003	FALSE	TRUE	1	0	9.111300164559866	2.1361474218221295	-0.7636592633510572	10.483788323030938	0.202841	0.149589	-0.4393426692351247	0.34386313544673003	0	1.1683043557068	1.03705369550345	NA	-0.722246438322578
Shb	2.172654	0	166.092297	TRUE	0.889477	2.856204	8	4	3	TRUE	Control	3	0	3	0.537664223035783	0.48451196841218735	TRUE	TRUE	3	1	3.249284911282674	3.19845378030085	3.027381029044296	10.47511972062782	0.053553	0.153213	1.5164818898126566	0.48451196841218735	1	1.40158489429951	0.273180052179757	1.84404054570106	-1.6343976376973
Csmd3	0.451984	0.178571	3289.905268	FALSE	0.354231	0.497671	9	3	5	TRUE	Mutant	5	3	2	0.527071564812169	-0.14963073290546278	TRUE	TRUE	3	1	5.594091012593551	3.1285802777742004	0.7452082522461334	10.467879542613884	0.17018	0.22381	0.39521096939477907	-0.14963073290546278	1	3.23232846760339	2.10698010892208	-1.63134005001268	NA
Casc3	0.105672	0.606622	549.867209	FALSE	2.773375	7.625137	10	10	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	11.059913228938374	10.443789827084386	0	0.203098	17.631823610680467	0	0	-0.283345883910176	NA	-0.919910684529564	NA
Ndst3	-0.64432	3e-6	5882.488019	TRUE	-0.754252	-0.876084	4	1	3	TRUE	Control	4	4	0	0.43863070613811	-0.39691695457376824	TRUE	TRUE	3	1	4.421687961938113	2.5451882309842206	2.4508109776239557	10.417687170546287	0.1493	0.075753	-0.9788298548980742	-0.39691695457376824	1	1.0544245770556	2.34951528156198	-2.5760439446917	NA
Ostf1	-0.469193	0.004132	87.884329	FALSE	-0.081315	-0.513936	6	1	3	FALSE	NA	5	2	3	0.838938214949579	-0.00215000138461457	TRUE	TRUE	2	0	5.594091012593551	5.185780152096135	-0.4184463393858403	10.361424825303846	0.160903	0.192214	0.2565207337363153	-0.00215000138461457	0	1.72490448703684	0.894154465710656	0.030438719213525	NA
Zfp462	0.906525	0	1438.654055	TRUE	1.216163	1.520275	10	3	1	FALSE	NA	3	1	2	0.455352679414107	0.068104291585455	TRUE	TRUE	2	0	3.249284911282674	2.6554932004531873	4.420299230695658	10.32507734243152	0.407839	0.525629	0.3660443404448906	0.068104291585455	0	1.2602059649871	0.730707087452943	1.14295187636503	0.380970646969976
