gene	chr	start	end	mod_difference	dmr_qvalue	direction	n_atac_up	n_atac_down	net_atac
Peak1	chr9	56201125	56418066	0.0834497348114789	6.93919513054732e-53	Hypermethylated	0	0	0
Plcl2	chr17	50509402	50688483	0.0902698568596564	1.99103086268668e-52	Hypermethylated	2	2	0
Cntn6	chr6	104492789	104863405	0.0620963174231715	1.15139542928228e-49	Hypermethylated	1	2	-1
Kcnd2	chr6	21215502	21729804	0.0555542720891178	3.16244142872413e-49	Hypermethylated	2	3	-1
Jph1	chr1	16964559	17097888	0.116427152747354	1.03023726838098e-48	Hypermethylated	0	1	-1
Kcnab1	chr3	64949195	65378222	0.0574567555969465	2.65538932464148e-48	Hypermethylated	1	3	-2
Ext1	chr15	53064037	53346158	0.0633954526556253	8.68750366574453e-48	Hypermethylated	0	2	-2
Wipf3	chr6	54429602	54503767	0.142509781164221	1.07102811943014e-46	Hypermethylated	0	1	-1
Cdk17	chr10	93160874	93267070	0.103747403170037	8.86849874894689e-46	Hypermethylated	0	0	0
Zfp385b	chr2	77410633	77819638	0.0525721080387711	1.9973809039449e-45	Hypermethylated	3	0	3
Lrrtm3	chr10	63928471	64090276	0.0868770889527879	4.60389418615227e-45	Hypermethylated	4	3	1
Ldlrad3	chr2	101950202	102186384	0.0880092479817981	6.18425393367254e-45	Hypermethylated	0	3	-3
Ldlrad4	chr18	67933256	68268629	0.0613392414455767	3.9820163493472e-44	Hypermethylated	1	1	0
Trp53bp2	chr1	182409171	182462431	0.129154721510786	2.07676802591069e-43	Hypermethylated	0	2	-2
Galnt13	chr2	54436316	55118308	0.0503644124677041	3.1469315503676e-43	Hypermethylated	0	0	0
Cpeb2	chr5	43233169	43289723	0.133237736018754	3.41471370068727e-43	Hypermethylated	0	2	-2
Bach2	chr4	32238803	32586107	0.0495711039602093	4.08628077677359e-43	Hypermethylated	0	3	-3
Tmem117	chr15	94629231	95096097	0.038853638039131	2.89571036487128e-42	Hypermethylated	0	2	-2
Sesn1	chr10	41809934	41908423	0.11894650221423	3.36206730257358e-42	Hypermethylated	0	2	-2
Gramd1b	chr9	40293232	40531382	0.0776113180889807	8.64097634421411e-42	Hypermethylated	0	2	-2
Magi1	chr6	93675454	94283916	0.0332814304366497	1.16114758425677e-40	Hypermethylated	0	1	-1
1700025G04Rik	chr1	151852402	152090124	0.0669078489886898	1.75283558429519e-40	Hypermethylated	1	2	-1
Cdyl2	chr8	116574399	116732990	0.0829409156286306	2.3516006142517e-40	Hypermethylated	1	0	1
Svep1	chr4	58042441	58206858	0.0656114603138616	3.0726977899278e-40	Hypermethylated	0	1	-1
Cdh7	chr1	109982430	110140156	0.0887420294446217	3.71934122896918e-40	Hypermethylated	0	2	-2
Ank3	chr10	69398772	70027437	0.0407594368849625	1.52088663032172e-39	Hypermethylated	0	5	-5
Sgcz	chr8	37522297	38661507	-0.0294585878280058	1.54836741134753e-39	Hypomethylated	2	0	2
Add3	chr19	53140442	53247398	0.0967472411284265	1.78653857255775e-39	Hypermethylated	0	0	0
Angpt1	chr15	42424722	42676976	0.0576429216671955	4.11212502371435e-39	Hypermethylated	0	6	-6
Csmd1	chr8	15892536	17535585	-0.0232627613239149	7.89298113003513e-39	Hypomethylated	12	0	12
Prune2	chr19	16956117	17223931	0.0514300496269356	1.5747798913727e-38	Hypermethylated	1	5	-4
Lrrc4	chr6	28661830	28831746	0.084008549353888	2.59272303295204e-38	Hypermethylated	1	7	-6
Rtn1	chr12	72211751	72409053	0.0686728100448726	4.37891443406709e-38	Hypermethylated	2	0	2
Mgll	chr6	88724411	88828359	0.125161291537043	5.70516347583939e-38	Hypermethylated	0	2	-2
Pkib	chr10	57631980	57741111	0.117711187467188	7.47704942657507e-38	Hypermethylated	0	0	0
Boc	chr16	44485048	44558896	0.159558687830958	7.83229941344653e-38	Hypermethylated	0	3	-3
Fat1	chr8	44935446	45052256	0.0673382976467621	3.56677426363057e-37	Hypermethylated	0	1	-1
Prag1	chr8	36094827	36147786	0.143292991235068	7.93271528531567e-37	Hypermethylated	1	1	0
Lrrn1	chr6	107529767	107570213	0.140984645320972	2.46750330107218e-36	Hypermethylated	0	4	-4
Sptb	chr12	76580487	76710546	0.115066027093783	4.41230285921225e-36	Hypermethylated	0	2	-2
Pan3	chr5	147430160	147548501	0.0988648276393711	4.82740269520246e-36	Hypermethylated	0	1	-1
Rab3c	chr13	110054186	110280995	0.0636487991385849	5.63504205878055e-36	Hypermethylated	0	5	-5
Reep3	chr10	67009188	67096944	0.112649223349509	7.53669011730829e-36	Hypermethylated	1	0	1
Chka	chr19	3851772	3894368	0.138959681843707	1.03272755699606e-35	Hypermethylated	0	2	-2
Sema5a	chr15	32244809	32696340	0.0372304630447046	1.20968122605997e-35	Hypermethylated	0	7	-7
Stxbp5l	chr16	37114941	37384961	0.0768791505249852	2.84496843042459e-35	Hypermethylated	0	5	-5
Sbf2	chr7	110308012	110614921	0.0533232303313496	3.07482108042014e-35	Hypermethylated	0	0	0
Map4k3	chr17	80580511	80728484	0.0763414514475078	4.96885117335635e-35	Hypermethylated	0	2	-2
Itgb5	chr16	33829664	33949337	0.120307636847554	6.27684962570557e-35	Hypermethylated	0	8	-8
Ubash3b	chr9	41011097	41161696	0.103667550847379	9.03169764524219e-35	Hypermethylated	0	0	0
Opcml	chr9	27790774	28925409	0.0282436066344889	2.77023399645135e-34	Hypermethylated	7	6	1
Ntn4	chr10	93640680	93747206	0.108683025928842	3.6674690667907e-34	Hypermethylated	0	1	-1
Rnf182	chr13	43615709	43670944	0.136028462909941	3.71852039037624e-34	Hypermethylated	1	0	1
Snx13	chr12	35047185	35147478	0.085494490150452	3.81735150136374e-34	Hypermethylated	0	1	-1
Tpk1	chr6	43345000	43666277	0.0492086521303512	6.15966526088659e-34	Hypermethylated	0	3	-3
Dlg2	chr7	90476671	92449246	0.0209238719296105	8.41795776287631e-34	Hypermethylated	0	1	-1
Chl1	chr6	103510585	103750210	0.0625928998469579	1.94831262738885e-33	Hypermethylated	1	3	-2
Oxr1	chr15	41447481	41861047	0.0468113159028298	2.44872997204744e-33	Hypermethylated	1	2	-1
Gap43	chr16	42248441	42340650	0.102793468940968	3.11817684802881e-33	Hypermethylated	2	0	2
Zfp521	chr18	13687012	13972786	0.0536355359444091	5.13088068142891e-33	Hypermethylated	2	0	2
Tmem65	chr15	58782268	58823637	0.122861962382464	1.84553994987777e-32	Hypermethylated	0	1	-1
Cdh18	chr15	22549021	23474417	0.0317522903879501	2.0242972423446e-32	Hypermethylated	1	0	1
Flrt3	chr2	140650913	140671468	0.159908992956269	4.11366838874465e-32	Hypermethylated	0	3	-3
Dock9	chr14	121542045	121797836	0.0627712977570631	4.11366838874465e-32	Hypermethylated	0	0	0
Gnai1	chr5	18265134	18360354	0.102174747850108	4.15171696872737e-32	Hypermethylated	0	1	-1
Fntb	chr12	76765588	76921411	0.0898695163340906	7.1335770794125e-32	Hypermethylated	0	0	0
Rora	chr9	68653785	69388245	0.0387999233633551	1.23952577480824e-31	Hypermethylated	0	4	-4
Cdk19	chr10	40339563	40483817	0.0812638816504073	1.33959887627925e-31	Hypermethylated	0	0	0
Pkp4	chr2	59160849	59355207	0.0602251978052433	3.07370230341097e-31	Hypermethylated	0	0	0
Tmem132c	chr5	127241807	127565792	0.0622321670493788	4.97920383847072e-31	Hypermethylated	0	2	-2
Arid5b	chr10	68092519	68278739	0.0523331358223725	7.24773192743825e-31	Hypermethylated	0	0	0
Cblb	chr16	52031224	52208047	0.0535023216860016	9.96201354043342e-31	Hypermethylated	0	0	0
Pip5k1b	chr19	24294793	24555871	0.0520884540925195	2.17003353212104e-30	Hypermethylated	0	0	0
Lyn	chr4	3678114	3813121	0.0957847941003911	2.27485346345046e-30	Hypermethylated	0	4	-4
Fgf12	chr16	28160097	28753067	0.0365189392390719	2.65518183541212e-30	Hypermethylated	0	0	0
Snca	chr6	60731574	60829854	0.0881886337176596	5.54074501424926e-30	Hypermethylated	0	2	-2
Gclm	chr3	122245556	122270731	0.156146540185565	5.7486188013825e-30	Hypermethylated	0	5	-5
Slc7a8	chr14	54722208	54781945	0.106821952614807	1.07132975996285e-29	Hypermethylated	0	1	-1
Slc12a2	chr18	57878677	57946820	0.0926100047170227	1.19838735756367e-29	Hypermethylated	0	1	-1
Gls	chr1	52163447	52233231	0.10178060409397	1.33978288077411e-29	Hypermethylated	1	4	-3
Exph5	chr9	53301669	53377513	0.12848172929311	2.38482425380397e-29	Hypermethylated	0	1	-1
Csmd2	chr4	127987856	128567655	-0.0471132430060694	3.05879383990999e-29	Hypomethylated	3	0	3
Tspan5	chr3	138742194	138907904	0.0698585075681685	3.90148987899314e-29	Hypermethylated	1	1	0
Jarid2	chr13	44729473	44921642	0.0627576924875465	3.9372164511589e-29	Hypermethylated	1	2	-1
Lpcat3	chr6	124663026	124704417	0.128980822513016	5.05286468400042e-29	Hypermethylated	0	3	-3
Rapgef4	chr2	71981239	72257473	0.0552673333193594	7.63340512597599e-29	Hypermethylated	1	1	0
Sybu	chr15	44671855	44788062	0.0972720101734972	1.4082464618723e-28	Hypermethylated	0	0	0
Rap1gds1	chr3	138925901	139075200	0.0551133941731692	1.86126972951517e-28	Hypermethylated	0	0	0
Nsmaf	chr4	6396206	6454270	0.109781446089697	2.82185211150412e-28	Hypermethylated	0	3	-3
Arid1b	chr17	4994331	5347655	0.0514035348337298	3.16479277577243e-28	Hypermethylated	1	0	1
Wdfy2	chr14	62837677	62961508	0.0800973875671659	3.62177670510667e-28	Hypermethylated	0	0	0
Elp4	chr2	105701026	105904563	0.0565137415390123	4.61484361181663e-28	Hypermethylated	0	2	-2
Fut9	chr4	25609331	25800243	0.0676970101422799	5.83308806410831e-28	Hypermethylated	1	1	0
Acvr1	chr2	58388643	58567156	0.0609191777884714	1.15935415321809e-27	Hypermethylated	0	0	0
Plekha5	chr6	140424053	140597109	0.0708521643719728	1.77102711697825e-27	Hypermethylated	1	0	1
Ror1	chr4	100095790	100444764	0.0476055315407908	2.29038696993235e-27	Hypermethylated	1	0	1
Fam78b	chr1	167001416	167091301	0.100815654905691	2.74303040482551e-27	Hypermethylated	0	3	-3
Zbtb38	chr9	96682769	96752830	0.0764574094228101	7.57531554181714e-27	Hypermethylated	1	0	1
Armh4	chr14	49675951	49783382	0.0919759264940959	8.28575648816803e-27	Hypermethylated	0	0	0
Fam107b	chr2	3570487	3782141	0.0642688877262337	1.07774007658163e-26	Hypermethylated	0	4	-4
Ptprr	chr10	116018212	116274931	0.0476141958352967	1.16761296443274e-26	Hypermethylated	0	0	0
Nrxn3	chr12	88722875	90334934	0.0207328693082297	2.38225977409047e-26	Hypermethylated	2	2	0
St18	chr1	6487230	6860939	0.0489934312115243	2.58543047156752e-26	Hypermethylated	0	1	-1
Plcxd3	chr15	4375490	4575552	0.0700398677510463	3.94664454244091e-26	Hypermethylated	1	0	1
Celf2	chr2	6539693	7509562	0.0257559527975488	4.46291620569023e-26	Hypermethylated	2	2	0
Fam184a	chr10	53633144	53751122	0.0663378317835275	5.1626685007464e-26	Hypermethylated	0	0	0
Dock4	chr12	40445951	40846873	0.0399665327303469	5.54554730583954e-26	Hypermethylated	0	0	0
Elmo1	chr13	20090595	20608352	0.030971844842034	6.36934209547381e-26	Hypermethylated	1	0	1
Lrrc49	chr9	60568858	60688157	0.0849637267342501	7.12227987426935e-26	Hypermethylated	0	5	-5
Denn2b	chr7	109523910	109703604	0.0746915239346304	7.65482880482689e-26	Hypermethylated	0	0	0
Mctp1	chr13	76384534	77031809	0.0372096422248773	1.00352245454331e-25	Hypermethylated	0	0	0
Cpeb4	chr11	31872210	31935633	0.120485915533601	1.23970350053699e-25	Hypermethylated	0	0	0
Sergef	chr7	46443153	46639806	0.0672364590477029	1.67622038985548e-25	Hypermethylated	1	2	-1
Nampt	chr12	32819544	32853348	0.103777071170305	1.86322961449526e-25	Hypermethylated	0	3	-3
Focad	chr4	88094628	88411010	0.0406355982564565	3.46683140664805e-25	Hypermethylated	0	0	0
Camk2d	chr3	126596301	126846325	0.0500285113638848	4.59073068804723e-25	Hypermethylated	0	0	0
Rnf152	chr1	105276913	105356709	0.110440765144632	5.60850518550318e-25	Hypermethylated	1	0	1
Cadps2	chr6	23262772	23839420	0.036943344689861	5.841079558713e-25	Hypermethylated	1	1	0
Epha7	chr4	28813130	28967498	0.0460473740257985	6.02282817343334e-25	Hypermethylated	0	0	0
Foxo1	chr3	52268335	52353220	0.0708704477971158	6.35594752032684e-25	Hypermethylated	0	2	-2
Micu1	chr10	59702476	59864131	0.0546789078502197	6.35594752032684e-25	Hypermethylated	0	2	-2
Lnpep	chr17	17521409	17625049	0.0877807122146204	6.35594752032684e-25	Hypermethylated	0	0	0
Ptprj	chr2	90429753	90580646	0.0872879087559104	9.5595573025235e-25	Hypermethylated	0	2	-2
Erbb4	chr1	68032185	69108058	0.0222695067298644	9.60869765747834e-25	Hypermethylated	1	1	0
Sgk1	chr10	21882183	21999902	0.0777650230565592	1.79127917071281e-24	Hypermethylated	0	0	0
Galnt17	chr5	130872081	131308496	0.0461828996325773	2.35399758718298e-24	Hypermethylated	3	5	-2
Lrrc3b	chr14	15357514	15438986	0.104146825375666	3.40425951125637e-24	Hypermethylated	0	4	-4
Slco3a1	chr7	74275418	74554779	0.0634323119957593	3.41770555775339e-24	Hypermethylated	0	5	-5
Foxn2	chr17	88440710	88490532	0.127303876616343	3.55088158711458e-24	Hypermethylated	0	11	-11
Zhx2	chr15	57694664	57839831	0.0864170396083307	3.96440781291987e-24	Hypermethylated	0	8	-8
Nav3	chr10	109681258	110456203	0.024990781698663	4.32340990333804e-24	Hypermethylated	1	1	0
Cntn4	chr6	105677659	106699309	0.0229912858995204	5.96183654508966e-24	Hypermethylated	0	1	-1
Spop	chr11	95414079	95493405	0.0999937032139991	6.13554500817695e-24	Hypermethylated	0	1	-1
Fut8	chr12	77238124	77476337	0.0728021335218272	9.71507980506178e-24	Hypermethylated	0	2	-2
Slc20a2	chr8	22476787	22569611	0.0739021792568542	1.06488240210681e-23	Hypermethylated	0	0	0
Slc13a1	chr6	24088282	24168091	0.0814744392313649	1.78643104808322e-23	Hypermethylated	0	3	-3
Ctnna3	chr10	63430097	65003666	0.0171938018874496	1.86728896921822e-23	Hypermethylated	2	0	2
Ssx2ip	chr3	146404641	146440143	0.0975739297832066	2.32973934173895e-23	Hypermethylated	0	1	-1
Gm37240	chr3	84496425	85887517	0.0194303727778362	2.51897256383752e-23	Hypermethylated	0	0	0
Ntrk2	chr13	58806568	59133969	0.0447279810122501	2.52729138708107e-23	Hypermethylated	3	1	2
Arhgef3	chr14	27114898	27403910	0.0515236299520112	2.84210594115855e-23	Hypermethylated	1	5	-4
Nrip1	chr16	76287399	76373826	0.0677621746018713	3.09032233830455e-23	Hypermethylated	0	1	-1
Kif26b	chr1	178529124	178939199	0.0436780570964599	3.41873219614226e-23	Hypermethylated	4	6	-2
Gpr158	chr2	21367541	21830546	0.048744105154058	3.91130532372775e-23	Hypermethylated	0	0	0
Hmgcll1	chr9	76014854	76136349	0.0619115290967798	4.04275049342537e-23	Hypermethylated	0	0	0
Crtam	chr9	40969690	41004627	0.143492457039913	4.15610506921584e-23	Hypermethylated	0	1	-1
Btbd3	chr2	138256564	138589291	0.0428425666780604	7.42680206145223e-23	Hypermethylated	5	4	1
Ano3	chr2	110655200	110950922	0.047989716702825	7.67021189445923e-23	Hypermethylated	0	1	-1
Lyst	chr13	13590396	13778802	0.0526733712384019	9.03347383548668e-23	Hypermethylated	0	2	-2
Frmd6	chr12	70825513	70902233	0.0729049576647708	1.30173268589174e-22	Hypermethylated	1	0	1
Lhfp	chr3	53041527	53261678	0.0577504834509343	1.98349780964987e-22	Hypermethylated	0	0	0
Robo1	chr16	72308305	73046094	0.0190102349762402	2.07273446970444e-22	Hypermethylated	0	14	-14
Nav2	chr7	48908715	49610089	0.0381924308034809	2.18810433658783e-22	Hypermethylated	0	2	-2
Zic4	chr9	91362412	91389347	0.137658476299087	2.7094296943638e-22	Hypermethylated	1	4	-3
Lnx2	chr5	147016654	147076585	0.0901163175202253	2.71526290382767e-22	Hypermethylated	1	0	1
Spry2	chr14	105891946	105896818	0.251106644373266	3.08750870089955e-22	Hypermethylated	1	2	-1
App	chr16	84949684	85173765	0.0456264023480032	4.10162134281786e-22	Hypermethylated	1	1	0
Mapk10	chr5	102907947	103211333	0.0412909957258378	4.5339341690256e-22	Hypermethylated	1	1	0
Etv1	chr12	38779379	38870483	0.0674995509775626	6.04203549579619e-22	Hypermethylated	2	2	0
Dpp6	chr5	26817202	27727504	0.0382979156553418	8.01213523480866e-22	Hypermethylated	2	4	-2
B3galt1	chr2	67565870	68122688	-0.0272505736497322	8.70316937840477e-22	Hypomethylated	0	0	0
Sdcbp	chr4	6365649	6408422	0.115156991366294	1.18018460311758e-21	Hypermethylated	1	1	0
Tiam1	chr16	89787110	90143768	0.0411202942941347	1.32242952083223e-21	Hypermethylated	1	0	1
Clybl	chr14	122181703	122402233	0.0535467623040625	1.62398078401576e-21	Hypermethylated	0	0	0
Cnnm1	chr19	43440435	43497209	0.105713742503035	3.0360480971027e-21	Hypermethylated	0	0	0
Mycbp2	chr14	103113410	103346813	0.040000356705159	3.42514857526371e-21	Hypermethylated	0	0	0
Chn2	chr6	54039553	54301809	0.0529923600610002	3.61962204165811e-21	Hypermethylated	2	2	0
Kcnma1	chr14	23289430	24014490	-0.0251787064820133	4.71273729469697e-21	Hypomethylated	1	0	1
Lgi1	chr19	38264535	38312213	0.109245772015736	4.82485018769468e-21	Hypermethylated	0	2	-2
Pde3a	chr6	141249268	141507447	0.0381472490449729	4.83322834997299e-21	Hypermethylated	0	1	-1
Fam13a	chr6	58932089	59024548	0.0732469921663551	5.38825230122397e-21	Hypermethylated	0	0	0
Sgms1	chr19	32122726	32389713	0.0437067632833958	9.11023548242955e-21	Hypermethylated	0	0	0
Sema6a	chr18	47235597	47368869	0.0554949710384736	1.2604418347218e-20	Hypermethylated	1	0	1
Gm49361	chr14	57642076	57746102	0.0727993265855007	1.37089964926949e-20	Hypermethylated	0	0	0
Pcsk2	chr2	143546155	143816284	0.0510498835329947	1.38818794176856e-20	Hypermethylated	0	0	0
Syt9	chr7	107370727	107548655	0.0667407784086211	1.62394290793536e-20	Hypermethylated	0	0	0
Asap2	chr12	20990458	21270170	0.0424046458801398	1.63546023556542e-20	Hypermethylated	2	0	2
Cd47	chr16	49800532	49915009	0.0670690451300033	1.79946714688936e-20	Hypermethylated	0	3	-3
Cdk8	chr5	146231229	146302873	0.0467690410296742	1.89927931301729e-20	Hypermethylated	0	0	0
Tbc1d8	chr1	39371491	39478754	0.0779358273960027	1.99451571256726e-20	Hypermethylated	0	2	-2
Scd2	chr19	44293673	44306863	0.131019812304484	2.54325527068249e-20	Hypermethylated	0	1	-1
Plcxd2	chr16	45959262	46010217	0.0932241486739389	2.76461692826992e-20	Hypermethylated	0	0	0
Setbp1	chr18	78750379	79109390	0.0403834758289299	3.02076927564485e-20	Hypermethylated	3	1	2
Kirrel3	chr9	34485893	35036715	0.0407109055476332	3.3316092645991e-20	Hypermethylated	3	0	3
Shld1	chr2	132686930	132751054	0.116874234798866	3.99355335465583e-20	Hypermethylated	0	0	0
Gabrb2	chr11	42419756	42629027	0.0546660345767597	4.2406782022726e-20	Hypermethylated	1	2	-1
Gprin3	chr6	59347225	59426293	0.0974008943362589	4.31047341412014e-20	Hypermethylated	0	2	-2
Ubl3	chr5	148504634	148552788	0.10927453214398	4.55411974321866e-20	Hypermethylated	0	0	0
Hs6st3	chr14	119138340	119869814	0.0185982843710638	4.84988858331367e-20	Hypermethylated	1	0	1
Msra	chr14	64122624	64455902	0.0525242588531633	7.2413023801972e-20	Hypermethylated	2	0	2
B4galt6	chr18	20684598	20746403	0.0881387208524371	8.02258171710563e-20	Hypermethylated	0	1	-1
Ypel2	chr11	86936424	86993706	0.107705303517097	8.70434175623714e-20	Hypermethylated	0	0	0
Pcmtd1	chr1	7088919	7173627	0.074559832692396	1.03087370290153e-19	Hypermethylated	0	0	0
Ppp3ca	chr3	136670123	136937726	0.0415666809240756	1.0534854820399e-19	Hypermethylated	2	2	0
Asph	chr4	9448068	9669343	0.0512189776468998	1.08562068787345e-19	Hypermethylated	0	1	-1
Cnpy1	chr5	28200818	28245805	0.128987512130545	1.55931699946471e-19	Hypermethylated	0	2	-2
Usp25	chr16	77013705	77116779	0.0478167671642546	1.72456930648943e-19	Hypermethylated	0	0	0
Cep85l	chr10	53273442	53379946	0.0726079589100703	1.9482922992243e-19	Hypermethylated	0	0	0
Brinp3	chr1	146494759	146902471	0.0369027933357685	3.07385114638962e-19	Hypermethylated	1	2	-1
Traf3	chr12	111166369	111267152	0.0710179893006792	3.14523670627651e-19	Hypermethylated	0	0	0
Tbl1xr1	chr3	22076651	22216593	0.0666577307544167	3.25673074871672e-19	Hypermethylated	0	0	0
Epb41l3	chr17	69075682	69289988	0.0421532891914225	3.53434523514335e-19	Hypermethylated	2	0	2
Spock1	chr13	57421194	57908331	0.032981135167449	3.67206543199738e-19	Hypermethylated	0	2	-2
Smc5	chr19	23206450	23273896	0.0681872831937518	3.75024163147612e-19	Hypermethylated	1	0	1
Cnr1	chr4	33924592	33948830	0.119054465187404	4.06998364633526e-19	Hypermethylated	0	4	-4
Epc2	chr2	49451485	49551947	0.0722903545299112	4.45230597316157e-19	Hypermethylated	0	0	0
Lrig1	chr6	94604528	94700157	0.0700996219101009	7.40660076557173e-19	Hypermethylated	0	1	-1
