TargetGene	log2FC	padj	baseMean	sum_delta_activity	sum_delta_contact	sum_delta_unnorm	sum_delta_abc	n_enhancers	is_de
1810037I17Rik	0.020246	0.97303	49.257391	-25.443473	-0.008897	-0.492633	-0.053506	8	FALSE
1810044D09Rik	0.182313	0.928774	3.424001	-4.861756	-0.030893	-0.426415	-0.044806	12	FALSE
1810055G02Rik	-0.213851	0.290069	206.164032	-14.633582	-0.006011	-0.1718	-0.007215	8	FALSE
1810059C17Rik	0.696666	0.575554	4.745263	-0.381140999999996	-0.019906	-0.481608	0.021719	10	FALSE
2010001A14Rik	-0.466273	0.39045	16.157078	0.968209000000001	0.020017	0.042886	0.012808	7	FALSE
2010109A12Rik	0.551705	0.203976	22.600412	-4.52140900000001	-0.023612	-0.532547	-0.029723	8	FALSE
2010308F09Rik	-0.057211	0.97112	8.26337	-11.176787	0.047616	0.501307	0.01997	10	FALSE
2010315B03Rik	0.187659	0.351978	111.776438	4.682333	-0.032035	-0.139016	-0.027535	5	FALSE
2010320M18Rik	-0.096292	0.964191	4.10137	-4.32779	0.006395	-0.157738	-0.008752	9	FALSE
2010320O07Rik	-0.933423	0.002139	20.793884	-11.392382	-0.033233	-1.990351	-0.035904	11	TRUE
2200002D01Rik	-0.166512	0.915738	4.283545	-5.781526	0.012959	0.063576	0.01324	12	FALSE
2210016L21Rik	0.021362	0.958387	255.10754	2.906928	0.014424	0.222465	0.014392	5	FALSE
2210406O10Rik	-1.086975	0.209373	4.233358	-14.974075	0.019506	-0.144579	0.005849	7	FALSE
2210408F21Rik	-0.130913	0.694822	287.63611	8.285134	0.029708	0.937948	0.049926	7	FALSE
2210408I21Rik	-0.164665	0.463422	696.84672	3.817172	-0.002687	-0.050989	-0.055942	8	FALSE
2300009A05Rik	-0.067008	0.800305	153.582358	-2.427153	-0.00951	-0.220476	-0.026267	3	FALSE
2310001H17Rik	0.71502	0.579102	3.310201	5.869468	0.001638	0.08364	0.0766	9	FALSE
2310009B15Rik	-0.110514	0.915738	13.385117	3.067836	-0.004954	0.050571	-0.010854	5	FALSE
2310011J03Rik	0.069511	0.899721	37.957777	5.684766	-0.00527400000000003	0.148801	-0.001962	12	FALSE
2310015A10Rik	-0.155902	0.516676	211.885929	5.163186	-0.006547	-0.055658	-0.007852	4	FALSE
2310016D03Rik	-0.201569	0.941891	2.471876	-17.712129	0.000791	-0.000634000000000004	0.015532	8	FALSE
2310022A10Rik	0.253001	0.086531	145.964284	6.630407	-0.00412000000000001	0.06178	-0.009754	11	FALSE
2310022B05Rik	-0.100453	0.723584	159.428648	-1.386881	0.025044	-0.19809	0.000114000000000001	8	FALSE
2310026L22Rik	-0.297959	0.836543	5.367959	0.993329000000001	0.003989	0.102849	0.007978	2	FALSE
2310030G06Rik	-1.557318	0.015038	5.719521	-0.674242000000001	-0.022988	-0.933426	0.00135199999999999	12	TRUE
2310033P09Rik	0.079564	0.882649	52.352661	4.714512	-0.00355000000000002	0.05434	0.006158	8	FALSE
2310040G24Rik	-0.328284	0.829081	4.477617	2.222386	-0.032781	-0.607737	-0.00386499999999999	9	FALSE
2310058D17Rik	0.220759	0.765222	30.633316	6.324006	0.05919	0.477961	0.024132	11	FALSE
2310061I04Rik	0.1217	0.472386	193.745082	1.789843	0.00258499999999999	0.218944	0.006289	8	FALSE
2410004B18Rik	0.079033	0.852063	67.768842	13.534451	-0.011989	-0.216202	-0.041324	8	FALSE
2410006H16Rik	-0.146074	0.818923	20.649281	2.019758	0.00589300000000001	-0.005524	-0.021749	7	FALSE
2500002B13Rik	-1.034813	0.094182	8.72379	-29.558482	-0.003692	-0.805695	0.00272	7	FALSE
2500004C02Rik	0.195979	0.76196	17.522906	-2.682972	0.005292	-0.137331	-0.013015	5	FALSE
2510009E07Rik	0.020757	0.918962	440.060636	1.553822	-0.004143	-0.015072	-0.0023	1	FALSE
2510039O18Rik	-0.077389	0.760901	108.049356	0.158811	0.00540699999999999	0.097288	0.002803	9	FALSE
2600014E21Rik	-0.047089	0.982787	4.540718	114.88772	0.185307	0.38662	0.455913	9	FALSE
2610008E11Rik	-0.041471	0.875922	200.20042	-5.855243	0.005184	0.023731	0.002224	4	FALSE
2610021A01Rik	-0.016254	0.970133	167.797823	10.707914	0.024178	0.707391	0.12859	5	FALSE
2610027K06Rik	-0.500961	0.267279	14.715372	3.48238	-0.009023	-0.008177	-0.008175	10	FALSE
2610035D17Rik	0.055545	0.881416	1315.458849	-1.04701	0.024338	0.05105	-0.021556	8	FALSE
2610035F20Rik	-0.304426	0.150464	190.636413	-28.396165	-0.100749	-2.622914	0.020302	13	FALSE
2610037D02Rik	0.114605	0.490995	885.671259	3.185025	-0.00193400000000002	0.277134	0.022605	6	FALSE
2610042L04Rik	0.170994	0.908533	5.752021	1.029984	0.001632	0.008585	0.00456	2	FALSE
2610203C22Rik	0.910436	0.295953	4.852326	1.457	-0.000257999999999989	-0.147623	0.000693000000000001	7	FALSE
2610307P16Rik	0.09676	0.878359	37.672307	-9.637891	0.011559	0.080216	0.045946	15	FALSE
2610316D01Rik	0.407278	0.112515	49.779637	-0.251600999999998	-0.00107600000000001	0.118308	-0.032211	6	FALSE
2610507I01Rik	-0.389419	0.590186	8.971158	5.853103	-0.006695	0.202656	0.015876	8	FALSE
2700038G22Rik	-0.391109	0.437601	16.55995	2.754598	0.00525300000000001	0.106687	0.01188	6	FALSE
2700049A03Rik	-0.016741	0.957559	542.550065	1.164144	-0.01187	-0.132178	-0.013387	8	FALSE
2700062C07Rik	0.018812	0.976206	111.921883	6.261193	0.039514	0.151482	0.040348	8	FALSE
2700097O09Rik	-0.07834	0.71737	272.31071	10.402789	0.024553	0.655388	0.030036	8	FALSE
2810002D19Rik	-0.139334	0.751995	62.783693	-15.594704	-0.00266799999999999	-0.296472	0.014397	6	FALSE
2810021J22Rik	-0.239438	0.339296	78.289178	7.249416	0.00563500000000001	0.179821	0.052015	10	FALSE
2810032G03Rik	-0.049442	0.912115	67.346322	4.783501	0.008665	0.31764	0.014612	4	FALSE
2810403D21Rik	-0.307139	0.380983	31.134196	8.228726	0.00674200000000002	0.436436	0.051628	4	FALSE
2810405F17Rik	-0.139966	0.77428	28.820965	-2.32178	0.00903799999999999	-0.353448	-0.01353	6	FALSE
2810407A14Rik	-0.555382	0.686117	4.324727	-0.552983999999997	0.008592	-0.067082	-0.075213	12	FALSE
2810408I11Rik	-0.478617	0.852978	1.889896	-1.149165	-0.009132	-0.127258	-0.018565	6	FALSE
2810414N06Rik	-0.384792	0.820549	2.866103	2.728796	0.002856	0.09538	0.009137	1	FALSE
2810429I04Rik	0.147313	0.714184	52.59209	5.12112299999999	-0.019181	-0.164184	-0.115295	7	FALSE
2810459M11Rik	0.157215	0.838497	12.302237	-7.469077	0.027117	0.090882	0.029125	9	FALSE
2900005J15Rik	-0.098464	0.930672	10.846288	-8.523191	0.032031	0.184714	0.007864	12	FALSE
2900026A02Rik	0.219856	0.332051	100.050532	-4.432778	0.033402	0.053731	0.012859	7	FALSE
2900041M22Rik	-2.218038	0.054326	2.461079	-21.35345	0.015963	-0.614464	-0.061804	8	FALSE
2900052L18Rik	-0.041413	0.960455	47.519445	4.435763	0.002591	0.542301	0.029434	5	FALSE
2900076A07Rik	0.016312	0.97381	79.147431	5.996382	0.002061	0.124629	0.024492	4	FALSE
2900079G21Rik	0.405564	0.460836	16.425944	-13.236692	0.006062	-0.584201	-0.021745	10	FALSE
3010001F23Rik	0.078397	0.762642	213.178808	0.127236999999999	-0.005723	0.032988	-0.009724	8	FALSE
3100003L05Rik	-0.808329	0.234769	7.351971	1.74266	0.001176	-0.018699	0.007932	4	FALSE
3110009E18Rik	0.034375	0.957383	58.703697	-4.250434	-0.006782	-0.535473	-0.079143	3	FALSE
3110040N11Rik	0.040594	0.952531	44.742301	7.79059	-0.00327	0.055978	0.005839	7	FALSE
3110056K07Rik	0.063783	0.830128	310.667117	4.513507	-0.017134	-0.157849	0.003818	8	FALSE
3110082I17Rik	-0.542726	0.000143	126.116919	-5.011909	-0.00117	-0.033789	0.002918	5	TRUE
3300002I08Rik	0.377958	0.148948	53.049671	7.728105	-0.004445	0.063563	-0.006888	8	FALSE
3300002P13Rik	0.207884	0.867564	6.995456	9.603131	0.011502	0.367817	0.039389	15	FALSE
3425401B19Rik	-0.607457	0.596343	3.793936	0.586538999999999	0.024419	0.274245	0.075787	4	FALSE
3632454L22Rik	-0.350789	0.101964	85.129388	14.486109	0.005207	0.048556	-0.002053	12	FALSE
3830408C21Rik	0.630892	0.434952	6.465763	0.182122000000001	-0.00138	-0.007788	0.001902	3	FALSE
4632404H12Rik	0.070192	0.86416	92.438672	-0.339832000000003	-0.00686999999999998	-0.264034	-0.030897	8	FALSE
4632411P08Rik	-0.227928	0.85474	5.787311	4.199408	0.014591	0.22382	0.012604	3	FALSE
4632428C04Rik	-0.293744	0.839607	4.381095	-8.852443	-0.020624	-0.301847	-0.078202	3	FALSE
4732414G09Rik	-0.904317	0.07266	14.181293	-13.723455	-0.04025	-2.571971	-0.111278	8	FALSE
4732487G21Rik	-0.111583	0.775245	82.31425	-79.914439	-0.039928	-0.605456	-0.261583	5	FALSE
4833411C07Rik	0.00985	0.996191	5.716931	0.664797000000001	-0.004751	-0.078211	-0.105305	11	FALSE
4833417C18Rik	-0.494275	0.410494	11.360294	3.298974	0.009373	0.254968	0.031314	3	FALSE
4833418N02Rik	0.581854	0.585347	5.639747	-23.855294	0.018662	-0.28329	-0.033077	13	FALSE
4833420G17Rik	0.168214	0.150263	514.166467	6.713373	-0.012802	-0.011235	-0.036998	7	FALSE
4833439L19Rik	-0.139774	0.225331	552.816362	-8.518702	-0.022016	-0.576837	-0.013337	9	FALSE
4833445I07Rik	-0.5796	0.094166	18.96015	5.209299	0.00410900000000001	0.376098	0.012978	7	FALSE
4921504E06Rik	-0.218411	0.943182	2.156027	-2.03258	0.007574	0.066935	0.006758	6	FALSE
4921522P10Rik	0.082324	0.909496	27.101331	7.549572	0.00334599999999999	0.360622	0.014808	6	FALSE
4921524J17Rik	-0.407936	0.002514	122.925863	2.853135	0.001076	0.042716	0.021222	4	TRUE
4921536K21Rik	-0.236784	0.893531	3.234564	3.472254	0.017951	0.17188	0.020979	12	FALSE
4930404I05Rik	0.011064	0.992096	17.89094	8.66121600000001	-0.003172	0.096729	-0.003469	6	FALSE
4930408O17Rik	0.228324	0.887232	3.306345	17.107134	0.094187	0.676931	0.058074	12	FALSE
4930412C18Rik	-0.792401	5e-06	75.096787	-3.099197	0.02636	-0.42842	0.036596	10	TRUE
4930417H01Rik	0.035336	0.979988	7.949569	4.557437	0.000725999999999995	0.033675	0.021481	7	FALSE
4930426I24Rik	-0.995075	0.219381	5.835419	-3.462512	-0.007422	-0.156473	-0.001835	4	FALSE
4930429F24Rik	-0.256861	0.768051	9.845601	-8.462343	-0.015728	-0.229553	-0.039346	8	FALSE
4930429P21Rik	-0.251345	0.755959	12.406998	2.361781	-0.00134499999999999	0.056763	0.018825	9	FALSE
4930433N12Rik	0.013173	0.995058	6.540502	15.944972	0.006361	0.041785	0.087694	14	FALSE
4930447C04Rik	0.394845	0.703968	5.881209	-1.465177	0.010528	0.066301	0.081291	12	FALSE
4930447M23Rik	0.173624	0.907254	4.736249	6.544096	0.004795	0.190901	-0.009106	13	FALSE
4930451I11Rik	1.556291	0.086762	3.343352	14.458911	0.006457	0.470023	-0.013023	14	FALSE
4930453N24Rik	0.047726	0.857717	277.649652	-15.935435	-0.00843600000000001	0.00183100000000001	0.00310199999999999	8	FALSE
4930461G14Rik	0.462388	0.648708	5.258971	-136.081042	-0.61624	-2.565919	-0.536253	15	FALSE
4930469K13Rik	-0.357938	0.861865	2.288998	-112.196029	-0.089707	-0.289346	-0.327998	8	FALSE
4930471C04Rik	0.457946	0.325189	31.391705	2.282983	-0.011801	-0.970962	0.008882	9	FALSE
4930479H17Rik	-0.283655	0.711322	11.39467	-14.672079	-0.010848	-1.019365	-0.044788	13	FALSE
4930481B07Rik	-0.292404	0.620034	13.981326	2.393183	-0.000595999999999999	0.081313	0.003836	2	FALSE
4930502E09Rik	0.390849	0.796935	3.768376	1.041508	-0.022936	-0.639476	-0.021853	8	FALSE
4930503L19Rik	-0.172383	0.461171	225.95777	-3.089735	0.00144	-0.082184	-0.016241	5	FALSE
4930505A04Rik	-0.325011	0.759385	6.447426	-10.993227	0.003286	-0.107807	0.040294	8	FALSE
4930506C21Rik	0.077528	0.858554	58.734616	5.095548	-0.00658599999999999	0.053762	0.014935	6	FALSE
4930512B01Rik	0.071483	0.926979	28.082417	1.168758	0.001624	-0.097144	0.010125	5	FALSE
4930516B21Rik	-0.086472	0.904528	46.181025	-2.029028	-0.014371	-0.104811	-0.02971	7	FALSE
4930520O04Rik	-0.68016	0.711322	2.188671	0.897516	0.011466	0.020562	-0.026337	12	FALSE
4930522L14Rik	-0.050993	0.952038	36.774014	-0.317043000000004	0.001852	0.051959	0.004067	9	FALSE
4930523C07Rik	0.10101	0.863932	30.15131	1.04596300000001	0.00521700000000001	0.282926	0.018122	11	FALSE
4930528D03Rik	0.435731	0.776536	4.018379	-124.831632	-0.338831	-2.524603	-0.603621	12	FALSE
4930532G15Rik	-0.027034	0.976057	21.369166	0.851347999999999	-0.010148	-0.150077	-0.036539	5	FALSE
4930562C15Rik	0.31018	0.068376	126.260455	-153.04992	-0.150202	-1.452992	-0.509211	14	FALSE
4930563E22Rik	-0.376461	0.501234	15.234859	-3.414822	-0.004783	-0.165978	-0.000731	4	FALSE
4930568A12Rik	-0.356026	0.863814	2.026662	-12.307365	0.006907	-0.248357	-0.002774	7	FALSE
4930570G19Rik	-0.040025	0.919464	1136.112172	-7.237067	0.00388699999999996	0.074963	-0.004226	8	FALSE
4930578M01Rik	-0.625228	0.174763	13.600676	-4.337354	-0.037715	-0.670273	0.009284	8	FALSE
4930579G24Rik	-0.314043	0.769906	9.807609	0.385543	-0.00517	-0.133395	-0.012679	3	FALSE
4930581F22Rik	-0.214206	0.408525	57.202899	-8.350936	0.00950400000000001	0.03598	0.02079	9	FALSE
4930589L23Rik	1.058662	0.543095	1.921118	-11.776316	-0.032826	-1.058454	-0.041925	12	FALSE
4930593A02Rik	-0.537639	0.040418	37.236051	-6.898534	-0.011131	-0.775484	-0.061635	6	TRUE
4930594M22Rik	-0.419468	0.00608	319.787708	-9.923364	0.011266	-0.554792	0.031469	7	TRUE
4930597A21Rik	0.051205	0.985336	2.442773	2.421777	0.013622	0.25023	0.021253	17	FALSE
4930598N05Rik	0.609139	0.740243	2.06563	-12.047524	0.004487	0.051573	0.015259	12	FALSE
4931406C07Rik	0.03122	0.950625	75.430543	11.495985	0.010082	0.154386	0.015074	6	FALSE
4931414P19Rik	-0.587415	0.039986	28.768967	7.58679300000001	-0.013028	0.175937	0.032847	7	TRUE
4931415C17Rik	-0.183096	0.838912	10.448007	1.766085	-0.00611999999999998	-0.038556	-0.004749	7	FALSE
4931422A03Rik	0.332304	0.885015	1.927516	3.730333	-0.020233	-0.047654	-0.00234	9	FALSE
4932435O22Rik	-0.196937	0.74597	18.559772	4.441592	0.007204	-0.099369	-0.031127	8	FALSE
4932441J04Rik	-0.513694	0.3134	11.944717	6.737531	-0.0201110000000001	0.892162	-0.013282	6	FALSE
4933402D24Rik	0.279616	0.611151	17.310166	-32.839084	-0.009777	-0.61872	-0.010447	13	FALSE
4933404O12Rik	-0.446222	0.230447	26.090666	2.15469	-0.014979	-0.105584	-0.012103	9	FALSE
4933406C10Rik	-0.297428	0.518759	29.857944	-25.414189	-0.006894	-0.54718	-0.029886	7	FALSE
4933406I18Rik	-0.40946	0.027871	880.62449	-16.218949	-0.032816	-0.720186	-0.057059	7	TRUE
4933406P04Rik	0.005355	0.998377	3.494792	3.150439	-1.60000000000004e-05	0.051123	-0.000236999999999999	2	FALSE
4933407K13Rik	0.32224	0.101222	98.439942	15.128377	-0.008132	0.035051	-0.007894	9	FALSE
4933407L21Rik	0.229431	0.892066	3.670336	-13.174545	-0.010316	-0.452584	-0.077163	9	FALSE
4933408J17Rik	0.839844	0.420094	4.134651	-42.128896	-0.00240800000000001	-1.087733	-0.05154	12	FALSE
4933415A04Rik	-0.494912	0.513322	10.676593	-19.936705	0.020057	-0.885853	-0.055017	11	FALSE
4933424G06Rik	0.154067	0.942441	2.860116	-18.526267	-0.008363	-0.364986	-0.016282	7	FALSE
4933427D14Rik	-0.288907	0.028205	337.929696	-1.413491	-0.011585	-0.307286	-0.02425	5	TRUE
4933430I17Rik	0.236151	0.839607	6.155317	-37.23539	-0.00480499999999999	-2.508507	-0.143445	9	FALSE
4933433G15Rik	-0.336894	0.487473	29.911512	-8.471911	-0.013988	-1.004297	-0.056879	10	FALSE
4933434E20Rik	0.038633	0.900881	231.4193	4.50385	-0.00189099999999998	-0.098108	-0.023995	9	FALSE
4933439K11Rik	-0.553923	0.722512	2.38652	-6.754182	0.020114	0.356869	0.02004	10	FALSE
5031410I06Rik	6.9e-05	0.999836	10.881887	-18.052699	0.010239	0.235211	0.105006	19	FALSE
5031425E22Rik	0.060499	0.804556	1985.830949	2.061283	-0.00844700000000002	0.128888	0.002897	4	FALSE
5031425F14Rik	1.465312	0.148444	2.995993	6.265819	0.00525800000000001	0.402136	0.041793	3	FALSE
5031434O11Rik	-0.285176	0.219733	60.185638	-11.136254	-0.014171	-0.282885	0.018717	6	FALSE
5031439G07Rik	0.487632	0	795.511826	12.662825	0.034201	0.948676	0.065444	8	TRUE
5033430I15Rik	0.941543	0.424898	3.138513	4.698621	0.013484	0.465151	0.019613	4	FALSE
5330434G04Rik	0.129796	0.688234	1506.481155	4.553117	0.007033	0.048045	0.001606	4	FALSE
5330438D12Rik	-0.07648	0.879348	67.393658	-28.708192	-0.014962	-0.558339	-0.00386799999999999	15	FALSE
5430405H02Rik	0.1162	0.719424	100.583626	-1.54343099999999	0.00588400000000001	0.09979	0.003342	11	FALSE
5430416N02Rik	-0.073097	0.902226	63.494778	2.65834	-0.011355	-0.086423	-0.035385	4	FALSE
5430421F17Rik	-0.826207	0.54385	2.249746	-4.839074	-0.014384	-0.324785	-0.010473	9	FALSE
5430431A17Rik	-0.208951	0.872766	8.168225	10.877573	0.051359	1.091035	0.043584	13	FALSE
5530601H04Rik	0.202604	0.219381	174.894134	14.749126	-0.018972	-0.124911	-0.015355	12	FALSE
5730409E04Rik	0.126595	0.654261	185.029336	-0.0979200000000016	0.010648	0.175049	0.01801	6	FALSE
5730455P16Rik	0.145911	0.415712	214.736543	1.663417	-0.00605	0.153507	0.00061	5	FALSE
5730522E02Rik	-0.046321	0.924365	283.234823	3.943546	-0.005637	-0.095646	-0.107379	10	FALSE
5830408C22Rik	0.369975	0.840154	2.472299	4.094761	0.010302	0.109088	-0.006184	9	FALSE
5830444B04Rik	0.082973	0.79085	112.369076	-7.996714	-0.05582	-1.496552	-0.057123	11	FALSE
5930403N24Rik	-0.772125	0.458218	4.084554	-10.580205	-0.012465	-0.500089	0.001147	7	FALSE
6030442K20Rik	-0.259695	0.446973	67.642408	-1.799804	0.008109	0.078501	-0.013443	11	FALSE
6030443J06Rik	-0.165308	0.686351	74.200338	-6.194229	0.00854	0.023156	-0.003252	4	FALSE
6030445D17Rik	-2.724417	0.044617	1.86769	-2.575606	-0.00198500000000001	-0.751944	-0.018475	5	TRUE
6030458C11Rik	0.28156	0.108813	150.297976	6.532457	-0.010651	-0.18743	-0.060276	8	FALSE
6330403K07Rik	-0.042187	0.960169	31.41413	9.17128599999999	-0.003624	0.061259	0.024372	5	FALSE
6330411D24Rik	-0.002621	0.997419	195.990923	-36.205292	0.001935	-0.017745	-0.015603	9	FALSE
6430550D23Rik	0.03098	0.977233	14.022634	-1.455859	-0.011342	-0.375849	-0.031293	5	FALSE
