loop_id	anchor	start	end	midpoint	nearest_gene	distance_to_tss	is_promoter	anchor_num
loop_5064	chr8	49800000	49825000	49812500	100039954	543111	FALSE	2
loop_5073	chr8	71775000	71800000	71787500	74015	49283	FALSE	2
loop_5077	chr8	57300000	57325000	57312500	15111	0	FALSE	2
loop_6819	chr4	34625000	34650000	34637500	109093	10042	FALSE	2
loop_7450	chr8	57300000	57325000	57312500	15111	0	FALSE	2
loop_8807	chr8	71825000	71850000	71837500	236193	32018	FALSE	2
loop_8870	chr8	35450000	35475000	35462500	67276	21195	FALSE	2
loop_9088	chr8	49825000	49850000	49837500	100039954	518111	FALSE	2
loop_9154	chr8	89025000	89050000	89037500	58198	0	FALSE	2
loop_10464	chr11	96000000	96025000	96012500	14607	0	FALSE	2
loop_13418	chr19	45225000	45250000	45237500	16814	0	TRUE	2
loop_15022	chr3	129200000	129225000	129212500	18741	121	FALSE	2
loop_19036	chr3	96325000	96350000	96337500	100504145	0	FALSE	2
loop_19672	chr10	50875000	50900000	50887500	20464	0	FALSE	2
loop_20652	chr14	96475000	96500000	96487500	93688	19101	FALSE	2
