#TAD name	chr1	start1	end1	chr2	start2	end2	color	InclustionRatio(IR)	Length	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M3/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M3/tagdirs IR
chr10:29079000-30545998	chr10	29079000	30545998	chr10	29079000	30545998	255,255,0	1.922000	1466998	1.791574	1.740139	1.705445	1.910460	1.928828	1.921994
chr10:29088000-29228998	chr10	29088000	29228998	chr10	29088000	29228998	255,255,0	1.990000	140998	1.860856	2.074427	2.013339	1.963080	1.989868	1.866599
chr10:29526000-29813998	chr10	29526000	29813998	chr10	29526000	29813998	255,255,0	1.831000	287998	1.645086	1.830805	1.756237	1.873290	1.951706	1.856994
chr10:30597000-30815998	chr10	30597000	30815998	chr10	30597000	30815998	255,255,0	2.867000	218998	2.593978	2.817561	2.679524	2.741356	2.917863	2.867339
chr10:30819000-31307998	chr10	30819000	31307998	chr10	30819000	31307998	255,255,0	3.204000	488998	2.939983	2.935123	2.772253	2.994871	3.203760	2.974768
chr10:31449000-31643998	chr10	31449000	31643998	chr10	31449000	31643998	255,255,0	1.760000	194998	1.516102	1.613675	1.620237	1.759126	1.763748	1.760064
chr10:31731000-32909998	chr10	31731000	32909998	chr10	31731000	32909998	255,255,0	1.814000	1178998	1.805645	1.805899	1.841879	1.851761	2.071774	1.907995
chr10:33516000-33563998	chr10	33516000	33563998	chr10	33516000	33563998	255,255,0	1.512000	47998	1.351014	1.512233	1.395302	1.419985	1.366140	1.410271
chr10:33897000-34415998	chr10	33897000	34415998	chr10	33897000	34415998	255,255,0	2.534000	518998	2.533723	2.632332	2.822149	2.762710	2.778243	2.724278
chr10:33903000-34352998	chr10	33903000	34352998	chr10	33903000	34352998	255,255,0	2.851000	449998	2.496948	2.862979	2.808358	2.800081	2.846010	2.864919
chr10:34398000-35663998	chr10	34398000	35663998	chr10	34398000	35663998	255,255,0	1.613000	1265998	1.598599	1.528761	1.552275	1.595752	1.644442	1.588936
chr10:35688000-36974998	chr10	35688000	36974998	chr10	35688000	36974998	255,255,0	1.903000	1286998	1.815921	1.858973	1.894159	1.855276	1.807509	1.810116
chr10:36999000-38870998	chr10	36999000	38870998	chr10	36999000	38870998	255,255,0	3.248000	1871998	3.489440	3.409112	3.373684	3.323803	3.339977	3.244719
chr10:39162000-39530998	chr10	39162000	39530998	chr10	39162000	39530998	255,255,0	2.713000	368998	2.862946	2.702962	2.713180	2.894799	3.035868	2.831193
chr10:40044000-40229998	chr10	40044000	40229998	chr10	40044000	40229998	255,255,0	2.480000	185998	2.535635	2.315688	2.449725	2.478327	2.647193	2.465303
chr10:40254000-40535998	chr10	40254000	40535998	chr10	40254000	40535998	255,255,0	3.039000	281998	3.017371	2.840686	2.827414	2.769430	3.034714	2.860398
chr10:40635000-40991998	chr10	40635000	40991998	chr10	40635000	40991998	255,255,0	2.332000	356998	2.300361	2.270750	2.273182	2.364005	2.331848	2.336582
chr10:40998000-41297998	chr10	40998000	41297998	chr10	40998000	41297998	255,255,0	2.675000	299998	2.583725	2.511272	2.453593	2.598877	2.670802	2.514128
chr10:41319000-41429998	chr10	41319000	41429998	chr10	41319000	41429998	255,255,0	1.726000	110998	1.725906	1.762643	1.784346	1.828068	1.819109	1.750065
chr10:41427000-41513998	chr10	41427000	41513998	chr10	41427000	41513998	255,255,0	1.861000	86998	1.680734	1.950803	1.845123	1.637825	1.815815	1.717595
chr10:41511000-41690998	chr10	41511000	41690998	chr10	41511000	41690998	255,255,0	2.931000	179998	3.123366	2.899042	2.859036	2.983364	3.219538	2.930561
chr10:41691000-41810998	chr10	41691000	41810998	chr10	41691000	41810998	255,255,0	1.744000	119998	1.761739	1.781028	1.744002	1.978816	1.894056	1.931349
chr10:41811000-42302998	chr10	41811000	42302998	chr10	41811000	42302998	255,255,0	3.488000	491998	3.422183	3.185363	3.108544	3.389266	3.487611	3.267897
chr10:42300000-42752998	chr10	42300000	42752998	chr10	42300000	42752998	255,255,0	3.095000	452998	2.878160	2.920528	2.801355	3.094926	3.246163	3.048185
chr10:42765000-43553998	chr10	42765000	43553998	chr10	42765000	43553998	255,255,0	1.984000	788998	1.984053	1.948263	1.877619	1.943081	1.967407	1.951553
chr10:42831000-42950998	chr10	42831000	42950998	chr10	42831000	42950998	255,255,0	1.991000	119998	1.887289	1.991067	1.907772	1.852196	2.057747	1.928390
chr10:42951000-43553998	chr10	42951000	43553998	chr10	42951000	43553998	255,255,0	1.986000	602998	1.951982	1.937085	1.880465	1.965536	1.984923	1.947848
chr10:43566000-43928998	chr10	43566000	43928998	chr10	43566000	43928998	255,255,0	2.739000	362998	2.692713	2.709872	2.617543	2.718823	2.818610	2.656735
chr10:43938000-44249998	chr10	43938000	44249998	chr10	43938000	44249998	255,255,0	2.206000	311998	2.189318	2.326485	2.209523	2.301895	2.408323	2.289453
chr10:44265000-45056998	chr10	44265000	45056998	chr10	44265000	45056998	255,255,0	2.905000	791998	2.807956	2.810395	2.714724	3.004423	2.995483	2.903640
chr10:45051000-45380998	chr10	45051000	45380998	chr10	45051000	45380998	255,255,0	2.184000	329998	2.118026	2.218624	2.203811	2.183826	2.296997	2.160100
chr10:45666000-45932998	chr10	45666000	45932998	chr10	45666000	45932998	255,255,0	2.087000	266998	2.081532	2.214425	2.103316	1.795840	1.860572	1.735171
chr10:45666000-46007998	chr10	45666000	46007998	chr10	45666000	46007998	255,255,0	1.846000	341998	1.918160	1.902134	1.872860	1.846329	1.827173	1.815688
chr10:46005000-46832998	chr10	46005000	46832998	chr10	46005000	46832998	255,255,0	1.802000	827998	1.762617	1.801627	1.769017	1.618619	1.632560	1.584532
chr10:46050000-46235998	chr10	46050000	46235998	chr10	46050000	46235998	255,255,0	1.640000	185998	1.808334	1.789263	1.836526	1.730905	1.736804	1.634088
chr10:46233000-46358998	chr10	46233000	46358998	chr10	46233000	46358998	255,255,0	1.661000	125998	1.528394	1.430868	1.566038	1.645702	1.660912	1.542726
chr10:49092000-50396998	chr10	49092000	50396998	chr10	49092000	50396998	255,255,0	2.463000	1304998	2.260538	2.538530	2.459506	2.614939	2.508606	2.462750
chr10:49785000-50210998	chr10	49785000	50210998	chr10	49785000	50210998	255,255,0	2.610000	425998	2.438909	2.604793	2.485621	2.700198	2.677210	2.421529
chr10:50574000-51464998	chr10	50574000	51464998	chr10	50574000	51464998	255,255,0	1.968000	890998	2.050133	1.999216	1.951209	1.981743	2.035269	2.043837
chr10:50646000-51434998	chr10	50646000	51434998	chr10	50646000	51434998	255,255,0	2.093000	788998	2.033848	1.960203	1.914513	2.004013	2.089339	2.035659
chr10:51597000-51662998	chr10	51597000	51662998	chr10	51597000	51662998	255,255,0	1.529000	65998	1.210789	1.289348	1.280992	1.528916	1.269935	1.246679
chr10:51774000-52103998	chr10	51774000	52103998	chr10	51774000	52103998	255,255,0	1.796000	329998	1.652793	1.738352	1.733323	1.973207	2.055338	1.983715
chr10:52212000-52424998	chr10	52212000	52424998	chr10	52212000	52424998	255,255,0	2.418000	212998	2.289138	2.459110	2.347255	2.510696	2.535138	2.418152
chr10:53340000-53534998	chr10	53340000	53534998	chr10	53340000	53534998	255,255,0	3.035000	194998	3.062040	3.023767	2.983193	3.123329	3.281413	3.163766
chr10:53631000-53807998	chr10	53631000	53807998	chr10	53631000	53807998	255,255,0	3.048000	176998	3.048140	3.068745	2.840030	2.951315	3.003255	2.943206
chr10:53808000-53858998	chr10	53808000	53858998	chr10	53808000	53858998	255,255,0	1.587000	50998	1.458217	1.565102	1.613815	1.737019	1.717507	1.698621
chr10:53856000-54569998	chr10	53856000	54569998	chr10	53856000	54569998	255,255,0	1.674000	713998	1.699394	1.706835	1.672636	1.687885	1.734269	1.668676
chr10:56103000-56243998	chr10	56103000	56243998	chr10	56103000	56243998	255,255,0	1.664000	140998	1.664062	1.694838	1.749954	1.751316	1.768249	1.759799
chr10:56163000-56231998	chr10	56163000	56231998	chr10	56163000	56231998	255,255,0	1.504000	68998	1.322978	1.376827	1.426323	1.504160	1.357009	1.474600
chr10:56352000-57452998	chr10	56352000	57452998	chr10	56352000	57452998	255,255,0	3.270000	1100998	3.205602	3.303483	3.147537	3.323465	3.466170	3.270414
chr10:58248000-58502998	chr10	58248000	58502998	chr10	58248000	58502998	255,255,0	2.528000	254998	2.561912	2.636583	2.528001	2.490182	2.578561	2.426178
chr10:58551000-58682998	chr10	58551000	58682998	chr10	58551000	58682998	255,255,0	1.754000	131998	1.752111	1.818285	1.747162	1.669397	1.718381	1.754460
chr10:58797000-59156998	chr10	58797000	59156998	chr10	58797000	59156998	255,255,0	1.968000	359998	1.967758	1.896997	1.930849	1.883027	1.940865	1.833062
chr10:59160000-59300998	chr10	59160000	59300998	chr10	59160000	59300998	255,255,0	2.062000	140998	2.019362	1.966737	1.995015	2.061949	2.104154	1.959454
chr10:59301000-59366998	chr10	59301000	59366998	chr10	59301000	59366998	255,255,0	1.737000	65998	1.619999	1.736719	1.553005	1.664924	1.676712	1.577740
chr10:59370000-59876998	chr10	59370000	59876998	chr10	59370000	59876998	255,255,0	3.062000	506998	3.061713	2.998742	3.051594	2.964881	2.972684	2.721772
chr10:59883000-60002998	chr10	59883000	60002998	chr10	59883000	60002998	255,255,0	2.214000	119998	2.230229	2.171568	2.063181	2.114197	2.255311	2.214174
chr10:60138000-60260998	chr10	60138000	60260998	chr10	60138000	60260998	255,255,0	2.164000	122998	2.224465	2.238236	2.164344	2.129335	2.374394	2.067473
chr10:60294000-60761998	chr10	60294000	60761998	chr10	60294000	60761998	255,255,0	2.615000	467998	2.528347	2.518777	2.498612	2.615361	2.731246	2.521545
chr10:60762000-61079998	chr10	60762000	61079998	chr10	60762000	61079998	255,255,0	3.000000	317998	3.082450	2.986869	2.914089	3.139264	3.300078	2.998980
chr10:61191000-61340998	chr10	61191000	61340998	chr10	61191000	61340998	255,255,0	2.485000	149998	2.511812	2.484650	2.406124	2.489704	2.691486	2.344410
chr10:61338000-61406998	chr10	61338000	61406998	chr10	61338000	61406998	255,255,0	2.308000	68998	2.166066	2.030553	2.078621	2.150618	2.308304	2.040829
chr10:61458000-61673998	chr10	61458000	61673998	chr10	61458000	61673998	255,255,0	2.403000	215998	2.294742	2.298924	2.270667	2.283381	2.401376	2.297427
chr10:62049000-62105998	chr10	62049000	62105998	chr10	62049000	62105998	255,255,0	1.817000	56998	2.028584	1.853344	1.906904	1.817405	1.983625	1.703040
chr10:62106000-62186998	chr10	62106000	62186998	chr10	62106000	62186998	255,255,0	2.356000	80998	2.253430	2.312489	2.312474	2.402942	2.395652	2.346400
chr10:62184000-62258998	chr10	62184000	62258998	chr10	62184000	62258998	255,255,0	1.913000	74998	1.913037	2.020938	1.884111	1.776201	1.983577	1.787708
chr10:62265000-62423998	chr10	62265000	62423998	chr10	62265000	62423998	255,255,0	1.864000	158998	1.940089	1.931190	1.864104	1.928568	1.962201	1.830245
chr10:62490000-63389998	chr10	62490000	63389998	chr10	62490000	63389998	255,255,0	1.919000	899998	1.918912	1.819275	1.840225	1.905832	1.927491	1.855263
chr10:62493000-62561998	chr10	62493000	62561998	chr10	62493000	62561998	255,255,0	1.960000	68998	1.911888	1.880900	1.921988	1.938171	2.172218	1.924084
chr10:63399000-64754998	chr10	63399000	64754998	chr10	63399000	64754998	255,255,0	1.798000	1355998	1.794861	1.799033	1.815996	1.851391	1.812836	1.812427
chr10:63573000-64085998	chr10	63573000	64085998	chr10	63573000	64085998	255,255,0	1.855000	512998	1.715824	1.658451	1.639343	1.854855	1.945888	1.820748
chr10:64080000-64751998	chr10	64080000	64751998	chr10	64080000	64751998	255,255,0	1.836000	671998	1.791985	1.835944	1.789838	1.855413	1.882610	1.871329
chr10:64743000-66743998	chr10	64743000	66743998	chr10	64743000	66743998	255,255,0	1.662000	2000998	1.659957	1.624765	1.568334	1.620590	1.645792	1.625729
chr10:65856000-65927998	chr10	65856000	65927998	chr10	65856000	65927998	255,255,0	1.508000	71998	1.284159	1.408186	1.267504	1.322011	1.349270	1.507512
chr10:66177000-66365998	chr10	66177000	66365998	chr10	66177000	66365998	255,255,0	1.500000	188998	1.481059	1.553993	1.500152	1.596827	1.555380	1.562542
chr10:66651000-66719998	chr10	66651000	66719998	chr10	66651000	66719998	255,255,0	1.507000	68998	1.573066	1.552139	1.522731	1.506515	1.507253	1.466099
chr10:66732000-66812998	chr10	66732000	66812998	chr10	66732000	66812998	255,255,0	2.411000	80998	2.363891	2.229303	2.285233	2.261780	2.410531	2.115359
chr10:66837000-67316998	chr10	66837000	67316998	chr10	66837000	67316998	255,255,0	4.006000	479998	4.290540	3.853340	3.763406	3.874944	3.997574	3.702872
chr10:67311000-67862998	chr10	67311000	67862998	chr10	67311000	67862998	255,255,0	2.346000	551998	2.415476	2.470446	2.343756	2.448215	2.519158	2.366774
chr10:67863000-67997998	chr10	67863000	67997998	chr10	67863000	67997998	255,255,0	1.930000	134998	1.844981	2.060336	1.918112	1.977748	1.930885	1.829598
chr10:68145000-68285998	chr10	68145000	68285998	chr10	68145000	68285998	255,255,0	1.631000	140998	1.631412	1.567247	1.549475	1.562412	1.548680	1.524386
chr10:68898000-69014998	chr10	68898000	69014998	chr10	68898000	69014998	255,255,0	1.596000	116998	1.559317	1.618511	1.467913	1.654970	1.650182	1.562805
chr10:69177000-69326998	chr10	69177000	69326998	chr10	69177000	69326998	255,255,0	2.065000	149998	2.028807	2.093692	2.041422	1.969884	2.044663	2.012171
chr10:69444000-69656998	chr10	69444000	69656998	chr10	69444000	69656998	255,255,0	2.514000	212998	2.608417	2.473151	2.465157	2.513924	2.634090	2.494344
chr10:69657000-69854998	chr10	69657000	69854998	chr10	69657000	69854998	255,255,0	2.689000	197998	2.721106	2.611400	2.492500	2.678188	2.689059	2.717733
chr10:70185000-70304998	chr10	70185000	70304998	chr10	70185000	70304998	255,255,0	2.135000	119998	1.928885	2.014139	1.990209	2.181172	2.167998	2.122808
chr10:70311000-70571998	chr10	70311000	70571998	chr10	70311000	70571998	255,255,0	2.384000	260998	2.521695	2.461483	2.383667	2.517226	2.715714	2.461406
chr10:70584000-70820998	chr10	70584000	70820998	chr10	70584000	70820998	255,255,0	2.334000	236998	2.099002	2.118201	1.960586	2.219262	2.334234	2.166719
chr10:71310000-71411998	chr10	71310000	71411998	chr10	71310000	71411998	255,255,0	2.272000	101998	2.324405	2.396458	2.087659	2.271101	2.336490	2.254371
chr10:71415000-73106998	chr10	71415000	73106998	chr10	71415000	73106998	255,255,0	2.156000	1691998	2.127062	2.155560	2.117921	2.197696	2.240985	2.103308
chr10:73086000-74906998	chr10	73086000	74906998	chr10	73086000	74906998	255,255,0	1.867000	1820998	1.858408	1.755959	1.798822	1.867131	1.907614	1.828573
chr10:74916000-75164998	chr10	74916000	75164998	chr10	74916000	75164998	255,255,0	2.661000	248998	2.473012	2.341185	2.389432	2.489500	2.639030	2.443104
chr10:74922000-75035998	chr10	74922000	75035998	chr10	74922000	75035998	255,255,0	2.504000	113998	2.448523	2.503515	2.401745	2.339755	2.556520	2.458898
chr10:75168000-75509998	chr10	75168000	75509998	chr10	75168000	75509998	255,255,0	2.261000	341998	2.346077	2.256629	2.194639	2.233260	2.347921	2.194104
chr10:75174000-75260998	chr10	75174000	75260998	chr10	75174000	75260998	255,255,0	2.406000	86998	2.303396	2.214630	2.165411	2.308500	2.396177	2.201767
chr10:75579000-75716998	chr10	75579000	75716998	chr10	75579000	75716998	255,255,0	1.946000	137998	1.745488	1.705549	1.696161	1.847880	1.945933	1.849048
chr10:75738000-75860998	chr10	75738000	75860998	chr10	75738000	75860998	255,255,0	2.161000	122998	2.092807	2.017756	2.023867	1.983334	2.161038	2.052261
chr10:75963000-76226998	chr10	75963000	76226998	chr10	75963000	76226998	255,255,0	1.735000	263998	1.657525	1.730200	1.678387	1.715168	1.776037	1.665109
chr10:76254000-76517998	chr10	76254000	76517998	chr10	76254000	76517998	255,255,0	1.569000	263998	1.472035	1.456875	1.415856	1.555871	1.597922	1.569231
chr10:76542000-76751998	chr10	76542000	76751998	chr10	76542000	76751998	255,255,0	1.857000	209998	1.767985	1.849260	1.765444	1.884910	1.915055	1.852046
chr10:76827000-77033998	chr10	76827000	77033998	chr10	76827000	77033998	255,255,0	2.348000	206998	2.482567	2.411806	2.420640	2.345663	2.495312	2.347912
chr10:77124000-77258998	chr10	77124000	77258998	chr10	77124000	77258998	255,255,0	2.136000	134998	2.223025	2.163530	2.152799	2.261910	2.333809	2.136216
chr10:77265000-77513998	chr10	77265000	77513998	chr10	77265000	77513998	255,255,0	2.110000	248998	2.220510	2.143210	2.110379	2.072085	2.120758	2.024815
chr10:77511000-77621998	chr10	77511000	77621998	chr10	77511000	77621998	255,255,0	2.188000	110998	2.187811	2.180471	1.994799	1.996151	2.145860	1.996654
chr10:77514000-77573998	chr10	77514000	77573998	chr10	77514000	77573998	255,255,0	2.014000	59998	1.979196	2.151125	2.103855	2.014153	2.094766	1.986717
chr10:77625000-77978998	chr10	77625000	77978998	chr10	77625000	77978998	255,255,0	2.179000	353998	2.047611	2.103114	1.995002	2.179293	2.132560	2.056748
chr10:78021000-78167998	chr10	78021000	78167998	chr10	78021000	78167998	255,255,0	3.035000	146998	2.865566	2.917238	2.881587	2.945329	3.260189	3.035069
chr10:78243000-78410998	chr10	78243000	78410998	chr10	78243000	78410998	255,255,0	2.340000	167998	2.340242	2.263827	2.271815	2.326435	2.412200	2.281106
chr10:78462000-79538998	chr10	78462000	79538998	chr10	78462000	79538998	255,255,0	2.178000	1076998	2.117073	2.172574	2.080844	2.197603	2.170323	2.137145
chr10:79584000-79670998	chr10	79584000	79670998	chr10	79584000	79670998	255,255,0	3.015000	86998	2.965744	2.938593	2.845613	2.777827	3.084508	2.985221
chr10:79677000-81665998	chr10	79677000	81665998	chr10	79677000	81665998	255,255,0	3.760000	1988998	3.757710	3.412838	3.334603	3.451808	3.774541	3.680386
chr10:82623000-82766998	chr10	82623000	82766998	chr10	82623000	82766998	255,255,0	2.277000	143998	2.390564	2.199936	2.281413	2.293105	2.247447	2.263573
chr10:83796000-84467998	chr10	83796000	84467998	chr10	83796000	84467998	255,255,0	3.026000	671998	3.067391	2.931924	2.845233	2.969749	3.015222	2.864478
chr10:84627000-85100998	chr10	84627000	85100998	chr10	84627000	85100998	255,255,0	2.167000	473998	2.158641	2.185433	2.051990	2.191007	2.206764	2.204487
chr10:85197000-85664998	chr10	85197000	85664998	chr10	85197000	85664998	255,255,0	2.932000	467998	3.010461	2.931963	2.907966	3.100446	3.166451	2.984792
chr10:85956000-86507998	chr10	85956000	86507998	chr10	85956000	86507998	255,255,0	2.949000	551998	2.948598	2.772057	2.729177	2.773155	2.855195	2.720617
