#TAD name (cmd=getDiffExpression.pl BAP1.tad.scores.txt ctrl ctrl ctrl mut mut mut)	chr1	start1	end1	chr2	start2	end2	color	InclustionRatio(IR)	Length	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs IR	ctrl vs. mut Difference	ctrl vs. mut p-value	ctrl vs. mut adj. p-value
chr6:98922000-99626998	chr6	98922000	99626998	chr6	98922000	99626998	255,255,0	1.961000	704998	1.954332	1.977144	2.025372	2.229980	2.223292	2.284694	0.260372666666667	0.000366562539901615	0.00796224900104702
chr11:63186000-64970998	chr11	63186000	64970998	chr11	63186000	64970998	255,255,0	2.143000	1784998	1.979118	1.965984	1.957041	2.138797	2.132021	2.183971	0.184215333333333	0.00106019616663957	0.0132630844227747
chr9:96273000-96554998	chr9	96273000	96554998	chr9	96273000	96554998	255,255,0	1.629000	281998	1.704868	1.602899	1.628439	1.614705	1.678719	1.588164	-0.0182060000000002	0.689262229025832	0.815262102908129
chr9:60234000-60755998	chr9	60234000	60755998	chr9	60234000	60755998	255,255,0	2.816000	521998	2.887968	2.706682	2.808685	2.798086	2.772394	2.761883	-0.0236573333333333	0.663898558948653	0.79934400358211
chr13:96693000-97214998	chr13	96693000	97214998	chr13	96693000	97214998	255,255,0	1.980000	521998	1.794181	1.776414	1.799645	1.974132	1.979659	2.030667	0.204739333333333	0.000680267973392718	0.0106050383211306
chr11:107622000-107858998	chr11	107622000	107858998	chr11	107622000	107858998	255,255,0	1.662000	236998	1.516135	1.610989	1.606380	1.676966	1.662488	1.715928	0.107292666666666	0.0355119439970712	0.108423180063785
chr11:60945000-61097998	chr11	60945000	61097998	chr11	60945000	61097998	255,255,0	3.299000	152998	3.299229	3.202547	3.222958	3.252139	3.074553	3.282501	-0.0385136666666672	0.571503591194838	0.726997904038339
chr19:37524000-37571998	chr19	37524000	37571998	chr19	37524000	37571998	255,255,0	2.467000	47998	2.937976	2.519423	2.467491	2.479077	2.757618	2.641597	-0.015532666666667	0.91575657733867	0.95719253451296
chr8:127185000-128516998	chr8	127185000	128516998	chr8	127185000	128516998	255,255,0	2.085000	1331998	2.084599	2.085133	2.016444	2.153834	2.120239	2.282942	0.123613	0.0565522167388888	0.148283884135138
chr12:11475000-12149998	chr12	11475000	12149998	chr12	11475000	12149998	255,255,0	1.558000	674998	1.593697	1.558130	1.612081	1.726990	1.696049	1.703584	0.120905	0.00872186839797875	0.0437870946007981
chr3:8586000-8924998	chr3	8586000	8924998	chr3	8586000	8924998	255,255,0	2.552000	338998	2.489019	2.421637	2.437525	2.584308	2.540153	2.722146	0.166141999999999	0.0235897272786181	0.0827250998381098
chr10:75174000-75260998	chr10	75174000	75260998	chr10	75174000	75260998	255,255,0	2.423000	86998	2.169946	2.103661	2.157601	2.331865	2.311833	2.397715	0.203401666666667	0.00189407958655452	0.01730031689309
chr11:114741000-114794998	chr11	114741000	114794998	chr11	114741000	114794998	255,255,0	2.585000	53998	2.584791	2.273025	2.177927	2.274598	2.204739	2.391117	-0.0550963333333339	0.642997774259206	0.782857859011626
chr3:139461000-141458998	chr3	139461000	141458998	chr3	139461000	141458998	255,255,0	2.235000	1997998	2.235173	2.190979	2.156342	2.118164	2.150883	2.201867	-0.0371933333333337	0.376559336661928	0.55022023556425
chr4:101340000-101666998	chr4	101340000	101666998	chr4	101340000	101666998	255,255,0	2.597000	326998	2.596877	2.498638	2.560964	2.518899	2.565985	2.516189	-0.0184686666666669	0.650219329951305	0.789009892875875
chr14:77043000-78317998	chr14	77043000	78317998	chr14	77043000	78317998	255,255,0	2.449000	1274998	2.321874	2.265237	2.374727	2.449241	2.338822	2.390023	0.0720826666666665	0.168142257124771	0.315647891720109
chrX:168408000-168647998	chrX	168408000	168647998	chrX	168408000	168647998	255,255,0	1.874000	239998	1.484158	1.475828	1.614432	1.873897	1.821340	1.939224	0.353347666666666	0.000582958562141151	0.00970726349947654
chr11:43485000-43592998	chr11	43485000	43592998	chr11	43485000	43592998	255,255,0	2.867000	107998	3.148031	2.866563	3.108710	2.867303	2.902460	2.980698	-0.124281	0.178554229031325	0.329070394238398
chr9:15666000-17255998	chr9	15666000	17255998	chr9	15666000	17255998	255,255,0	1.854000	1589998	1.853817	1.779620	1.785903	1.918365	1.881187	1.925191	0.101801	0.0291339862199843	0.0948538283642443
chr13:111423000-111758998	chr13	111423000	111758998	chr13	111423000	111758998	255,255,0	2.497000	335998	2.461938	2.375880	2.351949	2.496625	2.341116	2.423598	0.023857333333333	0.671049441955684	0.803868807040517
chr3:90405000-90473998	chr3	90405000	90473998	chr3	90405000	90473998	255,255,0	2.526000	68998	2.525818	2.182527	2.226343	2.386382	2.351120	2.522980	0.108598	0.326131900801999	0.498038432634322
chr9:43329000-43976998	chr9	43329000	43976998	chr9	43329000	43976998	255,255,0	1.851000	647998	1.800523	1.848764	1.850911	1.876672	1.833092	1.956592	0.0553859999999997	0.242471386578548	0.40772091589165
chr6:135243000-135398998	chr6	135243000	135398998	chr6	135243000	135398998	255,255,0	2.736000	155998	2.059305	2.024338	2.124028	2.440853	2.314922	2.577349	0.375150999999999	0.00194196152827923	0.0175540456158739
chr3:121161000-121304998	chr3	121161000	121304998	chr3	121161000	121304998	255,255,0	2.199000	143998	2.351351	2.292022	2.320783	2.013486	2.198952	2.184122	-0.189198666666667	0.0166861504494253	0.0669593132924549
chr3:9393000-9707998	chr3	9393000	9707998	chr3	9393000	9707998	255,255,0	1.908000	314998	1.920344	1.744694	1.911622	1.908448	1.878392	1.881082	0.0304206666666664	0.599129650692679	0.749512909720411
chr5:66381000-66686998	chr5	66381000	66686998	chr5	66381000	66686998	255,255,0	2.347000	305998	2.355269	2.251773	2.301063	2.328283	2.353246	2.398566	0.05733	0.208009951979067	0.366493724915499
chr7:112911000-113135998	chr7	112911000	113135998	chr7	112911000	113135998	255,255,0	3.436000	224998	3.546878	3.435568	3.587041	3.087800	3.475058	3.687382	-0.106415666666667	0.505385276437438	0.670672375965306
chr13:110052000-110378998	chr13	110052000	110378998	chr13	110052000	110378998	255,255,0	3.770000	326998	4.123980	3.746894	4.000867	3.867463	3.862501	4.032845	-0.036310666666668	0.741397934752269	0.847848701814228
chr18:25758000-26015998	chr18	25758000	26015998	chr18	25758000	26015998	255,255,0	1.790000	257998	1.830887	1.724625	1.782501	1.785895	1.789710	1.824306	0.0206326666666665	0.613830153784917	0.760063088889662
chr9:109875000-110114998	chr9	109875000	110114998	chr9	109875000	110114998	255,255,0	2.265000	239998	2.304837	2.263094	2.282894	2.308004	2.264999	2.392991	0.0383896666666662	0.402050338708768	0.575348234795049
chr3:13464000-13871998	chr3	13464000	13871998	chr3	13464000	13871998	255,255,0	2.963000	407998	3.279726	2.963324	3.007897	3.025576	3.119541	3.034080	-0.0239166666666672	0.796420956779519	0.8834283275659
chr4:73539000-73598998	chr4	73539000	73598998	chr4	73539000	73598998	255,255,0	1.812000	59998	1.281983	1.542578	1.514950	1.554335	1.579073	1.812436	0.202111	0.0870433786303256	0.19757853994287
chr3:138171000-138434998	chr3	138171000	138434998	chr3	138171000	138434998	255,255,0	2.599000	263998	2.504168	2.580468	2.557435	2.616509	2.591384	2.747677	0.104499666666666	0.0897177867940812	0.201392214469387
chr7:131346000-131429998	chr7	131346000	131429998	chr7	131346000	131429998	255,255,0	1.785000	83998	1.838845	1.681674	1.850758	1.616107	1.785486	1.670641	-0.0996810000000001	0.183538925519904	0.335284915824226
chr6:81972000-82709998	chr6	81972000	82709998	chr6	81972000	82709998	255,255,0	1.845000	737998	1.718924	1.839832	1.845078	1.883481	1.938747	2.088561	0.168985	0.0434245661872502	0.12440032261428
chr7:75375000-75563998	chr7	75375000	75563998	chr7	75375000	75563998	255,255,0	1.702000	188998	1.701853	1.670875	1.590702	1.804786	1.799507	1.756369	0.132410666666666	0.0174352485997725	0.0689513545168541
chr18:23766000-23960998	chr18	23766000	23960998	chr18	23766000	23960998	255,255,0	2.302000	194998	2.302140	2.136909	2.181339	2.237273	2.263082	2.207361	0.0291093333333329	0.58654594761014	0.739206477910687
chrX:79614000-79670998	chrX	79614000	79670998	chrX	79614000	79670998	255,255,0	1.692000	56998	1.311129	1.146942	1.235202	0.914709	1.321938	1.692114	0.0784959999999998	0.692311228694683	0.815471875892567
chr15:96912000-96965998	chr15	96912000	96965998	chr15	96912000	96965998	255,255,0	1.536000	53998	1.260470	1.231816	1.536287	1.380464	1.384816	1.466339	0.0676819999999998	0.465526162298452	0.631403300588705
chr13:90906000-91814998	chr13	90906000	91814998	chr13	90906000	91814998	255,255,0	3.593000	908998	3.747433	3.812938	3.801447	3.650415	3.592891	3.710542	-0.135990000000001	0.0186928364204275	0.0725201398206846
chr4:56739000-57335998	chr4	56739000	57335998	chr4	56739000	57335998	255,255,0	2.362000	596998	2.681888	2.603871	2.657846	2.362380	2.449536	2.385637	-0.248684000000001	0.000764778613207489	0.011093101080611
chr3:35670000-36089998	chr3	35670000	36089998	chr3	35670000	36089998	255,255,0	2.593000	419998	2.625025	2.389370	2.532687	2.570703	2.682315	2.592657	0.0995309999999994	0.1954160256168	0.350384545315379
chr12:71184000-71729998	chr12	71184000	71729998	chr12	71184000	71729998	255,255,0	2.908000	545998	2.983746	2.963301	3.180086	2.897829	2.899145	3.007035	-0.107708000000001	0.171511982547888	0.319872411706142
chrX:81687000-81749998	chrX	81687000	81749998	chrX	81687000	81749998	255,255,0	1.580000	62998	1.241586	1.380564	1.168508	1.274600	0.985644	1.579520	0.0163686666666664	0.917301542620598	0.957661055734465
chr9:94731000-95459998	chr9	94731000	95459998	chr9	94731000	95459998	255,255,0	2.834000	728998	2.560324	2.408289	2.427053	2.732960	2.694851	2.834211	0.288785333333333	0.00262835982952251	0.0209788281822583
chr16:13107000-13448998	chr16	13107000	13448998	chr16	13107000	13448998	255,255,0	2.676000	341998	2.675796	2.487116	2.503420	2.637366	2.661380	2.659989	0.0974676666666664	0.137351752367963	0.273575616258452
chr14:56883000-56963998	chr14	56883000	56963998	chr14	56883000	56963998	255,255,0	1.675000	80998	1.674556	1.472273	1.600645	1.573608	1.535400	1.416824	-0.073880666666667	0.316494800414004	0.486139202368961
chr7:83556000-83810998	chr7	83556000	83810998	chr7	83556000	83810998	255,255,0	2.784000	254998	2.969807	2.592206	2.711158	2.784055	2.713427	2.739634	-0.0120183333333336	0.904913848088205	0.951632544249873
chr19:41475000-41612998	chr19	41475000	41612998	chr19	41475000	41612998	255,255,0	1.513000	137998	1.297910	1.337510	1.453849	1.493630	1.442852	1.458348	0.101853666666667	0.0817869733639296	0.189992221067435
chr8:22422000-22580998	chr8	22422000	22580998	chr8	22422000	22580998	255,255,0	3.632000	158998	3.631769	3.328770	3.172729	3.141146	3.018171	2.996049	-0.325967333333334	0.0337227810521752	0.10471810958307
chr7:38556000-38603998	chr7	38556000	38603998	chr7	38556000	38603998	255,255,0	1.713000	47998	1.481340	1.436986	1.149682	1.397576	1.712662	1.216580	0.0862699999999996	0.581026004980804	0.734866610007588
chr13:19152000-19694998	chr13	19152000	19694998	chr13	19152000	19694998	255,255,0	3.133000	542998	3.038454	3.054019	3.060519	3.010877	2.973073	3.113007	-0.0186783333333335	0.688275036222555	0.815028155179733
chr9:114306000-114389998	chr9	114306000	114389998	chr9	114306000	114389998	255,255,0	2.232000	83998	2.231521	2.007613	2.019747	2.640056	2.674796	2.870575	0.642182	0.00032625377827997	0.00745771725638927
chr4:136065000-136163998	chr4	136065000	136163998	chr4	136065000	136163998	255,255,0	2.037000	98998	1.594345	1.629057	1.575243	1.936457	1.835284	2.037388	0.336828	0.000990845971505824	0.0127611608011635
chr14:93903000-94973998	chr14	93903000	94973998	chr14	93903000	94973998	255,255,0	1.649000	1070998	1.666610	1.635558	1.588878	1.589752	1.610759	1.640329	-0.0167353333333336	0.654021891113834	0.791643908123926
chr5:99972000-100043998	chr5	99972000	100043998	chr5	99972000	100043998	255,255,0	2.033000	71998	1.982040	1.932377	2.088627	2.032699	1.997744	1.889283	-0.0277726666666672	0.651898904334571	0.790608504534649
chr14:68061000-68156998	chr14	68061000	68156998	chr14	68061000	68156998	255,255,0	2.699000	95998	2.558513	2.399929	2.576372	2.511473	2.698649	2.306608	-0.00602800000000033	0.956752660011384	0.979409639767808
chr3:52251000-53006998	chr3	52251000	53006998	chr3	52251000	53006998	255,255,0	3.487000	755998	3.493775	3.486952	3.582927	3.593175	3.442585	3.738768	0.0702913333333328	0.408608450687362	0.580535143410681
chr17:88248000-88517998	chr17	88248000	88517998	chr17	88248000	88517998	255,255,0	3.075000	269998	3.075050	2.747427	2.831186	2.327167	2.409483	2.258243	-0.552923333333334	0.000938938980534207	0.0123849171873485
chr5:68118000-69530998	chr5	68118000	69530998	chr5	68118000	69530998	255,255,0	3.650000	1412998	3.659967	3.585585	3.694525	3.647105	3.640640	3.678560	0.00874266666666635	0.83192737339812	0.90714158647757
chr13:92745000-93254998	chr13	92745000	93254998	chr13	92745000	93254998	255,255,0	2.054000	509998	2.068755	2.027097	2.096877	1.986838	2.014602	2.054080	-0.0457363333333337	0.252194506462477	0.417473103412877
chr7:66093000-66308998	chr7	66093000	66308998	chr7	66093000	66308998	255,255,0	2.749000	215998	2.924119	2.749218	2.778801	2.803296	2.925142	2.908515	0.0616049999999999	0.349139652203336	0.521856802985199
chr16:75603000-76919998	chr16	75603000	76919998	chr16	75603000	76919998	255,255,0	2.963000	1316998	3.024354	2.962911	2.999012	2.878053	2.994270	2.997747	-0.0387356666666669	0.421425704461781	0.592956695352928
chr8:11724000-11840998	chr8	11724000	11840998	chr8	11724000	11840998	255,255,0	2.111000	116998	2.093566	2.095656	2.145174	2.101313	2.015543	1.881228	-0.112104	0.114325595071238	0.240204787334468
chr8:81027000-82757998	chr8	81027000	82757998	chr8	81027000	82757998	255,255,0	2.955000	1730998	2.955034	2.932891	2.872490	3.002118	3.029202	3.005931	0.0922786666666661	0.0388867864801455	0.115261174319291
chr3:107085000-107195998	chr3	107085000	107195998	chr3	107085000	107195998	255,255,0	4.671000	110998	4.821337	4.415781	4.597178	4.680118	4.671086	4.337633	-0.048486333333334	0.732520552216103	0.842294614337032
chr4:58074000-58259998	chr4	58074000	58259998	chr4	58074000	58259998	255,255,0	3.124000	185998	2.857738	2.624149	2.771218	3.124270	3.033547	3.031210	0.311974	0.00343954728954819	0.0247002966686754
chr17:45729000-46040998	chr17	45729000	46040998	chr17	45729000	46040998	255,255,0	2.974000	311998	3.154360	2.904867	2.974226	3.165388	3.055699	3.166469	0.118034333333333	0.157327726825751	0.302729332446553
chr15:44613000-44831998	chr15	44613000	44831998	chr15	44613000	44831998	255,255,0	3.435000	218998	3.759992	3.434662	3.423186	3.082310	3.336801	3.385461	-0.271089333333334	0.0667679370897326	0.166481332572115
chr12:99894000-100112998	chr12	99894000	100112998	chr12	99894000	100112998	255,255,0	2.866000	218998	2.658606	2.545257	2.655224	2.790343	2.865572	2.970998	0.255941999999999	0.00497047270965424	0.0307804168639575
chr9:25647000-26786998	chr9	25647000	26786998	chr9	25647000	26786998	255,255,0	3.142000	1139998	3.011796	3.014737	3.053200	3.146816	3.024142	3.142168	0.0777976666666665	0.129722346213248	0.262693767888237
chr7:112074000-112376998	chr7	112074000	112376998	chr7	112074000	112376998	255,255,0	3.013000	302998	3.208226	2.972911	3.013049	2.918025	2.863927	2.948313	-0.154640333333334	0.0645230137721111	0.162367422552759
chr5:73845000-74297998	chr5	73845000	74297998	chr5	73845000	74297998	255,255,0	3.152000	452998	3.078897	2.909177	2.981058	3.142430	3.107629	3.152272	0.144399666666666	0.0277717513278188	0.09171820446086
chr10:61341000-61403998	chr10	61341000	61403998	chr10	61341000	61403998	255,255,0	2.613000	62998	2.613464	2.471537	2.508080	2.543529	2.749294	2.793019	0.164253666666667	0.076271102336457	0.182160620767691
chr9:96909000-97076998	chr9	96909000	97076998	chr9	96909000	97076998	255,255,0	2.574000	167998	2.613223	2.573735	2.765278	2.834617	2.627114	3.100511	0.203335333333333	0.153333687006358	0.296218972331751
chr15:68250000-68366998	chr15	68250000	68366998	chr15	68250000	68366998	255,255,0	2.746000	116998	2.850993	2.745706	2.560387	2.268206	2.372731	2.266774	-0.416458333333334	0.00196588835047152	0.0177230263672314
chr5:146163000-146504998	chr5	146163000	146504998	chr5	146163000	146504998	255,255,0	4.034000	341998	4.152060	4.011097	4.123190	4.457821	4.096356	4.256970	0.174933333333333	0.118800283495614	0.246991446543739
chr19:34659000-34781998	chr19	34659000	34781998	chr19	34659000	34781998	255,255,0	2.051000	122998	1.911513	1.790487	2.144882	1.904840	2.050770	1.901474	0.00340066666666663	0.973387543702104	0.990862675636136
chr14:66099000-66146998	chr14	66099000	66146998	chr14	66099000	66146998	255,255,0	1.588000	47998	1.241258	1.122190	1.076215	1.197769	1.315278	1.587811	0.220398333333333	0.0826871166185139	0.190708901825901
chr7:80724000-80855998	chr7	80724000	80855998	chr7	80724000	80855998	255,255,0	2.718000	131998	2.634999	2.603025	2.517284	2.758052	2.717663	2.699199	0.139868666666667	0.0163628851386715	0.065843646558009
