#TAD name	chr1	start1	end1	chr2	start2	end2	color	InclustionRatio(IR)	Length	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs IR
chr10:18828000-18911998	chr10	18828000	18911998	chr10	18828000	18911998	255,255,0	2.307000	83998	2.010142	1.877213	2.072573	2.307193	2.067789	2.191640
chr10:18915000-19208998	chr10	18915000	19208998	chr10	18915000	19208998	255,255,0	1.840000	293998	1.759285	1.803370	1.799223	1.899859	1.923127	1.869849
chr10:19227000-19535998	chr10	19227000	19535998	chr10	19227000	19535998	255,255,0	2.668000	308998	2.250484	2.144728	2.089092	2.536956	2.643391	2.650114
chr10:19896000-20132998	chr10	19896000	20132998	chr10	19896000	20132998	255,255,0	2.492000	236998	2.588318	2.416304	2.491615	2.344856	2.424539	2.281363
chr10:20139000-20354998	chr10	20139000	20354998	chr10	20139000	20354998	255,255,0	1.879000	215998	1.919517	1.920010	1.927440	1.879340	1.906862	1.927504
chr10:20358000-20951998	chr10	20358000	20951998	chr10	20358000	20951998	255,255,0	2.739000	593998	2.622599	2.664606	2.737113	2.683890	2.893837	2.872050
chr10:20955000-21203998	chr10	20955000	21203998	chr10	20955000	21203998	255,255,0	2.330000	248998	2.413438	2.296646	2.398597	2.205533	2.275402	2.317920
chr10:21375000-22019998	chr10	21375000	22019998	chr10	21375000	22019998	255,255,0	3.702000	644998	3.683180	3.456918	3.482693	3.545327	3.655165	3.621238
chr10:22014000-22190998	chr10	22014000	22190998	chr10	22014000	22190998	255,255,0	3.236000	176998	3.164642	3.247021	3.204496	3.388924	3.094643	3.265339
chr10:22257000-22400998	chr10	22257000	22400998	chr10	22257000	22400998	255,255,0	2.151000	143998	2.161237	2.185688	2.331080	2.425539	2.416739	2.092749
chr10:22566000-22787998	chr10	22566000	22787998	chr10	22566000	22787998	255,255,0	4.581000	221998	3.950889	3.796803	3.931353	4.376652	4.458891	4.581132
chr10:23082000-23777998	chr10	23082000	23777998	chr10	23082000	23777998	255,255,0	1.790000	695998	1.801449	1.861550	1.790257	1.777512	1.841625	1.885341
chr10:23805000-24137998	chr10	23805000	24137998	chr10	23805000	24137998	255,255,0	2.950000	332998	3.066835	2.982437	2.949557	2.935138	3.037998	3.039867
chr10:24786000-24854998	chr10	24786000	24854998	chr10	24786000	24854998	255,255,0	1.516000	68998	1.435373	1.516382	1.153260	1.337871	1.284525	1.440986
chr10:24861000-25247998	chr10	24861000	25247998	chr10	24861000	25247998	255,255,0	4.669000	386998	4.663388	4.203183	4.424222	4.008136	4.106845	4.093560
chr10:25671000-26150998	chr10	25671000	26150998	chr10	25671000	26150998	255,255,0	1.937000	479998	1.610933	1.622381	1.663881	1.936851	1.934282	2.020741
chr10:26700000-26903998	chr10	26700000	26903998	chr10	26700000	26903998	255,255,0	1.612000	203998	1.541899	1.611744	1.765499	1.753945	1.833062	1.862285
chr10:27825000-28901998	chr10	27825000	28901998	chr10	27825000	28901998	255,255,0	2.018000	1076998	1.971101	1.964663	2.017563	2.179451	2.273872	2.236149
chr10:29097000-29216998	chr10	29097000	29216998	chr10	29097000	29216998	255,255,0	2.609000	119998	2.373685	2.402115	2.399764	2.609452	2.444827	2.538522
chr10:29379000-30515998	chr10	29379000	30515998	chr10	29379000	30515998	255,255,0	1.600000	1136998	1.599948	1.551825	1.517299	1.677602	1.633640	1.645835
chr10:29520000-29813998	chr10	29520000	29813998	chr10	29520000	29813998	255,255,0	1.809000	293998	1.565834	1.409691	1.513111	1.692633	1.702322	1.808923
chr10:30594000-30818998	chr10	30594000	30818998	chr10	30594000	30818998	255,255,0	3.033000	224998	3.032509	2.809479	2.947123	2.821761	2.803290	3.080777
chr10:30819000-31307998	chr10	30819000	31307998	chr10	30819000	31307998	255,255,0	2.693000	488998	2.846014	2.693454	2.828051	2.867277	2.762945	3.121406
chr10:31446000-31646998	chr10	31446000	31646998	chr10	31446000	31646998	255,255,0	1.928000	200998	1.711287	1.651890	1.800641	1.759571	1.905616	1.872847
chr10:33519000-33566998	chr10	33519000	33566998	chr10	33519000	33566998	255,255,0	1.586000	47998	1.488240	1.566071	1.432578	1.423957	1.585620	1.477455
chr10:33894000-34433998	chr10	33894000	34433998	chr10	33894000	34433998	255,255,0	2.789000	539998	2.659108	2.789106	2.769374	2.776243	2.877562	2.953991
chr10:35688000-36959998	chr10	35688000	36959998	chr10	35688000	36959998	255,255,0	1.803000	1271998	1.669487	1.668497	1.683787	1.797411	1.742050	1.839180
chr10:36135000-36953998	chr10	36135000	36953998	chr10	36135000	36953998	255,255,0	1.798000	818998	1.686020	1.698998	1.658300	1.665175	1.797198	1.790264
chr10:36951000-37010998	chr10	36951000	37010998	chr10	36951000	37010998	255,255,0	1.555000	59998	1.393933	1.412667	1.469794	1.387560	1.300017	1.555487
chr10:37005000-38873998	chr10	37005000	38873998	chr10	37005000	38873998	255,255,0	3.617000	1868998	3.714737	3.601036	3.538688	3.626288	3.575246	3.742378
chr10:38856000-39110998	chr10	38856000	39110998	chr10	38856000	39110998	255,255,0	1.698000	254998	1.559477	1.697990	1.652237	1.911884	1.915703	1.995898
chr10:39165000-39533998	chr10	39165000	39533998	chr10	39165000	39533998	255,255,0	2.852000	368998	2.755267	2.610133	2.704251	2.852065	2.728900	2.705827
chr10:40044000-40220998	chr10	40044000	40220998	chr10	40044000	40220998	255,255,0	2.675000	176998	2.721905	2.567603	2.674832	2.525435	2.556242	2.665448
chr10:40251000-40535998	chr10	40251000	40535998	chr10	40251000	40535998	255,255,0	3.347000	284998	3.462736	3.315769	3.274481	3.295994	3.340731	3.391851
chr10:40632000-40991998	chr10	40632000	40991998	chr10	40632000	40991998	255,255,0	1.925000	359998	2.035062	1.962967	2.004179	1.914859	1.983495	1.943881
chr10:40998000-41297998	chr10	40998000	41297998	chr10	40998000	41297998	255,255,0	2.252000	299998	2.154052	2.118543	2.266397	2.172722	2.248222	2.313071
chr10:41322000-41426998	chr10	41322000	41426998	chr10	41322000	41426998	255,255,0	1.935000	104998	2.015746	1.934988	1.856490	1.909960	1.916472	1.782305
chr10:41427000-41513998	chr10	41427000	41513998	chr10	41427000	41513998	255,255,0	2.392000	86998	2.328380	2.046117	1.948811	2.044426	2.065092	2.391643
chr10:41511000-41690998	chr10	41511000	41690998	chr10	41511000	41690998	255,255,0	2.548000	179998	2.792307	2.599364	2.711148	2.739710	2.547561	2.728230
chr10:41703000-41804998	chr10	41703000	41804998	chr10	41703000	41804998	255,255,0	1.787000	101998	1.787123	1.768256	1.810847	1.557665	1.652865	1.466635
chr10:41811000-42302998	chr10	41811000	42302998	chr10	41811000	42302998	255,255,0	3.596000	491998	3.613099	3.523235	3.596360	3.421082	3.434301	3.388316
chr10:41973000-42302998	chr10	41973000	42302998	chr10	41973000	42302998	255,255,0	3.757000	329998	3.492176	3.241532	3.358244	3.788122	3.756864	3.702819
chr10:42303000-42653998	chr10	42303000	42653998	chr10	42303000	42653998	255,255,0	2.631000	350998	2.585123	2.526441	2.523777	2.577280	2.588795	2.854524
chr10:42945000-43559998	chr10	42945000	43559998	chr10	42945000	43559998	255,255,0	2.082000	614998	2.168803	2.098143	2.046143	2.098012	2.081569	2.070592
chr10:43563000-43931998	chr10	43563000	43931998	chr10	43563000	43931998	255,255,0	1.933000	368998	1.764685	1.754543	1.715512	1.919525	1.968236	2.051767
chr10:43566000-43877998	chr10	43566000	43877998	chr10	43566000	43877998	255,255,0	1.794000	311998	1.755921	1.786949	1.793905	1.897459	1.907635	2.028450
chr10:43947000-44243998	chr10	43947000	44243998	chr10	43947000	44243998	255,255,0	1.854000	296998	1.829539	1.820439	1.839270	1.810299	1.975378	1.858662
chr10:44250000-45056998	chr10	44250000	45056998	chr10	44250000	45056998	255,255,0	2.359000	806998	2.025062	1.950164	1.925851	2.197768	2.199270	2.347819
chr10:45447000-45512998	chr10	45447000	45512998	chr10	45447000	45512998	255,255,0	1.649000	65998	1.502828	1.373807	1.358554	1.343347	1.649364	1.408036
chr10:45567000-45971998	chr10	45567000	45971998	chr10	45567000	45971998	255,255,0	1.881000	404998	1.818257	1.918502	1.934057	1.821790	1.782894	1.880930
chr10:45669000-45929998	chr10	45669000	45929998	chr10	45669000	45929998	255,255,0	1.898000	260998	2.005629	1.998970	2.089166	1.914220	1.898175	1.768275
chr10:45996000-46967998	chr10	45996000	46967998	chr10	45996000	46967998	255,255,0	1.765000	971998	1.700461	1.676258	1.750340	1.570795	1.633723	1.575455
chr10:46050000-46235998	chr10	46050000	46235998	chr10	46050000	46235998	255,255,0	1.633000	185998	1.498976	1.440310	1.503864	1.529435	1.523672	1.632973
chr10:49092000-49793998	chr10	49092000	49793998	chr10	49092000	49793998	255,255,0	2.479000	701998	2.469608	2.402409	2.390690	2.755780	2.859554	2.838650
chr10:49785000-50213998	chr10	49785000	50213998	chr10	49785000	50213998	255,255,0	2.614000	428998	2.615180	2.532039	2.613987	2.587642	2.733311	2.688575
chr10:49788000-50249998	chr10	49788000	50249998	chr10	49788000	50249998	255,255,0	2.818000	461998	2.510382	2.486835	2.529233	2.668613	2.826091	2.817820
chr10:50568000-50933998	chr10	50568000	50933998	chr10	50568000	50933998	255,255,0	1.579000	365998	1.619664	1.578894	1.622336	1.687136	1.672771	1.637584
chr10:51774000-52088998	chr10	51774000	52088998	chr10	51774000	52088998	255,255,0	1.702000	314998	1.337761	1.420538	1.443649	1.535624	1.653579	1.698545
chr10:52209000-52439998	chr10	52209000	52439998	chr10	52209000	52439998	255,255,0	2.900000	230998	2.741124	2.444112	2.757028	2.746227	2.884383	2.829133
chr10:52458000-53276998	chr10	52458000	53276998	chr10	52458000	53276998	255,255,0	1.697000	818998	1.433463	1.468076	1.407846	1.696651	1.572218	1.727979
chr10:52512000-53312998	chr10	52512000	53312998	chr10	52512000	53312998	255,255,0	1.633000	800998	1.448605	1.406086	1.423404	1.660569	1.599031	1.725850
chr10:53337000-53534998	chr10	53337000	53534998	chr10	53337000	53534998	255,255,0	3.024000	197998	2.897789	2.842845	3.049604	2.974011	3.067516	3.023644
chr10:53631000-53813998	chr10	53631000	53813998	chr10	53631000	53813998	255,255,0	2.752000	182998	2.812383	2.809915	2.820137	2.556521	2.707235	2.719073
chr10:53823000-55835998	chr10	53823000	55835998	chr10	53823000	55835998	255,255,0	1.604000	2012998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr10:56085000-56246998	chr10	56085000	56246998	chr10	56085000	56246998	255,255,0	1.871000	161998	1.871460	1.739331	1.701697	1.635309	1.683707	1.692263
chr10:56361000-57008998	chr10	56361000	57008998	chr10	56361000	57008998	255,255,0	3.383000	647998	3.321577	3.082544	3.382954	3.419734	3.512603	3.641535
chr10:58239000-58514998	chr10	58239000	58514998	chr10	58239000	58514998	255,255,0	3.077000	275998	2.935935	2.924882	2.988602	3.105752	3.028168	3.186285
chr10:58785000-59156998	chr10	58785000	59156998	chr10	58785000	59156998	255,255,0	1.565000	371998	1.528877	1.594773	1.563290	1.730139	1.744442	1.738304
chr10:59298000-59873998	chr10	59298000	59873998	chr10	59298000	59873998	255,255,0	2.818000	575998	2.818187	2.728741	2.891569	2.672897	2.724452	2.675717
chr10:59370000-59873998	chr10	59370000	59873998	chr10	59370000	59873998	255,255,0	2.906000	503998	2.803914	2.765153	2.905522	2.757761	2.913607	2.891987
chr10:59445000-59873998	chr10	59445000	59873998	chr10	59445000	59873998	255,255,0	2.776000	428998	2.741460	2.775521	2.832727	2.673407	2.682428	2.702646
chr10:59880000-60005998	chr10	59880000	60005998	chr10	59880000	60005998	255,255,0	2.642000	125998	2.547772	2.532814	2.641923	2.760328	2.659675	2.614608
chr10:60141000-60254998	chr10	60141000	60254998	chr10	60141000	60254998	255,255,0	2.862000	113998	2.763314	2.491353	2.726045	2.862213	2.534621	2.653159
chr10:60297000-60761998	chr10	60297000	60761998	chr10	60297000	60761998	255,255,0	2.581000	464998	2.368507	2.304881	2.358004	2.447244	2.423972	2.580967
chr10:60768000-60842998	chr10	60768000	60842998	chr10	60768000	60842998	255,255,0	3.176000	74998	3.514326	3.176216	3.477341	3.535541	3.312037	3.355966
chr10:61191000-61343998	chr10	61191000	61343998	chr10	61191000	61343998	255,255,0	3.029000	152998	3.039408	2.756846	2.974253	3.029199	3.061960	3.050999
chr10:61341000-61403998	chr10	61341000	61403998	chr10	61341000	61403998	255,255,0	2.613000	62998	2.613464	2.471537	2.508080	2.543529	2.749294	2.793019
chr10:61599000-61664998	chr10	61599000	61664998	chr10	61599000	61664998	255,255,0	2.631000	65998	2.703069	2.236278	2.631478	2.525200	2.629777	2.722633
chr10:62049000-62105998	chr10	62049000	62105998	chr10	62049000	62105998	255,255,0	2.516000	56998	2.364193	2.201561	2.515740	2.231719	2.183567	2.230672
chr10:62106000-62183998	chr10	62106000	62183998	chr10	62106000	62183998	255,255,0	2.454000	77998	2.550669	2.414965	2.434833	2.576621	2.453941	2.480721
chr10:62184000-62249998	chr10	62184000	62249998	chr10	62184000	62249998	255,255,0	2.560000	65998	2.625368	2.559546	2.759892	2.855954	2.559800	2.705526
chr10:62265000-62423998	chr10	62265000	62423998	chr10	62265000	62423998	255,255,0	2.342000	158998	2.352277	2.192687	2.233901	2.277431	2.338828	2.355800
chr10:62271000-62345998	chr10	62271000	62345998	chr10	62271000	62345998	255,255,0	2.239000	74998	2.113644	2.026622	2.239005	1.942308	1.897433	1.980778
chr10:62493000-63392998	chr10	62493000	63392998	chr10	62493000	63392998	255,255,0	1.853000	899998	1.849271	1.803078	1.800071	1.802263	1.753201	1.766254
chr10:62496000-62555998	chr10	62496000	62555998	chr10	62496000	62555998	255,255,0	1.911000	59998	1.797273	1.749785	1.774491	1.927856	1.911320	1.943688
chr10:62655000-62729998	chr10	62655000	62729998	chr10	62655000	62729998	255,255,0	1.506000	74998	1.399780	1.307799	1.356559	1.370157	1.404529	1.506162
chr10:62739000-62789998	chr10	62739000	62789998	chr10	62739000	62789998	255,255,0	1.588000	50998	1.436889	1.434913	1.415676	1.248305	1.408111	1.587970
chr10:63021000-63125998	chr10	63021000	63125998	chr10	63021000	63125998	255,255,0	1.662000	104998	1.812693	1.776598	1.792091	1.529567	1.555267	1.658251
chr10:63129000-63386998	chr10	63129000	63386998	chr10	63129000	63386998	255,255,0	1.882000	257998	1.810333	1.791340	1.781470	1.801155	1.746776	1.881513
chr10:63573000-64091998	chr10	63573000	64091998	chr10	63573000	64091998	255,255,0	1.746000	518998	1.467754	1.377578	1.387927	1.745651	1.728477	1.850688
chr10:63915000-64085998	chr10	63915000	64085998	chr10	63915000	64085998	255,255,0	1.683000	170998	1.722323	1.593400	1.665075	1.637025	1.815272	1.806119
chr10:64086000-64136998	chr10	64086000	64136998	chr10	64086000	64136998	255,255,0	1.967000	50998	1.962127	1.698531	1.967137	1.460553	1.660706	1.540178
chr10:64086000-64748998	chr10	64086000	64748998	chr10	64086000	64748998	255,255,0	1.683000	662998	1.530452	1.508038	1.532165	1.600400	1.598320	1.683398
chr10:64740000-66740998	chr10	64740000	66740998	chr10	64740000	66740998	255,255,0	1.672000	2000998	1.708466	1.671946	1.702195	1.739819	1.702290	1.731801
chr10:66732000-66812998	chr10	66732000	66812998	chr10	66732000	66812998	255,255,0	2.540000	80998	2.437768	2.539551	2.390794	2.453728	2.729614	2.758091
chr10:66840000-67316998	chr10	66840000	67316998	chr10	66840000	67316998	255,255,0	4.584000	476998	4.660829	4.462226	4.576296	4.592849	4.420813	4.355751
chr10:67308000-67862998	chr10	67308000	67862998	chr10	67308000	67862998	255,255,0	2.403000	554998	2.353263	2.325589	2.447836	2.402716	2.502268	2.405965
chr10:67863000-68000998	chr10	67863000	68000998	chr10	67863000	68000998	255,255,0	2.361000	137998	1.792709	1.762233	1.924562	2.087297	2.054889	2.361155
chr10:68139000-68291998	chr10	68139000	68291998	chr10	68139000	68291998	255,255,0	1.744000	152998	1.978607	1.743510	1.839081	1.755134	1.826245	1.816706
chr10:69174000-69326998	chr10	69174000	69326998	chr10	69174000	69326998	255,255,0	2.159000	152998	1.970116	1.969420	2.007777	2.263992	2.155386	2.203530
chr10:69441000-69656998	chr10	69441000	69656998	chr10	69441000	69656998	255,255,0	2.765000	215998	2.782818	2.648311	2.765214	2.764651	2.627413	2.825183
chr10:69654000-69854998	chr10	69654000	69854998	chr10	69654000	69854998	255,255,0	3.144000	200998	3.169371	3.077193	3.143979	3.269247	3.220499	3.385394
chr10:69861000-69974998	chr10	69861000	69974998	chr10	69861000	69974998	255,255,0	2.166000	113998	2.053313	2.089171	2.163717	2.176102	2.166132	2.062053
chr10:70092000-70172998	chr10	70092000	70172998	chr10	70092000	70172998	255,255,0	1.974000	80998	1.737904	1.764089	1.674218	1.911060	1.974285	1.853252
chr10:70167000-70304998	chr10	70167000	70304998	chr10	70167000	70304998	255,255,0	1.987000	137998	1.987436	1.905018	1.995727	1.974288	2.021759	2.020508
chr10:70311000-70571998	chr10	70311000	70571998	chr10	70311000	70571998	255,255,0	2.798000	260998	2.723198	2.490030	2.687202	2.747734	2.736011	2.797939
chr10:71316000-71408998	chr10	71316000	71408998	chr10	71316000	71408998	255,255,0	2.727000	92998	2.811410	2.702363	2.607258	2.726630	2.687940	2.705958
chr10:71418000-72695998	chr10	71418000	72695998	chr10	71418000	72695998	255,255,0	1.771000	1277998	1.637155	1.645987	1.599180	1.771164	1.742742	1.816003
chr10:71421000-72929998	chr10	71421000	72929998	chr10	71421000	72929998	255,255,0	1.675000	1508998	1.651705	1.675259	1.560505	1.746533	1.677990	1.764963
chr10:72630000-72686998	chr10	72630000	72686998	chr10	72630000	72686998	255,255,0	1.671000	56998	1.763004	1.612486	1.670839	1.717073	1.708955	1.625200
chr10:72957000-74897998	chr10	72957000	74897998	chr10	72957000	74897998	255,255,0	1.630000	1940998	1.641015	1.637715	1.629743	1.730288	1.673970	1.744821
chr10:73032000-74900998	chr10	73032000	74900998	chr10	73032000	74900998	255,255,0	1.658000	1868998	1.649593	1.605736	1.595914	1.682879	1.680683	1.682617
chr10:74916000-75032998	chr10	74916000	75032998	chr10	74916000	75032998	255,255,0	2.947000	116998	2.745381	2.642306	2.946340	2.946900	2.876633	3.043967
chr10:75051000-75158998	chr10	75051000	75158998	chr10	75051000	75158998	255,255,0	3.660000	107998	3.800171	3.495861	3.742543	3.660117	3.630755	3.801752
chr10:75168000-75500998	chr10	75168000	75500998	chr10	75168000	75500998	255,255,0	2.407000	332998	2.401293	2.265688	2.369550	2.385335	2.279155	2.343965
chr10:75174000-75260998	chr10	75174000	75260998	chr10	75174000	75260998	255,255,0	2.423000	86998	2.169946	2.103661	2.157601	2.331865	2.311833	2.397715
chr10:75510000-75965998	chr10	75510000	75965998	chr10	75510000	75965998	255,255,0	2.166000	455998	2.272439	2.105314	2.165854	2.002978	2.016394	2.021361
chr10:75630000-75713998	chr10	75630000	75713998	chr10	75630000	75713998	255,255,0	2.045000	83998	2.116968	2.055751	2.067788	2.082925	2.149204	2.045457
chr10:75741000-75857998	chr10	75741000	75857998	chr10	75741000	75857998	255,255,0	2.207000	116998	2.235563	2.206575	2.140550	2.192538	2.239710	2.198072
chr10:75858000-75959998	chr10	75858000	75959998	chr10	75858000	75959998	255,255,0	2.075000	101998	2.121745	1.809150	2.023219	1.979653	2.009337	2.075249
chr10:75966000-76211998	chr10	75966000	76211998	chr10	75966000	76211998	255,255,0	1.874000	245998	1.652258	1.628718	1.690435	1.803092	1.751888	1.874401
chr10:76263000-76538998	chr10	76263000	76538998	chr10	76263000	76538998	255,255,0	1.543000	275998	1.455647	1.396394	1.441734	1.542878	1.472670	1.421593
chr10:76545000-76766998	chr10	76545000	76766998	chr10	76545000	76766998	255,255,0	1.845000	221998	1.709711	1.684136	1.707210	1.786958	1.774211	1.756662
chr10:76827000-77033998	chr10	76827000	77033998	chr10	76827000	77033998	255,255,0	2.720000	206998	2.791983	2.719781	2.677962	2.828974	2.725708	2.907169
chr10:77124000-77258998	chr10	77124000	77258998	chr10	77124000	77258998	255,255,0	2.206000	134998	2.232478	2.206181	2.366263	2.470693	2.454659	2.495994
chr10:77265000-77516998	chr10	77265000	77516998	chr10	77265000	77516998	255,255,0	2.543000	251998	2.520888	2.433780	2.495044	2.471922	2.456945	2.474290
chr10:77511000-77573998	chr10	77511000	77573998	chr10	77511000	77573998	255,255,0	2.856000	62998	2.867793	2.817185	2.794126	2.814866	2.856257	2.856250
chr10:77628000-77948998	chr10	77628000	77948998	chr10	77628000	77948998	255,255,0	2.074000	320998	2.039482	2.078100	2.015007	2.099354	2.056545	2.043511
chr10:78021000-78164998	chr10	78021000	78164998	chr10	78021000	78164998	255,255,0	3.344000	143998	3.016681	3.064370	3.245694	3.158924	3.344434	3.205245
chr10:78270000-78401998	chr10	78270000	78401998	chr10	78270000	78401998	255,255,0	2.836000	131998	2.802723	2.701727	2.875266	2.802797	2.836019	2.876982
chr10:78489000-79526998	chr10	78489000	79526998	chr10	78489000	79526998	255,255,0	2.024000	1037998	1.919012	1.893069	1.969327	1.995831	2.024286	2.037489
chr10:78498000-78626998	chr10	78498000	78626998	chr10	78498000	78626998	255,255,0	2.011000	128998	1.890252	1.859580	2.011026	1.787587	1.791175	1.853221
chr10:78744000-78797998	chr10	78744000	78797998	chr10	78744000	78797998	255,255,0	2.200000	53998	2.103445	1.929019	2.121599	2.260112	1.905726	2.200371
chr10:79587000-79667998	chr10	79587000	79667998	chr10	79587000	79667998	255,255,0	3.237000	80998	3.075078	2.860302	3.057354	3.156431	3.236650	3.410028
chr10:79674000-81662998	chr10	79674000	81662998	chr10	79674000	81662998	255,255,0	4.426000	1988998	4.551069	4.425669	4.594157	4.990073	4.793458	4.648477
chr10:82620000-82766998	chr10	82620000	82766998	chr10	82620000	82766998	255,255,0	2.118000	146998	2.094218	2.013852	2.042221	2.099605	1.977091	2.117888
chr10:82659000-82706998	chr10	82659000	82706998	chr10	82659000	82706998	255,255,0	2.162000	47998	1.945969	1.882387	2.082414	2.161752	2.097193	2.045319
chr10:83598000-83654998	chr10	83598000	83654998	chr10	83598000	83654998	255,255,0	2.281000	56998	2.389245	2.026160	2.270644	2.280598	2.145110	2.163824
chr10:83796000-84464998	chr10	83796000	84464998	chr10	83796000	84464998	255,255,0	3.362000	668998	3.362121	3.205136	3.233701	3.187757	3.106183	3.111153
