gene	chr	start	end	wt_hmc	hmc_ctrl_M	hmc_ctrl_F	gb_ctrl_signal	dmr_qvalue	mod_difference	significant	chromatin_state	pred_prob_a
Adnp	chr2	168180985	168207111	0.376	0.367	0.385	0.58601	3.19777618445515e-07	-0.0385344333305015	TRUE	Active_Promoter	0.977069273094062
Rcor2	chr19	7267324	7275224	0.373	0.384	0.362	3.425321	0.424907747832931	-0.0165146917705828	FALSE	Other	0.976061609185795
Gm19668	chr10	77798386	77799132	0.372	0.3	0.444	NA	0.218189018650381	-0.234126984126984	FALSE	Other	0.975716217726882
Sppl2c	chr11	104186326	104191162	0.3705	0.376	0.365	5.583001	0.156699734688903	-0.0290212961123246	FALSE	Other	0.975189002254925
Rnf208	chr2	25242928	25244261	0.3705	0.391	0.35	1.765381	0.0609026304581342	-0.0777384336371397	FALSE	Active_Promoter	0.975189002254925
Ube2n	chr10	95515144	95545656	0.37	0.373	0.367	0.752166	1.68564652976991e-06	-0.0398548295222266	TRUE	Active_Promoter	0.975010797174848
Ywhae	chr11	75732868	75765844	0.37	0.364	0.376	0.335989	5.88678823077231e-06	-0.0369690443886037	TRUE	Active_Promoter	0.975010797174848
Arc	chr15	74669082	74672569	0.37	0.382	0.358	5.263268	0.100592548956713	-0.135127635960044	FALSE	Active_Promoter	0.975010797174848
Pan3	chr5	147430160	147548501	0.37	0.368	0.372	0.46572	4.05909535097942e-27	-0.0394627283457832	TRUE	Other	0.975010797174848
Lhfp	chr3	53041527	53261678	0.3695	0.369	0.37	NA	1.7565139007141e-19	-0.0240756401493167	TRUE	Active_Promoter	0.974831345170602
Fbxw11	chr11	32642723	32746815	0.3685	0.362	0.375	0.786163	0.00126703515460463	-0.0136727972091825	TRUE	Active_Promoter	0.974468667346423
Susd6	chr12	80790509	80880834	0.3685	0.364	0.373	1.138951	0.429985323224376	-0.00535814033043724	FALSE	Active_Promoter	0.974468667346423
Sdr39u1	chr14	55897282	55900292	0.3685	0.379	0.358	1.496671	0.665307813720968	-0.0141492734305772	FALSE	Other	0.974468667346423
Gpm6a	chr8	54954842	55060870	0.3675	0.363	0.372	0.704044	9.7276740385198e-05	-0.0205749091155711	TRUE	Active_Promoter	0.974100902217913
Gabrb2	chr11	42419756	42629027	0.367	0.367	0.367	0.655577	2.04339607479306e-36	-0.0404938966673378	TRUE	Active_Promoter	0.973915090903039
Brinp1	chr4	68761513	68954396	0.367	0.367	0.367	1.151549	5.09275547242318e-45	-0.0488634740895915	TRUE	Active_Promoter	0.973915090903039
Nck1	chr9	100492292	100546133	0.3665	0.36	0.373	0.41683	1.35526571903262e-08	-0.0345137403768316	TRUE	Active_Promoter	0.97372798245169
Hivep2	chr10	13966074	14151373	0.366	0.368	0.364	1.460668	3.89377515332749e-14	-0.0204117064854228	TRUE	Active_Promoter	0.973539568326144
Lrrc3b	chr14	15357514	15438986	0.3655	0.363	0.368	1.881395	1.06826869119137e-14	-0.0394548048564953	TRUE	Active_Promoter	0.973349839939937
Abhd17b	chr19	21653184	21685636	0.364	0.355	0.373	0.624303	9.39969126140308e-05	-0.0263368527719542	TRUE	Active_Promoter	0.972772682617997
Galk1	chr11	116008456	116012718	0.363	0.404	0.322	4.310649	0.0470922200535864	-0.0491222358800241	TRUE	Other	0.972381180139443
Insyn1	chr9	58488602	58499779	0.3605	0.349	0.372	2.537036	0.000110385914612035	-0.06470862450428	TRUE	Active_Promoter	0.971378347532755
Foxo3	chr10	42181840	42276754	0.36	0.356	0.364	1.830781	0.000147912776909145	-0.0133203634447674	TRUE	Active_Promoter	0.971173581465194
Ywhaq	chr12	21390070	21417636	0.36	0.357	0.363	0.424014	1.56601728144508e-10	-0.0552619180458862	TRUE	Active_Promoter	0.971173581465194
Fbxl3	chr14	103080238	103099565	0.36	0.355	0.365	1.142377	0.00159425225370203	-0.0244977205622983	TRUE	Active_Promoter	0.971173581465194
Fem1a	chr17	56256809	56263609	0.3595	0.345	0.374	0.997013	0.000278950513779005	-0.0524720472742507	TRUE	Active_Promoter	0.970967394237128
Scx	chr15	76457451	76459457	0.358	0.402	0.314	2.469692	0.236963915479087	0.0392861827005049	FALSE	Active_Promoter	0.970340212984375
Mgat3	chr15	80173720	80215518	0.358	0.353	0.363	0.904403	0.196328963543874	-0.00995507640899723	FALSE	Active_Promoter	0.970340212984375
Ripply2	chr9	87015536	87019916	0.3575	0.335	0.38	1.634764	0.000109501088388827	-0.080176015972623	TRUE	Active_Promoter	0.970128248253226
Olfm3	chr3	114904077	115125721	0.357	0.357	0.357	0.723667	1.34903191339354e-20	-0.0305144689410993	TRUE	Active_Promoter	0.969914815674987
Epn2	chr11	61517248	61579686	0.3565	0.355	0.358	1.07131	0.000200176614548548	-0.0235217099800188	TRUE	Other	0.9696999057582
Tff3	chr17	31125305	31129645	0.3555	0.391	0.32	1.723705	0.159297129610167	0.0482756838175649	FALSE	Other	0.969265615684422
Rnf182	chr13	43615709	43670944	0.3555	0.352	0.359	1.009806	1.41235794030349e-14	-0.039179719425657	TRUE	Active_Promoter	0.969265615684422
Pten	chr19	32757496	32826159	0.3555	0.357	0.354	0.761464	7.43697530737587e-09	-0.0291795035383065	TRUE	Active_Promoter	0.969265615684422
Ppm1d	chr11	85311243	85347065	0.355	0.355	0.355	0.491022	8.39816790293836e-05	-0.0285572217938562	TRUE	Active_Promoter	0.969046216285375
Mapk8ip2	chr15	89453912	89464467	0.355	0.36	0.35	1.433086	3.71807371955256e-05	-0.0526215930708897	TRUE	Active_Promoter	0.969046216285375
Epdr1	chr13	19591705	19619926	0.3545	0.359	0.35	1.435389	1.4581404945756e-06	-0.0420721709338382	TRUE	Active_Promoter	0.968825301063392
Pafah1b1	chr11	74673948	74724669	0.3535	0.361	0.346	0.231641	1.01411195313242e-08	-0.037180929847195	TRUE	Active_Promoter	0.968378884092546
Ankrd39	chr1	36537506	36547444	0.353	0.357	0.349	1.68644	0.0911712444510118	-0.0198007698576192	FALSE	Other	0.968153362683526
Pacsin1	chr17	27655508	27711481	0.353	0.358	0.348	0.773017	0.0043615940120666	-0.0175234827782738	TRUE	Other	0.968153362683526
Tcf4	chr18	69343355	69689078	0.353	0.35	0.356	1.419166	1.70344741024558e-89	-0.0337616953143884	TRUE	Active_Promoter	0.968153362683526
C130050O18Rik	chr5	139405279	139415622	0.353	0.353	0.353	2.975195	1.72366028615275e-05	-0.0588326124137145	TRUE	Other	0.968153362683526
Clic3	chr2	25456837	25458775	0.352	0.355	0.349	2.115302	0.126868734227917	-0.0473624076408949	FALSE	Active_Promoter	0.967697644473197
C2cd4d	chr3	94362437	94364565	0.351	0.31	0.392	2.859219	0.0102719495229844	-0.0819804988284785	TRUE	Other	0.967235625730034
A330070K13Rik	chr5	130378777	130384630	0.351	0.366	0.336	0.893497	0.004873756610225	-0.0623864242371175	TRUE	Other	0.967235625730034
Shisa4	chr1	135371056	135375236	0.3505	0.372	0.329	2.572023	0.292928643548387	-0.0303283439000342	FALSE	Active_Promoter	0.967002228456141
Nr1d2	chr14	18204053	18239126	0.3505	0.345	0.356	0.573594	1.67315302060898e-13	-0.0465029021389318	TRUE	Active_Promoter	0.967002228456141
Tspan5	chr3	138742194	138907904	0.3505	0.35	0.351	1.868153	4.27859956357749e-08	-0.0141698813867003	TRUE	Active_Promoter	0.967002228456141
Kcnk10	chr12	98429436	98578309	0.35	0.348	0.352	1.128256	3.43511980582853e-12	-0.0225719184964348	TRUE	Active_Promoter	0.966767225699667
Nedd4l	chr18	64887704	65217827	0.35	0.35	0.35	1.394286	5.80141763758731e-34	-0.0226183504265743	TRUE	Active_Promoter	0.966767225699667
B4galt5	chr2	167298443	167349182	0.35	0.348	0.352	1.655425	0.00913957947342109	-0.0148405246435652	TRUE	Other	0.966767225699667
Ndufa4	chr6	11900291	11907496	0.35	0.354	0.346	0.740035	0.0162996413944738	-0.0405871599679232	TRUE	Active_Promoter	0.966767225699667
Lrrn1	chr6	107529767	107570213	0.35	0.348	0.352	3.514037	7.98550387622969e-31	-0.0688823649498744	TRUE	Active_Promoter	0.966767225699667
Rab6a	chr7	100607409	100641267	0.3495	0.367	0.332	0.353282	0.00642231469962129	-0.0249468869337707	TRUE	Active_Promoter	0.96653060723315
Chn2	chr6	54039553	54301809	0.3495	0.351	0.348	1.131393	0.193330691592353	-0.00376670953309299	FALSE	Active_Promoter	0.96653060723315
Kansl1	chr11	104333228	104468860	0.349	0.345	0.353	0.296395	1.58311924027468e-07	-0.0217498271173138	TRUE	Other	0.966292362775646
Tmem65	chr15	58782268	58823637	0.349	0.339	0.359	1.460305	0.025910399955048	-0.0136961676773261	TRUE	Active_Promoter	0.966292362775646
Cnot2	chr10	116485160	116581510	0.3485	0.346	0.351	0.784079	7.21630575794565e-30	-0.0431700236943957	TRUE	Active_Promoter	0.966052481992622
Neurl1a	chr19	47178819	47259440	0.348	0.343	0.353	1.206267	9.80866095052815e-05	-0.0173502923167826	TRUE	Active_Promoter	0.965810954495851
Rnf148	chr6	23653897	23655135	0.348	0.367	0.329	1.359524	0.31854192289382	0.0303353191655402	FALSE	Other	0.965810954495851
Crkl	chr16	17451986	17487433	0.3475	0.337	0.358	0.369178	8.9745980054227e-06	-0.0313265140178996	TRUE	Active_Promoter	0.96556776984331
Dyrk1a	chr16	94570009	94695516	0.3475	0.339	0.356	0.703532	5.94913488644862e-18	-0.0296699121143184	TRUE	Active_Promoter	0.96556776984331
Jmjd1c	chr10	67096124	67256325	0.347	0.346	0.348	0.88853	5.5585885245136e-07	-0.0173339844472201	TRUE	Active_Promoter	0.965322917539079
Camk4	chr18	32934930	33191227	0.347	0.354	0.34	0.709595	2.25038150383698e-13	-0.0199349166904815	TRUE	Active_Promoter	0.965322917539079
Ywhag	chr5	135908408	135934615	0.347	0.354	0.34	0.56861	0.00969285116165599	-0.0176161829621907	TRUE	Active_Promoter	0.965322917539079
Srgap2	chr1	131285250	131527351	0.346	0.348	0.344	1.024112	5.23337641665678e-05	-0.014114542674933	TRUE	Active_Promoter	0.964828167721795
Lrrtm3	chr10	63928471	64090276	0.346	0.347	0.345	1.501377	8.04075929865879e-34	-0.0369980816418176	TRUE	Active_Promoter	0.964828167721795
Galnt7	chr8	57523827	57653031	0.346	0.343	0.349	1.353882	1.34526210632182e-173	-0.0735406827673085	TRUE	Active_Promoter	0.964828167721795
Ankrd11	chr8	122883821	123042276	0.346	0.343	0.349	0.714616	1.10527259337721e-18	-0.0264092405875322	TRUE	Active_Promoter	0.964828167721795
Zbtb7a	chr10	81135219	81152994	0.3455	0.345	0.346	1.312457	0.00656983194504477	-0.0222301033769237	TRUE	Active_Promoter	0.964578248946557
Jarid2	chr13	44729473	44921642	0.3455	0.345	0.346	1.298465	4.6214740858099e-09	-0.0173077256355515	TRUE	Active_Promoter	0.964578248946557
Mbnl2	chr14	120275668	120431696	0.345	0.343	0.347	1.474466	1.18606723680568e-35	-0.0309753004351083	TRUE	Active_Promoter	0.964326619995074
Ric3	chr7	109034311	109083330	0.3445	0.358	0.331	0.666649	1.56251226107016e-17	-0.0547693140454656	TRUE	Other	0.964073270100543
Nrg2	chr18	36017651	36197379	0.344	0.346	0.342	1.712701	3.50521985857747e-09	-0.0192343125759616	TRUE	Active_Promoter	0.963818188441723
Lrrn2	chr1	132880272	132940004	0.3435	0.334	0.353	2.564356	1.20124068074849e-06	-0.0284456817833837	TRUE	Active_Promoter	0.963561364142858
Gprc5b	chr7	118972046	118995210	0.343	0.338	0.348	2.734802	2.38048979365689e-05	-0.0396755638504602	TRUE	Active_Promoter	0.963302786273602
Ak4	chr4	101419276	101466994	0.342	0.341	0.343	1.255522	0.282961003213097	-0.00676021943297989	FALSE	Active_Promoter	0.962780325829155
Car10	chr11	93098027	93601748	0.3415	0.337	0.346	0.787797	8.42379548099433e-82	-0.038091551951522	TRUE	Active_Promoter	0.962516421119686
Spred2	chr11	19924374	20024025	0.341	0.334	0.348	1.092624	0.0247950337901095	-0.00860560241353375	TRUE	Active_Promoter	0.962250718571143
Gnao1	chr8	93809965	93969387	0.341	0.344	0.338	1.630505	2.86724145284375e-10	-0.0208915006354945	TRUE	Active_Promoter	0.962250718571143
Samd14	chr11	95009878	95026086	0.3405	0.339	0.342	1.698317	0.000881511576663865	-0.0356006388794017	TRUE	Active_Promoter	0.961983206979211
Trmt9b	chr8	36457547	36516569	0.3405	0.333	0.348	1.379286	4.73336842537302e-08	-0.0253446765746251	TRUE	Active_Promoter	0.961983206979211
Dgkd	chr1	87853286	87945179	0.34	0.337	0.343	0.89899	0.0512827361807581	-0.0113878161170318	FALSE	Other	0.961713875084602
Ctbp2	chr7	132987562	133124353	0.34	0.341	0.339	1.32469	9.64283066938234e-42	-0.0401834423100463	TRUE	Active_Promoter	0.961713875084602
Fem1c	chr18	46501745	46525970	0.34	0.326	0.354	1.002188	5.24995164952302e-05	-0.0310149287877782	TRUE	Active_Promoter	0.961713875084602
Ppargc1b	chr18	61298135	61400430	0.34	0.336	0.344	1.764768	0.000486778838960706	-0.0144406860381673	TRUE	Active_Promoter	0.961713875084602
Micos10	chr4	139101813	139131112	0.3395	0.329	0.35	0.507347	1.75953323907455e-07	-0.0402670912035801	TRUE	Other	0.961442711573003
G430095P16Rik	chr8	84723006	84726843	0.3395	0.354	0.325	NA	0.0142423609985553	-0.0735452084640806	TRUE	Active_Enhancer	0.961442711573003
Fabp3	chr4	130308594	130315462	0.339	0.341	0.337	1.838291	0.00997693828420847	-0.0463237890805497	TRUE	Other	0.961169705075031
Nuak1	chr10	84370904	84440596	0.339	0.344	0.334	1.952954	0.126776480469797	-0.007829564308376	FALSE	Active_Promoter	0.961169705075031
Vapa	chr17	65578326	65613554	0.339	0.332	0.346	0.618797	6.2209836900978e-11	-0.0442731087730759	TRUE	Active_Promoter	0.961169705075031
Kmt2e	chr5	23434440	23504234	0.339	0.329	0.349	0.445403	6.75719786355465e-10	-0.0303617932281248	TRUE	Active_Promoter	0.961169705075031
Kirrel3	chr9	34485893	35036715	0.339	0.334	0.344	1.792071	6.58440032637638e-55	-0.0272582132195944	TRUE	Active_Promoter	0.961169705075031
Rbm4	chr19	4784292	4793900	0.3385	0.343	0.334	0.67412	0.305422205332068	-0.0129955601263082	FALSE	Poised_Enhancer	0.960894844166186
Sema4c	chr1	36548638	36558348	0.338	0.338	0.338	4.88056	0.876295783435353	0.00338373081314042	FALSE	Active_Promoter	0.960618117366814
Rnf130	chr11	50025345	50125718	0.338	0.338	0.338	1.047048	2.3019429741957e-10	-0.0253765859138838	TRUE	Other	0.960618117366814
Grb2	chr11	115644044	115708596	0.338	0.335	0.341	0.629864	2.54464399843219e-08	-0.0253682085501247	TRUE	Active_Promoter	0.960618117366814
Foxn3	chr12	99190077	99563581	0.338	0.337	0.339	1.25069	2.2894578852083e-23	-0.0176836385947583	TRUE	Active_Promoter	0.960618117366814
Cul3	chr1	80264922	80340479	0.338	0.329	0.347	0.583103	8.78300951093984e-05	-0.0204060442377315	TRUE	Active_Promoter	0.960618117366814
Grina	chr15	76246763	76249903	0.338	0.351	0.325	3.092009	0.610373415524854	-0.0202895219731888	FALSE	Other	0.960618117366814
Tab2	chr10	7905652	7956229	0.3375	0.339	0.336	0.801392	1.71753278151176e-07	-0.0283205792909155	TRUE	Active_Promoter	0.960339513142071
Tbpl1	chr10	22703878	22731937	0.3375	0.338	0.337	1.377586	1.53082960017561e-10	-0.042327361925777	TRUE	Active_Promoter	0.960339513142071
Pkia	chr3	7366668	7445365	0.3375	0.333	0.342	0.771309	1.59616879412888e-08	-0.0299665472219683	TRUE	Active_Promoter	0.960339513142071
Dip2b	chr15	100038663	100219472	0.337	0.333	0.341	0.988079	3.22711326752709e-35	-0.0338204182880858	TRUE	Active_Promoter	0.960059019901888
Med13l	chr5	118560678	118765437	0.337	0.336	0.338	1.329354	3.76472707541316e-12	-0.0179904902368539	TRUE	Active_Promoter	0.960059019901888
Arf1	chr11	59211411	59228269	0.337	0.328	0.346	0.543019	0.608698792166615	-0.00664434965320909	FALSE	Active_Promoter	0.960059019901888
Sp3	chr2	72936426	72980445	0.337	0.326	0.348	0.553433	1.65755020353812e-12	-0.0440745768860341	TRUE	Other	0.960059019901888
Asphd1	chr7	126945566	126949581	0.337	0.35	0.324	0.972403	0.629981846834679	-0.0134868440758465	FALSE	Active_Promoter	0.960059019901888
Npff	chr15	102523838	102524941	0.3365	0.361	0.312	1.206277	0.0968902150228647	-0.0775422728231077	FALSE	Other	0.95977662600095
Ptgds	chr2	25466708	25470045	0.3365	0.331	0.342	2.03926	0.444333559206184	-0.0217569232682635	FALSE	Other	0.95977662600095
Ube2e3	chr2	78868123	78921292	0.336	0.337	0.335	1.019214	5.49080098650713e-11	-0.0409284195365567	TRUE	Active_Promoter	0.959492319738665
Mpg	chr11	32226504	32232699	0.336	0.306	0.366	2.748112	0.1508841575257	-0.023442247944319	FALSE	Other	0.959492319738665
Sphkap	chr1	83254138	83408199	0.3355	0.338	0.333	0.712537	1.308012533484e-08	-0.0220850645388607	TRUE	Active_Promoter	0.959206089359151
Ank	chr15	27466676	27594908	0.3355	0.337	0.334	1.842317	1.57864277455678e-35	-0.0359283372236959	TRUE	Active_Promoter	0.959206089359151
Siah1a	chr8	86724006	86745933	0.3355	0.328	0.343	0.739535	0.0445877535109749	-0.0191322793381096	TRUE	Active_Promoter	0.959206089359151
Nptn	chr9	58582239	58657954	0.3355	0.332	0.339	0.480773	7.2032512675792e-12	-0.0370956761485319	TRUE	Active_Promoter	0.959206089359151
Tafa5	chr15	87544298	87759363	0.335	0.333	0.337	2.233854	1.69613034815457e-07	-0.0147363959562721	TRUE	Active_Promoter	0.958917923051217
Celf4	chr18	25477631	25754156	0.335	0.333	0.337	3.139522	1.82752839738153e-09	-0.014717437419272	TRUE	Active_Promoter	0.958917923051217
Ssbp3	chr4	106910700	107049693	0.335	0.334	0.336	2.580095	0.0380561851683505	-0.00779211013036785	TRUE	Active_Promoter	0.958917923051217
Gpr27	chr6	99692678	99695065	0.335	0.345	0.325	4.236495	0.356999302032072	-0.0300338450849064	FALSE	Active_Promoter	0.958917923051217
Tmem229b	chr12	78961794	79007626	0.3345	0.337	0.332	1.364399	2.84727396872319e-06	-0.0298508876859053	TRUE	Active_Promoter	0.958627808948356
Bcl2l1	chr2	152780667	152831727	0.3345	0.337	0.332	1.392216	0.974789838570341	-0.000603260978891296	FALSE	Active_Promoter	0.958627808948356
Ccni	chr5	93181932	93206494	0.3345	0.341	0.328	0.601133	0.00206979610835642	-0.0283643756183819	TRUE	Active_Promoter	0.958627808948356
Lin7a	chr10	107271685	107421473	0.334	0.333	0.335	0.889511	9.16927085923717e-12	-0.0237767510864874	TRUE	Active_Promoter	0.958335735128735
Sirpa	chr2	129592834	129632227	0.334	0.332	0.336	2.586497	1.66306770529493e-06	-0.0305599886935366	TRUE	Active_Promoter	0.958335735128735
Rbm39	chr2	156147238	156180237	0.334	0.344	0.324	0.31505	3.87010267036846e-08	-0.039022119459915	TRUE	Active_Promoter	0.958335735128735
Eid3	chr10	82866625	82867929	0.3335	0.325	0.342	2.604588	0.000612701504994549	-0.0852329721387972	TRUE	Other	0.958041689615198
Hnrnpc	chr14	52073376	52104027	0.3335	0.335	0.332	0.38261	2.98143314834531e-09	-0.0466477002269965	TRUE	Active_Promoter	0.958041689615198
Kcnd2	chr6	21215502	21729804	0.3335	0.329	0.338	0.739126	3.06773286593732e-95	-0.0404695810000089	TRUE	Active_Promoter	0.958041689615198
Ccdc166	chr15	75979871	75982454	0.333	0.33	0.336	2.160783	0.217032447283844	-0.0348356831948377	FALSE	Other	0.957745660375267
Ly6g6d	chr17	35071442	35078064	0.333	0.331	0.335	1.131468	0.700859495478874	-0.00810552813617749	FALSE	Other	0.957745660375267
Rbm33	chr5	28317120	28419238	0.333	0.332	0.334	0.673405	3.43482794208268e-30	-0.0524727134136596	TRUE	Active_Promoter	0.957745660375267
Gabarapl2	chr8	111940702	111953611	0.333	0.347	0.319	0.804991	0.0013149199557596	-0.0403287976889153	TRUE	Active_Promoter	0.957745660375267
Ube2d1	chr10	71254979	71285261	0.3325	0.322	0.343	0.894557	0.000118101636175615	-0.0226068483194382	TRUE	Active_Promoter	0.957447635321148
Khnyn	chr14	55884946	55898774	0.3325	0.331	0.334	1.227116	0.919345874640456	-0.00155017343202063	FALSE	Active_Promoter	0.957447635321148
Tubg2	chr11	101155906	101161786	0.332	0.328	0.336	0.836478	6.2923471955187e-07	-0.0740902023957895	TRUE	Other	0.957147602309749
Tram1l1	chr3	124320854	124324742	0.3315	0.318	0.345	2.810244	0.0801490489826243	-0.0352664082586037	FALSE	Active_Promoter	0.956845549142692
Gap43	chr16	42248441	42340650	0.331	0.332	0.33	1.595702	1.8736979130055e-28	-0.0468486067815369	TRUE	Active_Promoter	0.956541463566339
Max	chr12	76937268	76962200	0.3305	0.339	0.322	1.242625	5.13521301169695e-14	-0.0554369400278229	TRUE	Active_Promoter	0.956235333271817
Xkr6	chr14	63606502	63820808	0.3305	0.33	0.331	1.322083	6.07749850191455e-20	-0.0259590995006013	TRUE	Active_Promoter	0.956235333271817
Clvs1	chr4	9269292	9451690	0.3305	0.328	0.333	0.975115	4.45394235659665e-09	-0.0180986174186131	TRUE	Active_Promoter	0.956235333271817
Cebpg	chr7	35046421	35056572	0.3305	0.334	0.327	0.759923	0.00159024808801835	-0.036185504351097	TRUE	Active_Promoter	0.956235333271817
Fam53b	chr7	132712081	132813885	0.3305	0.331	0.33	1.66813	0.00666142179046289	-0.0121601198787297	TRUE	Active_Promoter	0.956235333271817
Prag1	chr8	36094827	36147786	0.3305	0.333	0.328	2.136596	1.56766395590629e-24	-0.0452948338527173	TRUE	Active_Promoter	0.956235333271817
Dpf3	chr12	83213744	83487715	0.3295	0.327	0.332	1.234421	1.50828449848215e-30	-0.0267090475133541	TRUE	Active_Promoter	0.955616889016816
Epc1	chr18	6435950	6516107	0.3295	0.333	0.326	0.782224	1.37784503761892e-16	-0.033734384466948	TRUE	Active_Promoter	0.955616889016816
D430041D05Rik	chr2	104143072	104411012	0.3295	0.328	0.331	1.454195	2.66894949617104e-08	-0.0130830554031502	TRUE	Active_Promoter	0.955616889016816
Man1c1	chr4	134561689	134704289	0.329	0.327	0.331	1.472833	3.32735242070862e-25	-0.0307166837830524	TRUE	Active_Promoter	0.955304550162744
Mgll	chr6	88724411	88828359	0.329	0.33	0.328	2.439926	1.02566000691909e-30	-0.0404752569269239	TRUE	Active_Promoter	0.955304550162744
Kcnj11	chr7	46093952	46100763	0.329	0.341	0.317	2.543128	0.204095367098148	-0.0206359114495426	FALSE	Active_Promoter	0.955304550162744
Snx3	chr10	42502029	42535380	0.3285	0.331	0.326	0.581277	8.22547527567355e-11	-0.0419263275152652	TRUE	Active_Promoter	0.954990116803412
Gna13	chr11	109362830	109401368	0.3285	0.325	0.332	0.827971	1.07295947378134e-41	-0.0645748482718282	TRUE	Active_Promoter	0.954990116803412
Gatad2b	chr3	90293177	90363406	0.3285	0.328	0.329	0.286419	1.19658612767682e-09	-0.0345043545317548	TRUE	Active_Promoter	0.954990116803412
Zfand3	chr17	30004732	30210827	0.328	0.329	0.327	1.012535	1.89874853929239e-33	-0.0310956060189039	TRUE	Other	0.954673576354373
Rbm12	chr2	156091957	156111977	0.328	0.324	0.332	0.613923	0.0029101043632198	-0.0240262413915978	TRUE	Active_Promoter	0.954673576354373
Stmn2	chr3	8509359	8561605	0.328	0.322	0.334	1.544719	0.0113850285797925	-0.0144823495833285	TRUE	Active_Promoter	0.954673576354373
Syt11	chr3	88744699	88775163	0.328	0.324	0.332	0.554693	0.877595610887347	-0.00156500114376201	FALSE	Active_Promoter	0.954673576354373
Klf13	chr7	63886350	63938914	0.328	0.323	0.333	1.515994	0.559382626185759	0.00502348279208725	FALSE	Active_Promoter	0.954673576354373
Hus1b	chr13	30946572	30947758	0.328	0.368	0.288	2.025276	0.00361392023744452	-0.0824633403059448	TRUE	Other	0.954673576354373
Cpeb4	chr11	31872210	31935633	0.3275	0.327	0.328	0.576653	2.85528928739239e-13	-0.0451310910750762	TRUE	Active_Promoter	0.954354916176223
