gene	chr	start	end	mc_ctrl	mc_mut	mc_diff	mc_q	mc_sig	hmc_ctrl	hmc_mut	hmc_diff	hmc_q	hmc_sig	ratio_ctrl	ratio_mut	delta_ratio	dmr_status	chromatin_state
Higd2a	chr13	54590206	54591157	0	0.00378787878787879	0.00378787878787879	0.828622974414179	FALSE	0.0286505424954792	0.00898203592814371	-0.0196685065673355	0.325644119558634	FALSE	1	0.703374777975133	-0.296625222024867	Not DMR	Active_Promoter
Spry2	chr14	105891946	105896818	0.0367776408768557	0.218929340339072	0.182151699462217	1.48075913660959e-65	TRUE	0.0467589850468296	0.0828703799851855	0.0361113949383559	6.11504201535647e-07	TRUE	0.559742322960783	0.274587331943676	-0.285154991017108	Both mC+hmC DMR	Active_Promoter
H3c8	chr13	23535421	23535950	0.0177949416931698	0.016815463292017	-0.000979478401152784	0.904316633145067	FALSE	0.00704225352112676	0	-0.00704225352112676	0.571639166412245	FALSE	0.283536585365854	0	-0.283536585365854	Not DMR	Other
Gadd45g	chr13	51846677	51848467	0.0541140719962599	0.0324764982373678	-0.0216375737588921	0.249037652431523	FALSE	0.0937353903693315	0.0189923619271445	-0.0747430284421869	0.000453737685324981	TRUE	0.63399209486166	0.369006849315068	-0.264985245546592	hmC DMR only	Active_Promoter
Rpp25l	chr4	41712032	41713533	0.00796911421911422	0.0300532800532801	0.0220841658341658	0.127436414588391	FALSE	0.016215034965035	0.0236152736152736	0.00740023865023865	0.68029158496272	FALSE	0.670481927710843	0.440020682523268	-0.230461245187576	Not DMR	Active_Promoter
Prxl2b	chr4	154895503	154899134	0.244451374811581	0.43952664399093	0.195075269179349	4.11066901237338e-17	TRUE	0.314318138503387	0.221102607709751	-0.0932155307936366	2.5274091455253e-05	TRUE	0.562518410567278	0.334684858626164	-0.227833551941114	Both mC+hmC DMR	Active_Promoter
Gsx1	chr5	147188695	147190946	0.0341666666666667	0.0572513996267662	0.0230847329600995	0.498312556748285	FALSE	0.0183333333333333	0.00816448946947481	-0.0101688438638585	0.55621554480141	FALSE	0.349206349206349	0.124808965868569	-0.224397383337781	Not DMR	Repressed_Promoter
1700056E22Rik	chr1	184033029	184034300	0.0279365904365904	0.0738775297851308	0.0459409393485404	0.11820381525051	FALSE	0.0705994455994456	0.0717964726080849	0.00119702700863931	0.991729742080284	FALSE	0.716483516483516	0.492857142857143	-0.223626373626374	Not DMR	Active_Promoter
Tlx3	chr11	33200751	33203588	0.0910377358490566	0.0223214285714286	-0.068716307277628	0.0457101741412928	TRUE	0.0939858490566038	0.00892857142857143	-0.0850572776280323	0.00327869522411151	TRUE	0.507966857871256	0.285714285714286	-0.22225257215697	Both mC+hmC DMR	Bivalent_Promoter
H1f1	chr13	23763665	23764405	0.00833333333333333	0.00939538929969552	0.00106205596636219	0.983930780559504	FALSE	0.0634879725085911	0.018790778599391	-0.0446971939092	0.180201665119646	FALSE	0.883971291866029	0.666666666666667	-0.217304625199362	Not DMR	Active_Promoter
Gm12184	chr11	48825345	48826654	0.568181818181818	0.62	0.0518181818181819	0.705907358381376	FALSE	0.244755244755245	0.06	-0.184755244755245	0.118958904325233	FALSE	0.301075268817204	0.0882352941176471	-0.212839974699557	Not DMR	Other
Junb	chr8	84976909	84978717	0.0062111801242236	0.00492610837438424	-0.00128507174983937	0.545771514047786	FALSE	0.0093167701863354	0.0032051282051282	-0.0061116419812072	0.337813842624822	FALSE	0.6	0.394174757281553	-0.205825242718447	Not DMR	Active_Promoter
Hnrnpa0	chr13	58125878	58128555	0.0411085253717789	0.0628468835144135	0.0217383581426347	0.137415624996729	FALSE	0.0534432114882507	0.0353358673349255	-0.0181073441533252	0.109574964637231	FALSE	0.565227178929201	0.359898933664511	-0.20532824526469	Not DMR	Active_Promoter
Ripply2	chr9	87015536	87019916	0.259190101237345	0.458917240891547	0.199727139654202	5.53152240093366e-21	TRUE	0.357579677540307	0.277403661567684	-0.080176015972623	0.000109501088388827	TRUE	0.579761995227746	0.376742885664642	-0.203019109563104	Both mC+hmC DMR	Active_Promoter
Magea1	chrX	155088685	155089792	0.758333333333333	0.87962962962963	0.121296296296296	0.521368448245902	FALSE	0.191666666666667	0	-0.191666666666667	0.259517672412468	FALSE	0.201754385964912	0	-0.201754385964912	Not DMR	Other
Mtln	chr2	127791387	127792487	0.0548957287833166	0.115514309171945	0.060618580388628	0.000886074583257733	TRUE	0.0334002453440393	0.0248944405348346	-0.00850580480920463	0.445623309514525	FALSE	0.378275970950426	0.177299780724653	-0.200976190225773	mC DMR only	Active_Promoter
Krtap3-1	chr11	99566026	99566629	0.347826086956522	0.393518518518518	0.0456924315619968	0.303008630062373	FALSE	0.205434782608696	0.0810185185185185	-0.124416264090177	0.0840022039474505	FALSE	0.371316306483301	0.170731707317073	-0.200584599166227	Not DMR	Other
Zcchc3	chr2	152411954	152415026	0.133601332753875	0.3182261208577	0.184624788103825	2.04667880792411e-26	TRUE	0.11484137331595	0.118817878028404	0.00397650471245477	0.865355163748265	FALSE	0.462244897959184	0.27186708507893	-0.190377812880253	mC DMR only	Active_Promoter
Ckb	chr12	111669360	111672337	0.0031055900621118	0.00817196443794909	0.00506637437583729	0.814832690487358	FALSE	0.0124223602484472	0.0129095116307393	0.000487151382292047	0.806848857553299	FALSE	0.8	0.612362796071635	-0.187637203928365	Not DMR	Active_Promoter
Sap30	chr8	57482706	57487859	0.310280937055226	0.533929182204203	0.223648245148977	1.05517746248828e-24	TRUE	0.168904161698017	0.105537411050212	-0.063366750647805	2.86267897350776e-05	TRUE	0.352482082889215	0.165039756827803	-0.187442326061412	Both mC+hmC DMR	Active_Promoter
Fam181b	chr7	93079864	93081866	0.215689799832195	0.268131147540984	0.0524413477087889	0.332067911639416	FALSE	0.127472132326501	0.0605901639344262	-0.066881968392075	0.0501740079669872	FALSE	0.371463499825358	0.184320766008378	-0.18714273381698	Not DMR	Active_Enhancer
Syt1	chr10	108497649	109010981	0.581674597977739	0.760258971908446	0.178584373930707	1.7288823880601e-305	TRUE	0.270608422358017	0.117331923168614	-0.153276499189403	2.91748902985141e-305	TRUE	0.317510047602979	0.133697744389556	-0.183812303213424	Both mC+hmC DMR	Active_Promoter
Mrpl53	chr6	83109039	83109938	0.0133476504721811	0.0442952761963379	0.0309476257241568	0.00356107997710321	TRUE	0.0200108089657526	0.031677950453916	0.0116671414881633	0.277154573108884	FALSE	0.599872095502025	0.416962025316456	-0.18291007018557	mC DMR only	Active_Promoter
Rhob	chr12	8497660	8500008	0.105951652386781	0.075091987684914	-0.0308596647018669	0.221780258150702	FALSE	0.138616891064871	0.0469450076343521	-0.0916718834305194	0.000249858852911409	TRUE	0.566781357522678	0.384678494513383	-0.182102863009294	hmC DMR only	Active_Promoter
Gm3415	chr5	146556135	146558914	0.649350649350649	0.9375	0.288149350649351	0.0706601699849137	FALSE	0.142857142857143	0	-0.142857142857143	0.253380859263112	FALSE	0.180327868852459	0	-0.180327868852459	Not DMR	Other
Leng9	chr7	4147914	4150373	0.0589099018536305	0.0980392156862745	0.039129313832644	0.0292629605581402	TRUE	0.0768334823745018	0.062111801242236	-0.0147216811322658	0.352472026167597	FALSE	0.566020088650319	0.387832699619772	-0.178187389030547	mC DMR only	Active_Promoter
AY074887	chr9	54950229	54950997	0.10179539295393	0.193612637362637	0.0918172444087078	0.0579242998142369	FALSE	0.0851964769647696	0.0744505494505494	-0.0107459275142202	0.850679329180693	FALSE	0.455615942028985	0.277735075582885	-0.177880866446101	Not DMR	Other
Gpr22	chr12	31706866	31713946	0.150405360382038	0.319400100412517	0.168994740030479	2.87548515060737e-41	TRUE	0.181945729833784	0.189805195369722	0.00785946553593864	0.632599967956956	FALSE	0.547450377598075	0.372747881732346	-0.17470249586573	mC DMR only	Active_Promoter
Tmem203	chr2	25255438	25256291	0.105060117019225	0.151282051282051	0.0462219342628267	0.0914317576299477	FALSE	0.0655500546518357	0.0402714932126697	-0.025278561439166	0.245530443966643	FALSE	0.384209534576974	0.210236220472441	-0.173973314104533	Not DMR	Active_Promoter
Sfn	chr4	133600555	133602167	0.0829166666666667	0.0891031822565092	0.0061865155898425	0.840377954046999	FALSE	0.0695833333333333	0.0363548698167792	-0.0332284635165542	0.286112186375677	FALSE	0.456284153005464	0.28977709454266	-0.166507058462805	Not DMR	Repressed_Promoter
Gng3	chr19	8836932	8839193	0.013586847691137	0.0178675034728784	0.00428065578174139	0.656527278361851	FALSE	0.0352557170891906	0.0223490914154425	-0.0129066256737481	0.0868629366547157	FALSE	0.721823623467672	0.555718142659879	-0.166105480807793	Not DMR	Active_Promoter
Tmem238	chr7	4784556	4789655	0.490809909158533	0.694011761545121	0.203201852386588	2.5130820258608e-41	TRUE	0.302210175145955	0.191172870831965	-0.11103730431399	2.86762174872958e-16	TRUE	0.381087668682447	0.215969486861275	-0.165118181821173	Both mC+hmC DMR	Other
Tprn	chr2	25262617	25269884	0.109075188933009	0.175345627997143	0.0662704390641343	3.41314330846771e-05	TRUE	0.177385679518381	0.146388123660851	-0.03099755585753	0.0965068236906521	FALSE	0.619231801108925	0.454997720650903	-0.164234080458022	mC DMR only	Active_Promoter
Fjx1	chr2	102449365	102452498	0.071569502020255	0.0573107798165138	-0.0142587222037413	0.404823001218356	FALSE	0.108122999422784	0.0448107798165138	-0.0633122196062705	0.00015764253770882	TRUE	0.601711248685901	0.438798427849523	-0.162912820836378	hmC DMR only	Active_Promoter
Tusc1	chr4	93334137	93335510	0.438555743243243	0.566773504273504	0.128217761030261	0.082002251858937	FALSE	0.414695945945946	0.271901709401709	-0.142794236544237	0.0316977762725299	TRUE	0.486018312298936	0.324203821656051	-0.161814490642885	hmC DMR only	Active_Promoter
H1f0	chr15	79028449	79030503	0.00318471337579618	0.00527893751181211	0.00209422413601593	0.804621590368471	FALSE	0.01055245701462	0.00815250073020291	-0.00239995628441707	0.747890633798635	FALSE	0.768168168168168	0.606971538215542	-0.161196629952626	Not DMR	Active_Promoter
Zic5	chr14	122456794	122465676	0.0561165356830991	0.146538328328666	0.0904217926455666	1.72085633292028e-20	TRUE	0.0475986345955386	0.0622022296050636	0.014603595009525	0.0744870156849662	FALSE	0.458936088786835	0.297988231040426	-0.160947857746409	mC DMR only	Active_Promoter
Bhlha9	chr11	76672469	76673675	0.261904761904762	0.403571428571429	0.141666666666667	0.258800494308767	FALSE	0.523809523809524	0.414285714285714	-0.109523809523809	0.349011652229574	FALSE	0.666666666666667	0.506550218340611	-0.160116448326055	Not DMR	Other
