loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	resolution_kb	n_resolutions_detected	resolutions_list	is_multi_resolution	FDR_5kb	FDR_10kb	FDR_25kb	logFC_5kb	logFC_10kb	logFC_25kb	kept_from_resolution	n_overlaps	span_length	loop_footprint	cluster	cluster_label	loop_class	SE_anchor	shared_anchor	DEG_status	DEG_genes	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor1_CTCF_overlap	anchor1_CTCF_motif_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	anchor2_Bivalent_Promoter_overlap	anchor2_CTCF_overlap	anchor2_CTCF_motif_overlap	anchor1_distance_to_tss	anchor2_distance_to_tss	anchor1_type	anchor2_type	loop_type	anchor1_is_EorP	anchor2_is_EorP	anchor1_nearest_gene	anchor1_nearest_gene_dist	anchor2_nearest_gene	anchor2_nearest_gene_dist
loop_7602	chr8	35720000	35730000	chr8	35850000	35860000	chr8:35720000-35730000_chr8:35850000-35860000	0.379992328410638	5.81622049220476	38.2267316930502	4.86900182291617e-6	2.4272081333973e-4	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	5.2092002208436e-4	2.4272081333973e-4	NA	0.543138710018034	0.379992328410638	NA	10	2	120000	140000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	35789	22956	CTCF_Site	Poised_Enhancer	Poised_Enhancer-CTCF_Site	FALSE	FALSE	Gm19410	35788	Cldn23	23441
loop_7750	chr8	36830000	36840000	chr8	37060000	37070000	chr8:36830000-36840000_chr8:37060000-37070000	0.286698455089451	5.99379146681857	25.8418869320377	5.68149656333121e-5	0.00139461637984069	TRUE	TRUE	weak_differential	up_in_mutant	10	3	5kb,10kb,25kb	TRUE	0.178620965209174	0.00139461637984069	0.00998710216452337	0.155385319782089	0.286698455089451	0.264655094978125	10	3	220000	240000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	113142	35761	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	FALSE	FALSE	Dlc1	0	AI429214	64467
loop_7598	chr8	35860000	35870000	chr8	35920000	35930000	chr8:35860000-35870000_chr8:35920000-35930000	0.202942093144012	6.05126220040655	9.73305651981074	0.00539898357399943	0.0356550324618486	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	0.170731751556047	0.0356550324618486	NA	0.205487524685391	0.202942093144012	NA	10	2	50000	70000	clust4	clust4	unclassified	TRUE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	12956	37042	Poised_Enhancer	Active_Enhancer	Active_Enhancer-Poised_Enhancer	FALSE	TRUE	Cldn23	33441	Cldn23	93441
loop_6570	chr8	36530000	36535000	chr8	37060000	37065000	chr8:36530000-36535000_chr8:37060000-37065000	0.543697014637347	5.80204063534839	30.4473900310512	4.10802928183413e-5	0.00241407132503076	TRUE	TRUE	moderate_differential	up_in_mutant	5	3	5kb,10kb,25kb	TRUE	0.00241407132503076	0.0452848088634177	0.00534105127388905	0.543697014637347	0.296518791623358	0.315208634159174	5	3	525000	535000	clust5	clust5	structural	TRUE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	72451	35761	Poised_Enhancer	CTCF_Site	Poised_Enhancer-CTCF_Site	FALSE	FALSE	Trmt9b	13430	AI429214	64467
loop_8107	chr8	34175000	34200000	chr8	34800000	34825000	chr8:34175000-34200000_chr8:34800000-34825000	0.243443368665722	6.0817627729732	10.3030627829017	0.00736976820356305	0.0358264100135261	TRUE	TRUE	weak_differential	up_in_mutant	25	3	5kb,10kb,25kb	TRUE	0.717089545878582	0.051857016059212	0.0358264100135261	0.0633170535722997	0.197435839493523	0.243443368665722	25	3	600000	650000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	8287	0	Polycomb	Active_Promoter	Active_Promoter-Polycomb	FALSE	TRUE	Saraf	4155	Dusp4	0
loop_7835	chr8	40180000	40190000	chr8	40290000	40300000	chr8:40180000-40190000_chr8:40290000-40300000	0.263903910715292	5.37655169041511	11.1422720030021	0.00327879414221264	0.0253088912096032	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	0.40630605182727	0.0253088912096032	NA	0.14613707645926	0.263903910715292	NA	10	2	100000	120000	clust4	clust4	structural	FALSE	FALSE	TRUE	Fgf20	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	117457	7457	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	Fgf20	89164	Fgf20	0
loop_8197	chr8	34175000	34200000	chr8	34475000	34500000	chr8:34175000-34200000_chr8:34475000-34500000	0.209012343712402	5.85125835966331	9.94209362386934	0.0071958890131073	0.0353350370942135	TRUE	TRUE	weak_differential	up_in_mutant	25	3	5kb,10kb,25kb	TRUE	0.897272388138632	0.720966597722649	0.0353350370942135	-0.037171943437167	0.0479497036213643	0.209012343712402	25	3	275000	325000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	8287	140315	Polycomb	Polycomb	Polycomb-Polycomb	FALSE	FALSE	Saraf	4155	Saraf	304155
loop_7950	chr8	32290000	32300000	chr8	33180000	33190000	chr8:32290000-32300000_chr8:33180000-33190000	0.322839461073419	4.92486687853234	19.50187489013	2.6627564742284e-4	0.00427704077535397	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	0.0407597778498014	0.00427704077535397	NA	0.413122854320952	0.322839461073419	NA	10	2	880000	900000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	584796	195526	Polycomb	CTCF_Site	Polycomb-CTCF_Site	FALSE	FALSE	Nrg1	0	Wrn	44382
loop_21	chr8	31160000	31170000	chr8	31210000	31220000	chr8:31160000-31170000_chr8:31210000-31220000	-0.197685754906673	6.06819087135209	16.7359129138225	5.6914550713013e-4	0.00735211250991392	TRUE	TRUE	weak_differential	down_in_mutant	10	1	10kb	FALSE	NA	0.00735211250991392	NA	NA	-0.197685754906673	NA	10	1	40000	60000	clust3	clust3	unclassified	FALSE	FALSE	TRUE	Fut10	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	0	22668	Active_Promoter	Poised_Enhancer	Active_Promoter-Poised_Enhancer	TRUE	FALSE	Mak16	0	Fut10	0
loop_55	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	-0.428342941993396	3.17557930401806	15.2401701061624	8.8136339097672e-4	0.01019265010965	TRUE	TRUE	weak_differential	down_in_mutant	10	1	10kb	FALSE	NA	0.01019265010965	NA	NA	-0.428342941993396	NA	10	1	1590000	1610000	clust6	clust6_long	structural	FALSE	TRUE	FALSE	NA	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	120907	538111	Polycomb	Polycomb	Polycomb-Polycomb	FALSE	FALSE	Tenm3	0	Tenm3	976049
loop_8369	chr8	41825000	41850000	chr8	45225000	45250000	chr8:41825000-41850000_chr8:45225000-45250000	-0.27287932348209	4.10917430022141	8.73221756879415	0.0106267805505036	0.0465188163259399	TRUE	TRUE	weak_differential	down_in_mutant	25	2	10kb,25kb	TRUE	NA	0.0516900786460151	0.0465188163259399	NA	-0.326962931316806	-0.27287932348209	25	2	3375000	3425000	clust6	clust6_long	structural	FALSE	TRUE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	0	12030	Other	CTCF_Site	CTCF_Site-Other	TRUE	FALSE	Frg1	407926	F11	0
loop_5361	chr8	32275000	32300000	chr8	32875000	32900000	chr8:32275000-32300000_chr8:32875000-32900000	0.352803884638455	4.80090098709301	37.9334220826172	2.70655331803533e-5	8.1669045238586e-4	TRUE	TRUE	weak_differential	up_in_mutant	25	2	10kb,25kb	TRUE	NA	0.00301785727268045	8.1669045238586e-4	NA	0.475184285729337	0.352803884638455	25	2	575000	625000	clust4	clust4	unclassified	FALSE	FALSE	FALSE	NA	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	584796	0	Polycomb	Repressed_Promoter	Repressed_Promoter-Polycomb	FALSE	TRUE	Nrg1	0	Nrg1	0
loop_7811	chr8	31030000	31040000	chr8	31080000	31090000	chr8:31030000-31040000_chr8:31080000-31090000	-0.225502667571271	5.83100254482837	12.2818577999397	0.00223259383393667	0.0196990501558108	TRUE	TRUE	weak_differential	down_in_mutant	10	1	10kb	FALSE	NA	0.0196990501558108	NA	NA	-0.225502667571271	NA	10	1	40000	60000	clust3	clust3	unclassified	FALSE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	49470	0	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer	FALSE	TRUE	Dusp26	49469	Dusp26	0
loop_6575	chr8	34200000	34225000	chr8	34475000	34500000	chr8:34200000-34225000_chr8:34475000-34500000	0.24231855797917	6.08029234087847	15.6771289633207	0.00147724169298731	0.011643267408638	TRUE	TRUE	weak_differential	up_in_mutant	25	2	10kb,25kb	TRUE	NA	0.0960958973314003	0.011643267408638	NA	0.196258151650735	0.24231855797917	25	2	250000	300000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	33287	140315	Polycomb	Polycomb	Polycomb-Polycomb	FALSE	FALSE	Saraf	29155	Saraf	304155
loop_1348	chr8	35500000	35525000	chr8	35800000	35825000	chr8:35500000-35525000_chr8:35800000-35825000	0.266756910320772	5.69084527802118	14.0809047547398	0.00221207607966634	0.015426300127533	TRUE	TRUE	weak_differential	up_in_mutant	25	1	25kb	FALSE	NA	NA	0.015426300127533	NA	NA	0.266756910320772	25	1	275000	325000	clust4	clust4	unclassified	FALSE	FALSE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	3803	1558	Other	Repressed_Promoter	Repressed_Promoter-Other	FALSE	FALSE	Eri1	3804	Cldn23	0
loop_1359	chr8	27650000	27675000	chr8	30925000	30950000	chr8:27650000-27675000_chr8:30925000-30950000	-0.366460790402689	4.10245410546861	20.7836704778961	4.6843543785988e-4	0.00534105425459244	TRUE	TRUE	weak_differential	down_in_mutant	25	1	25kb	FALSE	NA	NA	0.00534105425459244	NA	NA	-0.366460790402689	25	1	3250000	3300000	clust6	clust6_long	unclassified	FALSE	TRUE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	202899	139470	Other	Poised_Enhancer	Poised_Enhancer-Other	FALSE	FALSE	Gm45861	29083	Dusp26	139469
loop_1371	chr8	48225000	48250000	chr8	49800000	49825000	chr8:48225000-48250000_chr8:49800000-49825000	-0.461234827215757	3.61279758359438	50.8578559088871	5.67605450916352e-6	3.1007062707132e-4	TRUE	TRUE	weak_differential	down_in_mutant	25	1	25kb	FALSE	NA	NA	3.1007062707132e-4	NA	NA	-0.461234827215757	25	1	1550000	1600000	clust6	clust6_long	unclassified	FALSE	TRUE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	125907	543111	Polycomb	Poised_Enhancer	Polycomb-Poised_Enhancer	FALSE	FALSE	Tenm3	0	Tenm3	956049
loop_4254	chr8	35525000	35550000	chr8	35800000	35825000	chr8:35525000-35550000_chr8:35800000-35825000	0.278424563986612	5.77568249704631	16.012276054529	0.00136129335467539	0.010966691093471	TRUE	TRUE	weak_differential	up_in_mutant	25	1	25kb	FALSE	NA	NA	0.010966691093471	NA	NA	0.278424563986612	25	1	250000	300000	clust4	clust4	unclassified	FALSE	FALSE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	28803	1558	CTCF_Site	Repressed_Promoter	Repressed_Promoter-CTCF_Site	FALSE	FALSE	Eri1	28804	Cldn23	0
loop_4270	chr8	48200000	48225000	chr8	49800000	49825000	chr8:48200000-48225000_chr8:49800000-49825000	-0.443770946598928	3.58295884380353	36.7168391790991	3.19928851804057e-5	9.1271450616771e-4	TRUE	TRUE	weak_differential	down_in_mutant	25	1	25kb	FALSE	NA	NA	9.1271450616771e-4	NA	NA	-0.443770946598928	25	1	1575000	1625000	clust6	clust6_long	unclassified	FALSE	TRUE	FALSE	NA	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	100907	543111	Polycomb	Poised_Enhancer	Polycomb-Poised_Enhancer	FALSE	FALSE	Tenm3	2680	Tenm3	956049
loop_6569	chr8	35475000	35500000	chr8	35575000	35600000	chr8:35475000-35500000_chr8:35575000-35600000	0.149743334912522	6.84569330340455	10.0653561596707	0.0069247106445363	0.0344059415647826	TRUE	TRUE	weak_differential	up_in_mutant	25	1	25kb	FALSE	NA	NA	0.0344059415647826	NA	NA	0.149743334912522	25	1	75000	125000	clust2	clust2	mixed	FALSE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	0	0	Active_Promoter	Active_Promoter	Active_Promoter-Active_Promoter	TRUE	TRUE	Eri1	0	Mfhas1	0
loop_6629	chr8	37125000	37150000	chr8	38800000	38825000	chr8:37125000-37150000_chr8:38800000-38825000	0.447242876623272	4.06783019831091	19.2335524287791	6.5048432076874e-4	0.00668779192290367	TRUE	TRUE	weak_differential	up_in_mutant	25	1	25kb	FALSE	NA	NA	0.00668779192290367	NA	NA	0.447242876623272	25	1	1650000	1700000	clust5	clust5	structural	FALSE	FALSE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	100761	138491	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	FALSE	FALSE	AI429214	129467	Sgcz	138492
loop_8002	chr8	36350000	36375000	chr8	36500000	36525000	chr8:36350000-36375000_chr8:36500000-36525000	0.218514612085372	6.78920422498056	12.5946321141285	0.00329842550237521	0.0203021374162491	TRUE	TRUE	weak_differential	up_in_mutant	25	1	25kb	FALSE	NA	NA	0.0203021374162491	NA	NA	0.218514612085372	25	1	125000	175000	clust4	clust4	structural	TRUE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	82547	42451	Poised_Enhancer	Active_Enhancer	Active_Enhancer-Poised_Enhancer	FALSE	TRUE	Trmt9b	82546	Trmt9b	0
loop_8032	chr8	36200000	36225000	chr8	36325000	36350000	chr8:36200000-36225000_chr8:36325000-36350000	0.232427843724538	6.83326847166216	13.3735572958141	0.00266724677853026	0.0174887223112856	TRUE	TRUE	weak_differential	up_in_mutant	25	1	25kb	FALSE	NA	NA	0.0174887223112856	NA	NA	0.232427843724538	25	1	100000	150000	clust4	clust4	structural	FALSE	FALSE	TRUE	Lonrf1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	24515	75483	CTCF_Site	Poised_Enhancer	Poised_Enhancer-CTCF_Site	FALSE	FALSE	Lonrf1	0	Lonrf1	75484
loop_8095	chr8	35725000	35750000	chr8	35825000	35850000	chr8:35725000-35750000_chr8:35825000-35850000	0.278387137865589	7.17517987241255	35.1063476839738	4.01815676371132e-5	0.00105894524116516	TRUE	TRUE	weak_differential	up_in_mutant	25	1	25kb	FALSE	NA	NA	0.00105894524116516	NA	NA	0.278387137865589	25	1	75000	125000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	15789	0	CTCF_Site	Repressed_Promoter	Repressed_Promoter-CTCF_Site	FALSE	TRUE	Gm19410	15788	Cldn23	0
loop_8173	chr8	35475000	35500000	chr8	35700000	35725000	chr8:35475000-35500000_chr8:35700000-35725000	0.253840878738187	6.06140021730737	12.9657234665363	0.00309250305700919	0.0194095007251918	TRUE	TRUE	weak_differential	up_in_mutant	25	1	25kb	FALSE	NA	NA	0.0194095007251918	NA	NA	0.253840878738187	25	1	200000	250000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	0	40789	Active_Promoter	Poised_Enhancer	Active_Promoter-Poised_Enhancer	TRUE	FALSE	Eri1	0	Mfhas1	20551
loop_8250	chr8	32275000	32300000	chr8	33175000	33200000	chr8:32275000-32300000_chr8:33175000-33200000	0.303266218623538	5.20099867659932	21.8780738851983	3.7498297335712e-4	0.00460777270514372	TRUE	TRUE	weak_differential	up_in_mutant	25	1	25kb	FALSE	NA	NA	0.00460777270514372	NA	NA	0.303266218623538	25	1	875000	925000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	584796	185526	Polycomb	CTCF_Site	Polycomb-CTCF_Site	FALSE	FALSE	Nrg1	0	Wrn	34382
