stripe_id	chr1	x1	x2	direction	logFC	FDR	body_genes	body_gene_count	se_hub_P60	se_hub_ENCODE	se_hub_any
stripe_44	chr8	67885001	67905000	gained	-0.153	0.01436	Nat1,Nat2,Nat3	3	FALSE	FALSE	FALSE
stripe_45	chr8	86465001	86490000	gained	-0.1226	0.01969	Itfg1,Phkb	2	FALSE	FALSE	FALSE
stripe_46	chr8	88355001	88380000	gained	-0.0992	0.045	Brd7,Nkd1	2	FALSE	FALSE	FALSE
stripe_47	chr8	112560001	112580000	gained	-0.1368	0.02897	Cntnap4	1	FALSE	FALSE	FALSE
stripe_48	chr9	41920001	41955000	gained	0.1046	0.03815	NA	0	FALSE	FALSE	FALSE
stripe_49	chr10	11430001	11470000	lost	0.092	0.03599	Tfcp2l1	1	FALSE	FALSE	FALSE
stripe_50	chr15	12350001	12400000	lost	0.0836	0.03659	Fat2,Slc36a1,Slc36a2	3	FALSE	FALSE	FALSE
stripe_51	chr18	42170001	42240000	lost	0.0894	0.03599	Abhd12b,Nin,Sav1	3	FALSE	FALSE	FALSE
stripe_52	chr2	43230001	43290000	lost	0.1703	0.009525	E2f3	1	FALSE	FALSE	FALSE
stripe_53	chr2	160330001	160390000	lost	0.0918	0.0363	Ak6,Ccdc125,Ccnb1,Cdk7,Cenph,Gtf2h2,Marveld2,Mrps36,Ocln,Rad17,Taf9	11	FALSE	FALSE	FALSE
stripe_54	chr4	56330001	56370000	lost	0.1152	0.0232	Pdlim2,Ppp3cc,Slc39a14,Sorbs3	4	FALSE	FALSE	FALSE
stripe_55	chr4	56660001	56720000	lost	0.1017	0.0232	Gfra2	1	FALSE	FALSE	FALSE
stripe_56	chr4	147020001	147060000	lost	0.2693	0.02965	Abra,Angpt1	2	FALSE	FALSE	FALSE
stripe_57	chr6	43360001	43410000	lost	-0.0876	0.0348	NA	0	FALSE	FALSE	FALSE
stripe_58	chr6	111040001	111110000	lost	-0.0833	0.03659	Arhgap31,Poglut1,Tmem39a	3	FALSE	FALSE	FALSE
stripe_59	chr8	20490001	20530000	gained	-0.2374	0.03987	Enpp4,Enpp5,Rcan2	3	FALSE	FALSE	FALSE
stripe_60	chr8	23080001	23150000	gained	-0.1209	0.0232	Enpp4,Enpp5,Rcan2	3	TRUE	FALSE	TRUE
stripe_61	chr8	125900001	125950000	gained	-0.1024	0.0232	Epas1	1	FALSE	FALSE	FALSE
