gene	chr	start	end	mod_difference	dmr_qvalue	direction	n_k119ub_ctrl	n_k119ub_mut	net_k119ub
Rps6ka5	chr12	100548438	100726982	0.115988850712457	4.8151057076211e-306	Hypermethylated	0	1	1
Itpk1	chr12	102568581	102704929	0.0999405716026295	4.8151057076211e-306	Hypermethylated	0	1	1
Rnf182	chr13	43615709	43670944	0.129429705158798	4.8151057076211e-306	Hypermethylated	2	3	1
Pde4d	chr13	108449947	109953460	0.048182479608966	4.8151057076211e-306	Hypermethylated	4	4	0
E2f3	chr13	29906574	29986062	0.101446419095902	4.8151057076211e-306	Hypermethylated	3	6	3
Rab3c	chr13	110054186	110280995	0.0666355712797881	4.8151057076211e-306	Hypermethylated	3	7	4
Pcdh9	chr14	93013409	93890678	0.0396612621891825	4.8151057076211e-306	Hypermethylated	4	17	13
Rims2	chr15	39198260	39684371	0.0766967482766715	4.8151057076211e-306	Hypermethylated	0	0	0
Zhx2	chr15	57694664	57839831	0.0918430822611607	4.8151057076211e-306	Hypermethylated	3	9	6
Ncald	chr15	37366174	37792569	0.0872131211876761	4.8151057076211e-306	Hypermethylated	2	8	6
Ext1	chr15	53064037	53346158	0.0600504566250591	4.8151057076211e-306	Hypermethylated	10	7	-3
Samd12	chr15	53453809	53902536	0.0565029813770113	4.8151057076211e-306	Hypermethylated	1	3	2
Lpp	chr16	24393506	24992577	0.0851325175537252	4.8151057076211e-306	Hypermethylated	2	8	6
Dlg1	chr16	31663442	31875128	0.0868102743975991	4.8151057076211e-306	Hypermethylated	0	3	3
Heg1	chr16	33684369	33771575	0.0975534305048875	4.8151057076211e-306	Hypermethylated	3	6	3
Itgb5	chr16	33829664	33949337	0.112936191470343	4.8151057076211e-306	Hypermethylated	2	1	-1
Lsamp	chr16	39984360	42181678	0.0376385835396502	4.8151057076211e-306	Hypermethylated	10	19	9
Zbtb20	chr16	42875880	43642601	0.0775188432904133	4.8151057076211e-306	Hypermethylated	1	0	-1
Boc	chr16	44485048	44558896	0.128611993779712	4.8151057076211e-306	Hypermethylated	1	5	4
Epha3	chr16	63543533	63864174	0.096312037987927	4.8151057076211e-306	Hypermethylated	7	10	3
Cadm2	chr16	66655420	67620907	0.0543882332185507	4.8151057076211e-306	Hypermethylated	1	8	7
Nrip1	chr16	76287399	76373826	0.0849127701897209	4.8151057076211e-306	Hypermethylated	3	7	4
Ptchd4	chr17	42315946	42505076	0.0844753183471563	4.8151057076211e-306	Hypermethylated	0	3	3
Dlgap1	chr17	69969072	70821412	0.0574751699920202	4.8151057076211e-306	Hypermethylated	2	4	2
Arhgap26	chr18	38676717	39110533	0.0846430903164772	4.8151057076211e-306	Hypermethylated	1	4	3
Arhgap26	chr18	38993144	39376283	0.134298736188952	4.8151057076211e-306	Hypermethylated	1	4	3
Ldlrad4	chr18	67933256	68268629	0.0659254524540464	4.8151057076211e-306	Hypermethylated	1	3	2
Tcf4	chr18	69343355	69689078	0.0512997118435153	4.8151057076211e-306	Hypermethylated	1	5	4
Rit2	chr18	30973488	31317289	0.0740865703389755	4.8151057076211e-306	Hypermethylated	3	4	1
Nr3c1	chr18	39410544	39519420	0.118582066046669	4.8151057076211e-306	Hypermethylated	7	15	8
Zfp608	chr18	54888047	54992554	0.12394714759679	4.8151057076211e-306	Hypermethylated	30	37	7
Prune2	chr19	16956117	17223931	0.0564926390078421	4.8151057076211e-306	Hypermethylated	1	2	1
Trpm3	chr19	22139045	22995409	0.0898599315712247	4.8151057076211e-306	Hypermethylated	2	4	2
Add3	chr19	53140442	53247398	0.0967114447336624	4.8151057076211e-306	Hypermethylated	1	1	0
Afap1l2	chr19	56912360	57008227	0.114974707384786	4.8151057076211e-306	Hypermethylated	3	4	1
Sptb	chr12	76580487	76710546	0.0805401967548386	2.07266414023487e-305	Hypermethylated	4	4	0
Slco3a1	chr7	74275418	74554779	0.0639974629093868	4.86575268648844e-305	Hypermethylated	8	8	0
Plcl2	chr17	50509402	50688483	0.0725272526885019	1.82372277225775e-301	Hypermethylated	4	7	3
Cntn6	chr6	104492789	104863405	0.0601156302345282	2.57862683263825e-301	Hypermethylated	2	10	8
Arid1b	chr17	4994331	5347655	0.0479513538422094	5.44591165603656e-299	Hypermethylated	3	3	0
Fntb	chr12	76765588	76921411	0.0743515048138349	3.30029436288408e-298	Hypermethylated	0	0	0
Kcnd2	chr6	21215502	21729804	0.052333176103553	5.01343823392317e-298	Hypermethylated	0	2	2
Tiam1	chr16	89787110	90143768	0.0414067029090463	1.47555240919689e-296	Hypermethylated	8	5	-3
Tmem117	chr15	94629231	95096097	0.0369307751738306	5.98987312975166e-296	Hypermethylated	2	4	2
Reep3	chr10	67009188	67096944	0.0911945118268505	2.92702741165597e-295	Hypermethylated	0	1	1
Lrrc4	chr6	28661830	28831746	0.0784850533011396	4.93442390719708e-294	Hypermethylated	12	16	4
Lgi1	chr19	38264535	38312213	0.137128718547332	1.14222787614937e-291	Hypermethylated	0	1	1
Dlg2	chr7	90476671	92449246	0.0248353485735461	4.048339864071e-288	Hypermethylated	3	3	0
Cntnap2	chr6	45059356	47304212	0.0236244532788065	5.7755070379165e-282	Hypermethylated	3	4	1
Lpcat3	chr6	124663026	124704417	0.128894897260965	6.67144860010261e-282	Hypermethylated	0	0	0
Bach2	chr4	32238803	32586107	0.042403267348189	4.08082378648805e-278	Hypermethylated	6	8	2
Clybl	chr14	122181703	122402233	0.0571124314190594	1.50642584650252e-277	Hypermethylated	0	0	0
Nsmaf	chr4	6396206	6454270	0.119246216818413	5.43704597256205e-277	Hypermethylated	0	1	1
Fgf1	chr18	38838672	38929471	0.094244219786531	6.4187072322112e-276	Hypermethylated	9	14	5
Nedd4l	chr18	64887704	65217827	0.0456919314464484	1.85258713653939e-275	Hypermethylated	1	1	0
Cadm1	chr9	47530172	47858114	0.0430699951977018	4.92280262781946e-275	Hypermethylated	15	12	-3
Dock9	chr14	121542045	121797836	0.0525613787866661	1.50288070575937e-271	Hypermethylated	1	2	1
Stxbp5l	chr16	37114941	37384961	0.0777801233022845	5.70936131045905e-270	Hypermethylated	1	4	3
Pip5k1b	chr19	24294793	24555871	0.0512169979552207	5.86296868591491e-268	Hypermethylated	1	1	0
Pan3	chr5	147430160	147548501	0.0878948852670351	1.85494381920905e-265	Hypermethylated	0	0	0
Map4k3	chr17	80580511	80728484	0.0700060731614279	1.03041242317267e-264	Hypermethylated	2	4	2
Exph5	chr9	53301669	53377513	0.11082889304928	2.01873770872345e-264	Hypermethylated	0	1	1
Ror1	chr4	100095790	100444764	0.0494948527887763	3.35831461927338e-264	Hypermethylated	5	8	3
Galnt17	chr5	130872081	131308496	0.0445118121734769	5.34445152941396e-264	Hypermethylated	1	1	0
Tspan5	chr3	138742194	138907904	0.058935799846126	1.52013183340166e-260	Hypermethylated	3	6	3
Rtn1	chr12	72211751	72409053	0.0585121347368054	7.0913643594208e-257	Hypermethylated	1	4	3
Brinp1	chr4	68761513	68954396	0.0827878571632678	1.79176309716745e-254	Hypermethylated	2	3	1
Snx30	chr4	59805839	59904736	0.0930945433570074	3.55247795269558e-254	Hypermethylated	0	1	1
Fam53b	chr7	132712081	132813885	0.0936341435873756	7.21976187701052e-254	Hypermethylated	2	4	2
Hpcal1	chr12	17690855	17791932	0.100890632234149	7.2676062502473e-251	Hypermethylated	9	7	-2
Trp53bp2	chr1	182409171	182462431	0.112060092025534	8.16757346440538e-250	Hypermethylated	0	0	0
Rtn4rl1	chr11	75193782	75267768	0.107151308886847	1.46356723097773e-249	Hypermethylated	1	1	0
Rapgef4	chr2	71981239	72257473	0.0498722894443124	2.37956126608276e-249	Hypermethylated	1	2	1
Sbf2	chr7	110308012	110614921	0.0511918740924614	1.79087632935099e-245	Hypermethylated	0	0	0
Pkib	chr10	57631980	57741111	0.111491249913283	3.17959603449046e-244	Hypermethylated	1	2	1
Tpk1	chr6	43345000	43666277	0.0514645629158759	8.00761112887819e-243	Hypermethylated	1	1	0
Oxr1	chr15	41447481	41861047	0.045948800393353	3.45420316942982e-242	Hypermethylated	1	6	5
Sgk1	chr10	21882183	21999902	0.076575825600841	1.40382896140284e-241	Hypermethylated	2	2	0
Spock1	chr13	57421194	57908331	0.0354421855766658	2.89254062527866e-241	Hypermethylated	9	11	2
Pkp4	chr2	59160849	59355207	0.0572910250701929	9.74147216522723e-241	Hypermethylated	1	3	2
Lyn	chr4	3678114	3813121	0.085540435146561	9.80597154557877e-241	Hypermethylated	1	1	0
Mctp1	chr13	76384534	77031809	0.0418079531402357	3.33246715200733e-240	Hypermethylated	0	2	2
Daam2	chr17	49456021	49564342	0.0868960652106038	6.55497365659257e-240	Hypermethylated	1	3	2
Gclm	chr3	122245556	122270731	0.163626383332672	4.84320234309636e-239	Hypermethylated	3	6	3
Traf3	chr12	111166369	111267152	0.0727088495786465	2.27517473018172e-236	Hypermethylated	3	3	0
Gnai1	chr5	18265134	18360354	0.0949129776916535	4.40165655542126e-236	Hypermethylated	1	3	2
Slc20a2	chr8	22476787	22569611	0.0762080144138633	3.27027667663427e-233	Hypermethylated	0	0	0
Cnksr3	chr10	7119062	7212236	0.0796504966297589	5.1344599680914e-229	Hypermethylated	1	4	3
Ctbp2	chr7	132987562	133124353	0.0679458834458385	9.97528635261765e-229	Hypermethylated	1	0	-1
Sybu	chr15	44671855	44788062	0.0961783809519351	1.527938424369e-227	Hypermethylated	0	0	0
Ptprj	chr2	90429753	90580646	0.0711099477081534	3.91820652737436e-226	Hypermethylated	0	1	1
Magi1	chr6	93675454	94283916	0.0290424295289147	5.46764612481122e-226	Hypermethylated	0	0	0
Flrt3	chr2	140650913	140671468	0.162552480848417	9.34096761268499e-226	Hypermethylated	11	15	4
Cpeb2	chr5	43233169	43289723	0.120545259485309	1.4806510639137e-225	Hypermethylated	3	4	1
Lrrn1	chr6	107529767	107570213	0.137802817859855	1.54731883525436e-225	Hypermethylated	4	7	3
Cdh18	chr15	22549021	23474417	0.0324361745465505	1.69241508312656e-225	Hypermethylated	1	4	3
Foxn2	chr17	88440710	88490532	0.122230804570348	7.4003477609109e-225	Hypermethylated	0	2	2
Cnr1	chr4	33924592	33948830	0.156555408467778	1.34381062831049e-222	Hypermethylated	1	17	16
Acvr1	chr2	58388643	58567156	0.057090995184904	6.63920525551663e-222	Hypermethylated	2	3	1
Nrxn3	chr12	88722875	90334934	0.0243462626575539	1.14819764796892e-221	Hypermethylated	0	4	4
Rap1gds1	chr3	138925901	139075200	0.0589552228108525	9.91839149891203e-221	Hypermethylated	0	1	1
Cdh7	chr1	109982430	110140156	0.0834532311516325	1.46833673289844e-220	Hypermethylated	0	4	4
Lnx2	chr5	147016654	147076585	0.0847680675843265	7.44677024885502e-220	Hypermethylated	1	1	0
Sema5a	chr15	32244809	32696340	0.0371289460593687	7.16004248841744e-219	Hypermethylated	10	8	-2
Camk2d	chr3	126596301	126846325	0.0533670918073375	2.46114544210629e-218	Hypermethylated	3	6	3
Csmd1	chr8	15892536	17535585	-0.0217603486714035	4.4179130738868e-218	Hypomethylated	12	13	1
Tlcd4	chr3	121201760	121283097	0.0837329867204418	6.65559826654062e-218	Hypermethylated	2	3	1
Fat1	chr8	44935446	45052256	0.0530505146378002	9.92068614437792e-218	Hypermethylated	4	5	1
Zfp521	chr18	13687012	13972786	0.0467212991406587	1.04065106737176e-215	Hypermethylated	8	13	5
Pxylp1	chr9	96823335	96892668	0.0904204783801713	9.80936057395599e-215	Hypermethylated	2	2	0
Gas7	chr11	67455090	67688989	0.0552440394809235	1.44974524438241e-212	Hypermethylated	1	2	1
Dscaml1	chr9	45426627	45753711	0.0453938487204033	2.05588090806165e-212	Hypermethylated	0	0	0
Chn2	chr6	54039553	54301809	0.0485735124922975	7.10535394362367e-212	Hypermethylated	1	0	-1
Rgs3	chr4	62559846	62704000	0.0689169918046917	8.60842633688273e-212	Hypermethylated	16	17	1
Cblb	chr16	52031224	52208047	0.0538419879138967	2.26674090087969e-211	Hypermethylated	6	5	-1
Elmo1	chr13	20090595	20608352	0.0332020141233038	3.72251658709356e-211	Hypermethylated	2	3	1
Gpr68	chr12	100876681	100908197	0.162567747047773	8.49727468717381e-209	Hypermethylated	10	10	0
Cyth1	chr11	118132018	118248591	0.0782518744745134	5.11927590168854e-208	Hypermethylated	0	2	2
Ube4b	chr4	149328415	149426748	0.068978646972802	5.61429476788675e-205	Hypermethylated	0	0	0
Spon1	chr7	113765997	114043369	0.0527938447680154	8.55175852298084e-203	Hypermethylated	1	2	1
Arhgap17	chr7	123279217	123369914	0.081881543063992	1.69778695389895e-200	Hypermethylated	0	0	0
Nav2	chr7	48908715	49610089	0.0304580893441119	1.74896345162595e-200	Hypermethylated	4	4	0
Nxn	chr11	76257197	76399139	0.0633525845195682	2.36861406771265e-200	Hypermethylated	1	0	-1
Slc7a8	chr14	54722208	54781945	0.0953588796585512	7.24741185248213e-200	Hypermethylated	0	0	0
Slc12a2	chr18	57878677	57946820	0.0923869029260765	2.20675294756373e-199	Hypermethylated	3	2	-1
Zbtb38	chr9	96682769	96752830	0.0727373621213231	1.22958290020894e-198	Hypermethylated	0	0	0
Micu1	chr10	59702476	59864131	0.0504965304273366	1.28024386159474e-197	Hypermethylated	0	0	0
Lhfp	chr3	53041527	53261678	0.0528663109344147	1.28182096194384e-197	Hypermethylated	0	0	0
Scd1	chr19	44394454	44407878	0.179788554883271	1.43144547067153e-197	Hypermethylated	2	3	1
Fut8	chr12	77238124	77476337	0.0738969667880364	3.58316811648974e-197	Hypermethylated	6	13	7
Elp4	chr2	105701026	105904563	0.0598435402472728	5.32591505125189e-197	Hypermethylated	0	1	1
Fnbp1	chr2	31026205	31142007	0.0679877834804057	4.78988068723155e-196	Hypermethylated	0	0	0
Grk3	chr5	112910481	113015790	0.0714971988682866	1.29352728757148e-195	Hypermethylated	0	0	0
Map3k5	chr10	19934471	20142752	0.0470181516679727	1.38351417974235e-194	Hypermethylated	2	3	1
Kirrel3	chr9	34485893	35036715	0.0368252889345161	5.02658946645972e-194	Hypermethylated	8	5	-3
Ptprr	chr10	116018212	116274931	0.0455811977908032	1.12190681955963e-193	Hypermethylated	1	3	2
Hivep3	chr4	119733783	120138044	0.0445063948300863	3.25279531934756e-193	Hypermethylated	4	5	1
Btbd3	chr2	138256564	138589291	0.0455541295731243	4.36077847109458e-191	Hypermethylated	8	21	13
Cdk19	chr10	40339563	40483817	0.0642611550620433	1.56005290652576e-190	Hypermethylated	0	1	1
Zfp395	chr14	65358388	65398929	0.114584486314202	6.50376217996083e-189	Hypermethylated	2	4	2
Ano3	chr2	110655200	110950922	0.0523855149271684	8.00495713878139e-188	Hypermethylated	1	2	1
Chka	chr19	3851772	3894368	0.12670803290434	5.6515204461562e-187	Hypermethylated	0	0	0
Pcsk2	chr2	143546155	143816284	0.0510667620946965	4.77071554025355e-186	Hypermethylated	1	0	-1
Gna13	chr11	109362830	109401368	0.103687093514718	6.88706198653267e-186	Hypermethylated	0	0	0
Ppp3ca	chr3	136670123	136937726	0.0438804305306756	1.37830687141654e-185	Hypermethylated	1	3	2
Spop	chr11	95414079	95493405	0.0924127343326102	6.90790829035412e-185	Hypermethylated	0	0	0
Dpf3	chr12	83213744	83487715	0.0475883031667874	1.15016741360838e-184	Hypermethylated	5	5	0
Chl1	chr6	103510585	103750210	0.0576023955145132	4.11176554127592e-183	Hypermethylated	3	4	1
Msra	chr14	64122624	64455902	0.0475718711906392	2.56130175405092e-182	Hypermethylated	0	2	2
Ccdc85c	chr12	108203601	108275424	0.0977771747525589	2.83832594372145e-182	Hypermethylated	6	6	0
Fgf12	chr16	28160097	28753067	0.0334207006557549	1.7746328453078e-179	Hypermethylated	1	2	1
Ablim1	chr19	57032732	57314918	0.0404946176428516	1.0337569661875e-178	Hypermethylated	0	0	0
Syt9	chr7	107370727	107548655	0.0630426227206178	1.50626946717083e-178	Hypermethylated	1	1	0
Ctnna3	chr10	63430097	65003666	0.0182608098995174	2.78513195866534e-177	Hypermethylated	1	1	0
Zbtb40	chr4	136979731	137048800	0.079055236167014	4.05652784151267e-177	Hypermethylated	1	2	1
Jarid2	chr13	44729473	44921642	0.0551961197013426	9.51536753453031e-177	Hypermethylated	2	1	-1
Plekha5	chr6	140424053	140597109	0.0531323902136889	1.05753934433153e-175	Hypermethylated	0	1	1
Tmem65	chr15	58782268	58823637	0.111322026879293	5.1674266009813e-173	Hypermethylated	4	4	0
Maml2	chr9	13297956	13709387	0.0439422835621666	2.72619063435015e-172	Hypermethylated	1	1	0
Angpt1	chr15	42424722	42676976	0.05093380525349	7.56236485526864e-172	Hypermethylated	4	6	2
D430041D05Rik	chr2	104143072	104411012	-0.0453390076100499	1.96947993081059e-171	Hypomethylated	2	1	-1
Plcxd3	chr15	4375490	4575552	0.0676974143908038	3.02572892271562e-171	Hypermethylated	1	3	2
Cbfa2t2	chr2	154436480	154539355	0.0812301682298538	1.15193938698061e-169	Hypermethylated	0	0	0
Arhgef3	chr14	27114898	27403910	0.0406016013928899	6.05265662925306e-169	Hypermethylated	4	7	3
Foxo1	chr3	52268335	52353220	0.0654772853819996	1.50531477661938e-168	Hypermethylated	6	4	-2
Acot7	chr4	152178133	152271854	0.0833695807748285	1.48913259637703e-167	Hypermethylated	2	2	0
Arid5b	chr10	68092519	68278739	0.0416930480786474	2.51843211263898e-167	Hypermethylated	2	3	1
Galnt13	chr2	54436316	55118308	0.0375516602480622	5.22443158859817e-166	Hypermethylated	0	1	1
Wdfy2	chr14	62837677	62961508	0.0647975460102186	7.99898619145862e-166	Hypermethylated	0	1	1
Dock4	chr12	40445951	40846873	0.0369446543947014	9.46931686632753e-166	Hypermethylated	4	5	1
Fut9	chr4	25609331	25800243	0.0621375397246068	9.5137986990864e-166	Hypermethylated	1	3	2
Gm37240	chr3	84496425	85887517	0.0180650159470852	1.97112456194801e-165	Hypermethylated	0	0	0
Jazf1	chr6	52768796	53068630	0.0386375790769283	2.22853319102109e-165	Hypermethylated	5	4	-1
Sv2b	chr7	75114893	75309261	0.0612780901207338	2.89819253416443e-164	Hypermethylated	0	2	2
Tbc1d9	chr8	83165351	83272933	0.0656997031574571	5.24265563221982e-164	Hypermethylated	3	4	1
Paqr8	chr1	20890605	20939649	0.0948681385636401	1.56133793791674e-163	Hypermethylated	0	1	1
App	chr16	84949684	85173765	0.0415574842456963	1.51672779268751e-162	Hypermethylated	2	5	3
Snx18	chr13	113592178	113618563	0.105603748192753	9.66409894139552e-162	Hypermethylated	2	3	1
Robo1	chr16	72308305	73046094	0.0211684106290329	7.78042831737625e-161	Hypermethylated	5	9	4
Gprin3	chr6	59347225	59426293	0.103938977086807	1.17913911138192e-160	Hypermethylated	3	5	2
Denn2b	chr7	109523910	109703604	0.0577424838811242	1.19451555105008e-160	Hypermethylated	0	0	0
Tbc1d8	chr1	39371491	39478754	0.063403667749132	1.86288729005844e-160	Hypermethylated	3	5	2
Kif26b	chr1	178529124	178939199	0.0357100604009699	2.29351819913131e-160	Hypermethylated	3	7	4
Slc8a3	chr12	81197914	81333179	-0.067079534946805	4.0515438436252e-160	Hypomethylated	2	2	0
Ccnjl	chr11	43528783	43586996	0.0935663629349349	1.36413945339001e-159	Hypermethylated	0	0	0
Cdyl	chr13	35659832	35874062	0.0428382645639506	1.76492158071417e-159	Hypermethylated	7	7	0
Ptprg	chr14	11553531	12242040	0.0248201802722176	5.07938870271473e-159	Hypermethylated	6	10	4
Ssx2ip	chr3	146404641	146440143	0.090895047889781	8.61974314743801e-159	Hypermethylated	0	2	2
Lancl3	chrX	9199901	9268084	0.111870341251507	1.22309268313593e-157	Hypermethylated	0	0	0
Asph	chr4	9448068	9669343	0.0482550466919406	4.73921000119014e-157	Hypermethylated	2	6	4
Cd47	chr16	49800532	49915009	0.0658957006494046	7.85885932694508e-157	Hypermethylated	7	12	5
Epb41l3	chr17	69075682	69289988	0.0405092768047354	4.84045389278004e-156	Hypermethylated	1	2	1
Rnf152	chr1	105276913	105356709	0.0910925413094158	7.16443973889771e-156	Hypermethylated	0	4	4
Mtus2	chr5	147957319	148316064	0.0332099430346776	8.36668382095044e-155	Hypermethylated	0	0	0
Snca	chr6	60731574	60829854	0.0845562122509037	9.08287611923223e-154	Hypermethylated	5	4	-1
Peli2	chr14	48120822	48281574	0.0481217192535658	2.04080400533285e-153	Hypermethylated	5	5	0
Prdm10	chr9	31280537	31381722	0.0653366731902114	4.30785846737192e-151	Hypermethylated	0	0	0
Cadps2	chr6	23262772	23839420	0.0316443636707565	7.18811548705885e-151	Hypermethylated	2	3	1
Rab4a	chr8	123805984	123835286	0.112028192558062	8.5460665359573e-151	Hypermethylated	0	1	1
Gap43	chr16	42248441	42340650	0.0800887201154188	1.077410854135e-150	Hypermethylated	1	7	6
Shld1	chr2	132686930	132751054	0.0895581815569854	2.14712020905272e-150	Hypermethylated	0	0	0
Tjp1	chr7	65296164	65527780	-0.0377453231011766	8.42603361551917e-150	Hypomethylated	1	0	-1
Sgms1	chr19	32122726	32389713	0.0388184917796379	1.32614329091081e-148	Hypermethylated	0	0	0
Cnnm1	chr19	43440435	43497209	0.0893341782706405	3.3744590366695e-148	Hypermethylated	3	4	1
B4galt6	chr18	20684598	20746403	0.0793670812739087	3.27530588466955e-147	Hypermethylated	2	3	1
Mapk10	chr5	102907947	103211333	0.0370645118452722	5.00624632943833e-147	Hypermethylated	1	1	0
