dmr_gene	dmr_diff	mean_asm_diff	n_asm_sites
Agtpbp1	0.0245366861714069	0.615384615384615	1
Akap13	-0.00879509872054318	0.785714285714286	1
Akap7	0.0227539242929204	0.644736842105263	1
Akap9	0.0263616419368066	0.745977011494253	2
Alg14	0.0243821167988568	0.409056603773585	1
Alg8	0.0226335201593282	0.47221502417636	31
Alg9	0.0195574328548833	0.769230769230769	1
Alox5ap	-0.0204181899126178	0.491232521145942	25
Alpk2	-0.00834452709037137	0.494884910485933	1
Ambra1	0.0285063982979543	0.487012987012987	1
Angpt1	0.05093380525349	0.833333333333333	1
Ank	0.0496031835623806	0.341153470185728	1
Ank1	0.00623890518053505	0.51023096461693	3
Ankfn1	-0.00666935451767525	0.339031339031339	1
Ankle2	0.030724134005768	0.923076923076923	1
Ankmy2	0.0147390440815138	0.527310400736447	14
Ankrd12	0.0275534056756043	0.533333333333333	1
Ankrd17	0.0263909765925782	0.8	1
Ankrd29	-0.0134478655300868	0.575250836120401	1
Ankrd34c	-0.027231606089185	0.741758241758242	2
Ankrd44	0.00538909014230593	0.639144736842105	2
Anks1b	0.0179392172495002	0.650793650793651	1
Ano10	0.00780989914010033	0.6	1
Ano6	-0.00692486723477981	0.387065637065637	1
Antxr2	-0.00838580081293216	0.716753246753247	5
Aoah	0.00798200205386046	0.6	1
Aox1	0.014608497394193	0.419191919191919	1
Ap2a1	0.0356268047018977	0.544444444444444	1
Apc	0.0079173461733909	0.472222222222222	1
Apela	-0.0249252020150039	0.505175188480162	5
Aplp2	0.0395738779541229	0.433333333333333	1
Appbp2	0.0279155327182833	0.607655502392344	1
Aqr	0.0112295738759882	0.49718574108818	1
Arap1	-0.00839765645713797	0.51158936145304	48
Arhgap15	-0.00867452462788043	0.47253144654088	2
Arhgap24	-0.00655687958904194	0.607160807184786	57
Arhgap42	-0.00773389535641056	0.857142857142857	1
Arhgap6	-0.00817330875737055	0.789473684210526	1
Arhgef17	-0.0131024650123904	0.43071116954698	25
Arhgef33	-0.00469875904441608	0.450268817204301	1
Arhgef5	-0.0158555845150683	0.474242424242424	1
Arid1a	0.0309052814323623	0.530161106918217	7
Arid4b	0.0264888574165985	0.88562091503268	1
Arih2	0.0329328724254719	0.41304347826087	1
Arl15	0.0165833597070104	0.952380952380952	1
Armc2	0.0270370694536193	0.554292929292929	2
Arnt	0.038138823933502	0.730769230769231	1
Arnt2	-0.00780263880090859	0.588073646628594	81
Arntl	0.0366240004441621	0.513015288248731	84
Arpc1a	0.0276794284612483	0.564411915447569	5
Arpc3	0.0161621083628742	0.420016406890894	1
Arrb1	0.0357307405922518	0.532925730473802	49
Asap1	-0.0167834446712587	0.365196078431372	1
Asap2	0.0368618377951134	0.584558823529412	1
Asb15	0.0238343300418379	0.675	1
Asb3	0.029481330576846	0.52	1
Ash1l	0.0297548700899783	0.5625	1
Asic1	0.0507847768403477	0.328947368421053	1
Astn1	0.0210126383400169	0.665441176470588	1
Asxl3	-0.00842614692009036	0.72	1
Atg16l2	0.0376945390987684	0.587460373885764	20
Atg4c	0.0115937713438359	0.586750830807505	29
Atl3	0.0149779215985054	0.636363636363636	1
Atmin	0.0361372732124791	0.8	1
Atp10a	-0.00545678018772078	0.879186602870813	1
Atp1b3	0.0357503647824079	0.341880341880342	1
Atp2a2	0.0469930472226366	0.518518518518518	1
Atp2c1	0.0143687879383985	0.490022172949002	1
Atp5j2	0.0424163619417787	0.333239295272078	2
Atp6v0a4	-0.00568174998248006	0.331395348837209	1
Atp6v1b2	0.0202792140679718	0.4407185966798	13
Atp6v1e2	-0.0277563772250324	0.416878402903811	1
Atp8a1	0.0216126629133943	0.509251165501166	2
Atr	0.0135790020990595	0.977272727272727	2
Atrn	0.00943884241654058	0.440764260249554	2
Atrnl1	-0.00910716424322555	0.309113300492611	1
Atrx	0.0153652422737064	0.559027777777778	2
Atxn1	-0.0109083422720817	0.440825883354619	3
Atxn10	0.0247678992721903	0.477768090671316	1
Aunip	0.0367180062098498	0.486110654766399	14
B230118H07Rik	0.0500125031529053	0.631578947368421	1
B230307C23Rik	0.00989500615111438	0.88	1
B3galt1	-0.0259806598352583	0.726438680259819	3
B3galt5	-0.00635743517579668	0.522262622886342	9
BC067074	-0.00563185632684138	0.381578947368421	1
Bace2	-0.0110118078627656	0.469988069393104	3
Baiap2l1	-0.006122414632312	0.497254281815278	9
Bard1	-0.011811520862876	0.5625	2
Baz1a	-0.00537610033685998	0.398529411764706	2
Baz2b	0.014365960564703	0.7	1
Bbs7	0.0126593835031068	0.714646464646465	1
Bbx	0.0157690243401289	0.595238095238095	1
Bckdhb	0.0120618097688584	0.543004528436032	161
Bcl2	0.011567575927774	0.485057471264368	1
Bdp1	0.0235083039939292	0.5625	1
Bend4	-0.0062443763681872	0.393665158371041	1
Bmp2k	-0.0119724539114611	0.508359326962492	4
Bnc2	-0.00994204958238165	0.485714285714286	1
Brca2	0.0069467167039553	0.374865735767991	1
Bri3	-0.00463559228999422	0.568314739164774	40
Bri3bp	0.0313886466966905	0.465454545454545	1
Brinp1	0.0827878571632678	0.577777777777778	1
Brinp3	0.0360866763384039	0.789473684210526	1
Brip1	-0.00449087484958377	0.648148148148148	1
Bst2	-0.0436348830177061	0.318181818181818	1
Btbd10	0.0572634422392504	0.658123854790521	18
Btbd8	0.0446865277760841	0.786231884057971	1
Btc	-0.0126134782829388	0.541666666666667	1
Btrc	0.0320749797848012	0.715233785822021	2
Bysl	0.0152739338841439	0.527777777777778	1
Bzw2	0.0283698227534414	0.484076470262536	35
C130026I21Rik	-0.00471085766654877	0.47630103544141	15
C2cd2	0.0305734391871433	0.636363636363636	1
C2cd3	0.0235808272604088	0.532196894654875	116
C530008M17Rik	-0.0214807430487723	0.458756143967021	3
C77080	0.0755854669943801	0.626755651755652	2
Caap1	0.0176373947054407	0.672463768115942	1
Cables1	-0.00920728220921041	0.659090909090909	1
Cachd1	-0.016884947104931	0.723529411764706	1
Cacna1b	-0.020218117384863	0.764705882352941	1
Cacna1d	0.00687921525481405	0.543956043956044	1
Cacna1e	-0.0142530392624133	0.544642857142857	2
Cacna2d1	0.0279304168716006	0.717948717948718	1
Cacnb2	0.00872899076828193	0.635984848484848	2
Caln1	0.1067487923351	0.558217020876794	50
Camk1d	0.0133777566128154	0.383332521006665	4
Camk4	-0.0047688677537171	0.418452380952381	2
Camkmt	-0.00581951421956728	0.538461538461538	1
Camta1	-0.00326400394819759	0.44813829787234	1
Canx	0.0320107416634337	0.529411764705882	1
Cap2	0.0135426919264944	0.621212121212121	2
Capsl	-0.0149512297008538	0.6875	1
Casc3	0.0505022547853532	0.404761904761905	1
Casq2	-0.00789082165828181	0.772727272727273	1
Cast	-0.00645606296402135	0.666666666666667	1
Cblb	0.0538419879138967	0.696078431372549	1
Cbr3	-0.0317147906046659	0.739061302681992	3
Cc2d2b	-0.0125001802719198	0.730994152046784	1
Ccdc141	-0.00600960708301546	0.670634920634921	1
Ccdc146	-0.00901437969271102	0.454212454212454	1
Ccdc63	0.0243654847193696	0.675	1
Ccdc81	0.0224460227978565	0.435878719825945	8
Ccdc90b	0.0287854969403805	0.643617724867725	5
Ccnd3	-0.0124597277066945	0.478219696969697	1
Ccnf	0.0130630223193516	0.58	1
Ccnq	0.0679723613423291	0.764705882352941	1
Ccser1	0.0154394765008753	0.833333333333333	1
Cd274	-0.0129370731024013	0.563492063492063	1
Cd47	0.0658957006494046	0.363941769316909	1
Cd52	-0.0152990488267539	0.511942653075376	4
Cdc20b	-0.0256526986846698	0.343406593406593	1
Cdc7	0.0308245825460228	0.336228287841191	1
Cdh13	-0.00231928337767529	0.481911063645079	5
Cdh18	0.0324361745465505	0.533333333333333	1
Cdh2	0.00463860666050742	0.43921568627451	1
Cdh8	0.0851710967214157	0.941176470588235	1
Cdk5rap2	0.00792489234737492	0.384159502829716	3
Cdk8	0.0316052053564752	0.503664037469047	5
Cdv3	0.0267733433831201	0.455445544554455	1
Celf2	0.0189656589635553	0.709615384615385	2
Cep112	-0.00681666735173503	0.585714285714286	1
Cep128	0.0137870797489106	0.510360513593066	12
Cep295	0.00908223346260772	0.516835016835017	1
Cep350	0.0166294548369627	0.518610421836228	1
Cep44	-0.0192425060584764	0.4839782002009	24
Cep85	0.0117437392483937	0.71670885474047	23
Cep95	0.0449982766797731	0.736842105263158	1
Cers1	-0.0355195668613794	0.353125	2
Cfap299	-0.00456997831201378	0.579506393093313	65
Cfap52	-0.0096150996851726	0.866666666666667	1
Cfap54	-0.00389168388067085	0.8	1
Cfc1	-0.0596379212157022	0.538461538461538	1
Chaf1b	-0.00755679923231078	0.469346443030654	2
Chek2	-0.0150900919697239	0.522066752658525	3
Chfr	0.0209262316025213	0.560897435897436	1
Chil3	0.0228222341195451	0.501358695652174	1
Chl1	0.0576023955145132	0.516934046345811	1
Chm	0.0138204369811153	0.635432135432135	2
Chst11	0.0314203733354266	0.607142857142857	1
Chst9	-0.00506050717704742	0.713692799302485	28
Ciapin1	0.02745982667741	0.725563909774436	1
Cilk1	0.0200714441168517	0.579960956290005	3
Cit	-0.00887784592704233	0.375555555555555	1
Clcn3	0.0614866573860672	0.495143643086669	7
Cldn14	-0.00904528376619262	0.433949036674243	9
Clip1	0.0225429772395294	0.320366132723112	1
Clip4	-0.013523271579482	0.580128205128205	1
Clns1a	0.0590731241523259	0.574120406241283	27
Clpb	0.0118629363261745	0.525778749535958	55
Clstn1	0.00962982112504918	0.696141414141414	5
Cmah	-0.005277894169886	0.897435897435897	1
Cmip	-0.0349180403301087	0.35725677830941	1
Cmtm8	-0.00870778576185338	0.703703703703704	1
Cnn3	-0.0110075284969334	0.335497835497836	1
Cntnap2	0.0236244532788065	0.689473684210526	1
Cntnap5a	-0.00481059400944917	0.811982169876907	3
Coa4	0.0415480608775995	0.34261765172775	5
Coa7	0.0373552069684499	0.511904761904762	1
Coil	0.0121168893935653	0.557142857142857	1
Col12a1	0.00489358549603358	0.610942590833441	21
Col16a1	-0.016380607922007	0.588301447434574	2
Col23a1	-0.00793369079975736	0.346551724137931	1
Col26a1	-0.00537208762463426	0.571428571428571	1
Col27a1	-0.0140984034360891	0.414772727272727	1
Col4a3	-0.00751078031033536	0.625131625131625	2
Col6a3	-0.0133251793220338	0.676491101491101	9
Col6a6	-0.0119139349782179	0.546206896551724	1
Copb1	0.0371975906521567	0.609951157193141	35
Cops4	0.0225609067753468	1	1
Cops8	0.0186872685110826	0.382905982905983	1
Coq2	0.0145628031572441	0.478048993090706	8
Coro1c	-0.0181695019353347	0.723809523809524	1
Coro2a	0.0505590346121242	0.370209877212869	4
Cpa6	-0.00380369343310583	0.928571428571429	1
Cpe	0.023455697395078	0.520003551059413	37
Cped1	-0.00423856121875443	0.623794045600151	2
Cplx1	-0.0624124920506551	0.718253968253968	2
Cpne3	0.0279924706937704	0.38235294117647	1
Cpsf4	0.0205143230459476	0.618541322275338	5
Cpt1a	-0.0121827767011924	0.636363636363636	1
Creb5	0.00255829237204874	0.619154655685198	2
Crlf1	-0.0662664106428997	0.490180183915671	4
Crlf2	0.0364769318653524	0.312698412698413	1
Crocc2	-0.0117866676163499	0.5375	1
Crtac1	-0.00677116322118376	0.601973684210526	1
Crtc1	0.0431189586378894	0.452112662953624	8
Crybg3	-0.00590204560476448	0.359605911330049	1
Cryl1	-0.00996992467544411	0.607287449392713	1
Cryz	-0.0167981777233572	0.383196721311475	1
Cse1l	0.0322428349879756	0.595238095238095	1
Csgalnact1	-0.0274672742906076	0.629732948522223	291
Csmd1	-0.0217603486714035	0.680682502288676	41
Csmd2	-0.0545640392960414	0.484848484848485	1
Cspp1	0.0107925342599039	0.516521279407877	1
Ctnna2	0.0112735044384841	0.681818181818182	1
Ctnna3	0.0182608098995174	0.643662972435351	3
Ctsc	-0.00992447771094507	0.483020473334286	8
Ctsh	-0.0158976701715505	0.456962028846087	6
Cutc	0.0152352991284629	0.568627450980392	1
Cwh43	-0.00804162023454014	0.373529411764706	1
Cyb5b	0.0332576197452921	0.498287651055206	4
Cyb5r4	0.029326723752635	0.535624181527394	41
Cyfip2	0.031280087019722	0.551587301587302	1
Cyp3a16	-0.0163219959378524	0.498703255808519	5
D10Wsu102e	0.00707230259712754	0.563492063492063	1
D130043K22Rik	-0.0126404869395402	0.423963133640553	1
D2hgdh	0.0245316637738137	0.53116826089879	3
D430042O09Rik	-0.0289127517060014	0.80952380952381	1
D5Ertd579e	0.0478934604944343	0.452380952380952	1
Dab1	0.0142048911345548	0.641935483870968	1
Dach2	-0.00880635034674448	0.67750496163711	20
Dcaf10	0.0106054058841994	0.400208986415883	1
Dctd	-0.0259815898703533	0.515923396249772	29
Dctn6	0.0236550467127452	0.479736474959072	15
Dcun1d4	0.00746797587970549	0.424413528553514	5
Dcun1d5	0.0151678281665016	0.518518518518518	1
Ddias	0.0235001001595205	0.608778566869583	33
Ddx10	0.0117041845713558	0.75	1
Ddx19a	0.0260996327120042	0.457627118644068	1
Ddx60	-0.010803327552006	0.598711636280255	35
Dennd1b	0.0153282005040617	0.678321678321678	1
Dennd2c	-0.00857948802684028	0.909090909090909	1
Dennd4a	0.00610466458750969	0.518382352941177	1
Depdc1b	-0.0106348492057016	0.555844155844156	1
Dgkb	0.0195784037958071	0.645868613834162	103
Dgkg	0.0442067034503876	0.6	1
Dgki	-0.0138650563596591	0.590909090909091	1
Dhdds	0.0201981188285956	0.502993290268364	6
Diaph2	0.0248032450073667	0.666666666666667	1
Diaph3	0.00221424834374473	0.483660130718954	1
Dio2	0.056943757068593	0.428515102913659	2
Dipk1a	0.0553325107026453	0.477053140096618	2
Dipk2a	0.0820425014555053	0.399038461538462	1
Dlc1	-0.0237830186261044	0.553368134996617	594
Dlg2	0.0248353485735461	0.588221730088626	598
Dlgap2	-0.00990314375371859	0.916666666666667	1
Dmd	0.00384555354422533	0.541071428571429	2
Dnah10	0.0057235186614979	0.404712279273683	3
Dnah14	-0.00398970123932763	0.521994134897361	1
Dnah6	-0.00479782881711999	0.501971261447897	39
Dnajb13	-0.0234548538711508	0.590277777777778	1
Dnajb6	0.0366027092709097	0.55	1
Dnajc13	0.0193393015476629	0.431707317073171	1
Dnajc25	0.0341869314592944	0.492082694717098	13
Dnajc27	0.016231883306685	0.523809523809524	1
Dnm3	0.00652252826233835	0.690951821386604	1
Dock1	-0.0149521041645696	0.45	1
Dock2	-0.00886637608353014	0.429381389034774	7
Dock4	0.0369446543947014	0.512981447921352	72
Dock7	0.0151391236784737	0.567226890756303	1
Dok5	0.0144699437255335	0.583333333333333	1
Dok6	-0.00677308501069229	0.8	1
Dop1a	0.029265217625798	0.572870879120879	2
Dpyd	-0.00327026513031647	1	1
Dpys	0.0473289103157158	0.411382113821138	1
Dqx1	0.0272087912196377	0.364285714285714	1
Drc3	0.00953449733948675	0.569230769230769	1
Dscam	-0.0191079207602829	0.524684343434343	3
Dscaml1	0.0453938487204033	0.473615756224452	2
Dtd1	0.0151065082026099	0.703703703703704	1
Dtymk	0.0258861221374916	0.680555555555556	1
Dusp4	0.0246720984632575	0.353260869565217	1
Dym	0.0212580167526788	0.647058823529412	1
Dync1i2	0.0151766333472257	0.456349206349206	1
Dync2h1	0.00848145529158573	0.541666666666667	1
Dynlrb1	0.0708988063850706	0.578947368421053	1
Dyrk1a	0.0227268436651856	0.406926406926407	1
Echdc1	0.0231546701814446	0.44	1
Ecpas	0.032432681030698	0.546610440299126	46
Edc3	0.0392582610549185	0.4375	1
Eed	0.0396405141579977	0.473178277244994	6
Eif2a	0.02673375859838	0.769230769230769	1
Eif2ak1	0.0139386150971114	0.430573651398379	5
Eif3b	0.0202407007245315	0.588235294117647	1
Eif3i	0.0167991649691663	0.477670214481535	5
Eif4b	0.0286481451311482	0.322303921568627	1
Elavl2	-0.0203946671978468	0.540540540540541	1
Elk3	0.0397989037732412	0.309535951045385	1
Ell	0.0176135468926675	0.612185771744595	5
Elmo1	0.0332020141233038	0.678669043374926	2
Elovl4	0.0469094393075852	0.564233664399774	17
Elovl5	0.0312087294084424	0.524154754378439	5
Emcn	0.0409062188478198	0.555555555555556	1
Emsy	0.0375428244503516	0.512377826851805	38
Enoph1	0.0427558256707458	0.449935724261693	7
Enox1	-0.0171686940218709	0.665639445300462	1
Enpp6	-0.013641975356117	0.507154925621413	14
Ep400	0.0197522333422099	0.796551724137931	1
Epb41l2	-0.0150971485032101	0.708333333333333	2
Epb41l3	0.0405092768047354	0.593984962406015	1
Epha3	0.096312037987927	0.654040404040404	2
Epha4	-0.0249483789782599	0.833333333333333	1
Epha5	-0.0272551557895697	0.478053931700647	8
Epha6	-0.00403703094452057	0.77928607340372	2
Epha7	0.0422928978117008	0.616666666666667	1
Ephb1	-0.0221115367643608	0.473809523809524	1
Ephb4	-0.0180371849647809	0.465787579227069	10
Erbb4	0.0189799195648938	0.911764705882353	2
Erc1	0.0261903868676604	0.615384615384615	1
Erc2	-0.0105285335926012	0.561401098901099	2
Ercc5	0.0172982721719636	0.339160839160839	1
Eri1	-0.0254918345463402	0.512096983829476	30
Erp44	0.0165710973312473	0.888888888888889	1
Esco1	0.0538925965017983	0.484848484848485	1
Esf1	0.0143229896613282	0.9	1
Esr1	-0.00546534655192021	0.387096774193548	1
Esrrg	0.00808387677710765	0.500741936979169	3
Etfdh	0.0126803559863516	0.433048433048433	1
Ets1	-0.0100831563823678	0.433035714285714	1
Ets2	0.0302861390111474	0.454545454545454	1
Evi5	0.016665355325331	0.368634979958303	3
Evl	-0.0160575155982341	0.659420289855073	1
Exoc3	0.0203080891905313	0.5	1
Exoc4	0.0224965902376667	0.826086956521739	1
Ext1	0.0600504566250591	0.436011904761905	2
Ext2	0.0225954839694693	0.541218585336232	2
Extl1	-0.0133351959556167	0.465389633342974	5
Eya3	0.0204539735439992	0.556205831899235	7
F830045P16Rik	0.0125287796650364	0.483516483516484	1
Faf1	0.0134655637963703	1	1
Fam126b	0.0517008903170845	0.492063492063492	1
Fam135a	0.0431363463755113	0.736572890025575	1
Fam13c	0.0257962088724215	0.50997150997151	1
Fam160a2	0.0283692097766691	0.462962962962963	1
Fam168a	0.0198113758640561	0.534040880468143	96
Fam185a	0.0146576104377142	0.705882352941177	1
Fam210a	0.0669919978390477	0.466666666666667	1
Fam49a	-0.0158542065827254	0.390168970814132	1
Fam53a	0.0404571716122161	0.490196078431372	1
Fam76a	0.0207162339823906	0.595429492898673	7
Far1	0.0442714244896829	0.531054718468006	19
Fars2	0.0128025422874154	0.634817813765182	2
Farsb	0.0152128002806975	0.591596638655462	1
Fat3	-0.0438859892094303	0.321946169772257	1
Fbxl17	0.00657172215792179	0.400744416873449	1
Fbxl7	-0.00670813823072247	0.8125	1
Fbxo34	0.010360611653419	0.352165256346441	1
Fbxo8	0.0330365855802539	0.416703802733215	2
Fbxw7	0.0318727442106921	0.500461932594743	6
Fchsd2	0.0243653299985074	0.56724136941128	66
Fer	0.0272557716055867	0.681818181818182	1
Fgd5	-0.0163592060987906	0.365546218487395	1
Fgd6	0.00646050360724959	0.611111111111111	1
Fgf14	0.0374067712965627	0.486842105263158	1
Fgf5	0.0146691349583118	0.542374842732896	5
Fgfr2	0.0109067533701056	0.567236467236467	3
Fgl1	-0.0345544687367975	0.57926793986571	36
Fhit	-0.00195678349934769	0.561904761904762	1
Filip1	-0.00585052344354697	0.495625130265846	7
Filip1l	0.00402750576585498	0.311755952380952	1
Fip1l1	0.0231050887044779	0.337636544190665	1
Flt1	-0.0121708991055576	0.515868168855258	46
Flt3	-0.00906194031990559	0.49625479019889	7
Foxk1	0.0329731681797626	0.71	1
Foxn2	0.122230804570348	0.319148936170213	1
Foxn3	0.0115187482663182	0.550485182271178	3
Foxp2	-0.00594180533470379	0.524705882352941	1
Fras1	-0.00665275185346026	0.469133199202752	48
Frmd4a	-0.0124945672516309	0.501150683598501	2
Frmpd1	-0.0219933689568245	0.722222222222222	1
Frmpd4	-0.00863848880299245	0.798072050404708	6
Fry	0.0302398497206107	0.503384164354795	169
Fryl	0.00484616331628862	0.473860463942543	3
Fstl5	0.0205410805577478	0.588888888888889	1
Fuca1	0.0193736048726392	1	1
Fut10	0.0220495877598353	0.469770991038675	71
Fxr2	0.0312166802958725	0.535714285714286	2
Gab1	-0.0119427783815551	0.625	1
Gabpb1	0.0205791031076765	0.348387096774194	1
Gabra2	-0.00784084135753282	0.401206636500754	1
Gabrb1	0.0109654043070907	0.722222222222222	2
Gadl1	-0.00620503209658863	0.53421052631579	1
Galnt11	0.0214994695769705	0.586206896551724	1
Galnt17	0.0445118121734769	0.574200125831757	138
Galnt18	0.0153573756643389	0.496727465687063	21
Galnt2	0.0475697182086682	0.551724137931034	1
Galnt2l	0.00693346149015639	0.560516233111514	3
Galnt3	-0.0160207438142904	0.589473684210526	1
Galnt5	0.0111909257047752	0.888888888888889	1
Galnt9	0.0438503417442397	0.601136363636364	2
Galntl6	0.0138976893019667	0.599512259337132	190
Gapvd1	0.0200837520992623	0.592105263157895	1
Gatd1	0.053156272477023	0.739130434782609	1
Gba	0.027499855887703	0.716666666666667	1
Gbp3	-0.022112152503281	0.888888888888889	1
Gclc	0.0291474399508614	0.390348228663446	2
Gda	-0.00792818906175152	0.497142857142857	1
Gdf15	-0.0438927558719879	0.462895141078503	2
Gdpd4	0.00822517707867498	0.620026564958768	120
Gdpd5	-0.0152882104838936	0.526266845216057	61
Gfod2	0.0182434558317446	0.4	1
Gfpt1	0.0193618114854859	0.505681818181818	1
Gfra1	-0.0109007935225678	0.485714285714286	1
Gli3	-0.0120548778826226	0.886039886039886	2
Glmn	0.016375306709701	0.599358974358974	2
Glra3	-0.00668467909612491	0.539186598399198	23
Glrb	0.0199642714177404	0.333020637898687	1
Gm10033	0.0438399369648582	0.577744714815653	9
Gm14569	-0.0115098706801255	0.406882591093117	1
Gm19410	-0.0291485597380693	0.578027161698644	105
Gm20498	0.00886976448167109	0.44280303030303	2
Gm20503	0.0408223483242243	0.558756552709304	18
Gm26992	-0.00986560360468969	0.426373626373626	2
Gm37013	0.00599313585346406	0.619047619047619	1
Gm37240	0.0180650159470852	0.551557631312838	9
Gm37388	0.00582221728836441	0.619047619047619	1
Gm42416	0.00638126125951288	0.619047619047619	1
Gm42669	0.0243930612330802	0.668560606060606	2
Gm42791	0.0092932480514003	0.481525661062524	51
Gm42906	-0.00942558089715462	0.66066008833726	4
Gm45062	0.0270815967130513	0.764705882352941	1
Gm45140	0.047384711755085	0.535714285714286	1
Gm45194	-0.0101404734108861	0.6125	1
Gm45692	0.0263687731335558	0.498354651214047	7
Gm45837	-0.0194458277125248	0.479672186604438	54
Gm49337	0.0251953115661145	0.384795321637427	1
Gm49450	0.0268226479334779	0.570175438596491	1
Gm5127	-0.00789217576540691	0.671703016684868	6
Gm5134	0.018779273524291	0.502487096237096	2
Gm9732	-0.0134606225645209	0.436842105263158	1
Gmcl1	0.0291812388237449	0.73469387755102	1
Gmds	0.00535530839940046	0.857142857142857	1
Gmip	-0.0323551110250331	0.515629564279001	6
Gnai1	0.0949129776916535	0.509259259259259	1
Gnaq	0.00565415649721157	0.317738791423002	1
Gnb1	0.0249219752783667	0.727272727272727	1
Gng10	0.0222242587521638	0.735690235690236	3
Golga3	0.020677966701433	0.461181041181041	3
Golgb1	0.0404226993034247	0.736842105263158	1
Gpatch8	0.0340421074203636	0.722222222222222	1
Gpc6	-0.00514334470631816	0.62713768115942	2
Gpkow	0.0305186783164074	0.65	1
Gpm6a	-0.0197668872808078	0.379084967320261	1
Gpx8	-0.0582241204189268	0.343406593406593	1
Gramd1b	0.0785315494832169	0.563157894736842	1
Gria1	-0.0118013302962764	0.769230769230769	1
Gria3	-0.0071809730805058	0.562776304155614	2
Gria4	-0.0273140854782101	0.619047619047619	1
Grid2	0.00602604385466898	0.581914590171544	40
Grk3	0.0714971988682866	0.465034965034965	1
Grk4	-0.0121271997839302	0.529100529100529	1
Grm1	0.0368707545121875	0.65	1
Grm7	-0.0048420613868233	0.571222828312612	3
Grm8	-0.00416228212360936	0.677961239321688	2
Grrp1	-0.0754108591226003	0.356499356499356	1
Gspt1	0.0286326967567646	0.529411764705882	1
Gsr	0.0293190212437034	0.428608048428196	66
Gtf2a1	0.0311735230274537	0.580373673945103	7
Gtf2e2	0.0249891043574314	0.566476517704139	10
Gtf3a	0.0218425990878489	0.390777297602855	5
Gtf3c3	0.0206542936297993	0.524436090225564	3
Gxylt2	-0.00703416273193913	0.635416666666667	2
Hacd3	0.0231727105524759	0.623529411764706	1
Hapln4	-0.0436773041907595	0.37123075249414	4
Hcn1	0.0241005801893061	0.47962962962963	1
Hdac8	-0.00326522293793496	0.531772575250836	1
Hdac9	-0.00447531557218039	0.591695907933712	262
Hdlbp	0.0197399836105023	0.904375	2
Heatr5a	-0.00851466725580519	0.39009009009009	1
Hecw2	0.0106224850666597	0.6875	1
Herc1	0.0360214769992169	0.575757575757576	1
Herc2	0.0123312931504729	0.857142857142857	1
Herc3	0.043233489766802	0.564102564102564	1
Hexb	-0.0120591066061025	0.577870515627894	2
Hikeshi	0.0326348291749312	0.655988061897771	4
Hip1	-0.00658244409486264	0.519230769230769	1
Hlcs	0.014714581553698	0.557362637362637	2
Hmgb2	0.0409541687471211	0.669565217391304	1
Hmgn1	0.0622543782329715	0.549718574108818	1
Hmgn3	0.0187872885709638	0.544116039892668	30
Homer1	0.0534954567597763	0.823529411764706	1
Hook3	0.00760496436286728	0.426073131955485	1
Hps3	0.0068672701841902	0.861111111111111	1
Hpse	0.0107423753754218	0.424136028580473	3
Hrh1	-0.0165425532523297	0.578817733990148	1
Hs6st3	0.0181827706367668	0.331116038433112	1
Hsd11b1	0.00921408855104866	0.467236467236467	1
Hsd17b13	-0.014423567962948	0.554187192118227	1
