chrom1	start1	end1	chrom2	start2	end2	other	cluster	strand	gene	log2FC	cond
chr11	120335000	120340000	chr11	120500000	120505000	A	1	+	ARHGEF12	-1.55763964099314	control
chr1	112715000	112720000	chr1	113065000	113070000	B	1	+	LRIG2	-1.78385502664825	control
chr1	112805000	112810000	chr1	113070000	113075000	B	1	+	LRIG2	-1.78385502664825	control
chr11	128880000	128890000	chr11	129330000	129340000	A	1	+	KCNJ5	-2.10001784387329	control
chr11	128880000	128890000	chr11	129740000	129750000	A	1	+	KCNJ5	-2.10001784387329	control
chr11	128885000	128890000	chr11	129115000	129120000	A	1	+	KCNJ5	-2.10001784387329	control
chr11	129120000	129125000	chr11	129275000	129280000	A	2	-	ARHGAP32	-3.17982211540104	control
chr11	129120000	129125000	chr11	129275000	129280000	B	2	-	ARHGAP32	-3.17982211540104	control
chr11	129120000	129125000	chr11	129325000	129330000	A	1	-	ARHGAP32	-3.17982211540104	control
chr11	129120000	129130000	chr11	129740000	129750000	A	6	-	ARHGAP32	-3.17982211540104	control
chr1	113140000	113145000	chr1	113385000	113390000	B	1	+	MAGI3	-1.74849465767138	control
chr1	113140000	113145000	chr1	113390000	113395000	B	1	+	MAGI3	-1.74849465767138	control
chr1	113390000	113400000	chr1	113670000	113680000	A	6	+	MAGI3	-1.74849465767138	control
chr1	116570000	116575000	chr1	117055000	117060000	A	6	-	CD58	-2.18863558685071	control
chr1	116570000	116580000	chr1	116810000	116820000	A	3	-	CD58	-2.18863558685071	control
chr11	19075000	19080000	chr11	19240000	19245000	B	1	-	E2F8	-1.68824175888786	control
chr11	31100000	31110000	chr11	31360000	31370000	B	3	+	DNAJC24	-2.05848638652648	control
chr11	33855000	33860000	chr11	34360000	34365000	B	1	-	ABTB2	-1.95403038537734	control
chr11	33995000	34000000	chr11	34360000	34365000	B	1	-	ABTB2	-1.95403038537734	control
chr11	34170000	34175000	chr11	34355000	34360000	B	1	-	ABTB2	-1.95403038537734	control
chr11	34360000	34365000	chr11	34890000	34895000	A	1	-	ABTB2	-1.95403038537734	control
chr11	34360000	34370000	chr11	34580000	34590000	A	1	-	ABTB2	-1.95403038537734	control
chr1	149885000	149890000	chr1	150050000	150055000	A	1	+	H2AC20	-2.73974463916294	control
chr1	149885000	149890000	chr1	150050000	150055000	A	1	-	H2AC21	-3.05496499015411	control
chr1	149885000	149890000	chr1	150050000	150055000	A	1	-	H2BC21	-2.27710092322205	control
chr1	151440000	151445000	chr1	151730000	151735000	A	1	-	POGZ	-1.88533708070814	control
chr1	151440000	151445000	chr1	151735000	151740000	A	1	-	POGZ	-1.88533708070814	control
chr1	151440000	151450000	chr1	151590000	151600000	A	1	-	POGZ	-1.88533708070814	control
chr1	156380000	156390000	chr1	156600000	156610000	B	1	-	GPATCH4	-1.97105024426579	control
chr1	156450000	156455000	chr1	156605000	156610000	B	1	-	GPATCH4	-1.97105024426579	control
chr1	156455000	156460000	chr1	156605000	156610000	B	1	-	GPATCH4	-1.97105024426579	control
chr1	161480000	161490000	chr1	161740000	161750000	B	1	+	DUSP12	-2.72513333917481	control
chr11	65710000	65715000	chr11	65885000	65890000	A	1	+	KAT5	-2.98348847572285	control
chr1	167065000	167070000	chr1	167220000	167225000	B	1	+	POU2F1	-1.63182379985837	control
chr1	167075000	167080000	chr1	167215000	167220000	B	1	+	POU2F1	-1.63182379985837	control
chr1	167720000	167730000	chr1	167930000	167940000	B	6	+	DCAF6	-1.4792127430353	control
chr1	167930000	167940000	chr1	168080000	168090000	A	1	+	DCAF6	-1.4792127430353	control
chr11	7090000	7100000	chr11	7560000	7570000	B	3	+	PPFIBP2	-1.88818106053493	control
chr1	171480000	171490000	chr1	171710000	171720000	A	6	+	PRRC2C	-1.98886646717713	control
chr11	7500000	7510000	chr11	7680000	7690000	A	4	+	PPFIBP2	-1.88818106053493	control
chr11	8220000	8225000	chr11	8565000	8570000	B	5	-	STK33	1.97934039348634	control
chr11	8225000	8230000	chr11	8565000	8570000	B	5	-	STK33	1.97934039348634	control
chr1	183280000	183290000	chr1	183460000	183470000	B	1	+	SMG7	-2.01135779421944	control
chr11	8330000	8340000	chr11	8560000	8570000	B	5	-	STK33	1.97934039348634	control
chr1	183470000	183480000	chr1	183620000	183630000	A	1	+	SMG7	-2.01135779421944	control
chr11	8380000	8390000	chr11	8560000	8570000	B	5	-	STK33	1.97934039348634	control
chr1	184380000	184390000	chr1	184560000	184570000	A	2	+	C1orf21	-1.9899611164728	control
chr11	8570000	8580000	chr11	8950000	8960000	A	3	-	STK33	1.97934039348634	control
chr1	192470000	192480000	chr1	193120000	193130000	B	3	+	CDC73	-1.60990782257238	control
chr1	192800000	192810000	chr1	193110000	193120000	B	6	+	CDC73	-1.60990782257238	control
chr11	94970000	94980000	chr11	95130000	95140000	A	1	-	CWC15	-1.85824607190907	control
chr11	95840000	95845000	chr11	96345000	96350000	B	1	-	MAML2	-2.71939341846066	control
chr11	96050000	96055000	chr11	96345000	96350000	B	1	-	MAML2	-2.71939341846066	control
chr11	96055000	96060000	chr11	96340000	96345000	B	1	-	MAML2	-2.71939341846066	control
chr1	197610000	197620000	chr1	197770000	197780000	A	2	-	DENND1B	-2.64339429031904	control
chr1	197610000	197620000	chr1	197770000	197780000	B	2	-	DENND1B	-2.64339429031904	control
chr1	197610000	197620000	chr1	198460000	198470000	A	6	-	DENND1B	-2.64339429031904	control
chr1	200620000	200625000	chr1	200800000	200805000	A	2	-	KIF14	-1.54975291274459	control
chr1	200620000	200630000	chr1	200960000	200970000	A	1	-	KIF14	-1.54975291274459	control
chr1	200625000	200630000	chr1	200800000	200805000	A	2	-	KIF14	-1.54975291274459	control
chr1	200880000	200890000	chr1	201040000	201050000	A	1	+	INAVA	-1.69012012946304	control
chr1	20780000	20790000	chr1	21180000	21190000	B	1	-	EIF4G3	-1.75007452881341	control
chr12	10170000	10180000	chr12	10360000	10370000	A	1	+	TMEM52B	-2.58501986263595	control
chr12	10170000	10180000	chr12	10370000	10380000	A	1	+	TMEM52B	-2.58501986263595	control
chr12	10170000	10180000	chr12	10390000	10400000	A	1	+	TMEM52B	-2.58501986263595	control
chr12	10170000	10180000	chr12	10390000	10400000	B	1	-	KLRK1	2.06888973968732	control
chr12	10170000	10180000	chr12	12720000	12730000	A	1	+	TMEM52B	-2.58501986263595	control
chr12	10170000	10180000	chr12	12720000	12730000	B	1	+	APOLD1	-2.03712220864972	control
chr12	114680000	114690000	chr12	114910000	114920000	A	1	-	TBX3	-1.91221329239657	control
chr12	11580000	11590000	chr12	11740000	11750000	B	1	+	ETV6	-2.07371398584127	control
chr12	116280000	116290000	chr12	116500000	116510000	A	1	-	MED13L	-2.38996510234551	control
chr12	11640000	11650000	chr12	11880000	11890000	A	1	+	ETV6	-2.07371398584127	control
chr1	211685000	211690000	chr1	212035000	212040000	B	1	-	INTS7	-2.25100966871247	control
chr1	211690000	211700000	chr1	212030000	212040000	B	1	-	INTS7	-2.25100966871247	control
chr12	11730000	11740000	chr12	12020000	12030000	A	1	+	ETV6	-2.07371398584127	control
chr12	12375000	12380000	chr12	12560000	12565000	B	1	-	DUSP16	-2.80428225041612	control
chr12	12710000	12720000	chr12	12880000	12890000	B	1	+	GPRC5A	-1.99663844090171	control
chr12	12780000	12790000	chr12	13210000	13220000	A	1	+	APOLD1	-2.03712220864972	control
chr12	14180000	14190000	chr12	14360000	14370000	B	6	+	ATF7IP	-1.96401964484745	control
chr1	214230000	214240000	chr1	214610000	214620000	B	4	+	CENPF	-1.53694281704843	control
chr12	14250000	14260000	chr12	14390000	14400000	B	2	+	ATF7IP	-1.96401964484745	control
chr12	15590000	15595000	chr12	15785000	15790000	B	2	-	EPS8	-1.63494891710042	control
chr1	218340000	218345000	chr1	218520000	218525000	A	1	+	TGFB2	-1.67875163264729	control
chr1	218340000	218350000	chr1	219170000	219180000	A	6	+	TGFB2	-1.67875163264729	control
chr1	218340000	218350000	chr1	219170000	219180000	B	6	+	LYPLAL1	-2.72757207879786	control
chr1	218345000	218350000	chr1	218520000	218525000	A	1	+	TGFB2	-1.67875163264729	control
chr12	21180000	21190000	chr12	21430000	21440000	B	3	+	PYROXD1	-1.75008458747361	control
chr12	21290000	21300000	chr12	21430000	21440000	B	2	+	PYROXD1	-1.75008458747361	control
chr12	21430000	21440000	chr12	21670000	21680000	A	6	+	PYROXD1	-1.75008458747361	control
chr1	221540000	221550000	chr1	221730000	221740000	B	2	-	DUSP10	-2.29044614780731	control
chr1	221730000	221740000	chr1	222160000	222170000	A	6	-	DUSP10	-2.29044614780731	control
chr1	221740000	221745000	chr1	221960000	221965000	A	1	-	DUSP10	-2.29044614780731	control
chr1	221740000	221750000	chr1	221950000	221960000	A	1	-	DUSP10	-2.29044614780731	control
chr1	221740000	221750000	chr1	222000000	222010000	A	1	-	DUSP10	-2.29044614780731	control
chr1	226930000	226940000	chr1	227310000	227320000	B	6	-	CDC42BPA	-2.47662429778478	control
chr1	230630000	230640000	chr1	231210000	231220000	A	3	+	COG2	-2.0779186260982	control
chr12	31660000	31670000	chr12	32100000	32110000	B	6	+	BICD1	-1.58167379050686	control
chr12	31680000	31685000	chr12	32105000	32110000	B	1	+	BICD1	-1.58167379050686	control
chr12	32105000	32110000	chr12	32300000	32305000	A	2	+	BICD1	-1.58167379050686	control
chr1	234605000	234610000	chr1	234960000	234965000	A	1	-	IRF2BP2	-2.35456992444098	control
chr1	236100000	236105000	chr1	236605000	236610000	B	1	-	HEATR1	-1.60377908174995	control
chr1	236105000	236110000	chr1	236605000	236610000	B	1	-	HEATR1	-1.60377908174995	control
chr1	236605000	236610000	chr1	236775000	236780000	A	2	-	HEATR1	-1.60377908174995	control
chr1	236605000	236610000	chr1	236865000	236870000	A	6	-	HEATR1	-1.60377908174995	control
chr1	236605000	236610000	chr1	237385000	237390000	A	3	-	HEATR1	-1.60377908174995	control
chr1	24190000	24200000	chr1	24630000	24640000	B	1	+	SRRM1	-1.77993076589236	control
chr1	24390000	24400000	chr1	24630000	24640000	B	1	+	SRRM1	-1.77993076589236	control
chr12	45545000	45550000	chr12	45725000	45730000	B	2	+	ARID2	-2.50703313976252	control
chr12	45735000	45740000	chr12	45990000	45995000	B	1	-	SCAF11	-2.13671233586589	control
chr12	45750000	45760000	chr12	45990000	46000000	B	1	-	SCAF11	-2.13671233586589	control
chr12	47075000	47080000	chr12	47305000	47310000	A	1	-	AMIGO2	-1.88242505304943	control
chr12	47075000	47080000	chr12	47305000	47310000	A	1	+	PCED1B	-2.31801868928967	control
chr12	47710000	47720000	chr12	48160000	48170000	A	1	-	RPAP3	-1.70420208657226	control
chr12	50500000	50510000	chr12	51020000	51030000	B	1	-	SLC11A2	-1.66750819246217	control
chr12	50760000	50770000	chr12	51020000	51030000	B	1	-	SLC11A2	-1.66750819246217	control
chr12	50810000	50820000	chr12	51010000	51020000	B	1	-	SLC11A2	-1.66750819246217	control
chr12	50825000	50830000	chr12	51030000	51035000	B	1	-	SLC11A2	-1.66750819246217	control
chr12	50830000	50840000	chr12	51020000	51030000	B	1	-	SLC11A2	-1.66750819246217	control
chr12	570000	580000	chr12	740000	750000	B	1	+	WNK1	-1.56949340144938	control
chr12	63830000	63840000	chr12	64390000	64400000	A	6	+	SRGAP1	-2.74494762151228	control
chr12	63830000	63840000	chr12	64390000	64400000	B	6	+	XPOT	-2.28182190965313	control
chr12	63835000	63840000	chr12	64255000	64260000	A	1	+	SRGAP1	-2.74494762151228	control
chr12	63840000	63845000	chr12	64180000	64185000	A	1	+	SRGAP1	-2.74494762151228	control
chr12	63840000	63850000	chr12	63980000	63990000	A	1	+	SRGAP1	-2.74494762151228	control
chr12	63840000	63850000	chr12	64080000	64090000	A	1	+	SRGAP1	-2.74494762151228	control
chr12	64270000	64280000	chr12	64600000	64610000	B	1	+	RASSF3	-1.61147680895001	control
chr12	65600000	65610000	chr12	65820000	65830000	B	1	+	HMGA2	-2.78950005309206	control
chr12	65820000	65830000	chr12	65980000	65990000	A	1	+	HMGA2	-2.78950005309206	control
chr12	70240000	70250000	chr12	70570000	70580000	A	6	+	CNOT2	-1.65650572252475	control
chr12	88110000	88120000	chr12	88630000	88640000	A	6	-	CEP290	-1.58796218328392	control
chr12	94550000	94560000	chr12	95210000	95220000	B	6	+	VEZT	-2.17479087762433	control
chr12	95215000	95220000	chr12	95530000	95535000	A	1	+	VEZT	-2.17479087762433	control
chr12	95215000	95220000	chr12	95535000	95540000	A	1	+	VEZT	-2.17479087762433	control
chr13	103880000	103890000	chr13	106530000	106540000	B	6	-	EFNB2	-1.62294828841475	control
chr13	104570000	104580000	chr13	106530000	106540000	B	6	-	EFNB2	-1.62294828841475	control
chr13	104770000	104780000	chr13	106530000	106540000	B	6	-	EFNB2	-1.62294828841475	control
chr13	105500000	105510000	chr13	106520000	106530000	B	6	-	EFNB2	-1.62294828841475	control
chr13	106080000	106085000	chr13	106530000	106535000	B	1	-	EFNB2	-1.62294828841475	control
chr13	106085000	106090000	chr13	106525000	106530000	B	1	-	EFNB2	-1.62294828841475	control
chr13	106145000	106150000	chr13	106525000	106530000	B	1	-	EFNB2	-1.62294828841475	control
chr13	106145000	106150000	chr13	106530000	106535000	B	1	-	EFNB2	-1.62294828841475	control
chr13	106350000	106360000	chr13	106520000	106530000	B	1	-	EFNB2	-1.62294828841475	control
chr13	106540000	106545000	chr13	106920000	106925000	A	3	-	EFNB2	-1.62294828841475	control
chr13	106560000	106570000	chr13	107120000	107130000	A	3	-	ARGLU1	-1.86962665941962	control
chr13	20940000	20945000	chr13	21180000	21185000	B	1	-	SKA3	-2.12324751936829	control
chr13	26950000	26960000	chr13	27960000	27970000	B	1	-	CDX2	-3.07045949699309	control
chr13	32580000	32585000	chr13	33720000	33725000	A	6	+	PDS5B	-2.00054124769274	control
chr13	32585000	32590000	chr13	32910000	32915000	A	6	+	PDS5B	-2.00054124769274	control
chr13	32585000	32590000	chr13	33540000	33545000	A	6	+	PDS5B	-2.00054124769274	control
chr13	32670000	32680000	chr13	33710000	33720000	A	6	+	PDS5B	-2.00054124769274	control
chr13	40770000	40780000	chr13	41050000	41060000	B	1	+	WBP4	-2.42068476065981	control
chr13	40780000	40790000	chr13	40980000	40990000	B	1	-	ELF1	-2.84823005074164	control
chr13	40790000	40800000	chr13	40980000	40990000	B	1	-	ELF1	-2.84823005074164	control
chr13	41050000	41060000	chr13	41190000	41200000	A	1	+	WBP4	-2.42068476065981	control
chr13	41055000	41060000	chr13	41220000	41225000	A	1	+	WBP4	-2.42068476065981	control
chr13	41065000	41070000	chr13	41215000	41220000	A	1	-	ELF1	-2.84823005074164	control
chr13	41670000	41680000	chr13	42040000	42050000	B	6	+	DGKH	-1.51182911154678	control
chr13	42040000	42050000	chr13	42210000	42220000	A	6	+	DGKH	-1.51182911154678	control
chr13	43905000	43910000	chr13	44440000	44445000	B	1	-	TSC22D1	-2.16247414855982	control
chr13	43905000	43910000	chr13	44470000	44475000	B	1	-	TSC22D1	-2.16247414855982	control
chr13	44050000	44055000	chr13	44435000	44440000	B	1	-	TSC22D1	-2.16247414855982	control
chr13	44235000	44240000	chr13	44435000	44440000	B	1	-	TSC22D1	-2.16247414855982	control
chr13	44240000	44245000	chr13	44435000	44440000	B	1	-	TSC22D1	-2.16247414855982	control
chr13	51810000	51820000	chr13	52000000	52010000	B	1	+	ALG11	-1.66966205166099	control
chr13	52150000	52160000	chr13	52450000	52460000	B	6	+	CKAP2	-2.20821267063629	control
chr13	72840000	72845000	chr13	73045000	73050000	B	1	+	KLF5	-3.03150764666342	control
chr13	72840000	72850000	chr13	73050000	73060000	B	1	+	KLF5	-3.03150764666342	control
chr13	73830000	73835000	chr13	74135000	74140000	B	6	-	KLF12	-1.87580986682981	control
chr13	73840000	73845000	chr13	74130000	74135000	B	6	-	KLF12	-1.87580986682981	control
chr13	74130000	74140000	chr13	74280000	74290000	A	2	-	KLF12	-1.87580986682981	control
chr13	77020000	77030000	chr13	77560000	77570000	A	6	-	FBXL3	-1.85666982197823	control
chr13	95620000	95630000	chr13	95970000	95980000	B	6	-	UGGT2	-1.47465297482138	control
chr13	97010000	97020000	chr13	97210000	97220000	B	3	+	MBNL2	-2.10554142227869	control
chr13	97030000	97040000	chr13	97210000	97220000	B	3	+	MBNL2	-2.10554142227869	control
chr13	99970000	99980000	chr13	100230000	100240000	A	1	+	ZIC2	-2.1032598706676	control
chr13	99970000	99980000	chr13	100440000	100450000	A	1	+	ZIC2	-2.1032598706676	control
chr13	99970000	99980000	chr13	100510000	100520000	A	1	+	ZIC2	-2.1032598706676	control
chr13	99980000	99985000	chr13	100230000	100235000	A	1	+	ZIC2	-2.1032598706676	control
chr14	101960000	101970000	chr14	102310000	102320000	B	1	+	ZNF839	-2.39423496646241	control
chr14	102055000	102060000	chr14	102315000	102320000	B	1	+	ZNF839	-2.39423496646241	control
chr1	42170000	42180000	chr1	42330000	42340000	B	1	-	FOXJ3	-1.55545868164501	control
chr1	42340000	42350000	chr1	42570000	42580000	A	2	-	FOXJ3	-1.55545868164501	control
chr1	42340000	42350000	chr1	42750000	42760000	A	6	-	FOXJ3	-1.55545868164501	control
chr14	31500000	31510000	chr14	32070000	32080000	B	6	+	ARHGAP5	-1.79397299932901	control
chr14	31510000	31520000	chr14	32070000	32080000	B	6	+	ARHGAP5	-1.79397299932901	control
chr14	32070000	32075000	chr14	32245000	32250000	A	2	+	ARHGAP5	-1.79397299932901	control
chr14	32070000	32075000	chr14	32250000	32255000	A	1	+	ARHGAP5	-1.79397299932901	control
chr14	35435000	35440000	chr14	35810000	35815000	B	6	-	RALGAPA1	-2.28865056443691	control
chr14	37245000	37250000	chr14	37590000	37595000	B	1	-	FOXA1	-3.12216450452324	control
chr14	37250000	37255000	chr14	37590000	37595000	B	1	-	FOXA1	-3.12216450452324	control
chr14	37590000	37600000	chr14	37870000	37880000	A	1	-	FOXA1	-3.12216450452324	control
chr14	37600000	37605000	chr14	37870000	37875000	A	1	-	FOXA1	-3.12216450452324	control
chr1	43760000	43770000	chr1	44030000	44040000	B	1	-	SLC6A9	-2.72340491684913	control
chr1	44210000	44220000	chr1	44590000	44600000	A	1	+	DMAP1	-2.40949526179339	control
chr14	49630000	49640000	chr14	49850000	49860000	B	1	-	NEMF	-1.50082613092488	control
chr14	49850000	49860000	chr14	50530000	50540000	A	1	-	NEMF	-1.50082613092488	control
chr14	49855000	49860000	chr14	50230000	50235000	A	1	-	NEMF	-1.50082613092488	control
chr1	45360000	45370000	chr1	45570000	45580000	B	1	+	NASP	-2.15643617634311	control
chr14	53955000	53960000	chr14	54105000	54110000	A	1	-	BMP4	-3.59220016810457	control
chr14	53955000	53960000	chr14	54170000	54175000	A	1	-	BMP4	-3.59220016810457	control
chr14	54560000	54565000	chr14	54795000	54800000	A	1	+	SAMD4A	-1.8518906044162	control
chr14	54560000	54565000	chr14	54805000	54810000	A	1	+	SAMD4A	-1.8518906044162	control
chr14	54565000	54570000	chr14	54770000	54775000	A	1	+	SAMD4A	-1.8518906044162	control
chr14	60720000	60730000	chr14	61020000	61030000	A	2	+	MNAT1	-1.46979465429377	control
chr14	68250000	68260000	chr14	68800000	68810000	B	1	-	ZFP36L1	-1.76153531285389	control
chr14	71100000	71110000	chr14	71310000	71320000	B	1	+	SIPA1L1	-1.87658503682123	control
chr14	71160000	71170000	chr14	71310000	71320000	B	1	+	SIPA1L1	-1.87658503682123	control
chr14	71320000	71325000	chr14	71745000	71750000	A	6	+	SIPA1L1	-1.87658503682123	control
chr15	101290000	101300000	chr15	101480000	101490000	B	1	-	PCSK6	-1.68802678248536	control
chr15	40930000	40940000	chr15	41180000	41190000	A	1	+	CHAC1	-2.27479989461363	control
chr15	40940000	40945000	chr15	41180000	41185000	A	1	+	CHAC1	-2.27479989461363	control
chr15	45205000	45210000	chr15	45395000	45400000	B	1	+	SPATA5L1	-1.90441502180309	control
chr15	49620000	49630000	chr15	49820000	49830000	A	2	+	DTWD1	-2.51991649109261	control
chr15	55650000	55660000	chr15	56240000	56250000	B	3	-	RFX7	-2.58191175432919	control
chr15	55990000	56000000	chr15	56240000	56250000	B	6	-	RFX7	-2.58191175432919	control
chr15	56250000	56255000	chr15	56425000	56430000	A	2	-	RFX7	-2.58191175432919	control
chr15	56490000	56500000	chr15	57210000	57220000	B	3	+	TCF12	-1.89436672983951	control
chr15	56820000	56825000	chr15	57210000	57215000	B	6	+	TCF12	-1.89436672983951	control
chr15	56910000	56920000	chr15	57210000	57220000	A	6	+	TCF12	-1.89436672983951	control
chr15	56910000	56920000	chr15	57210000	57220000	B	6	+	TCF12	-1.89436672983951	control
chr15	56910000	56920000	chr15	57300000	57310000	A	6	+	TCF12	-1.89436672983951	control
chr15	58770000	58780000	chr15	58920000	58930000	B	1	-	SLTM	-2.22583488304127	control
chr15	65980000	65990000	chr15	66280000	66290000	B	6	+	DIS3L	-2.01042046590132	control
chr15	69580000	69590000	chr15	70090000	70100000	B	1	-	TLE3	-2.26729672361164	control
chr15	69730000	69735000	chr15	70095000	70100000	B	1	-	TLE3	-2.26729672361164	control
chr15	75035000	75040000	chr15	75200000	75205000	A	1	+	PPCDC	-1.95721072067537	control
chr15	75040000	75045000	chr15	75200000	75205000	A	1	+	PPCDC	-1.95721072067537	control
chr15	80455000	80460000	chr15	80775000	80780000	B	1	+	CEMIP	-2.41626250225437	control
chr15	80565000	80570000	chr15	80775000	80780000	B	1	+	CEMIP	-2.41626250225437	control
chr15	80775000	80780000	chr15	80970000	80975000	A	1	+	CEMIP	-2.41626250225437	control
chr15	95260000	95270000	chr15	96320000	96330000	B	1	+	NR2F2	-3.18999129952923	control
chr15	96050000	96055000	chr15	96320000	96325000	B	1	+	NR2F2	-3.18999129952923	control
chr15	96115000	96120000	chr15	96330000	96335000	B	1	+	NR2F2	-3.18999129952923	control
chr15	96120000	96130000	chr15	96320000	96330000	B	1	+	NR2F2	-3.18999129952923	control
