loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_overlaps	is_merged	anchor1_chr	anchor1_start	anchor1_end	anchor1_midpoint	anchor1_size	anchor2_chr	anchor2_start	anchor2_end	anchor2_midpoint	anchor2_size	loop_distance	distance_category	is_intrachromosomal	anchor1_nearest_gene_idx	anchor1_distance_to_tss	anchor2_nearest_gene_idx	anchor2_distance_to_tss	anchor1_nearest_gene	anchor2_nearest_gene	anchor1_H3K27ac_overlap	anchor1_H3K4me1_overlap	anchor1_type	anchor1_is_promoter	anchor2_H3K27ac_overlap	anchor2_H3K4me1_overlap	anchor2_type	anchor2_is_promoter	loop_type	anchor1_H3K27me3_overlap	anchor2_H3K27me3_overlap	anchor1_H3K4me3_overlap	anchor2_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor2_Bivalent_Promoter_overlap	anchor_status
loop_2207	chr8	86030000	86040000	chr8	86530000	86540000	chr8:86030000-86040000_chr8:86530000-86540000	TRUE	-0.353707683412625	4.41155736255512	17.6283596096364	4.424972201694e-4	0.0060858628107524	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr8	86030000	86040000	86035000	10000	chr8	86530000	86540000	86535000	10000	500000	100-500kb	TRUE	1485	189040	11756	40685	102093	244562	TRUE	TRUE	Active_Enhancer	FALSE	TRUE	TRUE	Active_Enhancer	FALSE	Active_Enhancer-Active_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_7987	chr8	27670000	27680000	chr8	30920000	30930000	chr8:27670000-27680000_chr8:30920000-30930000	FALSE	-0.511863483899756	3.7322030291973	29.151927695355	2.76854219941496e-5	8.478707314906e-4	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	3	TRUE	chr8	27670000	27680000	27675000	10000	chr8	30920000	30930000	30925000	10000	3250000	>1Mb	TRUE	20748	222899	18722	159470	70952	66959	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_2207	chr13	98260000	98265000	chr13	98315000	98320000	chr13:98260000-98265000_chr13:98315000-98320000	TRUE	-0.35344100089504	5.65325074856495	13.8871606102835	0.0017398013302114	0.026223895657889	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr13	98260000	98265000	98262500	5000	chr13	98315000	98320000	98317500	5000	55000	<100kb	TRUE	19740	0	9120	0	68558	218490	TRUE	TRUE	Active_Promoter	TRUE	TRUE	TRUE	Active_Promoter	TRUE	Active_Promoter-Active_Promoter	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	shared
loop_11180	chr15	44830000	44840000	chr15	48790000	48800000	chr15:44830000-44840000_chr15:48790000-48800000	FALSE	-0.527071564812169	3.16336281960009	21.4611447483805	1.608525612695e-4	0.0029717674829817	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr15	44830000	44840000	44835000	10000	chr15	48790000	48800000	48795000	10000	3960000	>1Mb	TRUE	11215	41418	11217	0	239410	239420	FALSE	TRUE	Poised_Enhancer	FALSE	TRUE	TRUE	Active_Promoter	TRUE	Active_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	shared
loop_11631	chr16	49270000	49280000	chr16	50300000	50310000	chr16:49270000-49280000_chr16:50300000-50310000	FALSE	-0.535767264392674	3.54471268618377	30.0306248505472	2.30711335422101e-5	7.343824111495e-4	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	3	TRUE	chr16	49270000	49280000	49275000	10000	chr16	50300000	50310000	50305000	10000	1030000	>1Mb	TRUE	18551	212513	20595	122389	667772	70508	FALSE	FALSE	Other	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Poised_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_12404	chr18	57400000	57425000	chr18	58475000	58500000	chr18:57400000-57425000_chr18:58475000-58500000	FALSE	-0.302946727000836	4.45819498320034	30.8207218241003	7.66971291084479e-5	0.0016140558077295	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	3	TRUE	chr18	57400000	57425000	57412500	25000	chr18	58475000	58500000	58487500	25000	1075000	>1Mb	TRUE	945	0	9741	56256	100503007	225579	FALSE	TRUE	Other	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Other	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_13250	chr18	77790000	77800000	chr18	78130000	78140000	chr18:77790000-77800000_chr18:78130000-78140000	FALSE	-0.303911684470155	4.29368444965048	15.4318604296048	8.323738287397e-4	0.0097761483798808	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr18	77790000	77800000	77795000	10000	chr18	78130000	78140000	78135000	10000	340000	100-500kb	TRUE	17306	0	2700	2118	619308	108052	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Repressed_Promoter-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_2816	chr2	118260000	118265000	chr2	118430000	118435000	chr2:118260000-118265000_chr2:118430000-118435000	FALSE	-0.302499319263223	5.6613352779188	15.0359072321585	0.0012580217849075	0.0210532143045522	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr2	118260000	118265000	118262500	5000	chr2	118430000	118435000	118432500	5000	170000	100-500kb	TRUE	20899	14429	13387	41381	71313	27103	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_3034	chr4	33395000	33400000	chr4	33520000	33525000	chr4:33395000-33400000_chr4:33520000-33525000	TRUE	-0.468349214128843	4.83267932494054	14.4140994820436	0.0014969071738676	0.0239053150981243	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr4	33395000	33400000	33397500	5000	chr4	33520000	33525000	33522500	5000	125000	100-500kb	TRUE	1792	38080	1792	81918	102465904	102465904	FALSE	TRUE	Poised_Enhancer	FALSE	TRUE	TRUE	Active_Enhancer	FALSE	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_3050	chr4	117705000	117710000	chr4	118290000	118295000	chr4:117705000-117710000_chr4:118290000-118295000	TRUE	-0.637165764659236	4.03917359838936	24.6610828054291	1.262388305213e-4	0.004789085760411	TRUE	TRUE	moderate_differential	down_in_mutant	NA	5000	5	2	TRUE	chr4	117705000	117710000	117707500	5000	chr4	118290000	118295000	118292500	5000	585000	500kb-1Mb	TRUE	18021	22726	7218	0	66233	19268	FALSE	FALSE	Other	FALSE	FALSE	TRUE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_17280	chr6	51170000	51180000	chr6	52310000	52320000	chr6:51170000-51180000_chr6:52310000-52320000	FALSE	-0.866346995338293	4.01507337320884	73.2262445356311	4.06974247260018e-8	9.11944669701854e-6	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr6	51170000	51180000	51175000	10000	chr6	52310000	52320000	52315000	10000	1140000	>1Mb	TRUE	15212	89909	20625	0	387166	70593	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_3779	chr18	64340000	64345000	chr18	64465000	64470000	chr18:64340000-64345000_chr18:64465000-64470000	TRUE	0.454929935851277	4.83053742901258	21.5222868389937	2.49270155555e-4	0.0075081673989804	TRUE	TRUE	weak_differential	up_in_mutant	NA	5000	5	1	FALSE	chr18	64340000	64345000	64342500	5000	chr18	64465000	64470000	64467500	5000	125000	100-500kb	TRUE	9747	0	4692	20250	225631	14151	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Repressed_Promoter-Poised_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	shared
loop_8103	chr14	105730000	105740000	chr14	105890000	105900000	chr14:105730000-105740000_chr14:105890000-105900000	FALSE	-0.395182271087771	5.10274406462725	35.31587842446	8.22996494644696e-6	3.488025593033e-4	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr14	105730000	105740000	105735000	10000	chr14	105890000	105900000	105895000	10000	160000	100-500kb	TRUE	1557	106229	11386	0	102465207	24064	TRUE	TRUE	Active_Enhancer	FALSE	TRUE	TRUE	Active_Promoter	TRUE	Active_Promoter-Active_Enhancer	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	shared
loop_7382	chr9	42325000	42330000	chr9	42940000	42945000	chr9:42325000-42330000_chr9:42940000-42945000	TRUE	-0.345618548664937	5.25032979395401	13.4133785644232	0.0019966410066311	0.0286312588367154	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr9	42325000	42330000	42327500	5000	chr9	42940000	42945000	42942500	5000	615000	500kb-1Mb	TRUE	10857	60743	3004	0	235293	110637	FALSE	FALSE	Polycomb	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_8876	chr9	73160000	73170000	chr9	73980000	73990000	chr9:73160000-73170000_chr9:73980000-73990000	FALSE	-0.438390983971874	4.9623791102995	42.8678557269424	2.22466290590504e-6	1.395794781755e-4	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr9	73160000	73170000	73165000	10000	chr9	73980000	73990000	73985000	10000	820000	500kb-1Mb	TRUE	9718	46573	8121	11033	225215	208898	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_8912	chr9	31550000	31560000	chr9	32150000	32160000	chr9:31550000-31560000_chr9:32150000-32160000	TRUE	-0.484511829273788	5.06199907348208	66.0052764625438	9.20550495306959e-8	1.6938129113648e-5	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	3	TRUE	chr9	31550000	31560000	31555000	10000	chr9	32150000	32160000	32155000	10000	600000	500kb-1Mb	TRUE	10849	85537	14593	33863	235135	330914	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Poised_Enhancer	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_9259	chr11	33170000	33180000	chr11	33550000	33560000	chr11:33170000-33180000_chr11:33550000-33560000	FALSE	-0.412104703851315	5.44541462224927	32.232193187038	1.48208069171715e-5	5.358218884176e-4	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr11	33170000	33180000	33175000	10000	chr11	33550000	33560000	33555000	10000	380000	100-500kb	TRUE	6568	6793	8827	18958	18148	216643	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_9380	chr11	33190000	33200000	chr11	33290000	33300000	chr11:33190000-33200000_chr11:33290000-33300000	TRUE	-0.634982271628178	6.03270927735954	119.363404153617	7.03485993732093e-10	6.12357500390182e-7	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr11	33190000	33200000	33195000	10000	chr11	33290000	33300000	33295000	10000	100000	<100kb	TRUE	13398	3588	13398	86410	27140	27140	TRUE	TRUE	Polycomb	FALSE	TRUE	TRUE	Active_Enhancer	FALSE	Polycomb-Active_Enhancer	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_9525	chr11	33170000	33180000	chr11	33430000	33440000	chr11:33170000-33180000_chr11:33430000-33440000	FALSE	-0.474921894182388	5.36310260940249	45.4400352980409	1.47808221417973e-6	1.055846302426e-4	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	3	TRUE	chr11	33170000	33180000	33175000	10000	chr11	33430000	33440000	33435000	10000	260000	100-500kb	TRUE	6568	6793	17878	73745	18148	66011	FALSE	FALSE	Other	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Poised_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_20643	chr11	33170000	33180000	chr11	33290000	33300000	chr11:33170000-33180000_chr11:33290000-33300000	TRUE	-0.576485630207349	5.59691549513966	68.9838516053011	6.52058508466117e-8	1.34158074214592e-5	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr11	33170000	33180000	33175000	10000	chr11	33290000	33300000	33295000	10000	120000	100-500kb	TRUE	6568	6793	13398	86410	18148	27140	FALSE	FALSE	Other	FALSE	TRUE	TRUE	Active_Enhancer	FALSE	Active_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_9643	chr11	96270000	96280000	chr11	96860000	96870000	chr11:96270000-96280000_chr11:96860000-96870000	FALSE	-0.328236301640602	4.6071984660089	22.2224729196332	1.331478097178e-4	0.0025970618356423	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr11	96270000	96280000	96275000	10000	chr11	96860000	96870000	96865000	10000	590000	500kb-1Mb	TRUE	5315	0	15216	9606	15417	387170	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Repressed_Promoter-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_8612	chr12	74330000	74335000	chr12	75390000	75395000	chr12:74330000-74335000_chr12:75390000-75395000	TRUE	-0.594643010855201	5.70058698948588	26.3397472224334	8.96804697477756e-5	0.0039647053810923	TRUE	TRUE	moderate_differential	down_in_mutant	NA	5000	5	1	FALSE	chr12	74330000	74335000	74332500	5000	chr12	75390000	75395000	75392500	5000	1060000	>1Mb	TRUE	15179	33331	8997	21780	386753	217674	FALSE	TRUE	Polycomb	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_8665	chr12	26310000	26315000	chr12	26415000	26420000	chr12:26310000-26315000_chr12:26415000-26420000	FALSE	-0.308647184160387	5.61303753941753	15.9211283807432	9.884831285278e-4	0.018117747923249	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr12	26310000	26315000	26312500	5000	chr12	26415000	26420000	26417500	5000	105000	100-500kb	TRUE	22768	31716	2715	0	75243	108089	FALSE	FALSE	Other	FALSE	TRUE	FALSE	Active_Promoter	TRUE	Active_Promoter-Other	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	shared
loop_11207	chr15	68930000	68940000	chr15	70920000	70930000	chr15:68930000-68940000_chr15:70920000-70930000	TRUE	-0.447798242365314	4.20317914356283	21.1755396916338	1.728364049506e-4	0.0031180078591711	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr15	68930000	68940000	68935000	10000	chr15	70920000	70930000	70925000	10000	1990000	>1Mb	TRUE	4558	1579	20537	797837	13992	70363	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	FALSE	Other	FALSE	Repressed_Promoter-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_11397	chr16	85800000	85810000	chr16	87240000	87250000	chr16:85800000-85810000_chr16:87240000-87250000	FALSE	-0.326082077989586	5.04856873606419	25.9751023666604	5.51373671641262e-5	0.0013719508045915	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr16	85800000	85810000	85805000	10000	chr16	87240000	87250000	87245000	10000	1440000	>1Mb	TRUE	3228	0	19306	104184	11504	67768	TRUE	TRUE	Bivalent_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Bivalent_Promoter-Poised_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	shared
loop_11387	chr16	42830000	42840000	chr16	43590000	43600000	chr16:42830000-42840000_chr16:43590000-43600000	FALSE	-0.608249329950787	4.56206767687716	63.9969457335614	1.16960057686707e-7	1.93214600406245e-5	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr16	42830000	42840000	42835000	10000	chr16	43590000	43600000	43595000	10000	760000	500kb-1Mb	TRUE	22999	35761	535	40654	75722	100124467	FALSE	FALSE	Other	FALSE	TRUE	TRUE	Active_Enhancer	FALSE	Active_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_11417	chr16	72650000	72660000	chr16	72970000	72980000	chr16:72650000-72660000_chr16:72970000-72980000	FALSE	-0.365190906649119	5.90242006065632	50.4312888228672	6.99355234255453e-7	6.39627325194926e-5	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	3	TRUE	chr16	72650000	72660000	72655000	10000	chr16	72970000	72980000	72975000	10000	320000	100-500kb	TRUE	7473	341693	7473	661693	19876	19876	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_10091	chr1	53905000	53910000	chr1	54380000	54385000	chr1:53905000-53910000_chr1:54380000-54385000	FALSE	-0.384995817076615	5.89593359690563	25.2229903274726	1.123998128604e-4	0.0045521924208484	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr1	53905000	53910000	53907500	5000	chr1	54380000	54385000	54382500	5000	475000	100-500kb	TRUE	1761	55575	24451	53970	102465783	98488	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	FALSE	Other	FALSE	Poised_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_10236	chr1	42910000	42915000	chr1	43260000	43265000	chr1:42910000-42915000_chr1:43260000-43265000	TRUE	-0.430387276801821	4.73239171697743	15.3730298654009	0.0011466614965545	0.019941264053234	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr1	42910000	42915000	42912500	5000	chr1	43260000	43265000	43262500	5000	350000	100-500kb	TRUE	24224	37871	4729	63015	93690	14200	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_13452	chr19	57650000	57660000	chr19	58460000	58470000	chr19:57650000-57660000_chr19:58460000-58470000	FALSE	-0.400584554140218	4.94471383948233	34.7115936491709	9.2103721934316e-6	3.755840423094e-4	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr19	57650000	57660000	57655000	10000	chr19	58460000	58470000	58465000	10000	810000	500kb-1Mb	TRUE	9830	38965	4929	4090	226255	14585	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
