anchor_id	chr	start	end	n_lost_loops	n_gained_loops	n_total_loops
shared_136	chr5	128500000	128530000	1	1	2
shared_137	chr5	131525000	131550000	2	1	3
shared_138	chr5	131750000	131775000	1	1	2
shared_139	chr5	133775000	133800000	2	1	3
shared_140	chr6	13825000	13850000	2	1	3
shared_141	chr6	32300000	32350000	2	1	3
shared_142	chr6	51150000	51200000	9	2	11
shared_143	chr6	51845000	51875000	3	1	4
shared_144	chr6	52200000	52280000	7	5	12
shared_145	chr6	52300000	52330000	3	1	4
shared_146	chr6	83690000	83725000	3	1	4
shared_147	chr6	114925000	114940000	1	1	2
shared_148	chr6	124250000	124275000	1	1	2
shared_149	chr6	124370000	124400000	1	1	2
shared_150	chr6	124640000	124645000	1	1	2
shared_151	chr6	124650000	124675000	1	1	2
shared_152	chr6	125620000	125625000	1	1	2
shared_153	chr7	55700000	55725000	2	1	3
shared_154	chr7	69475000	69500000	1	2	3
shared_155	chr7	70325000	70375000	1	5	6
shared_156	chr7	71860000	71870000	1	1	2
shared_157	chr7	73650000	73675000	1	4	5
shared_158	chr7	118100000	118130000	1	1	2
shared_159	chr7	118295000	118325000	2	4	6
shared_160	chr7	131525000	131560000	2	3	5
shared_161	chr7	134325000	134350000	1	7	8
shared_162	chr7	137300000	137330000	2	7	9
shared_163	chr7	144250000	144280000	2	1	3
shared_164	chr10	29525000	29550000	1	1	2
shared_165	chr10	53300000	53350000	1	3	4
shared_166	chr10	64075000	64100000	1	3	4
shared_167	chr10	74200000	74210000	1	1	2
shared_168	chr10	87020000	87030000	1	1	2
shared_169	chr10	105570000	105580000	1	1	2
shared_170	chr10	108425000	108475000	2	4	6
shared_171	chr10	108725000	108750000	1	3	4
shared_172	chr10	109475000	109500000	1	2	3
shared_173	chr10	109850000	109875000	3	1	4
shared_174	chr8	4580000	4590000	1	1	2
shared_175	chr8	14725000	14750000	1	2	3
shared_176	chr8	15220000	15230000	1	1	2
shared_177	chr8	17525000	17550000	1	3	4
shared_178	chr8	27650000	27700000	3	2	5
shared_179	chr8	47850000	47875000	1	1	2
shared_180	chr8	48200000	48250000	5	2	7
shared_181	chr8	50275000	50300000	2	1	3
shared_182	chr8	108875000	108910000	1	1	2
shared_183	chr12	9050000	9075000	1	1	2
shared_184	chr12	26300000	26325000	1	1	2
shared_185	chr12	40200000	40250000	3	2	5
shared_186	chr12	52000000	52015000	1	1	2
shared_187	chr12	74330000	74340000	1	1	2
shared_188	chr12	75370000	75380000	1	4	5
shared_189	chr12	75390000	75400000	1	4	5
shared_190	chr12	91775000	91800000	3	1	4
shared_191	chr12	104925000	104960000	3	4	7
shared_192	chr1	25825000	25850000	1	1	2
shared_193	chr1	42675000	42725000	1	4	5
shared_194	chr1	43260000	43270000	1	1	2
shared_195	chr1	52075000	52125000	4	1	5
shared_196	chr1	53905000	53910000	1	1	2
shared_197	chr1	56950000	57000000	3	1	4
shared_198	chr1	65170000	65200000	2	1	3
shared_199	chr1	112450000	112460000	1	1	2
shared_200	chr1	118300000	118350000	2	1	3
shared_201	chr1	118750000	118775000	2	1	3
shared_202	chr1	126675000	126700000	1	1	2
shared_203	chr1	138825000	138850000	1	1	2
shared_204	chr1	151075000	151100000	1	1	2
shared_205	chr1	151700000	151725000	1	1	2
shared_206	chr1	169450000	169475000	1	1	2
shared_207	chr1	169910000	169920000	1	1	2
shared_208	chr1	169925000	169950000	1	2	3
shared_209	chr1	170600000	170625000	1	2	3
shared_210	chr1	170630000	170640000	1	2	3
shared_211	chr1	182530000	182540000	1	2	3
shared_212	chr1	182550000	182575000	1	2	3
