loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_overlaps	is_merged	anchor1_chr	anchor1_start	anchor1_end	anchor1_midpoint	anchor1_size	anchor2_chr	anchor2_start	anchor2_end	anchor2_midpoint	anchor2_size	loop_distance	distance_category	is_intrachromosomal	anchor1_nearest_gene_idx	anchor1_distance_to_tss	anchor2_nearest_gene_idx	anchor2_distance_to_tss	anchor1_nearest_gene	anchor2_nearest_gene	anchor1_H3K27ac_overlap	anchor1_H3K4me1_overlap	anchor1_type	anchor1_is_promoter	anchor2_H3K27ac_overlap	anchor2_H3K4me1_overlap	anchor2_type	anchor2_is_promoter	loop_type	anchor1_H3K27me3_overlap	anchor2_H3K27me3_overlap	anchor1_H3K4me3_overlap	anchor2_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor2_Bivalent_Promoter_overlap	anchor_status	anchor1_is_polycomb	anchor2_is_polycomb	polycomb_anchor_count	polycomb_status	is_polycomb_anchored
loop_8612	chr12	74330000	74335000	chr12	75390000	75395000	chr12:74330000-74335000_chr12:75390000-75395000	TRUE	-0.594643010855201	5.70058698948588	26.3397472224334	8.96804697477756e-5	0.0039647053810923	TRUE	TRUE	moderate_differential	down_in_mutant	NA	5000	5	1	FALSE	chr12	74330000	74335000	74332500	5000	chr12	75390000	75395000	75392500	5000	1060000	>1Mb	TRUE	15179	33331	8997	21780	386753	217674	FALSE	TRUE	Polycomb	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_11207	chr15	68930000	68940000	chr15	70920000	70930000	chr15:68930000-68940000_chr15:70920000-70930000	TRUE	-0.447798242365314	4.20317914356283	21.1755396916338	1.728364049506e-4	0.0031180078591711	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr15	68930000	68940000	68935000	10000	chr15	70920000	70930000	70925000	10000	1990000	>1Mb	TRUE	4558	1579	20537	797837	13992	70363	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	FALSE	Other	FALSE	Repressed_Promoter-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_14438	chr2	71540000	71550000	chr2	73270000	73280000	chr2:71540000-71550000_chr2:73270000-73280000	TRUE	-0.619192147317801	3.79423553843088	35.085809048742	8.58913129892264e-6	3.597607108867e-4	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	3	TRUE	chr2	71540000	71550000	71545000	10000	chr2	73270000	73280000	73275000	10000	1730000	>1Mb	TRUE	4326	0	14910	0	13392	381373	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Repressed_Promoter	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_11566	chr2	64965000	64970000	chr2	65120000	65125000	chr2:64965000-64970000_chr2:65120000-65125000	TRUE	0.318548175924021	5.89908679423254	17.6949151016436	6.225744221702e-4	0.0133275395946023	TRUE	TRUE	weak_differential	up_in_mutant	NA	5000	5	1	FALSE	chr2	64965000	64970000	64967500	5000	chr2	65120000	65125000	65122500	5000	155000	100-500kb	TRUE	15915	52781	15915	97217	50915	50915	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Poised_Enhancer	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	FALSE	TRUE	1	One_Polycomb	TRUE
loop_17068	chr6	51200000	51210000	chr6	52220000	52230000	chr6:51200000-51210000_chr6:52220000-52230000	FALSE	-0.501580663693141	5.15936225879337	53.2172139771812	4.71415345739185e-7	4.89406977282993e-5	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr6	51200000	51210000	51205000	10000	chr6	52220000	52230000	52225000	10000	1020000	>1Mb	TRUE	15212	59909	5305	0	387166	15404	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_13540	chr6	125620000	125625000	chr6	126165000	126170000	chr6:125620000-125625000_chr6:126165000-126170000	FALSE	-0.530984267119101	4.00791488079701	17.7494035169318	6.140850157264e-4	0.0132915675900754	TRUE	TRUE	moderate_differential	down_in_mutant	NA	5000	5	1	FALSE	chr6	125620000	125625000	125622500	5000	chr6	126165000	126170000	126167500	5000	545000	500kb-1Mb	TRUE	11665	65418	6603	0	243634	18205	FALSE	FALSE	Polycomb	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_14620	chr10	44325000	44330000	chr10	45000000	45005000	chr10:44325000-44330000_chr10:45000000-45005000	FALSE	0.55594291395587	4.82991235195767	29.6348193387652	4.76646410935383e-5	0.002670110829109	TRUE	TRUE	moderate_differential	up_in_mutant	NA	5000	5	3	TRUE	chr10	44325000	44330000	44327500	5000	chr10	45000000	45005000	45002500	5000	675000	500kb-1Mb	TRUE	769	29675	7032	62202	100316688	19072	FALSE	FALSE	Other	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Other	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	FALSE	TRUE	1	One_Polycomb	TRUE
loop_17230	chr6	49210000	49220000	chr6	51170000	51180000	chr6:49210000-49220000_chr6:51170000-51180000	FALSE	-0.786555893339439	3.86989791911585	79.779282138155	2.04741244048841e-8	5.94064594270944e-6	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	3	TRUE	chr6	49210000	49220000	49215000	10000	chr6	51170000	51180000	51175000	10000	1960000	>1Mb	TRUE	4591	0	15212	89909	140488	387166	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Polycomb	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_55	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	FALSE	-0.428342941993396	3.17557930401806	15.2401701061624	8.813633909767e-4	0.01019265010965	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr8	48220000	48230000	48225000	10000	chr8	49820000	49830000	49825000	10000	1600000	>1Mb	TRUE	14198	120907	177	538111	320685	100039954	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_16584	chr10	29525000	29550000	chr10	31300000	31325000	chr10:29525000-29550000_chr10:31300000-31325000	FALSE	-0.306188383743301	3.45269793892604	20.5521401932947	4.914861930125e-4	0.0055205591217341	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	2	TRUE	chr10	29525000	29550000	29537500	25000	chr10	31300000	31325000	31312500	25000	1775000	>1Mb	TRUE	21711	0	20270	0	72780	69692	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Other	FALSE	Repressed_Promoter-Other	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_1371	chr9	32410000	32420000	chr9	32550000	32560000	chr9:32410000-32420000_chr9:32550000-32560000	TRUE	0.396828173413121	5.07274593686092	36.094289905384	7.1325320505309e-6	3.18071522105e-4	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	1	FALSE	chr9	32410000	32420000	32415000	10000	chr9	32550000	32560000	32555000	10000	140000	100-500kb	TRUE	16732	37506	4757	7138	56379	14247	FALSE	FALSE	Polycomb	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_16947	chr11	30675000	30700000	chr11	31600000	31625000	chr11:30675000-30700000_chr11:31600000-31625000	FALSE	-0.30246535612463	3.90210742416023	15.9408492295967	0.0013851014174004	0.0111014926177343	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	2	TRUE	chr11	30675000	30700000	30687500	25000	chr11	31600000	31625000	31612500	25000	925000	500kb-1Mb	TRUE	22928	25412	20205	46884	75572	69556	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Other	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	FALSE	TRUE	1	One_Polycomb	TRUE
loop_2074	chr6	49220000	49230000	chr6	52320000	52330000	chr6:49220000-49230000_chr6:52320000-52330000	TRUE	-1.25053334219114	2.92163964819699	78.944020661126	2.229314492986e-8	6.1721781847153e-6	TRUE	TRUE	strong_differential	down_in_mutant	NA	10000	10	1	FALSE	chr6	49220000	49230000	49225000	10000	chr6	52320000	52330000	52325000	10000	3100000	>1Mb	TRUE	4591	5042	20625	5167	140488	70593	FALSE	FALSE	Polycomb	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_2117	chr7	143440000	143450000	chr7	144270000	144280000	chr7:143440000-143450000_chr7:144270000-144280000	TRUE	-0.887982533764969	2.37716823908787	25.9723851658267	5.51761659709342e-5	0.0013719508045915	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr7	143440000	143450000	143445000	10000	chr7	144270000	144280000	144275000	10000	830000	500kb-1Mb	TRUE	3910	11049	4195	191008	12577	13043	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_2415	chr9	78440000	78450000	chr9	79790000	79800000	chr9:78440000-78450000_chr9:79790000-79800000	TRUE	-0.414092441737457	3.16015726236941	13.0396657213879	0.0017439708987546001	0.016594460605586	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr9	78440000	78450000	78445000	10000	chr9	79790000	79800000	79795000	10000	1350000	>1Mb	TRUE	19626	0	22498	0	68291	74633	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Other	FALSE	Repressed_Promoter-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_2429	chr9	28200000	28210000	chr9	29790000	29800000	chr9:28200000-28210000_chr9:29790000-29800000	TRUE	-0.40831576093969	2.76859979650213	10.7308217222351	0.0037821575346126	0.0278185860654381	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr9	28200000	28210000	28205000	10000	chr9	29790000	29800000	29795000	10000	1590000	>1Mb	TRUE	14592	409052	10845	163140	330908	235106	FALSE	TRUE	Polycomb	FALSE	TRUE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_18867	chr1	118300000	118325000	chr1	118750000	118775000	chr1:118300000-118325000_chr1:118750000-118775000	TRUE	-0.354083228206352	3.98508313060455	24.3212042227644	2.339529166315e-4	0.0033025408951208	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	2	TRUE	chr1	118300000	118325000	118312500	25000	chr1	118750000	118775000	118762500	25000	450000	100-500kb	TRUE	19435	0	24092	122054	67949	81879	FALSE	TRUE	Active_Promoter	TRUE	FALSE	FALSE	Polycomb	FALSE	Active_Promoter-Polycomb	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	shared	FALSE	TRUE	1	One_Polycomb	TRUE
loop_3233	chr2	73770000	73780000	chr2	74660000	74670000	chr2:73770000-73780000_chr2:74660000-74670000	TRUE	-0.678173305988614	3.84248181549563	45.6510182773708	1.43042109945562e-6	1.054504570777e-4	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr2	73770000	73780000	73775000	10000	chr2	74660000	74670000	74665000	10000	890000	500kb-1Mb	TRUE	2779	0	5327	0	108699	15433	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Repressed_Promoter	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_3486	chr4	98720000	98730000	chr4	99180000	99190000	chr4:98720000-98730000_chr4:99180000-99190000	TRUE	-0.516656936673203	3.59084810943122	25.6549511546458	5.92658083658695e-5	0.0014360854121374	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr4	98720000	98730000	98725000	10000	chr4	99180000	99190000	99185000	10000	460000	100-500kb	TRUE	14954	0	11574	3933	381591	242557	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Repressed_Promoter-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_3494	chr4	45750000	45760000	chr4	47290000	47300000	chr4:45750000-45760000_chr4:47290000-47300000	FALSE	-0.895790040121369	1.98169729799671	30.2923848646748	2.18698292787205e-5	7.121697499798e-4	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr4	45750000	45760000	45755000	10000	chr4	47290000	47300000	47295000	10000	1540000	>1Mb	TRUE	205	4222	9063	53221	100040567	21812	TRUE	TRUE	Polycomb	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_3604	chr5	77800000	77810000	chr5	83480000	83490000	chr5:77800000-77810000_chr5:83480000-83490000	TRUE	-0.701613968344608	2.4256978864367	14.5974906884804	0.0010703727060892	0.0117881630580104	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr5	77800000	77810000	77805000	10000	chr5	83480000	83490000	83485000	10000	5680000	>1Mb	TRUE	20113	334511	11624	124804	69370	243078	FALSE	TRUE	Polycomb	FALSE	FALSE	FALSE	Other	FALSE	Polycomb-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_5330	chr12	103990000	104000000	chr12	104940000	104950000	chr12:103990000-104000000_chr12:104940000-104950000	TRUE	-0.626124594702622	2.96610155434315	28.094456878209	3.46372718921401e-5	0.0010024433982901	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr12	103990000	104000000	103995000	10000	chr12	104940000	104950000	104945000	10000	950000	500kb-1Mb	TRUE	14812	0	8373	59808	380780	212073	FALSE	FALSE	Repressed_Promoter	FALSE	FALSE	TRUE	Polycomb	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_19910	chr2	166075000	166100000	chr2	166775000	166800000	chr2:166075000-166100000_chr2:166775000-166800000	TRUE	0.457314092963057	5.11966376000051	77.3563388012938	5.19185608501493e-7	8.149382178209e-5	TRUE	TRUE	weak_differential	up_in_mutant	NA	25000	25	2	TRUE	chr2	166075000	166100000	166087500	25000	chr2	166775000	166800000	166787500	25000	700000	500kb-1Mb	TRUE	21243	55662	23201	0	72043	76367	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Other	FALSE	Polycomb-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_8657	chr14	21975000	22000000	chr14	23400000	23425000	chr14:21975000-22000000_chr14:23400000-23425000	FALSE	-0.321161478330543	3.97266147650772	25.7192932805555	1.81137406598e-4	0.0027855448445117	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	2	TRUE	chr14	21975000	22000000	21987500	25000	chr14	23400000	23425000	23412500	25000	1425000	>1Mb	TRUE	9154	0	23946	305428	218820	791307	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	FALSE	Other	FALSE	Repressed_Promoter-Other	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_8398	chr14	34810000	34820000	chr14	37030000	37040000	chr14:34810000-34820000_chr14:37030000-37040000	TRUE	-0.439822316754768	2.65887466146768	11.2745572152093	0.0031331885043921	0.0246139657833455	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr14	34810000	34820000	34815000	10000	chr14	37030000	37040000	37035000	10000	2220000	>1Mb	TRUE	5074	107	17077	8963	14803	57811	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Repressed_Promoter-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_9850	chr11	63210000	63220000	chr11	64440000	64450000	chr11:63210000-63220000_chr11:64440000-64450000	FALSE	-0.366493291042093	3.4088005149052	10.9654202434733	0.0034854252261266	0.0263489793348479	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr11	63210000	63220000	63215000	10000	chr11	64440000	64450000	64445000	10000	1230000	>1Mb	TRUE	6956	81017	5353	4667	18858	15478	FALSE	FALSE	Other	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Other	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	FALSE	TRUE	1	One_Polycomb	TRUE
loop_250	chr11	24050000	24075000	chr11	26950000	26975000	chr11:24050000-24075000_chr11:26950000-26975000	FALSE	-0.365233233386459	4.24456279032289	21.4478404929917	4.089051706581e-4	0.004891992768965	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	2	TRUE	chr11	24050000	24075000	24062500	25000	chr11	26950000	26975000	26962500	25000	2900000	>1Mb	TRUE	4572	3055	20383	356000	14025	69922	FALSE	TRUE	Polycomb	FALSE	FALSE	FALSE	Other	FALSE	Polycomb-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_10326	chr13	107320000	107330000	chr13	108330000	108340000	chr13:107320000-107330000_chr13:108330000-108340000	FALSE	-0.444453811013424	3.74791340744515	21.4329478244995	1.619933146214e-4	0.0029855315118172	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr13	107320000	107330000	107325000	10000	chr13	108330000	108340000	108335000	10000	1010000	>1Mb	TRUE	2395	139821	9132	13667	105120	218581	FALSE	TRUE	Polycomb	FALSE	FALSE	FALSE	Other	FALSE	Polycomb-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_12708	chr1	167940000	167950000	chr1	169450000	169460000	chr1:167940000-167950000_chr1:169450000-169460000	FALSE	-0.301785182800561	4.54923740492314	15.0885643228738	9.223550455786e-4	0.0105109463200084	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr1	167940000	167950000	167945000	10000	chr1	169450000	169460000	169455000	10000	1510000	>1Mb	TRUE	3006	250762	18736	71463	110648	66977	FALSE	FALSE	Polycomb	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
