chr	start	end	ATAC.mut_ATAC.tagAlign.bgz.readCount	ATAC.mut_ATAC.tagAlign.bgz.RPM	ATAC.mut_ATAC.tagAlign.bgz.readCount.quantile	ATAC.mut_ATAC.tagAlign.bgz.RPM.quantile	ATAC.mut_ATAC.tagAlign.bgz.RPKM	ATAC.mut_ATAC.tagAlign.bgz.RPKM.quantile	ATAC.RPM	ATAC.RPM.quantile	ATAC.RPKM	ATAC.RPKM.quantile	class	isPromoterElement	isGenicElement	isIntergenicElement	promoterSymbol	genicSymbol	name	normalized_atac	activity_base	activity_base_no_qnorm
chr1	3671781	3672281	2106	9.229145	0.836311	0.836311	18.458291	0.853020	9.229145	0.836311	18.458291	0.853020	promoter	True	False	False	Xkr4		promoter|chr1:3671781-3672281	9.229145	9.229145	9.229145
chr1	3985965	3986465	0	0.000000	0.005922	0.005922	0.000000	0.005922	0.000000	0.005922	0.000000	0.005922	promoter	True	False	False	Gm37381	Gm37381	promoter|chr1:3985965-3986465	0.000000	0.000000	0.000000
chr1	4332350	4332850	581	2.546122	0.569109	0.569109	5.092245	0.583309	2.546122	0.569109	5.092245	0.583309	genic	False	True	False		Rp1	genic|chr1:4332350-4332850	2.546122	2.546122	2.546122
chr1	4408991	4409491	38	0.166528	0.081768	0.081768	0.333056	0.082045	0.166528	0.081768	0.333056	0.082045	promoter	True	False	False	Rp1	Rp1	promoter|chr1:4408991-4409491	0.166528	0.166528	0.166528
chr1	4496300	4496800	89	0.390026	0.146260	0.146260	0.780051	0.146791	0.390026	0.146260	0.780051	0.146791	promoter	True	False	False	Gm37587	Sox17,Gm37587	promoter|chr1:4496300-4496800	0.390026	0.390026	0.390026
chr1	4497104	4497604	120	0.525877	0.165248	0.165248	1.051754	0.165850	0.525877	0.165248	1.051754	0.165850	promoter	True	False	False	Sox17	Sox17,Gm37587	promoter|chr1:4497104-4497604	0.525877	0.525877	0.525877
chr1	4571624	4572124	706	3.093911	0.620505	0.620505	6.187822	0.636352	3.093911	0.620505	6.187822	0.636352	intergenic	False	False	True			intergenic|chr1:4571624-4572124	3.093911	3.093911	3.093911
chr1	4586002	4586502	0	0.000000	0.005922	0.005922	0.000000	0.005922	0.000000	0.005922	0.000000	0.005922	promoter	True	False	False	Gm37323	Gm37323	promoter|chr1:4586002-4586502	0.000000	0.000000	0.000000
chr1	4722560	4723060	178	0.780051	0.214950	0.214950	1.560102	0.217093	0.780051	0.214950	1.560102	0.217093	intergenic	False	False	True			intergenic|chr1:4722560-4723060	0.780051	0.780051	0.780051
chr1	4785476	4785989	1679	7.357899	0.802273	0.802273	14.342883	0.814690	7.357899	0.802273	14.342883	0.814690	promoter	True	False	False	Mrpl15	Mrpl15	promoter|chr1:4785476-4785989	7.357899	7.357899	7.357899
chr1	4807537	4808141	4571	20.031540	0.927000	0.927000	33.164802	0.922548	20.031540	0.927000	33.164802	0.922548	promoter	True	False	False	Lypla1,Gm37988	Lypla1,Gm37988	promoter|chr1:4807537-4808141	20.031540	20.031540	20.031540
chr1	4857398	4858063	10979	48.113384	0.983362	0.983362	72.350954	0.977588	48.113384	0.983362	72.350954	0.977588	promoter	True	False	False	Tcea1	Tcea1,Gm37988	promoter|chr1:4857398-4858063	48.113384	48.113384	48.113384
chr1	4970532	4971032	514	2.252507	0.534664	0.534664	4.505015	0.548610	2.252507	0.534664	4.505015	0.548610	genic	False	True	False		Rgs20	genic|chr1:4970532-4971032	2.252507	2.252507	2.252507
chr1	5019184	5019684	1393	6.104558	0.770384	0.770384	12.209116	0.786550	6.104558	0.770384	12.209116	0.786550	genic	False	True	False		Rgs20	genic|chr1:5019184-5019684	6.104558	6.104558	6.104558
chr1	5022792	5023292	1349	5.911737	0.764291	0.764291	11.823473	0.780610	5.911737	0.764291	11.823473	0.780610	genic	False	True	False		Rgs20	genic|chr1:5022792-5023292	5.911737	5.911737	5.911737
chr1	5069767	5070660	366	1.603926	0.431700	0.431700	1.796109	0.251036	1.603926	0.431700	1.796109	0.251036	promoter	True	False	False	Rgs20,Atp6v1h	Rgs20,Atp6v1h	promoter|chr1:5069767-5070660	1.603926	1.603926	1.603926
chr1	5072263	5072763	140	0.613523	0.178827	0.178827	1.227047	0.179766	0.613523	0.178827	1.227047	0.179766	genic	False	True	False		Atp6v1h	genic|chr1:5072263-5072763	0.613523	0.613523	0.613523
chr1	5082974	5083474	1907	8.357066	0.821899	0.821899	16.714131	0.838507	8.357066	0.821899	16.714131	0.838507	genic	False	True	False		Atp6v1h	genic|chr1:5082974-5083474	8.357066	8.357066	8.357066
chr1	5588215	5588715	261	1.143783	0.322708	0.322708	2.287566	0.329899	1.143783	0.322708	2.287566	0.329899	promoter	True	False	False	Oprk1	Oprk1	promoter|chr1:5588215-5588715	1.143783	1.143783	1.143783
chr1	5915247	5915747	109	0.477672	0.158942	0.158942	0.955344	0.159568	0.477672	0.158942	0.955344	0.159568	genic	False	True	False		Npbwr1	genic|chr1:5915247-5915747	0.477672	0.477672	0.477672
chr1	5917148	5917648	102	0.446996	0.154614	0.154614	0.893991	0.155216	0.446996	0.154614	0.893991	0.155216	promoter	True	False	False	Npbwr1	Npbwr1	promoter|chr1:5917148-5917648	0.446996	0.446996	0.446996
chr1	6205946	6206446	0	0.000000	0.005922	0.005922	0.000000	0.005922	0.000000	0.005922	0.000000	0.005922	promoter	True	False	False	Rb1cc1	Rb1cc1	promoter|chr1:6205946-6206446	0.000000	0.000000	0.000000
chr1	6214488	6214988	5316	23.296361	0.940220	0.940220	46.592723	0.951591	23.296361	0.940220	46.592723	0.951591	genic	False	True	False		Rb1cc1	genic|chr1:6214488-6214988	23.296361	23.296361	23.296361
chr1	6272183	6272683	345	1.511897	0.413344	0.413344	3.023794	0.424449	1.511897	0.413344	3.023794	0.424449	genic	False	True	False		Rb1cc1	genic|chr1:6272183-6272683	1.511897	1.511897	1.511897
chr1	6289676	6290176	117	0.512730	0.163417	0.163417	1.025461	0.163943	0.512730	0.163417	1.025461	0.163943	intergenic	False	False	True			intergenic|chr1:6289676-6290176	0.512730	0.512730	0.512730
chr1	6306566	6307066	251	1.099960	0.310445	0.310445	2.199920	0.317046	1.099960	0.310445	2.199920	0.317046	intergenic	False	False	True			intergenic|chr1:6306566-6307066	1.099960	1.099960	1.099960
chr1	6320499	6320999	210	0.920285	0.255240	0.255240	1.840570	0.259160	0.920285	0.255240	1.840570	0.259160	intergenic	False	False	True			intergenic|chr1:6320499-6320999	0.920285	0.920285	0.920285
chr1	6358967	6359643	315	1.380428	0.384312	0.384312	2.042053	0.291539	1.380428	0.384312	2.042053	0.291539	promoter	True	False	False	Alkal1	Alkal1	promoter|chr1:6358967-6359643	1.380428	1.380428	1.380428
chr1	6382624	6383124	510	2.234978	0.532503	0.532503	4.469956	0.546478	2.234978	0.532503	4.469956	0.546478	genic	False	True	False		Alkal1	genic|chr1:6382624-6383124	2.234978	2.234978	2.234978
chr1	6416890	6417390	233	1.021078	0.286704	0.286704	2.042157	0.292136	1.021078	0.286704	2.042157	0.292136	intergenic	False	False	True			intergenic|chr1:6416890-6417390	1.021078	1.021078	1.021078
chr1	6441028	6441833	1482	6.494584	0.781597	0.781597	8.067806	0.701718	6.494584	0.781597	8.067806	0.701718	intergenic	False	False	True			intergenic|chr1:6441028-6441833	6.494584	6.494584	6.494584
chr1	6486980	6487480	231	1.012314	0.283946	0.283946	2.024627	0.289248	1.012314	0.283946	2.024627	0.289248	promoter	True	False	False	St18	St18	promoter|chr1:6486980-6487480	1.012314	1.012314	1.012314
chr1	6510430	6510930	946	4.145666	0.692171	0.692171	8.291331	0.708213	4.145666	0.692171	8.291331	0.708213	genic	False	True	False		St18	genic|chr1:6510430-6510930	4.145666	4.145666	4.145666
chr1	6594366	6594866	155	0.679258	0.191185	0.191185	1.358516	0.192537	0.679258	0.191185	1.358516	0.192537	genic	False	True	False		St18	genic|chr1:6594366-6594866	0.679258	0.679258	0.679258
chr1	6729456	6729956	1477	6.472672	0.781118	0.781118	12.945345	0.797036	6.472672	0.781118	12.945345	0.797036	genic	False	True	False		St18	genic|chr1:6729456-6729956	6.472672	6.472672	6.472672
chr1	6733767	6734267	967	4.237694	0.697007	0.697007	8.475388	0.713143	4.237694	0.697007	8.475388	0.713143	genic	False	True	False		St18	genic|chr1:6733767-6734267	4.237694	4.237694	4.237694
chr1	6734690	6735190	562	2.462858	0.559692	0.559692	4.925717	0.573803	2.462858	0.559692	4.925717	0.573803	genic	False	True	False		St18	genic|chr1:6734690-6735190	2.462858	2.462858	2.462858
chr1	6739148	6739648	231	1.012314	0.283946	0.283946	2.024627	0.289248	1.012314	0.283946	2.024627	0.289248	genic	False	True	False		St18	genic|chr1:6739148-6739648	1.012314	1.012314	1.012314
chr1	6741365	6741865	119	0.521495	0.164651	0.164651	1.042990	0.165206	0.521495	0.164651	1.042990	0.165206	genic	False	True	False		St18	genic|chr1:6741365-6741865	0.521495	0.521495	0.521495
chr1	6760481	6760981	460	2.015863	0.502179	0.502179	4.031725	0.515510	2.015863	0.502179	4.031725	0.515510	genic	False	True	False		St18	genic|chr1:6760481-6760981	2.015863	2.015863	2.015863
chr1	6761287	6761787	219	0.959726	0.267255	0.267255	1.919452	0.271961	0.959726	0.267255	1.919452	0.271961	genic	False	True	False		St18	genic|chr1:6761287-6761787	0.959726	0.959726	0.959726
chr1	6769907	6770407	709	3.107058	0.621533	0.621533	6.214116	0.637397	3.107058	0.621533	6.214116	0.637397	genic	False	True	False		St18	genic|chr1:6769907-6770407	3.107058	3.107058	3.107058
chr1	6783954	6784454	701	3.071999	0.618740	0.618740	6.143999	0.634522	3.071999	0.618740	6.143999	0.634522	genic	False	True	False		St18	genic|chr1:6783954-6784454	3.071999	3.071999	3.071999
chr1	6805167	6805667	395	1.731013	0.455884	0.455884	3.462025	0.468330	1.731013	0.455884	3.462025	0.468330	genic	False	True	False		St18	genic|chr1:6805167-6805667	1.731013	1.731013	1.731013
chr1	6819839	6820339	8259	36.193500	0.970337	0.970337	72.387001	0.977611	36.193500	0.970337	72.387001	0.977611	genic	False	True	False		St18	genic|chr1:6819839-6820339	36.193500	36.193500	36.193500
chr1	6820863	6821363	2198	9.632318	0.842174	0.842174	19.264636	0.858971	9.632318	0.842174	19.264636	0.858971	genic	False	True	False		St18	genic|chr1:6820863-6821363	9.632318	9.632318	9.632318
chr1	6825456	6825956	312	1.367281	0.381012	0.381012	2.734562	0.390872	1.367281	0.381012	2.734562	0.390872	genic	False	True	False		St18	genic|chr1:6825456-6825956	1.367281	1.367281	1.367281
chr1	6858948	6859448	385	1.687189	0.447517	0.447517	3.374379	0.460117	1.687189	0.447517	3.374379	0.460117	genic	False	True	False		St18	genic|chr1:6858948-6859448	1.687189	1.687189	1.687189
chr1	6866862	6867362	692	3.032559	0.615257	0.615257	6.065117	0.631062	3.032559	0.615257	6.065117	0.631062	intergenic	False	False	True			intergenic|chr1:6866862-6867362	3.032559	3.032559	3.032559
chr1	7088622	7089169	21630	94.789371	0.997792	0.997792	173.289526	0.998618	94.789371	0.997792	173.289526	0.998618	promoter	True	False	False	Pcmtd1	Pcmtd1	promoter|chr1:7088622-7089169	94.789371	94.789371	94.789371
chr1	7095316	7095816	385	1.687189	0.447517	0.447517	3.374379	0.460117	1.687189	0.447517	3.374379	0.460117	genic	False	True	False		Pcmtd1	genic|chr1:7095316-7095816	1.687189	1.687189	1.687189
chr1	7397619	7398279	15507	67.956485	0.993057	0.993057	102.964371	0.990636	67.956485	0.993057	102.964371	0.990636	promoter	True	False	False	Gm26901	Gm26901	promoter|chr1:7397619-7398279	67.956485	67.956485	67.956485
chr1	7497717	7498217	16	0.070117	0.034569	0.034569	0.140234	0.034593	0.070117	0.034569	0.140234	0.034593	promoter	True	False	False	Gm30414	Gm30414	promoter|chr1:7497717-7498217	0.070117	0.070117	0.070117
chr1	9248422	9248922	205	0.898374	0.248114	0.248114	1.796747	0.251703	0.898374	0.248114	1.796747	0.251703	genic	False	True	False		Sntg1	genic|chr1:9248422-9248922	0.898374	0.898374	0.898374
chr1	9299187	9300128	1324	5.802179	0.761020	0.761020	6.165971	0.635520	5.802179	0.761020	6.165971	0.635520	promoter	True	False	False	Sntg1	Sntg1	promoter|chr1:9299187-9300128	5.802179	5.802179	5.802179
chr1	9545068	9545657	11738	51.439558	0.985641	0.985641	87.333714	0.985417	51.439558	0.985641	87.333714	0.985417	promoter	True	False	False	Rrs1	Rrs1	promoter|chr1:9545068-9545657	51.439558	51.439558	51.439558
chr1	9547697	9548197	192	0.841404	0.231452	0.231452	1.682807	0.234422	0.841404	0.231452	1.682807	0.234422	promoter	True	False	False	Adhfe1	Adhfe1	promoter|chr1:9547697-9548197	0.841404	0.841404	0.841404
chr1	9564430	9564930	269	1.178841	0.333294	0.333294	2.357683	0.340840	1.178841	0.333294	2.357683	0.340840	genic	False	True	False		Adhfe1,2610203C22Rik	genic|chr1:9564430-9564930	1.178841	1.178841	1.178841
chr1	9573189	9573689	346	1.516279	0.414247	0.414247	3.032559	0.425441	1.516279	0.414247	3.032559	0.425441	genic	False	True	False		Adhfe1,2610203C22Rik	genic|chr1:9573189-9573689	1.516279	1.516279	1.516279
chr1	9600948	9601750	273	1.196371	0.337970	0.337970	1.491734	0.208632	1.196371	0.337970	1.491734	0.208632	promoter	True	False	False	Vxn	Vxn,2610203C22Rik	promoter|chr1:9600948-9601750	1.196371	1.196371	1.196371
chr1	9611548	9612048	152	0.666111	0.188499	0.188499	1.332222	0.189721	0.666111	0.188499	1.332222	0.189721	genic	False	True	False		Vxn,2610203C22Rik	genic|chr1:9611548-9612048	0.666111	0.666111	0.666111
chr1	9621344	9621844	305	1.336605	0.373378	0.373378	2.673209	0.382766	1.336605	0.373378	2.673209	0.382766	genic	False	True	False		Vxn,2610203C22Rik	genic|chr1:9621344-9621844	1.336605	1.336605	1.336605
chr1	9622481	9622981	213	0.933432	0.259426	0.259426	1.866864	0.263624	0.933432	0.259426	1.866864	0.263624	genic	False	True	False		Vxn,2610203C22Rik	genic|chr1:9622481-9622981	0.933432	0.933432	0.933432
chr1	9630046	9630546	7382	32.350214	0.963606	0.963606	64.700429	0.971801	32.350214	0.963606	64.700429	0.971801	genic	False	True	False		2610203C22Rik	genic|chr1:9630046-9630546	32.350214	32.350214	32.350214
chr1	9630925	9631425	149	0.652964	0.185706	0.185706	1.305928	0.186792	0.652964	0.185706	1.305928	0.186792	promoter	True	False	False	2610203C22Rik	2610203C22Rik	promoter|chr1:9630925-9631425	0.652964	0.652964	0.652964
chr1	9631456	9631956	907	3.974755	0.682258	0.682258	7.949511	0.698400	3.974755	0.682258	7.949511	0.698400	promoter	True	False	False	2610203C22Rik		promoter|chr1:9631456-9631956	3.974755	3.974755	3.974755
chr1	9640332	9640832	37	0.162145	0.079743	0.079743	0.324291	0.079996	0.162145	0.079743	0.324291	0.079996	promoter	True	False	False	Gm29520	Gm29520	promoter|chr1:9640332-9640832	0.162145	0.162145	0.162145
chr1	9648727	9649664	1272	5.574299	0.753162	0.753162	5.949091	0.625140	5.574299	0.753162	5.949091	0.625140	intergenic	False	False	True			intergenic|chr1:9648727-9649664	5.574299	5.574299	5.574299
chr1	9658886	9659386	151	0.661729	0.187583	0.187583	1.323458	0.188788	0.661729	0.187583	1.323458	0.188788	intergenic	False	False	True			intergenic|chr1:9658886-9659386	0.661729	0.661729	0.661729
chr1	9699718	9700974	1957	8.576181	0.825678	0.825678	6.828170	0.661711	8.576181	0.825678	6.828170	0.661711	promoter	True	False	False	Mybl1	Mybl1	promoter|chr1:9699718-9700974	8.576181	8.576181	8.576181
chr1	9748132	9748715	10820	47.416597	0.982872	0.982872	81.332070	0.982842	47.416597	0.982872	81.332070	0.982842	promoter	True	False	False	Vcpip1	Vcpip1	promoter|chr1:9748132-9748715	47.416597	47.416597	47.416597
chr1	9772701	9773201	937	4.106225	0.690211	0.690211	8.212449	0.706070	4.106225	0.690211	8.212449	0.706070	intergenic	False	False	True			intergenic|chr1:9772701-9773201	4.106225	4.106225	4.106225
chr1	9797692	9798356	610	2.673209	0.582299	0.582299	4.025918	0.515109	2.673209	0.582299	4.025918	0.515109	promoter	True	False	False	Sgk3	Sgk3	promoter|chr1:9797692-9798356	2.673209	2.673209	2.673209
chr1	9848051	9848551	370	1.621455	0.434941	0.434941	3.242910	0.446927	1.621455	0.434941	3.242910	0.446927	genic	False	True	False		Sgk3	genic|chr1:9848051-9848551	1.621455	1.621455	1.621455
chr1	9874229	9874729	93	0.407555	0.148964	0.148964	0.815110	0.149507	0.407555	0.148964	0.815110	0.149507	genic	False	True	False		Sgk3	genic|chr1:9874229-9874729	0.407555	0.407555	0.407555
chr1	9908387	9908905	387	1.695954	0.449194	0.449194	3.274043	0.450021	1.695954	0.449194	3.274043	0.450021	promoter	True	False	False	Mcmdc2	Mcmdc2	promoter|chr1:9908387-9908905	1.695954	1.695954	1.695954
chr1	9943826	9944368	5882	25.776749	0.948066	0.948066	47.558577	0.952743	25.776749	0.948066	47.558577	0.952743	promoter	True	False	False	Snhg6	Snhg6	promoter|chr1:9943826-9944368	25.776749	25.776749	25.776749
chr1	9967682	9968182	165	0.723081	0.201287	0.201287	1.446162	0.202828	0.723081	0.201287	1.446162	0.202828	promoter	True	False	False	Tcf24	Tcf24	promoter|chr1:9967682-9968182	0.723081	0.723081	0.723081
chr1	10008886	10009413	265	1.161312	0.327992	0.327992	2.203628	0.317648	1.161312	0.327992	2.203628	0.317648	promoter	True	False	False	Ppp1r42	Ppp1r42	promoter|chr1:10008886-10009413	1.161312	1.161312	1.161312
chr1	10037736	10038418	2318	10.158195	0.849619	0.849619	14.894714	0.820523	10.158195	0.849619	14.894714	0.820523	promoter	True	False	False	Cops5,Cspp1	Cops5,Cspp1	promoter|chr1:10037736-10038418	10.158195	10.158195	10.158195
chr1	10039673	10040173	1535	6.726846	0.787613	0.787613	13.453692	0.803861	6.726846	0.787613	13.453692	0.803861	genic	False	True	False		Cspp1	genic|chr1:10039673-10040173	6.726846	6.726846	6.726846
chr1	10232420	10233360	2796	12.252939	0.873744	0.873744	13.035042	0.798111	12.252939	0.873744	13.035042	0.798111	promoter	True	False	False	Arfgef1	Arfgef1	promoter|chr1:10232420-10233360	12.252939	12.252939	12.252939
chr1	10279006	10279506	280	1.227047	0.345941	0.345941	2.454094	0.354307	1.227047	0.345941	2.454094	0.354307	intergenic	False	False	True			intergenic|chr1:10279006-10279506	1.227047	1.227047	1.227047
chr1	10719695	10720195	75	0.328673	0.135467	0.135467	0.657347	0.135868	0.328673	0.135467	0.657347	0.135868	promoter	True	False	False	Cpa6	Cpa6	promoter|chr1:10719695-10720195	0.328673	0.328673	0.328673
chr1	10990738	10991238	344	1.507515	0.412493	0.412493	3.015029	0.423540	1.507515	0.412493	3.015029	0.423540	intergenic	False	False	True			intergenic|chr1:10990738-10991238	1.507515	1.507515	1.507515
chr1	10993214	10993785	507	2.221831	0.530814	0.530814	3.891123	0.504304	2.221831	0.530814	3.891123	0.504304	promoter	True	False	False	Prex2	Prex2	promoter|chr1:10993214-10993785	2.221831	2.221831	2.221831
chr1	11090744	11091244	276	1.209518	0.341542	0.341542	2.419035	0.349590	1.209518	0.341542	2.419035	0.349590	genic	False	True	False		Prex2	genic|chr1:11090744-11091244	1.209518	1.209518	1.209518
chr1	11179492	11179992	139	0.609141	0.178001	0.178001	1.218282	0.178916	0.609141	0.178001	1.218282	0.178916	genic	False	True	False		Prex2	genic|chr1:11179492-11179992	0.609141	0.609141	0.609141
chr1	11413854	11414524	3984	17.459124	0.913473	0.913473	26.058394	0.897821	17.459124	0.913473	26.058394	0.897821	promoter	True	False	False	A830018L16Rik	A830018L16Rik	promoter|chr1:11413854-11414524	17.459124	17.459124	17.459124
chr1	11795630	11796130	171	0.749375	0.207433	0.207433	1.498750	0.209193	0.749375	0.207433	1.498750	0.209193	genic	False	True	False		A830018L16Rik	genic|chr1:11795630-11796130	0.749375	0.749375	0.749375
chr1	12571969	12572469	549	2.405888	0.553221	0.553221	4.811777	0.567172	2.405888	0.553221	4.811777	0.567172	intergenic	False	False	True			intergenic|chr1:12571969-12572469	2.405888	2.405888	2.405888
chr1	12657407	12657907	846	3.707434	0.665779	0.665779	7.414869	0.681785	3.707434	0.665779	7.414869	0.681785	intergenic	False	False	True			intergenic|chr1:12657407-12657907	3.707434	3.707434	3.707434
chr1	12667312	12667812	0	0.000000	0.005922	0.005922	0.000000	0.005922	0.000000	0.005922	0.000000	0.005922	promoter	True	False	False	Gm17644	Gm17644	promoter|chr1:12667312-12667812	0.000000	0.000000	0.000000
chr1	12670926	12671426	49	0.214733	0.102645	0.102645	0.429466	0.102952	0.214733	0.102645	0.429466	0.102952	promoter	True	False	False	Gm29663	Gm17644,Gm29663	promoter|chr1:12670926-12671426	0.214733	0.214733	0.214733
chr1	12692026	12692526	117	0.512730	0.163417	0.163417	1.025461	0.163943	0.512730	0.163417	1.025461	0.163943	promoter	True	False	False	Sulf1	Sulf1	promoter|chr1:12692026-12692526	0.512730	0.512730	0.512730
chr1	12718080	12718580	364	1.595161	0.430070	0.430070	3.190322	0.441873	1.595161	0.430070	3.190322	0.441873	genic	False	True	False		Sulf1	genic|chr1:12718080-12718580	1.595161	1.595161	1.595161
chr1	12836737	12837237	249	1.091195	0.307900	0.307900	2.182391	0.314465	1.091195	0.307900	2.182391	0.314465	genic	False	True	False		Sulf1	genic|chr1:12836737-12837237	1.091195	1.091195	1.091195
chr1	12851813	12852313	310	1.358516	0.378822	0.378822	2.717032	0.388558	1.358516	0.378822	2.717032	0.388558	genic	False	True	False		Sulf1	genic|chr1:12851813-12852313	1.358516	1.358516	1.358516
chr1	12947519	12948019	238	1.042990	0.293322	0.293322	2.085980	0.299067	1.042990	0.293322	2.085980	0.299067	genic	False	True	False		Slco5a1	genic|chr1:12947519-12948019	1.042990	1.042990	1.042990
chr1	12990137	12990637	397	1.739777	0.457407	0.457407	3.479554	0.469835	1.739777	0.457407	3.479554	0.469835	genic	False	True	False		Slco5a1	genic|chr1:12990137-12990637	1.739777	1.739777	1.739777
chr1	12992229	12992900	1310	5.740826	0.758877	0.758877	8.555628	0.715369	5.740826	0.758877	8.555628	0.715369	promoter	True	False	False	Slco5a1	Slco5a1	promoter|chr1:12992229-12992900	5.740826	5.740826	5.740826
chr1	13068587	13069087	13	0.056970	0.028777	0.028777	0.113940	0.028807	0.056970	0.028777	0.113940	0.028807	promoter	True	False	False	Gm29283	Gm29283	promoter|chr1:13068587-13069087	0.056970	0.056970	0.056970
chr1	13126913	13127413	89	0.390026	0.146260	0.146260	0.780051	0.146791	0.390026	0.146260	0.780051	0.146791	promoter	True	False	False	Prdm14	Prdm14	promoter|chr1:13126913-13127413	0.390026	0.390026	0.390026
chr1	13142306	13142806	1068	4.680307	0.718126	0.718126	9.360615	0.734557	4.680307	0.718126	9.360615	0.734557	genic	False	True	False		Ncoa2	genic|chr1:13142306-13142806	4.680307	4.680307	4.680307
chr1	13146885	13147385	864	3.786316	0.670721	0.670721	7.572632	0.686769	3.786316	0.670721	7.572632	0.686769	genic	False	True	False		Ncoa2	genic|chr1:13146885-13147385	3.786316	3.786316	3.786316
chr1	13166716	13167216	369	1.617072	0.434109	0.434109	3.234145	0.446029	1.617072	0.434109	3.234145	0.446029	genic	False	True	False		Ncoa2	genic|chr1:13166716-13167216	1.617072	1.617072	1.617072
chr1	13188394	13188894	501	2.195537	0.527384	0.527384	4.391075	0.541170	2.195537	0.527384	4.391075	0.541170	genic	False	True	False		Ncoa2	genic|chr1:13188394-13188894	2.195537	2.195537	2.195537
chr1	13196831	13197331	1095	4.798630	0.723812	0.723812	9.597259	0.740190	4.798630	0.723812	9.597259	0.740190	genic	False	True	False		Ncoa2	genic|chr1:13196831-13197331	4.798630	4.798630	4.798630
chr1	13268307	13268807	97	0.425084	0.151461	0.151461	0.850168	0.152052	0.425084	0.151461	0.850168	0.152052	genic	False	True	False		Ncoa2	genic|chr1:13268307-13268807	0.425084	0.425084	0.425084
chr1	13277439	13277939	887	3.887109	0.677251	0.677251	7.774218	0.693482	3.887109	0.677251	7.774218	0.693482	genic	False	True	False		Ncoa2	genic|chr1:13277439-13277939	3.887109	3.887109	3.887109
chr1	13290041	13290541	299	1.310311	0.367031	0.367031	2.620622	0.376176	1.310311	0.367031	2.620622	0.376176	genic	False	True	False		Ncoa2	genic|chr1:13290041-13290541	1.310311	1.310311	1.310311
chr1	13304772	13305272	394	1.726630	0.454986	0.454986	3.453260	0.467515	1.726630	0.454986	3.453260	0.467515	genic	False	True	False		Ncoa2	genic|chr1:13304772-13305272	1.726630	1.726630	1.726630
chr1	13328824	13329324	413	1.809894	0.470119	0.470119	3.619788	0.482760	1.809894	0.470119	3.619788	0.482760	genic	False	True	False		Ncoa2	genic|chr1:13328824-13329324	1.809894	1.809894	1.809894
chr1	13329455	13329955	335	1.468074	0.404310	0.404310	2.936148	0.414967	1.468074	0.404310	2.936148	0.414967	genic	False	True	False		Ncoa2	genic|chr1:13329455-13329955	1.468074	1.468074	1.468074
