chr	start	end	name	score	strand	Ensembl_ID	gene_type	symbol	tss	Expression	is_ue	cellType	ATAC.mut_ATAC.tagAlign.bgz.readCount	ATAC.mut_ATAC.tagAlign.bgz.RPM	ATAC.mut_ATAC.tagAlign.bgz.readCount.quantile	ATAC.mut_ATAC.tagAlign.bgz.RPM.quantile	ATAC.mut_ATAC.tagAlign.bgz.RPKM	ATAC.mut_ATAC.tagAlign.bgz.RPKM.quantile	ATAC.RPM	ATAC.RPM.quantile	ATAC.RPKM	ATAC.RPKM.quantile	ATAC.mut_ATAC.tagAlign.bgz.readCount.TSS1Kb	ATAC.mut_ATAC.tagAlign.bgz.RPM.TSS1Kb	ATAC.mut_ATAC.tagAlign.bgz.readCount.quantile.TSS1Kb	ATAC.mut_ATAC.tagAlign.bgz.RPM.quantile.TSS1Kb	ATAC.mut_ATAC.tagAlign.bgz.RPKM.TSS1Kb	ATAC.mut_ATAC.tagAlign.bgz.RPKM.quantile.TSS1Kb	ATAC.RPM.TSS1Kb	ATAC.RPM.quantile.TSS1Kb	ATAC.RPKM.TSS1Kb	ATAC.RPKM.quantile.TSS1Kb	PromoterActivityQuantile
chr1	4909575	5070285	Rgs20	0	-	ENSMUSG00000002459	protein_coding	Rgs20	5070285		False		8322	36.469586	0.831166	0.831166	0.226928	0.279725	36.469586	0.831166	0.226928	0.279725	366	1.603926	0.528653	0.528653	1.603926	0.528653	1.603926	0.528653	1.603926	0.528653	0.528653
chr1	5070017	5162529	Atp6v1h	0	+	ENSMUSG00000033793	protein_coding	Atp6v1h	5070017		False		4389	19.233960	0.683967	0.683967	0.207908	0.248751	19.233960	0.683967	0.207908	0.248751	360	1.577632	0.527501	0.527501	1.577632	0.527501	1.577632	0.527501	1.577632	0.527501	0.527501
chr1	5588465	5606131	Oprk1	0	+	ENSMUSG00000025905	protein_coding	Oprk1	5588465		False		1143	5.008981	0.396002	0.396002	0.283538	0.365666	5.008981	0.396002	0.283538	0.365666	343	1.503132	0.523532	0.523532	1.503132	0.523532	1.503132	0.523532	1.503132	0.523532	0.523532
chr1	5913706	5917398	Npbwr1	0	-	ENSMUSG00000033774	protein_coding	Npbwr1	5917398		False		609	2.668827	0.307031	0.307031	0.722868	0.678456	2.668827	0.307031	0.722868	0.678456	194	0.850168	0.469805	0.469805	0.850168	0.469805	0.850168	0.469805	0.850168	0.469805	0.469805
chr1	6206196	6276648	Rb1cc1	0	+	ENSMUSG00000025907	protein_coding	Rb1cc1	6206196		False		8789	38.516125	0.842223	0.842223	0.546700	0.601907	38.516125	0.842223	0.546700	0.601907	8	0.035058	0.031222	0.031222	0.035058	0.031222	0.035058	0.031222	0.035058	0.031222	0.031222
chr1	6359217	6394731	Alkal1	0	+	ENSMUSG00000087247	protein_coding	Alkal1	6359217		False		1623	7.112490	0.455949	0.455949	0.200273	0.236843	7.112490	0.455949	0.200273	0.236843	367	1.608308	0.528936	0.528936	1.608308	0.528936	1.608308	0.528936	1.608308	0.528936	0.528936
chr1	6487230	6860940	St18	0	+	ENSMUSG00000033740	protein_coding	St18	6487230		True		31183	136.653581	0.973633	0.973633	0.365667	0.464543	136.653581	0.973633	0.365667	0.464543	253	1.108724	0.497466	0.497466	1.108724	0.497466	1.108724	0.497466	1.108724	0.497466	0.497466
chr1	7088919	7173628	Pcmtd1	0	+	ENSMUSG00000051285	protein_coding	Pcmtd1	7088919		False		15731	68.938123	0.924815	0.924815	0.813823	0.708757	68.938123	0.924815	0.813823	0.708757	22443	98.352189	0.993231	0.993231	98.352189	0.993231	98.352189	0.993231	98.352189	0.993231	0.993231
chr1	7349405	7397869	Gm26901	0	-	ENSMUSG00000097797	lincRNA	Gm26901	7397869		False		4545	19.917600	0.693022	0.693022	0.410977	0.507992	19.917600	0.693022	0.410977	0.507992	15991	70.077523	0.980083	0.980083	70.077523	0.980083	70.077523	0.980083	70.077523	0.980083	0.980083
chr1	7497967	7518149	Gm30414	0	+	ENSMUSG00000103067	lincRNA	Gm30414	7497967		False		363	1.590779	0.236595	0.236595	0.078822	0.049438	1.590779	0.236595	0.078822	0.049438	17	0.074499	0.054063	0.054063	0.074499	0.054063	0.074499	0.054063	0.074499	0.054063	0.054063
chr1	8361474	9299878	Sntg1	0	-	ENSMUSG00000025909	protein_coding	Sntg1	9299878		False		15793	69.209826	0.925152	0.925152	0.073753	0.044264	69.209826	0.925152	0.073753	0.044264	1072	4.697837	0.620920	0.620920	4.697837	0.620920	4.697837	0.620920	4.697837	0.620920	0.620920
chr1	9545407	9547455	Rrs1	0	+	ENSMUSG00000061024	protein_coding	Rrs1	9545407		False		3464	15.180323	0.622426	0.622426	7.412267	0.978205	15.180323	0.622426	7.412267	0.978205	12010	52.631546	0.960343	0.960343	52.631546	0.960343	52.631546	0.960343	52.631546	0.960343	0.960343
chr1	9547947	9580673	Adhfe1	0	+	ENSMUSG00000025911	protein_coding	Adhfe1	9547947		False		2929	12.835787	0.580785	0.580785	0.392220	0.490626	12.835787	0.580785	0.392220	0.490626	276	1.209518	0.504838	0.504838	1.209518	0.504838	1.209518	0.504838	1.209518	0.504838	0.504838
chr1	9560831	9631175	2610203C22Rik	0	-	ENSMUSG00000079671	processed_transcript	2610203C22Rik	9631175		False		13155	57.649291	0.903675	0.903675	0.819534	0.710600	57.649291	0.903675	0.819534	0.710600	763	3.343703	0.588280	0.588280	3.343703	0.588280	3.343703	0.588280	3.343703	0.588280	0.588280
chr1	9601198	9627143	Vxn	0	+	ENSMUSG00000067879	protein_coding	Vxn	9601198		False		2183	9.566583	0.514690	0.514690	0.368726	0.467484	9.566583	0.514690	0.368726	0.467484	290	1.270870	0.509179	0.509179	1.270870	0.509179	1.270870	0.509179	1.270870	0.509179	0.509179
chr1	9639254	9640582	Gm29520	0	-	ENSMUSG00000099827	lincRNA	Gm29520	9640582		False		57	0.249792	0.036184	0.036184	0.188096	0.216182	0.249792	0.036184	0.188096	0.216182	67	0.293615	0.259755	0.259755	0.293615	0.259755	0.293615	0.259755	0.293615	0.259755	0.259755
chr1	9667414	9700209	Mybl1	0	-	ENSMUSG00000025912	protein_coding	Mybl1	9700209		False		1208	5.293831	0.405642	0.405642	0.161422	0.171103	5.293831	0.405642	0.161422	0.171103	1716	7.520044	0.676153	0.676153	7.520044	0.676153	7.520044	0.676153	7.520044	0.676153	0.676153
chr1	9718621	9748382	Vcpip1	0	-	ENSMUSG00000045210	protein_coding	Vcpip1	9748382		False		2235	9.794463	0.519350	0.519350	0.329104	0.423787	9.794463	0.519350	0.329104	0.423787	11038	48.371941	0.953326	0.953326	48.371941	0.953326	48.371941	0.953326	48.371941	0.953326	0.953326
chr1	9798106	9900845	Sgk3	0	+	ENSMUSG00000025915	protein_coding	Sgk3	9798106		False		4750	20.815974	0.704699	0.704699	0.202610	0.240033	20.815974	0.704699	0.202610	0.240033	780	3.418202	0.590017	0.590017	3.418202	0.590017	3.418202	0.590017	3.418202	0.590017	0.590017
chr1	9908637	9942085	Mcmdc2	0	+	ENSMUSG00000046101	protein_coding	Mcmdc2	9908637		False		1010	4.426133	0.377450	0.377450	0.132329	0.122940	4.426133	0.377450	0.132329	0.122940	398	1.744159	0.535511	0.535511	1.744159	0.535511	1.744159	0.535511	1.744159	0.535511	0.535511
chr1	9941958	9944118	Snhg6	0	-	ENSMUSG00000098234	lincRNA	Snhg6	9944118		False		2703	11.845385	0.560389	0.560389	5.483974	0.966439	11.845385	0.560389	5.483974	0.966439	5946	26.057217	0.878442	0.878442	26.057217	0.878442	26.057217	0.878442	26.057217	0.878442	0.878442
chr1	9960162	9967932	Tcf24	0	-	ENSMUSG00000099032	protein_coding	Tcf24	9967932		False		560	2.454094	0.295637	0.295637	0.315842	0.407946	2.454094	0.295637	0.315842	0.407946	334	1.463692	0.521459	0.521459	1.463692	0.521459	1.463692	0.521459	1.463692	0.521459	0.521459
chr1	9968623	10009136	Ppp1r42	0	-	ENSMUSG00000025916	protein_coding	Ppp1r42	10009136		False		1669	7.314076	0.460715	0.460715	0.180537	0.204097	7.314076	0.460715	0.180537	0.204097	306	1.340987	0.513485	0.513485	1.340987	0.513485	1.340987	0.513485	1.340987	0.513485	0.513485
chr1	10024600	10038168	Cops5	0	-	ENSMUSG00000025917	protein_coding	Cops5	10038168		False		2326	10.193254	0.527856	0.527856	0.751272	0.689017	10.193254	0.527856	0.751272	0.689017	2352	10.307194	0.721728	0.721728	10.307194	0.721728	10.307194	0.721728	10.307194	0.721728	0.721728
chr1	10037986	10136768	Cspp1	0	+	ENSMUSG00000056763	protein_coding	Cspp1	10037986		False		7316	32.060982	0.805401	0.805401	0.324563	0.418294	32.060982	0.805401	0.324563	0.418294	2404	10.535074	0.725219	0.725219	10.535074	0.725219	10.535074	0.725219	10.535074	0.725219	0.725219
chr1	10137570	10232670	Arfgef1	0	-	ENSMUSG00000067851	protein_coding	Arfgef1	10232670		False		3437	15.062000	0.620619	0.620619	0.158381	0.166495	15.062000	0.620619	0.158381	0.166495	2765	12.117088	0.748308	0.748308	12.117088	0.748308	12.117088	0.748308	12.117088	0.748308	0.748308
chr1	10324719	10719945	Cpa6	0	-	ENSMUSG00000042501	protein_coding	Cpa6	10719945		False		10455	45.817054	0.870752	0.870752	0.115926	0.097175	45.817054	0.870752	0.115926	0.097175	126	0.552171	0.411241	0.411241	0.552171	0.411241	0.552171	0.411241	0.552171	0.411241	0.411241
chr1	10993464	11303681	Prex2	0	+	ENSMUSG00000048960	protein_coding	Prex2	10993464		False		14623	64.082523	0.917178	0.917178	0.206573	0.246943	64.082523	0.917178	0.206573	0.246943	655	2.870413	0.576479	0.576479	2.870413	0.576479	2.870413	0.576479	2.870413	0.576479	0.576479
chr1	11414104	11975901	A830018L16Rik	0	+	ENSMUSG00000057715	protein_coding	A830018L16Rik	11414104		False		16232	71.133660	0.927561	0.927561	0.126618	0.114364	71.133660	0.927561	0.126618	0.114364	4176	18.300528	0.819825	0.819825	18.300528	0.819825	18.300528	0.819825	18.300528	0.819825	0.819825
chr1	12667562	12673090	Gm17644	0	+	ENSMUSG00000097171	lincRNA	Gm17644	12667562		False		228	0.999167	0.165982	0.165982	0.180747	0.204416	0.999167	0.165982	0.180747	0.204416	0	0.000000	0.008966	0.008966	0.000000	0.008966	0.000000	0.008966	0.000000	0.008966	0.008966
chr1	12670323	12671176	Gm29663	0	-	ENSMUSG00000101314	lincRNA	Gm29663	12671176		False		69	0.302379	0.046444	0.046444	0.354489	0.452670	0.302379	0.046444	0.354489	0.452670	71	0.311144	0.274303	0.274303	0.311144	0.274303	0.311144	0.274303	0.311144	0.274303	0.274303
chr1	12692276	12861192	Sulf1	0	+	ENSMUSG00000016918	protein_coding	Sulf1	12692276		False		11937	52.311638	0.889499	0.889499	0.309690	0.400893	52.311638	0.889499	0.309690	0.400893	143	0.626670	0.432771	0.432771	0.626670	0.432771	0.626670	0.432771	0.626670	0.432771	0.432771
chr1	12866548	12992650	Slco5a1	0	-	ENSMUSG00000025938	protein_coding	Slco5a1	12992650		False		7245	31.749838	0.803505	0.803505	0.251779	0.316334	31.749838	0.803505	0.251779	0.316334	1507	6.604142	0.659868	0.659868	6.604142	0.659868	6.604142	0.659868	6.604142	0.659868	0.659868
chr1	13068837	13078662	Gm29283	0	+	ENSMUSG00000099498	lincRNA	Gm29283	13068837		False		384	1.682807	0.245100	0.245100	0.171278	0.188468	1.682807	0.245100	0.171278	0.188468	19	0.083264	0.060318	0.060318	0.083264	0.060318	0.083264	0.060318	0.083264	0.060318	0.060318
chr1	13113456	13127163	Prdm14	0	-	ENSMUSG00000042414	protein_coding	Prdm14	13127163		False		765	3.352467	0.339317	0.339317	0.244581	0.306163	3.352467	0.339317	0.244581	0.306163	163	0.714317	0.450544	0.450544	0.714317	0.450544	0.714317	0.450544	0.714317	0.450544	0.450544
chr1	13139104	13374083	Ncoa2	0	-	ENSMUSG00000005886	protein_coding	Ncoa2	13374083		True		34517	151.264203	0.978329	0.978329	0.643735	0.648368	151.264203	0.978329	0.643735	0.648368	1874	8.212449	0.687458	0.687458	8.212449	0.687458	8.212449	0.687458	8.212449	0.687458	0.687458
chr1	13564697	13589910	Tram1	0	-	ENSMUSG00000025935	protein_coding	Tram1	13589910		False		3190	13.979570	0.601552	0.601552	0.554459	0.606443	13.979570	0.601552	0.554459	0.606443	2628	11.516711	0.739554	0.739554	11.516711	0.739554	11.516711	0.739554	11.516711	0.739554	0.739554
chr1	13623329	13660546	Lactb2	0	-	ENSMUSG00000025937	protein_coding	Lactb2	13660546		False		3420	14.987501	0.619006	0.619006	0.402706	0.500904	14.987501	0.619006	0.402706	0.500904	2439	10.688455	0.727593	0.727593	10.688455	0.727593	10.688455	0.727593	10.688455	0.727593	0.727593
chr1	13668770	13701723	Xkr9	0	+	ENSMUSG00000067813	protein_coding	Xkr9	13668770		False		558	2.445329	0.295053	0.295053	0.074207	0.044831	2.445329	0.295053	0.074207	0.044831	32	0.140234	0.110820	0.110820	0.140234	0.110820	0.140234	0.110820	0.140234	0.110820	0.110820
chr1	14168953	14310235	Eya1	0	-	ENSMUSG00000025932	protein_coding	Eya1	14310235		False		11538	50.563096	0.885122	0.885122	0.357888	0.456781	50.563096	0.885122	0.357888	0.456781	639	2.800296	0.574600	0.574600	2.800296	0.574600	2.800296	0.574600	2.800296	0.574600	0.574600
chr1	14753345	14755992	Msc	0	-	ENSMUSG00000025930	protein_coding	Msc	14755992		False		914	4.005432	0.363947	0.363947	1.513197	0.835773	4.005432	0.363947	1.513197	0.835773	435	1.906305	0.543626	0.543626	1.906305	0.543626	1.906305	0.543626	1.906305	0.543626	0.543626
chr1	14872647	14918862	Trpa1	0	-	ENSMUSG00000032769	protein_coding	Trpa1	14918862		False		2098	9.194087	0.506450	0.506450	0.198942	0.234681	9.194087	0.506450	0.198942	0.234681	184	0.806345	0.464773	0.464773	0.806345	0.464773	0.806345	0.464773	0.806345	0.464773	0.464773
chr1	15287253	15723750	Kcnb2	0	+	ENSMUSG00000092083	protein_coding	Kcnb2	15287253		False		26034	114.089065	0.964348	0.964348	0.261374	0.332601	114.089065	0.964348	0.261374	0.332601	1848	8.098509	0.685562	0.685562	8.098509	0.685562	8.098509	0.685562	8.098509	0.685562	0.685562
chr1	15805645	15844052	Terf1	0	+	ENSMUSG00000025925	protein_coding	Terf1	15805645		False		3784	16.582662	0.645710	0.645710	0.431761	0.526633	16.582662	0.645710	0.431761	0.526633	5908	25.890689	0.877769	0.877769	25.890689	0.877769	25.890689	0.877769	25.890689	0.877769	0.877769
chr1	15853861	15892722	Sbspon	0	-	ENSMUSG00000032719	protein_coding	Sbspon	15892722		False		1652	7.239577	0.458819	0.458819	0.186294	0.213205	7.239577	0.458819	0.186294	0.213205	446	1.954510	0.545345	0.545345	1.954510	0.545345	1.954510	0.545345	1.954510	0.545345	0.545345
chr1	16065978	16093325	4930444P10Rik	0	-	ENSMUSG00000067795	protein_coding	4930444P10Rik	16093325		False		2499	10.951393	0.543378	0.543378	0.400461	0.498671	10.951393	0.543378	0.400461	0.498671	1163	5.096627	0.629869	0.629869	5.096627	0.629869	5.096627	0.629869	5.096627	0.629869	0.629869
chr1	16101294	16104662	Rpl7	0	-	ENSMUSG00000043716	protein_coding	Rpl7	16104662		False		2221	9.733111	0.518251	0.518251	2.889879	0.919729	9.733111	0.518251	2.889879	0.919729	7690	33.699966	0.913403	0.913403	33.699966	0.913403	33.699966	0.913403	33.699966	0.913403	0.913403
chr1	16105773	16133734	Rdh10	0	+	ENSMUSG00000025921	protein_coding	Rdh10	16105773		False		4064	17.809709	0.664387	0.664387	0.636948	0.645604	17.809709	0.664387	0.636948	0.645604	2261	9.908403	0.715473	0.715473	9.908403	0.715473	9.908403	0.715473	9.908403	0.715473	0.715473
chr1	16228673	16520112	Stau2	0	-	ENSMUSG00000025920	protein_coding	Stau2	16520112		False		14333	62.811653	0.914874	0.914874	0.215522	0.261580	62.811653	0.914874	0.215522	0.261580	2901	12.713082	0.755963	0.755963	12.713082	0.755963	12.713082	0.755963	12.713082	0.755963	0.755963
chr1	16540789	16619489	Ube2w	0	-	ENSMUSG00000025939	protein_coding	Ube2w	16619489		False		7193	31.521958	0.801839	0.801839	0.400533	0.498777	31.521958	0.801839	0.400533	0.498777	4427	19.400488	0.829713	0.829713	19.400488	0.829713	19.400488	0.829713	19.400488	0.829713	0.829713
chr1	16641724	16657042	Eloc	0	-	ENSMUSG00000079658	protein_coding	Eloc	16657042		False		7445	32.626300	0.809477	0.809477	2.129932	0.886558	32.626300	0.809477	2.129932	0.886558	11289	49.471900	0.955346	0.955346	49.471900	0.955346	49.471900	0.955346	49.471900	0.955346	0.955346
chr1	16657551	16662278	D030040B21Rik	0	+	ENSMUSG00000097744	lincRNA	D030040B21Rik	16657551		False		171	0.749375	0.124234	0.124234	0.158531	0.166743	0.749375	0.124234	0.158531	0.166743	7133	31.259019	0.903498	0.903498	31.259019	0.903498	31.259019	0.903498	31.259019	0.903498	0.903498
chr1	16665206	16678275	Tmem70	0	+	ENSMUSG00000025940	protein_coding	Tmem70	16665206		False		1685	7.384193	0.462735	0.462735	0.565016	0.612609	7.384193	0.462735	0.565016	0.612609	1905	8.348301	0.689389	0.689389	8.348301	0.689389	8.348301	0.689389	8.348301	0.689389	0.689389
chr1	16688050	16709611	Ly96	0	+	ENSMUSG00000025779	protein_coding	Ly96	16688050		False		788	3.453260	0.343162	0.343162	0.160162	0.169189	3.453260	0.343162	0.160162	0.169189	216	0.946579	0.481997	0.481997	0.946579	0.481997	0.946579	0.481997	0.946579	0.481997	0.481997
chr1	16964559	17097889	Jph1	0	-	ENSMUSG00000042686	protein_coding	Jph1	17097889		False		22939	100.525815	0.957012	0.957012	0.753962	0.689939	100.525815	0.957012	0.753962	0.689939	3537	15.500231	0.789329	0.789329	15.500231	0.789329	15.500231	0.789329	15.500231	0.789329	0.789329
chr1	17124746	17128956	Gm28783	0	+	ENSMUSG00000100110	lincRNA	Gm28783	17124746		False		266	1.165695	0.189637	0.189637	0.276887	0.356345	1.165695	0.189637	0.276887	0.356345	48	0.210351	0.181398	0.181398	0.210351	0.181398	0.210351	0.181398	0.210351	0.181398	0.181398
chr1	17145361	17164271	Gdap1	0	+	ENSMUSG00000025777	protein_coding	Gdap1	17145361		False		3040	13.322223	0.589698	0.589698	0.704507	0.671935	13.322223	0.589698	0.704507	0.671935	2149	9.417585	0.707286	0.707286	9.417585	0.707286	9.417585	0.707286	9.417585	0.707286	0.707286
chr1	17168402	17173103	Gm28784	0	+	ENSMUSG00000099899	lincRNA	Gm28784	17168402		False		132	0.578465	0.092728	0.092728	0.123051	0.108304	0.578465	0.092728	0.123051	0.108304	46	0.201586	0.172361	0.172361	0.201586	0.172361	0.201586	0.172361	0.201586	0.172361	0.172361
chr1	17601900	17630939	Pi15	0	+	ENSMUSG00000067780	protein_coding	Pi15	17601900		False		1124	4.925717	0.393185	0.393185	0.169624	0.185314	4.925717	0.393185	0.169624	0.185314	84	0.368114	0.318142	0.318142	0.368114	0.318142	0.368114	0.318142	0.368114	0.318142	0.318142
chr1	17727044	17766344	Crispld1	0	+	ENSMUSG00000025776	protein_coding	Crispld1	17727044		False		2062	9.036324	0.503083	0.503083	0.229932	0.284155	9.036324	0.503083	0.229932	0.284155	229	1.003549	0.487933	0.487933	1.003549	0.487933	1.003549	0.487933	1.003549	0.487933	0.487933
chr1	17994461	18059056	Gm28756	0	-	ENSMUSG00000109887	processed_transcript	Gm28756	18059056		False		3501	15.342468	0.625297	0.625297	0.237518	0.295992	15.342468	0.625297	0.237518	0.295992	432	1.893158	0.542793	0.542793	1.893158	0.542793	1.893158	0.542793	1.893158	0.542793	0.542793
chr1	18115190	18145902	Crisp4	0	-	ENSMUSG00000025774	protein_coding	Crisp4	18145902		False		772	3.383144	0.340327	0.340327	0.110157	0.088847	3.383144	0.340327	0.110157	0.088847	18	0.078882	0.057270	0.057270	0.078882	0.057270	0.078882	0.057270	0.078882	0.057270	0.057270
chr1	18236472	18237443	Defb18	0	-	ENSMUSG00000073735	protein_coding	Defb18	18237443		False		51	0.223498	0.032232	0.032232	0.230173	0.284545	0.223498	0.032232	0.230173	0.284545	31	0.135852	0.106939	0.106939	0.135852	0.106939	0.135852	0.106939	0.135852	0.106939	0.106939
chr1	18250979	18265138	Defb41	0	-	ENSMUSG00000067773	protein_coding	Defb41	18265138		False		480	2.103509	0.273452	0.273452	0.148563	0.148776	2.103509	0.273452	0.148563	0.148776	26	0.113940	0.086774	0.086774	0.113940	0.086774	0.113940	0.086774	0.113940	0.086774	0.086774
chr1	19103021	19166346	Tfap2d	0	+	ENSMUSG00000042596	protein_coding	Tfap2d	19103021		False		2532	11.096010	0.546727	0.546727	0.175223	0.195060	11.096010	0.546727	0.175223	0.195060	72	0.315526	0.278201	0.278201	0.315526	0.278201	0.315526	0.278201	0.315526	0.278201	0.278201
chr1	19208913	19238576	Tfap2b	0	+	ENSMUSG00000025927	protein_coding	Tfap2b	19208913		False		3192	13.988334	0.601694	0.601694	0.471575	0.555764	13.988334	0.601694	0.471575	0.555764	190	0.832639	0.467803	0.467803	0.832639	0.467803	0.832639	0.467803	0.832639	0.467803	0.467803
chr1	19242724	19243769	Gm28340	0	+	ENSMUSG00000100538	lincRNA	Gm28340	19242724		False		75	0.328673	0.050572	0.050572	0.314520	0.406705	0.328673	0.050572	0.314520	0.406705	101	0.442613	0.365684	0.365684	0.442613	0.365684	0.442613	0.365684	0.442613	0.365684	0.365684
chr1	20057778	20618064	Pkhd1	0	-	ENSMUSG00000043760	protein_coding	Pkhd1	20618064		False		20907	91.620961	0.950243	0.950243	0.163525	0.174292	91.620961	0.950243	0.163525	0.174292	90	0.394408	0.336659	0.336659	0.394408	0.336659	0.394408	0.336659	0.394408	0.336659	0.336659
chr1	20669881	20684298	Gm28653	0	+	ENSMUSG00000099906	lincRNA	Gm28653	20669881		False		1247	5.464741	0.411011	0.411011	0.379048	0.478151	5.464741	0.411011	0.379048	0.478151	93	0.407555	0.346086	0.346086	0.407555	0.346086	0.407555	0.346086	0.407555	0.346086	0.346086
chr1	20730904	20734496	Il17a	0	+	ENSMUSG00000025929	protein_coding	Il17a	20730904		False		187	0.819492	0.137134	0.137134	0.228144	0.281958	0.819492	0.137134	0.228144	0.281958	89	0.390026	0.333735	0.333735	0.390026	0.333735	0.390026	0.333735	0.390026	0.333735	0.333735
chr1	20777145	20790617	Il17f	0	-	ENSMUSG00000041872	protein_coding	Il17f	20790617		False		565	2.476005	0.297108	0.297108	0.183789	0.209094	2.476005	0.297108	0.183789	0.209094	30	0.131469	0.103112	0.103112	0.131469	0.103112	0.131469	0.103112	0.131469	0.103112	0.103112
chr1	20802967	20820312	Mcm3	0	-	ENSMUSG00000041859	protein_coding	Mcm3	20820312		False		2109	9.242292	0.507620	0.507620	0.532851	0.593720	9.242292	0.507620	0.532851	0.593720	5550	24.321822	0.868271	0.868271	24.321822	0.868271	24.321822	0.868271	24.321822	0.868271	0.868271
chr1	20836660	20839689	Gm28065	0	+	ENSMUSG00000102121	lincRNA	Gm28065	20836660		False		57	0.249792	0.036184	0.036184	0.082467	0.053762	0.249792	0.036184	0.082467	0.053762	27	0.118322	0.090885	0.090885	0.118322	0.090885	0.118322	0.090885	0.118322	0.090885	0.090885
chr1	20888649	20890473	6720483E21Rik	0	-	ENSMUSG00000097934	lincRNA	6720483E21Rik	20890473		False		1488	6.520878	0.440904	0.440904	3.575043	0.938193	6.520878	0.440904	3.575043	0.938193	8383	36.736907	0.924903	0.924903	36.736907	0.924903	36.736907	0.924903	36.736907	0.924903	0.924903
