chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr3	137100001	137120000	chr3	136535001	137120000	585000	20000	333353.7372353333	99.0%	0.007	52.85433635916105
chr9	45400001	45420000	chr9	45400001	45950000	550000	20000	479281.7521266773	99.0%	0.003	52.31450305970398
chr14	77135001	77160000	chr14	77135001	77905000	770000	25000	192264.81798061746	99.0%	0.004	52.090519406260654
chr5	131420001	131440000	chr5	130170001	131440000	1270000	20000	126609.11429740014	97.0%	0.0055	51.12952630470686
chr6	51845001	51865000	chr6	51405001	51865000	460000	20000	562372.0191611955	99.0%	0.008	51.12213811132823
chr15	37900001	37920000	chr15	37150001	37920000	770000	20000	211307.01554231936	98.0%	0.004	51.07218171590969
chr1	177675001	177705000	chr1	176900001	177705000	805000	30000	218640.20757269554	99.0%	0.005	50.084852677373625
chr7	124115001	124135000	chr7	124115001	125490000	1375000	20000	151479.84133013064	97.0%	0.005	50.06481792441336
chr13	76290001	76315000	chr13	76290001	76695000	405000	25000	515346.4745984009	99.0%	0.006	49.48874177255325
chr7	64140001	64160000	chr7	63635001	64160000	525000	20000	343447.1029724132	99.0%	0.004	49.245607713924215
chr1	104985001	105005000	chr1	104985001	105740000	755000	20000	235034.37366983245	99.0%	0.004	49.07232210110109
chr7	48770001	48790000	chr7	48770001	49610000	840000	20000	377499.7136363003	99.0%	0.0035	47.72286650527429
chr11	93800001	93820000	chr11	93085001	93820000	735000	20000	290127.32406457287	99.0%	0.002	47.23868361919853
chr11	88955001	88975000	chr11	87505001	88975000	1470000	20000	200515.92747603997	97.0%	0.002	47.18472516282579
chr12	83100001	83120000	chr12	83100001	83715000	615000	20000	489814.93461387174	98.0%	0.004	46.39944412596766
chr4	104885001	104905000	chr4	103570001	104905000	1335000	20000	120781.5129179995	99.0%	0.004	45.82575321987638
chr8	122905001	122920000	chr8	122905001	123230000	325000	15000	1012730.4667282272	99.0%	0.01	45.256035225758204
chr15	53335001	53355000	chr15	53335001	53910000	575000	20000	347416.20424631395	99.0%	0.006	43.860715232682615
chr8	116860001	116880000	chr8	116455001	116880000	425000	20000	433812.06465155975	99.0%	0.004	43.15389470370499
chr1	85080001	85100000	chr1	85080001	85795000	715000	20000	574334.1049699996	98.0%	0.018	42.64596482633868
chr2	138025001	138055000	chr2	138025001	139385000	1360000	30000	131984.5201665603	98.0%	0.0125	42.6216621454847
chr18	68485001	68505000	chr18	68485001	69490000	1005000	20000	170038.24121035798	95.0%	0.006	41.59464410866915
chrX	88100001	88120000	chrX	87480001	88120000	640000	20000	61314.79629625455	98.0%	0.0895	41.23183296135654
chr13	20295001	20325000	chr13	20295001	21325000	1030000	30000	153901.7594231702	96.0%	0.007	41.178617931586594
chr4	64530001	64550000	chr4	64530001	65630000	1100000	20000	155354.71448509986	97.0%	0.004	41.15293682579844
chr1	64435001	64455000	chr1	63690001	64455000	765000	20000	277418.24525509553	98.0%	0.002	40.802099248664504
chr14	16080001	16100000	chr14	14695001	16100000	1405000	20000	198447.17032767806	97.0%	0.005	40.412022367257066
chr8	86910001	86935000	chr8	86910001	87760000	850000	25000	192128.6405974623	98.0%	0.006	40.25309969677368
chr1	63750001	63770000	chr1	63750001	64625000	875000	20000	170681.11635783382	99.0%	0.008	40.174474000657064
chr2	101885001	101910000	chr2	101885001	102460000	575000	25000	330882.87335907004	99.0%	0.005	39.61166083669545
chr5	14510001	14530000	chr5	14510001	14800000	290000	20000	503041.18291532143	99.0%	0.003	39.561123296903254
chr6	31645001	31665000	chr6	31645001	33265000	1620000	20000	110494.53210101885	98.0%	0.005	38.704094810461115
chr6	114065001	114085000	chr6	113605001	114085000	480000	20000	386992.4374282363	99.0%	0.014	38.42860400664338
chr7	131890001	131910000	chr7	131890001	132780000	890000	20000	188209.62264804204	98.0%	0.008	37.49253662207375
chr13	101685001	101705000	chr13	100775001	101705000	930000	20000	178847.11571002376	98.0%	0.005	37.30714044174244
chr8	57780001	57805000	chr8	57495001	57805000	310000	25000	502743.9528766782	99.0%	0.019	36.741540204989164
chr5	125265001	125285000	chr5	124745001	125285000	540000	20000	409069.3948525028	99.0%	0.005	36.6610451823149
chr16	22790001	22810000	chr16	22400001	22810000	410000	20000	609964.9276519726	98.0%	0.007	36.30168049762723
chr18	36015001	36035000	chr18	36015001	36410000	395000	20000	626481.3343033487	98.0%	0.007	36.167454656959194
chr9	69285001	69305000	chr9	68430001	69305000	875000	20000	291382.0501685044	97.0%	0.003	36.02818206962025
chr3	136655001	136680000	chr3	136655001	137550000	895000	25000	260826.1751043215	99.0%	0.004	35.77589493373975
chr18	61475001	61495000	chr18	61170001	61495000	325000	20000	508768.2989267424	99.0%	0.007	35.70466759566973
chr17	88250001	88270000	chr17	88250001	88570000	320000	20000	520964.37993225426	99.0%	0.003	35.34273869798925
chr7	37365001	37385000	chr7	37365001	38205000	840000	20000	241649.5919129369	99.0%	0.004	35.01349519596879
chr3	52240001	52270000	chr3	52240001	53175000	935000	30000	144233.9463696703	95.0%	0.015	34.918350635902584
chr5	116225001	116250000	chr5	116225001	117115000	890000	25000	175743.64124637266	99.0%	0.008	34.4540209987373
chr3	101795001	101815000	chr3	101195001	101815000	620000	20000	392699.9334066177	98.0%	0.042499999999999996	34.433873650255364
chr13	110375001	110400000	chr13	110375001	111490000	1115000	25000	115209.55152575471	98.0%	0.019	34.233032474361636
chr14	11545001	11565000	chr14	11545001	12145000	600000	20000	228606.70234116117	99.0%	0.006500000000000001	34.035456960345556
chr3	57190001	57215000	chr3	55515001	57215000	1700000	25000	69129.29155705398	95.0%	0.011	34.02320726330011
chr3	157520001	157540000	chr3	156590001	157540000	950000	20000	123075.26130620197	99.0%	0.007	33.31316278439351
chr16	24385001	24405000	chr16	24385001	25025000	640000	20000	402262.8014601416	96.0%	0.0045000000000000005	32.76960494975556
chr9	90675001	90700000	chr9	90675001	92050000	1375000	25000	164899.6934038947	98.0%	0.007	32.664658436164956
chr2	109675001	109700000	chr2	108655001	109700000	1045000	25000	212070.9008163902	96.0%	0.007	32.53937026487212
chr10	13540001	13575000	chr10	13540001	14225000	685000	35000	191546.34700238676	99.0%	0.007	32.20932311846198
chr11	75765001	75785000	chr11	75765001	76255000	490000	20000	405998.90162260085	97.0%	0.004	31.789610448366453
chr4	139855001	139885000	chr4	139855001	140790000	935000	30000	163593.49164573484	95.0%	0.005	31.43375946469877
chr1	189015001	189035000	chr1	189015001	189985000	970000	20000	174066.8008848986	99.0%	0.011	31.375653708851512
chr1	89225001	89245000	chr1	89225001	90000000	775000	20000	203137.08190114592	99.0%	0.008	31.26281780822964
chr9	71060001	71080000	chr9	70395001	71080000	685000	20000	348745.2513496008	99.0%	0.004	31.045668574286537
chr7	37335001	37360000	chr7	35645001	37360000	1715000	25000	138107.27690090658	96.0%	0.007	30.952282554747853
chr18	69190001	69210000	chr18	69190001	69725000	535000	20000	269596.4955058011	98.0%	0.01	30.62634171077099
chr11	42740001	42760000	chr11	42295001	42760000	465000	20000	405281.1889344449	99.0%	0.004	30.148728126172887
chr18	39120001	39145000	chr18	39120001	40160000	1040000	25000	193592.74774536304	97.0%	0.004	30.096573333395728
chr13	37290001	37325000	chr13	35705001	37325000	1620000	35000	78770.93430432185	96.0%	0.0075	29.841896008189174
chr14	47740001	47760000	chr14	47740001	48445000	705000	20000	155819.63204738605	99.0%	0.015	29.810652482094454
chr15	41315001	41335000	chr15	41315001	41840000	525000	20000	259216.57299172215	99.0%	0.007	29.47618515150157
chr2	49430001	49460000	chr2	49430001	49775000	345000	30000	383044.7177298523	99.0%	0.006	29.449987240916023
chr2	52740001	52770000	chr2	52740001	53210000	470000	30000	265123.81418826425	99.0%	0.007	29.295300488294725
chr9	62550001	62570000	chr9	61910001	62570000	660000	20000	452769.8409485556	97.0%	0.005	28.92763069850226
chr1	38995001	39015000	chr1	38995001	39575000	580000	20000	216874.7960317476	99.0%	0.0135	28.871639745003545
chr1	178510001	178530000	chr1	178510001	179510000	1000000	20000	202230.15306745886	99.0%	0.004	28.779244343307198
chr18	30515001	30535000	chr18	30515001	31635000	1120000	20000	173083.1688592647	98.0%	0.005	28.696417247327933
chr1	34160001	34185000	chr1	33855001	34185000	330000	25000	539549.5168447399	99.0%	0.01	28.603473206544063
chr13	48630001	48665000	chr13	48630001	49400000	770000	35000	221541.9743250604	97.0%	0.009	28.55147292973524
chr18	75565001	75600000	chr18	75125001	75600000	475000	35000	520148.3241343055	99.0%	0.007	28.52018034367531
chr6	39855001	39875000	chr6	39855001	40480000	625000	20000	224223.41106071734	99.0%	0.006	28.467205495895737
chr18	65255001	65275000	chr18	64740001	65275000	535000	20000	309216.53270023456	99.0%	0.006	28.385447363450417
chr3	141460001	141485000	chr3	141460001	141805000	345000	25000	449818.5216720539	99.0%	0.006	28.1978690588041
chr4	9000001	9020000	chr4	8555001	9020000	465000	20000	681716.8681970545	99.0%	0.006	28.186828817302743
chr2	145160001	145180000	chr2	145160001	145600000	440000	20000	291537.00956957665	99.0%	0.009	27.918473629637674
chr4	34220001	34240000	chr4	33190001	34240000	1050000	20000	122752.58774129131	97.0%	0.007	27.844786238659097
chr6	28530001	28555000	chr6	28530001	29220000	690000	25000	445122.4456435183	98.0%	0.004	27.768397915599458
chr10	115085001	115105000	chr10	114405001	115105000	700000	20000	243427.45768972323	99.0%	0.007	27.553842910056257
chr7	101660001	101680000	chr7	101660001	102445000	785000	20000	224833.25278398118	95.0%	0.008	27.54683950028615
chr10	58210001	58235000	chr10	56510001	58235000	1725000	25000	224179.07868559886	95.0%	0.004	27.441604989885384
chr1	86330001	86365000	chr1	86050001	86365000	315000	35000	482287.9338191374	99.0%	0.012	27.260250381771364
chr15	39720001	39740000	chr15	39195001	39740000	545000	20000	427653.54862491856	98.0%	0.011	27.15322732749159
chr10	97310001	97350000	chr10	95800001	97350000	1550000	40000	114340.3902566007	96.0%	0.0445	26.94706397038687
chr3	122455001	122480000	chr3	122115001	122480000	365000	25000	363596.66377662343	99.0%	0.016	26.893212925717155
chr15	40355001	40390000	chr15	40355001	41110000	755000	35000	262282.00335609977	96.0%	0.006	26.74611458361062
chr7	72385001	72405000	chr7	72385001	73490000	1105000	20000	107821.33572395741	98.0%	0.027	26.504587556401976
chr13	63045001	63060000	chr13	63045001	63440000	395000	15000	389093.9824783853	99.0%	0.013	26.504157655086093
chr13	109200001	109220000	chr13	108170001	109220000	1050000	20000	162915.33171939335	98.0%	0.009	26.39883244566866
chr12	77660001	77680000	chr12	76865001	77680000	815000	20000	291167.21779573616	99.0%	0.009	26.079747613474233
chr6	71135001	71155000	chr6	71135001	71820000	685000	20000	237630.5944656609	99.0%	0.006	26.010251954654013
chr7	46595001	46615000	chr7	46100001	46615000	515000	20000	638530.0955639385	98.0%	0.009	25.994075322492534
chr10	111495001	111515000	chr10	111495001	111975000	480000	20000	273064.74190480955	99.0%	0.0135	25.87169006283581
chr19	61080001	61100000	chr19	60710001	61100000	390000	20000	490677.41527137405	98.0%	0.015	25.768601829439202
chr16	95945001	95970000	chr16	94770001	95970000	1200000	25000	129054.13956105938	97.0%	0.007	25.751087819670687
chr3	141815001	141835000	chr3	140525001	141835000	1310000	20000	174855.6377124253	98.0%	0.005	25.7195027395718
chr13	52210001	52230000	chr13	51635001	52230000	595000	20000	222286.98539818515	99.0%	0.017	25.6311109512538
chr8	71810001	71840000	chr8	71810001	73490000	1680000	30000	230957.67647011756	96.0%	0.006	25.592160279516364
chr10	108995001	109015000	chr10	108510001	109015000	505000	20000	280629.059924539	99.0%	0.008	25.579186584533815
chr14	51890001	51910000	chr14	51890001	52345000	455000	20000	282764.4022750175	99.0%	0.011	25.52377583922172
chr14	76500001	76520000	chr14	76500001	76980000	480000	20000	311833.6490981032	98.0%	0.0135	25.5140076450617
chr5	136550001	136575000	chr5	136290001	136575000	285000	25000	665202.0127838135	99.0%	0.006	25.381908254627835
chr5	90355001	90375000	chr5	90190001	90375000	185000	20000	665801.1067378789	99.0%	0.008	25.363727742371687
chr10	90720001	90745000	chr10	90720001	91165000	445000	25000	418326.44150459726	97.0%	0.005	25.264705613821075
chr10	122540001	122565000	chr10	122540001	123250000	710000	25000	166750.86948990135	98.0%	0.0095	25.222982235079176
chr16	42000001	42020000	chr16	41645001	42020000	375000	20000	650486.0571402676	98.0%	0.006	25.156120407412054
chr8	128345001	128370000	chr8	126915001	128370000	1455000	25000	103096.33183233328	96.0%	0.011	25.14031675780659
chr8	90815001	90835000	chr8	90815001	91150000	335000	20000	447475.8860490274	99.0%	0.01	24.66083250255505
chr9	112440001	112460000	chr9	112440001	113490000	1050000	20000	211924.44775662132	95.0%	0.006	24.550975388257257
chr15	25705001	25725000	chr15	25405001	25725000	320000	20000	456485.7096062405	99.0%	0.013	24.489711700965223
chr3	21930001	21950000	chr3	21930001	22215000	285000	20000	363991.67640309414	99.0%	0.025	24.3856282986541
chr7	27665001	27690000	chr7	27160001	27690000	530000	25000	402976.89508316526	96.0%	0.008	24.27491377663673
chr11	67095001	67115000	chr11	67095001	67965000	870000	20000	218472.11788487865	98.0%	0.005	24.09380807218782
chr8	44680001	44700000	chr8	44680001	45060000	380000	20000	384932.52553967084	99.0%	0.016	23.82336451237406
chr14	22545001	22570000	chr14	22545001	24365000	1820000	25000	124202.11421423624	98.0%	0.0125	23.715704183613333
chr9	91945001	91965000	chr9	90580001	91965000	1385000	20000	219114.24679060007	96.0%	0.007	23.487894725052293
chr13	84045001	84070000	chr13	83705001	84070000	365000	25000	352327.93886117794	99.0%	0.053	23.38711721068587
chr4	46980001	47005000	chr4	46605001	47005000	400000	25000	712599.2683149377	99.0%	0.002	23.339387769080002
chr15	53330001	53355000	chr15	52855001	53355000	500000	25000	372687.1459086647	99.0%	0.013000000000000001	23.207418479766307
chr2	93465001	93490000	chr2	93465001	93850000	385000	25000	304071.62947574526	99.0%	0.014	23.167169695173143
chr7	123455001	123475000	chr7	122935001	123475000	540000	20000	396485.1818704489	99.0%	0.008	23.103839774134276
chr16	24380001	24400000	chr16	24030001	24400000	370000	20000	542054.5832615513	99.0%	0.01	23.068980524196274
chr1	152155001	152180000	chr1	151875001	152180000	305000	25000	553899.3088251018	99.0%	0.012	23.046401305797897
chr12	5045001	5065000	chr12	5045001	6490000	1445000	20000	202854.17417270696	95.0%	0.008	22.76017527047793
chr11	30645001	30665000	chr11	29690001	30665000	975000	20000	171656.14705429587	97.0%	0.006	22.643055919200677
chr12	39485001	39505000	chr12	38560001	39505000	945000	20000	132123.43519995807	97.0%	0.008	22.585585074207742
chr12	73695001	73715000	chr12	73695001	74030000	335000	20000	350335.6949855756	99.0%	0.03	22.413997052840244
chr7	118975001	119000000	chr7	118135001	119000000	865000	25000	369587.9750167175	96.0%	0.016	22.341623891350192
chr16	85795001	85815000	chr16	85795001	87490000	1695000	20000	78684.88906893085	95.0%	0.019	22.296948694716452
chr11	93680001	93700000	chr11	93085001	93700000	615000	20000	385568.26300561597	99.0%	0.005	22.241382489858314
chr16	30580001	30600000	chr16	30580001	31950000	1370000	20000	164295.47294436742	95.0%	0.014	22.22891184705751
chr3	104435001	104450000	chr3	103735001	104450000	715000	15000	213173.9592505855	98.0%	0.015	22.20239161233653
chr3	53445001	53465000	chr3	52930001	53465000	535000	20000	343020.8648233161	99.0%	0.011	22.130274503124852
chr4	155065001	155100000	chr4	155065001	155620000	555000	35000	417409.2530929403	99.0%	0.01	22.03343313906493
chr14	93325001	93350000	chr14	93325001	93860000	535000	25000	299132.3736846245	99.0%	0.009	21.876621511096104
chr3	146315001	146350000	chr3	146315001	146955000	640000	35000	165813.56387138853	99.0%	0.013	21.70917883090794
chr13	6470001	6490000	chr13	4525001	6490000	1965000	20000	59598.14792907804	98.0%	0.012	21.674329995260763
chr8	67430001	67450000	chr8	67430001	67980000	550000	20000	214177.08184248663	99.0%	0.0115	21.58994087180608
chr2	58650001	58670000	chr2	57895001	58670000	775000	20000	230768.6256476183	97.0%	0.009	21.471035898626884
chr8	22790001	22810000	chr8	22790001	23235000	445000	20000	436396.0336896628	99.0%	0.009	21.419415809240924
chr7	127100001	127125000	chr7	126410001	127125000	715000	25000	252061.34815686016	99.0%	0.014	21.373878045848123
chr9	79710001	79735000	chr9	78585001	79735000	1150000	25000	112255.40753065371	97.0%	0.015	21.338367184302093
chr2	181570001	181600000	chr2	181110001	181600000	490000	30000	520443.9123195449	98.0%	0.007	21.102179220092868
chr19	57305001	57325000	chr19	57020001	57325000	305000	20000	790096.3791394832	99.0%	0.008	20.93903550523061
chr8	64015001	64035000	chr8	64015001	64855000	840000	20000	176794.55089105444	97.0%	0.008	20.931953114940875
chr14	105890001	105915000	chr14	105260001	105915000	655000	25000	179864.52251884487	99.0%	0.007	20.92492116311562
chr18	53985001	54015000	chr18	53985001	55490000	1505000	30000	78631.74658135306	95.0%	0.008	20.78423864733014
chr3	13850001	13870000	chr3	13020001	13870000	850000	20000	203797.50352364394	99.0%	0.01	20.68095230945922
chr2	136130001	136155000	chr2	136130001	136905000	775000	25000	226000.53111710033	98.0%	0.006	20.63468932432971
chr1	85575001	85605000	chr1	84815001	85605000	790000	30000	748288.0990574152	96.0%	0.028499999999999998	20.454003334567897
chr17	73300001	73325000	chr17	73300001	73940000	640000	25000	202899.34179060996	98.0%	0.015	20.27035683216346
chr18	37870001	37890000	chr18	37395001	37890000	495000	20000	408627.188105621	99.0%	0.022	19.968536540417926
chr4	138835001	138865000	chr4	138295001	138865000	570000	30000	279257.2508288171	98.0%	0.013	19.945168454919784
chr10	85210001	85240000	chr10	85210001	85660000	450000	30000	400843.4326088342	99.0%	0.006500000000000001	19.833748900981043
chr7	112850001	112885000	chr7	112160001	112885000	725000	35000	240527.04120014337	99.0%	0.011	19.815095739579107
chr7	92090001	92110000	chr7	92090001	92895000	805000	20000	166352.6987420852	99.0%	0.009	19.784345754983317
chr10	116185001	116205000	chr10	115315001	116205000	890000	20000	218757.0851180505	99.0%	0.014	19.772841410956506
chr15	41440001	41460000	chr15	41440001	41785000	345000	20000	629294.7795549907	98.0%	0.007	19.55055640413805
chr3	136150001	136170000	chr3	136150001	137265000	1115000	20000	118064.75818512886	98.0%	0.015	19.54474794137262
chr15	59390001	59410000	chr15	59390001	59865000	475000	20000	283741.2144991748	99.0%	0.011	19.361366411632375
chr6	89540001	89560000	chr6	88895001	89560000	665000	20000	278987.78629517194	99.0%	0.01	19.313221427599203
chr13	54095001	54115000	chr13	54095001	54695000	600000	20000	219405.25677577066	97.0%	0.011	19.306508886223007
chr2	54425001	54445000	chr2	54425001	55095000	670000	20000	264019.4653439075	99.0%	0.005	19.245369351909122
chr16	67600001	67625000	chr16	66650001	67625000	975000	25000	159515.93377736906	95.0%	0.007	19.109741354984077
chr6	119480001	119505000	chr6	119480001	120345000	865000	25000	197342.72082491004	96.0%	0.009	19.080482104554243
chr11	68390001	68410000	chr11	67915001	68410000	495000	20000	330223.3885264955	99.0%	0.009	19.02568083012085
chr8	71125001	71145000	chr8	71125001	72490000	1365000	20000	90729.28310219882	95.0%	0.03	19.006545042834013
chr15	36780001	36795000	chr15	36780001	37140000	360000	15000	510718.8291865837	99.0%	0.013	18.975375641150336
chr1	127190001	127210000	chr1	127190001	127875000	685000	20000	244729.13927412298	99.0%	0.01	18.92769745375596
chr2	72510001	72530000	chr2	72510001	73440000	930000	20000	136125.83708796854	97.0%	0.0165	18.67215550757363
chr17	31005001	31025000	chr17	31005001	31375000	370000	20000	402326.2398451307	99.0%	0.0095	18.662806125262314
chr1	69095001	69115000	chr1	67795001	69115000	1320000	20000	119913.77840963368	96.0%	0.007	18.558107889535695
chr8	44920001	44950000	chr8	43565001	44950000	1385000	30000	134175.2749708908	95.0%	0.007	18.550349255903246
chr5	112870001	112890000	chr5	112870001	113330000	460000	20000	350406.8945225107	98.0%	0.023	18.498497309625353
chr17	27505001	27525000	chr17	27025001	27525000	500000	20000	385606.0166229564	99.0%	0.011	18.45389322521373
chr3	89755001	89780000	chr3	89310001	89780000	470000	25000	407180.357771624	99.0%	0.017	18.42818928066049
chr1	133710001	133745000	chr1	133710001	134125000	415000	35000	401886.618391064	99.0%	0.01	18.426781839491927
chr17	39835001	39860000	chr17	38505001	39860000	1355000	25000	8168085.024540203	96.0%	0.008	18.318882895214234
chr14	49225001	49245000	chr14	49225001	49845000	620000	20000	204295.57638616016	98.0%	0.0385	18.31708918651708
chr8	82850001	82870000	chr8	82850001	83390000	540000	20000	250001.77610841434	99.0%	0.013	18.147558006384234
chr12	70420001	70440000	chr12	69945001	70440000	495000	20000	302802.6283828439	99.0%	0.02	18.074868147990816
chr19	34585001	34605000	chr19	34055001	34605000	550000	20000	428282.91514323256	98.0%	0.014499999999999999	18.072721595119397
chr13	111780001	111800000	chr13	111780001	112255000	475000	20000	287900.9691468552	99.0%	0.012	17.985956535886253
chr5	138840001	138860000	chr5	138840001	139365000	525000	20000	282097.41116405645	98.0%	0.009	17.979750670937698
chr12	55490001	55515000	chr12	55300001	55515000	215000	25000	454034.53552059934	99.0%	0.02	17.968481966792464
chr13	64430001	64450000	chr13	64085001	64450000	365000	20000	326832.3720746819	98.0%	0.023	17.946771622004096
chr19	22285001	22310000	chr19	21570001	22310000	740000	25000	192611.34123692126	98.0%	0.020999999999999998	17.943380905691964
chr1	154280001	154300000	chr1	154280001	155025000	745000	20000	183208.96788686758	99.0%	0.013	17.939849594467198
chr10	41670001	41700000	chr10	41425001	41700000	275000	30000	467641.466652285	99.0%	0.019	17.916955578802142
chr13	9270001	9290000	chr13	9270001	9775000	505000	20000	304465.91782554734	99.0%	0.011	17.908021722144397
chr6	30340001	30360000	chr6	29780001	30360000	580000	20000	244989.42744429546	98.0%	0.018	17.849543444204865
chr4	144875001	144895000	chr4	144875001	145310000	435000	20000	315124.66248994117	99.0%	0.007	17.703644185298398
chr5	38295001	38315000	chr5	38295001	38770000	475000	20000	264296.511144942	99.0%	0.013	17.60593369321463
chr2	78030001	78050000	chr2	78030001	79490000	1460000	20000	85857.68601270276	95.0%	0.036000000000000004	17.59067235030091
chr8	10570001	10590000	chr8	10570001	11510000	940000	20000	133098.8453251359	95.0%	0.0245	17.56888800506942
chr17	89790001	89810000	chr17	89790001	90620000	830000	20000	183846.3735769049	98.0%	0.0095	17.565753197246142
chr13	21025001	21050000	chr13	20310001	21050000	740000	25000	158900.52192035914	99.0%	0.038	17.557262944987865
chr5	117105001	117125000	chr5	117105001	117505000	400000	20000	482720.53054941946	99.0%	0.0075	17.359870390211498
chr8	125940001	125960000	chr8	125940001	126490000	550000	20000	351306.99932039634	99.0%	0.008	17.33792074002103
chr17	29855001	29890000	chr17	29345001	29890000	545000	35000	373993.5954161238	99.0%	0.012	17.301932395412145
chr1	63645001	63670000	chr1	63645001	65065000	1420000	25000	94975.11501226743	97.0%	0.01	17.24667456026766
chr8	87210001	87235000	chr8	87210001	87710000	500000	25000	566391.6551674663	99.0%	0.022	17.20493968299633
