PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.txt mm10 -noblanks -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph) (cmd=getDiffExpression.pl all_PC1.txt ctrl ctrl ctrl mut mut mut -pc1 -export regions)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	ctrl vs. mut Difference	ctrl vs. mut p-value	ctrl vs. mut adj. p-value
chr14-23875000	chr14	23875000	23900000	+	-0.10212311483849	NA	intron (NM_010610, intron 1 of 28)	ID4_|SINE|ID	116705	NM_001253358	16531		NM_010610	ENSMUSG00000063142	Kcnma1	5730414M22Rik|BKCA alpha|BKCa|KCa1.1|MaxiK|Slo|Slo1|k(VCA)alpha|mSlo|mSlo1|slo-alpha	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	protein-coding	-0.102	-0.144	-0.159	0.912	0.791	0.941	1.01633333333333	4.74503797154806e-08	1.29272472967795e-05
chr16-96900000	chr16	96900000	96925000	+	-0.0754171697827715	NA	intron (NM_031174, intron 3 of 32)	MLTR12|LTR|ERV1	258235	NM_031174	13508		NM_031174	ENSMUSG00000050272	Dscam	4932410A21Rik	DS cell adhesion molecule	protein-coding	-0.075	-0.052	-0.117	0.965	0.882	1.047	1.046	5.11913544576553e-08	1.32309100708797e-05
chr3-34975000	chr3	34975000	35000000	+	-0.106789100360399	NA	Intergenic	L1Md_F2|LINE|L1	-64849	NR_105799	102466155		NR_105799	ENSMUSG00000098862	Mir6378	Gm27706|mmu-mir-6378	microRNA 6378	ncRNA	-0.107	-0.216	-0.243	0.894	0.793	0.848	1.03366666666667	5.23797406150844e-08	1.32609152956004e-05
chr13-72675000	chr13	72675000	72700000	+	-0.347982105768282	NA	Intergenic	Intergenic	58680	NM_010574	16372		NM_010574	ENSMUSG00000001504	Irx2	-	Iroquois homeobox 2	protein-coding	-0.348	-0.382	-0.431	0.727	0.567	0.654	1.03633333333333	6.02005980982591e-08	1.36780878886236e-05
chr14-23775000	chr14	23775000	23800000	+	-0.15615667821851	NA	intron (NM_001253374, intron 1 of 28)	intron (NM_001253374, intron 1 of 28)	216705	NM_001253358	16531		NM_010610	ENSMUSG00000063142	Kcnma1	5730414M22Rik|BKCA alpha|BKCa|KCa1.1|MaxiK|Slo|Slo1|k(VCA)alpha|mSlo|mSlo1|slo-alpha	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	protein-coding	-0.156	-0.237	-0.204	0.857	0.712	0.839	1.00166666666667	6.90829895400727e-08	1.40971290282841e-05
chr6-35925000	chr6	35925000	35950000	+	-0.542131995209838	NA	Intergenic	Intergenic	-397612	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.542	-0.600	-0.501	0.651	0.508	0.691	1.16433333333333	8.28167197818279e-08	1.46615086360571e-05
chr6-35700000	chr6	35700000	35725000	+	-0.786905290788959	NA	Intergenic	Intergenic	-172612	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.787	-0.835	-0.761	0.601	0.429	0.674	1.36233333333333	9.58229867414237e-08	1.52483089497962e-05
chr14-23825000	chr14	23825000	23850000	+	-0.105369845456769	NA	intron (NM_010610, intron 1 of 28)	intron (NM_010610, intron 1 of 28)	166705	NM_001253358	16531		NM_010610	ENSMUSG00000063142	Kcnma1	5730414M22Rik|BKCA alpha|BKCa|KCa1.1|MaxiK|Slo|Slo1|k(VCA)alpha|mSlo|mSlo1|slo-alpha	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	protein-coding	-0.105	-0.183	-0.208	0.806	0.789	0.936	1.009	1.09176112709699e-07	1.60826415449313e-05
chr6-35950000	chr6	35950000	35975000	+	-0.505605165892788	NA	Intergenic	L1Md_A|LINE|L1	-422612	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.506	-0.546	-0.482	0.604	0.489	0.698	1.10833333333333	1.2433855093527e-07	1.65727753276988e-05
chr18-45925000	chr18	45925000	45950000	+	-0.150893962870675	NA	intron (NR_040342, intron 2 of 3)	Lx5|LINE|L1	107760	NR_040342	107003		NR_040342		A330093E20Rik	-	RIKEN cDNA A330093E20 gene	ncRNA	-0.151	-0.137	-0.033	1.044	0.957	0.874	1.06533333333333	1.3797294339878e-07	1.72621841388483e-05
chr13-72650000	chr13	72650000	72675000	+	-0.327476049839526	NA	Intergenic	C-rich|Low_complexity|Low_complexity	33680	NM_010574	16372		NM_010574	ENSMUSG00000001504	Irx2	-	Iroquois homeobox 2	protein-coding	-0.327	-0.398	-0.425	0.778	0.589	0.674	1.06366666666667	1.44845775411057e-07	1.78393428317208e-05
chr6-35675000	chr6	35675000	35700000	+	-0.805278280285763	NA	Intergenic	ORR1D2|LTR|ERVL-MaLR	-147612	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.805	-0.840	-0.789	0.562	0.375	0.637	1.336	1.46757020002037e-07	1.7925239987072e-05
chr18-45950000	chr18	45950000	45975000	+	-0.502538852684412	NA	intron (NR_040342, intron 2 of 3)	Lx3_Mus|LINE|L1	82760	NR_040342	107003		NR_040342		A330093E20Rik	-	RIKEN cDNA A330093E20 gene	ncRNA	-0.503	-0.567	-0.447	0.779	0.645	0.574	1.17166666666667	1.52292337894808e-07	1.81758574600354e-05
chr6-36400000	chr6	36400000	36425000	+	-0.835975740372951	NA	intron (NM_203491, intron 2 of 2)	intron (NM_203491, intron 2 of 2)	-9242	NR_030524	735279		NR_030524	ENSMUSG00000070075	Mir490	Mirn490|mir-490|mmu-mir-490	microRNA 490	ncRNA	-0.836	-0.841	-0.795	0.225	0.067	0.249	1.00433333333333	1.56522839562945e-07	1.85089133498336e-05
chr16-79625000	chr16	79625000	79650000	+	-0.462502044326014	NA	Intergenic	Intergenic	-361876	NR_169071	78654		NR_169071	ENSMUSG00000101810	1700066C05Rik	-	RIKEN cDNA 1700066C05 gene	ncRNA	-0.462	-0.598	-0.492	0.611	0.447	0.536	1.04866666666667	1.73793443421302e-07	1.93235656520281e-05
chr6-35425000	chr6	35425000	35450000	+	-0.513418800514384	NA	Intergenic	L1Md_A|LINE|L1	102388	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.513	-0.543	-0.544	0.540	0.428	0.650	1.07266666666667	1.82072101304069e-07	1.98205289276315e-05
chr6-35900000	chr6	35900000	35925000	+	-0.625984459016668	NA	Intergenic	Intergenic	-372612	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.626	-0.716	-0.586	0.623	0.431	0.633	1.205	2.2714999270065e-07	2.09016152876652e-05
chr14-23800000	chr14	23800000	23825000	+	-0.128842664788625	NA	intron (NM_010610, intron 1 of 28)	intron (NM_010610, intron 1 of 28)	191705	NM_001253358	16531		NM_010610	ENSMUSG00000063142	Kcnma1	5730414M22Rik|BKCA alpha|BKCa|KCa1.1|MaxiK|Slo|Slo1|k(VCA)alpha|mSlo|mSlo1|slo-alpha	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	protein-coding	-0.129	-0.210	-0.216	0.838	0.724	0.926	1.01433333333333	2.65106199864368e-07	2.23168247360153e-05
chr9-41375000	chr9	41375000	41400000	+	-0.540902468176815	NA	intron (NR_131929, intron 1 of 4)	intron (NR_131929, intron 1 of 4)	10974	NR_040725	73144		NM_001033153	ENSMUSG00000074415	Mir100hg	2610203C20Rik|3110039I08Rik|D230004N17Rik|D3Mgi9	Mir100 Mirlet7a-2 Mir125b-1 cluster host gene	ncRNA	-0.541	-0.624	-0.574	0.644	0.427	0.634	1.148	2.79826286761534e-07	2.28585568991834e-05
chr6-35850000	chr6	35850000	35875000	+	-0.775773335577854	NA	Intergenic	Intergenic	-322612	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.776	-0.800	-0.780	0.487	0.239	0.475	1.18566666666667	3.78623946582933e-07	2.56702102572198e-05
chr6-35600000	chr6	35600000	35625000	+	-0.846409707659641	NA	Intergenic	MIRc|SINE|MIR	-72612	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.846	-0.805	-0.785	0.392	0.150	0.342	1.10666666666667	3.96348426310159e-07	2.62336547773814e-05
chr18-45975000	chr18	45975000	46000000	+	-0.594707797935144	NA	intron (NR_040342, intron 2 of 3)	intron (NR_040342, intron 2 of 3)	57760	NR_040342	107003		NR_040342		A330093E20Rik	-	RIKEN cDNA A330093E20 gene	ncRNA	-0.595	-0.668	-0.517	0.631	0.482	0.415	1.10266666666667	4.55820260791985e-07	2.77340179045556e-05
chr16-79600000	chr16	79600000	79625000	+	-0.465259839739502	NA	Intergenic	L1Md_F2|LINE|L1	-386876	NR_169071	78654		NR_169071	ENSMUSG00000101810	1700066C05Rik	-	RIKEN cDNA 1700066C05 gene	ncRNA	-0.465	-0.664	-0.554	0.545	0.388	0.490	1.03533333333333	5.14124408937401e-07	2.94309358429726e-05
chr6-36375000	chr6	36375000	36400000	+	-0.79925705574456	NA	promoter-TSS (NM_203491)	promoter-TSS (NM_203491)	-584	NM_203491	243764		NM_203491	ENSMUSG00000045613	Chrm2	AChR-M2|Chrm-2|M2	cholinergic receptor, muscarinic 2, cardiac	protein-coding	-0.799	-0.846	-0.789	0.356	0.120	0.335	1.08166666666667	5.2456179499571e-07	2.97340253632889e-05
chr6-35575000	chr6	35575000	35600000	+	-0.620314085673541	NA	Intergenic	L1Md_F2|LINE|L1	-47612	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.620	-0.646	-0.668	0.458	0.237	0.448	1.02566666666667	5.34126319808156e-07	2.99658270961671e-05
chr9-41425000	chr9	41425000	41450000	+	-0.382758428967243	NA	intron (NR_131928, intron 3 of 4)	RMER15|LTR|ERVL	-37393	NR_131931	73144		NM_001033153	ENSMUSG00000074415	Mir100hg	2610203C20Rik|3110039I08Rik|D230004N17Rik|D3Mgi9	Mir100 Mirlet7a-2 Mir125b-1 cluster host gene	ncRNA	-0.383	-0.408	-0.456	0.799	0.556	0.791	1.131	5.83230041874893e-07	3.10771759189123e-05
chr6-35775000	chr6	35775000	35800000	+	-0.77021387628143	NA	Intergenic	L1_Mus4|LINE|L1	-247612	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.770	-0.855	-0.828	0.401	0.234	0.526	1.20466666666667	5.84942865855164e-07	3.11224892599247e-05
chr6-35875000	chr6	35875000	35900000	+	-0.738574773657312	NA	Intergenic	Intergenic	-347612	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding	-0.739	-0.791	-0.729	0.522	0.254	0.510	1.18166666666667	7.30265278894469e-07	3.4394482997784e-05
chr13-10225000	chr13	10225000	10250000	+	-0.736291020039448	NA	intron (NM_033269, intron 1 of 4)	L2c|LINE|L2	123303	NM_033269	12671		NM_033269	ENSMUSG00000046159	Chrm3	Chrm-3|M3|M3R	cholinergic receptor, muscarinic 3, cardiac	protein-coding	-0.736	-0.583	-0.752	0.431	0.265	0.477	1.08133333333333	8.80143748913872e-07	3.83464472479197e-05
chr9-41400000	chr9	41400000	41425000	+	-0.5284608458092	NA	intron (NR_131928, intron 3 of 4)	intron (NR_131928, intron 3 of 4)	35974	NR_040725	73144		NM_001033153	ENSMUSG00000074415	Mir100hg	2610203C20Rik|3110039I08Rik|D230004N17Rik|D3Mgi9	Mir100 Mirlet7a-2 Mir125b-1 cluster host gene	ncRNA	-0.528	-0.561	-0.527	0.600	0.392	0.687	1.09833333333333	1.0898886382487e-06	4.30621869670388e-05
