PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.txt mm10 -noblanks -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph) (cmd=getDiffExpression.pl all_PC1.txt ctrl ctrl ctrl mut mut mut -pc1 -export regions)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	ctrl vs. mut Difference	ctrl vs. mut p-value	ctrl vs. mut adj. p-value
chr10-108725000	chr10	108725000	108750000	+	1.38644815787618	NA	intron (NM_001358504, intron 4 of 11)	intron (NM_001358504, intron 4 of 11)	-37340	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.386	1.451	1.407	0.137	0.260	0.179	-1.22266666666667	4.70020269730733e-09	9.78309589822942e-06
chr10-108625000	chr10	108625000	108650000	+	1.26623815227856	NA	intron (NM_001358502, intron 7 of 12)	intron (NM_001358502, intron 7 of 12)	62660	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.266	1.349	1.337	-0.577	-0.384	-0.420	-1.77766666666667	5.68611724999273e-09	1.00880572765102e-05
chrX-87150000	chrX	87150000	87175000	+	0.454178384763713	NA	intron (NM_001160403, intron 5 of 10)	(TCTA)n|Simple_repeat|Simple_repeat	-807506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.454	0.530	0.524	-0.546	-0.543	-0.472	-1.023	6.2027445137342e-09	1.00880572765102e-05
chr10-108750000	chr10	108750000	108775000	+	1.40006233610436	NA	intron (NM_001358504, intron 4 of 11)	intron (NM_001358504, intron 4 of 11)	-62340	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.400	1.514	1.462	0.042	0.164	0.081	-1.363	6.22582527135211e-09	1.00880572765102e-05
chr10-108650000	chr10	108650000	108675000	+	1.40150517882665	NA	intron (NM_001358504, intron 5 of 11)	intron (NM_001358504, intron 5 of 11)	37660	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.401	1.459	1.397	-0.439	-0.264	-0.249	-1.73633333333333	6.37878410251802e-09	1.00880572765102e-05
chr10-108550000	chr10	108550000	108575000	+	1.08857847181331	NA	intron (NM_001358504, intron 10 of 11)	intron (NM_001358504, intron 10 of 11)	137660	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.089	1.184	1.110	-0.773	-0.557	-0.693	-1.802	8.04344525393917e-09	1.00880572765102e-05
chr10-108925000	chr10	108925000	108950000	+	1.43851048012332	NA	intron (NM_001252342, intron 1 of 10)	intron (NM_001252342, intron 1 of 10)	71611	NM_001358501	20979		NM_009306	ENSMUSG00000035864	Syt1	G630098F17Rik|SytI	synaptotagmin I	protein-coding	1.438	1.488	1.472	0.076	0.204	0.043	-1.35833333333333	8.57113391496665e-09	1.00880572765102e-05
chrX-87250000	chrX	87250000	87275000	+	0.694258214594872	NA	intron (NM_001160403, intron 5 of 10)	L1Md_A|LINE|L1	853448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	0.694	0.632	0.580	-0.526	-0.450	-0.528	-1.13666666666667	8.76508715042548e-09	1.00880572765102e-05
chr10-108525000	chr10	108525000	108550000	+	0.957927164673011	NA	intron (NM_001358504, intron 10 of 11)	intron (NM_001358504, intron 10 of 11)	120249	NR_155870	102640148		NR_155870	ENSMUSG00000112532	Gm36283	-	predicted gene, 36283	ncRNA	0.958	1.051	0.969	-0.825	-0.616	-0.721	-1.71333333333333	9.23011802666343e-09	1.00880572765102e-05
chrX-87650000	chrX	87650000	87675000	+	1.21797631073402	NA	intron (NM_001160403, intron 2 of 10)	intron (NM_001160403, intron 2 of 10)	453448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	1.218	1.214	1.280	0.195	0.109	0.070	-1.11266666666667	1.14292305396308e-08	1.00880572765102e-05
chr10-108600000	chr10	108600000	108625000	+	1.19132122449078	NA	intron (NM_001358504, intron 9 of 11)	intron (NM_001358504, intron 9 of 11)	87660	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.191	1.300	1.271	-0.687	-0.470	-0.515	-1.81133333333333	1.14992000107676e-08	1.00880572765102e-05
chrX-87875000	chrX	87875000	87900000	+	1.42125494601483	NA	intron (NM_001160403, intron 2 of 10)	intron (NM_001160403, intron 2 of 10)	228448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	1.421	1.392	1.311	0.132	0.246	0.188	-1.186	1.2223602542726e-08	1.00880572765102e-05
chrX-87925000	chrX	87925000	87950000	+	1.38854296284777	NA	intron (NM_001160403, intron 1 of 10)	intron (NM_001160403, intron 1 of 10)	178448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	1.388	1.285	1.413	0.043	0.152	0.097	-1.26466666666667	1.23842125972107e-08	1.00880572765102e-05
chrX-87175000	chrX	87175000	87200000	+	0.592013236315234	NA	intron (NM_001160403, intron 5 of 10)	L1Md_A|LINE|L1	-832506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.592	0.597	0.565	-0.548	-0.480	-0.408	-1.06333333333333	1.35543652772808e-08	1.00880572765102e-05
chr10-108850000	chr10	108850000	108875000	+	1.46671626750685	NA	intron (NM_001358504, intron 3 of 11)	intron (NM_001358504, intron 3 of 11)	146611	NM_001358501	20979		NM_009306	ENSMUSG00000035864	Syt1	G630098F17Rik|SytI	synaptotagmin I	protein-coding	1.467	1.529	1.505	0.339	0.469	0.439	-1.08466666666667	1.47057281545679e-08	1.01155607934179e-05
chr10-108800000	chr10	108800000	108825000	+	1.47682044173907	NA	intron (NM_001358504, intron 4 of 11)	intron (NM_001358504, intron 4 of 11)	-112340	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.477	1.529	1.504	0.116	0.247	0.289	-1.286	1.74765891640597e-08	1.05081226131976e-05
chr10-108700000	chr10	108700000	108725000	+	1.33844918811887	NA	intron (NM_001358504, intron 4 of 11)	intron (NM_001358504, intron 4 of 11)	-12340	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.338	1.449	1.403	0.023	0.166	0.151	-1.28333333333333	2.07509119026448e-08	1.07116588457877e-05
chrX-87675000	chrX	87675000	87700000	+	1.40283545173183	NA	intron (NM_001160403, intron 2 of 10)	Lx5c|LINE|L1	428448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	1.403	1.414	1.502	0.354	0.433	0.316	-1.072	2.44557578163878e-08	1.12065385262319e-05
chr10-108450000	chr10	108450000	108475000	+	0.486185418620386	NA	Intergenic	Intergenic	45249	NR_155870	102640148		NR_155870	ENSMUSG00000112532	Gm36283	-	predicted gene, 36283	ncRNA	0.486	0.471	0.390	-0.668	-0.567	-0.563	-1.04833333333333	2.4831224928013e-08	1.12065385262319e-05
chr10-108825000	chr10	108825000	108850000	+	1.47858661507193	NA	intron (NM_001358504, intron 3 of 11)	intron (NM_001358504, intron 3 of 11)	-137340	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.479	1.548	1.480	0.255	0.375	0.423	-1.15133333333333	4.0257113845048e-08	1.23545139283952e-05
chr16-72800000	chr16	72800000	72825000	+	0.434406096075139	NA	intron (NM_019413, intron 2 of 28)	intron (NM_019413, intron 2 of 28)	149351	NM_019413	19876		NM_019413	ENSMUSG00000022883	Robo1	DUTT1|Gm310	roundabout guidance receptor 1	protein-coding	0.434	0.402	0.473	-0.822	-0.649	-0.689	-1.15633333333333	4.48082895941506e-08	1.26991636002266e-05
chr10-108775000	chr10	108775000	108800000	+	1.44061013710948	NA	intron (NM_001358504, intron 4 of 11)	intron (NM_001358504, intron 4 of 11)	-87340	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.441	1.532	1.516	-0.005	0.184	0.196	-1.37133333333333	5.97840624131276e-08	1.36662189224762e-05
chrX-87200000	chrX	87200000	87225000	+	0.56051566448899	NA	intron (NM_001160403, intron 5 of 10)	intron (NM_001160403, intron 5 of 10)	-857506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.560	0.613	0.583	-0.552	-0.404	-0.400	-1.03733333333333	6.09813198059044e-08	1.36780878886236e-05
chrX-87100000	chrX	87100000	87125000	+	0.653153456026257	NA	intron (NM_001160403, intron 5 of 10)	intron (NM_001160403, intron 5 of 10)	-757506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.653	0.546	0.504	-0.589	-0.476	-0.503	-1.09033333333333	6.51037375136836e-08	1.38631706572519e-05
chr10-108875000	chr10	108875000	108900000	+	1.44573931630895	NA	intron (NM_001358504, intron 3 of 11)	L1Md_F2|LINE|L1	121611	NM_001358501	20979		NM_009306	ENSMUSG00000035864	Syt1	G630098F17Rik|SytI	synaptotagmin I	protein-coding	1.446	1.494	1.448	0.143	0.353	0.207	-1.22833333333333	6.70900695584093e-08	1.3871895535901e-05
chrX-87025000	chrX	87025000	87050000	+	0.522755577358086	NA	intron (NM_001160403, intron 6 of 10)	intron (NM_001160403, intron 6 of 10)	-682506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.523	0.638	0.651	-0.510	-0.403	-0.541	-1.08866666666667	8.50295703192202e-08	1.47456304232339e-05
chr16-72825000	chr16	72825000	72850000	+	0.364858331092994	NA	intron (NM_019413, intron 2 of 28)	intron (NM_019413, intron 2 of 28)	174351	NM_019413	19876		NM_019413	ENSMUSG00000022883	Robo1	DUTT1|Gm310	roundabout guidance receptor 1	protein-coding	0.365	0.298	0.416	-0.859	-0.684	-0.759	-1.127	8.97944632456568e-08	1.5003861121585e-05
chr10-108900000	chr10	108900000	108925000	+	1.44316140321551	NA	intron (NM_001252342, intron 1 of 10)	intron (NM_001252342, intron 1 of 10)	96611	NM_001358501	20979		NM_009306	ENSMUSG00000035864	Syt1	G630098F17Rik|SytI	synaptotagmin I	protein-coding	1.443	1.405	1.400	-0.062	0.201	0.002	-1.369	1.34726450475502e-07	1.71644202007172e-05
chrX-87275000	chrX	87275000	87300000	+	0.801036510146921	NA	intron (NM_001160403, intron 5 of 10)	intron (NM_001160403, intron 5 of 10)	828448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	0.801	0.795	0.643	-0.457	-0.349	-0.329	-1.12466666666667	1.36229358258329e-07	1.71765654109491e-05
chrX-87850000	chrX	87850000	87875000	+	1.49570544165624	NA	intron (NM_001160403, intron 2 of 10)	intron (NM_001160403, intron 2 of 10)	253448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	1.496	1.382	1.344	0.213	0.284	0.373	-1.11733333333333	1.39839500113385e-07	1.73935334796244e-05
chrX-87225000	chrX	87225000	87250000	+	0.499677451990529	NA	intron (NM_001160403, intron 5 of 10)	intron (NM_001160403, intron 5 of 10)	878448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	0.500	0.533	0.589	-0.593	-0.401	-0.507	-1.041	1.56684884945887e-07	1.85089133498336e-05
chrX-87975000	chrX	87975000	88000000	+	1.42813861371967	NA	intron (NM_001160403, intron 1 of 10)	L1_Mus3|LINE|L1	128448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	1.428	1.362	1.404	0.090	0.281	0.311	-1.17066666666667	1.9099812250511e-07	2.01789667032363e-05
chrX-87000000	chrX	87000000	87025000	+	0.570187444045783	NA	intron (NM_001160403, intron 6 of 10)	intron (NM_001160403, intron 6 of 10)	-657506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.570	0.637	0.662	-0.542	-0.351	-0.390	-1.05066666666667	2.00156452382516e-07	2.02631149376468e-05
chr16-72775000	chr16	72775000	72800000	+	0.379463251051437	NA	intron (NM_019413, intron 2 of 28)	RMER1B|Other|Other	124351	NM_019413	19876		NM_019413	ENSMUSG00000022883	Robo1	DUTT1|Gm310	roundabout guidance receptor 1	protein-coding	0.379	0.266	0.412	-0.885	-0.718	-0.725	-1.12833333333333	2.11779320646773e-07	2.0523345001552e-05
chrX-87075000	chrX	87075000	87100000	+	0.608957629276225	NA	intron (NM_001160403, intron 5 of 10)	Lx2|LINE|L1	-732506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.609	0.488	0.453	-0.602	-0.468	-0.477	-1.03233333333333	2.17904780955604e-07	2.07122917901312e-05
chrX-86925000	chrX	86925000	86950000	+	0.387085882488147	NA	intron (NM_001160403, intron 6 of 10)	L1Md_A|LINE|L1	-582506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.387	0.490	0.489	-0.670	-0.515	-0.505	-1.01866666666667	2.23761877465635e-07	2.08556626650531e-05
chr16-72850000	chr16	72850000	72875000	+	0.374798833707677	NA	intron (NM_019413, intron 2 of 28)	intron (NM_019413, intron 2 of 28)	199351	NM_019413	19876		NM_019413	ENSMUSG00000022883	Robo1	DUTT1|Gm310	roundabout guidance receptor 1	protein-coding	0.375	0.288	0.483	-0.788	-0.644	-0.733	-1.10366666666667	2.48004122427862e-07	2.1709404843766e-05
chrX-87950000	chrX	87950000	87975000	+	1.46893127506828	NA	intron (NM_001160403, intron 1 of 10)	intron (NM_001160403, intron 1 of 10)	153448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	1.469	1.353	1.452	0.001	0.261	0.142	-1.29	2.56342471188829e-07	2.21025827001596e-05
chrX-86950000	chrX	86950000	86975000	+	0.431695719016018	NA	intron (NM_001160403, intron 6 of 10)	intron (NM_001160403, intron 6 of 10)	-607506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.432	0.583	0.624	-0.587	-0.639	-0.488	-1.11766666666667	2.96202814279979e-07	2.33177935589499e-05
chrX-87300000	chrX	87300000	87325000	+	0.794781566254403	NA	intron (NM_001160403, intron 3 of 10)	intron (NM_001160403, intron 3 of 10)	803448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	0.795	0.816	0.695	-0.400	-0.332	-0.196	-1.078	2.99999024091707e-07	2.33921698012824e-05
chrX-86975000	chrX	86975000	87000000	+	0.469453760543439	NA	intron (NM_001160403, intron 6 of 10)	intron (NM_001160403, intron 6 of 10)	-632506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.469	0.591	0.602	-0.623	-0.566	-0.402	-1.08433333333333	5.75351251340585e-07	3.09565571870944e-05
chrX-87400000	chrX	87400000	87425000	+	0.948155542921535	NA	intron (NM_001160403, intron 3 of 10)	intron (NM_001160403, intron 3 of 10)	703448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	0.948	1.008	1.027	0.117	-0.020	-0.133	-1.00633333333333	7.64426484180649e-07	3.52975587365454e-05
chr13-40050000	chr13	40050000	40075000	+	0.749627332018685	NA	intron (NM_172143, intron 16 of 18)	L1Md_F3|LINE|L1	225511	NM_172143	218165		NM_172143	ENSMUSG00000047094	Ofcc1	opo	orofacial cleft 1 candidate 1	protein-coding	0.750	0.897	0.936	-0.318	-0.132	-0.119	-1.05066666666667	1.21581481440427e-06	4.52543145743443e-05
chrX-88000000	chrX	88000000	88025000	+	1.4029580052652	NA	intron (NM_001160403, intron 1 of 10)	intron (NM_001160403, intron 1 of 10)	103448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	1.403	1.401	1.480	0.188	0.316	0.497	-1.09433333333333	1.60357658498572e-06	5.24303546264684e-05
chrX-87375000	chrX	87375000	87400000	+	0.779289660748895	NA	intron (NM_001160403, intron 3 of 10)	MTB-int|LTR|ERVL-MaLR	728448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	0.779	0.871	0.804	-0.064	-0.169	-0.352	-1.013	1.91474396967312e-06	5.75756485604888e-05
