chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr18	53960001	54020000	chr18	53960001	56510000	2550000	60000	337616.9985101797	97.0%	0.005	24.30842066422216
chr3	57180001	57220000	chr3	55050001	57220000	2170000	40000	330693.3315899694	97.0%	0.015	22.713135728483884
chr5	22480001	22550000	chr5	21630001	22550000	920000	70000	798328.2495994294	96.0%	0.005	22.674702170632063
chr7	127100001	127140000	chr7	126430001	127140000	710000	40000	1651972.987085531	99.0%	0.009	22.343166239039295
chr10	96600001	96640000	chr10	96600001	97290000	690000	40000	1999351.47369034	98.0%	0.006	21.213218767925525
chr1	104970001	105010000	chr1	104970001	106240000	1270000	40000	819189.9490087032	97.0%	0.008	21.201143252655555
chr13	110370001	110420000	chr13	110370001	111470000	1100000	50000	688898.7054401399	99.0%	0.026000000000000002	21.103706616558014
chr6	19000001	19040000	chr6	19000001	20980000	1980000	40000	533784.5385729275	96.0%	0.006	20.457058040424318
chr3	136130001	136170000	chr3	136130001	138150000	2020000	40000	513373.8479406304	98.0%	0.007	20.456140206758196
chr19	7030001	7080000	chr19	7030001	7490000	460000	50000	2503210.132450181	99.0%	0.014	20.304652492106175
chr4	81550001	81600000	chr4	81550001	82610000	1060000	50000	771603.8654076852	99.0%	0.053	19.355239479423943
chr4	139840001	139890000	chr4	139840001	140690000	850000	50000	982314.8315407448	98.0%	0.012	19.118598281414396
chr5	27590001	27630000	chr5	26410001	27630000	1220000	40000	1416197.6663848949	99.0%	0.0045000000000000005	18.865926756172605
chrX	43400001	43460000	chrX	42150001	43460000	1310000	60000	230136.819827455	99.0%	0.056	18.84039853852602
chr17	9160001	9200000	chr17	9160001	11420000	2260000	40000	404472.8914167085	99.0%	0.012	18.828565720582244
chr7	92090001	92130000	chr7	92090001	92700000	610000	40000	1371554.1225618343	97.0%	0.011	18.567369208325793
chr17	89620001	89670000	chr17	89620001	91120000	1500000	50000	756119.6466742249	99.0%	0.0085	18.499287127236663
chr9	46710001	46750000	chr9	46710001	48600000	1890000	40000	775773.510818091	97.0%	0.005	18.22831725196838
chr16	94980001	95010000	chr16	93830001	95010000	1180000	30000	1920049.15896275	98.0%	0.009	18.121930956851127
chr7	64140001	64180000	chr7	63240001	64180000	940000	40000	1147976.6142264437	99.0%	0.006	17.856168436680555
chr5	130820001	130870000	chr5	130020001	130870000	850000	50000	1890837.5373545326	98.0%	0.022	17.84230717491581
chr7	7260001	7300000	chr7	6110001	7300000	1190000	40000	535376.8413366453	98.0%	0.012	17.727636145520712
chr2	138250001	138300000	chr2	138250001	139360000	1110000	50000	1011818.7761900492	99.0%	0.01	17.255037097914
chr17	9740001	9800000	chr17	9740001	12340000	2600000	60000	345460.46717046975	98.0%	0.0275	17.228494001711113
chr4	34210001	34250000	chr4	33050001	34250000	1200000	40000	665426.7038621098	98.0%	0.007	17.189903208289245
chr14	76990001	77040000	chr14	75760001	77040000	1280000	50000	586743.9082654419	99.0%	0.010499999999999999	17.16635818875426
chr6	119480001	119520000	chr6	119480001	120720000	1240000	40000	968154.240213541	99.0%	0.011	16.914841876920153
chr3	52230001	52270000	chr3	52230001	53510000	1280000	40000	708565.5726390827	99.0%	0.027	16.25368035136908
chr2	139560001	139600000	chr2	137710001	139600000	1890000	40000	435846.8505579404	99.0%	0.01	15.84326980814993
chr1	64410001	64450000	chr1	63660001	64450000	790000	40000	1610975.5797604457	99.0%	0.004	15.372296373335516
chr2	56080001	56130000	chr2	56080001	58780000	2700000	50000	207416.81757624846	97.0%	0.0115	15.266105649330592
chr15	27310001	27350000	chr15	27310001	28020000	710000	40000	1349984.350486497	99.0%	0.012	15.123246037274845
chr16	85800001	85830000	chr16	85800001	87860000	2060000	30000	409401.0265183602	97.0%	0.010499999999999999	15.099794679185635
chr16	25240001	25280000	chr16	23940001	25280000	1340000	40000	530227.7986816666	99.0%	0.009	14.8367049416393
chr7	72370001	72410000	chr7	72370001	74360000	1990000	40000	405470.9027250776	99.0%	0.029	14.81858858107709
chr4	138830001	138870000	chr4	138260001	138870000	610000	40000	1652758.8015674097	99.0%	0.015	14.752788923541784
chr6	19540001	19610000	chr6	19540001	21450000	1910000	70000	606837.5031975574	96.0%	0.014	14.589475668064265
chr9	102510001	102570000	chr9	101190001	102570000	1380000	60000	797606.1490780901	98.0%	0.005	14.471440018806085
chr10	15260001	15320000	chr10	15260001	18750000	3490000	60000	171857.10892896526	97.0%	0.007	14.395849084673324
chr16	13110001	13160000	chr16	13110001	14160000	1050000	50000	826119.157763096	98.0%	0.025	14.132568270881134
chr9	68000001	68040000	chr9	68000001	69940000	1940000	40000	584084.0812345145	99.0%	0.014	14.094604276563654
chr13	46290001	46340000	chr13	46290001	47060000	770000	50000	1078893.4906730354	99.0%	0.019	13.752040765542793
chr7	101640001	101680000	chr7	101640001	102270000	630000	40000	1285100.5029318586	99.0%	0.012	13.738984140709382
chr15	53320001	53360000	chr15	53320001	54020000	700000	40000	1457212.7890875759	99.0%	0.0235	13.555194342311042
chr8	118270001	118330000	chr8	118270001	119310000	1040000	60000	869660.1119388317	99.0%	0.0165	13.45829305487168
chr12	89670001	89710000	chr12	89670001	90360000	690000	40000	2105354.8024847037	99.0%	0.006	13.399631099360558
chr7	118970001	119020000	chr7	118110001	119020000	910000	50000	1763080.986765682	99.0%	0.008	13.391772209988261
chr16	67590001	67630000	chr16	66670001	67630000	960000	40000	925297.164108022	98.0%	0.007	13.22380631387944
chr15	4790001	4830000	chr15	3990001	4830000	840000	40000	978594.8976356089	99.0%	0.006	13.222025408582788
chr3	88290001	88330000	chr3	88290001	90500000	2210000	40000	536351.5714309693	98.0%	0.015	13.051912686463679
chr5	19500001	19540000	chr5	19500001	21070000	1570000	40000	545263.14620682	97.0%	0.015	12.839034982674907
chr7	131860001	131930000	chr7	131860001	133000000	1140000	70000	824349.9979622362	99.0%	0.017	12.682368732167488
chr5	131400001	131440000	chr5	130280001	131440000	1160000	40000	713657.2787907111	98.0%	0.0175	12.625169306876838
chr1	72850001	72890000	chr1	72850001	74390000	1540000	40000	790405.7449882127	99.0%	0.034	12.395341437874931
chr4	131810001	131850000	chr4	130300001	131850000	1550000	40000	995261.4852027426	99.0%	0.007	12.31076634455316
chr2	136110001	136170000	chr2	136110001	136910000	800000	60000	1282040.5725319106	99.0%	0.01	12.230061725712035
chr2	30790001	30830000	chr2	29530001	30830000	1300000	40000	1234533.1733013485	99.0%	0.011	11.75182652183969
chr15	32230001	32270000	chr15	32230001	32770000	540000	40000	1426286.385770322	99.0%	0.017	11.726522615304384
chr16	42870001	42930000	chr16	42870001	43590000	720000	60000	1382283.450536344	99.0%	0.013	11.54342180378509
chr4	75440001	75480000	chr4	75440001	76540000	1100000	40000	643466.0248130183	99.0%	0.014	11.42021098636703
chr14	105880001	105920000	chr14	105170001	105920000	750000	40000	977823.3256521956	99.0%	0.008	11.401240819481504
chr3	110230001	110270000	chr3	109550001	110270000	720000	40000	843457.5784407528	99.0%	0.028999999999999998	11.236481349698616
chr4	9630001	9670000	chr4	8530001	9670000	1140000	40000	1203854.6079310374	99.0%	0.009	11.229240429592254
chr1	75630001	75670000	chr1	75630001	77900000	2270000	40000	354817.15121795196	99.0%	0.013	11.168255521946513
chr10	83800001	83850000	chr10	83800001	84660000	860000	50000	1020928.9346026266	99.0%	0.028	11.16212286110501
chr6	31630001	31680000	chr6	31630001	34460000	2830000	50000	356355.28832752426	98.0%	0.012	11.139911586828338
chr7	37320001	37370000	chr7	35190001	37370000	2180000	50000	634922.8321253116	96.0%	0.0395	10.96260174687278
chr1	154700001	154740000	chr1	153440001	154740000	1300000	40000	1175611.7001773212	99.0%	0.009	10.946670567292713
chr16	22790001	22850000	chr16	22250001	22850000	600000	60000	1805884.4664720723	99.0%	0.010499999999999999	10.936470283773666
chr9	73130001	73200000	chr9	73130001	74020000	890000	70000	1373521.3829988663	98.0%	0.006	10.918980936410156
chr19	22260001	22320000	chr19	21550001	22320000	770000	60000	1108075.0157305277	99.0%	0.011	10.841146257012493
chr10	49750001	49800000	chr10	48850001	49800000	950000	50000	1203394.8041652483	99.0%	0.011	10.784926465968383
chr10	58210001	58250000	chr10	58210001	59540000	1330000	40000	1272188.2724062412	98.0%	0.01	10.784551300359096
chr8	121480001	121520000	chr8	120660001	121520000	860000	40000	980327.9938999392	99.0%	0.0155	10.77700236267015
chr16	42160001	42200000	chr16	42160001	43680000	1520000	40000	697585.0084612553	99.0%	0.0125	10.69370762106793
chr12	38320001	38360000	chr12	38320001	39420000	1100000	40000	560271.0043613678	99.0%	0.0195	10.50944995892067
chr10	63550001	63590000	chr10	63550001	66850000	3300000	40000	231745.4929601483	99.0%	0.009	10.47938040710859
chr13	6450001	6490000	chr13	4200001	6490000	2290000	40000	266470.56262451864	98.0%	0.022	10.443989329544038
chr5	38850001	38890000	chr5	38850001	39980000	1130000	40000	1430261.1880878643	98.0%	0.008	10.351756238767413
chr15	53740001	53790000	chr15	52700001	53790000	1090000	50000	1507887.916049229	99.0%	0.008	10.306730855312923
chr6	44990001	45030000	chr6	43050001	45030000	1980000	40000	329645.6606643307	98.0%	0.0135	10.299674044911495
chr1	177680001	177720000	chr1	175690001	177720000	2030000	40000	673871.1654566585	97.0%	0.035	10.242416837044885
chr14	123340001	123390000	chr14	123340001	124760000	1420000	50000	531174.1325307643	95.0%	0.014499999999999999	10.238832961319828
chr7	112370001	112410000	chr7	112370001	113990000	1620000	40000	731031.9937698909	97.0%	0.019	10.196610547826884
chr5	138830001	138870000	chr5	138830001	139510000	680000	40000	1362162.8995557225	99.0%	0.026000000000000002	10.188182482569882
chr10	64720001	64760000	chr10	64720001	66850000	2130000	40000	284370.152914602	98.0%	0.018	10.178842376686724
chr6	20720001	20760000	chr6	18930001	20760000	1830000	40000	525981.7847610774	96.0%	0.009	10.156595324468226
chr11	45530001	45580000	chr11	44380001	45580000	1200000	50000	712779.3483050471	99.0%	0.007	10.148021862859085
chr15	40350001	40390000	chr15	40350001	41850000	1500000	40000	880697.1364410324	98.0%	0.009	10.039454114858806
chr8	128330001	128370000	chr8	126980001	128370000	1390000	40000	609507.2926913345	99.0%	0.015	9.995913601956161
chr17	49870001	49910000	chr17	48380001	49910000	1530000	40000	609279.5740937288	98.0%	0.016	9.912901102246472
chr8	117890001	117950000	chr8	117890001	119390000	1500000	60000	515249.2310019193	99.0%	0.0225	9.9081786641668
chr14	54210001	54260000	chr14	54210001	55740000	1530000	50000	623141.4592735136	99.0%	0.022	9.837648097942829
chr12	40200001	40260000	chr12	40200001	40830000	630000	60000	1081721.3014710394	99.0%	0.018	9.787302262175224
chr12	104910001	104950000	chr12	104450001	104950000	500000	40000	1542278.6530409467	99.0%	0.022	9.71927375444168
chr14	51860001	51910000	chr14	51860001	52360000	500000	50000	1327940.401410934	99.0%	0.0195	9.710504866457654
chr18	40180001	40230000	chr18	37640001	40230000	2590000	50000	287386.6673625964	95.0%	0.009	9.69987903208086
chr9	101670001	101720000	chr9	101670001	102340000	670000	50000	1380473.1391504824	99.0%	0.009	9.513632419718128
chr9	5610001	5650000	chr9	4280001	5650000	1370000	40000	567791.0808471543	99.0%	0.019	9.374022337121751
chr12	29850001	29920000	chr12	28580001	29920000	1340000	70000	972782.9906755609	99.0%	0.021	9.364704378146818
chr10	122530001	122580000	chr10	122530001	123230000	700000	50000	867918.8346019078	99.0%	0.023	9.35148795004206
chr17	81170001	81210000	chr17	81170001	83320000	2150000	40000	349092.2772110756	96.0%	0.013	9.318464275528886
chr5	89350001	89390000	chr5	88560001	89390000	830000	40000	675130.0722169817	99.0%	0.015	9.301960083069046
chr2	17400001	17440000	chr2	17400001	19090000	1690000	40000	464567.0036271079	97.0%	0.012	9.24696253364107
chr4	102640001	102680000	chr4	102000001	102680000	680000	40000	1147382.3432330182	99.0%	0.0155	9.241393129873181
chr11	114590001	114650000	chr11	113680001	114650000	970000	60000	1199391.7335128437	98.0%	0.008	9.11288915020161
chr9	28670001	28720000	chr9	28670001	29600000	930000	50000	1779082.5655971528	99.0%	0.009	9.04215538925409
chr13	92730001	92770000	chr13	92730001	93780000	1050000	40000	752224.3448146479	99.0%	0.017	8.841222865849787
chr11	88940001	88980000	chr11	87470001	88980000	1510000	40000	749035.9758190963	99.0%	0.007	8.837541413202091
chr9	34470001	34510000	chr9	34470001	35570000	1100000	40000	1883183.3028172327	96.0%	0.0265	8.828694109969554
chr14	48340001	48380000	chr14	47580001	48380000	800000	40000	916321.5924092985	99.0%	0.0275	8.798968964102544
chr15	42660001	42710000	chr15	41110001	42710000	1600000	50000	494852.0254714925	98.0%	0.009	8.78126555550021
chr4	74540001	74580000	chr4	74540001	76980000	2440000	40000	191400.72918882073	96.0%	0.0175	8.7485414836875
chr1	69080001	69120000	chr1	67780001	69120000	1340000	40000	626642.3726191728	99.0%	0.012	8.738774161572833
chr15	88810001	88870000	chr15	88810001	89550000	740000	60000	1707063.817960985	98.0%	0.013	8.69346277363818
chr2	42630001	42670000	chr2	40830001	42670000	1840000	40000	456547.23912499426	99.0%	0.0085	8.676393009449761
chr2	50270001	50310000	chr2	50270001	52980000	2710000	40000	281060.35018657765	95.0%	0.037	8.640597725667744
chr19	13950001	13990000	chr19	13950001	16100000	2150000	40000	233809.60097526148	95.0%	0.014	8.621175741516254
chr10	90660001	90710000	chr10	89690001	90710000	1020000	50000	1219224.748664804	99.0%	0.011	8.60629475019579
chr2	50260001	50300000	chr2	48790001	50300000	1510000	40000	504862.7348755538	98.0%	0.018	8.58434496434953
chr4	155060001	155100000	chr4	155060001	155850000	790000	40000	1962401.0180175542	99.0%	0.037	8.536832091154844
chr1	157530001	157570000	chr1	157530001	158960000	1430000	40000	481008.6095587454	99.0%	0.023	8.5317695426968
chr15	42890001	42930000	chr15	41090001	42930000	1840000	40000	275895.1305121135	95.0%	0.0125	8.506094112026945
chr8	17510001	17550000	chr8	15150001	17550000	2400000	40000	412734.09477407095	98.0%	0.0135	8.45840713195724
chr10	21440001	21480000	chr10	21440001	21970000	530000	40000	1211297.7947271597	99.0%	0.027	8.387513167550653
chr2	179840001	179890000	chr2	178540001	179890000	1350000	50000	577774.3306584087	98.0%	0.022	8.362534871351174
chr2	30800001	30830000	chr2	30800001	32770000	1970000	30000	695317.5642107552	97.0%	0.017	8.331277337288125
chr13	97900001	97960000	chr13	97200001	97960000	760000	60000	648233.9082282233	99.0%	0.0395	8.323508072003794
chr15	80680001	80720000	chr15	79660001	80720000	1060000	40000	1262473.9945820335	98.0%	0.0245	8.271921197377276
chr10	38530001	38570000	chr10	36960001	38570000	1610000	40000	390567.92475831654	99.0%	0.027	8.255130014206474
chr4	95000001	95060000	chr4	95000001	95990000	990000	60000	903668.9511956685	99.0%	0.023	8.218973513169578
chr11	30620001	30680000	chr11	29700001	30680000	980000	60000	1001447.3842248651	98.0%	0.009	8.200058635488078
chr7	116020001	116060000	chr7	114570001	116060000	1490000	40000	460398.5015367726	98.0%	0.029	8.147231859066276
chr3	78890001	78930000	chr3	75890001	78930000	3040000	40000	198947.62750432236	99.0%	0.0285	8.11481669529236
chr4	56460001	56510000	chr4	55020001	56510000	1490000	50000	466115.11761712254	97.0%	0.02	8.028652038963857
chr7	27650001	27690000	chr7	27160001	27690000	530000	40000	2189619.504833924	99.0%	0.012	8.022626138093068
chr17	8920001	8960000	chr17	8280001	8960000	680000	40000	1620571.3408474918	99.0%	0.015	8.007551613612197
chr14	22530001	22570000	chr14	22530001	24020000	1490000	40000	799883.3087826642	99.0%	0.019	8.00713389645177
chr7	76360001	76410000	chr7	76360001	78930000	2570000	50000	262699.3026990558	98.0%	0.037	7.872545423372508
chr9	29660001	29700000	chr9	29660001	31100000	1440000	40000	1070344.4705710695	98.0%	0.0165	7.832946537803074
chr3	136640001	136690000	chr3	136640001	137560000	920000	50000	1352419.8792645368	99.0%	0.011	7.802501793157673
chr18	81950001	82010000	chr18	81950001	82730000	780000	60000	937321.023707184	99.0%	0.0395	7.80085801210346
chr13	76280001	76320000	chr13	76280001	77170000	890000	40000	1440328.5091701858	98.0%	0.023	7.743687935986279
chr19	33190001	33250000	chr19	31960001	33250000	1290000	60000	527240.3780799252	95.0%	0.021	7.7280878997599745
chr11	82230001	82270000	chr11	82230001	83640000	1410000	40000	784034.1616167087	96.0%	0.027	7.640331053656939
chr5	111200001	111270000	chr5	110520001	111270000	750000	70000	1423151.5116577987	99.0%	0.025	7.636206605725196
chr5	38280001	38330000	chr5	38280001	38760000	480000	50000	1385161.63769115	99.0%	0.0305	7.627892246204434
chr7	16590001	16630000	chr7	15920001	16630000	710000	40000	2038348.2026046698	99.0%	0.023	7.621862016895507
chr1	16090001	16130000	chr1	16090001	17170000	1080000	40000	599402.6835290197	98.0%	0.03	7.590659206132296
chr4	32500001	32570000	chr4	32070001	32570000	500000	70000	1865133.3545292637	99.0%	0.013	7.554007107312017
chr13	108310001	108350000	chr13	108310001	109760000	1450000	40000	382974.24924542324	99.0%	0.017	7.497243787303375
chr13	64010001	64050000	chr13	62920001	64050000	1130000	40000	908352.3939607152	98.0%	0.015	7.447208012026443
chr2	72490001	72530000	chr2	72490001	73420000	930000	40000	724052.7460502198	99.0%	0.028	7.441189164622122
chr1	85060001	85100000	chr1	85060001	85780000	720000	40000	2164637.3803831004	99.0%	0.034	7.431126196934896
chr18	30490001	30550000	chr18	30490001	31390000	900000	60000	920750.5787540589	99.0%	0.015	7.395044820673574
chr17	73280001	73330000	chr17	73280001	73930000	650000	50000	1098734.3015414425	99.0%	0.046	7.393203406415474
chr14	23370001	23410000	chr14	21830001	23410000	1580000	40000	483355.59528684313	99.0%	0.0195	7.368247735190602
chr7	4100001	4140000	chr7	4100001	5080000	980000	40000	822953.6025318392	99.0%	0.017	7.365255145286938
chr7	35870001	35910000	chr7	35870001	38290000	2420000	40000	328875.94306649757	97.0%	0.0295	7.327182798755846
chr3	157500001	157550000	chr3	157010001	157550000	540000	50000	1063375.7520441941	99.0%	0.031	7.313253956591667
chr9	111460001	111500000	chr9	111460001	114330000	2870000	40000	381219.65921787644	95.0%	0.013	7.311443848288279
chr1	38980001	39020000	chr1	38980001	40090000	1110000	40000	757702.9815098995	98.0%	0.099	7.204427970443297
chr8	64920001	64960000	chr8	63980001	64960000	980000	40000	914195.1831878222	98.0%	0.013	7.127781466134027
chr3	137080001	137120000	chr3	135930001	137120000	1190000	40000	1073378.9115022097	97.0%	0.017	7.105608823399256
chr11	42710001	42760000	chr11	41950001	42760000	810000	50000	1345440.2760183155	99.0%	0.009	7.032103541456337
chr15	12790001	12830000	chr15	12110001	12830000	720000	40000	950861.8911892553	99.0%	0.0175	7.02188921851643
chr17	48920001	48960000	chr17	48920001	50720000	1800000	40000	661188.9165902013	98.0%	0.017	7.016285828301114
chr9	101100001	101180000	chr9	100390001	101180000	790000	80000	1012654.9624173511	99.0%	0.018	7.015626935103845
chr14	14270001	14310000	chr14	14270001	16630000	2360000	40000	363434.3248651601	98.0%	0.0225	6.997268305308061
chr19	27190001	27230000	chr19	26600001	27230000	630000	40000	1612528.5378713582	99.0%	0.021	6.990794707220955
chr7	64700001	64750000	chr7	63690001	64750000	1060000	50000	1501438.6381970514	97.0%	0.0075	6.961788481153931
chr9	37200001	37240000	chr9	36700001	37240000	540000	40000	1531444.8809183147	99.0%	0.0465	6.958210546219788
chr4	137920001	137960000	chr4	137320001	137960000	640000	40000	2395746.004520224	99.0%	0.025	6.946748295054707
chr1	60840001	60880000	chr1	59850001	60880000	1030000	40000	505925.84825670253	99.0%	0.016	6.871905198891509
chr13	14600001	14660000	chr13	13460001	14660000	1200000	60000	443639.25837042794	97.0%	0.027000000000000003	6.8590603161365875
chr9	49450001	49500000	chr9	48900001	49500000	600000	50000	1642234.0170538954	99.0%	0.0245	6.839683348210837
chr9	73950001	74000000	chr9	73200001	74000000	800000	50000	1885229.1047908855	99.0%	0.0075	6.797281456027937
chr11	93760001	93830000	chr11	93010001	93830000	820000	70000	1491916.3657558768	99.0%	0.006500000000000001	6.783597389111652
chr1	85570001	85610000	chr1	83750001	85610000	1860000	40000	1582007.754897551	98.0%	0.0315	6.762466260259674
chr11	108420001	108460000	chr11	108420001	109690000	1270000	40000	514006.8404571391	99.0%	0.016	6.74948065577172
chr17	44230001	44280000	chr17	44230001	45410000	1180000	50000	730333.606521347	99.0%	0.0345	6.739383030543081
chr15	28160001	28200000	chr15	27320001	28200000	880000	40000	771907.6732264336	97.0%	0.025	6.7239825376475055
chr13	52190001	52240000	chr13	51400001	52240000	840000	50000	999643.3757436604	99.0%	0.03	6.684907298293991
chr6	33900001	33940000	chr6	32180001	33940000	1760000	40000	602889.71432805	99.0%	0.008	6.671457834717978
chr6	71120001	71160000	chr6	71120001	72420000	1300000	40000	688754.1594950974	99.0%	0.0225	6.65352402121549
chr9	79700001	79740000	chr9	78590001	79740000	1150000	40000	653161.5605940488	99.0%	0.044	6.650238742351218
chr15	59790001	59850000	chr15	58970001	59850000	880000	60000	856066.3581875222	99.0%	0.022	6.644828922665448
chr1	86320001	86370000	chr1	85810001	86370000	560000	50000	1677431.7775897528	96.0%	0.063	6.59944986133494
chr8	123630001	123670000	chr8	123630001	123990000	360000	40000	1368805.7488166792	99.0%	0.0295	6.528228708431816
chr11	76380001	76420000	chr11	75440001	76420000	980000	40000	1721370.9879820782	99.0%	0.012	6.522793402962664
chr11	109170001	109220000	chr11	108410001	109220000	810000	50000	1042127.7636204921	99.0%	0.02	6.499123969398102
chr14	59060001	59130000	chr14	57340001	59130000	1790000	70000	417485.5629987809	96.0%	0.029	6.468162017145184
chr4	87340001	87400000	chr4	87340001	88460000	1120000	60000	639972.893385364	99.0%	0.015	6.466736722796962
chr11	84790001	84840000	chr11	83940001	84840000	900000	50000	1386096.9222763628	99.0%	0.0125	6.445515222299822
chr14	8310001	8370000	chr14	7800001	8370000	570000	60000	1395918.4643862706	98.0%	0.023	6.430323545182363
chr8	64000001	64040000	chr8	64000001	64960000	960000	40000	808051.4089184259	99.0%	0.02	6.405372674859134
chr12	86060001	86100000	chr12	85010001	86100000	1090000	40000	1123737.5200742444	99.0%	0.026	6.397995539254924
chr14	12110001	12150000	chr14	10630001	12150000	1520000	40000	582985.7699612579	98.0%	0.017	6.3755782258153655
chr17	88930001	88980000	chr17	88930001	90940000	2010000	50000	281573.29485491937	96.0%	0.029	6.352757309387431
chr4	129440001	129480000	chr4	128590001	129480000	890000	40000	1163864.6812255546	98.0%	0.021	6.232450274584628
chr3	152700001	152770000	chr3	152090001	152770000	680000	70000	734912.994396448	98.0%	0.024	6.222818522540246
chr1	169450001	169490000	chr1	167650001	169490000	1840000	40000	350576.8179730719	99.0%	0.031	6.210801040733641
chr4	64520001	64560000	chr4	64520001	66810000	2290000	40000	445194.18949634663	96.0%	0.02	6.183343842512341
chr13	52960001	53000000	chr13	51540001	53000000	1460000	40000	777044.9334886376	98.0%	0.022	6.182229972199136
chr10	70940001	70980000	chr10	69890001	70980000	1090000	40000	492728.6371622588	99.0%	0.026	6.144024089830288
chr7	123500001	123540000	chr7	123500001	125700000	2200000	40000	357315.8787992899	99.0%	0.0275	6.140961265440649
chr1	127180001	127220000	chr1	127180001	128440000	1260000	40000	781336.9589049502	99.0%	0.022	6.125575637080702
chr12	77770001	77810000	chr12	76570001	77810000	1240000	40000	615547.7026922449	98.0%	0.036000000000000004	6.125160895177709
chr19	34580001	34610000	chr19	34580001	36410000	1830000	30000	632275.8489871478	95.0%	0.032	6.121961291154008
chr15	71890001	71930000	chr15	71890001	73330000	1440000	40000	518227.7390239933	98.0%	0.029	6.114711655895228
