chr	start	end	ATAC.ctrl_ATAC.tagAlign.bgz.readCount	ATAC.ctrl_ATAC.tagAlign.bgz.RPM	ATAC.ctrl_ATAC.tagAlign.bgz.readCount.quantile	ATAC.ctrl_ATAC.tagAlign.bgz.RPM.quantile	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM.quantile	ATAC.RPM	ATAC.RPM.quantile	ATAC.RPKM	ATAC.RPKM.quantile	class	isPromoterElement	isGenicElement	isIntergenicElement	promoterSymbol	genicSymbol	name	normalized_atac	activity_base	activity_base_no_qnorm
chr1	3671781	3672281	1483	6.341787	0.783120	0.783120	12.683575	0.798607	6.341787	0.783120	12.683575	0.798607	promoter	True	False	False	Xkr4		promoter|chr1:3671781-3672281	6.341787	6.341787	6.341787
chr1	3985965	3986465	0	0.000000	0.005822	0.005822	0.000000	0.005822	0.000000	0.005822	0.000000	0.005822	promoter	True	False	False	Gm37381	Gm37381	promoter|chr1:3985965-3986465	0.000000	0.000000	0.000000
chr1	4332350	4332850	489	2.091122	0.537244	0.537244	4.182244	0.550339	2.091122	0.537244	4.182244	0.550339	genic	False	True	False		Rp1	genic|chr1:4332350-4332850	2.091122	2.091122	2.091122
chr1	4408991	4409491	43	0.183882	0.085098	0.085098	0.367764	0.085352	0.183882	0.085098	0.367764	0.085352	promoter	True	False	False	Rp1	Rp1	promoter|chr1:4408991-4409491	0.183882	0.183882	0.183882
chr1	4496300	4496800	62	0.265132	0.115699	0.115699	0.530264	0.116065	0.265132	0.115699	0.530264	0.116065	promoter	True	False	False	Gm37587	Gm37587,Sox17	promoter|chr1:4496300-4496800	0.265132	0.265132	0.265132
chr1	4497104	4497604	105	0.449014	0.156728	0.156728	0.898028	0.157306	0.449014	0.156728	0.898028	0.157306	promoter	True	False	False	Sox17	Gm37587,Sox17	promoter|chr1:4497104-4497604	0.449014	0.449014	0.449014
chr1	4571624	4572124	621	2.655597	0.600549	0.600549	5.311193	0.614341	2.655597	0.600549	5.311193	0.614341	intergenic	False	False	True			intergenic|chr1:4571624-4572124	2.655597	2.655597	2.655597
chr1	4586002	4586502	0	0.000000	0.005822	0.005822	0.000000	0.005822	0.000000	0.005822	0.000000	0.005822	promoter	True	False	False	Gm37323	Gm37323	promoter|chr1:4586002-4586502	0.000000	0.000000	0.000000
chr1	4722560	4723060	162	0.692764	0.210084	0.210084	1.385529	0.213025	0.692764	0.210084	1.385529	0.213025	intergenic	False	False	True			intergenic|chr1:4722560-4723060	0.692764	0.692764	0.692764
chr1	4785476	4785989	1558	6.662512	0.790795	0.790795	12.987352	0.802078	6.662512	0.790795	12.987352	0.802078	promoter	True	False	False	Mrpl15	Mrpl15	promoter|chr1:4785476-4785989	6.662512	6.662512	6.662512
chr1	4807537	4808141	4624	19.773719	0.925872	0.925872	32.737945	0.921119	19.773719	0.925872	32.737945	0.921119	promoter	True	False	False	Lypla1,Gm37988	Lypla1,Gm37988	promoter|chr1:4807537-4808141	19.773719	19.773719	19.773719
chr1	4857398	4858063	11601	49.609626	0.984165	0.984165	74.600941	0.978402	49.609626	0.984165	74.600941	0.978402	promoter	True	False	False	Tcea1	Tcea1,Gm37988	promoter|chr1:4857398-4858063	49.609626	49.609626	49.609626
chr1	4970532	4971032	452	1.932898	0.515203	0.515203	3.865796	0.527962	1.932898	0.515203	3.865796	0.527962	genic	False	True	False		Rgs20	genic|chr1:4970532-4971032	1.932898	1.932898	1.932898
chr1	5019184	5019684	1392	5.952642	0.772539	0.772539	11.905284	0.788097	5.952642	0.772539	11.905284	0.788097	genic	False	True	False		Rgs20	genic|chr1:5019184-5019684	5.952642	5.952642	5.952642
chr1	5022792	5023292	1181	5.050338	0.743184	0.743184	10.100676	0.758812	5.050338	0.743184	10.100676	0.758812	genic	False	True	False		Rgs20	genic|chr1:5022792-5023292	5.050338	5.050338	5.050338
chr1	5069767	5070660	413	1.766122	0.488044	0.488044	1.977740	0.313562	1.766122	0.488044	1.977740	0.313562	promoter	True	False	False	Rgs20,Atp6v1h	Rgs20,Atp6v1h	promoter|chr1:5069767-5070660	1.766122	1.766122	1.766122
chr1	5072263	5072763	171	0.731251	0.221503	0.221503	1.462503	0.224910	0.731251	0.221503	1.462503	0.224910	genic	False	True	False		Atp6v1h	genic|chr1:5072263-5072763	0.731251	0.731251	0.731251
chr1	5082974	5083474	1670	7.141460	0.801689	0.801689	14.282920	0.817541	7.141460	0.801689	14.282920	0.817541	genic	False	True	False		Atp6v1h	genic|chr1:5082974-5083474	7.141460	7.141460	7.141460
chr1	5588215	5588715	185	0.791120	0.240361	0.240361	1.582240	0.244943	0.791120	0.240361	1.582240	0.244943	promoter	True	False	False	Oprk1	Oprk1	promoter|chr1:5588215-5588715	0.791120	0.791120	0.791120
chr1	5915247	5915747	149	0.637172	0.195099	0.195099	1.274344	0.197260	0.637172	0.195099	1.274344	0.197260	genic	False	True	False		Npbwr1	genic|chr1:5915247-5915747	0.637172	0.637172	0.637172
chr1	5917148	5917648	84	0.359211	0.140190	0.140190	0.718422	0.140680	0.359211	0.140190	0.718422	0.140680	promoter	True	False	False	Npbwr1	Npbwr1	promoter|chr1:5917148-5917648	0.359211	0.359211	0.359211
chr1	6205946	6206446	0	0.000000	0.005822	0.005822	0.000000	0.005822	0.000000	0.005822	0.000000	0.005822	promoter	True	False	False	Rb1cc1	Rb1cc1	promoter|chr1:6205946-6206446	0.000000	0.000000	0.000000
chr1	6214488	6214988	5577	23.849055	0.941654	0.941654	47.698110	0.952128	23.849055	0.941654	47.698110	0.952128	genic	False	True	False		Rb1cc1	genic|chr1:6214488-6214988	23.849055	23.849055	23.849055
chr1	6272183	6272683	349	1.492437	0.437232	0.437232	2.984874	0.449212	1.492437	0.437232	2.984874	0.449212	genic	False	True	False		Rb1cc1	genic|chr1:6272183-6272683	1.492437	1.492437	1.492437
chr1	6289676	6290176	232	0.992107	0.306985	0.306985	1.984214	0.314389	0.992107	0.306985	1.984214	0.314389	intergenic	False	False	True			intergenic|chr1:6289676-6290176	0.992107	0.992107	0.992107
chr1	6306566	6307066	609	2.604281	0.595407	0.595407	5.208562	0.609270	2.604281	0.595407	5.208562	0.609270	intergenic	False	False	True			intergenic|chr1:6306566-6307066	2.604281	2.604281	2.604281
chr1	6320499	6320999	307	1.312831	0.397036	0.397036	2.625662	0.408047	1.312831	0.397036	2.625662	0.408047	intergenic	False	False	True			intergenic|chr1:6320499-6320999	1.312831	1.312831	1.312831
chr1	6358967	6359643	288	1.231581	0.376365	0.376365	1.821866	0.287471	1.231581	0.376365	1.821866	0.287471	promoter	True	False	False	Alkal1	Alkal1	promoter|chr1:6358967-6359643	1.231581	1.231581	1.231581
chr1	6382624	6383124	307	1.312831	0.397036	0.397036	2.625662	0.408047	1.312831	0.397036	2.625662	0.408047	genic	False	True	False		Alkal1	genic|chr1:6382624-6383124	1.312831	1.312831	1.312831
chr1	6416890	6417390	309	1.321384	0.398961	0.398961	2.642768	0.409937	1.321384	0.398961	2.642768	0.409937	intergenic	False	False	True			intergenic|chr1:6416890-6417390	1.321384	1.321384	1.321384
chr1	6441028	6441833	1480	6.328958	0.782683	0.782683	7.862060	0.708201	6.328958	0.782683	7.862060	0.708201	intergenic	False	False	True			intergenic|chr1:6441028-6441833	6.328958	6.328958	6.328958
chr1	6486980	6487480	200	0.855265	0.261475	0.261475	1.710529	0.266942	0.855265	0.261475	1.710529	0.266942	promoter	True	False	False	St18	St18	promoter|chr1:6486980-6487480	0.855265	0.855265	0.855265
chr1	6510430	6510930	1074	4.592771	0.724969	0.724969	9.185542	0.740568	4.592771	0.724969	9.185542	0.740568	genic	False	True	False		St18	genic|chr1:6510430-6510930	4.592771	4.592771	4.592771
chr1	6594366	6594866	108	0.461843	0.159113	0.159113	0.923686	0.159839	0.461843	0.159113	0.923686	0.159839	genic	False	True	False		St18	genic|chr1:6594366-6594866	0.461843	0.461843	0.461843
chr1	6729456	6729956	1626	6.953302	0.797567	0.797567	13.906603	0.813639	6.953302	0.797567	13.906603	0.813639	genic	False	True	False		St18	genic|chr1:6729456-6729956	6.953302	6.953302	6.953302
chr1	6733767	6734267	1284	5.490799	0.758824	0.758824	10.981598	0.774458	5.490799	0.758824	10.981598	0.774458	genic	False	True	False		St18	genic|chr1:6733767-6734267	5.490799	5.490799	5.490799
chr1	6734690	6735190	608	2.600005	0.595064	0.595064	5.200009	0.608898	2.600005	0.595064	5.200009	0.608898	genic	False	True	False		St18	genic|chr1:6734690-6735190	2.600005	2.600005	2.600005
chr1	6739148	6739648	279	1.193094	0.366127	0.366127	2.386188	0.376247	1.193094	0.366127	2.386188	0.376247	genic	False	True	False		St18	genic|chr1:6739148-6739648	1.193094	1.193094	1.193094
chr1	6741365	6741865	130	0.555922	0.177381	0.177381	1.111844	0.178668	0.555922	0.177381	1.111844	0.178668	genic	False	True	False		St18	genic|chr1:6741365-6741865	0.555922	0.555922	0.555922
chr1	6760481	6760981	500	2.138162	0.543125	0.543125	4.276323	0.556403	2.138162	0.543125	4.276323	0.556403	genic	False	True	False		St18	genic|chr1:6760481-6760981	2.138162	2.138162	2.138162
chr1	6761287	6761787	274	1.171713	0.359975	0.359975	2.343425	0.369835	1.171713	0.359975	2.343425	0.369835	genic	False	True	False		St18	genic|chr1:6761287-6761787	1.171713	1.171713	1.171713
chr1	6769907	6770407	1237	5.289812	0.751999	0.751999	10.579624	0.767727	5.289812	0.751999	10.579624	0.767727	genic	False	True	False		St18	genic|chr1:6769907-6770407	5.289812	5.289812	5.289812
chr1	6783954	6784454	670	2.865137	0.618994	0.618994	5.730273	0.633400	2.865137	0.618994	5.730273	0.633400	genic	False	True	False		St18	genic|chr1:6783954-6784454	2.865137	2.865137	2.865137
chr1	6805167	6805667	526	2.249346	0.557549	0.557549	4.498692	0.571205	2.249346	0.557549	4.498692	0.571205	genic	False	True	False		St18	genic|chr1:6805167-6805667	2.249346	2.249346	2.249346
chr1	6819839	6820339	11710	50.075745	0.984578	0.984578	100.151490	0.989502	50.075745	0.984578	100.151490	0.989502	genic	False	True	False		St18	genic|chr1:6819839-6820339	50.075745	50.075745	50.075745
chr1	6820863	6821363	3066	13.111207	0.883232	0.883232	26.222414	0.898672	13.111207	0.883232	26.222414	0.898672	genic	False	True	False		St18	genic|chr1:6820863-6821363	13.111207	13.111207	13.111207
chr1	6825456	6825956	300	1.282897	0.389408	0.389408	2.565794	0.400266	1.282897	0.389408	2.565794	0.400266	genic	False	True	False		St18	genic|chr1:6825456-6825956	1.282897	1.282897	1.282897
chr1	6858948	6859448	439	1.877306	0.506660	0.506660	3.754612	0.519183	1.877306	0.506660	3.754612	0.519183	genic	False	True	False		St18	genic|chr1:6858948-6859448	1.877306	1.877306	1.877306
chr1	6866862	6867362	958	4.096718	0.701689	0.701689	8.193435	0.717181	4.096718	0.701689	8.193435	0.717181	intergenic	False	False	True			intergenic|chr1:6866862-6867362	4.096718	4.096718	4.096718
chr1	7088622	7089169	21732	92.933057	0.997497	0.997497	169.895899	0.998276	92.933057	0.997497	169.895899	0.998276	promoter	True	False	False	Pcmtd1	Pcmtd1	promoter|chr1:7088622-7089169	92.933057	92.933057	92.933057
chr1	7095316	7095816	336	1.436845	0.425766	0.425766	2.873689	0.437462	1.436845	0.425766	2.873689	0.437462	genic	False	True	False		Pcmtd1	genic|chr1:7095316-7095816	1.436845	1.436845	1.436845
chr1	7397619	7398279	15442	66.034984	0.992277	0.992277	100.053005	0.989479	66.034984	0.992277	100.053005	0.989479	promoter	True	False	False	Gm26901	Gm26901	promoter|chr1:7397619-7398279	66.034984	66.034984	66.034984
chr1	7497717	7498217	25	0.106908	0.050587	0.050587	0.213816	0.050652	0.106908	0.050587	0.213816	0.050652	promoter	True	False	False	Gm30414	Gm30414	promoter|chr1:7497717-7498217	0.106908	0.106908	0.106908
chr1	9248422	9248922	203	0.868094	0.265986	0.265986	1.736187	0.271754	0.868094	0.265986	1.736187	0.271754	genic	False	True	False		Sntg1	genic|chr1:9248422-9248922	0.868094	0.868094	0.868094
chr1	9299187	9300128	573	2.450333	0.580498	0.580498	2.603967	0.405278	2.450333	0.580498	2.603967	0.405278	promoter	True	False	False	Sntg1	Sntg1	promoter|chr1:9299187-9300128	2.450333	2.450333	2.450333
chr1	9545068	9545657	11669	49.900416	0.984377	0.984377	84.720570	0.983775	49.900416	0.984377	84.720570	0.983775	promoter	True	False	False	Rrs1	Rrs1	promoter|chr1:9545068-9545657	49.900416	49.900416	49.900416
chr1	9547697	9548197	157	0.671383	0.204080	0.204080	1.342765	0.206760	0.671383	0.204080	1.342765	0.206760	promoter	True	False	False	Adhfe1	Adhfe1	promoter|chr1:9547697-9548197	0.671383	0.671383	0.671383
chr1	9564430	9564930	297	1.270068	0.385972	0.385972	2.540136	0.396623	1.270068	0.385972	2.540136	0.396623	genic	False	True	False		2610203C22Rik,Adhfe1	genic|chr1:9564430-9564930	1.270068	1.270068	1.270068
chr1	9573189	9573689	284	1.214476	0.371955	0.371955	2.428952	0.382358	1.214476	0.371955	2.428952	0.382358	genic	False	True	False		2610203C22Rik,Adhfe1	genic|chr1:9573189-9573689	1.214476	1.214476	1.214476
chr1	9600948	9601750	190	0.812501	0.247399	0.247399	1.013094	0.168235	0.812501	0.247399	1.013094	0.168235	promoter	True	False	False	Vxn	2610203C22Rik,Vxn	promoter|chr1:9600948-9601750	0.812501	0.812501	0.812501
chr1	9611548	9612048	148	0.632896	0.194113	0.194113	1.265792	0.196204	0.632896	0.194113	1.265792	0.196204	genic	False	True	False		2610203C22Rik,Vxn	genic|chr1:9611548-9612048	0.632896	0.632896	0.632896
chr1	9621344	9621844	311	1.329937	0.400897	0.400897	2.659873	0.411844	1.329937	0.400897	2.659873	0.411844	genic	False	True	False		2610203C22Rik,Vxn	genic|chr1:9621344-9621844	1.329937	1.329937	1.329937
chr1	9622481	9622981	302	1.291450	0.391592	0.391592	2.582899	0.402557	1.291450	0.391592	2.582899	0.402557	genic	False	True	False		2610203C22Rik,Vxn	genic|chr1:9622481-9622981	1.291450	1.291450	1.291450
chr1	9630046	9630546	10218	43.695471	0.979064	0.979064	87.390942	0.984838	43.695471	0.979064	87.390942	0.984838	genic	False	True	False		2610203C22Rik	genic|chr1:9630046-9630546	43.695471	43.695471	43.695471
chr1	9630925	9631425	154	0.658554	0.200880	0.200880	1.317108	0.203407	0.658554	0.200880	1.317108	0.203407	promoter	True	False	False	2610203C22Rik	2610203C22Rik	promoter|chr1:9630925-9631425	0.658554	0.658554	0.658554
chr1	9631456	9631956	1352	5.781589	0.767645	0.767645	11.563178	0.783191	5.781589	0.767645	11.563178	0.783191	promoter	True	False	False	2610203C22Rik		promoter|chr1:9631456-9631956	5.781589	5.781589	5.781589
chr1	9640332	9640832	45	0.192435	0.088752	0.088752	0.384869	0.089024	0.192435	0.088752	0.384869	0.089024	promoter	True	False	False	Gm29520	Gm29520	promoter|chr1:9640332-9640832	0.192435	0.192435	0.192435
chr1	9648727	9649664	1017	4.349021	0.714064	0.714064	4.641431	0.579796	4.349021	0.714064	4.641431	0.579796	intergenic	False	False	True			intergenic|chr1:9648727-9649664	4.349021	4.349021	4.349021
chr1	9658886	9659386	179	0.765462	0.232054	0.232054	1.530924	0.236051	0.765462	0.232054	1.530924	0.236051	intergenic	False	False	True			intergenic|chr1:9658886-9659386	0.765462	0.765462	0.765462
chr1	9699718	9700974	2200	9.407911	0.841318	0.841318	7.490375	0.697562	9.407911	0.841318	7.490375	0.697562	promoter	True	False	False	Mybl1	Mybl1	promoter|chr1:9699718-9700974	9.407911	9.407911	9.407911
chr1	9748132	9748715	11324	48.425084	0.983374	0.983374	83.061894	0.982984	48.425084	0.983374	83.061894	0.982984	promoter	True	False	False	Vcpip1	Vcpip1	promoter|chr1:9748132-9748715	48.425084	48.425084	48.425084
chr1	9772701	9773201	702	3.001979	0.630324	0.630324	6.003958	0.644878	3.001979	0.630324	6.003958	0.644878	intergenic	False	False	True			intergenic|chr1:9772701-9773201	3.001979	3.001979	3.001979
chr1	9797692	9798356	566	2.420399	0.577487	0.577487	3.645179	0.510527	2.420399	0.577487	3.645179	0.510527	promoter	True	False	False	Sgk3	Sgk3	promoter|chr1:9797692-9798356	2.420399	2.420399	2.420399
chr1	9848051	9848551	192	0.821054	0.250251	0.250251	1.642108	0.255163	0.821054	0.250251	1.642108	0.255163	genic	False	True	False		Sgk3	genic|chr1:9848051-9848551	0.821054	0.821054	0.821054
chr1	9874229	9874729	149	0.637172	0.195099	0.195099	1.274344	0.197260	0.637172	0.195099	1.274344	0.197260	genic	False	True	False		Sgk3	genic|chr1:9874229-9874729	0.637172	0.637172	0.637172
chr1	9908387	9908905	260	1.111844	0.342487	0.342487	2.146417	0.340025	1.111844	0.342487	2.146417	0.340025	promoter	True	False	False	Mcmdc2	Mcmdc2	promoter|chr1:9908387-9908905	1.111844	1.111844	1.111844
chr1	9943826	9944368	5556	23.759252	0.941294	0.941294	43.836258	0.945776	23.759252	0.941294	43.836258	0.945776	promoter	True	False	False	Snhg6	Snhg6	promoter|chr1:9943826-9944368	23.759252	23.759252	23.759252
chr1	9967682	9968182	155	0.662830	0.201966	0.201966	1.325660	0.204570	0.662830	0.201966	1.325660	0.204570	promoter	True	False	False	Tcf24	Tcf24	promoter|chr1:9967682-9968182	0.662830	0.662830	0.662830
chr1	10008886	10009413	188	0.803949	0.244518	0.244518	1.525519	0.235278	0.803949	0.244518	1.525519	0.235278	promoter	True	False	False	Ppp1r42	Ppp1r42	promoter|chr1:10008886-10009413	0.803949	0.803949	0.803949
chr1	10037736	10038418	2311	9.882583	0.848137	0.848137	14.490591	0.819933	9.882583	0.848137	14.490591	0.819933	promoter	True	False	False	Cops5,Cspp1	Cops5,Cspp1	promoter|chr1:10037736-10038418	9.882583	9.882583	9.882583
chr1	10039673	10040173	1327	5.674681	0.764315	0.764315	11.349362	0.780002	5.674681	0.764315	11.349362	0.780002	genic	False	True	False		Cspp1	genic|chr1:10039673-10040173	5.674681	5.674681	5.674681
chr1	10232420	10233360	2749	11.755613	0.870384	0.870384	12.505971	0.796587	11.755613	0.870384	12.505971	0.796587	promoter	True	False	False	Arfgef1	Arfgef1	promoter|chr1:10232420-10233360	11.755613	11.755613	11.755613
chr1	10279006	10279506	253	1.081910	0.334286	0.334286	2.163820	0.343119	1.081910	0.334286	2.163820	0.343119	intergenic	False	False	True			intergenic|chr1:10279006-10279506	1.081910	1.081910	1.081910
chr1	10719695	10720195	67	0.286514	0.122407	0.122407	0.573027	0.122773	0.286514	0.122407	0.573027	0.122773	promoter	True	False	False	Cpa6	Cpa6	promoter|chr1:10719695-10720195	0.286514	0.286514	0.286514
chr1	10990738	10991238	297	1.270068	0.385972	0.385972	2.540136	0.396623	1.270068	0.385972	2.540136	0.396623	intergenic	False	False	True			intergenic|chr1:10990738-10991238	1.270068	1.270068	1.270068
chr1	10993214	10993785	548	2.343425	0.568902	0.568902	4.104072	0.544595	2.343425	0.568902	4.104072	0.544595	promoter	True	False	False	Prex2	Prex2	promoter|chr1:10993214-10993785	2.343425	2.343425	2.343425
chr1	11090744	11091244	279	1.193094	0.366127	0.366127	2.386188	0.376247	1.193094	0.366127	2.386188	0.376247	genic	False	True	False		Prex2	genic|chr1:11090744-11091244	1.193094	1.193094	1.193094
chr1	11179492	11179992	132	0.564475	0.178916	0.178916	1.128949	0.180262	0.564475	0.178916	1.128949	0.180262	genic	False	True	False		Prex2	genic|chr1:11179492-11179992	0.564475	0.564475	0.564475
chr1	11413854	11414524	2122	9.074358	0.836098	0.836098	13.543818	0.809352	9.074358	0.836098	13.543818	0.809352	promoter	True	False	False	A830018L16Rik	A830018L16Rik	promoter|chr1:11413854-11414524	9.074358	9.074358	9.074358
chr1	11795630	11796130	124	0.530264	0.171825	0.171825	1.060528	0.172876	0.530264	0.171825	1.060528	0.172876	genic	False	True	False		A830018L16Rik	genic|chr1:11795630-11796130	0.530264	0.530264	0.530264
chr1	12571969	12572469	472	2.018425	0.526923	0.526923	4.036849	0.539930	2.018425	0.526923	4.036849	0.539930	intergenic	False	False	True			intergenic|chr1:12571969-12572469	2.018425	2.018425	2.018425
chr1	12657407	12657907	778	3.326979	0.654992	0.654992	6.653959	0.669847	3.326979	0.654992	6.653959	0.669847	intergenic	False	False	True			intergenic|chr1:12657407-12657907	3.326979	3.326979	3.326979
chr1	12667312	12667812	0	0.000000	0.005822	0.005822	0.000000	0.005822	0.000000	0.005822	0.000000	0.005822	promoter	True	False	False	Gm17644	Gm17644	promoter|chr1:12667312-12667812	0.000000	0.000000	0.000000
chr1	12670926	12671426	62	0.265132	0.115699	0.115699	0.530264	0.116065	0.265132	0.115699	0.530264	0.116065	promoter	True	False	False	Gm29663	Gm29663,Gm17644	promoter|chr1:12670926-12671426	0.265132	0.265132	0.265132
chr1	12692026	12692526	117	0.500330	0.166092	0.166092	1.000660	0.166978	0.500330	0.166092	1.000660	0.166978	promoter	True	False	False	Sulf1	Sulf1	promoter|chr1:12692026-12692526	0.500330	0.500330	0.500330
chr1	12718080	12718580	311	1.329937	0.400897	0.400897	2.659873	0.411844	1.329937	0.400897	2.659873	0.411844	genic	False	True	False		Sulf1	genic|chr1:12718080-12718580	1.329937	1.329937	1.329937
chr1	12836737	12837237	169	0.722699	0.218610	0.218610	1.445397	0.221922	0.722699	0.218610	1.445397	0.221922	genic	False	True	False		Sulf1	genic|chr1:12836737-12837237	0.722699	0.722699	0.722699
chr1	12851813	12852313	285	1.218752	0.372965	0.372965	2.437504	0.383415	1.218752	0.372965	2.437504	0.383415	genic	False	True	False		Sulf1	genic|chr1:12851813-12852313	1.218752	1.218752	1.218752
chr1	12947519	12948019	131	0.560198	0.178131	0.178131	1.120397	0.179412	0.560198	0.178131	1.120397	0.179412	genic	False	True	False		Slco5a1	genic|chr1:12947519-12948019	0.560198	0.560198	0.560198
chr1	12990137	12990637	210	0.898028	0.275999	0.275999	1.796056	0.282293	0.898028	0.275999	1.796056	0.282293	genic	False	True	False		Slco5a1	genic|chr1:12990137-12990637	0.898028	0.898028	0.898028
chr1	12992229	12992900	548	2.343425	0.568902	0.568902	3.492437	0.497373	2.343425	0.568902	3.492437	0.497373	promoter	True	False	False	Slco5a1	Slco5a1	promoter|chr1:12992229-12992900	2.343425	2.343425	2.343425
chr1	13068587	13069087	10	0.042763	0.023221	0.023221	0.085526	0.023233	0.042763	0.023221	0.085526	0.023233	promoter	True	False	False	Gm29283	Gm29283	promoter|chr1:13068587-13069087	0.042763	0.042763	0.042763
chr1	13126913	13127413	77	0.329277	0.133518	0.133518	0.658554	0.133967	0.329277	0.133518	0.658554	0.133967	promoter	True	False	False	Prdm14	Prdm14	promoter|chr1:13126913-13127413	0.329277	0.329277	0.329277
chr1	13142306	13142806	523	2.236517	0.555907	0.555907	4.473034	0.569487	2.236517	0.555907	4.473034	0.569487	genic	False	True	False		Ncoa2	genic|chr1:13142306-13142806	2.236517	2.236517	2.236517
chr1	13146885	13147385	502	2.146714	0.544335	0.544335	4.293429	0.557631	2.146714	0.544335	4.293429	0.557631	genic	False	True	False		Ncoa2	genic|chr1:13146885-13147385	2.146714	2.146714	2.146714
chr1	13166716	13167216	230	0.983554	0.304068	0.304068	1.967109	0.311313	0.983554	0.304068	1.967109	0.311313	genic	False	True	False		Ncoa2	genic|chr1:13166716-13167216	0.983554	0.983554	0.983554
chr1	13188394	13188894	344	1.471055	0.433158	0.433158	2.942110	0.445150	1.471055	0.433158	2.942110	0.445150	genic	False	True	False		Ncoa2	genic|chr1:13188394-13188894	1.471055	1.471055	1.471055
chr1	13196831	13197331	917	3.921388	0.692260	0.692260	7.842777	0.707445	3.921388	0.692260	7.842777	0.707445	genic	False	True	False		Ncoa2	genic|chr1:13196831-13197331	3.921388	3.921388	3.921388
chr1	13268307	13268807	122	0.521711	0.170054	0.170054	1.043423	0.171052	0.521711	0.170054	1.043423	0.171052	genic	False	True	False		Ncoa2	genic|chr1:13268307-13268807	0.521711	0.521711	0.521711
chr1	13277439	13277939	623	2.664149	0.601352	0.601352	5.328299	0.615156	2.664149	0.601352	5.328299	0.615156	genic	False	True	False		Ncoa2	genic|chr1:13277439-13277939	2.664149	2.664149	2.664149
chr1	13290041	13290541	219	0.936515	0.289024	0.289024	1.873030	0.295838	0.936515	0.289024	1.873030	0.295838	genic	False	True	False		Ncoa2	genic|chr1:13290041-13290541	0.936515	0.936515	0.936515
chr1	13304772	13305272	200	0.855265	0.261475	0.261475	1.710529	0.266942	0.855265	0.261475	1.710529	0.266942	genic	False	True	False		Ncoa2	genic|chr1:13304772-13305272	0.855265	0.855265	0.855265
chr1	13328824	13329324	292	1.248686	0.380894	0.380894	2.497373	0.391338	1.248686	0.380894	2.497373	0.391338	genic	False	True	False		Ncoa2	genic|chr1:13328824-13329324	1.248686	1.248686	1.248686
chr1	13329455	13329955	280	1.197371	0.367479	0.367479	2.394741	0.377647	1.197371	0.367479	2.394741	0.377647	genic	False	True	False		Ncoa2	genic|chr1:13329455-13329955	1.197371	1.197371	1.197371
