chr	start	end	name	score	strand	Ensembl_ID	gene_type	symbol	tss	Expression	is_ue	cellType	ATAC.ctrl_ATAC.tagAlign.bgz.readCount	ATAC.ctrl_ATAC.tagAlign.bgz.RPM	ATAC.ctrl_ATAC.tagAlign.bgz.readCount.quantile	ATAC.ctrl_ATAC.tagAlign.bgz.RPM.quantile	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM.quantile	ATAC.RPM	ATAC.RPM.quantile	ATAC.RPKM	ATAC.RPKM.quantile	ATAC.ctrl_ATAC.tagAlign.bgz.readCount.TSS1Kb	ATAC.ctrl_ATAC.tagAlign.bgz.RPM.TSS1Kb	ATAC.ctrl_ATAC.tagAlign.bgz.readCount.quantile.TSS1Kb	ATAC.ctrl_ATAC.tagAlign.bgz.RPM.quantile.TSS1Kb	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM.TSS1Kb	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM.quantile.TSS1Kb	ATAC.RPM.TSS1Kb	ATAC.RPM.quantile.TSS1Kb	ATAC.RPKM.TSS1Kb	ATAC.RPKM.quantile.TSS1Kb	PromoterActivityQuantile
chr1	6206196	6276648	Rb1cc1	0	+	ENSMUSG00000025907	protein_coding	Rb1cc1	6206196		False		8944	38.247435	0.839193	0.839193	0.542886	0.592586	38.247435	0.839193	0.542886	0.592586	2	0.008553	0.019634	0.019634	0.008553	0.019634	0.008553	0.019634	0.008553	0.019634	0.019634
chr1	6359217	6394731	Alkal1	0	+	ENSMUSG00000087247	protein_coding	Alkal1	6359217		False		1404	6.003958	0.426941	0.426941	0.169059	0.179218	6.003958	0.426941	0.169059	0.179218	325	1.389805	0.529929	0.529929	1.389805	0.529929	1.389805	0.529929	1.389805	0.529929	0.529929
chr1	6487230	6860940	St18	0	+	ENSMUSG00000033740	protein_coding	St18	6487230		True		37463	160.203898	0.980473	0.980473	0.428685	0.512563	160.203898	0.980473	0.428685	0.512563	226	0.966449	0.491353	0.491353	0.966449	0.491353	0.966449	0.491353	0.966449	0.491353	0.491353
chr1	7088919	7173628	Pcmtd1	0	+	ENSMUSG00000051285	protein_coding	Pcmtd1	7088919		False		15729	67.262288	0.920899	0.920899	0.794039	0.703122	67.262288	0.920899	0.794039	0.703122	22504	96.234378	0.992841	0.992841	96.234378	0.992841	96.234378	0.992841	96.234378	0.992841	0.992841
chr1	7349405	7397869	Gm26901	0	-	ENSMUSG00000097797	lincRNA	Gm26901	7397869		False		4488	19.192139	0.683560	0.683560	0.396008	0.481128	19.192139	0.683560	0.396008	0.481128	15826	67.677092	0.978276	0.978276	67.677092	0.978276	67.677092	0.978276	67.677092	0.978276	0.978276
chr1	7497967	7518149	Gm30414	0	+	ENSMUSG00000103067	lincRNA	Gm30414	7497967		False		303	1.295726	0.197328	0.197328	0.064202	0.032888	1.295726	0.197328	0.064202	0.032888	25	0.106908	0.077453	0.077453	0.106908	0.077453	0.106908	0.077453	0.106908	0.077453	0.077453
chr1	8361474	9299878	Sntg1	0	-	ENSMUSG00000025909	protein_coding	Sntg1	9299878		False		13582	58.081022	0.903569	0.903569	0.061893	0.030974	58.081022	0.903569	0.061893	0.030974	507	2.168096	0.569107	0.569107	2.168096	0.569107	2.168096	0.569107	2.168096	0.569107	0.569107
chr1	9545407	9547455	Rrs1	0	+	ENSMUSG00000061024	protein_coding	Rrs1	9545407		False		3155	13.491800	0.592373	0.592373	6.587793	0.974483	13.491800	0.592373	6.587793	0.974483	11912	50.939563	0.959138	0.959138	50.939563	0.959138	50.939563	0.959138	50.939563	0.959138	0.959138
chr1	9547947	9580673	Adhfe1	0	+	ENSMUSG00000025911	protein_coding	Adhfe1	9547947		False		2592	11.084230	0.547347	0.547347	0.338698	0.422263	11.084230	0.547347	0.338698	0.422263	206	0.880923	0.479339	0.479339	0.880923	0.479339	0.880923	0.479339	0.880923	0.479339	0.479339
chr1	9560831	9631175	2610203C22Rik	0	-	ENSMUSG00000079671	processed_transcript	2610203C22Rik	9631175		False		15913	68.049132	0.922139	0.922139	0.967376	0.747493	68.049132	0.922139	0.967376	0.747493	1049	4.485863	0.629213	0.629213	4.485863	0.629213	4.485863	0.629213	4.485863	0.629213	0.629213
chr1	9601198	9627143	Vxn	0	+	ENSMUSG00000067879	protein_coding	Vxn	9601198		False		2223	9.506267	0.513875	0.513875	0.366401	0.451536	9.506267	0.513875	0.366401	0.451536	201	0.859541	0.475972	0.475972	0.859541	0.475972	0.859541	0.475972	0.859541	0.475972	0.475972
chr1	9639254	9640582	Gm29520	0	-	ENSMUSG00000099827	lincRNA	Gm29520	9640582		False		61	0.260856	0.036981	0.036981	0.196427	0.221533	0.260856	0.036981	0.196427	0.221533	91	0.389145	0.316494	0.316494	0.389145	0.316494	0.389145	0.316494	0.389145	0.316494	0.316494
chr1	9667414	9700209	Mybl1	0	-	ENSMUSG00000025912	protein_coding	Mybl1	9700209		False		1085	4.639811	0.384750	0.384750	0.141479	0.134724	4.639811	0.384750	0.141479	0.134724	1991	8.514160	0.703548	0.703548	8.514160	0.703548	8.514160	0.703548	8.514160	0.703548	0.703548
chr1	9718621	9748382	Vcpip1	0	-	ENSMUSG00000045210	protein_coding	Vcpip1	9748382		False		2309	9.874030	0.521636	0.521636	0.331778	0.414573	9.874030	0.521636	0.331778	0.414573	11541	49.353047	0.956657	0.956657	49.353047	0.956657	49.353047	0.956657	49.353047	0.956657	0.956657
chr1	9798106	9900845	Sgk3	0	+	ENSMUSG00000025915	protein_coding	Sgk3	9798106		False		4589	19.624047	0.689815	0.689815	0.191009	0.214162	19.624047	0.689815	0.191009	0.214162	738	3.155927	0.598894	0.598894	3.155927	0.598894	3.155927	0.598894	3.155927	0.598894	0.598894
chr1	9908637	9942085	Mcmdc2	0	+	ENSMUSG00000046101	protein_coding	Mcmdc2	9908637		False		957	4.092441	0.365365	0.365365	0.122352	0.104760	4.092441	0.365365	0.122352	0.104760	271	1.158884	0.512634	0.512634	1.158884	0.512634	1.158884	0.512634	1.158884	0.512634	0.512634
chr1	9941958	9944118	Snhg6	0	-	ENSMUSG00000098234	lincRNA	Snhg6	9944118		False		2730	11.674362	0.558582	0.558582	5.404797	0.966297	11.674362	0.558582	5.404797	0.966297	5609	23.985897	0.870699	0.870699	23.985897	0.870699	23.985897	0.870699	23.985897	0.870699	0.870699
chr1	9960162	9967932	Tcf24	0	-	ENSMUSG00000099032	protein_coding	Tcf24	9967932		False		511	2.185201	0.273700	0.273700	0.281236	0.349576	2.185201	0.273700	0.281236	0.349576	257	1.099015	0.506237	0.506237	1.099015	0.506237	1.099015	0.506237	1.099015	0.506237	0.506237
chr1	9968623	10009136	Ppp1r42	0	-	ENSMUSG00000025916	protein_coding	Ppp1r42	10009136		False		1705	7.291131	0.460024	0.460024	0.179970	0.196123	7.291131	0.460024	0.179970	0.196123	217	0.927962	0.486338	0.486338	0.927962	0.486338	0.927962	0.486338	0.927962	0.486338	0.486338
chr1	10024600	10038168	Cops5	0	-	ENSMUSG00000025917	protein_coding	Cops5	10038168		False		2445	10.455610	0.534288	0.534288	0.770608	0.694652	10.455610	0.534288	0.770608	0.694652	2342	10.015149	0.726264	0.726264	10.015149	0.726264	10.015149	0.726264	10.015149	0.726264	0.726264
chr1	10037986	10136768	Cspp1	0	+	ENSMUSG00000056763	protein_coding	Cspp1	10037986		False		7220	30.875054	0.797835	0.797835	0.312557	0.390049	30.875054	0.797835	0.312557	0.390049	2380	10.177649	0.728869	0.728869	10.177649	0.728869	10.177649	0.728869	10.177649	0.728869	0.728869
chr1	10137570	10232670	Arfgef1	0	-	ENSMUSG00000067851	protein_coding	Arfgef1	10232670		False		3420	14.625026	0.613655	0.613655	0.153786	0.154375	14.625026	0.613655	0.153786	0.154375	2666	11.400678	0.746270	0.746270	11.400678	0.746270	11.400678	0.746270	11.400678	0.746270	0.746270
chr1	10324719	10719945	Cpa6	0	-	ENSMUSG00000042501	protein_coding	Cpa6	10719945		False		10156	43.430339	0.861360	0.861360	0.109887	0.087571	43.430339	0.861360	0.109887	0.087571	112	0.478948	0.368749	0.368749	0.478948	0.368749	0.478948	0.368749	0.478948	0.368749	0.368749
chr1	10993464	11303681	Prex2	0	+	ENSMUSG00000048960	protein_coding	Prex2	10993464		False		14166	60.578395	0.908566	0.908566	0.195277	0.220116	60.578395	0.908566	0.195277	0.220116	671	2.869413	0.591027	0.591027	2.869413	0.591027	2.869413	0.591027	2.869413	0.591027	0.591027
chr1	11414104	11975901	A830018L16Rik	0	+	ENSMUSG00000057715	protein_coding	A830018L16Rik	11414104		False		14063	60.137934	0.907485	0.907485	0.107046	0.083567	60.137934	0.907485	0.107046	0.083567	2254	9.638833	0.721480	0.721480	9.638833	0.721480	9.638833	0.721480	9.638833	0.721480	0.721480
chr1	12667562	12673090	Gm17644	0	+	ENSMUSG00000097171	lincRNA	Gm17644	12667562		False		215	0.919409	0.149555	0.149555	0.166319	0.174221	0.919409	0.149555	0.166319	0.174221	0	0.000000	0.008718	0.008718	0.000000	0.008718	0.000000	0.008718	0.000000	0.008718	0.008718
chr1	12670323	12671176	Gm29663	0	-	ENSMUSG00000101314	lincRNA	Gm29663	12671176		False		61	0.260856	0.036981	0.036981	0.305810	0.381827	0.260856	0.036981	0.305810	0.381827	88	0.376316	0.307935	0.307935	0.376316	0.307935	0.376316	0.307935	0.376316	0.307935	0.307935
chr1	12692276	12861192	Sulf1	0	+	ENSMUSG00000016918	protein_coding	Sulf1	12692276		False		12177	52.072788	0.888720	0.888720	0.308276	0.384733	52.072788	0.888720	0.308276	0.384733	153	0.654277	0.432629	0.432629	0.654277	0.432629	0.654277	0.432629	0.654277	0.432629	0.432629
chr1	12866548	12992650	Slco5a1	0	-	ENSMUSG00000025938	protein_coding	Slco5a1	12992650		False		6582	28.146760	0.776535	0.776535	0.223206	0.263635	28.146760	0.776535	0.223206	0.263635	650	2.779610	0.588404	0.588404	2.779610	0.588404	2.779610	0.588404	2.779610	0.588404	0.588404
chr1	13068837	13078662	Gm29283	0	+	ENSMUSG00000099498	lincRNA	Gm29283	13068837		False		475	2.031254	0.263635	0.263635	0.206743	0.239217	2.031254	0.263635	0.206743	0.239217	23	0.098355	0.070082	0.070082	0.098355	0.070082	0.098355	0.070082	0.098355	0.070082	0.070082
chr1	13113456	13127163	Prdm14	0	-	ENSMUSG00000042414	protein_coding	Prdm14	13127163		False		912	3.900007	0.357816	0.357816	0.284527	0.354680	3.900007	0.357816	0.284527	0.354680	133	0.568751	0.406617	0.406617	0.568751	0.406617	0.568751	0.406617	0.568751	0.406617	0.406617
chr1	13139104	13374083	Ncoa2	0	-	ENSMUSG00000005886	protein_coding	Ncoa2	13374083		True		31380	134.191024	0.972711	0.972711	0.571077	0.608357	134.191024	0.972711	0.571077	0.608357	1451	6.204945	0.663324	0.663324	6.204945	0.663324	6.204945	0.663324	6.204945	0.663324	0.663324
chr1	13564697	13589910	Tram1	0	-	ENSMUSG00000025935	protein_coding	Tram1	13589910		False		3095	13.235220	0.587873	0.587873	0.524936	0.582202	13.235220	0.587873	0.524936	0.582202	2224	9.510543	0.718698	0.718698	9.510543	0.718698	9.510543	0.718698	9.510543	0.718698	0.718698
chr1	13623329	13660546	Lactb2	0	-	ENSMUSG00000025937	protein_coding	Lactb2	13660546		False		3440	14.710552	0.615338	0.615338	0.395264	0.480242	14.710552	0.615338	0.395264	0.480242	2396	10.246071	0.729897	0.729897	10.246071	0.729897	10.246071	0.729897	10.246071	0.729897	0.729897
chr1	13668770	13701723	Xkr9	0	+	ENSMUSG00000067813	protein_coding	Xkr9	13668770		False		603	2.578623	0.298242	0.298242	0.078252	0.047241	2.578623	0.298242	0.078252	0.047241	36	0.153948	0.119308	0.119308	0.153948	0.119308	0.153948	0.119308	0.153948	0.119308	0.119308
chr1	14168953	14310235	Eya1	0	-	ENSMUSG00000025932	protein_coding	Eya1	14310235		False		10228	43.738234	0.862601	0.862601	0.309581	0.386611	43.738234	0.862601	0.309581	0.386611	399	1.706253	0.548552	0.548552	1.706253	0.548552	1.706253	0.548552	1.706253	0.548552	0.548552
chr1	14753345	14755992	Msc	0	-	ENSMUSG00000025930	protein_coding	Msc	14755992		False		512	2.189478	0.274001	0.274001	0.827154	0.712797	2.189478	0.274001	0.827154	0.712797	284	1.214476	0.516958	0.516958	1.214476	0.516958	1.214476	0.516958	1.214476	0.516958	0.516958
chr1	14872647	14918862	Trpa1	0	-	ENSMUSG00000032769	protein_coding	Trpa1	14918862		False		2070	8.851989	0.498955	0.498955	0.191539	0.215083	8.851989	0.498955	0.191539	0.215083	111	0.474672	0.366517	0.366517	0.474672	0.366517	0.474672	0.366517	0.474672	0.366517	0.366517
chr1	15287253	15723750	Kcnb2	0	+	ENSMUSG00000092083	protein_coding	Kcnb2	15287253		False		23742	101.528467	0.956941	0.956941	0.232598	0.278059	101.528467	0.956941	0.232598	0.278059	1465	6.264814	0.664582	0.664582	6.264814	0.664582	6.264814	0.664582	6.264814	0.664582	0.664582
chr1	15805645	15844052	Terf1	0	+	ENSMUSG00000025925	protein_coding	Terf1	15805645		False		3646	15.591475	0.630453	0.630453	0.405954	0.492717	15.591475	0.630453	0.405954	0.492717	5926	25.341492	0.878832	0.878832	25.341492	0.878832	25.341492	0.878832	25.341492	0.878832	0.878832
chr1	15853861	15892722	Sbspon	0	-	ENSMUSG00000032719	protein_coding	Sbspon	15892722		False		1568	6.705275	0.445086	0.445086	0.172545	0.184995	6.705275	0.445086	0.172545	0.184995	324	1.385529	0.529592	0.529592	1.385529	0.529592	1.385529	0.529592	1.385529	0.529592	0.529592
chr1	16065978	16093325	4930444P10Rik	0	-	ENSMUSG00000067795	protein_coding	4930444P10Rik	16093325		False		2494	10.665150	0.538558	0.538558	0.389993	0.475458	10.665150	0.538558	0.389993	0.475458	1086	4.644087	0.632526	0.632526	4.644087	0.632526	4.644087	0.632526	4.644087	0.632526	0.632526
chr1	16101294	16104662	Rpl7	0	-	ENSMUSG00000043716	protein_coding	Rpl7	16104662		False		2324	9.938175	0.523000	0.523000	2.950765	0.923628	9.938175	0.523000	2.950765	0.923628	8585	36.712235	0.928377	0.928377	36.712235	0.928377	36.712235	0.928377	36.712235	0.928377	0.928377
chr1	16105773	16133734	Rdh10	0	+	ENSMUSG00000025921	protein_coding	Rdh10	16105773		False		4278	18.294111	0.670730	0.670730	0.654272	0.649927	18.294111	0.670730	0.654272	0.649927	1980	8.467120	0.702803	0.702803	8.467120	0.702803	8.467120	0.702803	8.467120	0.702803	0.702803
chr1	16228673	16520112	Stau2	0	-	ENSMUSG00000025920	protein_coding	Stau2	16520112		False		14163	60.565566	0.908513	0.908513	0.207816	0.240281	60.565566	0.908513	0.207816	0.240281	2401	10.267452	0.730145	0.730145	10.267452	0.730145	10.267452	0.730145	10.267452	0.730145	0.730145
chr1	16540789	16619489	Ube2w	0	-	ENSMUSG00000025939	protein_coding	Ube2w	16619489		False		7299	31.212883	0.800262	0.800262	0.396606	0.481873	31.212883	0.800262	0.396606	0.481873	4592	19.636876	0.838856	0.838856	19.636876	0.838856	19.636876	0.838856	19.636876	0.838856	0.838856
chr1	16641724	16657042	Eloc	0	-	ENSMUSG00000079658	protein_coding	Eloc	16657042		False		7786	33.295453	0.813056	0.813056	2.173616	0.890704	33.295453	0.813056	2.173616	0.890704	11639	49.772126	0.957402	0.957402	49.772126	0.957402	49.772126	0.957402	49.772126	0.957402	0.957402
chr1	16657551	16662278	D030040B21Rik	0	+	ENSMUSG00000097744	lincRNA	D030040B21Rik	16657551		False		159	0.679935	0.109048	0.109048	0.143841	0.138888	0.679935	0.109048	0.143841	0.138888	7325	31.324068	0.906156	0.906156	31.324068	0.906156	31.324068	0.906156	31.324068	0.906156	0.906156
chr1	16665206	16678275	Tmem70	0	+	ENSMUSG00000025940	protein_coding	Tmem70	16665206		False		1654	7.073039	0.454779	0.454779	0.541207	0.591771	7.073039	0.454779	0.541207	0.591771	1707	7.299684	0.683560	0.683560	7.299684	0.683560	7.299684	0.683560	7.299684	0.683560	0.683560
chr1	16688050	16709611	Ly96	0	+	ENSMUSG00000025779	protein_coding	Ly96	16688050		False		806	3.446717	0.339104	0.339104	0.159859	0.163979	3.446717	0.339104	0.159859	0.163979	136	0.581580	0.411029	0.411029	0.581580	0.411029	0.581580	0.411029	0.581580	0.411029	0.411029
chr1	16964559	17097889	Jph1	0	-	ENSMUSG00000042686	protein_coding	Jph1	17097889		False		30091	128.678843	0.970408	0.970408	0.965115	0.747138	128.678843	0.970408	0.965115	0.747138	4591	19.632600	0.838821	0.838821	19.632600	0.838821	19.632600	0.838821	19.632600	0.838821	0.838821
chr1	17124746	17128956	Gm28783	0	+	ENSMUSG00000100110	lincRNA	Gm28783	17124746		False		252	1.077633	0.171404	0.171404	0.255970	0.312861	1.077633	0.171404	0.255970	0.312861	69	0.295066	0.246855	0.246855	0.295066	0.246855	0.295066	0.246855	0.295066	0.246855	0.246855
chr1	17145361	17164271	Gdap1	0	+	ENSMUSG00000025777	protein_coding	Gdap1	17145361		False		3006	12.854628	0.580714	0.580714	0.679779	0.660347	12.854628	0.580714	0.679779	0.660347	1905	8.146396	0.698037	0.698037	8.146396	0.698037	8.146396	0.698037	8.146396	0.698037	0.698037
chr1	17168402	17173103	Gm28784	0	+	ENSMUSG00000099899	lincRNA	Gm28784	17168402		False		209	0.893752	0.145302	0.145302	0.190119	0.212602	0.893752	0.145302	0.190119	0.212602	54	0.230921	0.190399	0.190399	0.230921	0.190399	0.230921	0.190399	0.230921	0.190399	0.190399
chr1	17601900	17630939	Pi15	0	+	ENSMUSG00000067780	protein_coding	Pi15	17601900		False		1016	4.344744	0.374083	0.374083	0.149618	0.147393	4.344744	0.374083	0.149618	0.147393	73	0.312172	0.260818	0.260818	0.312172	0.260818	0.312172	0.260818	0.312172	0.260818	0.260818
chr1	17727044	17766344	Crispld1	0	+	ENSMUSG00000025776	protein_coding	Crispld1	17727044		False		1849	7.906922	0.476610	0.476610	0.201194	0.229613	7.906922	0.476610	0.201194	0.229613	176	0.752633	0.456090	0.456090	0.752633	0.456090	0.752633	0.456090	0.752633	0.456090	0.456090
chr1	17994461	18059056	Gm28756	0	-	ENSMUSG00000109887	processed_transcript	Gm28756	18059056		False		2861	12.234561	0.569834	0.569834	0.189404	0.211397	12.234561	0.569834	0.189404	0.211397	243	1.039147	0.500124	0.500124	1.039147	0.500124	1.039147	0.500124	1.039147	0.500124	0.500124
chr1	18115190	18145902	Crisp4	0	-	ENSMUSG00000025774	protein_coding	Crisp4	18145902		False		807	3.450993	0.339264	0.339264	0.112366	0.090867	3.450993	0.339264	0.112366	0.090867	26	0.111184	0.081316	0.081316	0.111184	0.081316	0.111184	0.081316	0.111184	0.081316	0.081316
chr1	18236472	18237443	Defb18	0	-	ENSMUSG00000073735	protein_coding	Defb18	18237443		False		28	0.119737	0.013325	0.013325	0.123313	0.106035	0.119737	0.013325	0.123313	0.106035	27	0.115461	0.085037	0.085037	0.115461	0.085037	0.115461	0.085037	0.115461	0.085037	0.085037
chr1	18250979	18265138	Defb41	0	-	ENSMUSG00000067773	protein_coding	Defb41	18265138		False		359	1.535200	0.222667	0.222667	0.108426	0.085728	1.535200	0.222667	0.108426	0.085728	29	0.124013	0.092232	0.092232	0.124013	0.092232	0.124013	0.092232	0.124013	0.092232	0.092232
chr1	19103021	19166346	Tfap2d	0	+	ENSMUSG00000042596	protein_coding	Tfap2d	19103021		False		2392	10.228965	0.529610	0.529610	0.161531	0.167204	10.228965	0.529610	0.161531	0.167204	50	0.213816	0.174948	0.174948	0.213816	0.174948	0.213816	0.174948	0.213816	0.174948	0.174948
chr1	19208913	19238576	Tfap2b	0	+	ENSMUSG00000025927	protein_coding	Tfap2b	19208913		False		2708	11.580283	0.556863	0.556863	0.390395	0.475777	11.580283	0.556863	0.390395	0.475777	128	0.547369	0.397952	0.397952	0.547369	0.397952	0.547369	0.397952	0.547369	0.397952	0.397952
chr1	19242724	19243769	Gm28340	0	+	ENSMUSG00000100538	lincRNA	Gm28340	19242724		False		34	0.145395	0.016745	0.016745	0.139134	0.130524	0.145395	0.016745	0.139134	0.130524	64	0.273685	0.228444	0.228444	0.273685	0.228444	0.273685	0.228444	0.273685	0.228444	0.228444
chr1	20057778	20618064	Pkhd1	0	-	ENSMUSG00000043760	protein_coding	Pkhd1	20618064		False		19554	83.619225	0.941950	0.941950	0.149244	0.147039	83.619225	0.941950	0.149244	0.147039	79	0.337830	0.278857	0.278857	0.337830	0.278857	0.337830	0.278857	0.337830	0.278857	0.278857
chr1	20669881	20684298	Gm28653	0	+	ENSMUSG00000099906	lincRNA	Gm28653	20669881		False		1206	5.157246	0.400539	0.400539	0.357720	0.442428	5.157246	0.400539	0.357720	0.442428	75	0.320724	0.267268	0.267268	0.320724	0.267268	0.320724	0.267268	0.320724	0.267268	0.267268
chr1	20730904	20734496	Il17a	0	+	ENSMUSG00000025929	protein_coding	Il17a	20730904		False		205	0.876646	0.142822	0.142822	0.244055	0.294716	0.876646	0.142822	0.244055	0.294716	92	0.393422	0.319736	0.319736	0.393422	0.319736	0.393422	0.319736	0.393422	0.319736	0.319736
chr1	20777145	20790617	Il17f	0	-	ENSMUSG00000041872	protein_coding	Il17f	20790617		False		582	2.488820	0.293192	0.293192	0.184740	0.203601	2.488820	0.293192	0.184740	0.203601	25	0.106908	0.077453	0.077453	0.106908	0.077453	0.106908	0.077453	0.106908	0.077453	0.077453
chr1	20802967	20820312	Mcm3	0	-	ENSMUSG00000041859	protein_coding	Mcm3	20820312		False		2158	9.228306	0.507425	0.507425	0.532044	0.586738	9.228306	0.507425	0.532044	0.586738	5635	24.097082	0.871460	0.871460	24.097082	0.871460	24.097082	0.871460	24.097082	0.871460	0.871460
chr1	20836660	20839689	Gm28065	0	+	ENSMUSG00000102121	lincRNA	Gm28065	20836660		False		72	0.307895	0.045983	0.045983	0.101649	0.076443	0.307895	0.045983	0.101649	0.076443	35	0.149671	0.115321	0.115321	0.149671	0.115321	0.149671	0.115321	0.149671	0.115321	0.115321
