anchor_id	anchor_chr	anchor_start	anchor_end	median_lost_distance	median_gained_distance	mean_lost_distance	mean_gained_distance	n_lost	n_gained
shared_75	chr18	64325000	64350000	32075000	302500	32075000	302500	2	2
shared_76	chr18	78130000	78140000	340000	125000	340000	125000	1	1
shared_77	chr19	11760000	11775000	240000	150000	240000	150000	1	1
shared_78	chr19	16775000	16825000	1162500	230000	1163750	230000	4	1
shared_79	chr19	17120000	17130000	90000	1420000	90000	1420000	1	1
shared_80	chr19	17140000	17150000	80000	1420000	76666.66666666667	1420000	3	1
shared_81	chr19	18525000	18560000	1737500	690000	1737500	928333.3333333334	2	3
shared_82	chr19	25600000	25630000	18000000	80000	18000000	80000	1	1
shared_83	chr19	28770000	28780000	720000	110000	720000	110000	1	1
shared_84	chr19	58460000	58470000	810000	520000	810000	520000	1	2
shared_85	chr2	26440000	26450000	580000	120000	580000	120000	1	1
shared_86	chr2	27020000	27030000	580000	195000	580000	195000	1	1
shared_87	chr2	27040000	27045000	580000	195000	580000	195000	1	1
shared_88	chr2	71525000	71550000	2427500	390000	2432500	390000	4	1
shared_89	chr2	74650000	74725000	1412500	425000	1815000	444000	6	5
shared_90	chr2	74960000	74970000	900000	265000	900000	265000	1	1
shared_91	chr2	80250000	80275000	1300000	400000	1300000	400000	1	1
shared_92	chr2	93475000	93480000	345000	180000	345000	180000	1	1
shared_93	chr2	109670000	109700000	200000	1365000	200000	1365000	2	2
shared_94	chr2	118225000	118250000	170000	700000	170000	700000	1	1
shared_95	chr2	118260000	118265000	170000	700000	170000	700000	1	1
shared_96	chr2	122750000	122760000	560000	115000	560000	115000	1	1
shared_97	chr2	124600000	124650000	2275000	500000	2275000	500000	1	1
shared_98	chr2	167270000	167280000	330000	127500	330000	127500	1	2
shared_99	chr2	167600000	167610000	330000	65000	330000	65000	1	1
shared_100	chr3	30500000	30525000	36475000	600000	57208333.333333336	600000	3	2
shared_101	chr3	50900000	50910000	7090000	220000	7090000	220000	2	1
shared_102	chr3	51100000	51150000	9050000	740000	9050000	552000	1	5
shared_103	chr3	66950000	67000000	48562500	575000	52575000	575000	6	1
shared_104	chr3	93490000	93500000	1340000	130000	1340000	130000	1	1
shared_105	chr3	99225000	99250000	32275000	800000	32275000	808333.3333333334	1	3
shared_106	chr3	127620000	127650000	31115000	140000	31115000	140000	2	1
shared_107	chr3	129200000	129225000	43675000	875000	46907500	875000	4	1
shared_108	chr3	135280000	135290000	450000	300000	450000	300000	1	1
shared_109	chr4	20000000	20050000	9025000	1345000	9025000	1345000	1	2
shared_110	chr4	24150000	24160000	2140000	1680000	2140000	1680000	1	1
shared_111	chr4	33395000	33400000	125000	835000	125000	835000	1	1
shared_112	chr4	45750000	45775000	1532500	295000	1532500	295000	2	2
shared_113	chr4	46600000	46605000	50000	425000	50000	425000	1	1
shared_114	chr4	46610000	46615000	50000	425000	50000	425000	1	1
shared_115	chr4	47275000	47300000	1532500	60000	1532500	60000	2	1
shared_116	chr4	47375000	47425000	1262500	175000	1262500	201000	2	5
shared_117	chr4	48675000	48700000	1262500	80000	1262500	80000	2	1
shared_118	chr4	55000000	55010000	300000	55000	300000	55000	1	1
shared_119	chr4	58175000	58225000	1662500	300000	1662500	250000	2	3
shared_120	chr4	98720000	98730000	460000	170000	460000	170000	1	1
shared_121	chr4	117830000	117840000	460000	35000	460000	35000	1	1
shared_122	chr4	118290000	118300000	522500	75000	522500	75000	2	1
shared_123	chr4	125960000	125970000	800000	850000	800000	860000	1	3
shared_124	chr4	125975000	126000000	800000	850000	800000	860000	1	3
shared_125	chr5	49960000	49965000	1110000	240000	1110000	240000	2	1
shared_126	chr5	49970000	50000000	1110000	240000	1110000	240000	2	1
shared_127	chr5	52050000	52075000	2075000	500000	2075000	500000	1	1
shared_128	chr5	77800000	77810000	5680000	340000	5680000	340000	1	1
shared_129	chr5	83480000	83490000	5680000	2475000	5680000	2475000	1	1
shared_130	chr5	83500000	83525000	5680000	2447500	5680000	2447500	1	2
shared_131	chr5	97110000	97120000	120000	470000	120000	470000	1	1
shared_132	chr5	97125000	97130000	120000	470000	120000	470000	1	1
shared_133	chr5	102690000	102725000	950000	490000	950000	490000	1	1
shared_134	chr5	109550000	109575000	725000	35725000	725000	35725000	1	1
shared_135	chr5	125520000	125550000	2975000	790000	2975000	696666.6666666666	1	6
shared_136	chr5	128500000	128530000	2975000	210000	2975000	210000	1	1
shared_137	chr5	131525000	131550000	2255000	235000	2255000	235000	2	1
shared_138	chr5	131750000	131775000	1125000	235000	1125000	235000	1	1
shared_139	chr5	133775000	133800000	2255000	1250000	2255000	1250000	2	1
shared_140	chr6	13825000	13850000	107500	3800000	107500	3800000	2	1
shared_141	chr6	32300000	32350000	1712500	1075000	1712500	1075000	2	1
shared_142	chr6	51150000	51200000	1140000	295000	7713888.888888889	295000	9	2
shared_143	chr6	51845000	51875000	380000	370000	1036666.6666666667	370000	3	1
shared_144	chr6	52200000	52280000	3000000	370000	5874285.714285714	384000	7	5
shared_145	chr6	52300000	52330000	2120000	280000	2120000	280000	2	1
shared_146	chr6	83690000	83725000	34475000	50000	33833333.333333336	50000	3	1
shared_147	chr6	114925000	114940000	600000	205000	600000	205000	1	1
shared_148	chr6	124250000	124275000	1600000	110000	1600000	110000	1	1
shared_149	chr6	124370000	124400000	1725000	110000	1725000	110000	1	1
shared_150	chr6	124640000	124645000	95000	4100000	95000	4100000	1	1
shared_151	chr6	124650000	124675000	95000	4100000	95000	4100000	1	1
shared_152	chr6	125620000	125625000	545000	40000	545000	40000	1	1
shared_153	chr7	55700000	55725000	3890000	875000	3890000	875000	2	1
shared_154	chr7	69475000	69500000	2370000	845000	2370000	845000	1	2
shared_155	chr7	70325000	70375000	2425000	1350000	2425000	1233000	1	5
shared_156	chr7	71860000	71870000	2370000	490000	2370000	490000	1	1
shared_157	chr7	73650000	73675000	1275000	275000	1275000	287500	1	4
shared_158	chr7	118100000	118130000	170000	725000	170000	725000	1	1
shared_159	chr7	118295000	118325000	275000	107500	275000	95000	2	4
shared_160	chr7	131525000	131560000	5767500	275000	5767500	275000	2	2
shared_161	chr7	134325000	134350000	9100000	390000	9100000	313571.4285714286	1	7
shared_162	chr7	137300000	137330000	5767500	1170000	5767500	1168571.4285714286	2	7
shared_163	chr7	144250000	144280000	827500	140000	827500	140000	2	1
shared_164	chr10	29525000	29550000	1775000	270000	1775000	270000	1	1
shared_165	chr10	53300000	53350000	220000	775000	220000	708333.3333333334	1	3
shared_166	chr10	64075000	64100000	45000	500000	45000	508333.3333333333	1	3
shared_167	chr10	74200000	74210000	2730000	650000	2730000	650000	1	1
shared_168	chr10	87020000	87030000	1300000	480000	1300000	480000	1	1
shared_169	chr10	105570000	105580000	270000	610000	270000	610000	1	1
shared_170	chr10	108425000	108475000	1212500	625000	1212500	616666.6666666666	2	3
shared_171	chr10	108725000	108750000	270000	760000	270000	878333.3333333334	1	3
shared_172	chr10	109475000	109500000	1025000	755000	1025000	755000	1	2
shared_173	chr10	109850000	109875000	1550000	1125000	1508333.3333333333	1125000	3	1
shared_174	chr8	4580000	4590000	440000	175000	440000	175000	1	1
shared_175	chr8	14725000	14750000	2725000	322500	2725000	322500	1	2
shared_176	chr8	15220000	15230000	2310000	500000	2310000	500000	1	1
shared_177	chr8	17525000	17550000	2310000	1625000	2310000	1625000	1	3
shared_178	chr8	27650000	27700000	3250000	1610000	3250000	1610000	3	2
shared_179	chr8	47850000	47875000	2425000	140000	2425000	140000	1	1
shared_180	chr8	48200000	48250000	1612500	312500	1718750	312500	4	2
shared_181	chr8	50275000	50300000	2250000	625000	2250000	625000	2	1
shared_182	chr8	108875000	108910000	1300000	525000	1300000	525000	1	1
shared_183	chr12	9050000	9075000	1475000	1170000	1475000	1170000	1	1
shared_184	chr12	26300000	26325000	105000	2125000	105000	2125000	1	1
shared_185	chr12	40200000	40250000	4075000	1262500	4266666.666666667	1262500	3	2
shared_186	chr12	52000000	52015000	625000	170000	625000	170000	1	1
shared_187	chr12	74330000	74340000	1060000	830000	1060000	830000	1	1
shared_188	chr12	75370000	75380000	1060000	100000	1060000	115000	1	4
shared_189	chr12	75390000	75400000	1060000	100000	1060000	115000	1	4
shared_190	chr12	91775000	91800000	2310000	150000	2311666.6666666665	150000	3	1
shared_191	chr12	104925000	104960000	1012500	130000	1012500	127500	2	4
shared_192	chr1	25825000	25850000	4750000	220000	4750000	220000	1	1
shared_193	chr1	42675000	42725000	14275000	675000	14275000	675000	1	4
shared_194	chr1	43260000	43270000	350000	120000	350000	120000	1	1
shared_195	chr1	52075000	52125000	450000	6850000	505000	6850000	3	1
shared_196	chr1	53905000	53910000	475000	425000	475000	425000	1	1
shared_197	chr1	56950000	57000000	6300000	1025000	8950000	1025000	3	1
shared_198	chr1	65170000	65200000	2425000	130000	2425000	130000	2	1
shared_199	chr1	112450000	112460000	790000	65000	790000	65000	1	1
shared_200	chr1	118300000	118350000	437500	1800000	437500	1800000	2	1
shared_201	chr1	118750000	118775000	437500	320000	437500	320000	2	1
shared_202	chr1	126675000	126700000	8925000	225000	8925000	225000	1	1
shared_203	chr1	138825000	138850000	60650000	240000	60650000	240000	1	1
shared_204	chr1	151075000	151100000	625000	260000	625000	260000	1	1
shared_205	chr1	151700000	151725000	625000	140000	625000	140000	1	1
shared_206	chr1	169450000	169475000	1510000	1250000	1510000	1250000	1	1
shared_207	chr1	169910000	169920000	675000	240000	675000	240000	1	1
shared_208	chr1	169925000	169950000	675000	252500	675000	252500	1	2
shared_209	chr1	170600000	170625000	675000	175000	675000	175000	1	2
shared_210	chr1	170630000	170640000	675000	175000	675000	175000	1	2
shared_211	chr1	182530000	182540000	650000	400000	650000	400000	1	2
shared_212	chr1	182550000	182575000	650000	400000	650000	400000	1	2
