PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/Superenhancers_P60.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over 1000 bp
SE_12_052300600	chr4	123669815	123670815	+	0	NA	intron (NR_136925, intron 3 of 3)	intron (NR_136925, intron 3 of 3)	4434	NR_136925	102633214		NR_136925		Gm12925	-	predicted gene 12925	ncRNA	1.498	1.456
SE_12_052300202	chr17	80956051	80957051	+	0	NA	intron (NM_026516, intron 1 of 3)	intron (NM_026516, intron 1 of 3)	11919	NM_026516	68027		NM_026516	ENSMUSG00000024245	Tmem178	2810417M05Rik|Tmem178a	transmembrane protein 178	protein-coding	1.540	1.555
SE_12_052300422	chr2	77803046	77804046	+	0	NA	intron (NM_178723, intron 1 of 9)	intron (NM_178723, intron 1 of 9)	13270	NM_178723	241494		NM_178723	ENSMUSG00000027016	Zfp385b	B830010L13Rik|C130013B13Rik|Zfp533|Znf385b	zinc finger protein 385B	protein-coding	1.322	1.289
SE_12_052300967	chr4	130312726	130313726	+	0	NA	intron (NM_010174, intron 2 of 3)	intron (NM_010174, intron 2 of 3)	4488	NM_010174	14077		NM_010174	ENSMUSG00000028773	Fabp3	Fabph-1|Fabph-4|Fabph1|Fabph4|H-FABP|Mdgi	fatty acid binding protein 3, muscle and heart	protein-coding	1.425	1.312
SE_12_052300982	chr13	84061061	84062061	+	0	NA	intron (NR_131220, intron 1 of 1)	intron (NR_131220, intron 1 of 1)	3213	NR_131220	553095		NR_131220	ENSMUSG00000098087	Gm17750	-	predicted gene, 17750	ncRNA	1.095	0.859
SE_12_052300681	chr11	87586297	87587297	+	0	NA	intron (NM_001368778, intron 5 of 11)	intron (NM_001368778, intron 5 of 11)	-5369	NM_133215	170749		NM_133215	ENSMUSG00000018401	Mtmr4	ESTM44|FYVE-DSP2|ZFYVE11|mKIAA0647	myotubularin related protein 4	protein-coding	1.365	1.388
SE_12_052301025	chr3	137107240	137108240	+	0	NA	Intergenic	Intergenic	-181877	NR_163863	229861		NR_163863	ENSMUSG00000104610	Gm567	-	predicted gene 567	ncRNA	1.523	1.458
SE_12_052300088	chr10	7158089	7159089	+	0	NA	intron (NM_172546, intron 2 of 12)	intron (NM_172546, intron 2 of 12)	53648	NM_172546	215748		NM_172546	ENSMUSG00000015202	Cnksr3	6820402C05|Magi1	Cnksr family member 3	protein-coding	1.682	1.641
SE_12_052300313	chr12	31908019	31909019	+	0	NA	intron (NM_001163126, intron 19 of 22)	RSINE1|SINE|B4	41726	NM_153198	73389		NM_153198	ENSMUSG00000002996	Hbp1	1700058O05Rik|C330012F01Rik	high mobility group box transcription factor 1	protein-coding	1.432	1.332
SE_12_052300537	chr1	172204230	172205230	+	0	NA	intron (NM_001329871, intron 1 of 3)	intron (NM_001329871, intron 1 of 3)	2074	NM_001329871	18611		NM_008556	ENSMUSG00000013698	Pea15a	Mat1|PEA-15|Pea15|Pkcs15	proliferation and apoptosis adaptor protein 15A	protein-coding	1.596	1.487
SE_12_052300163	chr5	147064820	147065820	+	0	NA	intron (NM_080795, intron 1 of 9)	intron (NM_080795, intron 1 of 9)	11252	NM_080795	140887		NM_080795	ENSMUSG00000016520	Lnx2	9630046H24	ligand of numb-protein X 2	protein-coding	1.198	1.210
SE_12_052300074	chr2	178196485	178197485	+	0	NA	intron (NM_001007154, intron 1 of 12)	intron (NM_001007154, intron 1 of 12)	3901	NM_001007154	74189		NM_028806	ENSMUSG00000027525	Phactr3	1500003N10Rik|4930415A02Rik|H17739|Scapin1|Scapinin|mKIAA4224	phosphatase and actin regulator 3	protein-coding	1.558	1.538
SE_12_052300485	chr6	124758215	124759215	+	0	NA	Intergenic	Intergenic	-2228	NM_007881	13498		NM_007881	ENSMUSG00000004263	Atn1	Atr1|Drpla|atrophin-1	atrophin 1	protein-coding	1.424	1.369
SE_12_052300064	chr6	126599426	126600426	+	0	NA	Intergenic	Intergenic	45875	NM_010595	16485		NM_010595	ENSMUSG00000047976	Kcna1	Kca1-1|Kv1.1|MBK1|Mk-1|Shak|mceph	potassium voltage-gated channel, shaker-related subfamily, member 1	protein-coding	1.610	1.610
SE_12_052300925	chr11	54310694	54311694	+	0	NA	intron (NM_144823, intron 1 of 20)	intron (NM_144823, intron 1 of 20)	-3709	NM_001033599	216739		NM_144823	ENSMUSG00000020333	Acsl6	A330035H04Rik|Facl6|LACS|Lacsl|mKIAA0837	acyl-CoA synthetase long-chain family member 6	protein-coding	1.338	1.374
SE_12_052300173	chr2	132724231	132725231	+	0	NA	intron (NM_028637, intron 2 of 2)	intron (NM_028637, intron 2 of 2)	34133	NM_028637	73747		NM_028637	ENSMUSG00000044991	Shld1	1110034G24Rik	shieldin complex subunit 1	protein-coding	1.501	1.443
SE_12_052301029	chr11	18752623	18753623	+	0	NA	Intergenic	Intergenic	-259857	NR_167980	102633911		NR_167980	ENSMUSG00000085675	Gm12022	-	predicted gene 12022	ncRNA	0.263	0.045
SE_12_052300673	chr5	116571726	116572726	+	0	NA	intron (NM_026886, intron 1 of 12)	MIRc|SINE|MIR	19591	NM_026886	68955		NM_026886	ENSMUSG00000063919	Srrm4	1500001A10Rik|B230202K19Rik|bv|mKIAA1853|nSR100	serine/arginine repetitive matrix 4	protein-coding	1.351	1.439
SE_12_052300663	chr14	25458930	25459930	+	0	NA	5' UTR (NM_001310666, exon 1 of 24)	5' UTR (NM_001310666, exon 1 of 24)	245	NM_001310666	328365		NM_183208	ENSMUSG00000007817	Zmiz1	E330020C23|Gm10397|I920194n01|Rai17|Zimp10	zinc finger, MIZ-type containing 1	protein-coding	1.428	1.204
SE_12_052300060	chr6	121054546	121055546	+	0	NA	intron (NM_001270475, intron 1 of 31)	intron (NM_001270475, intron 1 of 31)	-9418	NR_138098	100043793		NR_138098	ENSMUSG00000097011	Gm4651	-	predicted gene 4651	ncRNA	1.585	1.538
SE_12_052300929	chr9	74984931	74985931	+	0	NA	intron (NM_153584, intron 1 of 11)	intron (NM_153584, intron 1 of 11)	9320	NM_153584	235493		NM_153584	ENSMUSG00000034858	Atosa	6330415I01Rik|C130047D21Rik|Fam214a|Kiaa1370|mKIAA1370	atos homolog A	protein-coding	1.417	1.301
SE_12_052300256	chr15	80324984	80325984	+	0	NA	intron (NM_001044308, intron 4 of 36)	intron (NM_001044308, intron 4 of 36)	38246	NM_001044308	239556		NM_001044308	ENSMUSG00000022416	Cacna1i	Ca(V)3.3	calcium channel, voltage-dependent, alpha 1I subunit	protein-coding	1.440	1.403
SE_12_052300070	chr1	134306693	134307693	+	0	NA	intron (NM_001144855, intron 23 of 28)	B1_Mus1|SINE|Alu	17189	NM_031189	17928		NM_031189	ENSMUSG00000026459	Myog	MYF4|bHLHc3|myo	myogenin	protein-coding	1.292	1.268
SE_12_052300392	chr3	96009746	96010746	+	0	NA	intron (NM_013841, intron 14 of 14)	intron (NM_013841, intron 14 of 14)	-14407	NM_023320	67220		NM_023320	ENSMUSG00000015745	Plekho1	2810052M02Rik|CKIP-1|Ckip1|JZA-20|Jza2	pleckstrin homology domain containing, family O member 1	protein-coding	1.600	1.491
SE_12_052300489	chr13	36730181	36731181	+	0	NA	promoter-TSS (NM_001374754)	promoter-TSS (NM_001374754)	8	NM_001374754	68404		NM_153529	ENSMUSG00000039114	Nrn1	0710008J23Rik|Cpg15|Nrn	neuritin 1	protein-coding	1.634	1.519
SE_12_052300717	chr19	17152204	17153204	+	0	NA	intron (NM_181348, intron 9 of 19)	ORR1E|LTR|ERVL-MaLR	186801	NM_001136484	14537		NM_010265	ENSMUSG00000038843	Gcnt1	5630400D21Rik|B130048E03|C2 GlcNAcT|C2GNT|C2GlcNAcT|C2GnT-L|IGnT	glucosaminyl (N-acetyl) transferase 1, core 2	protein-coding	1.382	0.995
SE_12_052300926	chr9	110060582	110061582	+	0	NA	intron (NM_001311163, intron 1 of 10)	B4|SINE|B4	9061	NM_001311164	17758		NM_008633	ENSMUSG00000032479	Map4	MAP-4|Mtap-4|Mtap4	microtubule-associated protein 4	protein-coding	1.451	1.345
SE_12_052300259	chr2	93215876	93216876	+	0	NA	intron (NM_183180, intron 5 of 9)	RLTR51A_Mm|LTR|ERVK?	28828	NR_151503	277414		NM_001025246	ENSMUSG00000068735	Trp53i11	Tp53i11	transformation related protein 53 inducible protein 11	protein-coding	1.563	1.513
SE_12_052300486	chrX	152172570	152173570	+	0	NA	intron (NM_001114664, intron 2 of 14)	intron (NM_001114664, intron 2 of 14)	-5939	NM_001005475	245666		NM_001005475	ENSMUSG00000041115	Iqsec2	Brag1	IQ motif and Sec7 domain 2	protein-coding	1.658	1.686
SE_12_052300131	chr5	125160145	125161145	+	0	NA	intron (NM_001253904, intron 1 of 47)	intron (NM_001253904, intron 1 of 47)	18569	NM_001253905	20602		NM_011424	ENSMUSG00000029478	Ncor2	N-CoR|SMRT|SMRTe	nuclear receptor co-repressor 2	protein-coding	1.332	1.373
SE_12_052300328	chr9	62355996	62356996	+	0	NA	intron (NM_009672, intron 1 of 6)	intron (NM_009672, intron 1 of 6)	-11849	NM_001378702	102638888		NM_001378702		Gm20346	-	predicted gene, 20346	protein-coding	1.682	1.559
SE_12_052301026	chr8	105702657	105703657	+	0	NA	TTS (NM_198299)	TTS (NM_198299)	1510	NM_001047435	56513		NM_019695	ENSMUSG00000005699	Pard6a	0710008C04Rik|2610010A15Rik|PAR-6A|PAR6alpha|Par-6|Par6|Par6c|TAX40|Tip-40	par-6 family cell polarity regulator alpha	protein-coding	1.557	1.480
SE_12_052300740	chr14	79142260	79143260	+	0	NA	intron (NM_027906, intron 37 of 44)	MMERGLN_LTR|LTR|ERV1	56430	NR_152203	100043765		NR_152203	ENSMUSG00000115111	Gm4632	-	predicted gene 4632	ncRNA	1.678	1.583
SE_12_052300255	chr4	85354327	85355327	+	0	NA	intron (NM_019535, intron 2 of 8)	intron (NM_019535, intron 2 of 8)	149371	NM_019535	20404		NM_019535	ENSMUSG00000028488	Sh3gl2	9530001L19Rik|B930049H17Rik|EEN-B1|EEN1|SH3PA|Sh3d2a	SH3-domain GRB2-like 2	protein-coding	1.102	1.107
SE_12_052301032	chr3	17788917	17789917	+	0	NA	promoter-TSS (NR_033490)	promoter-TSS (NR_033490)	-504	NR_033490	70441		NR_033490	ENSMUSG00000100252	Mir124-2hg	100040120|2610100L16Rik|6430547I21Rik|A930005K07Rik|Gm2612	Mir124-2 host gene (non-protein coding)	ncRNA	0.945	0.930
SE_12_052300932	chr6	24104328	24105328	+	0	NA	intron (NM_019481, intron 8 of 14)	intron (NM_019481, intron 8 of 14)	63264	NM_019481	55961		NM_019481	ENSMUSG00000029700	Slc13a1	NaSi-1|Nas1	solute carrier family 13 (sodium/sulfate symporters), member 1	protein-coding	1.326	1.383
SE_12_052300744	chr5	125403821	125404821	+	0	NA	Intergenic	tRNA-Ala-GCG|tRNA|tRNA	-14304	NM_019639	22190		NM_019639	ENSMUSG00000008348	Ubc	2700054O04Rik|Rps27a|TI-225|Uba52|Ubb	ubiquitin C	protein-coding	1.461	1.480
SE_12_052300631	chr3	79536844	79537844	+	0	NA	intron (NM_001162999, intron 1 of 16)	intron (NM_001162999, intron 1 of 16)	30335	NM_001162999	329679		NM_001162999	ENSMUSG00000061175	Fnip2	D630023B12Rik|mKIAA1450	folliculin interacting protein 2	protein-coding	1.811	1.746
SE_12_052300038	chr8	93891964	93892964	+	0	NA	intron (NM_010308, intron 2 of 8)	RCHARR1|DNA|hAT-Charlie	-78909	NR_026888	75809		NM_029449		4930488L21Rik	4930452J22Rik	RIKEN cDNA 4930488L21 gene	ncRNA	1.704	1.656
SE_12_052300095	chr9	64594215	64595215	+	0	NA	intron (NM_001134399, intron 5 of 24)	intron (NM_001134399, intron 5 of 24)	143041	NM_017382	53869		NM_017382	ENSMUSG00000004771	Rab11a	-	RAB11A, member RAS oncogene family	protein-coding	1.664	1.597
SE_12_052300498	chr10	127501428	127502428	+	0	NA	5' UTR (NM_177707, exon 1 of 12)	5' UTR (NM_177707, exon 1 of 12)	211	NM_177707	237611		NM_177707	ENSMUSG00000040287	Stac3	9830125E18	SH3 and cysteine rich domain 3	protein-coding	1.427	1.407
SE_12_052300435	chr2	30422446	30423446	+	0	NA	intron (NM_138748, intron 1 of 9)	B2_Mm2|SINE|B2	6896	NM_001362733	110854		NM_138748	ENSMUSG00000039515	Ptpa	2610042B21Rik|PR53|Ppp2r4	protein phosphatase 2 protein activator	protein-coding	1.485	1.458
SE_12_052300219	chr15	81845724	81846724	+	0	NA	Intergenic	Intergenic	12102	NM_020507	57259		NM_020507	ENSMUSG00000048546	Tob2	2900090N22Rik|4930545K18Rik|mKIAA1663	transducer of ERBB2, 2	protein-coding	1.410	1.345
SE_12_052300807	chr17	31073840	31074840	+	0	NA	intron (NM_009593, intron 2 of 14)	intron (NM_009593, intron 2 of 14)	16646	NM_009593	11307		NM_009593	ENSMUSG00000024030	Abcg1	Abc8|White	ATP binding cassette subfamily G member 1	protein-coding	1.649	1.636
SE_12_052300757	chr10	42105572	42106572	+	0	NA	Intergenic	B4A|SINE|B4	-87690	NM_001034858	213402		NM_001034858	ENSMUSG00000071324	Armc2	2610018I05Rik	armadillo repeat containing 2	protein-coding	1.744	1.768
SE_12_052300443	chr6	115242669	115243669	+	0	NA	intron (NM_001326560, intron 2 of 8)	intron (NM_001326560, intron 2 of 8)	4175	NM_001326560	20965		NM_013681	ENSMUSG00000009394	Syn2	2900074L19Rik	synapsin II	protein-coding	1.572	1.613
SE_12_052300572	chr4	46852710	46853710	+	0	NA	intron (NM_001081141, intron 2 of 18)	intron (NM_001081141, intron 2 of 18)	138504	NM_001081141	242425		NM_001081141	ENSMUSG00000039809	Gabbr2	GABABR2|Gb2|Gm425|Gpr51	gamma-aminobutyric acid type B receptor subunit 2	protein-coding	1.534	1.512
SE_12_052300587	chr9	92000130	92001130	+	0	NA	Intergenic	Intergenic	-192463	NM_001195693	100504689		NM_001195693	ENSMUSG00000095654	Plscr5	331000	phospholipid scramblase family, member 5	protein-coding	1.006	0.957
SE_12_052300562	chr14	122482686	122483686	+	0	NA	Intergenic	Intergenic	-1179	NR_153443	110821		NM_144844	ENSMUSG00000041650	Pcca	-	propionyl-Coenzyme A carboxylase, alpha polypeptide	protein-coding	1.426	1.344
SE_12_052300099	chr2	136710543	136711543	+	0	NA	Intergenic	Intergenic	-2407	NM_011428	20614		NM_011428	ENSMUSG00000027273	Snap25	Bdr|GENA70|SNAP-25|SUP|sp	synaptosomal-associated protein 25	protein-coding	1.381	1.295
SE_12_052300215	chr5	121128370	121129370	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	62527	NM_011202	19247		NM_011202	ENSMUSG00000043733	Ptpn11	2700084A17Rik|PTP1D|PTP2C|SAP-2|SH-PTP2|SH-PTP3|SHP-2|Shp2|Syp	protein tyrosine phosphatase, non-receptor type 11	protein-coding	1.380	1.386
SE_12_052300439	chr7	24987777	24988777	+	0	NA	promoter-TSS (NR_106014)	promoter-TSS (NR_106014)	-610	NR_106014	102465634		NR_106014	ENSMUSG00000099258	Mir7047	Gm27270|mmu-mir-7047	microRNA 7047	ncRNA	1.292	1.150
SE_12_052300791	chr6	118812798	118813798	+	0	NA	intron (NM_001256000, intron 3 of 46)	L1MB4|LINE|L1	-55324	NM_001290335	12288		NM_009781	ENSMUSG00000051331	Cacna1c	Cav1.2|Cchl1a1|D930026N18Rik|MBC|MELC-CC	calcium channel, voltage-dependent, L type, alpha 1C subunit	protein-coding	1.448	1.495
SE_12_052300237	chr9	41085972	41086972	+	0	NA	intron (NM_176860, intron 1 of 13)	B1F|SINE|Alu	-6966	NM_001357412	72828		NM_176860	ENSMUSG00000032020	Ubash3b	2810457I06Rik|STS-1|TULA-2|p70	ubiquitin associated and SH3 domain containing, B	protein-coding	1.663	1.600
SE_12_052300825	chr7	16400876	16401876	+	0	NA	intron (NM_198631, intron 1 of 13)	CpG-12704	180	NM_198631	330474		NM_198631	ENSMUSG00000059273	Zc3h4	Bwq1|Gm768|Kiaa1064-hp	zinc finger CCCH-type containing 4	protein-coding	1.391	1.286
SE_12_052300138	chr5	28181079	28182079	+	0	NA	Intergenic	Intergenic	15883	NM_010134	13799		NM_010134	ENSMUSG00000039095	En2	En-2|mo-En-2	engrailed 2	protein-coding	1.367	1.372
SE_12_052300195	chr7	126269859	126270859	+	0	NA	intron (NM_001360811, intron 1 of 3)	ORR1B2|LTR|ERVL-MaLR	-2137	NM_145587	104175		NM_145587	ENSMUSG00000042978	Sbk1	Sbk	SH3-binding kinase 1	protein-coding	1.551	1.367
SE_12_052300699	chr17	88486484	88487484	+	0	NA	3' UTR (NM_180974, exon 6 of 6)	3' UTR (NM_180974, exon 6 of 6)	-43140	NM_028658	73825		NM_028658	ENSMUSG00000034709	Ppp1r21	1110018J12Rik|Ccdc128|Klraq1	protein phosphatase 1, regulatory subunit 21	protein-coding	1.620	1.506
SE_12_052300321	chr18	34853572	34854572	+	0	NA	Intergenic	Intergenic	-7135	NM_007913	13653		NM_007913	ENSMUSG00000038418	Egr1	A530045N19Rik|ETR103|Egr-1|Krox-1|Krox-24|Krox24|NGF1-A|NGFI-A|NGFIA|TIS8|Zenk|Zfp-6|Zif268|egr	early growth response 1	protein-coding	1.631	1.490
SE_12_052300444	chr8	114593355	114594355	+	0	NA	intron (NM_019573, intron 5 of 8)	intron (NM_019573, intron 5 of 8)	154203	NM_019573	80707		NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding	1.386	1.313
SE_12_052300556	chr8	70581046	70582046	+	0	NA	intron (NM_007924, intron 4 of 11)	intron (NM_007924, intron 4 of 11)	-12935	NM_023627	71780		NM_023627	ENSMUSG00000019139	Isyna1	1300017C10Rik|IPS 1	myo-inositol 1-phosphate synthase A1	protein-coding	1.540	1.470
SE_12_052300199	chr7	64547827	64548827	+	0	NA	intron (NM_001291166, intron 1 of 14)	RMER10A|LTR|ERVL	46189	NM_001291167	11784		NM_007461	ENSMUSG00000030519	Apba2	X11-like|X11L|XllL|mXllL	amyloid beta precursor protein binding family A member 2	protein-coding	1.476	1.426
SE_12_052300829	chr9	40740374	40741374	+	0	NA	intron (NM_133733, intron 1 of 6)	B3A|SINE|B2	54855	NM_133733	71566		NM_133733	ENSMUSG00000032024	Clmp	9030425E11Rik|ACAM|ASP5	CXADR-like membrane protein	protein-coding	1.523	1.412
SE_12_052300417	chr2	33301654	33302654	+	0	NA	intron (NM_001290570, intron 3 of 16)	B3|SINE|B2	69340	NM_175211	241308		NM_175211	ENSMUSG00000038831	Ralgps1	5830418G11Rik|RALGEF2|RALGPS1A|RalGEF 2|mKIAA0351	Ral GEF with PH domain and SH3 binding motif 1	protein-coding	1.665	1.624
SE_12_052300786	chr10	127086953	127087953	+	0	NA	exon (NM_001301014, exon 10 of 18)	exon (NM_001301014, exon 10 of 18)	8546	NM_001301014	216439		NM_001033263	ENSMUSG00000025422	Agap2	AGAP-2|Centg1|PIKE|cnt-g1|mKIAA0167	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	protein-coding	1.405	1.384
SE_12_052300638	chr11	76273528	76274528	+	0	NA	exon (NM_008750, exon 4 of 8)	exon (NM_008750, exon 4 of 8)	30292	NM_183263	67390		NM_183263	ENSMUSG00000038046	Mrm3	4833420N02Rik|HC90|Rnmtl1	mitochondrial rRNA methyltransferase 3	protein-coding	1.350	1.300
SE_12_052300440	chr4	134496895	134497895	+	0	NA	intron (NM_001285849, intron 1 of 2)	intron (NM_001285849, intron 1 of 2)	354	NM_001285849	71904		NM_027995	ENSMUSG00000037348	Paqr7	2310021M12Rik|Mpra|PGLP|mPR|mPR alpha	progestin and adipoQ receptor family member VII	protein-coding	1.422	1.366
SE_12_052300695	chr5	125054761	125055761	+	0	NA	intron (NM_001253904, intron 18 of 47)	intron (NM_001253904, intron 18 of 47)	51813	NM_028443	73121		NM_028443	ENSMUSG00000037962	Rflna	3110032G18Rik|Fam101a|cfm|cfm2	refilin A	protein-coding	1.382	1.439
SE_12_052300031	chr11	115246219	115247219	+	0	NA	3' UTR (NM_001033393, exon 10 of 10)	3' UTR (NM_001033393, exon 10 of 10)	20524	NM_010350	14813		NM_010350	ENSMUSG00000020734	Grin2c	GluN2C|NMDAR2C|NR2C	glutamate receptor, ionotropic, NMDA2C (epsilon 3)	protein-coding	1.262	1.291
SE_12_052300491	chr19	44290468	44291468	+	0	NA	Intergenic	Intergenic	-2708	NM_009128	20250		NM_009128	ENSMUSG00000025203	Scd2	Mir5114|Scd-2|mir-5114|swty	stearoyl-Coenzyme A desaturase 2	protein-coding	1.656	1.663
SE_12_052300739	chr2	91270058	91271058	+	0	NA	intron (NM_001166024, intron 11 of 16)	intron (NM_001166024, intron 11 of 16)	5443	NM_001166024	77038		NM_023854	ENSMUSG00000027255	Arfgap2	2310032E02Rik|Zfp289	ADP-ribosylation factor GTPase activating protein 2	protein-coding	1.666	1.626
SE_12_052300877	chr10	7272470	7273470	+	0	NA	Intergenic	Intergenic	-60733	NM_172546	215748		NM_172546	ENSMUSG00000015202	Cnksr3	6820402C05|Magi1	Cnksr family member 3	protein-coding	1.658	1.680
SE_12_052300502	chr7	141976514	141977514	+	0	NA	intron (NM_029426, intron 1 of 18)	intron (NM_029426, intron 1 of 18)	-15165	NR_037291	100526509		NR_037291	ENSMUSG00000092652	Mir3104	mir-3104|mmu-mir-3104	microRNA 3104	ncRNA	1.557	1.384
SE_12_052300867	chr3	116019076	116020076	+	0	NA	intron (NM_021388, intron 2 of 4)	intron (NM_021388, intron 2 of 4)	11279	NM_001163514	58193		NM_021388	ENSMUSG00000027963	Extl2	3000001D04Rik	exostosin-like glycosyltransferase 2	protein-coding	1.614	1.517
SE_12_052300882	chr9	45086184	45087184	+	0	NA	intron (NM_001005421, intron 3 of 10)	intron (NM_001005421, intron 3 of 10)	7501	NM_001005421	270152		NM_001005421	ENSMUSG00000048534	Jaml	AMICA|Amica1|Crea7|Gm638	junction adhesion molecule like	protein-coding	1.628	1.581
SE_12_052300516	chr4	139271717	139272717	+	0	NA	intron (NM_001037761, intron 4 of 9)	intron (NM_001037761, intron 4 of 9)	38491	NR_151463	212555		NM_145384	ENSMUSG00000028744	Slc66a1	Pqlc2	solute carrier family 66 member 1	protein-coding	1.500	1.414
SE_12_052300798	chr8	87285392	87286392	+	0	NA	Intergenic	Intergenic	-86042	NR_040697	100038706		NR_040697	ENSMUSG00000099207	Gm10637	-	predicted gene 10637	ncRNA	1.579	1.492
SE_12_052300735	chr10	122903438	122904438	+	0	NA	intron (NM_001110218, intron 6 of 9)	intron (NM_001110218, intron 6 of 9)	81786	NR_029527	387251		NR_029527	ENSMUSG00000065406	Mirlet7i	Mirnlet7i|let-7i|mmu-let-7i	microRNA let7i	ncRNA	1.735	1.741
