PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/CTCF.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
1-18521	chr7	142440224	142441224	+	1000	NA	TTS (NM_001285857)	TTS (NM_001285857)	-1092	NM_009405	21953		NM_009405	ENSMUSG00000031097	Tnni2	-	troponin I, skeletal, fast 2	protein-coding	-1.689	-1.626
1-15136	chr5	111000651	111001651	+	1000	NA	intron (NM_001267622, intron 2 of 22)	intron (NM_001267622, intron 2 of 22)	-2993	NR_030482	735278		NR_030482	ENSMUSG00000076163	Mir701	Mirn701|mir-701|mmu-mir-701	microRNA 701	ncRNA	-1.254	-1.128
1-16228	chr5	114308709	114309709	+	1000	NA	intron (NM_001164573, intron 1 of 31)	intron (NM_001164573, intron 1 of 31)	19956	NM_001164573	231646		NM_146163	ENSMUSG00000066952	Myo1h	4631401O15Rik	myosin 1H	protein-coding	-1.335	-1.502
1-31669	chr16	23983878	23984878	+	1000	NA	intron (NM_009744, intron 1 of 9)	intron (NM_009744, intron 1 of 9)	-3095	NM_001348026	12053		NM_009744	ENSMUSG00000022508	Bcl6	Bcl5	B cell leukemia/lymphoma 6	protein-coding	-2.241	-2.067
1-13656	chr14	56303865	56304865	+	1000	NA	Intergenic	Intergenic	-42031	NM_013542	14939		NM_013542	ENSMUSG00000015437	Gzmb	CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB	granzyme B	protein-coding	-0.811	-0.890
1-17165	chr2	38645614	38646614	+	1000	NA	Intergenic	Intergenic	-2208	NM_011187	19177		NM_011187	ENSMUSG00000026750	Psmb7	MC14	proteasome (prosome, macropain) subunit, beta type 7	protein-coding	-0.883	-0.813
1-31993	chr15	102381259	102382259	+	1000	NA	Intergenic	Intergenic	-14791	NM_001348205	170574		NM_130458	ENSMUSG00000060284	Sp7	6430578P22Rik|C22|Osx	Sp7 transcription factor 7	protein-coding	-1.566	-1.632
1-21417	chr6	136465563	136466563	+	1000	NA	intron (NR_168025, intron 1 of 1)	intron (NR_168025, intron 1 of 1)	2388	NR_168025	102640956		NR_168025		Gm36897	-	predicted gene, 36897	ncRNA	-0.920	-0.854
1-27405	chr19	5786747	5787747	+	1000	NA	Intergenic	B3|SINE|B2	8734	NR_144621	109146451		NR_144621		Mascrna	-	Malat1-associated small cytoplasmic RNA	scRNA	-4.890	-4.937
1-5922	chr17	77588422	77589422	+	1000	NA	Intergenic	Intergenic	611103	NR_168063	102634780		NR_167677	ENSMUSG00000117648	Gm32282	-	predicted gene, 32282	ncRNA	-0.704	-0.677
1-1773	chr2	166598159	166599159	+	1000	NA	intron (NM_177782, intron 14 of 39)	intron (NM_177782, intron 14 of 39)	34137	NR_152154	433503		NR_152154		Gm29679	-	predicted gene, 29679	ncRNA	-1.586	-2.083
1-13684	chr14	122877475	122878475	+	1000	NA	intron (NR_153443, intron 23 of 24)	intron (NR_153443, intron 23 of 24)	-35055	NR_155287	105245866		NM_001039531	ENSMUSG00000075463	4930594M22Rik	F930011C10Rik|Gm15735	RIKEN cDNA 4930594M22 gene	ncRNA	-3.508	-3.009
1-6236	chr11	97642448	97643448	+	1000	NA	Intergenic	B3|SINE|B2	-13232	NM_175332	103551		NM_175332	ENSMUSG00000043439	Epop	E13|E130012A19Rik|esPRC2p48	elongin BC and polycomb repressive complex 2 associated protein	protein-coding	-2.153	-1.945
1-29501	chr1	182124138	182125138	+	1000	NA	promoter-TSS (NM_012058)	promoter-TSS (NM_012058)	-99	NM_012058	27058		NM_012058	ENSMUSG00000026511	Srp9	9kDa	signal recognition particle 9	protein-coding	-0.760	-0.784
1-11362	chr4	6434207	6435207	+	1000	NA	intron (NM_010945, intron 6 of 30)	B3|SINE|B2	19564	NM_010945	18201		NM_010945	ENSMUSG00000028245	Nsmaf	C630007J05|Fan	neutral sphingomyelinase (N-SMase) activation associated factor	protein-coding	-1.016	-0.743
1-22126	chr10	5511986	5512986	+	1000	NA	intron (NM_001347732, intron 2 of 145)	B3A|SINE|B2	-24172	NM_001347711	64009		NM_022027	ENSMUSG00000096054	Syne1	8B|A330049M09Rik|C130039F11Rik|CPG2|KASH1|Myne1|mKIAA1756|myne-1	spectrin repeat containing, nuclear envelope 1	protein-coding	-1.755	-1.662
1-27559	chr5	137656640	137657640	+	1000	NA	intron (NM_178162, intron 6 of 11)	intron (NM_178162, intron 6 of 11)	-11426	NM_010571	16369		NM_010571	ENSMUSG00000047182	Irs3	-	insulin receptor substrate 3	protein-coding	-1.458	-1.320
1-11824	chr9	65682698	65683698	+	1000	NA	intron (NM_001301307, intron 1 of 4)	intron (NM_001301307, intron 1 of 4)	6650	NM_010952	18247		NM_010952	ENSMUSG00000040652	Oaz2	AZ-2|AZ2|Oaz2-ps|Sez15	ornithine decarboxylase antizyme 2	protein-coding	-1.891	-1.795
1-30259	chr19	46329647	46330647	+	1000	NA	exon (NM_001378773, exon 4 of 4)	exon (NM_001378773, exon 4 of 4)	1960	NM_001378773	68431		NM_133694	ENSMUSG00000025226	Fbxl15	0710008C12Rik|Fbxo37	F-box and leucine-rich repeat protein 15	protein-coding	-2.573	-2.445
1-25481	chr3	88603280	88604280	+	1000	NA	Intergenic	Intergenic	-12363	NM_001198911	16800		NM_008487	ENSMUSG00000028059	Arhgef2	GEF|GEF-H1|GEFH1|LFP40|Lbcl1|Lfc|P40|mKIAA0651	Rho/Rac guanine nucleotide exchange factor 2	protein-coding	-2.730	-2.676
1-18321	chr5	113721912	113722912	+	1000	NA	intron (NR_033216, intron 2 of 2)	B3|SINE|B2	2360	NR_033216	381707		NR_033216	ENSMUSG00000042184	1700069L16Rik	1700096P12Rik	RIKEN cDNA 1700069L16 gene	ncRNA	-3.151	-3.129
1-32010	chr7	45682404	45683404	+	1000	NA	intron (NM_001271578, intron 3 of 3)	intron (NM_001271578, intron 3 of 3)	-1118	NM_001358870	243967		NM_001033356	ENSMUSG00000070564	Ntn5	Gm484	netrin 5	protein-coding	-2.020	-1.990
1-24352	chr6	72534883	72535883	+	1000	NA	Intergenic	Intergenic	-9008	NM_007599	12332		NM_007599	ENSMUSG00000056737	Capg	gCap39|mbh1	capping actin protein, gelsolin like	protein-coding	-0.731	-0.708
1-6733	chr6	47175305	47176305	+	1000	NA	intron (NM_001004357, intron 20 of 23)	intron (NM_001004357, intron 20 of 23)	-68591	NM_025771	66797		NM_025771	ENSMUSG00000039419	Cntnap2	5430425M22Rik|Caspr2|mKIAA0868	contactin associated protein-like 2	protein-coding	-0.599	-0.138
1-25125	chr17	35178203	35179203	+	1000	NA	Intergenic	Intergenic	-2651	NM_019467	11629		NM_019467	ENSMUSG00000024397	Aif1	AIF-1|D17H6S50E|G1|Iba1	allograft inflammatory factor 1	protein-coding	-1.578	-1.621
1-29007	chr15	25716715	25717715	+	1000	NA	intron (NM_019472, intron 4 of 40)	intron (NM_019472, intron 4 of 40)	-35991	NM_001353142	17909		NM_019472	ENSMUSG00000022272	Myo10	D15Ertd600e|mKIAA0799|myosin-X	myosin X	protein-coding	-1.463	-1.540
1-17904	chr8	34484618	34485618	+	1000	NA	Intergenic	Intergenic	155198	NR_040706	330734		NR_040706	ENSMUSG00000109819	B930018H19Rik	B930018H19	RIKEN cDNA B930018H19 gene	ncRNA	-1.730	-1.786
1-18027	chr10	128188201	128189201	+	1000	NA	Intergenic	Intergenic	-5934	NM_001285777	216456		NM_001033264	ENSMUSG00000044005	Gls2	A330074B06Rik|GA|GLS|Lga	glutaminase 2 (liver, mitochondrial)	protein-coding	-1.815	-1.820
1-12135	chr18	43203744	43204744	+	1000	NA	Intergenic	Intergenic	-3453	NM_178749	269019		NM_178749	ENSMUSG00000039954	Stk32a	A930015B13Rik|YANK1	serine/threonine kinase 32A	protein-coding	-0.540	-0.576
1-27359	chr7	120669840	120670840	+	1000	NA	promoter-TSS (NM_001040136)	promoter-TSS (NM_001040136)	3	NM_001040136	67983		NM_001040136	ENSMUSG00000030887	Pdzd9	4930408O21Rik	PDZ domain containing 9	protein-coding	-0.882	-0.921
1-26058	chr19	24961353	24962353	+	1000	NA	promoter-TSS (NR_033744)	promoter-TSS (NR_033744)	-237	NR_033744	226043		NM_146097	ENSMUSG00000024878	Zng1	Cbwd1	Zn regulated GTPase metalloprotein activator 1	protein-coding	-0.556	-0.576
1-13472	chr1	83075838	83076838	+	1000	NA	Intergenic	Intergenic	15408	NM_027778	71386		NM_027778	ENSMUSG00000101315	Krtap28-13	5530401N06Rik	keratin associated protein 28-13	protein-coding	-0.524	-0.633
1-11562	chr16	44480182	44481182	+	1000	NA	intron (NM_001033247, intron 34 of 34)	intron (NM_001033247, intron 34 of 34)	77447	NR_037242	100526478		NR_037242	ENSMUSG00000093046	Mir3081	mir-3081|mmu-mir-3081	microRNA 3081	ncRNA	-2.172	-1.811
1-29301	chr7	49600900	49601900	+	1000	NA	intron (NM_175272, intron 36 of 37)	intron (NM_175272, intron 36 of 37)	35435	NM_001005232	13172		NM_001005232	ENSMUSG00000030507	Dbx1	Dbx	developing brain homeobox 1	protein-coding	-0.845	-1.114
1-12951	chr19	23771610	23772610	+	1000	NA	intron (NM_177034, intron 1 of 12)	B3A|SINE|B2	13234	NM_177034	319924		NM_177034	ENSMUSG00000024897	Apba1	6430513E09Rik|Lin-10|Mint|Mint1|Urop11|X11|X11alpha	amyloid beta precursor protein binding family A member 1	protein-coding	-2.331	-2.088
1-21587	chr11	43411164	43412164	+	1000	NA	Intergenic	Intergenic	14317	NM_013917	30939		NM_013917	ENSMUSG00000020415	Pttg1	Pttg|Pttg3	pituitary tumor-transforming gene 1	protein-coding	-1.687	-1.524
1-7617	chr17	69105700	69106700	+	1000	NA	intron (NM_001355732, intron 1 of 21)	intron (NM_001355732, intron 1 of 21)	30523	NM_001355732	13823		NM_013813	ENSMUSG00000024044	Epb41l3	4.1B|DAL1P|Dal1|Epb4.1l3|NBL3	erythrocyte membrane protein band 4.1 like 3	protein-coding	-1.579	-1.539
1-25017	chr19	44544419	44545419	+	1000	NA	intron (NM_001033343, intron 1 of 25)	intron (NM_001033343, intron 1 of 25)	929	NM_001033343	240667		NM_001033343	ENSMUSG00000051984	Sec31b	Gm341|Sec31l2	SEC31 homolog B, COPII coat complex component	protein-coding	-1.941	-2.086
1-20605	chr1	38769551	38770551	+	1000	NA	Intergenic	Intergenic	66636	NM_001029878	381338		NM_028403	ENSMUSG00000048814	Lonrf2	2900060P06Rik	LON peptidase N-terminal domain and ring finger 2	protein-coding	-1.099	-1.162
1-27783	chr15	94265351	94266351	+	1000	NA	Intergenic	Intergenic	18649	NR_045629	328594		NR_045629		D630010B17Rik	Gm811	RIKEN cDNA D630010B17 gene	ncRNA	-0.552	-0.870
1-14990	chr9	114648152	114649152	+	1000	NA	Intergenic	Intergenic	-8452	NM_153585	78893		NM_153585	ENSMUSG00000056167	Cnot10	2600001P13Rik	CCR4-NOT transcription complex, subunit 10	protein-coding	-0.507	-0.531
1-9497	chr13	25006897	25007897	+	1000	NA	intron (NM_001013389, intron 2 of 10)	intron (NM_001013389, intron 2 of 10)	12920	NM_001013389	380836		NM_001013389	ENSMUSG00000021339	Mrs2	Gm902|HPT|Mrs2l|RPT	MRS2 magnesium transporter	protein-coding	0.040	0.017
1-25311	chr7	135790696	135791696	+	1000	NA	Intergenic	Intergenic	-62923	NR_166518	319551		NR_166518		6330420H09Rik	-	RIKEN cDNA 6330420H09 gene	ncRNA	-0.685	-0.997
1-18115	chr15	81513972	81514972	+	1000	NA	Intergenic	Intergenic	48156	NM_019712	56438		NM_019712	ENSMUSG00000022400	Rbx1	1500002P15Rik|ROC1	ring-box 1	protein-coding	-1.955	-1.955
1-9643	chr4	124102390	124103390	+	1000	NA	Intergenic	Tigger5|DNA|TcMar-Tigger	185457	NM_017475	54170		NM_017475	ENSMUSG00000028646	Rragc	Gtr2|RAGC|TIB929|YGR163W	Ras-related GTP binding C	protein-coding	-0.339	-0.546
1-11549	chr6	139577167	139578167	+	1000	NA	Intergenic	Intergenic	-38648	NM_207683	18705		NM_011084	ENSMUSG00000030228	Pik3c2g	PI3K-C2-gamma	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma	protein-coding	-0.167	-0.319
1-23279	chr3	143378897	143379897	+	1000	NA	Intergenic	Intergenic	136342	NR_040551	320072		NR_040551	ENSMUSG00000105923	A830019L24Rik	-	RIKEN cDNA A830019L24 gene	ncRNA	-0.390	-0.328
1-13973	chr3	137752022	137753022	+	1000	NA	Intergenic	Intergenic	31093	NR_105801	102466638		NR_105801	ENSMUSG00000099011	Mir6380	Gm27356|mmu-mir-6380	microRNA 6380	ncRNA	-2.060	-1.727
1-9468	chr2	65022443	65023443	+	1000	NA	promoter-TSS (NM_016719)	promoter-TSS (NM_016719)	-177	NM_016719	50915		NM_016719	ENSMUSG00000026888	Grb14	-	growth factor receptor bound protein 14	protein-coding	-0.352	-0.413
1-28307	chr7	65317099	65318099	+	1000	NA	intron (NM_009386, intron 18 of 27)	intron (NM_009386, intron 18 of 27)	53645	NM_009386	21872		NM_009386	ENSMUSG00000030516	Tjp1	ZO1	tight junction protein 1	protein-coding	-1.158	-1.468
1-5593	chr8	57428906	57429906	+	1000	NA	Intergenic	Intergenic	-26517	NM_009136	20284		NM_009136	ENSMUSG00000031610	Scrg1	-	scrapie responsive gene 1	protein-coding	-0.985	-0.713
1-7916	chr9	44721043	44722043	+	1000	NA	intron (NM_153537, intron 4 of 21)	G-rich|Low_complexity|Low_complexity	13655	NM_153537	102693		NM_153537	ENSMUSG00000048537	Phldb1	D330037A14Rik|Ll5a|Ll5alpha	pleckstrin homology like domain, family B, member 1	protein-coding	-2.086	-2.049
1-13683	chr11	77132280	77133280	+	1000	NA	intron (NM_176965, intron 7 of 17)	intron (NM_176965, intron 7 of 17)	-54343	NM_001012309	237859		NM_001012309	ENSMUSG00000037958	Nsrp1	8030451K07|Ccdc55|NSpr70|NSrp70	nuclear speckle regulatory protein 1	protein-coding	-1.334	-1.465
1-19021	chr10	9575272	9576272	+	1000	NA	Intergenic	Intergenic	99436	NM_177271	320825		NM_177271	ENSMUSG00000060487	Samd5	E130306M17Rik	sterile alpha motif domain containing 5	protein-coding	-0.724	-0.712
1-7842	chr10	125317009	125318009	+	1000	NA	intron (NM_011391, intron 1 of 6)	intron (NM_011391, intron 1 of 6)	-8693	NM_001358915	20503		NM_011391	ENSMUSG00000020102	Slc16a7	4921534N07Rik|9030411M13Rik|D630004K10Rik|Mct2	solute carrier family 16 (monocarboxylic acid transporters), member 7	protein-coding	-0.592	-0.600
1-11746	chr11	121680372	121681372	+	1000	NA	Intergenic	Intergenic	-7721	NM_178664	210004		NM_178664	ENSMUSG00000046605	B3gntl1	6030413G23Rik|QTGAL	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1	protein-coding	-0.371	-0.309
1-11823	chr11	88054371	88055371	+	1000	NA	Intergenic	Intergenic	7498	NM_001078167	110809		NM_173374	ENSMUSG00000018379	Srsf1	1110054N12Rik|5730507C05Rik|6330415C05Rik|Asf|Sf2|Sfrs1	serine and arginine-rich splicing factor 1	protein-coding	-1.621	-1.560
1-10602	chrX	135805502	135806502	+	1000	NA	Intergenic	Intergenic	-19785	NR_035497	100316820		NR_035497	ENSMUSG00000088464	Mir1970	mmu-mir-1970	microRNA 1970	ncRNA	-0.956	-1.063
1-28112	chr4	133369160	133370160	+	1000	NA	promoter-TSS (NR_039582)	promoter-TSS (NR_039582)	-75	NM_016981	20544		NM_016981	ENSMUSG00000028854	Slc9a1	Apnh|Mir5122|Nhe1|mir-5122|swe	solute carrier family 9 (sodium/hydrogen exchanger), member 1	protein-coding	-1.996	-1.788
1-28001	chr8	125935334	125936334	+	1000	NA	intron (NM_145608, intron 5 of 9)	intron (NM_145608, intron 5 of 9)	25384	NM_145608	234878		NM_145608	ENSMUSG00000031853	Map3k21	Mlk4|mKIAA1804	mitogen-activated protein kinase kinase kinase 21	protein-coding	-1.958	-1.922
1-19327	chr17	85116328	85117328	+	1000	NA	intron (NM_028576, intron 3 of 10)	intron (NM_028576, intron 3 of 10)	26202	NM_001364946	73582		NM_028576	ENSMUSG00000071037	Camkmt	1700106N22Rik|CLNMT|CaM KMT	calmodulin-lysine N-methyltransferase	protein-coding	-1.329	-1.410
1-28946	chr18	83059462	83060462	+	1000	NA	Intergenic	Intergenic	-139402	NR_033307	75853		NR_033307	ENSMUSG00000118339	4930592I03Rik	-	RIKEN cDNA 4930592I03 gene	ncRNA	-1.261	-1.135
1-30309	chr5	105654386	105655386	+	1000	NA	Intergenic	Intergenic	-45083	NM_001122768	231549		NM_178701	ENSMUSG00000046079	Lrrc8d	2810473G09Rik|4930525N13Rik|A930019F03|Lrrc5	leucine rich repeat containing 8D	protein-coding	-0.943	-0.970
1-31994	chr18	37883148	37884148	+	1000	NA	intron (NM_001305981, intron 18 of 28)	intron (NM_001305981, intron 18 of 28)	-28988	NR_105945	102465592		NR_105945	ENSMUSG00000098706	Mir6979	Gm27524|mmu-mir-6979	microRNA 6979	ncRNA	-1.656	-1.426
1-29884	chr6	134793899	134794899	+	1000	NA	intron (NR_151454, intron 1 of 1)	intron (NR_151454, intron 1 of 1)	-1251	NR_151455	105242798		NR_151454		1700055D16Rik	-	RIKEN cDNA 1700055D16 gene	ncRNA	-0.647	-0.664
1-15122	chr11	6568834	6569834	+	1000	NA	intron (NM_001190344, intron 2 of 9)	intron (NM_001190344, intron 2 of 9)	9151	NM_001190344	216527		NM_146014	ENSMUSG00000000378	Ccm2	-	cerebral cavernous malformation 2	protein-coding	-1.742	-1.499
1-11159	chr18	80295395	80296395	+	1000	NA	exon (NM_001190373, exon 4 of 4)	exon (NM_001190373, exon 4 of 4)	39589	NM_001164423	66943		NM_025861	ENSMUSG00000034006	Slc66a2	2310009N05Rik|4933425L21Rik|5730564E11Rik|Pqlc1	solute carrier family 66 member 2	protein-coding	-0.819	-1.039
1-8026	chr1	181009572	181010572	+	1000	NA	intron (NM_010145, intron 1 of 8)	intron (NM_010145, intron 1 of 8)	7497	NM_010145	13849		NM_010145	ENSMUSG00000038776	Ephx1	EH|Eph-1|Eph1|Epxh1|mEH	epoxide hydrolase 1, microsomal	protein-coding	-0.709	-0.747
1-11998	chr3	107148719	107149719	+	1000	NA	Intergenic	Intergenic	-33924	NM_001081140	242151		NM_001081140	ENSMUSG00000042861	Kcna10	Gm1962|Kcna8|Kv1.8	potassium voltage-gated channel, shaker-related subfamily, member 10	protein-coding	-0.806	-0.757
1-14355	chr13	97205075	97206075	+	1000	NA	Intergenic	Intergenic	-7218	NM_010422	15212		NM_010422	ENSMUSG00000021665	Hexb	-	hexosaminidase B	protein-coding	-0.825	-0.950
1-12847	chr1	36321481	36322481	+	1000	NA	non-coding (NR_033310, exon 6 of 6)	non-coding (NR_033310, exon 6 of 6)	14248	NM_145996	214855		NM_145996	ENSMUSG00000037447	Arid5a	D430024K22Rik|Mrf1	AT-rich interaction domain 5A	protein-coding	-1.445	-1.438
1-21565	chr1	91178734	91179734	+	1000	NA	promoter-TSS (NM_178401)	promoter-TSS (NM_178401)	-588	NM_016894	51801		NM_016894	ENSMUSG00000034353	Ramp1	9130218E19Rik	receptor (calcitonin) activity modifying protein 1	protein-coding	-0.671	-0.801
1-23475	chr17	5922959	5923959	+	1000	NA	intron (NM_025664, intron 13 of 17)	intron (NM_025664, intron 13 of 17)	-17821	NM_001113352	20975		NM_011523	ENSMUSG00000023805	Synj2	SJ2|mKIAA0348	synaptojanin 2	protein-coding	-2.483	-2.379
1-29856	chr9	110296795	110297795	+	1000	NA	Intergenic	Intergenic	-7897	NM_001081381	72341		NM_001081381	ENSMUSG00000054836	Elp6	2610001P13Rik|2610002I17Rik|Tmem103	elongator acetyltransferase complex subunit 6	protein-coding	-1.402	-1.233
