PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27ac.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
84465	chr17	6619643	6620643	+	126	NA	non-coding (NR_028305, exon 2 of 9)	non-coding (NR_028305, exon 2 of 9)	782	NR_028305	100040525		NR_028305		Tmem181c-ps	100040596|Tmem181d-ps	transmembrane protein 181C, pseudogene	pseudo	-1.397	-1.599
1329128	chr15	85673416	85674416	+	124	NA	Intergenic	Intergenic	-29857	NR_110483	102800312		NR_110483		Lncppara	Lincppara|Mirlet7bhg|linc-Ppara	long noncoding RNA near Ppara	ncRNA	-1.506	-1.928
202576	chr6	58964062	58965062	+	124	NA	intron (NM_153574, intron 8 of 17)	intron (NM_153574, intron 8 of 17)	-57436	NM_021432	58243		NM_021432	ENSMUSG00000055430	Nap1l5	1110020M21Rik	nucleosome assembly protein 1-like 5	protein-coding	-0.389	-0.481
556106	chr9	91356466	91357466	+	123	NA	Intergenic	Intergenic	8802	NM_001376941	22771		NM_009573	ENSMUSG00000032368	Zic1	ZIC|ZNF201	zinc finger protein of the cerebellum 1	protein-coding	-2.278	-2.218
256414	chr10	69708089	69709089	+	122	NA	intron (NM_170730, intron 1 of 17)	intron (NM_170730, intron 1 of 17)	174881	NM_170729	11735		NM_009670	ENSMUSG00000069601	Ank3	2900054D09Rik|Ank-3|AnkG|Ankyrin-3|Ankyrin-G	ankyrin 3, epithelial	protein-coding	-1.005	-1.127
54458	chrY	50830649	50831649	+	120	NA	Intergenic	Intergenic	51225	NM_001160142	100041256		NM_001160142	ENSMUSG00000096898	Gm20867	-	predicted gene, 20867	protein-coding		
145663	chr7	89633495	89634495	+	120	NA	intron (NM_181407, intron 1 of 13)	intron (NM_181407, intron 1 of 13)	1177	NM_181407	109264		NM_181407	ENSMUSG00000030621	Me3	1700020C08Rik|B230207H15Rik	malic enzyme 3, NADP(+)-dependent, mitochondrial	protein-coding	-1.115	-1.091
116478	chr3	59175853	59176853	+	117	NA	intron (NM_177855, intron 15 of 43)	intron (NM_177855, intron 15 of 43)	18751	NM_001302203	84111		NM_032399	ENSMUSG00000051431	Gpr87	-	G protein-coupled receptor 87	protein-coding	-0.857	-1.007
161629	chr6	71990626	71991626	+	117	NA	Intergenic	Intergenic	51402	NR_046180	330350		NR_046180	ENSMUSG00000108356	9130221F21Rik	9130221F21	RIKEN cDNA 9130221F21 gene	ncRNA	-1.029	-1.193
108522	chr10	78323851	78324851	+	117	NA	intron (NM_053014, intron 2 of 9)	intron (NM_053014, intron 2 of 9)	15856	NR_106119	102465765		NR_106119	ENSMUSG00000098885	Mir7659	Gm27433|mmu-mir-7659	microRNA 7659	ncRNA	-0.805	-0.831
316735	chr4	53513996	53514996	+	116	NA	intron (NM_133891, intron 3 of 15)	MER44A|DNA|TcMar-Tigger	74080	NM_001374697	100434		NM_133891	ENSMUSG00000028412	Slc44a1	2210409B22Rik|4833416H08Rik|CHTL1|CTL1|Cdw92	solute carrier family 44, member 1	protein-coding	-0.340	-0.520
389982	chr15	27943131	27944131	+	116	NA	intron (NM_001081302, intron 1 of 56)	intron (NM_001081302, intron 1 of 56)	82217	NM_001081302	223435		NM_001081302	ENSMUSG00000022263	Trio	6720464I07Rik|Solo	triple functional domain (PTPRF interacting)	protein-coding	-1.021	-1.117
407481	chr9	91129857	91130857	+	116	NA	Intergenic	Intergenic	235411	NM_001376941	22771		NM_009573	ENSMUSG00000032368	Zic1	ZIC|ZNF201	zinc finger protein of the cerebellum 1	protein-coding	-2.299	-2.119
125481	chr18	13397625	13398625	+	116	NA	Intergenic	Intergenic	-110266	NR_166721	102640755		NR_166720		Gm36747	-	predicted gene, 36747	ncRNA	-1.797	-1.646
589115	chr2	165880142	165881142	+	115	NA	promoter-TSS (NM_001363018)	promoter-TSS (NM_001363018)	-472	NM_001363018	228880		NM_027230	ENSMUSG00000039671	Zmynd8	1110013E22Rik|2010005I16Rik|3632413B07Rik|Prkcbp1|RACK7	zinc finger, MYND-type containing 8	protein-coding	-1.132	-1.630
164648	chr12	108224958	108225958	+	115	NA	intron (NM_001159910, intron 1 of 5)	intron (NM_001159910, intron 1 of 5)	45720	NM_009832	12454		NM_009832	ENSMUSG00000021258	Ccnk	CPR4|CycK	cyclin K	protein-coding	-1.388	-1.581
520649	chr9	91383523	91384523	+	115	NA	exon (NM_009576, exon 4 of 5)	exon (NM_009576, exon 4 of 5)	6051	NM_001374749	22774		NM_009576	ENSMUSG00000036972	Zic4	-	zinc finger protein of the cerebellum 4	protein-coding	-2.274	-2.131
564899	chr13	84062338	84063338	+	115	NA	intron (NR_131220, intron 1 of 1)	intron (NR_131220, intron 1 of 1)	1936	NR_131220	553095		NR_131220	ENSMUSG00000098087	Gm17750	-	predicted gene, 17750	ncRNA	-1.645	-1.286
76607	chr7	59886127	59887127	+	115	NA	intron (NR_146211, intron 34 of 171)	intron (NR_146211, intron 34 of 171)	92229	NR_028529	100217429		NR_028529		Snord64	MBII-13	small nucleolar RNA, C/D box 64	snoRNA	-0.396	-0.266
234026	chr4	155264290	155265290	+	115	NA	intron (NM_001039079, intron 13 of 14)	intron (NM_001039079, intron 13 of 14)	14824	NM_001347262	67513		NM_001190445	ENSMUSG00000073684	Faap20	2610002J02Rik	Fanconi anemia core complex associated protein 20	protein-coding	-2.141	-2.571
123465	chr1	193315276	193316276	+	114	NA	intron (NM_008484, intron 3 of 22)	intron (NM_008484, intron 3 of 22)	13533	NM_001277928	16780		NM_008484	ENSMUSG00000026639	Lamb3	-	laminin, beta 3	protein-coding	-1.165	-1.325
74081	chr16	44255281	44256281	+	114	NA	intron (NM_001159419, intron 19 of 25)	intron (NM_001159419, intron 19 of 25)	77057	NM_001159419	320007		NM_198034	ENSMUSG00000022696	Sidt1	B830021E24Rik	SID1 transmembrane family, member 1	protein-coding	-1.375	-1.411
248575	chr5	36887077	36888077	+	114	NA	intron (NM_001360003, intron 1 of 8)	intron (NM_001360003, intron 1 of 8)	-10698	NR_045505	71054		NR_045505	ENSMUSG00000087487	Ppp2r2cos	4933401P06Rik	protein phosphatase 2, regulatory subunit B, gamma, opposite strand	ncRNA	-0.966	-1.226
155085	chr15	53821667	53822667	+	114	NA	intron (NM_177225, intron 2 of 4)	intron (NM_177225, intron 2 of 4)	80269	NM_177225	320679		NM_177225	ENSMUSG00000058656	Samd12	A830094I09Rik	sterile alpha motif domain containing 12	protein-coding	-1.207	-1.035
296124	chr18	79049356	79050356	+	114	NA	intron (NM_053099, intron 2 of 5)	intron (NM_053099, intron 2 of 5)	60588	NM_053099	240427		NM_053099	ENSMUSG00000024548	Setbp1	C130092E12|Seb|mKIAA0437	SET binding protein 1	protein-coding	-1.643	-1.812
1015302	chr2	105677320	105678320	+	114	NA	intron (NM_013627, intron 1 of 12)	intron (NM_013627, intron 1 of 12)	1691	NM_013627	18508		NM_013627	ENSMUSG00000027168	Pax6	1500038E17Rik|AEY11|Dey|Gsfaey11|Pax-6|Sey	paired box 6	protein-coding	-1.081	-1.085
219146	chr1	50926046	50927046	+	113	NA	promoter-TSS (NM_019790)	promoter-TSS (NM_019790)	-977	NM_019790	56363		NM_019790	ENSMUSG00000026109	Tmeff2	4832418D20Rik|7630402F16Rik|TR-2	transmembrane protein with EGF-like and two follistatin-like domains 2	protein-coding	-1.238	-0.907
120871	chr3	134241886	134242886	+	113	NA	intron (NM_001004367, intron 3 of 3)	intron (NM_001004367, intron 3 of 3)	-1803	NR_035435	100316832		NR_035435	ENSMUSG00000084564	Mir1895	Mirn1895|mmu-mir-1895	microRNA 1895	ncRNA	0.279	0.145
314464	chr1	146496611	146497611	+	113	NA	promoter-TSS (NM_001145807)	promoter-TSS (NM_001145807)	-576	NM_001357572	215378		NM_153539	ENSMUSG00000035131	Brinp3	B830045N13Rik|Fam5c	bone morphogenetic protein/retinoic acid inducible neural specific 3	protein-coding	-0.901	-0.874
110555	chr10	116645432	116646432	+	113	NA	Intergenic	Intergenic	-28659	NR_152731	102633950		NR_152731	ENSMUSG00000097104	Gm26579	-	predicted gene, 26579	ncRNA	-1.614	-1.700
269193	chr5	36893016	36894016	+	113	NA	intron (NM_001360003, intron 1 of 8)	intron (NM_001360003, intron 1 of 8)	-16637	NR_045505	71054		NR_045505	ENSMUSG00000087487	Ppp2r2cos	4933401P06Rik	protein phosphatase 2, regulatory subunit B, gamma, opposite strand	ncRNA	-0.927	-1.223
329198	chr9	91370878	91371878	+	112	NA	intron (NM_009576, intron 1 of 4)	intron (NM_009576, intron 1 of 4)	2406	NM_009576	22774		NM_009576	ENSMUSG00000036972	Zic4	-	zinc finger protein of the cerebellum 4	protein-coding	-2.086	-2.057
70881	chr3	106130992	106131992	+	112	NA	intron (NM_023186, intron 10 of 10)	intron (NM_023186, intron 10 of 10)	18110	NM_023186	81600		NM_023186	ENSMUSG00000062778	Chia1	2200003E03Rik|AMCase|Chia|YNL	chitinase, acidic 1	protein-coding	-0.389	-0.427
144733	chr8	110704005	110705005	+	112	NA	intron (NR_151675, intron 13 of 17)	intron (NR_151675, intron 13 of 17)	-16971	NM_198625	244654		NM_198625	ENSMUSG00000033763	Mtss2	ABBA|Mtss1l	MTSS I-BAR domain containing 2	protein-coding	-1.094	-1.306
98105	chr17	80709987	80710987	+	112	NA	intron (NM_001360278, intron 1 of 33)	intron (NM_001360278, intron 1 of 33)	17538	NM_001360278	225028		NM_001081357	ENSMUSG00000024242	Map4k3	4833416M01Rik|4833416M07Rik|9530052P13Rik|Glk|MAPKKKK3|MEKKK 3|MEKKK3|RAB8IPL1	mitogen-activated protein kinase kinase kinase kinase 3	protein-coding	-1.393	-1.556
456704	chr14	122384201	122385201	+	111	NA	intron (NM_029556, intron 7 of 7)	intron (NM_029556, intron 7 of 7)	66414	NR_033325	328479		NR_033325	ENSMUSG00000064052	Gm5089	6530402A20|C030005G22Rik|EG328479	predicted gene 5089	ncRNA	-3.132	-2.965
136576	chr6	149409369	149410369	+	111	NA	intron (NM_009753, intron 1 of 8)	intron (NM_009753, intron 1 of 8)	885	NM_001112796	12121		NM_009753	ENSMUSG00000003452	Bicd1	B830009D06Rik|bic-D 1	BICD cargo adaptor 1	protein-coding	-0.675	-0.736
257097	chr8	84795358	84796358	+	111	NA	intron (NM_001371053, intron 1 of 10)	intron (NM_001371053, intron 1 of 10)	4510	NM_001081982	18032		NM_010906	ENSMUSG00000001911	Nfix	CTF|NF-I/X|NF1-X|NFI-X	nuclear factor I/X	protein-coding	-2.288	-2.544
155283	chr12	87043970	87044970	+	111	NA	intron (NM_172583, intron 2 of 24)	intron (NM_172583, intron 2 of 24)	18178	NM_001361705	217733		NM_172583	ENSMUSG00000034145	Tmem63c	4932420N09|9330187M14Rik	transmembrane protein 63c	protein-coding	-1.093	-1.157
186396	chr12	99217901	99218901	+	110	NA	intron (NM_183186, intron 4 of 5)	intron (NM_183186, intron 4 of 5)	-55593	NR_038130	67639		NR_038130	ENSMUSG00000113210	4930474N09Rik	-	RIKEN cDNA 4930474N09 gene	ncRNA	-2.204	-2.485
114778	chr2	130634012	130635012	+	110	NA	3' UTR (NM_001291027, exon 5 of 5)	3' UTR (NM_001291027, exon 5 of 5)	-4474	NM_080562	140629		NM_080562	ENSMUSG00000027300	Ubox5	1500010O06Rik|C330018L13Rik|Rnf37|UIP5|Ubce7ip5|Ube7ip5	U box domain containing 5	protein-coding	-0.621	-0.664
156254	chr2	155805382	155806382	+	110	NA	intron (NM_010808, intron 4 of 8)	intron (NM_010808, intron 4 of 8)	13350	NM_001384169	613262		NM_001384169	ENSMUSG00000074649	Mmp24os1	-	matrix metallopeptidase 24 opposite strand transcript 1	protein-coding	-1.796	-1.987
70338	chr15	37135434	37136434	+	110	NA	Intergenic	CpG	-97102	NM_026496	252973		NM_026496	ENSMUSG00000022286	Grhl2	0610015A08Rik|BOM|Tcfcp2l3|clft3	grainyhead like transcription factor 2	protein-coding	-1.836	-1.997
119618	chr15	98952176	98953176	+	109	NA	intron (NM_011653, intron 1 of 3)	intron (NM_011653, intron 1 of 3)	825	NM_011653	22142		NM_011653	ENSMUSG00000072235	Tuba1a	Tuba-1|Tuba1	tubulin, alpha 1A	protein-coding	-1.767	-1.821
87469	chr5	4485139	4486139	+	109	NA	Intergenic	Intergenic	272577	NM_021457	14362		NM_021457	ENSMUSG00000044674	Fzd1	FZ-1|Fz1	frizzled class receptor 1	protein-coding	-1.072	-0.890
121178	chr2	30657823	30658823	+	109	NA	non-coding (NR_136917, exon 4 of 4)	non-coding (NR_136917, exon 4 of 4)	19688	NR_136917	665635		NR_136917		Gm14486	-	predicted gene 14486	ncRNA	-2.172	-2.409
174199	chr17	87332178	87333178	+	109	NA	intron (NM_028639, intron 10 of 19)	intron (NM_028639, intron 10 of 19)	49792	NM_028639	225049		NM_028639	ENSMUSG00000036918	Ttc7	1110035E02Rik|1700007L07Rik|Ttc7a|fsn|hea	tetratricopeptide repeat domain 7	protein-coding	-1.555	-1.692
119903	chr2	79410196	79411196	+	109	NA	intron (NM_001048176, intron 1 of 12)	intron (NM_001048176, intron 1 of 12)	18292	NM_001048176	228094		NM_001033295	ENSMUSG00000075256	Cerkl	Gm1958|Rp26	ceramide kinase-like	protein-coding	-1.008	-1.054
75828	chr11	3127260	3128260	+	109	NA	intron (NR_003517, intron 3 of 6)	intron (NR_003517, intron 3 of 6)	3758	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo		
360036	chr4	85259958	85260958	+	108	NA	intron (NM_019535, intron 1 of 8)	intron (NM_019535, intron 1 of 8)	55002	NM_019535	20404		NM_019535	ENSMUSG00000028488	Sh3gl2	9530001L19Rik|B930049H17Rik|EEN-B1|EEN1|SH3PA|Sh3d2a	SH3-domain GRB2-like 2	protein-coding	-1.339	-1.494
287987	chr9	103547027	103548027	+	108	NA	intron (NM_178638, intron 3 of 5)	intron (NM_178638, intron 3 of 5)	-9563	NR_040764	319215		NR_040764	ENSMUSG00000099616	4932413F04Rik	-	RIKEN cDNA 4932413F04 gene	ncRNA	-1.218	-1.516
131479	chr11	18870525	18871525	+	108	NA	Intergenic	Intergenic	147944	NM_001193271	17268		NM_010789	ENSMUSG00000020160	Meis1	C530044H18Rik|Evi8	Meis homeobox 1	protein-coding	-2.399	-2.321
111199	chr12	76683597	76684597	+	108	NA	intron (NM_013675, intron 1 of 35)	(TG)n|Simple_repeat|Simple_repeat	26450	NM_013675	20741		NM_013675	ENSMUSG00000021061	Sptb	D330027P03Rik|Gm1301|Spnb-1|Spnb1|ja|jaundiced|mKIAA4219	spectrin beta, erythrocytic	protein-coding	-1.774	-1.897
407422	chr1	6732137	6733137	+	108	NA	intron (NM_173868, intron 1 of 21)	intron (NM_173868, intron 1 of 21)	2586	NR_045188	240690		NM_173868	ENSMUSG00000033740	St18	Myt3|NZF-3|Nzf3|mKIAA0535	suppression of tumorigenicity 18	protein-coding	-0.635	-0.661
404012	chr11	18751896	18752896	+	107	NA	Intergenic	Intergenic	-259130	NR_167980	102633911		NR_167980	ENSMUSG00000085675	Gm12022	-	predicted gene 12022	ncRNA	-2.208	-2.084
108300	chr5	112368839	112369839	+	107	NA	intron (NM_001359853, intron 9 of 13)	intron (NM_001359853, intron 9 of 13)	-13306	NM_001039228	625424		NM_001039228	ENSMUSG00000051503	Ccdc121rt3	EG625424|Gm6583	coiled-coil domain containing 121, retrogene 3	protein-coding	-1.218	-1.422
146547	chr11	98333655	98334655	+	107	NA	Intergenic	Intergenic	-4510	NM_010895	18013		NM_010895	ENSMUSG00000038255	Neurod2	Ndrf|bHLHa1	neurogenic differentiation 2	protein-coding	-1.208	-1.281
483381	chr3	55782953	55783953	+	106	NA	exon (NM_010750, exon 1 of 1)	exon (NM_010750, exon 1 of 1)	943	NM_010750	17116		NM_010750	ENSMUSG00000056947	Mab21l1	-	mab-21-like 1	protein-coding	-1.173	-1.456
346419	chr3	17787560	17788560	+	106	NA	Intergenic	Intergenic	-1861	NR_033490	70441		NR_033490	ENSMUSG00000100252	Mir124-2hg	100040120|2610100L16Rik|6430547I21Rik|A930005K07Rik|Gm2612	Mir124-2 host gene (non-protein coding)	ncRNA	-0.785	-0.782
259556	chr7	63899829	63900829	+	106	NA	non-coding (NR_166574, exon 4 of 4)	non-coding (NR_166574, exon 4 of 4)	3945	NR_166574	102634962		NR_166574		Gm27252	-	predicted gene 27252	ncRNA	-1.540	-1.671
218881	chr3	141599958	141600958	+	106	NA	intron (NM_009472, intron 1 of 15)	intron (NM_009472, intron 1 of 15)	134894	NM_001293561	22253		NM_009472	ENSMUSG00000059921	Unc5c	B130051O18Rik|Unc5h3|rcm	unc-5 netrin receptor C	protein-coding	-1.778	-1.693
101729	chr12	26191356	26192356	+	106	NA	intron (NR_131149, intron 2 of 4)	intron (NR_131149, intron 2 of 4)	18649	NR_131149	629481		NR_131149	ENSMUSG00000113550	Gm29687	-	predicted gene, 29687	ncRNA	-1.184	-1.311
71170	chr17	13590011	13591011	+	106	NA	Intergenic	Intergenic	-36417	NR_045436	72578		NR_045436	ENSMUSG00000117042	2700054A10Rik	-	RIKEN cDNA 2700054A10 gene	ncRNA		
158601	chr15	80101718	80102718	+	105	NA	intron (NM_009303, intron 1 of 3)	intron (NM_009303, intron 1 of 3)	-10384	NR_168675	102633270		NR_168675		Gm31134	-	predicted gene, 31134	ncRNA	-2.487	-2.735
94328	chr15	4026560	4027560	+	105	NA	non-coding (NR_028266, exon 1 of 2)	non-coding (NR_028266, exon 1 of 2)	346	NR_028266	414066		NR_028266		Oxct1as	-	3-oxoacid CoA transferase 1 antisense RNA	ncRNA	-1.412	-1.211
82025	chr11	67664591	67665591	+	105	NA	intron (NM_008088, intron 7 of 13)	intron (NM_008088, intron 7 of 13)	-30235	NM_009038	19674		NM_009038	ENSMUSG00000020907	Rcvrn	CAR|S-modulin	recoverin	protein-coding	-0.531	-0.534
199374	chr13	83986994	83987994	+	105	NA	Intergenic	Intergenic	77280	NR_131220	553095		NR_131220	ENSMUSG00000098087	Gm17750	-	predicted gene, 17750	ncRNA	-1.817	-1.437
155526	chr15	36967606	36968606	+	105	NA	Intergenic	Intergenic	39296	NM_026521	68036		NM_026521	ENSMUSG00000062397	Zfp706	3110006P09Rik|Znf706	zinc finger protein 706	protein-coding	-1.828	-1.996
143827	chr12	99248000	99249000	+	104	NA	intron (NM_183186, intron 4 of 5)	intron (NM_183186, intron 4 of 5)	-85692	NR_038130	67639		NR_038130	ENSMUSG00000113210	4930474N09Rik	-	RIKEN cDNA 4930474N09 gene	ncRNA	-1.854	-2.138
224672	chr4	41677869	41678869	+	104	NA	intron (NM_001136056, intron 2 of 9)	intron (NM_001136056, intron 2 of 9)	10811	NM_001379216	12804		NM_016673	ENSMUSG00000028444	Cntfr	Cntfralpha	ciliary neurotrophic factor receptor	protein-coding	-1.053	-1.007
96139	chr4	155252730	155253730	+	104	NA	intron (NR_033802, intron 2 of 2)	intron (NR_033802, intron 2 of 2)	3264	NM_001347262	67513		NM_001190445	ENSMUSG00000073684	Faap20	2610002J02Rik	Fanconi anemia core complex associated protein 20	protein-coding	-2.366	-2.650
153256	chr18	64790025	64791025	+	104	NA	Intergenic	Intergenic	-97231	NM_001114386	83814		NM_031881	ENSMUSG00000024589	Nedd4l	1300012C07Rik|NEDD4.2|Nedd4-2|Nedd4b	neural precursor cell expressed, developmentally down-regulated gene 4-like	protein-coding	-1.505	-1.465
97078	chr2	91949410	91950410	+	104	NA	intron (NM_001166597, intron 1 of 31)	intron (NM_001166597, intron 1 of 31)	438	NM_001166597	104418		NM_138306	ENSMUSG00000040479	Dgkz	E130307B02Rik|F730209L11Rik|mDGK[z]	diacylglycerol kinase zeta	protein-coding	-1.515	-1.668
140496	chr9	110684828	110685828	+	104	NA	intron (NM_028312, intron 1 of 6)	MIR|SINE|MIR	28825	NM_028312	72654		NM_028312	ENSMUSG00000019659	Ccdc12	2700094L05Rik	coiled-coil domain containing 12	protein-coding	-0.860	-1.022
107418	chr12	83412147	83413147	+	104	NA	intron (NM_058212, intron 1 of 8)	intron (NM_058212, intron 1 of 8)	75089	NM_058212	70127		NM_058212	ENSMUSG00000021221	Dpf3	2810403B03Rik|6530402L11Rik|BAF45C|CERD4|Gm18872|cer-d4	double PHD fingers 3	protein-coding	-2.231	-2.419
491561	chr18	13791046	13792046	+	104	NA	intron (NM_001360804, intron 5 of 7)	intron (NM_001360804, intron 5 of 7)	181187	NM_001360804	225207		NM_145492	ENSMUSG00000024420	Zfp521	B930086A16Rik|Evi3|Znf521	zinc finger protein 521	protein-coding	-1.993	-2.131
