PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27me3.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
176211	chr14	3651761	3652761	+	305	NA	intron (NR_033121, intron 1 of 6).2	CpG	231	NR_033121	100041530		NR_033121	ENSMUSG00000096488	Gm10409	EG666890|Gm8348	predicted pseudogene 8348	pseudo		
807643	chr14	32463302	32464302	+	305	NA	exon (NM_021712, exon 1 of 1)	exon (NM_021712, exon 1 of 1)	1048	NM_021712	20508		NM_021712	ENSMUSG00000100241	Slc18a3	VAChT|VAT	solute carrier family 18 (vesicular monoamine), member 3	protein-coding	-0.947	-1.169
833064	chr15	7812675	7813675	+	305	NA	promoter-TSS (NM_001301333)	promoter-TSS (NM_001301333)	-552	NM_001301333	14573		NM_010275	ENSMUSG00000022144	Gdnf	ATF	glial cell line derived neurotrophic factor	protein-coding	-0.782	-0.959
615263	chr13	98501619	98502619	+	303	NA	Intergenic	Intergenic	-67054	NR_045498	70090		NR_045498	ENSMUSG00000099446	2310005E17Rik	-	RIKEN cDNA 2310005E17 gene	ncRNA	-0.170	-0.217
456463	chr3	93444285	93445285	+	302	NA	exon (NM_001163098, exon 2 of 2)	exon (NM_001163098, exon 2 of 2)	2455	NM_001163098	99681		NM_001163098	ENSMUSG00000052415	Tchh	AHF|Thh	trichohyalin	protein-coding	0.672	0.716
279103	chr6	70956033	70957033	+	298	NA	promoter-TSS (NM_001101464)	promoter-TSS (NM_001101464)	-73	NM_001101464	232077		NM_001101464	ENSMUSG00000055874	Foxi3	-	forkhead box I3	protein-coding	-0.018	0.111
200054	chr2	12300430	12301430	+	294	NA	promoter-TSS (NR_040353)	promoter-TSS (NR_040353)	-316	NR_040353	338535		NR_040353	ENSMUSG00000086843	E030013I19Rik	-	RIKEN cDNA E030013I19 gene	ncRNA	-0.257	-0.457
249754	chr8	35766495	35767495	+	293	NA	intron (NM_001370844, intron 1 of 32)	intron (NM_001370844, intron 1 of 32)	1272	NM_001370844	100502846		NM_001370844	ENSMUSG00000109372	Gm19410	-	predicted gene, 19410	protein-coding	-1.047	-1.165
329196	chr3	157567565	157568565	+	292	NA	intron (NM_001359745, intron 1 of 3)	intron (NM_001359745, intron 1 of 3)	1189	NM_011196	19218		NM_011196	ENSMUSG00000040016	Ptger3	EP3|Pgerep3|Ptgerep3	prostaglandin E receptor 3 (subtype EP3)	protein-coding	-0.593	-0.761
305978	chr8	92961640	92962640	+	288	NA	intron (NM_009209, intron 1 of 13)	intron (NM_009209, intron 1 of 13)	1093	NM_009209	20538		NM_009209	ENSMUSG00000055368	Slc6a2	NE-T|NET|Slc6a5	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2	protein-coding	-0.239	-0.280
516853	chr8	47411379	47412379	+	288	NA	Intergenic	Intergenic	-59531	NM_175162	71069		NM_175162	ENSMUSG00000038143	Stox2	4933409N07Rik|mKIAA1392	storkhead box 2	protein-coding	-0.232	-0.465
296788	chr16	84774099	84775099	+	287	NA	intron (NM_023844, intron 1 of 9)	intron (NM_023844, intron 1 of 9)	476	NM_023844	67374		NM_023844	ENSMUSG00000053062	Jam2	1110002N23Rik|2410030G21Rik|2410167M24Rik|JAM-2|JAM-B|Jcam2|VE-JAM	junction adhesion molecule 2	protein-coding	-0.622	-0.724
257510	chr3	54914322	54915322	+	287	NA	intron (NM_177854, intron 2 of 2)	intron (NM_177854, intron 2 of 2)	1065	NM_177854	329641		NM_177854	ENSMUSG00000056306	Sertm1	6030405A18Rik	serine rich and transmembrane domain containing 1	protein-coding	0.043	0.060
75061	chr6	109831506	109832506	+	287	NA	Intergenic	L1Md_F2|LINE|L1	-813506	NM_001346640	108073		NM_177328	ENSMUSG00000056755	Grm7	6330570A01Rik|C030018L03|E130018M02Rik|Gpr1g|Gprc1g|SMN2|Tg(SMN2)89Ahmb|mGluR7	glutamate receptor, metabotropic 7	protein-coding	0.020	-0.076
1077575	chr6	85189551	85190551	+	286	NA	intron (NM_010131, intron 1 of 2)	CpG	2120	NM_010131	13796		NM_010131	ENSMUSG00000033726	Emx1	-	empty spiracles homeobox 1	protein-coding	-1.102	-1.272
1026149	chr6	6876515	6877515	+	280	NA	TTS (NM_010056)	TTS (NM_010056)	5053	NM_198854	13395		NM_010056	ENSMUSG00000029755	Dlx5	-	distal-less homeobox 5	protein-coding	-0.919	-0.765
208629	chr1_GL456221_random	151650	152650	+	278	NA	intron (NM_033616, intron 1 of 1)	intron (NM_033616, intron 1 of 1)	10861	NM_033616	114564		NM_033616	ENSMUSG00000062783	Csprs	D1Lub1|HSR	component of Sp100-rs	protein-coding		
191652	chr10	13060792	13061792	+	276	NA	intron (NR_168593, intron 1 of 2)	intron (NR_168593, intron 1 of 2)	758	NR_168593	105245108		NR_168593		Gm40602	-	predicted gene, 40602	ncRNA	-0.860	-0.894
237701	chr10	117629353	117630353	+	272	NA	exon (NM_027468, exon 2 of 9)	exon (NM_027468, exon 2 of 9)	353	NM_027468	70574		NM_027468	ENSMUSG00000020183	Cpm	1110060I01Rik|5730456K23Rik|E030045M14Rik	carboxypeptidase M	protein-coding	-0.264	-0.430
454050	chr6	67533489	67534489	+	271	NA	TTS (NM_020047)	TTS (NM_020047)	1833	NM_020047	56753		NM_020047	ENSMUSG00000051397	Tacstd2	EGP-1|GA733-1|Ly97|TROP2	tumor-associated calcium signal transducer 2	protein-coding	0.123	0.100
336875	chr1	135917576	135918576	+	271	NA	intron (NM_001313701, intron 1 of 13)	intron (NM_001313701, intron 1 of 13)	1131	NM_001313701	18772		NM_019645	ENSMUSG00000026413	Pkp1	-	plakophilin 1	protein-coding	-0.234	-0.529
176240	chr1	151570884	151571884	+	267	NA	promoter-TSS (NM_022018)	promoter-TSS (NM_022018)	11	NM_022018	63913		NM_022018	ENSMUSG00000026483	Niban1	Fam129a|Niban	niban apoptosis regulator 1	protein-coding	-0.138	-0.194
347571	chr5	63649443	63650443	+	265	NA	5' UTR (NM_177006, exon 1 of 7)	5' UTR (NM_177006, exon 1 of 7)	840	NM_177006	319807		NM_028470	ENSMUSG00000090061	Nwd2	3110047P20Rik|B830017A01Rik|Hn1-ps2|mKIAA1239	NACHT and WD repeat domain containing 2	protein-coding	-0.000	0.127
834591	chr1	155737437	155738437	+	265	NA	intron (NM_010712, intron 1 of 5)	CpG	4090	NM_010712	16872		NM_010712	ENSMUSG00000026468	Lhx4	A330062J17Rik|Gsh-4|Gsh4	LIM homeobox protein 4	protein-coding	-0.762	-0.885
232824	chr10	24224217	24225217	+	265	NA	intron (NM_021509, intron 1 of 11)	intron (NM_021509, intron 1 of 11)	1200	NM_021509	59012		NM_021509	ENSMUSG00000020000	Moxd1	3230402N08Rik|MNCb-5203	monooxygenase, DBH-like 1	protein-coding	-0.200	-0.229
348824	chr15	26894168	26895168	+	264	NA	intron (NM_176959, intron 1 of 3)	intron (NM_176959, intron 1 of 3)	896	NM_176959	448987		NM_176959	ENSMUSG00000043556	Fbxl7	D230018M15Rik|FBL7|Fbl6	F-box and leucine-rich repeat protein 7	protein-coding	-0.288	-0.634
363195	chr6	7555526	7556526	+	264	NA	intron (NM_009311, intron 2 of 6)	intron (NM_009311, intron 2 of 6)	965	NM_001311060	21333		NM_009311	ENSMUSG00000061762	Tac1	4930528L02Rik|NK-1|NK1|Nkna|PPT-A|PPTA|SP	tachykinin 1	protein-coding	-0.694	-0.556
821014	chr1	56980862	56981862	+	263	NA	Intergenic	Intergenic	-1114	NM_001358580	212712		NM_139146	ENSMUSG00000038331	Satb2	BAP002|mKIAA1034	special AT-rich sequence binding protein 2	protein-coding	-0.023	-0.322
437076	chr10	44004095	44005095	+	262	NA	exon (NM_001368306, exon 2 of 21)	exon (NM_001368306, exon 2 of 21)	251	NM_172393	11630		NM_172393	ENSMUSG00000019866	Crybg1	Aim1	crystallin beta-gamma domain containing 1	protein-coding	-0.046	-0.069
228498	chr3	66221007	66222007	+	262	NA	intron (NM_008987, intron 2 of 2)	intron (NM_008987, intron 2 of 2)	1620	NM_008987	19288		NM_008987	ENSMUSG00000027832	Ptx3	TSG-14	pentraxin related gene	protein-coding	0.089	-0.040
254748	chr1	150992042	150993042	+	260	NA	intron (NM_001024720, intron 1 of 106)	intron (NM_001024720, intron 1 of 106)	893	NM_001024720	545370		NM_001024720	ENSMUSG00000066842	Hmcn1	EG545370|FIBL-6|Gm201	hemicentin 1	protein-coding	-0.409	-0.304
344850	chr3	104960971	104961971	+	260	NA	exon (NM_009520, exon 1 of 5)	exon (NM_009520, exon 1 of 5)	238	NM_009520	22414		NM_009520	ENSMUSG00000027840	Wnt2b	Wnt13	wingless-type MMTV integration site family, member 2B	protein-coding	-0.914	-1.070
184852	chr14	7657992	7658992	+	259	NA	Intergenic	CpG	-89926	NM_001270842	100041874		NM_001270842	ENSMUSG00000079364	Gm3558	-	predicted gene 3558	protein-coding	0.576	0.417
238920	chr6	116458972	116459972	+	259	NA	intron (NM_009662, intron 1 of 13)	intron (NM_009662, intron 1 of 13)	1706	NM_009662	11689		NM_009662	ENSMUSG00000025701	Alox5	5-LO|5-LOX|5LO|5LX|F730011J02	arachidonate 5-lipoxygenase	protein-coding	-0.299	-0.199
1146475	chr18	53470946	53471946	+	258	NA	intron (NM_001033281, intron 1 of 6)	intron (NM_001033281, intron 1 of 6)	6900	NM_001033281	225518		NM_001033281	ENSMUSG00000069378	Prdm6	Gm92|PRISM	PR domain containing 6	protein-coding	-0.941	-1.019
309088	chr16	92499348	92500348	+	257	NA	intron (NM_172469, intron 1 of 5)	intron (NM_172469, intron 1 of 5)	1701	NM_172469	209195		NM_172469	ENSMUSG00000022949	Clic6	5730466J16Rik|CLIC1L	chloride intracellular channel 6	protein-coding	-1.520	-1.639
549301	chr13	34649138	34650138	+	257	NA	intron (NM_001382845, intron 1 of 5)	intron (NM_001382845, intron 1 of 5)	3043	NR_168613	66895		NM_025831	ENSMUSG00000021411	Pxdc1	1300014I06Rik	PX domain containing 1	protein-coding	-1.071	-1.207
291911	chr14	56364468	56365468	+	256	NA	promoter-TSS (NM_138652)	promoter-TSS (NM_138652)	-100	NM_138652	192113		NM_138652	ENSMUSG00000022229	Atp12a	Atp1al1|HKalpha2|cHKA	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	protein-coding	-1.024	-1.033
188608	chr8	117498250	117499250	+	255	NA	intron (NM_172285, intron 1 of 32)	CpG	475	NM_172285	234779		NM_172285	ENSMUSG00000034330	Plcg2	PLC-gamma-2|PLCgamma2|Plcg-2	phospholipase C, gamma 2	protein-coding	-0.463	-0.810
775661	chr14	32597777	32598777	+	255	NA	Intergenic	Intergenic	-1131	NM_001347590	107751		NM_001001796	ENSMUSG00000041730	Drgx	Drg11|Prrxl1	dorsal root ganglia homeobox	protein-coding	-0.475	-0.961
189764-2	chr3	40532133	40533133	+	254	NA	Intergenic	Intergenic	-8134	NM_175515	380614		NM_175515	ENSMUSG00000060798	Intu	9230116I04Rik|9430087H23Rik|Pdzd6|Pdzk6|mKIAA1284	inturned planar cell polarity protein	protein-coding	-0.220	-0.367
317098	chr17	79711575	79712575	+	254	NA	intron (NM_001364889, intron 2 of 3)	intron (NM_001364889, intron 2 of 3)	2986	NM_009994	13078		NM_009994	ENSMUSG00000024087	Cyp1b1	CP1B|CYPIB1|P4501b1	cytochrome P450, family 1, subfamily b, polypeptide 1	protein-coding	-0.771	-0.713
477351	chr13	30750237	30751237	+	252	NA	exon (NM_001347508, exon 2 of 9)	exon (NM_001347508, exon 2 of 9)	1504	NM_013674	16364		NM_013674	ENSMUSG00000021356	Irf4	IRF-4|LSIRF|NF-EM5|Spip	interferon regulatory factor 4	protein-coding	-0.001	-0.036
297840	chr14	59625655	59626655	+	252	NA	exon (NM_145463, exon 1 of 2)	exon (NM_145463, exon 1 of 2)	874	NM_145463	219134		NM_145463	ENSMUSG00000044461	Shisa2	9430059P22Rik|MAd2|Tmem46|mShisa|shisa	shisa family member 2	protein-coding	-1.468	-1.336
702245	chr15	85577775	85578775	+	251	NA	promoter-TSS (NM_001163634)	promoter-TSS (NM_001163634)	-205	NM_001163634	22422		NM_009528	ENSMUSG00000022382	Wnt7b	Wnt-7b	wingless-type MMTV integration site family, member 7B	protein-coding	-2.088	-2.499
679414	chr18	65937426	65938426	+	249	NA	intron (NM_013833, intron 2 of 2)	intron (NM_013833, intron 2 of 2)	1163	NM_013833	19434		NM_013833	ENSMUSG00000024518	Rax	7530406A22Rik|E130303K03Rik|Rx|ey-1|ey1	retina and anterior neural fold homeobox	protein-coding	-0.569	-0.549
555703	chr7	136868861	136869861	+	247	NA	Intergenic	Intergenic	-25225	NM_008598	17314		NM_008598	ENSMUSG00000054612	Mgmt	AGT|Agat	O-6-methylguanine-DNA methyltransferase	protein-coding	-0.493	-1.005
401169	chr10	54073296	54074296	+	246	NA	intron (NM_008548, intron 2 of 12)	(TG)n|Simple_repeat|Simple_repeat	1941	NM_008548	17155		NM_008548	ENSMUSG00000003746	Man1a	Man1a1|PCR1	mannosidase 1, alpha	protein-coding	-0.194	-0.204
405505	chr13	114456674	114457674	+	246	NA	intron (NM_001301373, intron 1 of 5)	intron (NM_001301373, intron 1 of 5)	1777	NM_008046	14313		NM_008046	ENSMUSG00000021765	Fst	FS	follistatin	protein-coding	-1.332	-1.356
270121	chr1	74034866	74035866	+	245	NA	intron (NM_027884, intron 3 of 34)	intron (NM_027884, intron 3 of 34)	89182	NM_027884	21961		NM_027884	ENSMUSG00000055322	Tns1	1110018I21Rik|1200014E20Rik|E030018G17Rik|E030037J05Rik|Tns	tensin 1	protein-coding	-0.594	-0.881
489574	chr6	55117205	55118205	+	244	NA	exon (NM_001288619, exon 1 of 12)	exon (NM_001288619, exon 1 of 12)	208	NM_001288619	12922		NM_009953	ENSMUSG00000003476	Crhr2	CRF-R2|CRFR2alpha|CRFR2beta|Crfr2	corticotropin releasing hormone receptor 2	protein-coding	-0.513	-0.478
265521	chr18	46849857	46850857	+	244	NA	exon (NM_029008, exon 1 of 20)	exon (NM_029008, exon 1 of 20)	318	NM_029008	74574		NM_029008	ENSMUSG00000024481	Lvrn	4833403I15Rik|AP-Q|APQ|Aqpep	laeverin	protein-coding	-0.433	-0.442
292472	chr12	30370599	30371599	+	244	NA	intron (NR_136915, intron 1 of 16)	intron (NR_136915, intron 1 of 16)	2276	NM_172951	268534		NM_172951	ENSMUSG00000020672	Sntg2	2210008K22Rik|9530013L23|G2syn|Syn5	syntrophin, gamma 2	protein-coding	-0.710	-0.849
149296	chr1	184881951	184882951	+	243	NA	intron (NM_178692, intron 1 of 1)	intron (NM_178692, intron 1 of 1)	585	NM_178692	226777		NM_178692	ENSMUSG00000039349	C130074G19Rik	-	RIKEN cDNA C130074G19 gene	protein-coding	-0.259	-0.259
244195	chr9	62677895	62678895	+	243	NA	intron (NM_176922, intron 1 of 29)	intron (NM_176922, intron 1 of 29)	540	NM_176922	319480		NM_176922	ENSMUSG00000032243	Itga11	4732459H24Rik	integrin alpha 11	protein-coding	-1.190	-1.437
356189	chr4	9859510	9860510	+	243	NA	exon (NM_013526, exon 2 of 2)	exon (NM_013526, exon 2 of 2)	15638	NM_013526	242316		NM_013526	ENSMUSG00000051279	Gdf6	BMP-13|BMP13|GDF16	growth differentiation factor 6	protein-coding	-0.115	-0.196
1279794	chr13	73266655	73267655	+	243	NA	intron (NM_018885, intron 4 of 5)	intron (NM_018885, intron 4 of 5)	6658	NM_018885	50916		NM_018885	ENSMUSG00000021604	Irx4	-	Iroquois homeobox 4	protein-coding	-0.177	-0.215
756782	chr5	107723182	107724182	+	242	NA	intron (NM_001267621, intron 2 of 6)	CpG	661	NM_010278	14581		NM_010278	ENSMUSG00000029275	Gfi1	Gfi-1|Pal-1|Pal1	growth factor independent 1 transcription repressor	protein-coding	-0.418	-0.516
268088	chr5	73006319	73007319	+	241	NA	promoter-TSS (NM_173403)	promoter-TSS (NM_173403)	-85	NM_173403	231290		NM_173403	ENSMUSG00000029219	Slc10a4	E130304D01	solute carrier family 10 (sodium/bile acid cotransporter family), member 4	protein-coding	-0.627	-0.530
184798	chr18	15758831	15759831	+	241	NA	intron (NM_001364992, intron 1 of 5)	intron (NM_001364992, intron 1 of 5)	826	NM_001364992	71367		NM_199055	ENSMUSG00000047161	Chst9	5430438D01Rik|GalNAc4ST-2|galNAc-4-ST2	carbohydrate sulfotransferase 9	protein-coding	-0.519	-0.610
1314139	chr2	148037414	148038414	+	240	NA	Intergenic	Intergenic	7550	NM_001291067	15376		NM_010446	ENSMUSG00000037025	Foxa2	HNF3-beta|HNF3beta|Hnf-3b|Hnf3b|Tcf-3b|Tcf3b	forkhead box A2	protein-coding	0.026	-0.155
201648	chr18	10324446	10325446	+	239	NA	promoter-TSS (NM_001083628)	promoter-TSS (NM_001083628)	-233	NM_001083628	381157		NM_001083628	ENSMUSG00000042942	Greb1l	mKIAA4095	growth regulation by estrogen in breast cancer-like	protein-coding	-0.590	-0.605
137327	chr14	6287163	6288163	+	239	NA	promoter-TSS (NM_001270812)	promoter-TSS (NM_001270812)	-413	NM_001270812	100861615		NM_001270812	ENSMUSG00000079396	Gm3411	100041569	predicted gene 3411	protein-coding	1.862	1.797
275475	chr3	61003161	61004161	+	239	NA	exon (NM_001282016, exon 1 of 2)	exon (NM_001282016, exon 1 of 2)	876	NM_008772	18441		NM_008772	ENSMUSG00000027765	P2ry1	P2Y1|P2y1r	purinergic receptor P2Y, G-protein coupled 1	protein-coding	0.060	0.084
212241	chr5	66151926	66152926	+	238	NA	promoter-TSS (NM_001127382)	promoter-TSS (NM_001127382)	-472	NM_001127382	245945		NM_139065	ENSMUSG00000070780	Rbm47	9530077J19Rik	RNA binding motif protein 47	protein-coding	-0.038	-0.105
460408	chr15	11905304	11906304	+	238	NA	promoter-TSS (NM_008728)	promoter-TSS (NM_008728)	-130	NM_001039181	18162		NM_008728	ENSMUSG00000022206	Npr3	ANP-C|ANPR-C|EF-2|NPR-C|lgj|stri	natriuretic peptide receptor 3	protein-coding	-0.699	-0.654
254386	chr14	8315328	8316328	+	238	NA	intron (NM_001360339, intron 1 of 3)	intron (NM_001360339, intron 1 of 3)	1779	NM_001360339	268709		NM_183187	ENSMUSG00000021750	Fam107a	DRR1	family with sequence similarity 107, member A	protein-coding	-0.298	-0.395
358768	chr3	137623769	137624769	+	238	NA	exon (NM_030143, exon 2 of 3)	exon (NM_030143, exon 2 of 3)	597	NM_030143	73284		NM_030143	ENSMUSG00000046818	Ddit4l	1700037B15Rik|1700108M02Rik|REDD2|RTP801L|Smhs1	DNA-damage-inducible transcript 4-like	protein-coding	-1.401	-1.100
733021	chr1	136948181	136949181	+	237	NA	intron (NM_030676, intron 3 of 8)	CpG	4949	NM_001159769	26424		NM_030676	ENSMUSG00000026398	Nr5a2	D1Ertd308e|Ftf|LRH-1|UF2-H3B	nuclear receptor subfamily 5, group A, member 2	protein-coding	-0.114	-0.132
380362	chr13	35968307	35969307	+	237	NA	exon (NM_029628, exon 2 of 2)	exon (NM_029628, exon 2 of 2)	901	NM_029628	76487		NM_029628	ENSMUSG00000050423	Ppp1r3g	1600032L17Rik	protein phosphatase 1, regulatory subunit 3G	protein-coding	-1.322	-1.129
218679	chr3	104776259	104777259	+	237	NA	intron (NM_183224, intron 1 of 6)	intron (NM_183224, intron 1 of 6)	788	NM_183224	329731		NM_183224	ENSMUSG00000055865	Tafa3	7530404M11Rik|Fam19a3|Sam3|Tafa-3	TAFA chemokine like family member 3	protein-coding	-0.984	-1.256
251193	chr14	70192480	70193480	+	235	NA	promoter-TSS (NM_001271409)	promoter-TSS (NM_001271409)	-734	NM_001271409	20410		NM_011366	ENSMUSG00000022091	Sorbs3	SCAM-1|SH3P3|Sh3d4|vinexin-g	sorbin and SH3 domain containing 3	protein-coding	-0.798	-0.888
587364	chr18	61039030	61040030	+	235	NA	Intergenic	Intergenic	-3331	NM_009880	12590		NM_009880	ENSMUSG00000024619	Cdx1	Cdx|Cdx-1	caudal type homeobox 1	protein-coding	-0.552	-0.702
205466	chr16	65105402	65106402	+	234	NA	promoter-TSS (NM_008310)	promoter-TSS (NM_008310)	-118	NM_008310	15557		NM_008310	ENSMUSG00000050783	Htr1f	Htr1eb	5-hydroxytryptamine (serotonin) receptor 1F	protein-coding	-0.366	-0.401
158950	chr14	3412233	3413233	+	234	NA	intron (NR_033117, intron 1 of 5).2	CpG	119	NR_033121	100041530		NR_033121	ENSMUSG00000096488	Gm10409	EG666890|Gm8348	predicted pseudogene 8348	pseudo		
981018	chr4	109979793	109980793	+	234	NA	exon (NM_172296, exon 2 of 3)	exon (NM_172296, exon 2 of 3)	2268	NM_172296	242620		NM_172296	ENSMUSG00000047143	Dmrta2	Dmrt5	doublesex and mab-3 related transcription factor like family A2	protein-coding	-0.007	-0.065
