PeakID (cmd=annotatePeaks.pl tss mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
NM_007471	chr16	85173207	85174207	-	0	NA	promoter-TSS (NM_007471)	promoter-TSS (NM_007471)	0	NM_007471	11820		NM_007471	ENSMUSG00000022892	App	Abeta|Abpp|Adap|Ag|Cvap|E030013M08Rik|betaApp	amyloid beta precursor protein	protein-coding	-1.582	-1.502
NM_001251916	chr17	40631575	40632575	+	0	NA	promoter-TSS (NM_001251916)	promoter-TSS (NM_001251916)	0	NM_001251916	100126766		NM_001251916	ENSMUSG00000093957	Esp3	Gm21945	exocrine gland secreted peptide 3	protein-coding	-0.432	-0.370
NM_001012625	chr1	22805658	22806658	-	0	NA	promoter-TSS (NM_001012623)	promoter-TSS (NM_001012623)	0	NM_001012625	116837		NM_053270	ENSMUSG00000041670	Rims1	C030033M19Rik|RIM1|RIM1a|RIM1alpha|Rab3ip1|Rim|Serg1	regulating synaptic membrane exocytosis 1	protein-coding	-1.999	-1.871
NM_008057	chr1	59481647	59482647	+	0	NA	promoter-TSS (NM_008057)	promoter-TSS (NM_008057)	0	NM_008057	14369		NM_008057	ENSMUSG00000041075	Fzd7	Fz7	frizzled class receptor 7	protein-coding	-1.837	-1.672
NM_175154	chr2	125858609	125859609	+	0	NA	promoter-TSS (NM_001285512)	promoter-TSS (NM_001285512)	0	NM_175154	69976		NM_175154	ENSMUSG00000027207	Galk2	2810017M24Rik|Gk2	galactokinase 2	protein-coding	-0.269	-0.207
NM_001113367	chr1	55362228	55363228	-	0	NA	promoter-TSS (NM_001113367)	promoter-TSS (NM_001113367)	0	NM_001113367	75388		NM_029267	ENSMUSG00000025977	Boll	4930554P13Rik|4930597B14Rik	boule homolog, RNA binding protein	protein-coding	-0.327	-0.490
NM_026096	chrX	9846447	9847447	+	0	NA	promoter-TSS (NM_026096)	promoter-TSS (NM_026096)	0	NM_026096	67334		NM_026096	ENSMUSG00000040456	H2ap	1700054O13Rik|H2al3|Hypm	H2A.P histone	protein-coding	-0.708	-0.478
NM_001163515	chr3	116006949	116007949	+	0	NA	promoter-TSS (NM_001163514)	promoter-TSS (NM_001163514)	0	NM_001163515	58193		NM_021388	ENSMUSG00000027963	Extl2	3000001D04Rik	exostosin-like glycosyltransferase 2	protein-coding	-0.192	-0.222
NR_105770	chr1	77496268	77497268	-	0	NA	promoter-TSS (NR_105770)	promoter-TSS (NR_105770)	0	NR_105770	102465180		NR_105770	ENSMUSG00000099141	Mir6352	Gm27481|mmu-mir-6352	microRNA 6352	ncRNA	-1.184	-1.232
NM_027275	chr6	71908262	71909262	-	0	NA	promoter-TSS (NM_009088)	promoter-TSS (NM_009088)	0	NM_027275	69956		NM_027275	ENSMUSG00000063884	Ptcd3	2610034F17Rik|2810422B04Rik|MRP-S39	pentatricopeptide repeat domain 3	protein-coding	-1.320	-1.272
NR_152144	chr9	57439614	57440614	-	0	NA	promoter-TSS (NM_176831)	promoter-TSS (NM_176831)	0	NR_152144	66812		NM_176831	ENSMUSG00000063849	Ppcdc	1810057I13Rik|8430432M10Rik	phosphopantothenoylcysteine decarboxylase	protein-coding	-1.532	-1.518
NM_009561	chr7	24299049	24300049	-	0	NA	promoter-TSS (NM_009561)	promoter-TSS (NM_009561)	0	NM_009561	22719		NM_009561	ENSMUSG00000050605	Zfp61	-	zinc finger protein 61	protein-coding	-0.222	-0.184
NR_152382	chr9	22411047	22412047	+	0	NA	promoter-TSS (NM_026739)	promoter-TSS (NM_026739)	0	NR_152382	68283		NM_026739	ENSMUSG00000036411	Matcap2	1110003N12Rik|9530077C05Rik|mKIAA0895	microtubule associated tyrosine carboxypeptidase 2	protein-coding	-0.760	-0.550
NM_019441	chr17	34626648	34627648	-	0	NA	promoter-TSS (NM_019441)	promoter-TSS (NM_019441)	0	NM_019441	54397		NM_019441	ENSMUSG00000015474	Ppt2	0610007M19Rik	palmitoyl-protein thioesterase 2	protein-coding	-1.817	-1.707
NM_001379545	chr3	95314680	95315680	-	0	NA	promoter-TSS (NM_001379546)	promoter-TSS (NM_001379546)	0	NM_001379545	71790		NM_023628	ENSMUSG00000015702	Anxa9	1110003P15Rik|2310069F17Rik	annexin A9	protein-coding	-1.733	-1.637
NR_149723	chr4	119232415	119233415	+	0	NA	promoter-TSS (NM_019783)	promoter-TSS (NM_019783)	0	NR_149723	56401		NM_019782	ENSMUSG00000028641	P3h1	2410024C15Rik|Gros1|Lepre1	prolyl 3-hydroxylase 1	protein-coding	-0.614	-0.651
NM_001359949	chr5	121848497	121849497	+	0	NA	promoter-TSS (NM_001359950)	promoter-TSS (NM_001359950)	0	NM_001359949	231717		NM_175474	ENSMUSG00000044134	Pheta1	A230106M15Rik|Fam109a|IPIP27A|Ses1	PH domain containing endocytic trafficking adaptor 1	protein-coding	-2.211	-2.254
NM_001356387	chr16	32877284	32878284	+	0	NA	promoter-TSS (NM_027226)	promoter-TSS (NM_027226)	0	NM_001356387	69823		NM_027226	ENSMUSG00000022800	Fyttd1	2010005M05Rik|3830411L18Rik|3830421F13Rik|4933423A17Rik	forty-two-three domain containing 1	protein-coding	-1.763	-1.721
NR_152142	chr9	70542215	70543215	+	0	NA	promoter-TSS (NM_026337)	promoter-TSS (NM_026337)	0	NR_152142	66660		NM_025690	ENSMUSG00000032212	Sltm	5730455C01Rik|5730555F13Rik|9130215G10Rik|Met	SAFB-like, transcription modulator	protein-coding	-0.891	-0.789
NR_028420	chr9	22225203	22226203	+	0	NA	promoter-TSS (NR_028420)	promoter-TSS (NR_028420)	0	NR_028420	235047		NM_172763	ENSMUSG00000057982	Zfp809	C330026E23	zinc finger protein 809	protein-coding	-0.944	-0.660
NM_001195284	chr4	53630971	53631971	+	0	NA	promoter-TSS (NM_001195284)	promoter-TSS (NM_001195284)	0	NM_001195284	319636		NM_176966	ENSMUSG00000054752	Fsd1l	A230072O16Rik|Ccdc10|Csdufd1|Fsd1nl	fibronectin type III and SPRY domain containing 1-like	protein-coding	-0.313	-0.264
NR_131940	chr19	27429408	27430408	-	0	NA	promoter-TSS (NM_177474)	promoter-TSS (NM_177474)	0	NR_131940	52874		NM_177474	ENSMUSG00000041360	Pum3	1110069H02Rik|D19Bwg1357e	pumilio RNA-binding family member 3	protein-coding	-1.892	-1.685
NR_121611	chr13	23868518	23869518	+	0	NA	promoter-TSS (NR_121611)	promoter-TSS (NR_121611)	0	NR_121611	20504		NM_009198	ENSMUSG00000021335	Slc17a1	NAPI-1|Napi1|Npt1	solute carrier family 17 (sodium phosphate), member 1	protein-coding	-0.244	-0.212
NR_168037	chr11	30266958	30267958	+	0	NA	promoter-TSS (NR_168039)	promoter-TSS (NR_168039)	0	NR_168037	666427		NR_168037	ENSMUSG00000073073	Gm8098	EG666427	predicted gene 8098	ncRNA	-1.738	-1.590
NM_001042408	chr18	80206326	80207326	+	0	NA	promoter-TSS (NM_001384176)	promoter-TSS (NM_001384176)	0	NM_001042408	27366		NM_025299	ENSMUSG00000057130	Txnl4a	D18Wsu98e|Dim1|Txnl4|U5-15kD|U5-15kDa	thioredoxin-like 4A	protein-coding	-0.953	-0.968
NM_175152	chr4	151988486	151989486	-	0	NA	promoter-TSS (NM_001145929)	promoter-TSS (NM_001145929)	0	NM_175152	69876		NM_175152	ENSMUSG00000039759	Thap3	2010013E08Rik|2210418H06Rik	THAP domain containing, apoptosis associated protein 3	protein-coding	-1.497	-1.352
NM_199223	chr2	84886192	84887192	-	0	NA	promoter-TSS (NM_199223)	promoter-TSS (NM_199223)	0	NM_199223	269295		NM_199223	ENSMUSG00000050896	Rtn4rl2	Ngr2|Ngrh1|Ngrl3	reticulon 4 receptor-like 2	protein-coding	0.012	0.029
NM_027450	chr4	43957202	43958202	+	0	NA	promoter-TSS (NM_027450)	promoter-TSS (NM_027450)	0	NM_027450	384009		NM_027450	ENSMUSG00000028480	Glipr2	5730414A08Rik|GAPR-1	GLI pathogenesis-related 2	protein-coding	-0.647	-0.698
NM_001359708	chrX	54810372	54811372	+	0	NA	promoter-TSS (NM_001359708)	promoter-TSS (NM_001359708)	0	NM_001359708	666135		NM_001359708		Gm14590	-	predicted gene 14590	protein-coding		
NM_001385629	chr7	44589952	44590952	+	0	NA	promoter-TSS (NM_001290682)	promoter-TSS (NM_001290682)	0	NM_001385629	16504		NM_008422	ENSMUSG00000062785	Kcnc3	KShIIID|Kcr2-3|Kv3.3	potassium voltage gated channel, Shaw-related subfamily, member 3	protein-coding	-1.710	-1.525
NM_001033525	chr7	29232022	29233022	-	0	NA	promoter-TSS (NM_001033525)	promoter-TSS (NM_001033525)	0	NM_001033525	52150		NM_001033525	ENSMUSG00000046410	Kcnk6	D7Ertd764e|Toss|Twik2	potassium inwardly-rectifying channel, subfamily K, member 6	protein-coding	-1.395	-1.214
NM_001013765	chr7	11005245	11006245	+	0	NA	promoter-TSS (NM_001013765)	promoter-TSS (NM_001013765)	0	NM_001013765	245109		NM_001013765	ENSMUSG00000054272	Zscan4c	Gm397|XM_142517|Zscan4d	zinc finger and SCAN domain containing 4C	protein-coding	0.106	0.276
NR_132326	chr5	110344230	110345230	+	0	NA	promoter-TSS (NM_001310709)	promoter-TSS (NM_001310709)	0	NR_132326	381667		NM_001033459	ENSMUSG00000072754	Lrcol1	Clpsl3|Gm1679	leucine rich colipase-like 1	protein-coding	-0.530	-0.590
NR_106160	chr18	56537639	56538639	+	0	NA	promoter-TSS (NR_106160)	promoter-TSS (NR_106160)	0	NR_106160	102465790		NR_106160	ENSMUSG00000099196	Mir1258	Gm27371|mmu-mir-1258	microRNA 1258	ncRNA	-0.604	-0.485
NM_013531	chr3	32616090	32617090	-	0	NA	promoter-TSS (NM_001348105)	promoter-TSS (NM_001348105)	0	NM_013531	14696		NM_013531	ENSMUSG00000027669	Gnb4	6720453A21Rik|G(beta)4|Hg2b	guanine nucleotide binding protein (G protein), beta 4	protein-coding	-0.181	-0.108
NM_198612	chr6	100704234	100705234	+	0	NA	promoter-TSS (NM_198612)	promoter-TSS (NM_198612)	0	NM_198612	232313		NM_198612	ENSMUSG00000030074	Gxylt2	Glt8d4|Gm152	glucoside xylosyltransferase 2	protein-coding	-0.326	-0.446
NM_001286062	chr15	42676477	42677477	-	0	NA	promoter-TSS (NM_001286062)	promoter-TSS (NM_001286062)	0	NM_001286062	11600		NM_009640	ENSMUSG00000022309	Angpt1	1110046O21Rik|Ang-1|Ang1	angiopoietin 1	protein-coding	-1.957	-1.167
NR_015463	chr2	158361009	158362009	-	0	NA	promoter-TSS (NR_027887)	promoter-TSS (NR_027887)	0	NR_015463	68108		NR_015463	ENSMUSG00000085385	Snhg17	9430008C03Rik	small nucleolar RNA host gene 17	ncRNA	-0.480	-0.719
NM_001160129	chrY	54187730	54188730	-	0	NA	promoter-TSS (NM_001160129)	promoter-TSS (NM_001160129)	0	NM_001160129	100040786		NM_001160129	ENSMUSG00000096666	Gm20852	-	predicted gene, 20852	protein-coding		
NM_001081117	chr7	135715879	135716879	-	0	NA	promoter-TSS (NM_001081117)	promoter-TSS (NM_001081117)	0	NM_001081117	17345		NM_001081117	ENSMUSG00000031004	Mki67	D630048A14Rik|Ki-67|Ki67	antigen identified by monoclonal antibody Ki 67	protein-coding	-0.518	-0.752
NM_026791	chr8	85059619	85060619	+	0	NA	promoter-TSS (NM_026791)	promoter-TSS (NM_026791)	0	NM_026791	68628		NM_026791	ENSMUSG00000008167	Fbxw9	1110017H11Rik|Fbw9	F-box and WD-40 domain protein 9	protein-coding	-0.931	-0.829
