Region_ID	Chr	Start	End	Gene_Name	Annotation	Difference	pvalue	adj_pvalue	Region_size	direction	direction_label	plot_label
chr8-124675000	chr8	124675000	124700000	2310022B05Rik	intron (NM_001373939, intron 11 of 22)	-0.0113333333333335	0.557563315189126	0.645960055847636	25000	A_to_B_in_Mutant	More Inactive (A->B)	2310022B05Rik
chr2-142125000	chr2	142125000	142150000	Kif16b	intron (NM_001013802, intron 8 of 18)	0.0623333333333334	0.111219475432842	0.180638885442902	25000	B_to_A_in_Mutant	More Active (B->A)	Kif16b
chr6-29325000	chr6	29325000	29350000	Calu	Intergenic	-0.0636666666666668	0.00865281837419487	0.0262763226053087	25000	A_to_B_in_Mutant	More Inactive (A->B)	Calu
chr2-151450000	chr2	151450000	151475000	4921509C19Rik	Intergenic	-0.0286666666666665	0.209535720901015	0.298300762244824	25000	A_to_B_in_Mutant	More Inactive (A->B)	4921509C19Rik
chr18-38700000	chr18	38700000	38725000	Gm19774	Intergenic	-0.00299999999999997	0.944890333005686	0.9602357471227	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm19774
chr7-99125000	chr7	99125000	99150000	Uvrag	intron (NM_178635, intron 1 of 14)	0.00666666666666646	0.803316368420875	0.852486684337221	25000	B_to_A_in_Mutant	More Active (B->A)	Uvrag
chr9-71800000	chr9	71800000	71825000	Cgnl1	Intergenic	-0.0143333333333336	0.534333080765891	0.624999999822839	25000	A_to_B_in_Mutant	More Inactive (A->B)	Cgnl1
chr14-100325000	chr14	100325000	100350000	Klf12	Intergenic	0.123666666666667	0.0217757378364643	0.0518085150837183	25000	B_to_A_in_Mutant	More Active (B->A)	Klf12
chr4-55600000	chr4	55600000	55625000	Klf4	Intergenic	0.485	7.42357414994099e-06	0.000651759413246629	25000	B_to_A_in_Mutant	More Active (B->A)	Klf4
chr13-114600000	chr13	114600000	114625000	4930544M13Rik	intron (NR_045976, intron 3 of 6)	-0.0103333333333333	0.862505479420426	0.898559558720817	25000	A_to_B_in_Mutant	More Inactive (A->B)	4930544M13Rik
chr1-78025000	chr1	78025000	78050000	Pax3	Intergenic	0.0633333333333333	0.0715447717832158	0.128008613554601	25000	B_to_A_in_Mutant	More Active (B->A)	Pax3
chr4-122650000	chr4	122650000	122675000	9530002B09Rik	Intergenic	0.00266666666666677	0.931118817822628	0.949958445633963	25000	B_to_A_in_Mutant	More Active (B->A)	9530002B09Rik
chrX-146550000	chrX	146550000	146575000	Htr2c	Intergenic	-1.13233333333333	0.0187780419274468	0.0463976844216347	25000	A_to_B_in_Mutant	More Inactive (A->B)	Htr2c
chr16-18950000	chr16	18950000	18975000	Gm15798	intron (NM_010435, intron 24 of 24)	0.0376666666666668	0.0909435495095121	0.154233027924968	25000	B_to_A_in_Mutant	More Active (B->A)	Gm15798
chr9-44125000	chr9	44125000	44150000	Mcam	intron (NM_001359530, intron 5 of 14)	-0.137	0.00142340734982526	0.00760696657169455	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mcam
chr17-38600000	chr17	38600000	38625000	Esp31	Intergenic	-0.0103333333333332	0.75125392691529	0.811008411589672	25000	A_to_B_in_Mutant	More Inactive (A->B)	Esp31
chr15-5600000	chr15	5600000	5625000	5430437J10Rik	Intergenic	0.0143333333333335	0.552536622334913	0.641386035132118	25000	B_to_A_in_Mutant	More Active (B->A)	5430437J10Rik
chr11-69275000	chr11	69275000	69300000	Cntrob	Intergenic	0.0136666666666663	0.500092377356458	0.593524438286986	25000	B_to_A_in_Mutant	More Active (B->A)	Cntrob
chr3-115800000	chr3	115800000	115825000	A930005H10Rik	Intergenic	-0.0453333333333332	0.320165476520156	0.417959563427253	25000	A_to_B_in_Mutant	More Inactive (A->B)	A930005H10Rik
chr2-156200000	chr2	156200000	156225000	Phf20	intron (NM_172674, intron 1 of 17)	-0.0366666666666667	0.380696979613073	0.47888059373269	25000	A_to_B_in_Mutant	More Inactive (A->B)	Phf20
chr18-28500000	chr18	28500000	28525000	4930474G06Rik	Intergenic	0.133333333333333	0.00613679117163944	0.0205468712950858	25000	B_to_A_in_Mutant	More Active (B->A)	4930474G06Rik
chr7-66125000	chr7	66125000	66150000	Chsy1	intron (NM_001081163, intron 2 of 2)	0.0219999999999997	0.283413056321805	0.379251634718987	25000	B_to_A_in_Mutant	More Active (B->A)	Chsy1
chr9-101825000	chr9	101825000	101850000	Mir7243	Intergenic	-0.00900000000000028	0.678216038840241	0.750748091589713	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mir7243
chr12-40575000	chr12	40575000	40600000	Dock4	intron (NM_172803, intron 1 of 52)	-0.232666666666667	0.000373573027065062	0.00337386976499545	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dock4
chr4-74725000	chr4	74725000	74750000	Kdm4c	Intergenic	-0.0533333333333333	0.0376146192165661	0.078168913558498	25000	A_to_B_in_Mutant	More Inactive (A->B)	Kdm4c
chr2-94575000	chr2	94575000	94600000	Gm13793	Intergenic	-0.0196666666666666	0.281765103167983	0.377463674516932	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm13793
chr1-191475000	chr1	191475000	191500000	Gm32200	Intergenic	0.0479999999999998	0.0623479943586662	0.115181015558421	25000	B_to_A_in_Mutant	More Active (B->A)	Gm32200
chr11-17300000	chr11	17300000	17325000	C1d	Intergenic	-0.0933333333333333	0.00867001279468053	0.0263177800211687	25000	A_to_B_in_Mutant	More Inactive (A->B)	C1d
chr8-83125000	chr8	83125000	83150000	Tbc1d9	Intergenic	-0.191666666666667	0.000824640543055876	0.00539329354160258	25000	A_to_B_in_Mutant	More Inactive (A->B)	Tbc1d9
chr2-180750000	chr2	180750000	180775000	Bhlhe23	Intergenic	-0.0610000000000002	0.13914046411683	0.215348144447968	25000	A_to_B_in_Mutant	More Inactive (A->B)	Bhlhe23
chr5-108900000	chr5	108900000	108925000	Vmn2r9	Intergenic	0.0606666666666668	0.039725825884774	0.0815348335023651	25000	B_to_A_in_Mutant	More Active (B->A)	Vmn2r9
chr13-7400000	chr13	7400000	7425000	Pfkp	Intergenic	-0.0236666666666664	0.48165470497476	0.576527374847306	25000	A_to_B_in_Mutant	More Inactive (A->B)	Pfkp
chr2-22200000	chr2	22200000	22225000	Myo3a	Intergenic	-0.0216666666666666	0.44577973959762	0.542903800812576	25000	A_to_B_in_Mutant	More Inactive (A->B)	Myo3a
chr12-92375000	chr12	92375000	92400000	Sel1l	Intergenic	-0.0493333333333332	0.0922605077511294	0.156046586943921	25000	A_to_B_in_Mutant	More Inactive (A->B)	Sel1l
chr1-77300000	chr1	77300000	77325000	Mir6352	Intergenic	0.225666666666667	2.08729562484315e-05	0.000902400375495538	25000	B_to_A_in_Mutant	More Active (B->A)	Mir6352
chr13-67225000	chr13	67225000	67250000	Zfp458	intron (NR_155551, intron 4 of 5)	-0.0456666666666665	0.14425990663006	0.221621785278082	25000	A_to_B_in_Mutant	More Inactive (A->B)	Zfp458
chr2-169575000	chr2	169575000	169600000	Tshz2	Intergenic	0.242333333333333	0.00101289804135351	0.00612959140849789	25000	B_to_A_in_Mutant	More Active (B->A)	Tshz2
chr18-76225000	chr18	76225000	76250000	Smad2	Intergenic	-0.000666666666666979	0.984007727970579	0.988538024965523	25000	A_to_B_in_Mutant	More Inactive (A->B)	Smad2
chr11-56500000	chr11	56500000	56525000	Nmur2	Intergenic	0.218	0.00019697987198937	0.0023878975535434	25000	B_to_A_in_Mutant	More Active (B->A)	Nmur2
chr7-103925000	chr7	103925000	103950000	Or51ai2	exon (NM_147119, exon 1 of 1)	-0.00133333333333322	0.951278868342486	0.964828443669579	25000	A_to_B_in_Mutant	More Inactive (A->B)	Or51ai2
chrX-135600000	chrX	135600000	135625000	Nxf7	TTS (NM_029459)	-1.605	0.00109419764680663	0.0064231840155805	25000	A_to_B_in_Mutant	More Inactive (A->B)	Nxf7
chr14-49475000	chr14	49475000	49500000	Slc35f4	intron (NM_029238, intron 1 of 7)	0.130666666666667	0.0154235302539402	0.0401568621262746	25000	B_to_A_in_Mutant	More Active (B->A)	Slc35f4
chr8-15400000	chr8	15400000	15425000	Myom2	Intergenic	-0.0816666666666665	0.010851517624569	0.0309759619936183	25000	A_to_B_in_Mutant	More Inactive (A->B)	Myom2
chr8-39550000	chr8	39550000	39575000	Msr1	Intergenic	0.0103333333333335	0.647129962004546	0.724420796570378	25000	B_to_A_in_Mutant	More Active (B->A)	Msr1
chr18-40325000	chr18	40325000	40350000	Gm31087	intron (NM_001371039, intron 2 of 2)	0.157666666666667	0.0155386728378806	0.0403793291876375	25000	B_to_A_in_Mutant	More Active (B->A)	Gm31087
chr15-10750000	chr15	10750000	10775000	4930556M19Rik	intron (NR_045063, intron 2 of 6)	0.202333333333333	7.07234305300088e-05	0.00147360086120529	25000	B_to_A_in_Mutant	More Active (B->A)	4930556M19Rik
chr3-156475000	chr3	156475000	156500000	4930570G19Rik	Intergenic	0.209666666666667	0.00270351251338818	0.0115929644672274	25000	B_to_A_in_Mutant	More Active (B->A)	4930570G19Rik
chr8-97250000	chr8	97250000	97275000	Got2	Intergenic	0.0403333333333334	0.2345200070896	0.326482467633675	25000	B_to_A_in_Mutant	More Active (B->A)	Got2
chr3-154150000	chr3	154150000	154175000	Lhx8	intron (NM_001081263, intron 1 of 21)	-0.0260000000000003	0.290138278619727	0.386455780290647	25000	A_to_B_in_Mutant	More Inactive (A->B)	Lhx8
chr12-108425000	chr12	108425000	108450000	Eml1	intron (NM_001364196, intron 1 of 22)	-0.0210000000000003	0.250081796615756	0.343412029967678	25000	A_to_B_in_Mutant	More Inactive (A->B)	Eml1
chr6-131400000	chr6	131400000	131425000	Ybx3	Intergenic	-0.0536666666666665	0.0267614121407032	0.0604753079564253	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ybx3
chr8-105375000	chr8	105375000	105400000	Plekhg4	intron (NM_001301173, intron 11 of 15)	-0.0570000000000003	0.0769151142173648	0.135394834920262	25000	A_to_B_in_Mutant	More Inactive (A->B)	Plekhg4
chrX-113900000	chrX	113900000	113925000	Klhl4	Intergenic	-0.511666666666667	0.0183173218646974	0.0455531832442254	25000	A_to_B_in_Mutant	More Inactive (A->B)	Klhl4
chr1-154250000	chr1	154250000	154275000	4930452N14Rik	intron (NR_108050, intron 1 of 2)	-0.0146666666666669	0.642934751092589	0.720875258905048	25000	A_to_B_in_Mutant	More Inactive (A->B)	4930452N14Rik
chr11-60975000	chr11	60975000	61000000	Kcnj12	Intergenic	-0.0100000000000003	0.694750909559348	0.764507190957651	25000	A_to_B_in_Mutant	More Inactive (A->B)	Kcnj12
chrX-12075000	chrX	12075000	12100000	Bcor	intron (NM_001168321, intron 1 of 13)	-0.429	0.339554947851152	0.437817796332442	25000	A_to_B_in_Mutant	More Inactive (A->B)	Bcor
chr7-60025000	chr7	60025000	60050000	Snrpn	intron (NM_001349693, intron 1 of 12)	-0.0673333333333333	0.0364944425667525	0.0764457651516301	25000	A_to_B_in_Mutant	More Inactive (A->B)	Snrpn
chr4-137875000	chr4	137875000	137900000	Ece1	intron (NM_001369179, intron 1 of 18)	-0.0370000000000002	0.19091521535576	0.276941178895761	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ece1
chr9-54250000	chr9	54250000	54275000	Cyp19a1	intron (NM_001348171, intron 1 of 9)	0.189	0.0393448519973713	0.0809342517094332	25000	B_to_A_in_Mutant	More Active (B->A)	Cyp19a1
chr4-107350000	chr4	107350000	107375000	Ndc1	Intergenic	-0.0306666666666672	0.198355383549441	0.285526429423232	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ndc1
chr7-92050000	chr7	92050000	92075000	Dlg2	intron (NM_001243046, intron 1 of 14)	-0.152333333333333	0.00355759561094547	0.0140251461118504	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dlg2
chrX-37050000	chrX	37050000	37075000	Sowahd	Intergenic	0.824	0.00990067752539566	0.0290060070730763	25000	B_to_A_in_Mutant	More Active (B->A)	Sowahd
chr3-132275000	chr3	132275000	132300000	Dkk2	Intergenic	-0.0583333333333332	0.310820203150956	0.408217732937264	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dkk2
chr1-132175000	chr1	132175000	132200000	Lemd1	Intergenic	-0.0146666666666669	0.631107858563568	0.710702262449919	25000	A_to_B_in_Mutant	More Inactive (A->B)	Lemd1
chr8-118375000	chr8	118375000	118400000	Cdh13	intron (NM_019707, intron 1 of 13)	0.0819999999999998	0.0526804609787673	0.101239038293109	25000	B_to_A_in_Mutant	More Active (B->A)	Cdh13
chrX-18950000	chrX	18950000	18975000	Mir221	Intergenic	1.92466666666667	0.029790026439621	0.0655338045666967	25000	B_to_A_in_Mutant	More Active (B->A)	Mir221
chr4-53725000	chr4	53725000	53750000	Fktn	intron (NR_156448, intron 6 of 11)	0.146	0.000580151949943691	0.00436558653726592	25000	B_to_A_in_Mutant	More Active (B->A)	Fktn
chr2-104550000	chr2	104550000	104575000	Platr14	intron (NR_040322, intron 2 of 3)	-0.115	0.00460152778221645	0.0167580584866909	25000	A_to_B_in_Mutant	More Inactive (A->B)	Platr14
chr8-43375000	chr8	43375000	43400000	Zfp42	Intergenic	0.0203333333333335	0.528083270124501	0.619328272831849	25000	B_to_A_in_Mutant	More Active (B->A)	Zfp42
chr19-38675000	chr19	38675000	38700000	Noc3l	intron (NM_019588, intron 3 of 31)	0.0873333333333334	0.0045230628669923	0.0165503386524522	25000	B_to_A_in_Mutant	More Active (B->A)	Noc3l
chr5-59625000	chr5	59625000	59650000	4933402J10Rik	Intergenic	0.0156666666666669	0.556229066724442	0.644678700384213	25000	B_to_A_in_Mutant	More Active (B->A)	4933402J10Rik
chr12-68325000	chr12	68325000	68350000	Gm31447	Intergenic	0.208333333333334	5.46175169185431e-05	0.00132190847752548	25000	B_to_A_in_Mutant	More Active (B->A)	Gm31447
chr11-20900000	chr11	20900000	20925000	Lgalsl	Intergenic	0.269	0.000174717370321228	0.00224346016968604	25000	B_to_A_in_Mutant	More Active (B->A)	Lgalsl
chr7-98975000	chr7	98975000	99000000	Wnt11	intron (NM_178635, intron 11 of 14)	0.0163333333333331	0.562188252834054	0.65005319334294	25000	B_to_A_in_Mutant	More Active (B->A)	Wnt11
chr4-18400000	chr4	18400000	18425000	Mmp16	Intergenic	0.00933333333333346	0.764902763058504	0.82224237056485	25000	B_to_A_in_Mutant	More Active (B->A)	Mmp16
chr14-11075000	chr14	11075000	11100000	Fhit	intron (NM_001360141, intron 2 of 9)	0.18	0.00161002333287899	0.00824112675852209	25000	B_to_A_in_Mutant	More Active (B->A)	Fhit
chr12-110600000	chr12	110600000	110625000	Dync1h1	intron (NM_030238, intron 2 of 76)	-0.118	0.000892741357061819	0.00566759918083365	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dync1h1
chr4-4475000	chr4	4475000	4500000	Gm11780	Intergenic	-0.0329999999999998	0.198986189149192	0.286259944504993	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm11780
chr15-10825000	chr15	10825000	10850000	Gm19276	Intergenic	0.119	0.0203237664146051	0.0492130084562356	25000	B_to_A_in_Mutant	More Active (B->A)	Gm19276
chr1-182275000	chr1	182275000	182300000	Degs1	Intergenic	-0.0130000000000005	0.60569484493769	0.688766211279848	25000	A_to_B_in_Mutant	More Inactive (A->B)	Degs1
chr10-105900000	chr10	105900000	105925000	Ccdc59	Intergenic	0.0916666666666668	0.00614984450140606	0.0205786686214287	25000	B_to_A_in_Mutant	More Active (B->A)	Ccdc59
chr6-128125000	chr6	128125000	128150000	Tspan9	intron (NM_001379133, intron 1 of 9)	-0.0763333333333336	0.0447090404776826	0.0892285391939681	25000	A_to_B_in_Mutant	More Inactive (A->B)	Tspan9
chr4-89625000	chr4	89625000	89650000	Dmrta1	Intergenic	0.0683333333333335	0.107452121464957	0.175871809815894	25000	B_to_A_in_Mutant	More Active (B->A)	Dmrta1
chr16-72050000	chr16	72050000	72075000	8030451O07Rik	Intergenic	-0.0813333333333332	0.0238522390817538	0.0554971301464214	25000	A_to_B_in_Mutant	More Inactive (A->B)	8030451O07Rik
chr6-22100000	chr6	22100000	22125000	Cped1	intron (NM_001081351, intron 6 of 21)	0.0906666666666667	0.0046690523899688	0.0169276141686347	25000	B_to_A_in_Mutant	More Active (B->A)	Cped1
chr5-83725000	chr5	83725000	83750000	Tecrl	Intergenic	0.0423333333333335	0.185525683576142	0.270601643961219	25000	B_to_A_in_Mutant	More Active (B->A)	Tecrl
chr7-92300000	chr7	92300000	92325000	Dlg2	intron (NM_011807, intron 14 of 22)	-0.0980000000000001	0.0108801568297644	0.0310369977939992	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dlg2
chr9-84375000	chr9	84375000	84400000	4930554C24Rik	Intergenic	0.0553333333333336	0.331218054203533	0.429197749788228	25000	B_to_A_in_Mutant	More Active (B->A)	4930554C24Rik
chr16-18100000	chr16	18100000	18125000	Rtn4r	Intergenic	-0.0620000000000003	0.0391577009354541	0.0806308303009339	25000	A_to_B_in_Mutant	More Inactive (A->B)	Rtn4r
chr6-34950000	chr6	34950000	34975000	Slc23a4	intron (NM_001025573, intron 2 of 7)	0.137333333333333	0.00347805059489653	0.0138095470187191	25000	B_to_A_in_Mutant	More Active (B->A)	Slc23a4
chr4-99075000	chr4	99075000	99100000	Dock7	intron (NM_001369285, intron 2 of 48)	-0.0633333333333334	0.139318629284374	0.215544937924538	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dock7
chr2-129500000	chr2	129500000	129525000	Gm14040	intron (NR_166423, intron 2 of 2)	0.00466666666666631	0.872493645432783	0.90640216430514	25000	B_to_A_in_Mutant	More Active (B->A)	Gm14040
chr3-108800000	chr3	108800000	108825000	Stxbp3	intron (NM_011504, intron 8 of 18)	-0.247666666666667	0.000702907011428196	0.00490255823788084	25000	A_to_B_in_Mutant	More Inactive (A->B)	Stxbp3
chr7-98700000	chr7	98700000	98725000	Thap12	intron (NM_028410, intron 3 of 4)	-0.0410000000000001	0.160169330060882	0.240763062973579	25000	A_to_B_in_Mutant	More Inactive (A->B)	Thap12
chr2-132400000	chr2	132400000	132425000	4921508D12Rik	Intergenic	0.238	0.00224290362425514	0.0102412502008897	25000	B_to_A_in_Mutant	More Active (B->A)	4921508D12Rik
chr1-106500000	chr1	106500000	106525000	Mir3473f	Intergenic	0.139333333333333	0.040527205270442	0.0827620015006049	25000	B_to_A_in_Mutant	More Active (B->A)	Mir3473f
chr9-73250000	chr9	73250000	73275000	Gm27211	intron (NR_166650, intron 3 of 3)	-0.0920000000000001	0.00322603365879859	0.0130821936814068	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm27211
chr2-180825000	chr2	180825000	180850000	Mir124a-3	Intergenic	-0.0496666666666669	0.23483696044773	0.326783720726349	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mir124a-3
chr7-9100000	chr7	9100000	9125000	Vmn2r38	Intergenic	-0.0179999999999998	0.378210586561512	0.476473513265012	25000	A_to_B_in_Mutant	More Inactive (A->B)	Vmn2r38
chr5-37500000	chr5	37500000	37525000	Evc2	intron (NM_022416, intron 4 of 11)	0.161666666666667	0.00106216574177356	0.00630413332893778	25000	B_to_A_in_Mutant	More Active (B->A)	Evc2
chr13-100775000	chr13	100775000	100800000	Ccnb1	Intergenic	-0.129666666666667	0.000290374053181696	0.00292996212222293	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ccnb1
chr12-43075000	chr12	43075000	43100000	Gm33340	Intergenic	-0.128333333333333	0.00182405136294644	0.00893046553949858	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm33340
chr5-133600000	chr5	133600000	133625000	Gm15627	Intergenic	0.0246666666666665	0.359395017232206	0.457867856070157	25000	B_to_A_in_Mutant	More Active (B->A)	Gm15627
chr9-101750000	chr9	101750000	101775000	Gm28979	Intergenic	0.0199999999999998	0.679235507469701	0.751647476727636	25000	B_to_A_in_Mutant	More Active (B->A)	Gm28979
chr10-11875000	chr10	11875000	11900000	Timm8a1	Intergenic	0.0403333333333333	0.0989785689725435	0.164941031603339	25000	B_to_A_in_Mutant	More Active (B->A)	Timm8a1
chr4-114200000	chr4	114200000	114225000	Skint11	intron (NM_001166027, intron 3 of 6)	-0.00899999999999995	0.666998717044565	0.741333262766259	25000	A_to_B_in_Mutant	More Inactive (A->B)	Skint11
chr16-3800000	chr16	3800000	3825000	Or2c1	Intergenic	0.0553333333333334	0.0171140640675177	0.0433183105728093	25000	B_to_A_in_Mutant	More Active (B->A)	Or2c1
chr1-77050000	chr1	77050000	77075000	Mir6352	Intergenic	-0.00366666666666692	0.898315680720032	0.925877856394739	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mir6352
chr7-138625000	chr7	138625000	138650000	4930543N07Rik	Intergenic	0.00833333333333299	0.701893006038065	0.770415462283837	25000	B_to_A_in_Mutant	More Active (B->A)	4930543N07Rik
