anchor_id	chr	start	end	n_lost_loops	n_gained_loops	distance_to_boundary	nearest_boundary_type	nearest_boundary_enriched_in	nearest_boundary_gap_score	set
shared_65	chr16	85800000	85825000	2	2	0	Strength Change	Matrix 2	-2.2394795404525274	shared
shared_66	chr17	3550000	3580000	1	1	194999	Complex	Matrix 1	2.722929824475838	shared
shared_67	chr17	14200000	14225000	1	2	14999	Complex	Matrix 1	8.823618210398857	shared
shared_68	chr17	15050000	15075000	1	1	9999	Strength Change	Matrix 2	-5.556593659749272	shared
shared_69	chr17	15375000	15400000	1	3	279999	Strength Change	Matrix 2	-5.556593659749272	shared
shared_70	chr17	31685000	31690000	1	1	464999	Complex	Matrix 1	2.1958261017815217	shared
shared_71	chr17	31700000	31725000	1	1	429999	Complex	Matrix 1	2.1958261017815217	shared
shared_72	chr18	4950000	4975000	1	1	54999	Merge	Matrix 2	-2.9300645220919015	shared
shared_73	chr18	45640000	45650000	1	1	74999	Complex	Matrix 2	-2.8789920936988236	shared
shared_74	chr18	58475000	58510000	1	1	49999	Split	Matrix 1	2.3997234903375873	shared
shared_75	chr18	64325000	64350000	2	2	59999	Strength Change	Matrix 2	-2.152036683103324	shared
shared_76	chr18	78130000	78140000	1	1	284999	Complex	Matrix 2	-3.287391478566845	shared
shared_77	chr19	11760000	11775000	1	1	114999	Merge	Matrix 2	-2.6959332967706806	shared
shared_78	chr19	16775000	16825000	4	1	169999	Strength Change	Matrix 1	3.074355281873254	shared
shared_79	chr19	17120000	17130000	1	1	44999	Shifted	Matrix 2	-7.851442518853078	shared
shared_80	chr19	17140000	17150000	3	1	24999	Shifted	Matrix 2	-7.851442518853078	shared
shared_81	chr19	18525000	18560000	2	3	129999	Shifted	Matrix 2	-2.2511426300011195	shared
shared_82	chr19	25600000	25630000	1	1	0	Complex	Matrix 2	-4.656822909478795	shared
shared_83	chr19	28770000	28780000	1	1	444999	Strength Change	Matrix 2	-3.9746138241981814	shared
shared_84	chr19	58460000	58470000	1	2	154999	Merge	Matrix 2	-2.0986112982577168	shared
shared_85	chr2	26440000	26450000	1	1	0	Complex	Matrix 2	-3.01220330746844	shared
shared_86	chr2	27020000	27030000	1	1	24999	Split	Matrix 1	2.8842197895021515	shared
shared_87	chr2	27040000	27045000	1	1	9999	Split	Matrix 1	2.8842197895021515	shared
shared_88	chr2	71525000	71550000	4	1	0	Strength Change	Matrix 2	-2.08275547105523	shared
shared_89	chr2	74650000	74725000	6	5	79999	Strength Change	Matrix 1	2.1112246554385985	shared
shared_90	chr2	74960000	74970000	1	1	144999	Strength Change	Matrix 1	2.1112246554385985	shared
shared_91	chr2	80250000	80275000	1	1	874999	Strength Change	Matrix 1	2.9013905669604063	shared
shared_92	chr2	93475000	93480000	1	1	84999	Merge	Matrix 2	-2.217939351117985	shared
shared_93	chr2	109670000	109700000	2	3	4999	Strength Change	Matrix 2	-3.229172195113608	shared
shared_94	chr2	118225000	118250000	1	2	99999	Complex	Matrix 2	-2.092867581680692	shared
shared_95	chr2	118260000	118265000	1	2	134999	Complex	Matrix 2	-2.092867581680692	shared
shared_96	chr2	122750000	122760000	1	1	144999	Merge	Matrix 2	-3.2505829635160657	shared
shared_97	chr2	124600000	124650000	1	1	174999	Strength Change	Matrix 2	-3.0319948410749404	shared
shared_98	chr2	167270000	167280000	1	2	44999	Merge	Matrix 2	-4.451471085257267	shared
shared_99	chr2	167600000	167610000	1	1	0	Strength Change	Matrix 1	2.947292972414587	shared
shared_100	chr3	30500000	30525000	3	2	4999	Split	Matrix 1	3.937842386277409	shared
shared_101	chr3	50900000	50910000	2	1	874999	Merge	Matrix 2	-3.5921114007144967	shared
shared_102	chr3	51100000	51150000	1	5	634999	Merge	Matrix 2	-3.5921114007144967	shared
shared_103	chr3	66950000	67000000	6	1	0	Complex	Matrix 2	-5.202509595533201	shared
shared_104	chr3	93490000	93500000	1	1	584999	Merge	Matrix 2	-3.0723106429410914	shared
shared_105	chr3	99225000	99250000	1	3	329999	Merge	Matrix 2	-2.891899118478994	shared
shared_106	chr3	127620000	127650000	2	1	204999	Complex	Matrix 2	-2.108707254516824	shared
shared_107	chr3	129200000	129225000	4	1	89999	Merge	Matrix 2	-3.556210016352096	shared
shared_108	chr3	135280000	135290000	1	1	104999	Strength Change	Matrix 1	3.037774182918304	shared
shared_109	chr4	20000000	20050000	1	2	444999	Strength Change	Matrix 1	2.714648330502463	shared
shared_110	chr4	24150000	24160000	1	1	124999	Shifted	Matrix 2	-3.1546790391538035	shared
shared_111	chr4	33395000	33400000	1	1	394999	Strength Change	Matrix 1	3.2428649730478183	shared
shared_112	chr4	45750000	45775000	2	2	0	Merge	Matrix 2	-3.9963887067356785	shared
shared_113	chr4	46600000	46605000	1	1	84999	Split	Matrix 1	2.493611066494212	shared
shared_114	chr4	46610000	46615000	1	1	94999	Split	Matrix 1	2.493611066494212	shared
shared_115	chr4	47275000	47300000	2	1	0	Shifted	Matrix 1	8.199879272199244	shared
shared_116	chr4	47375000	47425000	2	6	19999	Complex	Matrix 2	-7.921618790563465	shared
shared_117	chr4	48675000	48700000	2	1	564999	Complex	Matrix 1	2.383042446572536	shared
shared_118	chr4	55000000	55010000	1	1	654999	Split	Matrix 1	2.839545787965947	shared
shared_119	chr4	58175000	58225000	3	3	29999	Strength Change	Matrix 2	-2.8053096420645827	shared
shared_120	chr4	98720000	98730000	1	1	174999	Shifted	Matrix 1	4.636715835628309	shared
shared_121	chr4	117830000	117840000	1	1	344999	Strength Change	Matrix 1	2.358013206513913	shared
shared_122	chr4	118290000	118300000	2	1	94999	Strength Change	Matrix 1	2.358013206513913	shared
shared_123	chr4	125960000	125970000	1	3	294999	Strength Change	Matrix 2	-3.686839768389742	shared
shared_124	chr4	125975000	126000000	1	3	264999	Strength Change	Matrix 2	-3.686839768389742	shared
shared_125	chr5	49960000	49965000	2	1	0	Strength Change	Matrix 2	-2.089809608950171	shared
shared_126	chr5	49970000	50000000	2	1	0	Strength Change	Matrix 2	-2.089809608950171	shared
shared_127	chr5	52050000	52075000	1	1	29999	Shifted	Matrix 1	2.763863917778647	shared
shared_128	chr5	77800000	77810000	1	1	384999	Strength Change	Matrix 1	2.002617036005285	shared
shared_129	chr5	83480000	83490000	1	1	254999	Shifted	Matrix 2	-2.614782489383023	shared
shared_130	chr5	83500000	83525000	1	2	219999	Shifted	Matrix 2	-2.614782489383023	shared
shared_131	chr5	97110000	97120000	1	1	114999	Split	Matrix 1	2.4735545123596387	shared
shared_132	chr5	97125000	97130000	1	1	129999	Split	Matrix 1	2.4735545123596387	shared
shared_133	chr5	102690000	102725000	1	1	419999	Split	Matrix 1	2.7274668179600376	shared
shared_134	chr5	109550000	109575000	1	1	189999	Complex	Matrix 2	-2.204263664252316	shared
shared_135	chr5	125520000	125550000	1	6	0	Strength Change	Matrix 2	-2.111041568192056	shared
shared_136	chr5	128500000	128530000	1	1	314999	Complex	Matrix 1	2.3432879853377564	shared
shared_137	chr5	131525000	131550000	2	1	509999	Strength Change	Matrix 1	2.664697436955658	shared
shared_138	chr5	131750000	131775000	1	1	449999	Strength Change	Matrix 2	-4.513221936081955	shared
shared_139	chr5	133775000	133800000	2	1	69999	Strength Change	Matrix 2	-2.213041678490968	shared
shared_140	chr6	13825000	13850000	2	1	794999	Strength Change	Matrix 2	-2.944475812854456	shared
shared_141	chr6	32300000	32350000	2	1	344999	Strength Change	Matrix 2	-2.107960794918669	shared
shared_142	chr6	51150000	51200000	9	2	204999	Strength Change	Matrix 2	-3.2138513960068056	shared
shared_143	chr6	51845000	51875000	3	1	219999	Complex	Matrix 1	2.332684883672389	shared
shared_144	chr6	52200000	52280000	7	5	0	Merge	Matrix 2	-2.1100274072929013	shared
shared_145	chr6	52300000	52330000	3	1	44999	Merge	Matrix 2	-2.1100274072929013	shared
shared_146	chr6	83690000	83725000	3	1	224999	Strength Change	Matrix 2	-2.456417041494496	shared
shared_147	chr6	114925000	114940000	1	1	104999	Complex	Matrix 1	5.433961616443989	shared
shared_148	chr6	124250000	124275000	1	1	0	Complex	Matrix 2	-16.15870165350244	shared
shared_149	chr6	124370000	124400000	1	1	0	Complex	Matrix 2	-8.32980372129439	shared
shared_150	chr6	124640000	124645000	1	1	0	Shifted	Matrix 2	-2.5714079873572415	shared
shared_151	chr6	124650000	124675000	1	1	0	Shifted	Matrix 1	3.811925883441772	shared
shared_152	chr6	125620000	125625000	1	1	94999	Merge	Matrix 2	-2.7227417618529985	shared
shared_153	chr7	55700000	55725000	2	1	559999	Merge	Matrix 2	-2.2876725630063093	shared
shared_154	chr7	69475000	69500000	1	2	2189999	Strength Change	Matrix 1	2.818295797198107	shared
shared_155	chr7	70325000	70375000	1	5	3039999	Strength Change	Matrix 1	2.818295797198107	shared
shared_156	chr7	71860000	71870000	1	1	3934999	Strength Change	Matrix 1	2.644087617591807	shared
shared_157	chr7	73650000	73675000	1	4	2129999	Strength Change	Matrix 1	2.644087617591807	shared
shared_158	chr7	118100000	118130000	1	1	164999	Merge	Matrix 2	-2.010326844495693	shared
shared_159	chr7	118295000	118325000	2	4	0	Merge	Matrix 2	-2.010326844495693	shared
shared_160	chr7	131525000	131560000	2	3	4999	Split	Matrix 1	4.074379987186409	shared
shared_161	chr7	134325000	134350000	1	7	69999	Shifted	Matrix 1	2.270177942288199	shared
shared_162	chr7	137300000	137330000	2	7	1274999	Split	Matrix 1	2.0569923671264547	shared
shared_163	chr7	144250000	144280000	2	1	54999	Complex	Matrix 2	-4.483504466431647	shared
shared_164	chr10	29525000	29550000	1	1	214999	Merge	Matrix 2	-3.0099167232717856	shared
shared_165	chr10	53300000	53350000	1	3	274999	Strength Change	Matrix 1	2.785995028533501	shared
shared_166	chr10	64075000	64100000	1	3	814999	Complex	Matrix 2	-3.657010893467972	shared
shared_167	chr10	74200000	74210000	1	1	754999	Split	Matrix 1	3.02061659868	shared
shared_168	chr10	87020000	87030000	1	1	504999	Strength Change	Matrix 1	2.6550516601770937	shared
shared_169	chr10	105570000	105580000	1	1	724999	Merge	Matrix 2	-3.692833264615648	shared
shared_170	chr10	108425000	108475000	2	4	0	Complex	Matrix 1	3.1036628947645464	shared
shared_171	chr10	108725000	108750000	1	3	0	Strength Change	Matrix 1	2.6671634832909334	shared
shared_172	chr10	109475000	109500000	1	2	154999	Strength Change	Matrix 1	2.319723590616102	shared
shared_173	chr10	109850000	109875000	3	1	84999	Strength Change	Matrix 1	2.8372809186587005	shared
shared_174	chr8	4580000	4590000	1	1	1024999	Complex	Matrix 2	-2.2204252283104786	shared
shared_175	chr8	14725000	14750000	1	2	4999	Merge	Matrix 2	-2.4912366966128734	shared
shared_176	chr8	15220000	15230000	1	1	124999	Merge	Matrix 2	-2.3420186511863026	shared
shared_177	chr8	17525000	17550000	1	3	19999	Complex	Matrix 1	4.641126280807499	shared
shared_178	chr8	27650000	27700000	3	2	0	Merge	Matrix 2	-2.262129061675376	shared
shared_179	chr8	47850000	47875000	1	1	139999	Complex	Matrix 2	-4.896833518087421	shared
shared_180	chr8	48200000	48250000	5	2	174999	Complex	Matrix 2	-4.896833518087421	shared
shared_181	chr8	50275000	50300000	2	1	524999	Strength Change	Matrix 2	-2.5988480883299325	shared
shared_182	chr8	108875000	108910000	1	1	29999	Merge	Matrix 2	-2.1340046322751816	shared
shared_183	chr12	9050000	9075000	1	1	154999	Strength Change	Matrix 1	2.654893084952165	shared
shared_184	chr12	26300000	26325000	1	1	729999	Merge	Matrix 2	-2.3294147136040313	shared
shared_185	chr12	40200000	40250000	3	2	214999	Split	Matrix 1	2.588378210959045	shared
shared_186	chr12	52000000	52015000	1	1	0	Merge	Matrix 2	-2.1380766858439726	shared
shared_187	chr12	74330000	74340000	1	1	824999	Complex	Matrix 2	-2.3459008440901608	shared
shared_188	chr12	75370000	75380000	1	4	0	Shifted	Matrix 2	-17.451083397443032	shared
shared_189	chr12	75390000	75400000	1	4	0	Complex	Matrix 2	-5.932267372668512	shared
shared_190	chr12	91775000	91800000	3	1	0	Strength Change	Matrix 2	-2.0501047790799927	shared
shared_191	chr12	104925000	104960000	3	4	0	Strength Change	Matrix 2	-3.525717434592597	shared
shared_192	chr1	25825000	25850000	1	1	0	Strength Change	Matrix 2	-3.124066501769002	shared
shared_193	chr1	42675000	42725000	1	4	229999	Complex	Matrix 2	-10.602625586721892	shared
shared_194	chr1	43260000	43270000	1	1	204999	Complex	Matrix 2	-9.767272954098924	shared
shared_195	chr1	52075000	52125000	4	1	179999	Strength Change	Matrix 1	3.784191364947651	shared
shared_196	chr1	53905000	53910000	1	1	119999	Merge	Matrix 2	-2.0408685106955655	shared
shared_197	chr1	56950000	57000000	3	1	64999	Strength Change	Matrix 1	3.342797894680698	shared
shared_198	chr1	65170000	65200000	2	1	0	Strength Change	Matrix 2	-3.348565886392355	shared
shared_199	chr1	112450000	112460000	1	1	274999	Merge	Matrix 2	-3.3901226405614797	shared
shared_200	chr1	118300000	118350000	2	1	154999	Merge	Matrix 2	-2.5367555758726312	shared
shared_201	chr1	118750000	118775000	2	1	0	Strength Change	Matrix 2	-3.0202945536531014	shared
shared_202	chr1	126675000	126700000	1	1	239999	Strength Change	Matrix 2	-4.34586353547168	shared
shared_203	chr1	138825000	138850000	1	1	279999	Strength Change	Matrix 2	-2.2484034329258233	shared
shared_204	chr1	151075000	151100000	1	1	139999	Strength Change	Matrix 1	2.0111830292586967	shared
shared_205	chr1	151700000	151725000	1	1	44999	Complex	Matrix 1	2.467484243156429	shared
shared_206	chr1	169450000	169475000	1	1	69999	Strength Change	Matrix 2	-2.2259089442993423	shared
shared_207	chr1	169910000	169920000	1	1	194999	Split	Matrix 1	2.3911373881586573	shared
shared_208	chr1	169925000	169950000	1	2	164999	Split	Matrix 1	2.3911373881586573	shared
shared_209	chr1	170600000	170625000	1	2	0	Merge	Matrix 2	-2.5186756963878363	shared
shared_210	chr1	170630000	170640000	1	2	4999	Merge	Matrix 2	-2.5186756963878363	shared
shared_211	chr1	182530000	182540000	1	2	504999	Complex	Matrix 2	-5.918037435466958	shared
shared_212	chr1	182550000	182575000	1	2	524999	Complex	Matrix 2	-5.918037435466958	shared
