#peakID	chr	start	end	strand	PC1
chr10-5150000	chr10	5150000	5175000	+	1.63563738751978
chr10-5175000	chr10	5175000	5200000	+	1.637971075399
chr10-5200000	chr10	5200000	5225000	+	1.63011870098639
chr10-5225000	chr10	5225000	5250000	+	1.63924490373583
chr10-5250000	chr10	5250000	5275000	+	1.64867082902176
chr10-5275000	chr10	5275000	5300000	+	1.64324682029293
chr10-5300000	chr10	5300000	5325000	+	1.64048045483123
chr10-5325000	chr10	5325000	5350000	+	1.65625073634216
chr10-5350000	chr10	5350000	5375000	+	1.68739790530451
chr10-5375000	chr10	5375000	5400000	+	1.67906709119739
chr10-5400000	chr10	5400000	5425000	+	1.63446023368911
chr10-5425000	chr10	5425000	5450000	+	1.66253242067693
chr10-5450000	chr10	5450000	5475000	+	1.67688822637364
chr10-5475000	chr10	5475000	5500000	+	1.7042316945798
chr10-5500000	chr10	5500000	5525000	+	1.71357418518311
chr10-5525000	chr10	5525000	5550000	+	1.6941086141404
chr10-5550000	chr10	5550000	5575000	+	1.59589812190231
chr10-5575000	chr10	5575000	5600000	+	1.28092187918832
chr10-5600000	chr10	5600000	5625000	+	0.90269809878317
chr10-5625000	chr10	5625000	5650000	+	0.519850015112855
chr10-5650000	chr10	5650000	5675000	+	0.124358616669344
chr10-5675000	chr10	5675000	5700000	+	-0.178762766781857
chr10-5700000	chr10	5700000	5725000	+	-0.298189115172707
chr10-5725000	chr10	5725000	5750000	+	-0.237748473066433
chr10-5750000	chr10	5750000	5775000	+	0.0610031575586659
chr10-5775000	chr10	5775000	5800000	+	0.927453850568851
chr10-5800000	chr10	5800000	5825000	+	1.30639544959887
chr10-5825000	chr10	5825000	5850000	+	1.13288596261204
chr10-5850000	chr10	5850000	5875000	+	0.864239529956446
chr10-5875000	chr10	5875000	5900000	+	0.962950723662899
chr10-5900000	chr10	5900000	5925000	+	0.999164586853016
chr10-5925000	chr10	5925000	5950000	+	0.3571051027506
chr10-5950000	chr10	5950000	5975000	+	-0.433805592636317
chr10-5975000	chr10	5975000	6000000	+	-0.558457915041497
chr10-6000000	chr10	6000000	6025000	+	-0.447071202036187
chr10-6025000	chr10	6025000	6050000	+	-0.304182829041899
chr10-6050000	chr10	6050000	6075000	+	-0.502755504625901
chr10-6075000	chr10	6075000	6100000	+	-0.734555880606345
chr10-6100000	chr10	6100000	6125000	+	-0.789419704613573
chr10-6125000	chr10	6125000	6150000	+	-0.774986039696686
chr10-6150000	chr10	6150000	6175000	+	-0.805820997785942
chr10-6175000	chr10	6175000	6200000	+	-0.859954171954036
chr10-6200000	chr10	6200000	6225000	+	-0.826012930933615
chr10-6225000	chr10	6225000	6250000	+	-0.671793883359543
chr10-6250000	chr10	6250000	6275000	+	-0.539399837401678
chr10-6275000	chr10	6275000	6300000	+	-0.009899592470742
chr10-6300000	chr10	6300000	6325000	+	0.00168784879281391
chr10-6325000	chr10	6325000	6350000	+	-0.514944653669845
chr10-6350000	chr10	6350000	6375000	+	-0.68262615472945
chr10-6375000	chr10	6375000	6400000	+	-0.700479761650612
chr10-6400000	chr10	6400000	6425000	+	-0.725254738455758
chr10-6425000	chr10	6425000	6450000	+	-0.746974963880253
chr10-6450000	chr10	6450000	6475000	+	-0.540323024511687
chr10-6475000	chr10	6475000	6500000	+	-0.262285588959538
chr10-6500000	chr10	6500000	6525000	+	-0.438888432353805
chr10-6525000	chr10	6525000	6550000	+	-0.744502593532248
chr10-6550000	chr10	6550000	6575000	+	-0.793450299399775
chr10-6575000	chr10	6575000	6600000	+	-0.863725671051696
chr10-6600000	chr10	6600000	6625000	+	-0.823687446277798
chr10-6625000	chr10	6625000	6650000	+	-0.778451486835238
chr10-6650000	chr10	6650000	6675000	+	-0.697280579014607
chr10-6675000	chr10	6675000	6700000	+	-0.492143937385734
chr10-6700000	chr10	6700000	6725000	+	-0.512166032666794
chr10-6725000	chr10	6725000	6750000	+	-0.701438178650741
chr10-6750000	chr10	6750000	6775000	+	-0.6982393948179
chr10-6775000	chr10	6775000	6800000	+	-0.575337171143467
chr10-6800000	chr10	6800000	6825000	+	-0.442462509370637
chr10-6825000	chr10	6825000	6850000	+	-0.169060346212763
chr10-6850000	chr10	6850000	6875000	+	0.345788888032562
chr10-6875000	chr10	6875000	6900000	+	1.05849811422046
chr10-6900000	chr10	6900000	6925000	+	1.23023753682475
chr10-6925000	chr10	6925000	6950000	+	1.19683032649013
chr10-6950000	chr10	6950000	6975000	+	1.39355122016684
chr10-6975000	chr10	6975000	7000000	+	1.46062812701595
chr10-7000000	chr10	7000000	7025000	+	1.30721142113812
chr10-7025000	chr10	7025000	7050000	+	1.2188391455194
chr10-7050000	chr10	7050000	7075000	+	1.51439894109967
chr10-7075000	chr10	7075000	7100000	+	1.65101085344399
chr10-7100000	chr10	7100000	7125000	+	1.66724665147067
chr10-7125000	chr10	7125000	7150000	+	1.64823722574031
chr10-7150000	chr10	7150000	7175000	+	1.6407428354946
chr10-7175000	chr10	7175000	7200000	+	1.67097691213723
chr10-7200000	chr10	7200000	7225000	+	1.64401800983312
chr10-7225000	chr10	7225000	7250000	+	1.63480808408145
chr10-7250000	chr10	7250000	7275000	+	1.6801633306114
chr10-7275000	chr10	7275000	7300000	+	1.7268304309666
chr10-7300000	chr10	7300000	7325000	+	1.66218511401688
chr10-7325000	chr10	7325000	7350000	+	1.43180099169612
chr10-7350000	chr10	7350000	7375000	+	1.06344684233588
chr10-7375000	chr10	7375000	7400000	+	0.859561350124259
chr10-7400000	chr10	7400000	7425000	+	0.742090533241753
chr10-7425000	chr10	7425000	7450000	+	0.656216741138618
chr10-7450000	chr10	7450000	7475000	+	0.781824056192196
chr10-7475000	chr10	7475000	7500000	+	0.921537281970684
chr10-7500000	chr10	7500000	7525000	+	0.635813196338324
chr10-7550000	chr10	7550000	7575000	+	0.827175635125332
chr10-7575000	chr10	7575000	7600000	+	1.47122030800427
chr10-7600000	chr10	7600000	7625000	+	1.47664260372452
chr10-7625000	chr10	7625000	7650000	+	1.53114089695741
chr10-7650000	chr10	7650000	7675000	+	1.62353201437839
chr10-7675000	chr10	7675000	7700000	+	1.57115573307767
chr10-7700000	chr10	7700000	7725000	+	1.4529834479813
chr10-7725000	chr10	7725000	7750000	+	1.36640285510665
chr10-7750000	chr10	7750000	7775000	+	1.37214826475674
chr10-7775000	chr10	7775000	7800000	+	1.42980585006489
chr10-7800000	chr10	7800000	7825000	+	1.30727276855777
chr10-7825000	chr10	7825000	7850000	+	1.02077252315605
chr10-7850000	chr10	7850000	7875000	+	0.837566375931614
chr10-7875000	chr10	7875000	7900000	+	0.762416632524779
chr10-7900000	chr10	7900000	7925000	+	1.04439839291866
chr10-7925000	chr10	7925000	7950000	+	1.24509851554598
chr10-7950000	chr10	7950000	7975000	+	0.881652752365562
chr10-7975000	chr10	7975000	8000000	+	0.0678168766526215
chr10-8000000	chr10	8000000	8025000	+	-0.283046778658491
chr10-8025000	chr10	8025000	8050000	+	-0.434699887593628
chr10-8050000	chr10	8050000	8075000	+	-0.469116369466473
chr10-8075000	chr10	8075000	8100000	+	-0.526399474490589
chr10-8100000	chr10	8100000	8125000	+	-0.558784459657099
chr10-8125000	chr10	8125000	8150000	+	-0.58567545405636
chr10-8150000	chr10	8150000	8175000	+	-0.318392384812915
chr10-8175000	chr10	8175000	8200000	+	0.354018229454481
chr10-8200000	chr10	8200000	8225000	+	0.987759777515437
chr10-8225000	chr10	8225000	8250000	+	1.10235698565641
chr10-8250000	chr10	8250000	8275000	+	1.12959758559521
chr10-8275000	chr10	8275000	8300000	+	1.18964396231065
chr10-8300000	chr10	8300000	8325000	+	1.24277452061688
chr10-8325000	chr10	8325000	8350000	+	1.34684734615977
chr10-8350000	chr10	8350000	8375000	+	1.31991935714073
chr10-8375000	chr10	8375000	8400000	+	1.24273843317982
chr10-8400000	chr10	8400000	8425000	+	1.43180890910213
chr10-8425000	chr10	8425000	8450000	+	1.51550014228551
chr10-8450000	chr10	8450000	8475000	+	1.51022069783364
chr10-8475000	chr10	8475000	8500000	+	1.53357070060902
chr10-8500000	chr10	8500000	8525000	+	1.35596017663432
chr10-8525000	chr10	8525000	8550000	+	0.703276809102104
chr10-8550000	chr10	8550000	8575000	+	-0.0925746675766365
chr10-8575000	chr10	8575000	8600000	+	-0.31584412727711
chr10-8600000	chr10	8600000	8625000	+	-0.479666910697688
chr10-8625000	chr10	8625000	8650000	+	-0.550112985189418
chr10-8650000	chr10	8650000	8675000	+	-0.46671741256777
chr10-8675000	chr10	8675000	8700000	+	-0.33061063396767
chr10-8700000	chr10	8700000	8725000	+	-0.295452143953929
chr10-8725000	chr10	8725000	8750000	+	-0.361585172463286
chr10-8750000	chr10	8750000	8775000	+	-0.501419797153652
chr10-8775000	chr10	8775000	8800000	+	-0.469191933875033
chr10-8800000	chr10	8800000	8825000	+	-0.476937610795073
chr10-8825000	chr10	8825000	8850000	+	-0.723166058791159
chr10-8850000	chr10	8850000	8875000	+	-0.83062672474829
chr10-8875000	chr10	8875000	8900000	+	-0.874085553663878
chr10-8900000	chr10	8900000	8925000	+	-0.875022545247685
chr10-8925000	chr10	8925000	8950000	+	-0.823355523652033
chr10-8950000	chr10	8950000	8975000	+	-0.858088731430564
chr10-8975000	chr10	8975000	9000000	+	-0.889765903528059
chr10-9000000	chr10	9000000	9025000	+	-0.852599689436326
chr10-9025000	chr10	9025000	9050000	+	-0.732550981520162
chr10-9050000	chr10	9050000	9075000	+	-0.694462275493001
chr10-9075000	chr10	9075000	9100000	+	-0.781910158426
chr10-9100000	chr10	9100000	9125000	+	-0.775197879706358
chr10-9125000	chr10	9125000	9150000	+	-0.804630223715382
chr10-9150000	chr10	9150000	9175000	+	-0.900286886028448
chr10-9175000	chr10	9175000	9200000	+	-0.822165982805529
chr10-9200000	chr10	9200000	9225000	+	-0.804186919710366
chr10-9225000	chr10	9225000	9250000	+	-0.912139910261666
chr10-9250000	chr10	9250000	9275000	+	-0.937961798363836
chr10-9275000	chr10	9275000	9300000	+	-0.991236449875236
chr10-9300000	chr10	9300000	9325000	+	-1.0455855419071
chr10-9325000	chr10	9325000	9350000	+	-1.0910268112973
chr10-9350000	chr10	9350000	9375000	+	-1.09726386450367
chr10-9375000	chr10	9375000	9400000	+	-1.11170439513787
chr10-9400000	chr10	9400000	9425000	+	-1.07570341015447
chr10-9425000	chr10	9425000	9450000	+	-1.08489665974452
chr10-9450000	chr10	9450000	9475000	+	-1.11916704838806
chr10-9475000	chr10	9475000	9500000	+	-1.0719024147661
chr10-9500000	chr10	9500000	9525000	+	-1.05180228305255
chr10-9525000	chr10	9525000	9550000	+	-1.03886735996818
chr10-9550000	chr10	9550000	9575000	+	-1.00594367545569
chr10-9575000	chr10	9575000	9600000	+	-0.945665233263056
chr10-9600000	chr10	9600000	9625000	+	-0.88641725437099
chr10-9625000	chr10	9625000	9650000	+	-0.782440557465485
chr10-9650000	chr10	9650000	9675000	+	-0.673756981160088
chr10-9675000	chr10	9675000	9700000	+	-0.647758301005793
chr10-9700000	chr10	9700000	9725000	+	-0.643529603350534
chr10-9725000	chr10	9725000	9750000	+	-0.183392770761586
chr10-9750000	chr10	9750000	9775000	+	0.467272907112556
chr10-9775000	chr10	9775000	9800000	+	0.802166724024818
chr10-9800000	chr10	9800000	9825000	+	0.968421196325802
chr10-9825000	chr10	9825000	9850000	+	1.05236978550731
chr10-9850000	chr10	9850000	9875000	+	1.16083964858885
chr10-9875000	chr10	9875000	9900000	+	1.11947223546864
chr10-9900000	chr10	9900000	9925000	+	0.567881436060277
chr10-9925000	chr10	9925000	9950000	+	-0.243576577399359
chr10-9950000	chr10	9950000	9975000	+	-0.538602901353752
chr10-9975000	chr10	9975000	10000000	+	-0.672673435583343
chr10-10000000	chr10	10000000	10025000	+	-0.722589274266292
chr10-10025000	chr10	10025000	10050000	+	-0.672290954150322
chr10-10050000	chr10	10050000	10075000	+	-0.557043966382102
chr10-10075000	chr10	10075000	10100000	+	-0.107758425973355
chr10-10100000	chr10	10100000	10125000	+	-0.0709258053076296
chr10-10125000	chr10	10125000	10150000	+	-0.479189853641423
chr10-10150000	chr10	10150000	10175000	+	-0.709520692274449
chr10-10175000	chr10	10175000	10200000	+	-0.705493250571097
chr10-10200000	chr10	10200000	10225000	+	-0.711425166366124
chr10-10225000	chr10	10225000	10250000	+	-0.563239921391272
chr10-10250000	chr10	10250000	10275000	+	-0.469442244071136
chr10-10275000	chr10	10275000	10300000	+	-0.378476326162553
chr10-10300000	chr10	10300000	10325000	+	0.168261067083854
chr10-10325000	chr10	10325000	10350000	+	0.227466795114166
chr10-10350000	chr10	10350000	10375000	+	-0.190333535711485
chr10-10375000	chr10	10375000	10400000	+	-0.106283193470504
chr10-10400000	chr10	10400000	10425000	+	0.0420454600263964
chr10-10425000	chr10	10425000	10450000	+	-0.214773275937017
chr10-10450000	chr10	10450000	10475000	+	-0.201743150488696
chr10-10475000	chr10	10475000	10500000	+	-0.220493478611789
chr10-10500000	chr10	10500000	10525000	+	-0.300292423410944
chr10-10525000	chr10	10525000	10550000	+	0.0393424205910052
chr10-10550000	chr10	10550000	10575000	+	0.243147455910712
chr10-10575000	chr10	10575000	10600000	+	0.362752078443721
chr10-10600000	chr10	10600000	10625000	+	0.47264552969571
chr10-10625000	chr10	10625000	10650000	+	0.675938779473365
chr10-10650000	chr10	10650000	10675000	+	0.965697454966518
chr10-10675000	chr10	10675000	10700000	+	1.28551727152688
chr10-10700000	chr10	10700000	10725000	+	1.42657786050166
chr10-10725000	chr10	10725000	10750000	+	1.47115012759324
chr10-10750000	chr10	10750000	10775000	+	1.46653741507335
chr10-10775000	chr10	10775000	10800000	+	1.46693261110167
chr10-10800000	chr10	10800000	10825000	+	1.51983025822973
chr10-10825000	chr10	10825000	10850000	+	1.56042709387124
chr10-10850000	chr10	10850000	10875000	+	1.52541627215133
chr10-10875000	chr10	10875000	10900000	+	1.52394449048628
chr10-10900000	chr10	10900000	10925000	+	1.56158452028666
chr10-10925000	chr10	10925000	10950000	+	1.51319478088144
chr10-10950000	chr10	10950000	10975000	+	1.5001610743622
chr10-10975000	chr10	10975000	11000000	+	1.49288508079908
chr10-11000000	chr10	11000000	11025000	+	1.52316572671978
chr10-11025000	chr10	11025000	11050000	+	1.57955276063735
chr10-11050000	chr10	11050000	11075000	+	1.50082444128865
chr10-11075000	chr10	11075000	11100000	+	1.07202184199018
chr10-11100000	chr10	11100000	11125000	+	0.481412285561827
chr10-11125000	chr10	11125000	11150000	+	0.74230413018842
chr10-11150000	chr10	11150000	11175000	+	0.951242539260718
chr10-11175000	chr10	11175000	11200000	+	0.881802106399168
chr10-11200000	chr10	11200000	11225000	+	0.704849899710466
chr10-11225000	chr10	11225000	11250000	+	0.17690594240621
chr10-11250000	chr10	11250000	11275000	+	0.380688394680533
chr10-11275000	chr10	11275000	11300000	+	0.657782414632136
chr10-11300000	chr10	11300000	11325000	+	0.476433317031506
chr10-11325000	chr10	11325000	11350000	+	0.563144045205283
chr10-11350000	chr10	11350000	11375000	+	0.464777988434252
chr10-11375000	chr10	11375000	11400000	+	-0.117139463303557
chr10-11400000	chr10	11400000	11425000	+	-0.210044385483765
chr10-11425000	chr10	11425000	11450000	+	-0.0862781410932948
chr10-11450000	chr10	11450000	11475000	+	-0.380057861030629
chr10-11475000	chr10	11475000	11500000	+	-0.819106602264702
chr10-11500000	chr10	11500000	11525000	+	-0.952608496587441
chr10-11525000	chr10	11525000	11550000	+	-1.04072439531089
chr10-11550000	chr10	11550000	11575000	+	-1.07351266763136
chr10-11575000	chr10	11575000	11600000	+	-1.13441487149528
chr10-11600000	chr10	11600000	11625000	+	-1.11578805056604
chr10-11625000	chr10	11625000	11650000	+	-1.07315552215428
chr10-11650000	chr10	11650000	11675000	+	-1.08304507874847
chr10-11675000	chr10	11675000	11700000	+	-1.08862291131043
chr10-11700000	chr10	11700000	11725000	+	-1.07954420431699
chr10-11725000	chr10	11725000	11750000	+	-1.10121707530626
chr10-11750000	chr10	11750000	11775000	+	-1.06584544126793
chr10-11775000	chr10	11775000	11800000	+	-1.04822176969753
chr10-11800000	chr10	11800000	11825000	+	-0.968505206937339
chr10-11825000	chr10	11825000	11850000	+	-0.87911850667958
chr10-11850000	chr10	11850000	11875000	+	-0.910094830287009
chr10-11875000	chr10	11875000	11900000	+	-0.9680527153618
chr10-11900000	chr10	11900000	11925000	+	-0.970708429412208
chr10-11925000	chr10	11925000	11950000	+	-0.934260482198168
chr10-11950000	chr10	11950000	11975000	+	-0.826546360084995
chr10-11975000	chr10	11975000	12000000	+	-0.375083599067883
chr10-12000000	chr10	12000000	12025000	+	0.312904923181078
chr10-12025000	chr10	12025000	12050000	+	0.355337048757846
chr10-12050000	chr10	12050000	12075000	+	0.108658943425801
chr10-12075000	chr10	12075000	12100000	+	0.304787210982144
chr10-12100000	chr10	12100000	12125000	+	0.485163607115571
chr10-12125000	chr10	12125000	12150000	+	0.261302325859109
chr10-12150000	chr10	12150000	12175000	+	-0.0815444548866973
chr10-12175000	chr10	12175000	12200000	+	-0.242112277606904
chr10-12200000	chr10	12200000	12225000	+	-0.47192794331393
chr10-12225000	chr10	12225000	12250000	+	-0.676267841620486
chr10-12250000	chr10	12250000	12275000	+	-0.776132873476205
chr10-12275000	chr10	12275000	12300000	+	-0.769091080289238
chr10-12300000	chr10	12300000	12325000	+	-0.77198662637412
chr10-12325000	chr10	12325000	12350000	+	-0.794473533030228
chr10-12350000	chr10	12350000	12375000	+	-0.762510885512603
chr10-12375000	chr10	12375000	12400000	+	-0.718346622313784
chr10-12400000	chr10	12400000	12425000	+	-0.678538947959764
chr10-12425000	chr10	12425000	12450000	+	-0.709204461788378
chr10-12450000	chr10	12450000	12475000	+	-0.684848896710576
chr10-12475000	chr10	12475000	12500000	+	-0.63255376880522
chr10-12500000	chr10	12500000	12525000	+	-0.667557451045498
chr10-12525000	chr10	12525000	12550000	+	-0.650449069589802
chr10-12550000	chr10	12550000	12575000	+	-0.517183725666974
chr10-12575000	chr10	12575000	12600000	+	-0.279931662387683
chr10-12600000	chr10	12600000	12625000	+	-0.0210294077979616
chr10-12625000	chr10	12625000	12650000	+	-0.00854289346514193
chr10-12650000	chr10	12650000	12675000	+	0.0190219022615084
chr10-12675000	chr10	12675000	12700000	+	0.327328210052852
chr10-12700000	chr10	12700000	12725000	+	0.754837405284134
chr10-12725000	chr10	12725000	12750000	+	0.758217751103452
chr10-12750000	chr10	12750000	12775000	+	0.449275999658315
chr10-12775000	chr10	12775000	12800000	+	0.733671607026271
chr10-12800000	chr10	12800000	12825000	+	1.00646211623411
chr10-12825000	chr10	12825000	12850000	+	0.883370192470431
chr10-12850000	chr10	12850000	12875000	+	0.676986172417765
chr10-12875000	chr10	12875000	12900000	+	0.428124668744476
chr10-12900000	chr10	12900000	12925000	+	0.519738814529144
chr10-12925000	chr10	12925000	12950000	+	0.496147186922146
chr10-12950000	chr10	12950000	12975000	+	0.0375449126978566
chr10-12975000	chr10	12975000	13000000	+	0.26601615403014
chr10-13000000	chr10	13000000	13025000	+	0.359647276955758
chr10-13025000	chr10	13025000	13050000	+	-0.109612536941245
chr10-13050000	chr10	13050000	13075000	+	-0.241830651811311
chr10-13075000	chr10	13075000	13100000	+	-0.0685022783358339
chr10-13100000	chr10	13100000	13125000	+	-0.332607543483737
chr10-13125000	chr10	13125000	13150000	+	-0.620093373561284
chr10-13150000	chr10	13150000	13175000	+	-0.371119393065243
chr10-13175000	chr10	13175000	13200000	+	0.072729705558034
chr10-13200000	chr10	13200000	13225000	+	-0.133798694235779
chr10-13225000	chr10	13225000	13250000	+	-0.639000228926606
chr10-13250000	chr10	13250000	13275000	+	-0.715812671983694
chr10-13275000	chr10	13275000	13300000	+	-0.711380710807677
chr10-13300000	chr10	13300000	13325000	+	-0.570495989547908
chr10-13325000	chr10	13325000	13350000	+	-0.56405699711413
chr10-13350000	chr10	13350000	13375000	+	-0.652162859483777
chr10-13375000	chr10	13375000	13400000	+	-0.491796109932971
chr10-13400000	chr10	13400000	13425000	+	-0.205530195806201
chr10-13425000	chr10	13425000	13450000	+	-0.0541139715104191
chr10-13450000	chr10	13450000	13475000	+	-0.0530238260518073
chr10-13475000	chr10	13475000	13500000	+	0.288233799257725
chr10-13500000	chr10	13500000	13525000	+	0.519760451029841
chr10-13525000	chr10	13525000	13550000	+	0.754999408480763
chr10-13550000	chr10	13550000	13575000	+	0.904620119325638
chr10-13575000	chr10	13575000	13600000	+	0.754516638767419
chr10-13600000	chr10	13600000	13625000	+	0.632928206684748
chr10-13625000	chr10	13625000	13650000	+	0.975714831379401
chr10-13650000	chr10	13650000	13675000	+	1.37451870877706
chr10-13675000	chr10	13675000	13700000	+	1.55893990873194
chr10-13700000	chr10	13700000	13725000	+	1.60992626444265
chr10-13725000	chr10	13725000	13750000	+	1.61236256834002
chr10-13750000	chr10	13750000	13775000	+	1.6002725924216
chr10-13775000	chr10	13775000	13800000	+	1.64697959554707
chr10-13800000	chr10	13800000	13825000	+	1.69587471788636
chr10-13825000	chr10	13825000	13850000	+	1.64352439864382
chr10-13850000	chr10	13850000	13875000	+	1.5945539876607
chr10-13875000	chr10	13875000	13900000	+	1.55771852172502
chr10-13900000	chr10	13900000	13925000	+	1.51518896101129
chr10-13925000	chr10	13925000	13950000	+	1.40620593171746
chr10-13950000	chr10	13950000	13975000	+	1.46249957781504
chr10-13975000	chr10	13975000	14000000	+	1.56734071385504
chr10-14000000	chr10	14000000	14025000	+	1.60979233351284
chr10-14025000	chr10	14025000	14050000	+	1.64216131452059
chr10-14050000	chr10	14050000	14075000	+	1.62280177076276
chr10-14075000	chr10	14075000	14100000	+	1.58395598973766
chr10-14100000	chr10	14100000	14125000	+	1.5640956841869
chr10-14125000	chr10	14125000	14150000	+	1.35574868547462
chr10-14150000	chr10	14150000	14175000	+	1.16372387899409
chr10-14175000	chr10	14175000	14200000	+	1.1199573343409
chr10-14200000	chr10	14200000	14225000	+	0.637487771235879
chr10-14225000	chr10	14225000	14250000	+	-0.0256429953074725
chr10-14250000	chr10	14250000	14275000	+	-0.338117225130979
chr10-14275000	chr10	14275000	14300000	+	-0.388925816579097
chr10-14300000	chr10	14300000	14325000	+	-0.277090155516942
chr10-14325000	chr10	14325000	14350000	+	-0.416637873724506
chr10-14350000	chr10	14350000	14375000	+	-0.646514293959668
chr10-14375000	chr10	14375000	14400000	+	-0.681184614911483
chr10-14400000	chr10	14400000	14425000	+	-0.836859157185905
chr10-14425000	chr10	14425000	14450000	+	-0.970891701704985
chr10-14450000	chr10	14450000	14475000	+	-1.00926287010564
chr10-14475000	chr10	14475000	14500000	+	-1.04825103178045
chr10-14500000	chr10	14500000	14525000	+	-1.04778716448838
