gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	ABC.Score_WT	ABC.Score_KO	logFC_AxC	loop_logFC_signed	boundary_flag
Tgfbr1	0.567855	0.007753	126.344675	TRUE	0.238017	0.745526	6	4	1	TRUE	Mutant	11	3	8	0.895790040121369	0.1248056840965	TRUE	TRUE	3	1	12.628509316526182	5.560798024468342	0.24969697877034525	19.43900431976487	0.033191	0.070379	1.0843299517653766	0.1248056840965	1
Spry2	-0.81884	0	144.716643	TRUE	-1.002492	-2.487185	5	1	4	TRUE	Control	10	9	1	0.551784655775839	-0.298969753032956	TRUE	TRUE	3	1	11.456106265870744	3.2915979252275855	3.509252460815564	19.256956651913892	0.142779	0.070937	-1.009163345943652	-0.298969753032956	1
Fat3	1.273253	0	2476.533639	TRUE	0.951272	1.094372	4	1	2	TRUE	Mutant	7	1	6	1.00175099495454	0.21977147928039756	TRUE	TRUE	3	1	7.938897113904428	6.259759785431842	3.290861497356516	18.489518396692787	0.237936	0.305463	0.36042273029324545	0.21977147928039756	1
Ptgds	0.121156	0.712828	376.17499	FALSE	-4.6529	-7.52174	6	1	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	19.073799905927206	18.45767650407322	0.38712	0.339168	-0.19078025726280412	0	0
Csmd1	1.022854	0	9476.166884	TRUE	-0.050666	0.230981	7	0	3	TRUE	Control	11	6	5	0.840195182073115	-0.07626230254285273	TRUE	TRUE	3	1	12.628509316526182	5.194071620925604	-0.5491270234751878	18.2734539139766	0.027904	7.46e-4	-5.223271593148471	-0.07626230254285273	1
Wwc1	1.00892	0	656.226297	TRUE	0.590751	0.998604	5	2	1	FALSE	NA	10	8	2	0.770657394987635	-0.30351115520429717	TRUE	TRUE	2	0	11.456106265870744	4.735371959420133	1.7536781990898305	17.94515642438071	0.177701	0.239443	0.43022836620241484	-0.30351115520429717	0
Gm14061	-1.402463	4e-6	31.768423	TRUE	-0.247368	-1.137126	13	4	4	FALSE	NA	10	10	0	0.959745981857733	-0.4543702728836105	TRUE	TRUE	2	0	11.456106265870744	5.982677552927761	0.2895676132745538	17.728351432073058	0.060661	0.024247	-1.3229273065451437	-0.4543702728836105	0
Gm31409	-1.075936	0	107.573027	TRUE	-0.567851	-2.007362	19	5	1	FALSE	NA	8	8	0	1.08587365750228	-0.467014678478136	TRUE	TRUE	2	0	9.111300164559866	6.814667245862727	1.656037569195019	17.58200497961761	0.02891	0.006583	-2.134582270055895	-0.467014678478136	0
Ebf3	0.84326	0	170.934706	TRUE	-0.050767	0.06463	8	3	2	FALSE	NA	9	2	7	1.12192831598309	0.3493587405596668	TRUE	TRUE	2	0	10.283703215215304	7.05249850759835	-0.5486963813957391	16.787505341417916	0.036749	0.002472	-3.8934101051085137	0.3493587405596668	0
Cobl	-0.262099	0.353439	79.144385	FALSE	0.233095	0.319821	14	4	6	TRUE	Mutant	9	0	9	0.806071166067635	0.5702091677399028	TRUE	TRUE	3	1	10.283703215215304	4.968975665949646	0.22871063901740815	16.481389520182358	0.156362	0.32962	1.075908989144369	0.5702091677399028	1
Adam12	0.727643	0	294.370967	TRUE	0.425958	1.046864	8	3	1	TRUE	Mutant	8	1	7	0.824200362858701	0.3404089866205148	TRUE	TRUE	3	1	9.111300164559866	5.088563256811658	1.0510366129651332	16.25090003433666	0.108537	0.188891	0.7993613717568336	0.3404089866205148	1
Gap43	-0.370897	0.024524	2258.063685	FALSE	0.367977	0.108373	9	3	3	FALSE	NA	10	6	4	0.652914420895264	0.01177809104137917	TRUE	TRUE	2	0	11.456106265870744	3.9586911844851	0.8038182128808088	16.218615663236655	0.06133	0.112088	0.869956324953514	0.01177809104137917	0
Syt1	-2.493288	0	12572.08513	TRUE	-0.261382	-1.594783	9	0	2	TRUE	Control	9	7	2	0.700274583089885	-0.2224852011934709	TRUE	TRUE	3	1	10.283703215215304	4.271098168918072	0.3493202677438062	15.904121651877183	0.035704	0.017346	-1.041439934356585	-0.2224852011934709	1
Cttn	0.086766	0.541893	511.61111	FALSE	0.176142	0.063995	6	1	2	FALSE	NA	9	2	7	0.887982533764969	0.20441191217783755	TRUE	TRUE	2	0	10.283703215215304	5.509296521861133	-0.01412459217906182	15.778875144897375	0.126872	0.151023	0.2513927537248502	0.20441191217783755	0
Mpdz	-1.003615	0	795.30667	TRUE	0.039026	-0.945199	13	1	6	TRUE	Control	10	10	0	0.569680714409841	-0.4313068096796197	FALSE	TRUE	2	1	11.456106265870744	3.4096476415294275	-0.5987574571859126	15.26699645021426	0.010975	0.039645	1.8528229289586238	-0.4313068096796197	1
Tmem161b	-0.241305	6.04e-4	1051.49201	FALSE	0.217566	-0.489702	16	5	4	FALSE	NA	10	10	0	0.587775891771127	-0.417718658547511	TRUE	TRUE	2	0	11.456106265870744	3.5290108263299467	0.1624983533564249	15.147615445557117	0.044754	0.078231	0.8057099795687233	-0.417718658547511	0
Angpt1	-1.978162	0	457.752094	TRUE	-0.380397	-1.116814	7	1	4	FALSE	NA	8	8	0	0.824911416210738	-0.4751401089012885	TRUE	TRUE	2	0	9.111300164559866	5.093253655306663	0.856774397304108	15.061328217170637	0.123042	0.064311	-0.936002723440373	-0.4751401089012885	0
Nyx	-0.826315	0.057034	13.05869	FALSE	-3.788131	-11.566117	11	0	11	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	15.386612575206437	14.770489173352448	0.271743	0	-18.051888655905376	0	0
Nckap5	-0.087906	0.80643	596.473183	FALSE	-0.02831	0.164029	13	7	3	TRUE	Mutant	9	1	8	0.645780332513054	0.28353867654747567	FALSE	TRUE	2	1	10.283703215215304	3.91163182204023	-0.6444481554371263	14.550886881818409	0.057482	0.006573	-3.1282919955354522	0.28353867654747567	1
Trim36	0.218084	0.556414	36.795315	FALSE	-0.154761	-0.046886	12	4	4	FALSE	NA	8	0	8	0.818208172398066	0.42295817477458575	TRUE	TRUE	2	0	9.111300164559866	5.049036319714984	-0.1052885357502823	14.055047948524567	0.132138	0.042838	-1.6250596234053254	0.42295817477458575	0
Cntnap2	-1.261873	0	12921.788188	TRUE	-0.209111	-0.244363	4	1	2	TRUE	Control	8	8	0	0.601466608445091	-0.40044901179874526	TRUE	TRUE	3	1	9.111300164559866	3.6193203884734033	0.12644806838871192	13.85706862142198	0.05103	0.01081	-2.2388739367524892	-0.40044901179874526	1
Zmynd11	0.21776	0.010368	2332.988134	FALSE	0.074321	0.112513	9	2	2	FALSE	NA	7	1	6	1.01311171109921	0.4565485226857296	TRUE	TRUE	2	0	7.938897113904428	6.334699711886706	-0.4482672374419236	13.825329588349213	0.043495	0.063367	0.5428717491346942	0.4565485226857296	0
Gm28401	-0.917426	0.07266	16.613416	FALSE	-1.550919	-4.802725	13	4	5	FALSE	NA	4	4	0	0.585277781779022	-0.45451373265036227	TRUE	TRUE	2	0	4.421687961938113	3.512532271923644	5.8476261608732685	13.781846394735023	0.184268	0.106718	-0.7879963303939272	-0.45451373265036227	0
Dhx32	-0.422497	0	328.042409	FALSE	-0.112545	-0.257367	9	1	4	FALSE	NA	9	0	9	0.625802372293926	0.4385036080177322	TRUE	TRUE	2	0	10.283703215215304	3.779849032075703	-0.28528839739392137	13.778263849897083	0.107427	0.085016	-0.33754680939400655	0.4385036080177322	0
Tmem132b	0.643302	4.1e-5	112.159532	TRUE	-0.053912	0.02828	11	2	2	TRUE	Mutant	7	1	6	0.855457298738027	0.3080505518635374	TRUE	TRUE	3	1	7.938897113904428	5.294746779590725	-0.5352867839713207	13.698357109523831	0.043195	0.015702	-1.4598575163362217	0.3080505518635374	1
Nkain3	1.676183	0	271.779684	TRUE	0.12957	0.292666	8	3	4	TRUE	Control	4	0	4	1.28734035539557	0.8988979998210865	TRUE	TRUE	3	1	4.421687961938113	8.14362391822099	-0.21269749241753916	13.352614387741564	0.016935	0.054371	1.6827707222269561	0.8988979998210865	1
Ggh	-0.195672	0.4232	101.388797	FALSE	0.076141	-0.03412	13	3	4	FALSE	NA	5	1	4	1.28734035539557	0.6078244268225304	TRUE	TRUE	2	0	5.594091012593551	8.14362391822099	-0.4405071524459168	13.297207778368625	0.003279	0.035226	3.4249138973857782	0.6078244268225304	0
Mcemp1	-0.129119	0.895543	16.088121	FALSE	-3.425745	-5.462288	6	0	6	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	13.841477321710324	13.225353919856335	0.493545	0	-18.912825028984994	0	0
Tigit	-1.804208	3.51e-4	10.385155	TRUE	0.240158	0.627423	8	8	0	FALSE	NA	8	7	1	0.608249329950787	-0.31581571665326064	TRUE	TRUE	2	0	9.111300164559866	3.6640619914082806	0.25882573809806536	13.034187894066212	0	0.155635	17.247816281639192	-0.31581571665326064	0
Epha5	2.508837	0	866.392238	TRUE	0.692434	1.773786	7	3	3	TRUE	Mutant	4	0	4	0.870564439075675	0.720470261029924	TRUE	TRUE	3	1	4.421687961938113	5.3943996510673005	2.1872324423035443	13.003320055308958	0.089755	0.180219	1.0056788353985797	0.720470261029924	1
Plxna2	-0.139804	0.302467	3354.262735	FALSE	3.108156	5.844856	6	6	0	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	12.487346753690105	12.871223351836116	0	0.369834	18.49652223767823	0	1
Svep1	-1.985089	0	1330.944619	TRUE	-0.748093	-1.695216	6	1	2	TRUE	Mutant	6	3	3	0.424993429859573	-0.04956084363373031	TRUE	TRUE	3	1	6.76649406324899	2.455231183528397	2.4245503383435127	12.6462755851209	0.203799	0.156242	-0.38336249591465055	-0.04956084363373031	1
Tpk1	-0.604286	0	1022.32656	TRUE	-0.458261	-1.093614	7	2	5	TRUE	Mutant	5	5	0	0.77147728872594	-0.5968829648479574	TRUE	TRUE	3	1	5.594091012593551	4.740780313582579	1.188769594078324	12.523640920254454	0.091766	0.036094	-1.3461764405215675	-0.5968829648479574	1
Gm15663	-1.066948	1e-6	39.41557	TRUE	-1.366688	-2.10319	4	1	2	FALSE	NA	4	2	2	0.503813035789609	0.089168399230147	TRUE	TRUE	2	0	4.421687961938113	2.9751575153177416	5.062105161478033	12.458950638733889	0.208277	0.100311	-1.0540162571417182	0.089168399230147	0
Onecut2	1.775246	0	336.642287	TRUE	0.367239	0.53629	9	3	2	FALSE	NA	4	2	2	1.13832226024143	-0.2927341910232385	TRUE	TRUE	2	0	4.421687961938113	7.1606396636117875	0.8006715410527576	12.38299916660266	0.098298	0.158732	0.6913534451311343	-0.2927341910232385	0
Dctd	-0.18849	0.755345	19.198765	FALSE	-0.028945	0.329439	11	3	2	FALSE	NA	8	4	4	0.61593548355768	-0.02757813042710614	FALSE	TRUE	1	0	9.111300164559866	3.7147630016867206	-0.6417406532544535	12.184322512992134	0.033786	0.008248	-2.0341771153180876	-0.02757813042710614	0
Grik4	0.487827	1.28e-4	427.614867	FALSE	0.093073	0.384718	7	1	1	TRUE	Mutant	7	1	6	0.572901318228105	0.33744762776765697	TRUE	TRUE	3	1	7.938897113904428	3.430892060473403	-0.36831277928526446	12.001476395092563	0.01738	0.035305	1.0224022912612285	0.33744762776765697	1
Cdh8	-1.206488	0	3350.01147	TRUE	-0.139419	-0.66483	5	1	2	FALSE	NA	8	8	0	0.499289638027787	-0.3715426623106262	TRUE	TRUE	2	0	9.111300164559866	2.945319335111463	-0.17070349399684082	11.885916005674488	0.165276	0.194604	0.2356628051642048	-0.3715426623106262	0
Rbm25	0.057419	0.796877	1973.231478	FALSE	3.103792	4.159306	4	4	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	12.468739604831548	11.85261620297756	0	0.342989	18.387806989141843	0	0
Rsrc1	0.231127	0.157789	879.242315	FALSE	0.115595	0.036821	12	5	7	FALSE	NA	6	5	1	0.850380542318386	-0.5008984435763508	TRUE	TRUE	2	0	6.76649406324899	5.261258419537328	-0.2722838593511627	11.755468623435156	0.162412	0.22893	0.4952457197407613	-0.5008984435763508	0
