#TAD name (cmd=getDiffExpression.pl BAP1.tad.scores.txt ctrl ctrl ctrl mut mut mut)	chr1	start1	end1	chr2	start2	end2	color	InclustionRatio(IR)	Length	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M3/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M3/tagdirs IR	ctrl vs. mut Difference	ctrl vs. mut p-value	ctrl vs. mut adj. p-value
chrX:121131000-121184998	chrX	121131000	121184998	chrX	121131000	121184998	255,255,0	1.558000	53998	0.860003	0.975112	1.168556	1.083075	1.023145	1.557763	0.220104	0.199403320630897	0.506161182120425
chr4:133206000-133301998	chr4	133206000	133301998	chr4	133206000	133301998	255,255,0	2.205000	95998	2.479541	2.244341	2.216322	2.205463	2.197449	2.071490	-0.155267333333334	0.103295338712211	0.397534431294465
chrX:42024000-42281998	chrX	42024000	42281998	chrX	42024000	42281998	255,255,0	1.637000	257998	1.470336	1.565904	1.515115	1.579150	1.632229	1.770872	0.143632	0.0547643139924629	0.324011747889045
chr1:7533000-9533998	chr1	7533000	9533998	chr1	7533000	9533998	255,255,0	1.567000	2000998	1.592644	1.518314	1.497159	1.513783	1.570647	1.570183	0.0154986666666665	0.742847588565084	0.886449962831953
chr2:101889000-102464998	chr2	101889000	102464998	chr2	101889000	102464998	255,255,0	2.695000	575998	2.909943	2.744805	2.694874	2.540630	2.590664	2.530101	-0.229409	0.0101251823865536	0.213920802765555
chr11:90693000-92099998	chr11	90693000	92099998	chr11	90693000	92099998	255,255,0	1.607000	1406998	1.639657	1.576437	1.544993	1.604831	1.667258	1.607080	0.0393606666666663	0.415293350712823	0.689621681610793
chr6:88536000-88913998	chr6	88536000	88913998	chr6	88536000	88913998	255,255,0	3.856000	377998	3.919114	3.776384	3.640754	3.656771	3.856060	3.512373	-0.103682666666667	0.364949879839274	0.650294909941036
chr10:76254000-76517998	chr10	76254000	76517998	chr10	76254000	76517998	255,255,0	1.569000	263998	1.508419	1.456875	1.415856	1.555871	1.597922	1.569231	0.113958	0.0351649522050259	0.290045134443963
chr9:113652000-113975998	chr9	113652000	113975998	chr9	113652000	113975998	255,255,0	2.274000	323998	2.335143	2.292407	2.217254	2.339523	2.339684	2.274021	0.0361413333333328	0.480779040944042	0.729511603855058
chr18:36126000-36200998	chr18	36126000	36200998	chr18	36126000	36200998	255,255,0	2.098000	74998	1.970099	1.962897	1.721267	1.876241	2.098216	1.884005	0.0680663333333329	0.489564643471046	0.737842836312672
chrX:96006000-96185998	chrX	96006000	96185998	chrX	96006000	96185998	255,255,0	1.924000	179998	1.924252	1.908297	1.732446	1.945054	2.036103	2.416480	0.277547333333333	0.0695046015003518	0.353645366506263
chr6:108873000-110534998	chr6	108873000	110534998	chr6	108873000	110534998	255,255,0	1.666000	1661998	1.594549	1.456161	1.453546	1.622247	1.665631	1.626403	0.136675	0.0376113512348501	0.292945520950956
chr16:18435000-18623998	chr16	18435000	18623998	chr16	18435000	18623998	255,255,0	2.197000	188998	2.221095	2.196440	2.097363	2.256971	2.383278	2.196766	0.107372333333333	0.138101239207316	0.447725083348607
chrX:101946000-102071998	chrX	101946000	102071998	chrX	101946000	102071998	255,255,0	1.958000	125998	1.958418	1.710493	1.671915	1.819231	2.028497	2.093296	0.200066	0.0939147011954323	0.383206996154085
chr15:82131000-82244998	chr15	82131000	82244998	chr15	82131000	82244998	255,255,0	2.603000	113998	2.448460	2.609180	2.441819	2.602992	2.638288	2.442675	0.0614986666666664	0.430834480341264	0.701424470058283
chr11:105918000-106034998	chr11	105918000	106034998	chr11	105918000	106034998	255,255,0	2.945000	116998	2.944699	2.749294	2.600149	3.030288	3.139302	2.890890	0.255446	0.0442755327418614	0.303179157629155
chr2:50295000-51926998	chr2	50295000	51926998	chr2	50295000	51926998	255,255,0	3.179000	1631998	3.327204	3.224113	3.179175	3.343337	3.350903	3.156625	0.040124333333333	0.588019176914147	0.801435731107817
chr9:74112000-74885998	chr9	74112000	74885998	chr9	74112000	74885998	255,255,0	3.025000	773998	2.931757	2.844001	2.784379	2.940082	3.015634	2.841619	0.0790659999999996	0.253738054495496	0.555730402285561
chr12:108846000-108893998	chr12	108846000	108893998	chr12	108846000	108893998	255,255,0	1.558000	47998	1.558377	1.381315	1.315130	1.375582	1.556466	1.404575	0.0272669999999999	0.74523460516297	0.888255933476352
chr12:86109000-86633998	chr12	86109000	86633998	chr12	86109000	86633998	255,255,0	2.314000	524998	2.308301	2.373194	2.309583	2.496910	2.540217	2.384358	0.143469	0.0348240406557692	0.289126174409672
chr1:148986000-149813998	chr1	148986000	149813998	chr1	148986000	149813998	255,255,0	2.019000	827998	1.931484	1.935862	1.914285	2.017303	2.087433	1.954367	0.0924906666666666	0.0950550152222502	0.384216278286775
chr2:110655000-110993998	chr2	110655000	110993998	chr2	110655000	110993998	255,255,0	2.723000	338998	2.582936	2.722630	2.716243	2.552065	2.557430	2.496904	-0.138470000000001	0.0371455736042129	0.292945520950956
chr3:50904000-51176998	chr3	50904000	51176998	chr3	50904000	51176998	255,255,0	2.201000	272998	2.172055	2.203465	2.061020	2.201229	2.282398	2.154988	0.067358333333333	0.2825551650981	0.578650597513773
chr3:117144000-117446998	chr3	117144000	117446998	chr3	117144000	117446998	255,255,0	2.595000	302998	2.657423	2.745584	2.594890	2.767089	3.055932	2.678534	0.167886	0.147246994476981	0.457885339257547
chr14:10125000-10172998	chr14	10125000	10172998	chr14	10125000	10172998	255,255,0	1.517000	47998	1.363524	1.450197	1.516714	1.366910	1.300378	1.284806	-0.126113666666667	0.0545488326160055	0.323477079652941
chrX:58596000-59177998	chrX	58596000	59177998	chrX	58596000	59177998	255,255,0	1.718000	581998	1.718483	1.685235	1.670373	1.835311	1.830319	2.309397	0.300312	0.0566628532585016	0.326632646749564
chr5:128514000-128741998	chr5	128514000	128741998	chr5	128514000	128741998	255,255,0	2.376000	227998	2.492737	2.409939	2.356971	2.372433	2.599013	2.410257	0.0406853333333327	0.594140472924941	0.805532350680354
chr2:130422000-130556998	chr2	130422000	130556998	chr2	130422000	130556998	255,255,0	1.671000	134998	1.671053	1.552941	1.622928	1.624134	1.588224	1.572592	-0.0206573333333333	0.672491037227717	0.849609370511733
chr1:162543000-162674998	chr1	162543000	162674998	chr1	162543000	162674998	255,255,0	2.251000	131998	2.341960	2.226419	2.163054	2.250766	2.408131	2.200208	0.0425573333333334	0.581728389492457	0.79790915174151
chr11:103974000-104204998	chr11	103974000	104204998	chr11	103974000	104204998	255,255,0	3.377000	230998	3.389225	3.309111	3.195275	3.376989	3.504117	3.209469	0.0656546666666667	0.480660831976262	0.729511603855058
chr13:74856000-75206998	chr13	74856000	75206998	chr13	74856000	75206998	255,255,0	1.743000	350998	1.772277	1.751718	1.742268	1.860992	1.897259	1.858291	0.116759666666666	0.0201591350723718	0.251689445076583
chr10:33942000-34349998	chr10	33942000	34349998	chr10	33942000	34349998	255,255,0	2.536000	407998	2.536117	2.744253	2.695021	2.748548	2.824969	2.739761	0.112629	0.128051331230668	0.434769162044506
chr14:31788000-32084998	chr14	31788000	32084998	chr14	31788000	32084998	255,255,0	2.330000	296998	2.301959	2.362037	2.242910	2.370491	2.445489	2.330025	0.0796996666666659	0.174830609659609	0.489852976347801
chr2:168987000-170108998	chr2	168987000	170108998	chr2	168987000	170108998	255,255,0	2.641000	1121998	2.684434	2.694237	2.640641	2.819033	2.833249	2.692888	0.108619333333333	0.0778390790034985	0.365914434115537
chr18:22665000-22931998	chr18	22665000	22931998	chr18	22665000	22931998	255,255,0	2.073000	266998	1.933839	1.949564	1.824437	1.993348	1.937141	2.022800	0.0818163333333328	0.159192308948444	0.471307834895997
chr3:36615000-36869998	chr3	36615000	36869998	chr3	36615000	36869998	255,255,0	2.039000	254998	1.949787	1.833391	1.896023	2.029589	2.184294	2.038850	0.191177333333333	0.0163057761984016	0.240745654928224
chrX:64458000-64532998	chrX	64458000	64532998	chrX	64458000	64532998	255,255,0	1.519000	74998	1.040317	1.518696	1.131563	1.109383	1.192847	1.153507	-0.0782796666666668	0.542231399856055	0.773460639945416
chr3:79644000-79817998	chr3	79644000	79817998	chr3	79644000	79817998	255,255,0	3.678000	173998	3.678459	3.666252	3.578679	3.650147	3.900457	3.554233	0.0604823333333328	0.53279810186628	0.76903680743307
chr5:72162000-72281998	chr5	72162000	72281998	chr5	72162000	72281998	255,255,0	2.135000	119998	2.166262	2.248271	2.134646	2.102417	2.142622	2.071813	-0.0774423333333338	0.151694567570307	0.462440430301187
chr9:69498000-69992998	chr9	69498000	69992998	chr9	69498000	69992998	255,255,0	2.698000	494998	2.545904	2.526039	2.437417	2.676537	2.698218	2.557682	0.141025666666666	0.0429540257327714	0.301815206109829
chr6:33681000-33935998	chr6	33681000	33935998	chr6	33681000	33935998	255,255,0	1.644000	254998	1.644165	1.602167	1.584502	1.567662	1.577967	1.535632	-0.0498576666666669	0.256718911703118	0.557770374965051
chr7:80586000-80699998	chr7	80586000	80699998	chr7	80586000	80699998	255,255,0	2.019000	113998	2.103074	2.072930	1.886632	2.008938	2.071491	2.005069	0.00762066666666651	0.912036486219048	0.967678885391652
chr13:88809000-89546998	chr13	88809000	89546998	chr13	88809000	89546998	255,255,0	1.805000	737998	1.829806	1.769851	1.819119	1.895787	2.040678	1.804604	0.107431	0.153084728295444	0.464554653765107
chr11:21588000-22217998	chr11	21588000	22217998	chr11	21588000	22217998	255,255,0	2.166000	629998	2.165823	2.145501	2.098590	2.290887	2.429032	2.360531	0.223511999999999	0.00355415654286795	0.183027531489495
chrX:12759000-12839998	chrX	12759000	12839998	chrX	12759000	12839998	255,255,0	1.603000	80998	1.504884	1.338891	1.352873	1.425864	1.434214	1.603320	0.0889166666666665	0.255548752068402	0.556998451823383
chr13:29847000-30092998	chr13	29847000	30092998	chr13	29847000	30092998	255,255,0	3.318000	245998	3.188924	3.318439	2.937570	2.918944	3.198863	2.974041	-0.117695	0.346288417025749	0.635557700375692
chr4:112155000-114155998	chr4	112155000	114155998	chr4	112155000	114155998	255,255,0	1.519000	2000998	1.573817	1.525548	1.519359	1.434827	1.507979	1.501826	-0.0580306666666668	0.220565133151186	0.524759067190738
chr7:43245000-44240998	chr7	43245000	44240998	chr7	43245000	44240998	255,255,0	2.482000	995998	2.298331	2.485162	2.482214	2.525827	2.418060	2.320888	-0.000310666666667038	0.996866427401093	1
chr12:65928000-66071998	chr12	65928000	66071998	chr12	65928000	66071998	255,255,0	1.502000	143998	1.278455	1.344138	1.271793	1.502182	1.354435	1.375471	0.112567333333333	0.07966139705707	0.369863820265019
chr4:140247000-140543998	chr4	140247000	140543998	chr4	140247000	140543998	255,255,0	2.370000	296998	2.369872	2.380986	2.238416	2.368785	2.407892	2.246222	0.011208333333333	0.865566944354589	0.945096009656427
chr2:105672000-105809998	chr2	105672000	105809998	chr2	105672000	105809998	255,255,0	2.746000	137998	3.037851	2.730795	2.745938	2.941853	3.051309	2.802939	0.0938389999999993	0.394168480055868	0.672612677220835
chr8:23580000-24539998	chr8	23580000	24539998	chr8	23580000	24539998	255,255,0	2.756000	959998	2.847592	2.720291	2.753467	2.850989	2.919510	2.813404	0.087517666666666	0.145054767805205	0.456807676200192
chr13:96672000-97211998	chr13	96672000	97211998	chr13	96672000	97211998	255,255,0	2.439000	539998	2.162001	2.166027	2.134515	2.358946	2.347739	2.306891	0.183677666666666	0.00267156285372178	0.183027531489495
chr8:72987000-74984998	chr8	72987000	74984998	chr8	72987000	74984998	255,255,0	2.192000	1997998	2.211908	2.115268	2.103286	2.192154	2.226212	2.207153	0.0650189999999995	0.201973756995711	0.508474341492122
chr11:116481000-116636998	chr11	116481000	116636998	chr11	116481000	116636998	255,255,0	1.828000	155998	1.871383	1.812064	1.825506	1.828484	1.838399	1.772936	-0.023044666666667	0.602055265549457	0.80978003978221
chr3:84162000-84320998	chr3	84162000	84320998	chr3	84162000	84320998	255,255,0	3.034000	158998	3.163379	3.195188	3.033758	3.178861	3.425369	3.230216	0.147373666666666	0.107775037720938	0.404373871142219
chr18:32463000-32849998	chr18	32463000	32849998	chr18	32463000	32849998	255,255,0	2.259000	386998	1.974268	2.197167	2.165817	2.233050	2.211671	2.073940	0.0604696666666664	0.455376266701622	0.712696935567217
chr15:26616000-27242998	chr15	26616000	27242998	chr15	26616000	27242998	255,255,0	2.562000	626998	2.305223	2.234985	2.232635	2.422938	2.561564	2.372067	0.194575333333333	0.0158715285911796	0.238292816045998
chr5:62889000-63890998	chr5	62889000	63890998	chr5	62889000	63890998	255,255,0	1.998000	1001998	2.099670	1.986794	1.997856	2.046582	2.148278	2.021027	0.043855666666666	0.453753976941326	0.712313847833514
chr18:27837000-28076998	chr18	27837000	28076998	chr18	27837000	28076998	255,255,0	1.501000	239998	1.325085	1.397546	1.392475	1.500689	1.477361	1.395675	0.0862063333333333	0.116502414158554	0.418356933065196
chrX:73566000-73661998	chrX	73566000	73661998	chrX	73566000	73661998	255,255,0	2.055000	95998	2.170344	2.087663	1.942059	2.055149	2.262239	2.358062	0.158461333333333	0.140532953171164	0.45052442706019
chr3:8955000-9071998	chr3	8955000	9071998	chr3	8955000	9071998	255,255,0	2.179000	116998	2.063162	2.199928	2.179204	2.139472	2.341211	2.200788	0.0797256666666667	0.281224115706479	0.577296507470505
chr4:45408000-45860998	chr4	45408000	45860998	chr4	45408000	45860998	255,255,0	2.997000	452998	2.997151	2.879092	2.912217	2.978276	2.969562	2.911226	0.0235346666666666	0.642913045795646	0.835387697212183
chr6:34287000-34373998	chr6	34287000	34373998	chr6	34287000	34373998	255,255,0	2.209000	86998	1.923505	1.896167	1.904376	1.993700	2.209132	2.022199	0.166994333333333	0.0380698339637316	0.292945520950956
chr6:69309000-69389998	chr6	69309000	69389998	chr6	69309000	69389998	255,255,0	1.502000	80998	1.315817	1.234441	1.450077	1.502003	1.330152	1.389525	0.0737816666666666	0.346477887712063	0.635557700375692
chr11:23673000-23969998	chr11	23673000	23969998	chr11	23673000	23969998	255,255,0	1.729000	296998	1.727490	1.728840	1.708200	1.621515	1.730168	1.626875	-0.0619906666666667	0.222118046575219	0.525903122179698
chr3:121878000-122147998	chr3	121878000	122147998	chr3	121878000	122147998	255,255,0	2.440000	269998	2.413138	2.537111	2.430696	2.459447	2.611807	2.457236	0.0491816666666662	0.455112304770588	0.712691025002732
chrX:45390000-45446998	chrX	45390000	45446998	chrX	45390000	45446998	255,255,0	1.554000	56998	1.553717	0.829668	0.789393	1.092234	0.984195	1.020565	-0.0252613333333333	0.902882193580957	0.962639963506625
chr13:67986000-68495998	chr13	67986000	68495998	chr13	67986000	68495998	255,255,0	1.820000	509998	1.817220	1.820245	1.667919	1.704066	1.739229	1.714225	-0.0492880000000002	0.395037493782418	0.673504411588817
chr3:98223000-98321998	chr3	98223000	98321998	chr3	98223000	98321998	255,255,0	1.686000	98998	1.685864	1.826076	1.578965	1.731055	1.844164	1.744359	0.0762243333333332	0.329292662230252	0.618515203920316
chr2:65784000-66200998	chr2	65784000	66200998	chr2	65784000	66200998	255,255,0	2.176000	416998	2.182299	2.170455	2.098573	2.206104	2.193711	2.088731	0.0124063333333329	0.814722177490234	0.922939333850702
chr17:74319000-74729998	chr17	74319000	74729998	chr17	74319000	74729998	255,255,0	1.710000	410998	1.718779	1.692529	1.710015	1.774345	1.795541	1.781883	0.0768153333333332	0.0801979271849954	0.370270965601439
chr15:8622000-8897998	chr15	8622000	8897998	chr15	8622000	8897998	255,255,0	2.740000	275998	2.689366	2.854541	2.581530	2.859471	2.896821	2.740066	0.123640333333333	0.173195043058276	0.488946688341808
chr15:21876000-22670998	chr15	21876000	22670998	chr15	21876000	22670998	255,255,0	1.562000	794998	1.542412	1.562150	1.562099	1.657357	1.625328	1.571226	0.0624166666666665	0.180307344907985	0.496946458872643
chr11:68466000-68885998	chr11	68466000	68885998	chr11	68466000	68885998	255,255,0	2.406000	419998	2.313234	2.396334	2.255400	2.311875	2.342949	2.235755	-0.0247963333333334	0.663453584791689	0.847927167891821
chr9:58209000-58283998	chr9	58209000	58283998	chr9	58209000	58283998	255,255,0	1.597000	74998	1.588065	1.606452	1.359262	1.453389	1.452379	1.384910	-0.0877003333333333	0.278237862353545	0.574914850796415
chr11:112203000-112781998	chr11	112203000	112781998	chr11	112203000	112781998	255,255,0	1.625000	578998	1.447340	1.493641	1.498391	1.560998	1.622596	1.524245	0.0894889999999997	0.0874089097649249	0.374391440974567
chr13:95382000-95489998	chr13	95382000	95489998	chr13	95382000	95489998	255,255,0	2.441000	107998	2.647784	2.698791	2.441217	2.547492	2.911856	2.443959	0.0385049999999997	0.779593610874775	0.904682599531156
chr7:93114000-94118998	chr7	93114000	94118998	chr7	93114000	94118998	255,255,0	2.242000	1004998	2.318541	2.160538	1.887720	2.032327	2.179324	2.030284	-0.0416213333333339	0.721418417502814	0.874257004196637
chr18:11532000-11723998	chr18	11532000	11723998	chr18	11532000	11723998	255,255,0	1.953000	191998	1.795008	1.785458	1.720625	1.808699	1.953285	1.792455	0.0844493333333332	0.185127627153471	0.50067728034027
chrX:73452000-73499998	chrX	73452000	73499998	chrX	73452000	73499998	255,255,0	1.924000	47998	1.913917	1.924228	1.655992	1.800428	1.921043	2.233268	0.153534	0.269616841032895	0.570319260130564
chr9:75753000-76133998	chr9	75753000	76133998	chr9	75753000	76133998	255,255,0	2.887000	380998	2.741297	2.887203	2.825273	2.671606	2.909830	2.735758	-0.0455263333333337	0.560433693671011	0.785153787584069
chr9:7593000-8219998	chr9	7593000	8219998	chr9	7593000	8219998	255,255,0	2.143000	626998	2.039152	2.247465	2.220528	2.178247	2.135400	2.181727	-0.00392366666666711	0.952810834036234	0.98401933748779
chr6:58536000-58784998	chr6	58536000	58784998	chr6	58536000	58784998	255,255,0	2.167000	248998	2.167275	2.369330	2.160050	1.985129	2.224515	2.119054	-0.122652333333334	0.192667879762925	0.503544322608711
chr13:115224000-116723998	chr13	115224000	116723998	chr13	115224000	116723998	255,255,0	2.316000	1499998	2.377759	2.298140	2.315867	2.336621	2.519436	2.318194	0.0608283333333332	0.381269828170762	0.666288030236908
chr5:45702000-46370998	chr5	45702000	46370998	chr5	45702000	46370998	255,255,0	2.361000	668998	2.301864	2.310059	2.248580	2.376354	2.403390	2.360737	0.0933259999999997	0.0572656464439671	0.327936761737696
chr17:15051000-15497998	chr17	15051000	15497998	chr17	15051000	15497998	255,255,0	4.474000	446998	4.281337	4.181820	4.148080	4.735804	4.693505	4.474109	0.430727	0.00123998626244916	0.177920154319876
chr4:77073000-77567998	chr4	77073000	77567998	chr4	77073000	77567998	255,255,0	1.862000	494998	1.856128	1.848839	1.847995	2.013444	2.153991	2.034116	0.216196333333333	0.00405238569013277	0.183027531489495
chr3:59337000-59408998	chr3	59337000	59408998	chr3	59337000	59408998	255,255,0	1.958000	71998	1.603170	1.599676	1.452927	1.606052	1.958061	1.535120	0.14782	0.243212452485057	0.546329970373687
chrX:43434000-44036998	chrX	43434000	44036998	chrX	43434000	44036998	255,255,0	1.678000	602998	1.275230	1.314011	1.362721	1.393608	1.399016	1.677592	0.172751333333333	0.0821991822747897	0.371061949367801
chr4:31410000-31955998	chr4	31410000	31955998	chr4	31410000	31955998	255,255,0	1.822000	545998	1.783605	1.810922	1.726188	1.812064	1.764161	1.730919	-0.00452366666666675	0.923216899194276	0.972434547972422
chr2:135351000-135965998	chr2	135351000	135965998	chr2	135351000	135965998	255,255,0	3.798000	614998	3.926137	3.547369	3.450274	3.798197	3.836241	3.575901	0.0955196666666659	0.503885941312882	0.746013997998691
chr16:67401000-67625998	chr16	67401000	67625998	chr16	67401000	67625998	255,255,0	1.747000	224998	1.817080	1.850775	1.818476	1.744811	1.730851	1.724806	-0.0952876666666669	0.0413135074790517	0.300837331872764
