chr1	x1	x2	chr2	y1	y2	DMSO_merge	4hr_merge	24hr_merge
chr9	76760000	76770000	chr9	77150000	77160000	0.0320215	0.01502316	0.02027985
chr9	3460000	3470000	chr9	3720000	3730000	0.02935993	0.008959029	0.00666269
chr9	68580000	68590000	chr9	68840000	68850000	0.03763853	0.02667711	0.0126095
chr9	37740000	37750000	chr9	38360000	38370000	0.04746214	0.0440505	0.011644644
chr9	19470000	19480000	chr9	19920000	19930000	0.02365464	0.01426186	0.01106233
chr9	114910000	114920000	chr9	115520000	115530000	0.0295424699999999	0.005746555	0.006776747
chr9	91190000	91200000	chr9	91680000	91690000	0.01794716	0.007748932	0.004636909
chr9	90910000	90920000	chr9	91570000	91580000	0.0255784	0.01592669	0.0076245989999999
chr9	88770000	88780000	chr9	89310000	89320000	0.016786842	0.008324754	0.004743547
chr9	81120000	81130000	chr9	81680000	81690000	0.02179121	0.004436135	0.004864516
chr9	26740000	26750000	chr9	26970000	26980000	0.02100114	0.005644139	0.004673767
chr9	16030000	16040000	chr9	16520000	16530000	0.0189306	0.010416297	0.008605949
chr9	12890000	12900000	chr9	13080000	13090000	0.03398955	0.0225053	0.01704734
chr9	124770000	124780000	chr9	125140000	125150000	0.01377295	0.007677086	0.0053406389999999
chr9	99810000	99820000	chr9	100220000	100230000	0.02505633	0.00949337	0.0047694799999999
chr9	97920000	97930000	chr9	98250000	98260000	0.03430432	0.01321091	0.00612124
chr9	32370000	32380000	chr9	32960000	32970000	0.03772981	0.01910939	0.007285559
chr9	127580000	127590000	chr9	127920000	127930000	0.02921711	0.01495617	0.008807452
chr9	2130000	2140000	chr9	2810000	2820000	0.02297725	0.007016652	0.00918741
chr9	107480000	107490000	chr9	108270000	108280000	0.0287700399999999	0.01522787	0.00781744
chr9	100220000	100230000	chr9	100590000	100600000	0.01761938	0.006133147	0.004078164
chr9	18250000	18260000	chr9	19030000	19040000	0.02507299	0.01002983	0.003977941
chr9	93100000	93110000	chr9	93450000	93460000	0.03168028	0.0265049	0.02054439
chr9	86950000	86960000	chr9	87320000	87330000	0.02247401	0.01295409	0.01434201
chr9	78430000	78440000	chr9	79120000	79130000	0.0250245	0.011490248	0.008754629
chr9	19990000	20000000	chr9	20610000	20620000	0.01980727	0.009528476	0.007251328
chr9	4380000	4390000	chr9	4740000	4750000	0.02020309	0.00857321	0.0085267
chr9	16030000	16040000	chr9	16700000	16710000	0.01649111	0.007192593	0.005161956
chr9	125400000	125410000	chr9	126220000	126230000	0.02407996	0.01926181	0.003845428
chr9	118590000	118600000	chr9	119960000	119970000	0.01238325	0.00852732	0.00766362
chr9	87330000	87340000	chr9	87810000	87820000	0.02222586	0.008915737	0.006668603
chr9	37480000	37490000	chr9	37890000	37900000	0.0253347599999999	0.008743647	0.0066651
chr9	96230000	96240000	chr9	96660000	96670000	0.02107681	0.01023657	0.0041231359999999
chr9	19920000	19930000	chr9	20940000	20950000	0.0154984199999999	0.00510443	0.001148565
chr9	95310000	95320000	chr9	95870000	95880000	0.01517914	0.009824034	0.005122927
chr9	27030000	27040000	chr9	27180000	27190000	0.067089	0.02885984	0.0276247
chr9	21810000	21820000	chr9	22450000	22460000	0.06322727	0.01186636	0.00965578
chr9	4230000	4240000	chr9	4290000	4300000	0.091752	0.0720034	0.0654554
chr9	98200000	98210000	chr9	98250000	98260000	0.1875737	0.1014649	0.0897769
chr9	27030000	27040000	chr9	27270000	27280000	0.2967276	0.09217386	0.0777858
chr9	25960000	25970000	chr9	26320000	26330000	0.07771506	0.05700748	0.05093999
chr9	69810000	69820000	chr9	69870000	69880000	0.115692	0.1213816	0.1222934
chr9	35110000	35120000	chr9	35470000	35480000	0.0836371	0.04812876	0.04790729
chr9	121210000	121220000	chr9	121390000	121400000	0.1108634	0.05749145	0.04222622
chr9	27330000	27340000	chr9	27520000	27530000	0.090453	0.05845291	0.05202437
chr9	68500000	68510000	chr9	68560000	68570000	0.1626297	0.0962024	0.07512503
chr9	32380000	32390000	chr9	32520000	32530000	0.2122576	0.1510628	0.11666938
chr9	84260000	84270000	chr9	84310000	84320000	0.1072108	0.06990828	0.06545612
chr9	15870000	15880000	chr9	16130000	16140000	0.1465178	0.06402722	0.05370476
chr9	121900000	121910000	chr9	121980000	121990000	0.0983895	0.0616907	0.0673237
chr9	129170000	129180000	chr9	129480000	129490000	0.2467299	0.13044285	0.09022605
chr9	92330000	92340000	chr9	92430000	92440000	0.1093963	0.07969257	0.0980655
chr9	34400000	34410000	chr9	34500000	34510000	0.2652616	0.1756298	0.1694362
chr9	125650000	125660000	chr9	125740000	125750000	0.2586213	0.1801406099999999	0.16639839
chr9	16030000	16040000	chr9	16130000	16140000	0.1760284	0.1489134	0.1545814
chr9	132500000	132510000	chr9	132570000	132580000	0.1355189	0.1155421	0.1162819
chr9	93160000	93170000	chr9	93300000	93310000	0.1494014	0.1327814	0.1158558
chr9	73030000	73040000	chr9	73180000	73190000	0.0619957899999999	0.03310116	0.0249655
chr9	89180000	89190000	chr9	89270000	89280000	0.0859341999999999	0.0676637	0.0730789
chr9	16190000	16200000	chr9	16330000	16340000	0.12015532	0.09379762	0.08609478
chr9	72440000	72450000	chr9	72520000	72530000	0.0995277	0.0803249	0.076543
chr9	113440000	113450000	chr9	113650000	113660000	0.1530434	0.0972332	0.0986338
chr9	121320000	121330000	chr9	121390000	121400000	0.1351033999999999	0.103109	0.1021567
chr9	5510000	5520000	chr9	5580000	5590000	0.0948378	0.0841533	0.0772601
chr9	21550000	21560000	chr9	21680000	21690000	0.1288640999999999	0.10481474	0.06671208
chr9	126960000	126970000	chr9	127190000	127200000	0.1479777	0.07563832	0.06598036
chr9	5450000	5460000	chr9	5580000	5590000	0.2501606	0.11538402	0.1044590599999999
chr9	73100000	73110000	chr9	73180000	73190000	0.1447299	0.1136038	0.1009768
chr9	33080000	33090000	chr9	33220000	33230000	0.2508512	0.1862031999999999	0.1775715
chr9	115590000	115600000	chr9	115690000	115700000	0.08766119	0.07053129	0.06370929
chr9	131670000	131680000	chr9	131730000	131740000	0.2683298	0.182287	0.190583
chr9	113450000	113460000	chr9	113580000	113590000	0.1498783	0.0815542	0.0794072999999999
chr9	113300000	113310000	chr9	113400000	113410000	0.094797	0.04229558	0.04529403
chr9	124120000	124130000	chr9	124340000	124350000	0.08913466	0.05033609	0.02351976
chr9	4760000	4770000	chr9	4920000	4930000	0.261171	0.18262482	0.1675527299999999
chr9	129880000	129890000	chr9	130040000	130050000	0.2130362	0.09416532	0.0733965199999999
chr9	69800000	69810000	chr9	69920000	69930000	0.0850022	0.06500734	0.04590609
chr9	104960000	104970000	chr9	105150000	105160000	0.06621041	0.0298853499999999	0.0293271999999999
chr9	19380000	19390000	chr9	19450000	19460000	0.0868429	0.06424565	0.0701903
chr9	130710000	130720000	chr9	130830000	130840000	0.0988372	0.04188344	0.04587554
chr9	94780000	94790000	chr9	95000000	95010000	0.0800593	0.0305284399999999	0.02524297
chr9	33100000	33110000	chr9	33210000	33220000	0.2819902	0.1941134	0.193552
chr9	15870000	15880000	chr9	16030000	16040000	0.06250915	0.03169414	0.03017248
chr9	110450000	110460000	chr9	110620000	110630000	0.07091159	0.06098374	0.06849068
chr9	33080000	33090000	chr9	33170000	33180000	0.1508428	0.0858182	0.06707582
chr9	94800000	94810000	chr9	94910000	94920000	0.1904486	0.1494232	0.1213688
chr9	76450000	76460000	chr9	76560000	76570000	0.0785788	0.0712309	0.06279215
chr9	96340000	96350000	chr9	96410000	96420000	0.0944327	0.06140715	0.05510481
chr9	21320000	21330000	chr9	21420000	21430000	0.0828046	0.03787829	0.04210352
chr9	135960000	135970000	chr9	136120000	136130000	0.2796488	0.17734922	0.09707592
chr9	113270000	113280000	chr9	113400000	113410000	0.06277917	0.03448388	0.02534549
chr9	79570000	79580000	chr9	79680000	79690000	0.0734733499999999	0.0459406	0.0434313
chr9	72440000	72450000	chr9	72580000	72590000	0.0768623	0.05393259	0.03886963
chr9	122880000	122890000	chr9	122980000	122990000	0.0911851	0.0421459599999999	0.0438196
chr9	15870000	15880000	chr9	16190000	16200000	0.07976688	0.0294125	0.0288715
chr9	122370000	122380000	chr9	122450000	122460000	0.07850902	0.05348199	0.04392259
chr9	94680000	94690000	chr9	94770000	94780000	0.0788291	0.05256662	0.04821669
chr9	83330000	83340000	chr9	83540000	83550000	0.05997037	0.04022193	0.02971585
chr9	100700000	100725000	chr9	101300000	101325000	0.0903838	0.0775506	0.05802968
chr9	131175000	131200000	chr9	131325000	131350000	0.2134212	0.0967698	0.0974768
chr9	121825000	121850000	chr9	121975000	122000000	0.1628514	0.1025379	0.0955302
chr9	6350000	6375000	chr9	6550000	6575000	0.1748255	0.1076491	0.0961166
chr9	136475000	136500000	chr9	136625000	136650000	0.4159216	0.2379073	0.1336392
chr9	92125000	92150000	chr9	92225000	92250000	0.3465572	0.1608891	0.1602655
chr9	76450000	76475000	chr9	76650000	76675000	0.2501721	0.1502937	0.1527212
chr9	14200000	14225000	chr9	14300000	14325000	0.183205	0.1410363	0.1348346
chr9	97450000	97475000	chr9	97600000	97625000	0.1983728	0.08980913	0.08240828
chr9	35100000	35125000	chr9	35250000	35275000	0.1423883	0.1024009999999999	0.1115182899999999
chr9	128825000	128850000	chr9	128925000	128950000	0.3242355	0.2273051	0.1696082
chr9	34875000	34900000	chr9	34975000	35000000	0.2084847	0.1613371	0.12732794
chr9	6050000	6075000	chr9	6300000	6325000	0.1746928999999999	0.110682	0.1112432
chr9	70100000	70125000	chr9	70225000	70250000	0.174071	0.0968693	0.0966525
chr9	18475000	18500000	chr9	18625000	18650000	0.1394203	0.05850538	0.02961417
chr9	133775000	133800000	chr9	133975000	134000000	0.433433	0.2065378	0.2208979999999999
chr9	15500000	15525000	chr9	15600000	15625000	0.1737743	0.1102578999999999	0.1055691
chr9	6175000	6200000	chr9	6300000	6325000	0.190033	0.1905307	0.1872453
chr9	134150000	134175000	chr9	134425000	134450000	0.1597482	0.09959307	0.05501358
chr9	72025000	72050000	chr9	72250000	72275000	0.1059626999999999	0.0846796	0.07021512
chr9	112450000	112475000	chr9	112650000	112675000	0.1675079	0.0818433	0.0753781
chr9	71800000	71825000	chr9	72025000	72050000	0.1047082	0.05877192	0.0425431
chr9	3725000	3750000	chr9	4075000	4100000	0.1801832	0.07828146	0.06559976
chr9	69950000	69975000	chr9	70225000	70250000	0.1371774	0.05461511	0.04305685
chr9	110750000	110775000	chr9	111275000	111300000	0.07295824	0.02851511	0.03174025
chr9	99800000	99825000	chr9	100000000	100025000	0.081604	0.03406736	0.027608
chr9	93675000	93700000	chr9	93950000	93975000	0.2407176	0.1614128	0.1227365
chr9	21800000	21825000	chr9	22025000	22050000	0.11308162	0.03574348	0.03079387
chr9	21825000	21850000	chr9	21975000	22000000	0.1728549	0.0627127	0.0658378
chr9	21825000	21850000	chr9	22400000	22425000	0.0853896	0.03613193	0.03302796
chr9	89050000	89075000	chr9	89275000	89300000	0.1108322	0.03931644	0.03433434
chr9	83200000	83225000	chr9	83525000	83550000	0.0813986999999999	0.0447878	0.04293785
chr9	17525000	17550000	chr9	17800000	17825000	0.0938618	0.05659542	0.05178712
chr9	95725000	95750000	chr9	96050000	96075000	0.1922006	0.1267943799999999	0.06801684
chr9	110625000	110650000	chr9	111150000	111175000	0.05535519	0.03108668	0.02381759
chr9	125400000	125425000	chr9	125750000	125775000	0.06483531	0.01464883	0.01553173
chr9	117625000	117650000	chr9	117900000	117925000	0.0639552	0.04334934	0.03834778
chr9	78425000	78450000	chr9	78750000	78775000	0.0697047	0.04017521	0.02798675
chr9	6325000	6350000	chr9	6650000	6675000	0.091652	0.04893074	0.0341751599999999
chr9	108400000	108425000	chr9	108750000	108775000	0.1647198	0.11616192	0.09891924
chr9	18250000	18275000	chr9	18625000	18650000	0.06052493	0.01955543	0.0121571099999999
chr9	113300000	113325000	chr9	113650000	113675000	0.05708571	0.03567493	0.01840848
chr9	115575000	115600000	chr9	116375000	116400000	0.07719856	0.05325364	0.01839396
chr9	2225000	2250000	chr9	2800000	2825000	0.05559895	0.02456296	0.02224236
chr9	93000000	93025000	chr9	93300000	93325000	0.0852215	0.05105792	0.03633374
chr9	95725000	95750000	chr9	96200000	96225000	0.06412855	0.03959517	0.0249356799999999
chr9	5875000	5900000	chr9	6300000	6325000	0.05659516	0.02723125	0.0269001099999999
chr9	90125000	90150000	chr9	90850000	90875000	0.04475977	0.03151188	0.02696907
chr9	93000000	93025000	chr9	93150000	93175000	0.0945170999999999	0.05298937	0.04836773
chr9	125400000	125425000	chr9	125950000	125975000	0.11239636	0.06287636	0.0205552
chr9	77950000	77975000	chr9	78100000	78125000	0.0623235	0.02881086	0.01706182
chr9	25950000	25975000	chr9	26600000	26625000	0.05604691	0.03962114	0.04166543
chr9	78825000	78850000	chr9	79225000	79250000	0.0480297499999999	0.02201966	0.01883904
chr9	104175000	104200000	chr9	104675000	104700000	0.0399893	0.03122238	0.02925097
chr9	15850000	15875000	chr9	16375000	16400000	0.04486536	0.01511497	0.0079759299999999
chr9	123525000	123550000	chr9	124100000	124125000	0.04756852	0.01975796	0.01704915
chr9	97925000	97950000	chr9	98175000	98200000	0.0803269	0.04049228	0.0242682
chr9	37475000	37500000	chr9	37775000	37800000	0.07184133	0.04825419	0.0398228699999999
chr9	117775000	117800000	chr9	118575000	118600000	0.03047092	0.0199733699999999	0.02085149
chr9	18425000	18450000	chr9	19025000	19050000	0.03643239	0.01329607	0.0037979759999999
chr9	133175000	133200000	chr9	133475000	133500000	0.138791	0.1070525	0.05969066
chr9	112075000	112100000	chr9	112700000	112725000	0.02650086	0.01606364	0.006040383
chr9	115675000	115700000	chr9	116550000	116575000	0.03070168	0.01903199	0.00804286
chr9	36400000	36425000	chr9	36725000	36750000	0.04395072	0.01796966	0.006440141
chr9	124400000	124425000	chr9	124750000	124775000	0.03780583	0.0198058399999999	0.0151496499999999
chr9	107475000	107500000	chr9	108425000	108450000	0.07794488	0.0433289	0.03850552
chr9	91075000	91100000	chr9	91675000	91700000	0.04036261	0.01760838	0.0090318
chr9	129875000	129900000	chr9	130225000	130250000	0.0683681999999999	0.02752821	0.010159158
chr9	126950000	126975000	chr9	127375000	127400000	0.04630575	0.02520253	0.01060064
chr9	117625000	117650000	chr9	118500000	118525000	0.04074361	0.02145964	0.02337579
chr9	15825000	15850000	chr9	16925000	16950000	0.03766558	0.01067869	0.005751485
chr9	2850000	2875000	chr9	3425000	3450000	0.02472358	0.01635901	0.00957167
chr9	110425000	110450000	chr9	111300000	111325000	0.04070882	0.02355044	0.01372965
chr9	77600000	77625000	chr9	78050000	78075000	0.0585797	0.03100518	0.01914156
chr9	3500000	3525000	chr9	4225000	4250000	0.03236146	0.01673047	0.0110038
chr9	127450000	127475000	chr9	127700000	127725000	0.0787898	0.03468519	0.0180422
chr9	4975000	5000000	chr9	5575000	5600000	0.02931181	0.01465818	0.0126951699999999
chr9	71800000	71825000	chr9	72250000	72275000	0.03040602	0.02327436	0.01596578
chr9	6075000	6100000	chr9	6550000	6575000	0.04354327	0.02549531	0.01892947
chr9	107725000	107750000	chr9	108525000	108550000	0.0326466299999999	0.01853193	0.01909738
chr9	107725000	107750000	chr9	108425000	108450000	0.05822634	0.03949562	0.0350274
chr9	114725000	114750000	chr9	115500000	115525000	0.02902368	0.01086492	0.00848651
chr9	99175000	99200000	chr9	100200000	100225000	0.02741876	0.01532655	0.005849304
chr9	17525000	17550000	chr9	18200000	18225000	0.03389102	0.02504918	0.01857827
chr9	114425000	114450000	chr9	114900000	114925000	0.03313972	0.01527959	0.01058902
chr9	69400000	69425000	chr9	69925000	69950000	0.05003421	0.04151128	0.009960081
chr9	109575000	109600000	chr9	110200000	110225000	0.03730535	0.0195648699999999	0.00850653
chr9	107450000	107475000	chr9	108750000	108775000	0.03896394	0.0213167199999999	0.0111928
