Chr	Start	End	Conc	Conc_dTAG_4hr	Conc_DMSO	Fold	p-value	FDR
chr16	69150188	69150588	7.93809611076494	6.0354845824741	8.73098578729815	-2.28227446159985	1.80829507097715e-06	0.000889652920310274
chr6	125953017	125953417	7.35860586140523	5.29997759475465	8.17414509252003	-2.38218438777749	1.95970308182884e-06	0.000930963699896988
chr11	64204517	64204917	7.74773786000211	5.41558757395	8.59686610751314	-2.54053646145658	1.9711741111594e-06	0.000930963699896988
chr19	42296032	42296432	7.43968896438324	5.20820181280704	8.27727775696364	-2.48449716606223	2.01070613237669e-06	0.000930963699896988
chr1	112614462	112614862	6.85373398490475	4.81049696380796	7.66716118805819	-2.37012958113386	2.03262936546656e-06	0.000930963699896988
chr2	232853146	232853546	7.08623528188928	5.13162994667227	7.88698706007567	-2.3146511311083	2.04009576310516e-06	0.000930963699896988
chr6	31952308	31952708	7.59055189582587	5.66098669701736	8.38755800347046	-2.297299429388	2.10784325939011e-06	0.000937854048216203
chr3	148962559	148962959	6.60465324000127	4.51063092148944	7.42495334228737	-2.40064363603123	2.12014796410492e-06	0.000937854048216203
chr14	104708597	104708997	8.12454320001377	5.76454449857873	8.97670882041948	-2.54931506015468	2.16103281776366e-06	0.000937854048216203
chr16	785560	785960	8.01505470256277	5.72990269309823	8.85890690252249	-2.50920464275504	2.17433688569196e-06	0.000937854048216203
chr10	33335096	33335496	7.43099717202685	5.18564165260207	8.27022961062649	-2.48912341682449	2.2234923043595e-06	0.000946095975504967
chr13	95614900	95615300	5.8434400772664	3.2638313015272	6.71742150631699	-2.64975255596395	2.32469865961071e-06	0.000975970489268832
chr12	108850805	108851205	5.53663360555265	2.77867145163546	6.4258479824626	-2.72870637739622	2.38692132934038e-06	0.000988907788117641
chr2	65265099	65265499	7.13847397953222	5.06607680526872	7.95588103877475	-2.37770240340528	2.51659849002413e-06	0.00102909268383623
chr17	1365426	1365826	7.15148176592791	5.14259526727375	7.96010173117472	-2.34024375016269	2.71955749551432e-06	0.00109022216431256
chr9	129607537	129607937	7.26385836928343	4.93695652604022	8.11240685756063	-2.51984150166204	2.80658465949069e-06	0.00109022216431256
chr9	133147478	133147878	8.45036484604926	6.03796470672609	9.30807273545874	-2.56392626127014	2.83429760350671e-06	0.00109022216431256
chr3	38131595	38131995	7.28291723810243	5.13199568125089	8.11059910861168	-2.42590334994857	2.8630877497079e-06	0.00109022216431256
chr2	9333570	9333970	7.34196808192673	5.14101578476194	8.17587499089423	-2.45307624383401	2.87535864566212e-06	0.00109022216431256
chr4	40980308	40980708	6.69376159160159	4.50460055182435	7.52622316076585	-2.43881492847445	2.94830241925959e-06	0.00109022216431256
chr12	57093222	57093622	7.26058801745522	4.77867145163546	8.12531383393455	-2.59502984570398	2.95567822452961e-06	0.00109022216431256
chr1	109980629	109981029	8.54604882418521	6.43964640067357	9.36798317386671	-2.39566965631218	2.95954852079225e-06	0.00109022216431256
chr22	37623544	37623944	8.02174772465194	5.89029934697859	8.84694018289309	-2.40980592899988	2.97770845526345e-06	0.00109022216431256
chr19	11035915	11036315	8.36814154882317	6.09878629480249	9.21017699108181	-2.48705774284464	3.05248860720119e-06	0.00110475527327522
chr12	109432739	109433139	7.38370969049752	5.37865640668797	8.19178506751173	-2.33064043550831	3.11445695666526e-06	0.0011063405836972
chr5	61357738	61358138	5.57947441476545	3.01022874066384	6.4525062034289	-2.63192040283285	3.15219760968476e-06	0.0011063405836972
chr11	12888740	12889140	7.81605230814212	5.63568260276057	8.64742759388856	-2.43599149241498	3.21723696553736e-06	0.0011063405836972
chr2	233404230	233404630	7.31027615213448	5.21860235590225	8.13026443964798	-2.38653528275331	3.22793330534947e-06	0.0011063405836972
chr20	34473264	34473664	6.7565172627817	4.47694677590698	7.59973007372589	-2.49112712850829	3.2325510115331e-06	0.0011063405836972
chr1	85576920	85577320	7.32175070477917	5.09697076122791	8.15853820982827	-2.46112524402282	3.30152148921354e-06	0.00111779577560072
chr22	29689811	29690211	7.37963412464827	5.26416501540645	8.20275530497238	-2.39819093851112	3.43657417262425e-06	0.00114918603840248
chr10	77974379	77974779	6.90755424788717	4.84447198280301	7.72369990516536	-2.36519129888096	3.46723008378808e-06	0.00114918603840248
chr16	55495005	55495405	7.14247201804779	5.18870282660208	7.94309992218841	-2.2941040988792	3.59850139750694e-06	0.00116457302373562
chr6	41705883	41706283	7.51319394162847	5.36831236261127	8.34010772340183	-2.41187246852047	3.60243466579508e-06	0.00116457302373562
chr19	42290870	42291270	6.5569909020004	4.17119785420247	7.41191249682675	-2.53641760607187	3.64283525336433e-06	0.00116457302373562
chr21	37166733	37167133	6.22782072447363	3.81537711384482	7.08553311992119	-2.55166678772378	3.67776409570656e-06	0.00116457302373562
chr11	47616997	47617397	7.36882992294627	5.32115198706056	8.18286915290809	-2.35435426940392	3.71704886135465e-06	0.00116457302373562
chr9	130863578	130863978	7.77681143310611	5.87744716515669	8.56919916618693	-2.25839902340414	3.82065528023435e-06	0.00116457302373562
chr7	774478	774878	7.64353250655729	5.36196717363617	8.48697415293804	-2.48233208816888	3.84598422374681e-06	0.00116457302373562
chr6	56757608	56758008	7.28837494286621	5.20262511394338	8.10757414182523	-2.37093062909523	3.93860641844501e-06	0.00116457302373562
chr1	154961814	154962214	7.57630409875562	5.26416501540645	8.42320922596017	-2.49777501901402	3.96801229632039e-06	0.00116457302373562
chr3	48952495	48952895	6.4821031741525	4.08767012680516	7.33793578177302	-2.54152544624648	3.97910842237835e-06	0.00116457302373562
chr6	5422324	5422724	8.13603837752704	6.27295313204416	8.92272857897759	-2.23232736559268	3.98911483968134e-06	0.00116457302373562
chr19	11446697	11447097	8.23055768675385	6.12629945276955	9.05221012598974	-2.38325972982161	4.01163860989097e-06	0.00116457302373562
chr5	171912123	171912523	7.47856003749358	5.52597286441579	8.27901268584149	-2.29070136609214	4.0313950349105e-06	0.00116457302373562
chr6	42661563	42661963	7.6950337243283	5.76580560334532	8.49198889784932	-2.27707688553106	4.04204171811032e-06	0.00116457302373562
chr14	49853789	49854189	5.66321418507049	3.35423137054941	6.5097655306097	-2.49894667148511	4.11520640857981e-06	0.00116457302373562
chr19	43555176	43555576	7.48388303379157	5.26416501540645	8.32006303974249	-2.44765574818524	4.130360827412e-06	0.00116457302373562
chr2	238370758	238371158	8.12585051587749	6.063769444434	8.94186004269748	-2.35730326544263	4.1424136519322e-06	0.00116457302373562
chr16	84084780	84085180	7.86469485165142	5.68126510263799	8.696449089654	-2.42645762267058	4.22934275009189e-06	0.00117848951479773
chr4	156968505	156968905	7.6323371367926	5.86617261927886	8.40296384412294	-2.16112711117522	4.35193586562215e-06	0.00120201232106004
chr11	110463142	110463542	6.99565463500052	5.07220593938236	7.79173437402848	-2.27026729315494	4.4059742246614e-06	0.00120635574271229
chr3	172673151	172673551	7.76020818812912	5.84208268657804	8.55547801851857	-2.26415677483219	4.444481177044e-06	0.00120640843811711
chr10	103416836	103417236	7.26212319076789	5.34782380964415	8.05680875705508	-2.25973622120516	4.83210058432194e-06	0.00127528328563033
chr11	46367568	46367968	7.95639811142427	5.83698967429391	8.78003232828315	-2.38585081232046	4.83427810800136e-06	0.00127528328563033
chr6	121435402	121435802	5.69831556210964	3.32842858607126	6.55154413835573	-2.50624196493374	4.89236509444219e-06	0.00127528328563033
chr10	17228875	17229275	6.95480515453122	4.34539805707118	7.8314761068715	-2.62766719032124	4.89964805113138e-06	0.00127528328563033
chr7	116786712	116787112	7.14042468177165	5.07182472712336	7.95731864711637	-2.34998285968175	4.92294060460111e-06	0.00127528328563033
chr19	1244374	1244774	8.86153312130545	6.62342785456086	9.69990848186388	-2.44819883296317	4.97576324070374e-06	0.00127528328563033
chr7	75046354	75046754	8.32655037420238	6.29839851492652	9.13788251875377	-2.32971222997091	4.98173354503542e-06	0.00127528328563033
chr6	128516492	128516892	6.03412257628087	3.41498659154305	6.91165860683929	-2.62156798489772	5.21549323512855e-06	0.00131437771534922
chr12	121811931	121812331	8.73566013014235	6.51302623814937	9.57219037162248	-2.43774584426434	5.2179380194573e-06	0.00131437771534922
chr16	67865320	67865720	6.6553040575642	4.35423137054941	7.50096497634605	-2.478050306183	5.292188742016e-06	0.00132250116603062
chr1	10338020	10338420	7.46334707752865	5.31975646659833	8.2900962194121	-2.39539559133622	5.44376060577888e-06	0.00134966685192252
chr20	45799161	45799561	7.71185140687737	5.42010076362348	8.5564559636227	-2.47076082842845	5.66561325743493e-06	0.00139147432034644
chr22	29359465	29359865	8.19359113128444	6.01937867546646	9.02420116685241	-2.40871292113056	5.70492833716395e-06	0.00139147432034644
chr7	68706344	68706744	6.30995121217706	4.1464733094857	7.13921829385899	-2.40629479490121	5.74496337043977e-06	0.00139147432034644
chr18	48951855	48952255	7.18110045748286	4.80651701433574	8.03483106938297	-2.51085748531184	5.80947072534744e-06	0.00139306246198499
chr11	3021173	3021573	7.29133881517937	5.12094919060563	8.12147188110884	-2.40583201081706	5.87047344411755e-06	0.00139306246198499
chr20	38057532	38057932	8.96124098454424	6.72167872600151	9.79978896819564	-2.44104682691801	5.88424770362386e-06	0.00139306246198499
chr8	26655480	26655880	6.29051623472847	3.61159274026951	7.17323142957952	-2.64208704494717	6.29355700954475e-06	0.00147884499671295
chr14	34331644	34332044	7.82612524034229	6.02873586317474	8.60206518168041	-2.17268089186082	6.34740500980757e-06	0.00148044993736156
chr10	77637507	77637907	7.25339372936678	5.04570911641783	8.08811994140265	-2.42197268987937	6.41484903986023e-06	0.00148517905675058
chr3	125163705	125164105	7.60488424799941	5.46699640131219	8.43090411299237	-2.38364347122626	6.51475923442455e-06	0.0014961973948404
chr9	131178280	131178680	7.54963811257221	5.64316659735382	8.34312275039224	-2.24344649449729	6.59852505595933e-06	0.0014961973948404
chr11	1515468	1515868	8.10678173711775	6.03103152108068	8.92464059884814	-2.3469444436612	6.60499373972802e-06	0.0014961973948404
chr19	39397628	39398028	9.1135105328768	6.8279231391604	9.95741249228669	-2.45653904566114	6.95499373460053e-06	0.00156422776943834
chr12	57127233	57127633	6.23378652056829	3.87766527481099	7.08553311992119	-2.49273101901459	7.04627305153588e-06	0.00156510758771835
chr7	92048387	92048787	6.76212659648169	4.8748934085349	7.55262758757388	-2.22652273176869	7.064393106584e-06	0.00156510758771835
chr17	44865114	44865514	7.51536172718789	5.53995531039638	8.31916880435253	-2.28390785451898	7.11705036008614e-06	0.00156510758771835
chr1	180168668	180169068	6.92444596654509	4.69009462732684	7.76237566556433	-2.43160526318177	7.19101557891176e-06	0.00156510758771835
chr5	72280682	72281082	6.0780247991593	3.85976287945451	6.91402961104448	-2.4173683216843	7.28939017345572e-06	0.00156510758771835
chr2	86079887	86080287	7.26687971558058	5.18717305151868	8.08527015525748	-2.34376059414799	7.40402455829285e-06	0.00156510758771835
chr15	63042521	63042921	7.48588854951003	5.43325949366376	8.30060759864859	-2.32861976339723	7.42098319531914e-06	0.00156510758771835
chr19	43594630	43595030	8.29130317940888	5.95814442627823	9.14054255733962	-2.47713245615769	7.45680597081434e-06	0.00156510758771835
chr14	22983186	22983586	6.847446274585	4.78319463536553	7.66375079370998	-2.33424362983562	7.56110458591324e-06	0.00156510758771835
chr8	38966430	38966830	8.02161463246012	5.98411777674873	8.83424756846996	-2.31764445627878	7.59200483661637e-06	0.00156510758771835
chr8	141160890	141161290	6.77235889966204	4.59802605591552	7.60298393279881	-2.39694361503298	7.60610070859594e-06	0.00156510758771835
chr19	46748524	46748924	6.13244117566155	3.81933272931826	6.97945478473226	-2.45794285619477	7.61672363913792e-06	0.00156510758771835
chr21	25895770	25896170	6.85790136020897	4.78475328641782	7.67540970227826	-2.33300028407417	7.64027399994196e-06	0.00156510758771835
chr8	38830694	38831094	7.7819141101955	5.93471570572365	8.56605658708127	-2.19934953637665	7.65479621776055e-06	0.00156510758771835
chr5	143403561	143403961	8.72597053991562	6.61220858049784	9.54886889810526	-2.35992095227935	7.87839644920511e-06	0.00160043270320078
chr2	226799723	226800123	8.50863176461401	6.37978846116277	9.33348831106765	-2.3683398661324	7.93999018928113e-06	0.00160260558390958
chr5	160021817	160022217	6.96735238668016	4.99954829819739	7.77004867389549	-2.26935111492674	8.00806928285939e-06	0.00160605144910442
chr15	96273521	96273921	6.20725041293069	3.98174617893032	7.04412464752247	-2.41129013376471	8.26508709449099e-06	0.00162627513579856
chr7	98294821	98295221	7.32802633371517	4.97861900246324	8.17904442905908	-2.48071110995486	8.31757285311726e-06	0.00162627513579856
chr3	50259966	50260366	8.44931859847137	6.30589606201318	9.2760462932379	-2.37372391967524	8.41071877901655e-06	0.00162627513579856
chr22	46116454	46116854	8.81310102038668	6.36997183089162	9.67395707580227	-2.52040318579014	8.42892406006182e-06	0.00162627513579856
chr3	139564267	139564667	6.70497535772794	4.81293910231281	7.49622556107617	-2.22744628963046	8.44675280068678e-06	0.00162627513579856
chr9	35696566	35696966	6.29964017406622	3.85117201891259	7.16103570770041	-2.52163565711899	8.47808964729887e-06	0.00162627513579856
chr14	63388809	63389209	7.83131200118785	6.05386558639604	8.60387398750241	-2.14918075653769	8.49337728748049e-06	0.00162627513579856
chr3	184145226	184145626	6.81756872205366	4.73377444558826	7.63650662885326	-2.34161208184641	8.52210110225689e-06	0.00162627513579856
chr1	10514426	10514826	7.21804959070081	5.10421922729398	8.04095688291097	-2.35588940848823	8.63932019881445e-06	0.00163871250060283
chr3	52471951	52472351	8.0011589502022	5.81560481141361	8.83317573948974	-2.39504774632518	8.73072105602535e-06	0.00164003777180915
chr9	133040900	133041300	7.37035913349037	5.29997759475465	8.18749402374873	-2.32994998012695	8.77302355928201e-06	0.00164003777180915
chr11	64343792	64344192	7.06473618653416	4.84252969550865	7.90121514100363	-2.41436086009286	8.80256561233989e-06	0.00164003777180915
chr10	4763980	4764380	5.69052735156558	3.43296269208704	6.53119224055588	-2.42781597106664	8.94170852934236e-06	0.00165616221449061
chr3	75422049	75422449	7.54788820708347	5.4713518383804	8.3658528259113	-2.33508394099885	9.00711635465817e-06	0.0016585208927434
chr7	44565473	44565873	8.00114560577856	5.99255873337432	8.8097230623671	-2.29545150898357	9.1394330883971e-06	0.00167310075380442
chr15	63047958	63048358	8.18803122241406	6.05631433910155	9.01325826425639	-2.36346047512548	9.26740869842924e-06	0.00167991499490772
chr7	44847595	44847995	7.9043910871753	5.90439786926342	8.71174504036057	-2.28805623697164	9.32651877410273e-06	0.00167991499490772
chr4	113761661	113762061	8.36488639646705	6.35894032145614	9.17308876078667	-2.29182117122208	9.33671433000446e-06	0.00167991499490772
chr6	139374352	139374752	7.49300108009094	5.54941659938271	8.29211348928905	-2.25290726513181	9.43047747273963e-06	0.00168632929113757
chr16	3871100	3871500	5.58502046873977	3.13162994667227	6.44691144170258	-2.51427908140791	9.47947675330612e-06	0.00168632929113757
chr15	101252000	101252400	7.23033908085196	5.01235537360172	8.06631039637954	-2.40681956450052	9.62281711469037e-06	0.00168788776320395
chr8	18680243	18680643	6.93669985561275	5.01195801181077	7.73297582423315	-2.23935962138374	9.63158419406455e-06	0.00168788776320395
chr15	48507466	48507866	6.25308257985631	4.14574905402624	7.07513920003013	-2.34033450389057	9.69359650075452e-06	0.00168788776320395
chr16	24800681	24801081	6.84194987001094	4.73119443211673	7.66445508275155	-2.34850223463714	9.70266094387889e-06	0.00168788776320395
chr17	7897746	7898146	6.42788901459182	4.40328093040815	7.23872536154648	-2.30192608477309	9.77137775008071e-06	0.00169024398540518
chr11	28836284	28836684	5.93209795360571	3.77366532732324	6.76072994692826	-2.37140040830847	9.82356684756085e-06	0.00169024398540518
chr9	113589912	113590312	7.3231332886472	5.53163755801965	8.09808063620714	-2.1552075070678	9.99386803664767e-06	0.00171020066777133
chr5	61330836	61331236	7.26369027780634	5.24575077095169	8.07358987312146	-2.2960671705194	1.02498899862191e-05	0.00174453127565449
chr16	66515750	66516150	7.75371138770432	5.83338557757039	8.54931640621457	-2.23633861414053	1.03370111285984e-05	0.00174474451750935
chr20	62136819	62137219	6.40983091042162	4.23041461312366	7.24108794251733	-2.38330451527258	1.04016483220032e-05	0.00174474451750935
chr1	42176948	42177348	7.50311845318141	5.69225320874359	8.28131025607656	-2.16644441590983	1.04432677470447e-05	0.00174474451750935
chr21	44793274	44793674	7.26051181787447	5.31631785605179	8.05971526466939	-2.25124396674626	1.0472789208539e-05	0.00174474451750935
chr9	21813405	21813805	7.4440506548094	5.34508261621924	8.2650055264094	-2.34072323151423	1.05842877908217e-05	0.00175403931405055
chr13	72839819	72840219	7.23394556210535	5.5121345835979	7.99678936100726	-2.10504356010719	1.09233790028225e-05	0.00180075620241818
chr14	75142045	75142445	5.95937250383362	3.92020284593731	6.77223727717812	-2.3084849885999	1.10604903009531e-05	0.00180109900294687
chr14	105370803	105371203	7.35936552646803	5.16427900344373	8.19255508257084	-2.38727560587707	1.10709511978602e-05	0.00180109900294687
chr2	235740818	235741218	6.20309074482438	4.10222387766231	7.02429633001079	-2.33713662776863	1.10970624883823e-05	0.00180109900294687
chr12	103771424	103771824	8.49588920295983	6.5378803637985	9.2971443579197	-2.25559269542626	1.12143909545417e-05	0.00180351711014311
chr22	37887815	37888215	6.13480922403417	3.97821223783586	6.96320952981809	-2.36834406848143	1.12492091790131e-05	0.00180351711014311
chr9	42430932	42431332	4.83109039554024	2.20366938553702	5.70935812788451	-2.59818033562972	1.13376626672037e-05	0.00180351711014311
chr12	92144825	92145225	6.88844865282208	4.7191986829231	7.71843925022469	-2.37248788090588	1.13410737068738e-05	0.00180351711014311
chr5	138871515	138871915	5.96755603309732	3.69175711777907	6.81033522936345	-2.41918328895411	1.14695802548157e-05	0.00181320951682008
chr6	33425842	33426242	7.52674949534578	5.37131963588487	8.35500231805722	-2.36473624778453	1.15171945045262e-05	0.00181320951682008
chr2	1742939	1743339	8.31369226423129	6.31927479271042	9.12024791588998	-2.27423285262584	1.18272042979143e-05	0.00183863755766472
chr14	75711119	75711519	7.80371287186128	6.03737911286381	8.57436874182311	-2.13023881834068	1.18371714111574e-05	0.00183863755766472
chr9	124320284	124320684	7.9756191667419	5.95704078556118	8.78560872037912	-2.29022064892099	1.18538896752926e-05	0.00183863755766472
chr17	7514834	7515234	5.36554655225556	3.24360356597454	6.18951001898314	-2.34805566371455	1.1918376604182e-05	0.0018395780594896
chr11	63635828	63636228	7.53073865559819	5.7678539042745	8.30079942140371	-2.12773013592325	1.21594939642221e-05	0.00186763895829981
chr11	62542724	62543124	8.29363332776331	6.22692725922959	9.1102708108485	-2.3133256349386	1.24190273282092e-05	0.00188944613527797
chr9	127503973	127504373	7.92346625540034	5.82999789170479	8.74369286056663	-2.32817579043879	1.24214866453628e-05	0.00188944613527797
chr7	135662200	135662600	7.86419568464297	5.72779975525371	8.69002422407463	-2.3505887367851	1.26785243682326e-05	0.00191927258068529
chr3	150410006	150410406	7.55123053523784	5.67992785495929	8.33922583030151	-2.19796385704369	1.28284981768196e-05	0.00193268383776803
chr1	94332935	94333335	4.94404379587273	2.5576327665526	5.79903075194541	-2.46944414626769	1.29522130465116e-05	0.00193891530901381
chr12	111673504	111673904	6.39603482554123	4.31319359235289	7.21484524536788	-2.32409306605372	1.30427786435765e-05	0.00193891530901381
chr12	55737175	55737575	8.13165913050104	6.03017850045561	8.95294567458787	-2.33069908268334	1.32202003263795e-05	0.00193891530901381
chr12	110102151	110102551	5.83338767217707	3.5576327665526	6.67616180121833	-2.41662033087925	1.32290919240159e-05	0.00193891530901381
chr20	50575856	50576256	7.76259579284247	5.85880230127316	8.55566784715614	-2.21575173991189	1.32675679403088e-05	0.00193891530901381
