#rep1_rep2_merge_0 Stitched Peaks
#Created from /pbld/raidix/home/tpopay/GEO_data/Kang2020/interphase_H3K27ac_rep_june24/rep_merge/ROSE/TSS-2500_stitch-12500/rep1_rep2_merge_0_12.5KB_STITCHED_TSS_DISTAL_REGION_MAP.txt
#Ranked by rep1_rep2.interphase.H3K27ac.merge.bam
#Using cutoff of 13708.555 for Super-Stitched Peaks
#Created on Jul 05 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	rep1_rep2.interphase.H3K27ac.merge.bam	rep1_rep2.interphase.input.merge.bam	stitchedPeakRank	isSuper
14_rep1_rep2_merge_0.001_peak_18389_lociStitched	chr12	108798449	108858626	14	37386	93948.3324	4549.3812	33	1
39_rep1_rep2_merge_0.001_peak_49164_lociStitched	chr3	123717119	123844761	39	55931	101807.2592	13223.7112	34	1
28_rep1_rep2_merge_0.001_peak_35106_lociStitched	chr2	9162867	9290955	28	48517	99293.8176	11399.832	35	1
27_rep1_rep2_merge_0.001_peak_66828_lociStitched	chr7	55048471	55135625	27	42310	95843.2538	8994.2928	36	1
12_rep1_rep2_merge_0.001_peak_29973_lociStitched	chr17	50026261	50074198	12	32334	90049.6545	3518.5758	37	1
16_rep1_rep2_merge_0.001_peak_49547_lociStitched	chr3	134308522	134375787	16	49339	91090.263	5226.4905	38	1
10_rep1_rep2_merge_0.001_peak_25210_lociStitched	chr15	74373886	74434969	10	48337	88594.7832	3274.0488	39	1
14_rep1_rep2_merge_0.001_peak_59286_lociStitched	chr5	135993036	136060286	14	50319	91634.85	6422.375	40	1
4_rep1_rep2_merge_0.001_peak_69429_lociStitched	chr8	13350432	13377993	4	25390	87999.5169	3384.4908	41	1
21_rep1_rep2_merge_0.001_peak_36586_lociStitched	chr2	46797847	46889007	21	49106	91150.884	7447.772	42	1
22_rep1_rep2_merge_0.001_peak_15053_lociStitched	chr11	132022256	132081194	22	40885	89373.5832	6182.5962	43	1
34_rep1_rep2_merge_0.001_peak_34029_lociStitched	chr19	37951961	38081478	34	47968	92475.138	9286.3689	44	1
40_rep1_rep2_merge_0.001_peak_10217_lociStitched	chr10	99903211	100010754	40	55764	96261.7393	13937.5728	45	1
23_rep1_rep2_merge_0.001_peak_49351_lociStitched	chr3	127732256	127823531	23	49171	88591.515	7457.1675	46	1
28_rep1_rep2_merge_0.001_peak_23333_lociStitched	chr14	102212244	102314956	28	46289	88044.7264	7600.688	47	1
49_rep1_rep2_merge_0.001_peak_30466_lociStitched	chr17	64614728	64741643	49	58676	90998.055	10965.456	48	1
15_rep1_rep2_merge_0.001_peak_43109_lociStitched	chr20	47299866	47361679	15	33270	83602.0825	4815.2327	49	1
20_rep1_rep2_merge_0.001_peak_24523_lociStitched	chr15	60357280	60428097	20	41448	85950.5929	7251.6608	50	1
26_rep1_rep2_merge_0.001_peak_5715_lociStitched	chr1	201693444	201793084	26	53845	86417.772	8658.716	51	1
rep1_rep2_merge_0.001_peak_68600	chr7	130898132	130924914	1	26783	79266.6854	2648.7398	52	1
10_rep1_rep2_merge_0.001_peak_48856_lociStitched	chr3	112635169	112700296	10	41307	83180.2044	6577.827	53	1
16_rep1_rep2_merge_0.001_peak_61831_lociStitched	chr6	30724829	30786730	16	39069	80886.0367	4685.9057	54	1
14_rep1_rep2_merge_0.001_peak_18025_lociStitched	chr12	96422277	96516717	14	39356	84939.336	9217.344	55	1
24_rep1_rep2_merge_0.001_peak_32412_lociStitched	chr18	57767985	57849553	24	47494	83386.9664	7700.0192	56	1
20_rep1_rep2_merge_0.001_peak_72624_lociStitched	chr8	130190803	130293764	20	37562	87372.7046	12025.8448	57	1
8_rep1_rep2_merge_0.001_peak_39189_lociStitched	chr2	160203449	160243517	8	26643	81638.55	6519.0636	58	1
27_rep1_rep2_merge_0.001_peak_1643_lociStitched	chr1	39098271	39215416	27	54501	85820.427	11117.0605	59	1
24_rep1_rep2_merge_0.001_peak_42538_lociStitched	chr20	31661492	31732017	24	46511	80215.135	5663.1575	60	1
16_rep1_rep2_merge_0.001_peak_77051_lociStitched	chrX	45739987	45824375	16	51588	83139.0576	8776.352	61	1
18_rep1_rep2_merge_0.001_peak_63208_lociStitched	chr6	85435742	85495012	18	38240	80779.083	6845.685	62	1
28_rep1_rep2_merge_0.001_peak_41568_lociStitched	chr2	234947136	235031134	28	51338	79714.102	5846.2608	63	1
25_rep1_rep2_merge_0.001_peak_56728_lociStitched	chr5	34627187	34721144	25	43562	82428.4761	8691.0225	64	1
16_rep1_rep2_merge_0.001_peak_16830_lociStitched	chr12	62689149	62744992	16	37474	79157.4525	5489.3669	65	1
33_rep1_rep2_merge_0.001_peak_61357_lociStitched	chr6	16668582	16772155	33	52723	85520.2261	11993.7534	66	1
21_rep1_rep2_merge_0.001_peak_9052_lociStitched	chr10	69801125	69877102	21	48509	82062.7577	8608.1941	67	1
9_rep1_rep2_merge_0.001_peak_13047_lociStitched	chr11	65470534	65508097	9	32167	76609.7385	3279.2499	68	1
29_rep1_rep2_merge_0.001_peak_75166_lociStitched	chr9	111895719	111975177	29	45702	81706.6614	8517.8976	69	1
8_rep1_rep2_merge_0.001_peak_57426_lociStitched	chr5	65158580	65211856	8	31616	79200.1016	6025.5156	70	1
21_rep1_rep2_merge_0.001_peak_40475_lociStitched	chr2	203737011	203815371	21	30631	81541.416	8666.616	71	1
17_rep1_rep2_merge_0.001_peak_9267_lociStitched	chr10	73880009	73942324	17	31397	78953.105	7085.2155	72	1
6_rep1_rep2_merge_0.001_peak_48309_lociStitched	chr3	98954070	98986995	6	28498	76576.965	4751.0775	73	1
7_rep1_rep2_merge_0.001_peak_7750_lociStitched	chr10	14384983	14416667	7	26798	74409.874	3580.292	74	1
13_rep1_rep2_merge_0.001_peak_70738_lociStitched	chr8	66505786	66561723	13	32388	75626.824	5207.7347	75	1
22_rep1_rep2_merge_0.001_peak_19476_lociStitched	chr13	33217402	33286740	22	40632	78559.954	8202.6854	76	1
13_rep1_rep2_merge_0.001_peak_58512_lociStitched	chr5	103423298	103475835	13	39575	77749.5063	7733.4464	77	1
16_rep1_rep2_merge_0.001_peak_25162_lociStitched	chr15	73920294	73990593	16	39388	74502.8802	4942.0197	78	1
31_rep1_rep2_merge_0.001_peak_51755_lociStitched	chr4	7803228	7893302	31	42944	77481.6548	8052.6156	79	1
35_rep1_rep2_merge_0.001_peak_62742_lociStitched	chr6	56669584	56773114	35	51640	81695.523	12351.129	80	1
24_rep1_rep2_merge_0.001_peak_55101_lociStitched	chr4	156733852	156807331	24	41055	79445.4948	10154.7978	81	1
29_rep1_rep2_merge_0.001_peak_62546_lociStitched	chr6	45640088	45719682	29	38602	74285.0802	6447.114	82	1
32_rep1_rep2_merge_0.001_peak_34562_lociStitched	chr19	46859698	46990724	32	46601	78209.4194	10613.106	83	1
21_rep1_rep2_merge_0.001_peak_3279_lociStitched	chr1	93648803	93706336	21	31372	72761.9851	5293.036	84	1
20_rep1_rep2_merge_0.001_peak_75635_lociStitched	chr9	124251713	124320432	20	45188	71261.603	3944.4706	85	1
6_rep1_rep2_merge_0.001_peak_11673_lociStitched	chr11	12065249	12103134	6	20613	68666.5625	3303.572	86	1
16_rep1_rep2_merge_0.001_peak_585_lociStitched	chr1	16112036	16190089	16	36386	69240.8163	4199.2514	87	1
21_rep1_rep2_merge_0.001_peak_64893_lociStitched	chr6	151004301	151086513	21	33868	71993.0484	7325.0892	88	1
15_rep1_rep2_merge_0.001_peak_12182_lociStitched	chr11	29260652	29337769	15	40089	74818.9134	10318.2546	89	1
29_rep1_rep2_merge_0.001_peak_8316_lociStitched	chr10	33211173	33296696	29	50399	73524.1231	9347.6639	90	1
17_rep1_rep2_merge_0.001_peak_10372_lociStitched	chr10	102592029	102650078	17	30019	69687.8245	5717.8265	91	1
25_rep1_rep2_merge_0.001_peak_21827_lociStitched	chr14	51508250	51582727	25	37239	72682.1043	8922.3446	92	1
16_rep1_rep2_merge_0.001_peak_3385_lociStitched	chr1	94604950	94661238	16	33464	68969.6864	5668.2016	93	1
7_rep1_rep2_merge_0.001_peak_4679_lociStitched	chr1	162846590	162879354	7	20620	66746.8208	3905.4688	94	1
21_rep1_rep2_merge_0.001_peak_36169_lociStitched	chr2	37763960	37832691	21	37824	69308.3404	6584.4298	95	1
18_rep1_rep2_merge_0.001_peak_23606_lociStitched	chr15	32818894	32878474	18	34743	69261.75	6583.59	96	1
19_rep1_rep2_merge_0.001_peak_73493_lociStitched	chr9	21546412	21617012	19	39793	71807.26	9220.36	97	1
11_rep1_rep2_merge_0.001_peak_9381_lociStitched	chr10	77154937	77196854	11	27244	69179.8168	6744.4453	98	1
8_rep1_rep2_merge_0.001_peak_22549_lociStitched	chr14	68774161	68817271	8	25555	64971.081	3491.91	99	1
28_rep1_rep2_merge_0.001_peak_647_lociStitched	chr1	17162403	17259746	28	43192	67955.1483	6609.5897	100	1
10_rep1_rep2_merge_0.001_peak_6414_lociStitched	chr1	218459447	218501681	10	28035	67046.475	5705.8134	101	1
16_rep1_rep2_merge_0.001_peak_25496_lociStitched	chr15	82081998	82162093	16	32260	68609.377	7849.31	102	1
25_rep1_rep2_merge_0.001_peak_75797_lociStitched	chr9	127495116	127586156	25	48371	65630.736	5034.512	103	1
12_rep1_rep2_merge_0.001_peak_37975_lociStitched	chr2	105374042	105411924	12	27858	64160.7434	3644.2484	104	1
15_rep1_rep2_merge_0.001_peak_22534_lociStitched	chr14	68649782	68706205	15	30004	64728.4656	4575.9053	105	1
17_rep1_rep2_merge_0.001_peak_45844_lociStitched	chr3	8836668	8893253	17	33182	65655.5755	5539.6715	106	1
12_rep1_rep2_merge_0.001_peak_7830_lociStitched	chr10	16983726	17030882	12	23657	64698.032	4720.3156	107	1
21_rep1_rep2_merge_0.001_peak_73303_lociStitched	chr9	15997301	16065589	21	31921	66539.8272	7142.9248	108	1
15_rep1_rep2_merge_0.001_peak_10637_lociStitched	chr10	110387937	110427622	15	28153	64265.889	4873.318	109	1
33_rep1_rep2_merge_0.001_peak_12664_lociStitched	chr11	47967842	48082572	33	41376	68895.365	9534.063	110	1
5_rep1_rep2_merge_0.001_peak_45646_lociStitched	chr22	46065729	46094717	5	24384	60883.4964	1843.6368	111	1
21_rep1_rep2_merge_0.001_peak_43517_lociStitched	chr20	57928562	58047993	21	37508	68266.7596	9387.2766	112	1
11_rep1_rep2_merge_0.001_peak_48298_lociStitched	chr3	98874656	98924708	11	33942	65117.652	6281.526	113	1
18_rep1_rep2_merge_0.001_peak_65152_lociStitched	chr6	158019241	158073865	18	33392	62342.3712	3665.2704	114	1
18_rep1_rep2_merge_0.001_peak_12280_lociStitched	chr11	33669244	33738602	18	32881	65030.0608	6609.8174	115	1
20_rep1_rep2_merge_0.001_peak_60042_lociStitched	chr5	150458680	150523925	20	35926	62380.7445	4240.925	116	1
19_rep1_rep2_merge_0.001_peak_9288_lociStitched	chr10	73998032	74081384	19	32664	72249.5136	14478.2424	117	1
9_rep1_rep2_merge_0.001_peak_72511_lociStitched	chr8	128163786	128202613	9	22821	62076.6076	4698.067	118	1
7_rep1_rep2_merge_0.001_peak_66464_lociStitched	chr7	41909868	41943150	7	17239	61225.5672	3960.558	119	1
16_rep1_rep2_merge_0.001_peak_11654_lociStitched	chr11	11969034	12050646	16	37779	64881.54	7818.4296	120	1
9_rep1_rep2_merge_0.001_peak_9419_lociStitched	chr10	77377211	77420314	9	25689	63102.792	6064.5921	121	1
6_rep1_rep2_merge_0.001_peak_73406_lociStitched	chr9	18456760	18497673	6	26684	62744.1768	5805.5547	122	1
19_rep1_rep2_merge_0.001_peak_33024_lociStitched	chr19	2461744	2555575	19	34559	60943.2345	4522.6542	123	1
10_rep1_rep2_merge_0.001_peak_2266_lociStitched	chr1	55685003	55735711	10	26049	61655.8572	5319.2692	124	1
15_rep1_rep2_merge_0.001_peak_43368_lociStitched	chr20	51326954	51372436	15	32962	60086.2702	3879.6146	125	1
8_rep1_rep2_merge_0.001_peak_72131_lociStitched	chr8	122102789	122141666	8	27032	61297.3659	5504.9832	126	1
21_rep1_rep2_merge_0.001_peak_73893_lociStitched	chr9	37994795	38075046	21	37908	61079.0361	5376.817	127	1
8_rep1_rep2_merge_0.001_peak_1826_lociStitched	chr1	42923760	42972056	8	39098	58689.2992	3235.832	128	1
19_rep1_rep2_merge_0.001_peak_67773_lociStitched	chr7	101093277	101140667	19	35244	58526.65	3108.784	129	1
20_rep1_rep2_merge_0.001_peak_61114_lociStitched	chr6	11585217	11656343	20	32769	61744.4806	6607.6054	130	1
1_rep1_rep2_merge_0.001_peak_41522_lociStitched	chr2	234240624	234260758	1	20135	57148.3456	2065.7484	131	1
18_rep1_rep2_merge_0.001_peak_71934_lociStitched	chr8	117974486	118035383	18	37115	61177.1262	6430.7232	132	1
8_rep1_rep2_merge_0.001_peak_13819_lociStitched	chr11	86717650	86762863	8	26889	57985.6725	4684.0668	133	1
20_rep1_rep2_merge_0.001_peak_6129_lociStitched	chr1	209822720	209901705	20	35714	61316.0555	8253.9325	134	1
11_rep1_rep2_merge_0.001_peak_16977_lociStitched	chr12	65812418	65847521	11	20008	57432.0183	4380.8544	135	1
9_rep1_rep2_merge_0.001_peak_30267_lociStitched	chr17	59824753	59855719	9	24085	55593.2598	2604.2406	136	1
8_rep1_rep2_merge_0.001_peak_41774_lociStitched	chr2	238422388	238467805	8	20585	56049.1197	3519.8175	137	1
28_rep1_rep2_merge_0.001_peak_43305_lociStitched	chr20	50483468	50573818	28	40113	60778.445	8637.46	138	1
15_rep1_rep2_merge_0.001_peak_14042_lociStitched	chr11	96275624	96343291	15	33213	60717.5991	8641.0759	139	1
14_rep1_rep2_merge_0.001_peak_47571_lociStitched	chr3	55155616	55204938	14	29600	57455.1978	5504.3352	140	1
22_rep1_rep2_merge_0.001_peak_1546_lociStitched	chr1	36340329	36388808	22	29060	54858.8364	3151.135	141	1
8_rep1_rep2_merge_0.001_peak_28622_lociStitched	chr17	15941126	15984944	8	28773	54641.046	3071.6418	142	1
6_rep1_rep2_merge_0.001_peak_8972_lociStitched	chr10	68072248	68108156	6	26115	58016.5556	6560.3916	143	1
16_rep1_rep2_merge_0.001_peak_58009_lociStitched	chr5	82383970	82423979	16	25948	55976.5919	4673.0512	144	1
17_rep1_rep2_merge_0.001_peak_72569_lociStitched	chr8	129682239	129726937	17	31754	56104.9296	4903.3706	145	1
19_rep1_rep2_merge_0.001_peak_72239_lociStitched	chr8	123612238	123708663	19	30913	60082.4175	8996.4525	146	1
9_rep1_rep2_merge_0.001_peak_75078_lociStitched	chr9	110737347	110784395	9	26594	57516.18	6567.9008	147	1
20_rep1_rep2_merge_0.001_peak_66236_lociStitched	chr7	32019613	32120241	20	30918	61956.6596	11290.4616	148	1
13_rep1_rep2_merge_0.001_peak_7233_lociStitched	chr1	243234927	243295976	13	32550	57593.6266	6929.0615	149	1
18_rep1_rep2_merge_0.001_peak_52757_lociStitched	chr4	57064027	57120175	18	32940	56709.48	6131.3616	150	1
22_rep1_rep2_merge_0.001_peak_70336_lociStitched	chr8	42251961	42327301	22	32266	56248.844	5718.306	151	1
15_rep1_rep2_merge_0.001_peak_36651_lociStitched	chr2	47163621	47226685	15	29445	56864.8088	6356.8512	152	1
22_rep1_rep2_merge_0.001_peak_8527_lociStitched	chr10	43853525	43942263	22	32745	58105.6424	7853.313	153	1
2_rep1_rep2_merge_0.001_peak_39931_lociStitched	chr2	187526673	187555701	2	17464	54006.594	3767.8344	154	1
29_rep1_rep2_merge_0.001_peak_56269_lociStitched	chr5	14142499	14212754	29	39170	57328.08	7173.0355	155	1
25_rep1_rep2_merge_0.001_peak_69403_lociStitched	chr8	13193022	13277599	25	30621	59948.1776	9794.0166	156	1
13_rep1_rep2_merge_0.001_peak_22796_lociStitched	chr14	74605738	74673059	13	27592	55378.2546	5560.7146	157	1
7_rep1_rep2_merge_0.001_peak_15440_lociStitched	chr12	12704149	12739261	7	21681	52934.8512	3391.8192	158	1
15_rep1_rep2_merge_0.001_peak_29849_lociStitched	chr17	48470556	48506835	15	21356	52459.434	2989.3896	159	1
16_rep1_rep2_merge_0.001_peak_23863_lociStitched	chr15	40044430	40105986	16	32492	53664.5208	4419.7208	160	1
8_rep1_rep2_merge_0.001_peak_74704_lociStitched	chr9	98205961	98257061	8	29456	52862.95	3786.51	161	1
15_rep1_rep2_merge_0.001_peak_50008_lociStitched	chr3	149571361	149629571	15	36384	54979.345	6164.439	162	1
15_rep1_rep2_merge_0.001_peak_8280_lociStitched	chr10	32943730	33011196	15	26400	56266.644	7583.1784	163	1
14_rep1_rep2_merge_0.001_peak_70208_lociStitched	chr8	38975685	39042905	14	22429	55866.542	7286.648	164	1
rep1_rep2_merge_0.001_peak_13087	chr11	65887467	65905453	1	17987	49573.0132	1098.9446	165	1
13_rep1_rep2_merge_0.001_peak_55130_lociStitched	chr4	156930374	156979004	13	34697	54864.366	6399.708	166	1
18_rep1_rep2_merge_0.001_peak_68804_lociStitched	chr7	137958781	138008939	18	33330	53152.4326	4815.168	167	1
9_rep1_rep2_merge_0.001_peak_60586_lociStitched	chr5	173429652	173476527	9	16036	52696.875	4401.5625	168	1
23_rep1_rep2_merge_0.001_peak_15027_lociStitched	chr11	131859615	131925215	23	29404	55169.6	7091.36	169	1
23_rep1_rep2_merge_0.001_peak_2693_lociStitched	chr1	67674395	67771700	23	32196	58295.4255	10508.94	170	1
8_rep1_rep2_merge_0.001_peak_29638_lociStitched	chr17	44533629	44560163	8	18744	49260.371	1732.6702	171	1
24_rep1_rep2_merge_0.001_peak_47123_lociStitched	chr3	45081659	45184346	24	35175	56067.102	8605.1706	172	1
6_rep1_rep2_merge_0.001_peak_22220_lociStitched	chr14	61125646	61156685	6	17256	50143.5045	2731.432	173	1
13_rep1_rep2_merge_0.001_peak_6633_lociStitched	chr1	223699143	223743390	13	29293	50804.4054	3415.8684	174	1
11_rep1_rep2_merge_0.001_peak_6470_lociStitched	chr1	219295150	219341525	11	29975	53428.6375	6051.9375	175	1
23_rep1_rep2_merge_0.001_peak_23794_lociStitched	chr15	39230440	39302257	23	32268	56175.2574	8840.6727	176	1
7_rep1_rep2_merge_0.001_peak_61266_lociStitched	chr6	14728160	14746872	7	15670	48959.948	1843.132	177	1
14_rep1_rep2_merge_0.001_peak_30788_lociStitched	chr17	72357612	72425016	14	31227	52467.2736	5372.0988	178	1
13_rep1_rep2_merge_0.001_peak_17499_lociStitched	chr12	80550885	80599553	13	23545	53369.3288	6287.9056	179	1
15_rep1_rep2_merge_0.001_peak_21087_lociStitched	chr13	110378910	110422924	15	28284	50778.9518	3719.183	180	1
10_rep1_rep2_merge_0.001_peak_30257_lociStitched	chr17	59751941	59792543	10	21638	51718.8276	4689.531	181	1
15_rep1_rep2_merge_0.001_peak_66496_lociStitched	chr7	43634633	43675319	15	24122	50829.0198	4263.8928	182	1
18_rep1_rep2_merge_0.001_peak_8643_lociStitched	chr10	48572676	48635501	18	29616	52289.2475	5836.4425	183	1
22_rep1_rep2_merge_0.001_peak_13788_lociStitched	chr11	86547821	86644892	22	32019	56213.8161	9784.7568	184	1
12_rep1_rep2_merge_0.001_peak_57370_lociStitched	chr5	61274910	61332011	12	28510	52647.122	6298.2403	185	1
10_rep1_rep2_merge_0.001_peak_51938_lociStitched	chr4	13882198	13924468	10	22052	51214.332	4928.682	186	1
16_rep1_rep2_merge_0.001_peak_21017_lociStitched	chr13	109233003	109276905	16	27096	51352.1694	5176.0458	187	1
10_rep1_rep2_merge_0.001_peak_228_lociStitched	chr1	8372794	8425114	10	21669	51174.192	5111.664	188	1
12_rep1_rep2_merge_0.001_peak_72473_lociStitched	chr8	127892671	127946181	12	29771	50005.095	4082.813	189	1
12_rep1_rep2_merge_0.001_peak_44867_lociStitched	chr22	27197892	27253178	12	27513	50774.6624	4870.6966	190	1
29_rep1_rep2_merge_0.001_peak_36135_lociStitched	chr2	37613861	37714115	29	35469	56613.4338	10867.5336	191	1
20_rep1_rep2_merge_0.001_peak_59943_lociStitched	chr5	149133461	149229817	20	36367	56223.726	10502.804	192	1
13_rep1_rep2_merge_0.001_peak_73994_lociStitched	chr9	70002100	70062853	13	32138	52326.5589	6628.1523	193	1
19_rep1_rep2_merge_0.001_peak_7711_lociStitched	chr10	13920776	13992571	19	27180	52855.479	7251.295	194	1
9_rep1_rep2_merge_0.001_peak_9844_lociStitched	chr10	90912243	90938414	9	20269	50342.5356	4776.2075	195	1
19_rep1_rep2_merge_0.001_peak_7009_lociStitched	chr1	234955124	235026546	19	29914	51609.5372	6056.5856	196	1
7_rep1_rep2_merge_0.001_peak_51697_lociStitched	chr4	5745887	5786633	7	19531	47750.2374	2216.5824	197	1
5_rep1_rep2_merge_0.001_peak_7519_lociStitched	chr10	4758046	4780802	5	14426	48422.4924	3021.9968	198	1
12_rep1_rep2_merge_0.001_peak_10980_lociStitched	chr10	120386300	120437605	12	21585	53680.4215	8444.803	199	1
9_rep1_rep2_merge_0.001_peak_29834_lociStitched	chr17	48191624	48250089	9	22368	51764.911	6589.0055	200	1
15_rep1_rep2_merge_0.001_peak_2337_lociStitched	chr1	58726482	58784083	15	21637	50976.885	5904.1025	201	1
17_rep1_rep2_merge_0.001_peak_71223_lociStitched	chr8	93836816	93907128	17	29332	52136.348	7185.8864	202	1
13_rep1_rep2_merge_0.001_peak_9590_lociStitched	chr10	79293303	79339114	13	25121	49063.581	4113.8278	203	1
9_rep1_rep2_merge_0.001_peak_48589_lociStitched	chr3	105351420	105403794	9	23666	51934.0584	7028.5908	204	1
5_rep1_rep2_merge_0.001_peak_69837_lociStitched	chr8	26441773	26467163	5	19765	46735.373	1985.498	205	1
rep1_rep2_merge_0.001_peak_16459	chr12	52180473	52195938	1	15466	45539.7855	978.9345	206	1
17_rep1_rep2_merge_0.001_peak_67521_lociStitched	chr7	92716889	92769960	17	29840	51197.5937	6681.6389	207	1
11_rep1_rep2_merge_0.001_peak_47785_lociStitched	chr3	62561097	62612957	11	23583	49977.482	5616.438	208	1
4_rep1_rep2_merge_0.001_peak_46169_lociStitched	chr3	15629839	15649861	4	16782	46334.9124	2002.2	209	1
8_rep1_rep2_merge_0.001_peak_4424_lociStitched	chr1	156095656	156131826	8	28097	46731.64	2528.283	210	1
18_rep1_rep2_merge_0.001_peak_36069_lociStitched	chr2	36533872	36572672	18	24131	48659.08	4465.88	211	1
11_rep1_rep2_merge_0.001_peak_63704_lociStitched	chr6	113347127	113386297	11	22997	49350.283	5248.78	212	1
4_rep1_rep2_merge_0.001_peak_14532_lociStitched	chr11	118907568	118930243	4	20487	45551.8075	1455.735	213	1
5_rep1_rep2_merge_0.001_peak_44957_lociStitched	chr22	29616717	29646486	5	22169	46624.2078	2610.7413	214	1
33_rep1_rep2_merge_0.001_peak_57077_lociStitched	chr5	53323533	53431408	33	35072	57572.8875	13581.4625	215	1
9_rep1_rep2_merge_0.001_peak_12157_lociStitched	chr11	28821547	28861942	9	15509	49605.06	5647.221	216	1
8_rep1_rep2_merge_0.001_peak_33546_lociStitched	chr19	13838149	13866464	8	17342	45196.403	1296.827	217	1
9_rep1_rep2_merge_0.001_peak_36470_lociStitched	chr2	44918105	44971845	9	25927	47269.704	3509.222	218	1
