GROUP	chr1	x1	x2	chr2	y1	y2	ctrl_merge	mut_merge
clust3	chr11	51965000	51970000	chr11	52000000	52005000	296.15541179974866	250.01419961452464
clust3	chr11	50290000	50295000	chr11	50325000	50330000	315.222981929779	275.648009856542
clust3	chr11	102185000	102190000	chr11	102245000	102250000	301.89516973495466	280.4326012929277
clust3	chr11	118160000	118165000	chr11	118200000	118205000	466.7253314654033	429.553596655528
clust3	chr11	101810000	101815000	chr11	101850000	101855000	343.9771535396573	319.27077579498297
clust3	chr11	101010000	101015000	chr11	101050000	101055000	418.2765798568726	387.64970541000366
clust3	chr11	60875000	60880000	chr11	60925000	60930000	231.14780137936268	218.36532147725435
clust3	chr11	54875000	54880000	chr11	54925000	54930000	252.921632607778	227.7063552538553
clust3	chr11	97880000	97885000	chr11	97985000	97990000	197.387074828148	180.2997053861617
clust3	chr11	108925000	108930000	chr11	109190000	109195000	169.96740430593468	143.79111625750866
clust3	chr11	61355000	61360000	chr11	61390000	61395000	357.697274128596	321.23153591156034
clust3	chr11	106520000	106525000	chr11	106625000	106630000	286.95179367065435	259.408622264862
clust3	chr11	61190000	61195000	chr11	61345000	61350000	216.64937138557437	191.118663628896
clust3	chr11	53930000	53935000	chr11	54000000	54005000	131.48293681939467	122.75957155227664
clust3	chr11	4095000	4100000	chr11	4135000	4140000	363.82504510879534	315.90799172719335
clust3	chr11	16965000	16970000	chr11	17050000	17055000	223.46467932065332	200.52190470695496
clust3	chr11	31720000	31725000	chr11	31775000	31780000	318.5474536418913	294.0475622812903
clust3	chr11	114880000	114885000	chr11	115150000	115155000	81.47142048676811	72.93559885025023
clust3	chr13	54245000	54250000	chr13	54280000	54285000	240.0907855033873	213.25711896022167
clust3	chr13	46990000	46995000	chr13	47040000	47045000	120.20104285081216	108.47732321421316
clust3	chr13	69760000	69765000	chr13	69805000	69810000	211.40921243031835	190.15810833374636
clust3	chr13	94170000	94175000	chr13	94205000	94210000	249.60280974706032	234.45994190375032
clust3	chr13	62915000	62920000	chr13	63355000	63360000	152.18186994393668	131.5957653721173
clust3	chr13	119630000	119635000	chr13	119690000	119695000	212.79725829760264	181.4047362009684
clust3	chr13	101550000	101555000	chr13	101690000	101695000	93.05904404322312	80.19289153814316
clust3	chr13	59585000	59590000	chr13	59625000	59630000	185.63489619890868	170.91131846110034
clust3	chr13	109050000	109055000	chr13	109115000	109120000	166.27599857250834	140.872445901235
clust3	chr13	48875000	48880000	chr13	49170000	49175000	81.669526775678	69.19144969185193
clust3	chr13	110445000	110450000	chr13	110495000	110500000	179.00210849444068	161.89456534385667
clust3	chr13	52535000	52540000	chr13	52625000	52630000	107.19113610188164	91.60322825113948
clust3	chr13	80880000	80885000	chr13	81425000	81430000	61.55498480796813	55.02970679601034
clust3	chr12	86830000	86835000	chr12	86865000	86870000	444.1006207466123	394.664374669393
clust3	chr12	17650000	17655000	chr12	17690000	17695000	188.14573685328165	173.3896311124163
clust3	chr12	84690000	84695000	chr12	84750000	84755000	221.53383409976968	205.33821709950732
clust3	chr12	54655000	54660000	chr12	54695000	54700000	200.80524901549032	185.69785380363436
clust3	chr12	85215000	85220000	chr12	85265000	85270000	171.6792115767797	154.61169564723934
clust3	chr12	32910000	32915000	chr12	33025000	33030000	112.84828686714168	95.59816775719332
clust3	chr12	76015000	76020000	chr12	76125000	76130000	142.48945520321533	121.84343701601034
clust3	chr12	85965000	85970000	chr12	86025000	86030000	194.27705804506968	178.82165678342167
clust3	chr12	9875000	9880000	chr12	9915000	9920000	224.45075909296668	192.454561471939
clust3	chr12	4035000	4040000	chr12	4075000	4080000	238.86565319697067	219.43660696347533
clust3	chr12	75495000	75500000	chr12	75555000	75560000	197.605716228485	186.94847408930468
clust3	chr12	100775000	100780000	chr12	100840000	100845000	105.8030627270538	98.71105240782111
clust3	chr12	70065000	70070000	chr12	70140000	70145000	121.17787603537232	112.29491976896934
clust3	chr12	81090000	81095000	chr12	81170000	81175000	128.272610783577	119.476165095965
clust3	chr15	25635000	25640000	chr15	25715000	25720000	148.31618779897698	138.324721733729
clust3	chr15	74710000	74715000	chr15	74750000	74755000	235.6510483821233	214.87458606561032
clust3	chr15	81740000	81745000	chr15	81780000	81785000	327.1567819913227	309.779907464981
clust3	chr15	58075000	58080000	chr15	58135000	58140000	153.13742566108667	137.08805636564898
clust3	chr15	4065000	4070000	chr15	4375000	4380000	115.5695138971012	100.02233433723455
clust3	chr15	99495000	99500000	chr15	99775000	99780000	98.96388187011082	86.83529843886693
clust3	chr15	72205000	72210000	chr15	73040000	73045000	80.84696088234584	69.75254555543263
clust3	chr15	12320000	12325000	chr15	12450000	12455000	71.34628619750339	62.43078807989756
clust3	chr16	37615000	37620000	chr16	37650000	37655000	250.71501000722267	216.3759015401204
clust3	chr16	28590000	28595000	chr16	28750000	28755000	154.94755335648833	143.477148294449
clust3	chr16	4725000	4730000	chr16	4780000	4785000	264.5271900494893	243.6715065638224
clust3	chr16	89845000	89850000	chr16	90185000	90190000	160.999621808529	144.04436449209834
clust3	chr16	43465000	43470000	chr16	43500000	43505000	233.78971370061265	197.262521584829
clust3	chr16	41870000	41875000	chr16	41935000	41940000	149.574022849401	130.12026425202666
clust3	chr16	41670000	41675000	chr16	41730000	41735000	181.59624115626036	163.66702771186803
clust3	chr16	17145000	17150000	chr16	17200000	17205000	159.572701772054	150.52735404173535
clust3	chr16	76250000	76255000	chr16	76300000	76305000	228.742776095867	213.729858160019
clust3	chr16	33380000	33385000	chr16	33735000	33740000	111.23519241809844	99.4594663580259
clust3	chr16	18625000	18630000	chr16	18795000	18800000	95.607180217902	86.4689029455185
clust3	chr16	35055000	35060000	chr16	35270000	35275000	104.31405242284148	94.28313267230988
clust3	chr17	88385000	88390000	chr17	88420000	88425000	302.0213227272033	269.5570921500527
clust3	chr17	78400000	78405000	chr17	78435000	78440000	270.404422680537	235.10434563954664
clust3	chr17	23785000	23790000	chr17	23825000	23830000	231.0623022715253	209.91212018330864
clust3	chr17	46660000	46665000	chr17	46705000	46710000	283.57808987299603	259.36742023626965
clust3	chr17	29455000	29460000	chr17	29490000	29495000	361.1829568545024	332.02975193659466
clust3	chr17	86290000	86295000	chr17	86350000	86355000	215.86243359247865	202.89184153079964
clust3	chr17	5550000	5555000	chr17	5620000	5625000	245.23007225990295	224.8693090279897
clust3	chr17	56275000	56280000	chr17	56350000	56355000	229.73652990659068	209.69298346837363
clust3	chr17	25880000	25885000	chr17	25970000	25975000	280.14581823349	254.69971466064464
clust3	chr17	80800000	80805000	chr17	80940000	80945000	117.5114970008533	103.99109496672972
clust3	chr17	35920000	35925000	chr17	35965000	35970000	271.624415198962	240.909813642502
clust3	chr17	6105000	6110000	chr17	6200000	6205000	454.3176466623944	407.3481545448303
clust3	chr17	25015000	25020000	chr17	25270000	25275000	82.54353753725688	75.23942659298581
clust3	chr17	88950000	88955000	chr17	90500000	90505000	49.925872127215065	43.58163895209631
clust3	chr17	46525000	46530000	chr17	46770000	46775000	101.97474857171387	95.52111973365136
clust3	chr1	130795000	130800000	chr1	130835000	130840000	184.60494573911032	173.675239086151
clust3	chr1	78310000	78315000	chr1	78370000	78375000	253.44777059555037	232.3786172866824
clust3	chr1	36305000	36310000	chr1	36365000	36370000	155.6227136452993	134.44046942393
clust3	chr1	172120000	172125000	chr1	172310000	172315000	203.6437099774677	186.39302118619295
clust3	chr1	38895000	38900000	chr1	38935000	38940000	205.99071391423533	192.29276553789768
clust3	chr1	6770000	6775000	chr1	6820000	6825000	282.40612212816865	243.70870478947936
clust3	chr1	182340000	182345000	chr1	182405000	182410000	150.521944363912	133.07319549719466
clust3	chr1	64340000	64345000	chr1	64410000	64415000	207.43074675401067	181.22699046134932
clust3	chr1	131290000	131295000	chr1	131335000	131340000	223.31950362523435	194.16806741555533
clust3	chr1	183295000	183300000	chr1	183345000	183350000	186.92269547780367	166.20914518833166
clust3	chr1	162475000	162480000	chr1	162545000	162550000	129.594952106476	121.22767162323
clust3	chr1	121325000	121330000	chr1	121430000	121435000	86.57569768031436	76.81360787153243
clust3	chr1	60340000	60345000	chr1	60425000	60430000	159.705057144165	141.350508292516
clust3	chr1	170900000	170905000	chr1	171110000	171115000	76.43543716271721	67.902600646019
clust3	chr1	152165000	152170000	chr1	152345000	152350000	86.26330763101576	74.68579016129173
clust3	chr1	105065000	105070000	chr1	105355000	105360000	76.70705562829973	68.76685831944147
clust3	chr1	88180000	88185000	chr1	88245000	88250000	67.81893851359683	61.65704983472827
clust3	chr1	68745000	68750000	chr1	69090000	69095000	106.06853477160126	90.7618470191954
clust3	chr1	150390000	150395000	chr1	151340000	151345000	42.897526343663536	37.288009683291136
clust3	chr1	166750000	166755000	chr1	167330000	167335000	56.755054821570695	49.95629092057544
clust3	chr1	172615000	172620000	chr1	173390000	173395000	68.1936192512512	60.24391048153243
clust3	chr1	134555000	134560000	chr1	134960000	134965000	40.0419755578041	36.09024602174757
clust3	chr18	44470000	44475000	chr18	44520000	44525000	194.89583345254263	183.4709568818413
clust3	chr18	75470000	75475000	chr18	75595000	75600000	134.09571645657232	115.09272640943531
clust3	chr18	75435000	75440000	chr18	75565000	75570000	129.294972618421	114.30870928366969
clust3	chr18	82005000	82010000	chr18	82105000	82110000	120.328725616137	108.046791036924
clust3	chr18	22935000	22940000	chr18	23040000	23045000	183.8545733094213	168.828734914462
clust3	chr18	37515000	37520000	chr18	37880000	37885000	83.56292661031087	79.0887986222903
clust3	chr18	36000000	36005000	chr18	36260000	36265000	110.49967847267772	101.0295997063322
clust3	chr19	6080000	6085000	chr19	6125000	6130000	246.11145242055264	222.72228860855105
clust3	chr19	46135000	46140000	chr19	46305000	46310000	162.570816238721	144.095752120018
clust3	chr19	6140000	6145000	chr19	6180000	6185000	285.8698571523027	260.64844783147163
clust3	chr19	4125000	4130000	chr19	4200000	4205000	206.60458147525765	186.58276418844864
clust3	chr19	4755000	4760000	chr19	4790000	4795000	336.7529780864716	306.043358564377
clust3	chr19	40470000	40475000	chr19	40510000	40515000	269.6038537422817	240.97273798783635
clust3	chr19	22805000	22810000	chr19	22845000	22850000	319.035263538361	284.50617059071834
clust3	chr19	7070000	7075000	chr19	7105000	7110000	362.1291440327963	335.5339693228403
clust3	chr19	5300000	5305000	chr19	5340000	5345000	323.8447812398277	294.59735298156767
clust3	chr19	32710000	32715000	chr19	33390000	33395000	66.01946282386777	57.60618593295413
clust3	chr19	44135000	44140000	chr19	44295000	44300000	72.67894268035887	68.17785118023554
clust3	chr19	10055000	10060000	chr19	10195000	10200000	158.92158295710863	148.134605328242
clust3	chr2	25430000	25435000	chr2	25495000	25500000	452.78804842631007	423.3964072068533
clust3	chr2	76370000	76375000	chr2	76405000	76410000	237.18643101056432	207.37729426225036
clust3	chr2	164960000	164965000	chr2	165070000	165075000	163.1587792634963	150.73837405443166
clust3	chr2	58770000	58775000	chr2	58805000	58810000	274.85396758715336	251.02085864543932
clust3	chr2	28465000	28470000	chr2	28545000	28550000	140.88337294260668	128.41461958487832
clust3	chr2	28215000	28220000	chr2	28385000	28390000	238.88877010345468	226.30688695112863
clust3	chr2	90865000	90870000	chr2	90900000	90905000	331.9798924128217	304.61426003773965
clust3	chr2	117180000	117185000	chr2	117230000	117235000	189.41090718905104	164.642598350843
clust3	chr2	181160000	181165000	chr2	181285000	181290000	167.89801398913067	146.27980796496067
clust3	chr2	30045000	30050000	chr2	30160000	30165000	206.109580039978	185.4773894945777
clust3	chr2	121955000	121960000	chr2	122020000	122025000	145.4304498036703	129.52093297243132
clust3	chr2	120730000	120735000	chr2	120865000	120870000	138.7243563135463	126.62857683499668
clust3	chr2	102290000	102295000	chr2	102450000	102455000	98.04096323251748	88.11323761940001
clust3	chr2	32130000	32135000	chr2	32285000	32290000	157.257525722186	134.94173598289467
clust3	chr2	143125000	143130000	chr2	143215000	143220000	159.29922521114366	144.64268525441466
clust3	chr2	139195000	139200000	chr2	139275000	139280000	170.70895198980998	147.65325979391767
clust3	chr2	75660000	75665000	chr2	75830000	75835000	108.95335209369672	100.98952798048644
clust3	chr2	32720000	32725000	chr2	32925000	32930000	91.5131021738054	86.15315812826157
clust3	chr2	33745000	33750000	chr2	34635000	34640000	66.55173875888191	58.53620058298109
clust3	chrX	74305000	74310000	chrX	74365000	74370000	77.05140908559166	72.05835743745169
clust3	chrX	152175000	152180000	chrX	152230000	152235000	57.54380303621293	51.43561501801013
clust3	chr3	103480000	103485000	chr3	103515000	103520000	263.63822944959	237.59470371405268
clust3	chr3	151330000	151335000	chr3	151365000	151370000	265.94505198796566	251.52436200777663
clust3	chr3	53045000	53050000	chr3	53200000	53205000	195.00710479418436	180.847375154495
clust3	chr3	139865000	139870000	chr3	140140000	140145000	113.4324151674904	100.0053211649258
clust3	chr3	52120000	52125000	chr3	52160000	52165000	264.50555276870733	236.2602712313337
clust3	chr3	37640000	37645000	chr3	37765000	37770000	118.534585316976	111.70687574148168
clust3	chr3	105685000	105690000	chr3	105955000	105960000	49.03872958819071	46.04397931694984
clust3	chr3	116505000	116510000	chr3	116710000	116715000	61.95564107100167	52.27318141857783
clust3	chr3	80910000	80915000	chr3	81035000	81040000	52.126339217027	47.6537988980611
clust3	chr3	138195000	138200000	chr3	139190000	139195000	53.85760470231373	47.72134550412496
clust3	chr4	149425000	149430000	chr4	149460000	149465000	349.39204963048337	308.7517528533933
clust3	chr4	62360000	62365000	chr4	62405000	62410000	183.067283709844	161.52831665674867
clust3	chr4	62580000	62585000	chr4	62670000	62675000	217.609806219737	185.98158208529165
clust3	chr4	63255000	63260000	chr4	63305000	63310000	185.258666872978	160.74437371889735
clust3	chr4	40720000	40725000	chr4	40755000	40760000	202.913221915563	186.64514265457765
clust3	chr4	62610000	62615000	chr4	62645000	62650000	283.903691927592	249.2028559048973
clust3	chr4	116140000	116145000	chr4	116175000	116180000	217.28014421463	185.68255180120468
clust3	chr4	148115000	148120000	chr4	148165000	148170000	278.114132642746	252.7014142672223
clust3	chr4	151860000	151865000	chr4	151900000	151905000	249.848357081413	223.243503411611
clust3	chr4	106995000	107000000	chr4	107035000	107040000	240.528763214747	224.11967873573332
clust3	chr4	133685000	133690000	chr4	133720000	133725000	400.3562784194947	346.1848169962564
clust3	chr4	128810000	128815000	chr4	128880000	128885000	156.451558828354	143.88682162761668
clust3	chr4	132300000	132305000	chr4	132350000	132355000	225.2822847763697	211.21183522542333
clust3	chr4	140645000	140650000	chr4	140700000	140705000	137.98690199851998	128.7198875347773
clust3	chr4	107890000	107895000	chr4	108115000	108120000	101.31672294934572	91.84474784135811
clust3	chr4	132765000	132770000	chr4	132920000	132925000	108.2718443473182	92.6409507989883
clust3	chr4	97575000	97580000	chr4	97655000	97660000	133.75593129793802	118.35842192173
clust3	chr4	41520000	41525000	chr4	41650000	41655000	164.70063340663933	141.2892154455187
clust3	chr4	136650000	136655000	chr4	137070000	137075000	76.86575162410736	66.61535688241322
clust3	chr4	130955000	130960000	chr4	131365000	131370000	101.71973480780936	90.84838831424698
clust3	chr5	130020000	130025000	chr5	130135000	130140000	286.9806063175203	255.60950032869968
clust3	chr5	110135000	110140000	chr5	110175000	110180000	195.11038144429503	184.15627658367168
clust3	chr5	137290000	137295000	chr5	137330000	137335000	216.649684826533	192.51227625211064
clust3	chr5	121340000	121345000	chr5	121375000	121380000	403.5282287597656	361.31717856725066
clust3	chr5	26930000	26935000	chr5	27005000	27010000	192.186074256897	168.112477302551
clust3	chr5	130940000	130945000	chr5	130975000	130980000	209.57586916287727	195.9532409509023
clust3	chr5	53120000	53125000	chr5	53205000	53210000	187.27097511291532	175.50370152791334
clust3	chr5	140645000	140650000	chr5	140700000	140705000	166.859812259674	152.79006671905535
clust3	chr5	145230000	145235000	chr5	145275000	145280000	164.64018825689934	148.67736446857432
clust3	chr5	69230000	69235000	chr5	69340000	69345000	162.93486893177035	150.644657810529
clust3	chr5	39025000	39030000	chr5	39060000	39065000	239.92791891098037	222.57592837015804
clust3	chr5	110040000	110045000	chr5	110075000	110080000	294.572325706482	257.936373392741
clust3	chr5	36525000	36530000	chr5	36745000	36750000	117.43155185381568	108.95775294303894
clust3	chr5	76530000	76535000	chr5	76585000	76590000	160.48314166069	137.27448685963932
clust3	chr5	65490000	65495000	chr5	65695000	65700000	117.47256706158332	100.47189005215957
clust3	chr5	71985000	71990000	chr5	72075000	72080000	99.21716022491483	89.34502120812722
clust3	chr6	72215000	72220000	chr6	72250000	72255000	370.0692682266233	339.7964125474296
clust3	chr6	50595000	50600000	chr6	50660000	50665000	162.0557130972543	139.63238076369
clust3	chr6	17675000	17680000	chr6	17725000	17730000	169.99386088053367	159.51306863625834
clust3	chr6	115130000	115135000	chr6	115165000	115170000	347.80395714441903	327.196067492167
clust3	chr6	53215000	53220000	chr6	53285000	53290000	133.2844921747843	119.04770165681832
clust3	chr6	115045000	115050000	chr6	115225000	115230000	193.137313048045	172.58993919690434
clust3	chr6	85450000	85455000	chr6	85585000	85590000	144.33850045998898	131.81297735373198
clust3	chr6	115135000	115140000	chr6	115265000	115270000	141.369851311048	120.30724251270298
clust3	chr6	136465000	136470000	chr6	136720000	136725000	125.81710406144468	113.99122152725836
clust3	chr6	49235000	49240000	chr6	49270000	49275000	197.7436916430793	180.79919644196835
clust3	chr6	29765000	29770000	chr6	29915000	29920000	72.40219061573346	63.3353621761004
clust3	chr6	91775000	91780000	chr6	92065000	92070000	74.25233978033067	67.99379179875054
clust3	chr7	132265000	132270000	chr7	132315000	132320000	222.73457988103232	190.0680708090463
clust3	chr7	27190000	27195000	chr7	27225000	27230000	270.224186638991	235.55885736147533
clust3	chr7	128530000	128535000	chr7	128565000	128570000	282.2308526039127	240.93152888615933
clust3	chr7	46675000	46680000	chr7	46710000	46715000	213.34803326924637	188.7899628877637
clust3	chr7	126760000	126765000	chr7	126795000	126800000	290.11191542943294	253.4975051879883
clust3	chr7	27445000	27450000	chr7	27485000	27490000	196.00375294685367	167.03617262840302
clust3	chr7	63520000	63525000	chr7	63585000	63590000	169.65261332194032	150.309223373731
clust3	chr7	64630000	64635000	chr7	64685000	64690000	207.4962589740753	191.366623878479
clust3	chr7	19175000	19180000	chr7	19225000	19230000	185.66166702906295	167.94814773400637
clust3	chr7	133060000	133065000	chr7	133120000	133125000	199.9994780222573	175.237862666448
clust3	chr7	25025000	25030000	chr7	25060000	25065000	292.883236567179	276.44656531016034
clust3	chr7	39550000	39555000	chr7	39585000	39590000	252.849700450897	216.5180265903477
clust3	chr7	18910000	18915000	chr7	18985000	18990000	197.12973721822095	166.62806200981132
clust3	chr7	126395000	126400000	chr7	126480000	126485000	129.17414645353935	110.35376091798166
clust3	chr7	122330000	122335000	chr7	122380000	122385000	259.454222838084	238.81012725830067
clust3	chr7	133185000	133190000	chr7	133570000	133575000	108.5109889308609	91.89190340042114
clust3	chr7	4655000	4660000	chr7	4690000	4695000	249.03820041815467	225.3964670499164
clust3	chr7	127405000	127410000	chr7	127465000	127470000	217.22140113512705	187.491316954295
clust3	chr7	101675000	101680000	chr7	101845000	101850000	139.304700811704	127.081441283226
clust3	chr7	37370000	37375000	chr7	37475000	37480000	111.5946699281533	95.50216633081436
clust3	chr7	16745000	16750000	chr7	16845000	16850000	87.16619318723679	75.9619423945745
clust3	chr7	80855000	80860000	chr7	81060000	81065000	63.08245360851286	53.555879910786935
clust3	chr10	25040000	25045000	chr10	25080000	25085000	303.6630158424377	266.9669740200044
clust3	chr10	78320000	78325000	chr10	78390000	78395000	196.552257458369	170.32141462961832
clust3	chr10	39610000	39615000	chr10	39655000	39660000	215.553392847379	187.42661662896467
clust3	chr10	82715000	82720000	chr10	82755000	82760000	198.03968163331365	183.746846675873
clust3	chr10	59780000	59785000	chr10	59815000	59820000	236.86321401596064	206.23034628232327
clust3	chr10	39455000	39460000	chr10	39505000	39510000	232.404357671738	215.809874455134
clust3	chr10	37070000	37075000	chr10	37135000	37140000	108.57839733362188	98.85170058409383
clust3	chr10	57570000	57575000	chr10	57630000	57635000	180.502906878789	163.48007468382534
clust3	chr10	116650000	116655000	chr10	116870000	116875000	101.5537049571672	86.41933095455165
clust3	chr10	83540000	83545000	chr10	83600000	83605000	181.906003534794	165.10876290003466
clust3	chr10	20070000	20075000	chr10	20125000	20130000	189.02694358428332	171.77736028035466
clust3	chr10	100485000	100490000	chr10	100585000	100590000	157.60817245642332	136.68480996290867
clust3	chr10	76800000	76805000	chr10	76880000	76885000	118.0848242044451	102.11259369055432
clust3	chr10	120585000	120590000	chr10	120700000	120705000	159.68777449925767	137.82363476355866
clust3	chr10	41830000	41835000	chr10	42025000	42030000	107.43721391757327	95.74231654405584
clust3	chr10	127640000	127645000	chr10	128005000	128010000	84.00239769617714	77.24954567352934
clust3	chr10	82905000	82910000	chr10	83350000	83355000	103.2798535823821	88.08541508515673
clust3	chr10	105575000	105580000	chr10	105770000	105775000	48.47374057769776	42.548421909411736
clust3	chr8	118960000	118965000	chr8	119030000	119035000	135.595970829328	114.70816095670068
clust3	chr8	13550000	13555000	chr8	13785000	13790000	146.02478520075468	137.11102177699402
clust3	chr8	87710000	87715000	chr8	87745000	87750000	218.5855408509573	195.8542032241824
clust3	chr8	85080000	85085000	chr8	85115000	85120000	218.3986903429033	198.8629442056024
clust3	chr8	84035000	84040000	chr8	84215000	84220000	178.85899857680002	151.043814301491
clust3	chr8	115705000	115710000	chr8	116045000	116050000	51.4000178575516	46.9083410600821
clust3	chr14	54840000	54845000	chr14	54900000	54905000	122.68976453940084	106.68188627560949
clust3	chr14	76110000	76115000	chr14	76150000	76155000	144.67313687006666	130.03546454509066
clust3	chr14	122885000	122890000	chr14	122980000	122985000	87.48961812257762	82.33628679315247
clust3	chr14	25025000	25030000	chr14	25225000	25230000	48.68247900406519	41.07827882965406
clust3	chr14	75195000	75200000	chr14	75720000	75725000	72.58623361587523	64.08401324351627
clust3	chr9	108150000	108155000	chr9	108185000	108190000	854.701960245768	779.4963264465329
clust3	chr9	25480000	25485000	chr9	25515000	25520000	311.8859055042267	272.600819269816
clust3	chr9	21975000	21980000	chr9	22050000	22055000	307.462793032328	270.705679734548
clust3	chr9	28450000	28455000	chr9	28485000	28490000	333.02651309967064	287.31207100550336
clust3	chr9	68610000	68615000	chr9	68650000	68655000	210.05232620239235	191.74853452046705
clust3	chr9	44285000	44290000	chr9	44325000	44330000	378.6479439735413	341.37648534774763
clust3	chr9	22115000	22120000	chr9	22150000	22155000	342.5969371000924	316.24198160568864
clust3	chr9	36765000	36770000	chr9	36830000	36835000	186.09320104122165	167.42950169245367
clust3	chr9	49635000	49640000	chr9	49795000	49800000	165.25902454058334	155.69159217675565
clust3	chr9	47305000	47310000	chr9	47420000	47425000	119.57757745186504	104.10735134283708
clust3	chr9	29315000	29320000	chr9	29390000	29395000	214.735249996185	197.229010661443
clust3	chr9	29255000	29260000	chr9	29380000	29385000	190.74179216225969	168.704923629761
clust3	chr9	37065000	37070000	chr9	37125000	37130000	196.90738137563065	176.18814826011635
clust3	chr9	56505000	56510000	chr9	56635000	56640000	117.91333089272176	104.79662452141469
clust3	chr9	28405000	28410000	chr9	28745000	28750000	108.832195798556	94.42413192987446
clust3	chr9	109875000	109880000	chr9	109930000	109935000	183.1805318991343	164.82143362363198
clust3	chr9	35055000	35060000	chr9	35110000	35115000	229.4692225456237	200.768329501152
clust3	chr9	72525000	72530000	chr9	72670000	72675000	146.2490980823833	132.61635915438333
clust3	chr9	96470000	96475000	chr9	96545000	96550000	162.10506250460932	142.921925008297
clust3	chr9	61275000	61280000	chr9	61695000	61700000	75.1015832424164	67.83296525478363
clust3	chr9	103360000	103365000	chr9	104060000	104065000	71.78809517621994	60.97481715679171
clust3	chr11	19930000	19935000	chr11	19965000	19970000	498.6833254496253	430.685255845388
