seqnames	start	end	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	153741984	153742384	401	*	4.008514783	4.718092859	2.553194878	1.440582881	2.92E-09	5.68E-06	"Exon (ENSMUST00000027748.7/19734, exon 4 of 5)"	1	153740349	153745468	5120	1	19734	ENSMUST00000027748.7	1635	ENSMUSG00000026475	Rgs16	regulator of G-protein signaling 16
chr7	143437156	143437556	401	*	4.538851585	3.449834483	5.152306359	-1.198924003	3.50E-09	6.31E-06	Distal Intergenic	7	143458722	143459311	590	2	12577	ENSMUST00000208118.1	21755	ENSMUSG00000037664	Cdkn1c	cyclin dependent kinase inhibitor 1C
chr7	96211153	96211553	401	*	4.447072187	3.236173497	5.095998272	-1.257203617	3.57E-09	6.31E-06	Promoter	7	96211671	96908554	696884	1	23966	ENSMUST00000107165.7	-118	ENSMUSG00000048078	Tenm4	teneurin transmembrane protein 4
chr4	97583070	97583470	401	*	4.049251465	4.720571514	2.754019175	1.294899435	9.52E-09	1.61E-05	"Intron (ENSMUST00000148653.7/319865, intron 1 of 4)"	4	97568133	97584596	16464	2	319865	ENSMUST00000148653.7	1126	NA	E130114P18Rik	RIKEN cDNA E130114P18 gene
chr1	184903584	184903984	401	*	5.189551497	5.760393877	4.231101136	1.121326614	1.03E-08	1.67E-05	"Intron (ENSMUST00000027929.9/226778, intron 16 of 17)"	1	184871926	184883218	11293	2	226777	ENSMUST00000048308.5	-20366	ENSMUSG00000039349	C130074G19Rik	RIKEN cDNA C130074G19 gene
chr15	83778795	83779195	401	*	4.417341707	3.43221762	4.997311288	-1.121598438	1.71E-08	2.66E-05	Promoter	15	83779467	83792131	12665	1	223726	ENSMUST00000109469.1	-272	ENSMUSG00000041708	Mpped1	metallophosphoesterase domain containing 1
chr13	23568646	23569046	401	*	3.681655753	4.423441276	2.072349061	1.442752202	2.54E-08	3.80E-05	Distal Intergenic	13	23570517	23571220	704	2	319166	ENSMUST00000102969.5	2174	ENSMUSG00000069272	H2ac8	H2A clustered histone 8
chr11	114065554	114065954	401	*	5.133363165	4.091025743	5.732166473	-1.139865172	2.64E-08	3.81E-05	Promoter	11	113848562	114065975	217414	2	237979	ENSMUST00000141943.1	21	ENSMUSG00000041592	Sdk2	sidekick cell adhesion molecule 2
chr4	45765328	45765728	401	*	4.050935339	2.87682497	4.689558852	-1.192659431	2.85E-08	3.96E-05	Distal Intergenic	4	45762377	45764223	1847	2	100040567	ENSMUST00000147231.1	-1105	ENSMUSG00000085876	Gm12409	predicted gene 12409
chr7	143393348	143393748	401	*	4.397191788	3.244226487	5.029739234	-1.163408888	3.86E-08	5.18E-05	"Intron (ENSMUST00000009689.10/16535, intron 15 of 15)"	7	143322775	143330650	7876	2	71153	ENSMUST00000188294.1	-62698	ENSMUSG00000101360	4933417O13Rik	RIKEN cDNA 4933417O13 gene
chr10	109693014	109693414	401	*	3.751671012	4.444752097	2.368094204	1.264198709	4.13E-08	5.21E-05	"Exon (ENSMUST00000032719.14/260315, exon 36 of 39)"	10	109714302	109723801	9500	2	260315	ENSMUST00000161223.1	30387	ENSMUSG00000020181	Nav3	neuron navigator 3
chr8	49677252	49677652	401	*	3.511951335	4.266999577	1.833011123	1.464403541	4.15E-08	5.21E-05	Distal Intergenic	8	50368112	50416088	47977	1	100039954	ENSMUST00000210011.1	-690460	ENSMUSG00000110281	Gm2516	predicted gene 2516
chr17	90991076	90991476	401	*	4.189088995	4.848549028	2.939296389	1.209739595	4.45E-08	5.40E-05	"Exon (ENSMUST00000072671.13/18189, exon 4 of 21)"	17	90535206	91088483	553278	2	18189	ENSMUST00000161637.7	97007	ENSMUSG00000024109	Nrxn1	neurexin I
chr10	109736280	109736680	401	*	4.128119075	4.794129659	2.853452505	1.214186705	4.87E-08	5.74E-05	"Intron (ENSMUST00000032719.14/260315, intron 23 of 38)"	10	109714302	109723801	9500	2	260315	ENSMUST00000161223.1	-12479	ENSMUSG00000020181	Nav3	neuron navigator 3
chr18	32945418	32945818	401	*	4.917252854	5.466666945	4.018926538	1.058360632	7.02E-08	8.04E-05	"Intron (ENSMUST00000234205.1/12326, intron 4 of 14)"	18	32939158	33186270	247113	1	12326	ENSMUST00000042868.5	6260	ENSMUSG00000038128	Camk4	calcium/calmodulin-dependent protein kinase IV
chr18	32963879	32964279	401	*	4.720554712	5.279146157	3.796893415	1.071157397	7.59E-08	8.44E-05	"Intron (ENSMUST00000234205.1/12326, intron 4 of 14)"	18	32939158	33186270	247113	1	12326	ENSMUST00000042868.5	24721	ENSMUSG00000038128	Camk4	calcium/calmodulin-dependent protein kinase IV
chr9	4537069	4537469	401	*	4.329805939	4.948534378	3.223490565	1.135053124	8.37E-08	9.05E-05	"Intron (ENSMUST00000063508.14/14802, intron 5 of 16)"	9	4383535	4386861	3327	1	78100	ENSMUST00000047173.9	153534	ENSMUSG00000041124	Msantd4	Myb/SANT-like DNA-binding domain containing 4 with coiled-coils
chr18	64387136	64387536	401	*	3.516980477	4.235000092	2.02318632	1.296431693	8.74E-08	9.19E-05	3' UTR	18	64340020	64400987	60968	1	225631	ENSMUST00000175965.9	47116	ENSMUSG00000045991	Onecut2	"one cut domain, family member 2"
chr6	18403666	18404066	401	*	4.737770605	5.288206258	3.836653984	1.048640792	9.25E-08	9.24E-05	"Intron (ENSMUST00000152499.7/30785, intron 8 of 18)"	6	18389145	18408694	19550	2	30785	ENSMUST00000141581.1	4628	ENSMUSG00000000416	Cttnbp2	cortactin binding protein 2
chr5	88966446	88966846	401	*	3.936886538	4.589163544	2.713759411	1.169139367	9.43E-08	9.24E-05	"Intron (ENSMUST00000148750.7/54403, intron 3 of 25)"	5	88934572	89038470	103899	1	54403	ENSMUST00000238265.1	31874	ENSMUSG00000060961	Slc4a4	"solute carrier family 4 (anion exchanger), member 4"
chr13	103796341	103796741	401	*	3.677125713	4.343721352	2.400210996	1.198546484	9.66E-08	9.24E-05	Distal Intergenic	13	103741612	103774608	32997	2	218543	ENSMUST00000074616.6	-21733	ENSMUSG00000032621	Srek1	splicing regulatory glutamine/lysine-rich protein 1
chr8	55040485	55040885	401	*	4.65139437	5.188724308	3.785525732	1.022349632	9.81E-08	9.24E-05	"Intron (ENSMUST00000033915.8/234267, intron 2 of 6)"	8	54954843	55060871	106029	1	234267	ENSMUST00000033915.8	85642	ENSMUSG00000031517	Gpm6a	glycoprotein m6a
chr18	33202774	33203174	401	*	5.211754149	5.738292252	4.374045433	1.015105963	9.98E-08	9.24E-05	3' UTR	18	33203405	33213766	10362	2	170459	ENSMUST00000119991.7	10592	ENSMUSG00000024378	Stard4	StAR related lipid transfer domain containing 4
chr13	23575603	23576003	401	*	4.2563547	4.897004268	3.075104008	1.150870523	1.29E-07	0.000115723	Promoter	13	23575763	23577011	1249	1	319149	ENSMUST00000105105.3	0	ENSMUSG00000099583	H3c4	H3 clustered histone 4
chr11	117889483	117889883	401	*	3.733283593	4.427437782	2.345171314	1.216626818	1.31E-07	0.000115723	Distal Intergenic	11	117867952	117873481	5530	2	71776	ENSMUST00000153989.1	-16002	ENSMUSG00000017713	Tha1	threonine aldolase 1
chr18	82869813	82870213	401	*	3.793062068	4.489877767	2.393624299	1.208851133	1.59E-07	0.000137858	"Exon (ENSMUST00000181345.1/73985, exon 2 of 2)"	18	82855897	82859162	3266	1	73985	ENSMUST00000180631.1	13916	ENSMUSG00000097738	4930445N18Rik	RIKEN cDNA 4930445N18 gene
chr5	14751276	14751676	401	*	4.330764801	4.942160866	3.248427668	1.109483978	1.73E-07	0.000145796	"Intron (ENSMUST00000182407.7/26875, intron 10 of 19)"	5	14680863	14796004	115142	1	26875	ENSMUST00000182915.1	70413	ENSMUSG00000061601	Pclo	piccolo (presynaptic cytomatrix protein)
chr11	113792803	113793203	401	*	3.836650764	4.514368324	2.516139177	1.177481634	1.76E-07	0.000145796	"Intron (ENSMUST00000041627.13/237979, intron 43 of 44)"	11	113793839	113810423	16585	2	237979	ENSMUST00000156955.1	17220	ENSMUSG00000041592	Sdk2	sidekick cell adhesion molecule 2
chr5	99786687	99787087	401	*	4.442273832	5.010000711	3.492778632	1.050659618	1.80E-07	0.000145796	Distal Intergenic	5	99730854	99753973	23120	2	330133	ENSMUST00000198449.4	-32714	ENSMUSG00000105218	Gm38413	"predicted gene, 38413"
chr2	66344478	66344878	401	*	3.564271331	4.257731606	2.179093889	1.185062957	2.08E-07	0.000164416	"Intron (ENSMUST00000112366.7/20265, intron 2 of 26)"	2	66272885	66351177	78293	2	20265	ENSMUST00000094951.9	6299	ENSMUSG00000064329	Scn1a	"sodium channel, voltage-gated, type I, alpha"
chr5	117938355	117938755	401	*	3.971026773	4.581103944	2.892947926	1.103474071	2.11E-07	0.000164416	"Exon (ENSMUST00000182216.1/ENSMUST00000182216.1, exon 3 of 5)"	5	117919175	117925731	6557	1	18125	ENSMUST00000138554.1	19180	ENSMUSG00000029361	Nos1	"nitric oxide synthase 1, neuronal"
chr12	84851971	84852371	401	*	4.000455627	4.64758596	2.796056149	1.13482364	2.34E-07	0.000178476	"Intron (ENSMUST00000002073.12/16997, intron 3 of 35)"	12	84875769	84878132	2364	1	100303738	ENSMUST00000171853.1	-23398	ENSMUSG00000092130	D030025P21Rik	RIKEN cDNA D030025P21 gene
chr7	143399219	143399619	401	*	4.169296821	3.067804448	4.786563172	-1.093219119	2.45E-07	0.000183373	"Intron (ENSMUST00000009689.10/16535, intron 15 of 15)"	7	143458722	143459311	590	2	12577	ENSMUST00000208118.1	59692	ENSMUSG00000037664	Cdkn1c	cyclin dependent kinase inhibitor 1C
chr5	21979428	21979828	401	*	4.401430444	4.958737144	3.481352479	1.031518399	3.43E-07	0.000249518	"Exon (ENSMUST00000161356.7/19699, exon 33 of 65)"	5	21976038	22010264	34227	2	19699	ENSMUST00000161353.1	30436	ENSMUSG00000042453	Reln	reelin
chr9	111373218	111373618	401	*	3.663812756	4.355366648	2.286660352	1.1622145	3.46E-07	0.000249518	"Exon (ENSMUST00000078626.7/320429, exon 13 of 22)"	9	111374820	111395775	20956	1	320429	ENSMUST00000196945.4	-1202	ENSMUSG00000062296	Trank1	tetratricopeptide repeat and ankyrin repeat containing 1
chr14	31254529	31254929	401	*	3.558173891	2.063827262	4.276312737	-1.189119994	3.66E-07	0.000256338	3' UTR	14	31256269	31258524	2256	1	104416	ENSMUST00000187156.1	-1340	ENSMUSG00000021901	Bap1	Brca1 associated protein 1
chr3	114930415	114930815	401	*	4.407082678	4.98764185	3.420212597	1.048502454	3.69E-07	0.000256338	"Intron (ENSMUST00000081752.12/229759, intron 1 of 5)"	3	114904635	115120974	216340	1	229759	ENSMUST00000149158.7	25780	ENSMUSG00000027965	Olfm3	olfactomedin 3
chr5	53169932	53170332	401	*	4.583171414	5.10568346	3.755776053	0.991118703	3.88E-07	0.000260806	"Intron (ENSMUST00000031090.7/231238, intron 9 of 23)"	5	53155595	53173112	17518	2	231238	ENSMUST00000196550.1	2780	ENSMUSG00000029189	Sel1l3	sel-1 suppressor of lin-12-like 3 (C. elegans)
chr4	47279322	47279722	401	*	3.896241995	2.587478989	4.571003771	-1.132040121	3.91E-07	0.000260806	"Exon (ENSMUST00000082303.12/12819, exon 15 of 39)"	4	47288057	47293222	5166	1	12819	ENSMUST00000140413.7	-8335	ENSMUSG00000028339	Col15a1	"collagen, type XV, alpha 1"
chr5	127555094	127555494	401	*	2.94164549	0.761207706	3.773029216	-1.468911872	4.02E-07	0.000260806	"Intron (ENSMUST00000119026.7/208213, intron 8 of 8)"	5	127553254	127564486	11233	1	208213	ENSMUST00000145748.1	1840	ENSMUSG00000034324	Tmem132c	transmembrane protein 132C
chr5	53151709	53152109	401	*	4.645684421	5.164478283	3.827723435	0.986337635	4.08E-07	0.000260806	"Intron (ENSMUST00000031090.7/231238, intron 11 of 23)"	5	53155595	53173112	17518	2	231238	ENSMUST00000196550.1	21003	ENSMUSG00000029189	Sel1l3	sel-1 suppressor of lin-12-like 3 (C. elegans)
chr18	32995226	32995626	401	*	4.35894284	4.941631821	3.365741982	1.04416026	4.09E-07	0.000260806	"Intron (ENSMUST00000234205.1/12326, intron 4 of 14)"	18	32939158	33186270	247113	1	12326	ENSMUST00000042868.5	56068	ENSMUSG00000038128	Camk4	calcium/calmodulin-dependent protein kinase IV
chr13	11793884	11794284	401	*	4.282681174	4.888921972	3.216895883	1.06747904	4.18E-07	0.000262121	"Intron (ENSMUST00000021750.14/20191, intron 21 of 104)"	13	11769206	11772516	3311	2	20191	ENSMUST00000222386.1	-21368	ENSMUSG00000021313	Ryr2	"ryanodine receptor 2, cardiac"
chr1	77102080	77102480	401	*	4.059694504	4.670426503	2.979503486	1.080915247	4.31E-07	0.000266155	Distal Intergenic	1	77373613	77377607	3995	2	13838	ENSMUST00000187346.1	275127	ENSMUSG00000026235	Epha4	Eph receptor A4
chr12	81314039	81314439	401	*	5.000182535	5.523238648	4.171399444	0.978147061	4.88E-07	0.000296687	"Exon (ENSMUST00000085238.12/110893, exon 2 of 7)"	12	81198276	81332959	134684	2	110893	ENSMUST00000064594.13	18520	ENSMUSG00000079055	Slc8a3	"solute carrier family 8 (sodium/calcium exchanger), member 3"
chr12	8495986	8496386	401	*	4.157118904	4.727333712	3.200478465	1.030533764	5.02E-07	0.000300605	Distal Intergenic	12	8497661	8500009	2349	2	11852	ENSMUST00000067384.5	3623	ENSMUSG00000054364	Rhob	ras homolog family member B
chr4	45525982	45526382	401	*	3.766423197	2.558883211	4.414422551	-1.097449234	5.16E-07	0.000303423	"Intron (ENSMUST00000061986.11/230126, intron 1 of 5)"	4	45423278	45530330	107053	2	230126	ENSMUST00000061986.11	3948	ENSMUSG00000044813	Shb	src homology 2 domain-containing transforming protein B
chrX	160865107	160865507	401	*	3.759082575	4.393539853	2.599513853	1.093994624	5.23E-07	0.000303423	"Intron (ENSMUST00000196297.4/382253, intron 4 of 18)"	20	160902116	160907052	4937	2	414089	ENSMUST00000069417.5	41545	ENSMUSG00000055691	Gja6	"gap junction protein, alpha 6"
chr4	46115310	46115710	401	*	5.167499445	5.64007194	4.460089251	0.914622851	5.56E-07	0.000316678	3' UTR	4	46100243	46114439	14197	1	21916	ENSMUST00000155730.1	15067	ENSMUSG00000028328	Tmod1	tropomodulin 1
chr2	104253887	104254287	401	*	4.029427477	4.636230845	2.961848023	1.069174977	5.67E-07	0.000316678	"Intron (ENSMUST00000089726.9/241589, intron 3 of 20)"	2	104207666	104257984	50319	2	241589	ENSMUST00000149165.1	3697	ENSMUSG00000068373	D430041D05Rik	RIKEN cDNA D430041D05 gene
chr8	55045186	55045586	401	*	4.142643838	4.752001301	3.066881768	1.065438519	5.70E-07	0.000316678	"Intron (ENSMUST00000033915.8/234267, intron 2 of 6)"	8	54954843	55060871	106029	1	234267	ENSMUST00000033915.8	90343	ENSMUSG00000031517	Gpm6a	glycoprotein m6a
chr11	96850606	96851006	401	*	4.263737904	4.811375175	3.370247308	0.997609328	7.46E-07	0.000401776	Promoter	11	96850393	96850465	73	1	387170	ENSMUST00000083581.1	213	ENSMUSG00000065515	Mir152	microRNA 152
chr18	33039538	33039938	401	*	3.671543305	4.313976405	2.483969262	1.085494695	7.53E-07	0.000401776	"Intron (ENSMUST00000234205.1/12326, intron 4 of 14)"	18	32939158	33186270	247113	1	12326	ENSMUST00000042868.5	100380	ENSMUSG00000038128	Camk4	calcium/calmodulin-dependent protein kinase IV
chr1	131344013	131344413	401	*	4.946303527	5.442531543	4.183816157	0.93791057	7.54E-07	0.000401776	Promoter	1	131295221	131344547	49327	2	14270	ENSMUST00000188770.6	134	ENSMUSG00000026425	Srgap2	SLIT-ROBO Rho GTPase activating protein 2
chr1	131327835	131328235	401	*	4.528619052	5.049797723	3.704616844	0.967497528	7.71E-07	0.000405223	"Intron (ENSMUST00000097588.8/14270, intron 13 of 22)"	1	131319535	131332263	12729	2	14270	ENSMUST00000188437.1	4028	ENSMUSG00000026425	Srgap2	SLIT-ROBO Rho GTPase activating protein 2
chr4	62192823	62193223	401	*	5.233095848	5.719190465	4.494570876	0.928825339	8.24E-07	0.000427276	"Intron (ENSMUST00000068822.3/22696, intron 3 of 3)"	4	62190995	62207889	16895	2	22696	ENSMUST00000220873.1	14666	ENSMUSG00000028389	Zfp37	zinc finger protein 37
chr1	97840078	97840478	401	*	3.962883103	4.573343362	2.883569086	1.054288346	9.27E-07	0.000474659	Promoter	1	97821721	97840389	18669	2	18484	ENSMUST00000162681.1	0	ENSMUSG00000026335	Pam	peptidylglycine alpha-amidating monooxygenase
chr18	32956570	32956970	401	*	5.033978495	5.593111471	4.108803168	1.003578222	9.41E-07	0.000475698	"Intron (ENSMUST00000234205.1/12326, intron 4 of 14)"	18	32939158	33186270	247113	1	12326	ENSMUST00000042868.5	17412	ENSMUSG00000038128	Camk4	calcium/calmodulin-dependent protein kinase IV
chr9	118477962	118478362	401	*	4.385511154	4.940674465	3.471384593	1.004611836	9.66E-07	0.000481977	Promoter	9	118478212	118485366	7155	1	13813	ENSMUST00000111763.7	0	ENSMUSG00000032446	Eomes	eomesodermin
chr17	90653809	90654209	401	*	3.911764535	4.559862201	2.703868716	1.070824422	1.02E-06	0.000504087	"Intron (ENSMUST00000072671.13/18189, intron 6 of 20)"	17	90589916	90630224	40309	2	18189	ENSMUST00000177342.2	-23585	ENSMUSG00000024109	Nrxn1	neurexin I
chr5	53138675	53139075	401	*	4.939186046	5.440593927	4.164228144	0.944272891	1.06E-06	0.000513391	"Intron (ENSMUST00000031090.7/231238, intron 14 of 23)"	5	53155595	53173112	17518	2	231238	ENSMUST00000196550.1	34037	ENSMUSG00000029189	Sel1l3	sel-1 suppressor of lin-12-like 3 (C. elegans)
chr9	75190137	75190537	401	*	3.901391643	4.520368998	2.794253073	1.045849968	1.20E-06	0.000577422	Promoter	9	75189939	75192992	3054	1	17918	ENSMUST00000143355.1	198	ENSMUSG00000034593	Myo5a	myosin VA
chr10	109008996	109009396	401	*	4.094896642	4.717765335	2.97480881	1.050838409	1.27E-06	0.000604638	Promoter	10	108627342	109009111	381770	2	20979	ENSMUST00000156979.1	0	ENSMUSG00000035864	Syt1	synaptotagmin I
chr1	135586033	135586433	401	*	3.514532818	2.147769286	4.203599201	-1.088466383	1.31E-06	0.000604896	Promoter	1	135434580	135585705	151126	2	215690	ENSMUST00000067414.12	-328	ENSMUSG00000009418	Nav1	neuron navigator 1
chr4	91244086	91244486	401	*	3.369786859	4.074006356	1.93825491	1.116024566	1.31E-06	0.000604896	Distal Intergenic	4	91253080	91254582	1503	2	15569	ENSMUST00000128599.1	10096	ENSMUSG00000008489	Elavl2	ELAV like RNA binding protein 1
chr18	33006704	33007104	401	*	4.099716623	4.718914547	2.991848093	1.046278258	1.39E-06	0.000637723	"Intron (ENSMUST00000234205.1/12326, intron 4 of 14)"	18	32939158	33186270	247113	1	12326	ENSMUST00000042868.5	67546	ENSMUSG00000038128	Camk4	calcium/calmodulin-dependent protein kinase IV
chr12	70895470	70895870	401	*	4.108601934	4.703561107	3.078189465	1.023879734	1.44E-06	0.000652342	Promoter	12	70894823	70897916	3094	1	319710	ENSMUST00000222045.1	647	ENSMUSG00000048285	Frmd6	FERM domain containing 6
chr2	33717874	33718274	401	*	4.598028872	5.171647552	3.631534779	1.000477286	1.56E-06	0.000697653	"Intron (ENSMUST00000130532.1/ENSMUST00000130532.1, intron 1 of 1)"	2	33641331	33646354	5024	1	100504399	ENSMUST00000147294.2	76543	NA	C130021I20Rik	Riken cDNA C130021I20 gene
chr18	32998529	32998929	401	*	3.659924158	4.325706014	2.386135309	1.069768961	1.59E-06	0.000698142	"Intron (ENSMUST00000234205.1/12326, intron 4 of 14)"	18	32939158	33186270	247113	1	12326	ENSMUST00000042868.5	59371	ENSMUSG00000038128	Camk4	calcium/calmodulin-dependent protein kinase IV
chr5	98170023	98170423	401	*	3.872892742	4.492644481	2.763189263	1.03905997	1.60E-06	0.000698142	"Intron (ENSMUST00000210477.1/77630, intron 1 of 4)"	5	98167198	98187454	20257	1	77630	ENSMUST00000210477.1	2825	ENSMUSG00000035456	Prdm8	PR domain containing 8
chr18	82916022	82916422	401	*	2.982274814	3.751279434	1.225487391	1.175736997	1.62E-06	0.000698142	"Intron (ENSMUST00000235793.1/329003, intron 1 of 1)"	18	82917754	82955817	38064	1	329003	ENSMUST00000237340.1	-1332	ENSMUSG00000058881	Zfp516	zinc finger protein 516
chr18	32949370	32949770	401	*	4.282583124	4.915909232	3.126930229	1.044281071	1.67E-06	0.000715727	"Intron (ENSMUST00000234205.1/12326, intron 4 of 14)"	18	32939158	33186270	247113	1	12326	ENSMUST00000042868.5	10212	ENSMUSG00000038128	Camk4	calcium/calmodulin-dependent protein kinase IV
chr7	62421823	62422223	401	*	4.334912109	4.916047763	3.346332116	1.009099218	1.75E-06	0.000737895	"Intron (ENSMUST00000207232.1/ENSMUST00000207232.1, intron 1 of 2)"	7	62417593	62420139	2547	2	22652	ENSMUST00000094340.3	-1684	ENSMUSG00000070527	Mkrn3	"makorin, ring finger protein, 3"
chr2	18695900	18696300	401	*	3.949738206	4.564000987	2.858088245	1.032039174	1.78E-06	0.000737895	"Intron (ENSMUST00000137796.7/ENSMUST00000137796.7, intron 1 of 2)"	2	18699023	18750413	51391	1	381350	ENSMUST00000095132.9	-2723	ENSMUSG00000037708	Spag6	sperm associated antigen 6
chr9	73931435	73931835	401	*	4.654706878	5.141680841	3.914124836	0.911180631	1.78E-06	0.000737895	"Exon (ENSMUST00000184666.7/208898, exon 2 of 33)"	9	73480870	73933567	452698	2	208898	ENSMUST00000075245.6	1732	ENSMUSG00000062151	Unc13c	unc-13 homolog C
chr14	27447695	27448095	401	*	4.102104366	4.697656882	3.069859765	1.017912245	1.84E-06	0.000754345	"Intron (ENSMUST00000022450.5/218850, intron 8 of 23)"	14	27437731	27443813	6083	1	218850	ENSMUST00000223970.1	9964	ENSMUSG00000040651	Tasor	transcription activation suppressor
chr13	62772548	62772948	401	*	4.151446322	4.748993853	3.113018816	1.019063001	1.91E-06	0.00077465	3' UTR	13	62773608	62777089	3482	2	380850	ENSMUST00000167516.2	4141	ENSMUSG00000091183	Gm5141	predicted gene 5141
