chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness
chr1	100890000	-3.612334894169912	0.9756149278073551	2.147543447489608	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr1	102090000	3.3270774677151302	4.065466790586423	2.965115876453369	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	108410000	2.0903031643176213	4.897331854408877	4.196117600886597	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	110940000	-4.952467631638525	1.478956415549769	3.085059064588046	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr1	111260000	3.4998356484908015	3.5306190977467335	2.376283246952436	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	111710000	-2.7682522627488853	2.270839677239345	3.1624938802727813	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	112170000	-3.3901226405614797	1.308232612980109	2.406411745924673	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr1	114230000	2.654754329455442	3.56756797869681	2.6882048359772988	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	114560000	2.6200065594472655	2.412182352436858	1.5490119029122826	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	118760000	-3.0202945536531014	1.861461421040115	2.83690083851976	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	120090000	2.8084044358065223	3.47011706409433	2.5411424546916734	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	124140000	2.0299006986379564	2.9748117757576975	2.301382653849864	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	126430000	-4.34586353547168	2.382613870823607	3.787410742026129	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	127560000	2.9469789593198863	2.786471547365102	1.8152694807732104	Differential	Matrix 1	Strength Change	FALSE	TRUE	Mutant_only
chr1	127770000	-2.9956498243712915	3.877993525806667	4.8368921919221695	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	131530000	-2.529187417675874	1.9568135153979835	2.7719629714973957	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	132880000	-2.4551155450478808	2.998857401476935	3.785490344215292	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	133310000	-2.2860393651763316	3.079743292023858	3.810989333707711	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	133730000	2.5959965989922913	3.4939569949841456	2.6340342169549973	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	133900000	2.494151405947303	4.098513794864926	3.269194744821201	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	134200000	2.108518080764448	1.8556612008858135	1.1613640165744026	Differential	Matrix 1	Split	TRUE	TRUE	Both
chr1	138540000	-2.2484034329258233	1.8679013746610464	2.592012976910114	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	139910000	-3.354148372757213	2.502858380249024	3.5842797755402103	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	143330000	-2.8382216720206586	2.516365446496712	3.4297621941778895	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	143680000	2.0729472266097506	2.8822800366240533	2.195227307815221	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	144460000	-2.4474583836481543	1.447445373790062	2.238138164627893	Differential	Matrix 2	Complex	TRUE	TRUE	Both
chr1	144740000	2.0674461139581335	2.7717955871388806	2.08700048407948	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	145800000	3.1515919897873785	2.7136620530350397	1.6761527043818476	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	147500000	-11.015474946307917	0.8006368326503487	4.383506571188993	Differential	Matrix 2	Merge	TRUE	TRUE	Both
chr1	148490000	-4.457306892783273	1.1419542484764815	2.5882733746351767	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr1	149260000	-3.5619962196608608	1.273599867385966	2.4278812752868904	Differential	Matrix 2	Complex	TRUE	TRUE	Both
chr1	150930000	2.0111830292586967	3.3905835790186885	2.721492163057532	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	151570000	-5.741534374518184	2.2901113482342477	4.149680288534657	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	153750000	-2.6457605435282296	4.433358871352907	5.276000172183993	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	156090000	-4.524727724156629	1.7005499261221078	3.1664595457506857	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	156220000	3.46764806242168	3.2050590183212524	2.0625773930153604	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	159520000	-2.211571414973931	2.281629122211256	2.992002038498972	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	160080000	-2.8695979635113065	1.9695979512665285	2.8955191165742127	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	160530000	-2.8036623413138315	2.363742965677801	3.266533046804653	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	162000000	-2.2486506235942807	2.406885927478996	3.1288014793040184	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	162480000	-3.237467942043863	2.5720823620349424	3.615224327119937	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	166360000	3.526701765637382	3.461698264293292	2.2989068534028387	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	166540000	-2.814250342285278	2.5738040802410493	3.47915400015431	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	168650000	-4.520919154362944	1.275224219156339	2.7416903647044633	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr1	169550000	-2.2259089442993423	2.1314113130835293	2.84708650487784	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	171780000	2.893117743490249	2.346260048290676	1.3944526361647591	Differential	Matrix 1	Split	TRUE	FALSE	Control_only
chr1	174010000	-4.098362270063607	2.023577801333692	3.3493134335537644	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	175490000	-2.2132201755850764	2.644888420993925	3.3542638053726006	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	177440000	2.765723364270069	6.07371056157739	5.147634524083048	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	178250000	-2.2602613466338863	2.286889746454485	3.013092173417306	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	179740000	-3.060177833956504	2.5102970277366956	3.4959805306913005	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	179860000	-2.0716024796222574	2.2991834676780947	2.963913274075977	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	180040000	2.0341280118739604	3.2520327801766777	2.5760564860880097	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	180270000	-5.6111099649095	2.7285751420804623	4.543830525290808	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	180650000	-2.835393794310752	3.4004460550711912	4.309188024452101	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	182020000	-5.918037435466958	1.4916741843335446	3.412078702313754	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr1	185330000	2.8376793375054437	2.8942600997584234	1.9581868777140048	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	185520000	-2.5360907235291372	2.4802376568399107	3.295423782664765	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	190300000	-4.334275355121764	4.857492648457462	6.248063587535022	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	191170000	-2.3282625782613064	2.116374518733432	2.865435967113006	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	3280000	3.5664256287548564	2.949678986114379	1.7912829339872305	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	3710000	2.648314989205214	3.6402938237533	2.754539543509862	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	7600000	-2.598519054335289	2.5156737635328432	3.2774366674364144	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	12860000	-2.367819261780378	1.9726573566977572	2.6724265219259498	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	14040000	2.272375267652151	3.735279741416693	2.9644757231592265	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	16320000	2.19154295550888	3.3097326583719044	2.5715080185082484	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	18020000	-2.0632032611816644	1.3677892937139815	1.983724810118242	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr2	18400000	2.283731977022885	4.143631846634175	3.362104552862339	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	22000000	2.9268969902745794	3.563584069246732	2.5927598629056714	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	23040000	-3.8620775990225993	4.492323501831619	5.611218312666245	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	26300000	2.5622036747285666	3.4921722697884574	2.6357433994093156	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	27410000	-2.3557326020788785	2.67291574999199	3.3565882286697906	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	29940000	4.124100682030185	4.744316662684236	3.3812735930395137	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	32140000	-2.0668036631473163	2.3073427154178296	2.9078287205735776	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	33070000	-2.2511529634717147	1.765624545844998	2.432851617745465	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	37110000	-3.8909212598469063	2.662364520643375	3.822473581899792	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	37770000	-2.4987430587392447	1.1073364986988632	1.8629787633979984	Differential	Matrix 2	Merge	TRUE	TRUE	Both
chr2	38920000	-3.411453912461896	2.1462818829773953	3.166748932562367	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	41170000	-2.0042179229387806	2.312836090843696	2.8938097111960723	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	42090000	2.6257913687510217	2.114938834709661	1.263067331351381	Differential	Matrix 1	Split	TRUE	FALSE	Control_only
chr2	44170000	-3.0921485097146677	3.191153674728377	4.0941414671447545	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	49560000	2.134348237086994	2.8388467725417144	2.1266680152769406	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	52860000	-2.839404406710659	2.061005274379278	2.9055131365402973	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	53450000	3.288417734866549	3.3049261079544445	2.226510641102461	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	56800000	6.549079927806942	2.521574335071959	0.44543932928749475	Differential	Matrix 1	Split	TRUE	FALSE	Control_only
chr2	57170000	3.0463346784733445	2.736774429723609	1.743476439864203	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	58690000	3.2199200137023585	3.7717599336248577	2.7063626930188827	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	59160000	5.347780838330169	5.430004852945162	3.67525806197007	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	60590000	-2.38314327077436	2.102702139334289	2.8049321799694837	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	61820000	-3.2498652739482887	2.1276992718821286	3.0983654930057005	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	62040000	-3.2271387951961445	2.538259003703262	3.4946358620778075	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	62450000	-5.1920557672967975	0.8824438271053869	2.477578494072945	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr2	63720000	2.451194108647341	2.972455223177418	2.15962783179853	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	64630000	-2.450203969517343	3.22049226800376	3.923816915384016	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	65120000	-4.053314421650652	1.0835004768223264	2.3218265221168948	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr2	65620000	-3.2252691896214887	5.7745957984667955	6.67332877257846	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	66750000	-4.721231642768358	1.4801610192962664	2.9186962056960115	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr2	67010000	-2.78473026141064	1.5606204173523983	2.396990021903196	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	68700000	-4.5817948707376726	1.2592744566764582	2.6584479021585925	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr2	69900000	2.3417969915627332	2.6154270130331443	1.8428323124342505	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	70190000	-2.273713156772252	1.950565994579583	2.6215308197429765	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	70770000	2.027828755051329	2.8756263541051927	2.1958438633053605	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	71960000	2.7401210214000584	4.309759327664627	3.3837205408852142	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	73910000	3.6139879048948744	3.1387874840433048	1.9623021211600655	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	74370000	-4.1084567772448555	3.040879928435339	4.26179939218265	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	74810000	2.1112246554385985	3.133485215952129	2.4232847833542555	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	75980000	-4.082329173410274	2.3649762556247387	3.589708041222394	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	76080000	2.518456520341845	3.842848227810693	2.9938075175016094	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	76420000	-2.7440724855304413	2.05415362408751	2.869208159680965	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	78140000	3.2549362143450233	3.6823074749537046	2.607624658009126	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	78860000	-2.2485160037398764	3.043875378104839	3.687745970453503	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	79370000	2.9013905669604063	3.706196859534842	2.7407707435769946	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	80810000	-2.2275166343048105	2.8353820882289016	3.47641440236348	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	81280000	3.0066975267348086	3.5673404645407865	2.571694077776685	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	83990000	-2.4973912358092507	8.000390292681702	8.634073163511017	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	84610000	2.025333449754589	3.0821015111940464	2.3994525000339	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	85250000	2.3325670096152074	3.9945499912872666	3.200501604540665	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	86850000	-2.069211452606088	2.065050551685086	2.670555663348824	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	88370000	-3.4728332698941524	2.1924144333512876	3.2311093392048296	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	89240000	7.120461575362556	1.6936203654487567	-0.5451715721902143	Differential	Matrix 1	Complex	TRUE	TRUE	Both
chr2	90230000	-5.624564596159752	3.8618913745050745	5.538665790820426	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	90240000	-22.93944814955324	1.142720441006562	8.238911797625917	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr2	90380000	3.0947899343276313	6.622863569893756	5.54601317050511	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	91290000	2.2784484479062783	3.3362232725117997	2.570571477459227	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	92180000	-2.5398608413146317	2.354915625671521	3.101315941053885	Differential	Matrix 2	Strength Change	TRUE	FALSE	Control_only
chr2	92900000	3.0446212083957707	1.7738765290134544	0.7980881503462005	Differential	Matrix 1	Complex	TRUE	FALSE	Control_only
chr2	92910000	3.696531557197952	3.557761447237101	2.348281708078478	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	92960000	2.983083816734843	3.176484097983137	2.1950548987352594	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	94160000	2.019233526009084	3.4640399889418116	2.7765488796672604	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	95220000	2.6224500260652945	2.9906010044890095	2.124326170123734	Differential	Matrix 1	Strength Change	FALSE	TRUE	Mutant_only
chr2	98660000	4.139168974896583	3.3587881468839953	2.0155005301833673	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	100530000	-7.566283547804232	5.778226916930312	8.023577542676906	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	101710000	-7.176338802065655	0.3126980416384781	2.5334484677569944	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr2	103560000	-2.574479900834285	4.113797143188515	4.839924047042974	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	104030000	-2.2453232741353744	1.9669642335645172	2.6288327317334925	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	105800000	4.962492040059535	2.781855025700526	1.1933264407702753	Differential	Matrix 1	Split	TRUE	FALSE	Control_only
chr2	107170000	2.740351050401513	3.170366421099367	2.264346331314617	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	115160000	2.131905076546054	2.5041642340835373	1.7986446061573151	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	116500000	3.426117059505311	1.6298047216735112	0.5382079374258895	Differential	Matrix 1	Complex	TRUE	FALSE	Control_only
chr2	117340000	-3.6769440603245074	2.7268113487730843	3.8194034593257458	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	118740000	2.196023023057928	3.5234316454223062	2.7800491930722715	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	121290000	-2.1404719051774888	0.95455976951395	1.6017519469213084	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr2	127010000	-3.8132025590406142	1.9531061217526755	3.101610888509933	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	129880000	-8.654785865063578	1.1301661985059452	3.795150827781453	Differential	Matrix 2	Merge	TRUE	TRUE	Both
chr2	130270000	2.1425801889332723	3.113570307389647	2.393993817641498	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr2	131360000	2.251865360151361	1.6477671103851808	0.9201332717557754	Differential	Matrix 1	Complex	TRUE	FALSE	Control_only
chr2	134780000	-2.3678700854705546	3.178226372449202	3.8567544136000502	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	136150000	-2.753615245183005	3.0116178251701955	3.812750497133008	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	139280000	2.126054526516806	3.686079540960413	2.9615350644032774	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	143050000	-2.241629796936177	1.67421476281957	2.340099291107479	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	145990000	-4.726318097022436	1.4538331227430423	2.8944104632559253	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr2	147000000	-2.4117109494368982	1.7417318191192954	2.4591889232013457	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	150100000	3.059993133186723	1.643152944772403	0.664900794922526	Differential	Matrix 1	Split	TRUE	FALSE	Control_only
chr2	151330000	7.60713392157883	4.143376107805084	1.710412608419085	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	153480000	2.638445299311805	4.266130080044513	3.372402703246519	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr2	155820000	-2.116743265369462	6.1016469555963475	6.650723254708721	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	156180000	-2.6280483043888414	5.612420402788614	6.328741351792184	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	160730000	-2.6052758280183603	3.327127442030794	4.0766786995140984	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr2	163520000	-4.532909224663754	2.798864560841763	4.155726130682713	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr2	164920000	-2.156046538174843	2.4993934148064096	3.124178310125691	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
