gene	chr	start	end	mc_wt	mc_ko	hmc_wt	hmc_ko	ratio_wt	ratio_ko	delta_ratio_tet
Cct6a	chr5	129786998	129846370	0.001234	0.000146	0.000688	0.000278	0	0	0
Sumf2	chr5	129846986	129864049	0.019404	0.004793	0.006384	0.001615	0.247568	0	-0.247568
Zbed5	chr5	129895723	129903622	0.019727	0.004713	0.004846	0.000243	0.197204	0	-0.197204
Nupr1l	chr5	129908540	129913788	0.01107	0.002985	0.006151	0.001114	0.357183	0	-0.357183
Vkorc1l1	chr5	129941970	129986691	0.005411	0.000835	0.004194	0.000784	0	0	0
Crcp	chr5	130029290	130060788	0.013213	0.003938	0.007018	0.001663	0.346875	0	-0.346875
Tpst1	chr5	130073326	130135728	0.012823	0.003149	0.006892	0.001048	0.349587	0	-0.349587
Kctd7	chr5	130144861	130155805	0.01419	0.004651	0.007682	0.001714	0.351225	0	-0.351225
Rabgef1	chr5	130171798	130214341	0.008849	0.002861	0.00592	0.001037	0.400844	0	-0.400844
Tmem248	chr5	130217081	130243764	0.011117	0.003426	0.005435	0.001661	0.328377	0	-0.328377
Tyw1	chr5	130255619	130341562	0.016076	0.003837	0.007169	0.001676	0.308394	0	-0.308394
Caln1	chr5	130369455	130847411	0.006138	0.001556	0.004417	0.001135	0.418449	0	-0.418449
Castor2	chr5	134099711	134144342	0.014283	0.004816	0.006648	0.001776	0.317608	0	-0.317608
Gtf2ird2	chr5	134184019	134224354	0.017874	0.004671	0.006911	0.001999	0.278857	0	-0.278857
Rfc2	chr5	134581366	134601804	0.015762	0.004184	0.005866	0.001184	0.271216	0	-0.271216
Mettl27	chr5	134932368	134942636	0.014704	0.004504	0.006033	0.001505	0.290943	0	-0.290943
Cldn3	chr5	134986214	134987471	0.004804	0.001418	0.007381	0.007896	0.605726	0	-0.605726
Abhd11	chr5	135009152	135012174	0.018639	0.005443	0.007055	0.002705	0.274582	0	-0.274582
Stx1a	chr5	135023482	135051099	0.016047	0.005645	0.008386	0.003383	0.343224	0	-0.343224
Dnajc30	chr5	135064202	135065861	0.004383	0.001343	0.004085	0.000602	0	0	0
Mlxipl	chr5	135089890	135138381	0.014393	0.00434	0.004318	0.001647	0.230768	0	-0.230768
Tbl2	chr5	135149657	135165759	0.014269	0.004188	0.005059	0.001216	0.26174	0	-0.26174
Bcl7b	chr5	135168283	135181854	0.012567	0.003479	0.005078	0.002027	0.287813	0	-0.287813
Baz1b	chr5	135187264	135246128	0.009604	0.002415	0.004482	0.000912	0.318188	0	-0.318188
Trim50	chr5	135353295	135368004	0.015568	0.005047	0.004079	0.001778	0.20761	0	-0.20761
Nsun5	chr5	135369953	135376804	0.014152	0.00442	0.006239	0.002064	0.305963	0	-0.305963
Rhbdd2	chr5	135632618	135646447	0.013018	0.003	0.005907	0.001414	0.312144	0	-0.312144
Por	chr5	135670033	135735325	0.014489	0.004059	0.007586	0.002177	0.343656	0	-0.343656
Mdh2	chr5	135778480	135790397	0.010829	0.003886	0.006022	0.002683	0.357363	0	-0.357363
Srrm3	chr5	135806890	135874771	0.005095	0.001928	0.005778	0.002413	0.531426	0	-0.531426
Hspb1	chr5	135887919	135889562	0.001079	0.000125	0.002165	0.000406	0	0	0
Zp3	chr5	135980099	135988623	0.017467	0.00359	0.005972	0.001811	0.254793	0	-0.254793
Dtx2	chr5	135994800	136032871	0.013528	0.004326	0.006571	0.001677	0.326948	0	-0.326948
Upk3b	chr5	136038496	136046486	0.020734	0.008382	0.006898	0.002764	0.249635	0.247963	-0.001672
Upk3bl	chr5	136054492	136064325	0.013237	0.004448	0.006541	0.002713	0.330743	0	-0.330743
Rasa4	chr5	136083916	136111859	0.010935	0.004396	0.006609	0.003368	0.376702	0	-0.376702
Polr2j	chr5	136116631	136122946	0.013623	0.005672	0.007197	0.002983	0.345675	0	-0.345675
Alkbh4	chr5	136136146	136141614	0.011135	0.006327	0.009807	0.004643	0.468284	0.423243	-0.04504
Myl10	chr5	136693146	136701093	0.014262	0.005581	0.006254	0.001266	0.304834	0	-0.304834
Ift22	chr5	136908150	136915403	0.017883	0.00543	0.004502	0.002844	0.201133	0	-0.201133
Fis1	chr5	136953275	136966233	0.01217	0.003773	0.007968	0.001473	0.395664	0	-0.395664
Cldn15	chr5	136966616	136975857	0.01587	0.005907	0.005662	0.002077	0.262941	0	-0.262941
Plod3	chr5	136987019	136996647	0.025741	0.009086	0.009722	0.003325	0.274145	0.267904	-0.006241
Vgf	chr5	137026392	137033350	0.001969	0.000667	0.001828	0.00077	0	0	0
Ache	chr5	137287519	137294465	0.009148	0.003856	0.006274	0.001868	0.406819	0	-0.406819
Ufsp1	chr5	137294629	137295664	0.006566	0.002735	0.007503	0.002681	0.533296	0	-0.533296
Ephb4	chr5	137350109	137378668	0.016605	0.004487	0.006374	0.00219	0.277395	0	-0.277395
Gigyf1	chr5	137518548	137527934	0.023263	0.010356	0.014856	0.006555	0.38972	0.387608	-0.002112
Actl6b	chr5	137553517	137569581	0.011396	0.003312	0.006206	0.002051	0.352582	0	-0.352582
Tfr2	chr5	137569840	137587480	0.01432	0.004701	0.006551	0.00259	0.313886	0	-0.313886
Lrch4	chr5	137629121	137641098	0.015993	0.008076	0.008004	0.003083	0.333549	0.276272	-0.057278
Gm20605	chr5	137629175	137642898	0.017029	0.008978	0.009067	0.003695	0.347461	0.291586	-0.055876
Sap25	chr5	137641334	137642901	0.019777	0.014336	0.012887	0.008283	0.394532	0.3662	-0.028332
Tsc22d4	chr5	137745730	137768449	0.011745	0.004381	0.005673	0.001998	0.325696	0	-0.325696
Ppp1r35	chr5	137778849	137780109	0.000501	4.7e-05	0.00144	0.001301	0	0	0
Zcwpw1	chr5	137787798	137822620	0.014717	0.0031	0.002619	0.000614	0.151058	0	-0.151058
Azgp1	chr5	137981520	137990232	0.010779	0.00485	0.001705	0.00026	0.136574	0	-0.136574
Smok3a	chr5	138021261	138034663	0.000762	0.000149	7.5e-05	0	0	0	0
Smok3b	chr5	138021429	138050635	0.000368	8.6e-05	3.4e-05	1.7e-05	0	0	0
Smok3c	chr5	138053194	138066536	0.010311	0.000327	0.001112	0.000152	0.097343	0	-0.097343
Zkscan1	chr5	138085084	138107821	0.007597	0.001914	0.005215	0.00129	0.407062	0	-0.407062
Zscan21	chr5	138116903	138134264	0.010131	0.002397	0.003017	0.000598	0.229489	0	-0.229489
Cops6	chr5	138161071	138164645	0.008696	0.001372	0.003755	0.002401	0.301566	0	-0.301566
Ap4m1	chr5	138172002	138180428	0.014768	0.005256	0.00676	0.002982	0.314026	0	-0.314026
Cnpy4	chr5	138187485	138193917	0.018684	0.002992	0.005067	0.001516	0.213353	0	-0.213353
Mblac1	chr5	138194314	138195620	0.001514	0.000254	0.00119	0.000842	0	0	0
Nxpe5	chr5	138225898	138253362	0.008717	0.002125	0.002162	0.000467	0.198734	0	-0.198734
Lamtor4	chr5	138255482	138259397	0.0086	0.002982	0.00574	0.001614	0.40027	0	-0.40027
Stag3	chr5	138280240	138312392	0.008531	0.002042	0.002126	0.000344	0.19948	0	-0.19948
Pvrig	chr5	138341961	138343556	0.009682	0.003551	0.001867	0.000627	0.161629	0	-0.161629
Zfp157	chr5	138441468	138460693	0.008796	0.001635	0.003839	0.000806	0.303828	0	-0.303828
A430033K04Rik	chr5	138622859	138652413	0.008983	0.001327	0.004143	0.000473	0.315643	0	-0.315643
Fam20c	chr5	138754514	138810076	0.007956	0.002652	0.006442	0.002325	0.447449	0	-0.447449
Gm5294	chr5	138820080	138821618	0.007971	0.002867	0.009898	0.005453	0.553913	0	-0.553913
Dnaaf5	chr5	139150223	139186509	0.013817	0.004412	0.00644	0.001665	0.317905	0	-0.317905
Sun1	chr5	139200637	139249839	0.008212	0.001955	0.00481	0.001324	0.369376	0	-0.369376
Get4	chr5	139252324	139270050	0.009346	0.003201	0.006491	0.00226	0.409873	0	-0.409873
Cyp2w1	chr5	139352617	139357032	0.02487	0.010901	0.008011	0.003466	0.243645	0.241234	-0.002412
Gpr146	chr5	139377697	139396414	0.016803	0.005778	0.009237	0.002676	0.354733	0	-0.354733
C130050O18Rik	chr5	139405280	139415622	0.019867	0.007986	0.009922	0.002456	0.33308	0.235195	-0.097885
Gper1	chr5	139423151	139427799	0.030926	0.011325	0.011919	0.003863	0.278193	0.254346	-0.023848
Uncx	chr5	139543494	139548178	0.003169	0.000846	0.003452	0.00249	0	0	0
Mafk	chr5	139791513	139802652	0.01175	0.005195	0.009277	0.003338	0.44119	0	-0.44119
Elfn1	chr5	139907943	139974721	0.014989	0.004205	0.006658	0.001682	0.30758	0	-0.30758
Nudt1	chr5	140321656	140338136	0.015652	0.003578	0.004996	0.001078	0.241982	0	-0.241982
Eif3b	chr5	140419328	140443359	0.013656	0.003423	0.007709	0.002379	0.360811	0	-0.360811
Gm4869	chr5	140445645	140495070	0.013137	0.003694	0.005227	0.001468	0.284641	0	-0.284641
Chst12	chr5	140505550	140525723	0.018471	0.004984	0.00898	0.00265	0.327137	0	-0.327137
Lfng	chr5	140607320	140615544	0.012087	0.004937	0.007338	0.003767	0.377773	0	-0.377773
Brat1	chr5	140705011	140719378	0.016392	0.00424	0.006422	0.00232	0.281484	0	-0.281484
Amz1	chr5	140724127	140761438	0.013247	0.004519	0.006823	0.00256	0.339952	0	-0.339952
Sdk1	chr5	141241490	142215585	0.009077	0.00201	0.004643	0.001012	0.33842	0	-0.33842
Foxk1	chr5	142401497	142462010	0.007211	0.003551	0.007713	0.003326	0.516832	0	-0.516832
Ap5z1	chr5	142463944	142478709	0.018951	0.007086	0.008737	0.003692	0.315556	0.342547	0.026991
Wipi2	chr5	142627698	142670587	0.011791	0.003165	0.004979	0.00147	0.2969	0	-0.2969
Slc29a4	chr5	142692512	142722489	0.012335	0.004098	0.00745	0.002925	0.376539	0	-0.376539
Fscn1	chr5	142960343	142973184	0.01215	0.005728	0.008034	0.0039	0.398046	0	-0.398046
Spdye4b	chr5	143181017	143205074	0.015904	0.003011	0.003218	0.001201	0.168268	0	-0.168268
Zfp12	chr5	143235163	143248833	0.025297	0.006873	0.010467	0.001956	0.292674	0	-0.292674
Grid2ip	chr5	143357338	143392151	0.004351	0.00278	0.005138	0.003105	0	0	0
Kdelr2	chr5	143403838	143421900	0.011609	0.00352	0.005962	0.001439	0.339304	0	-0.339304
Daglb	chr5	143464584	143505941	0.018694	0.006033	0.007367	0.002097	0.282688	0	-0.282688
Fam220a	chr5	143548706	143564530	0.005969	0.002049	0.006108	0.002233	0.505722	0	-0.505722
Cyth3	chr5	143622447	143710249	0.006825	0.00321	0.006227	0.002066	0.477088	0	-0.477088
Eif2ak1	chr5	143817788	143904250	0.006841	0.001641	0.002736	0.000579	0	0	0
Pms2	chr5	143909964	143933967	0.014214	0.003045	0.005291	0.00094	0.271253	0	-0.271253
Gm42421	chr5	143928175	143937308	0.013127	0.002185	0.00633	0.001157	0.325331	0	-0.325331
Rsph10b	chr5	143933035	143985718	0.014723	0.003847	0.005047	0.00138	0.255276	0	-0.255276
Lmtk2	chr5	144100436	144188203	0.008934	0.002369	0.006757	0.001581	0.430624	0	-0.430624
Bhlha15	chr5	144190286	144194440	0.013755	0.007086	0.013524	0.005344	0.495768	0.429931	-0.065837
Bri3	chr5	144244437	144446756	0.013898	0.002806	0.005268	0.001208	0.274862	0	-0.274862
Nptx2	chr5	144545902	144557477	0.013293	0.003205	0.007948	0.001278	0.374195	0	-0.374195
Trrap	chr5	144767732	144859777	0.020474	0.005626	0.008212	0.00179	0.286266	0	-0.286266
1700018F24Rik	chr5	145042990	145045680	0.011589	0.003205	0.003849	0.000557	0.249302	0	-0.249302
Arpc1a	chr5	145083830	145108760	0.013333	0.003828	0.005248	0.001566	0.282454	0	-0.282454
Arpc1b	chr5	145114215	145130704	0.018066	0.005176	0.0078	0.002374	0.301557	0	-0.301557
Bud31	chr5	145140362	145148077	0.010037	0.002433	0.004455	0.001361	0.307425	0	-0.307425
Cpsf4	chr5	145167213	145182040	0.01496	0.005515	0.006439	0.00184	0.300909	0	-0.300909
Zkscan5	chr5	145204562	145221749	0.020843	0.005421	0.006001	0.000948	0.223538	0	-0.223538
Zfp655	chr5	145231715	145247301	0.005266	0.001302	0.004459	0.000508	0	0	0
Zscan25	chr5	145280500	145291277	0.013614	0.003239	0.005657	0.001901	0.293564	0	-0.293564
Cyp3a57	chr5	145345279	145390925	0.004808	0.00105	0.000678	0.000255	0	0	0
Cyp3a59	chr5	146079257	146113286	0.004543	0.000932	0.000631	0.000305	0	0	0
Cdk8	chr5	146231230	146302873	0.009226	0.001928	0.005985	0.001283	0.39346	0	-0.39346
Wasf3	chr5	146384985	146473614	0.008677	0.002005	0.006698	0.001949	0.43564	0	-0.43564
Gm6408	chr5	146481965	146484703	0.009171	0.000645	0.00337	3.7e-05	0.26875	0	-0.26875
Gm6370	chr5	146491363	146494131	0.011812	0.000361	0.003812	0	0.243979	0	-0.243979
4930449I24Rik	chr5	146502399	146505182	0.010917	0.001437	0.002205	0.001078	0.168005	0	-0.168005
Gm3402	chr5	146514123	146516901	0.00934	0.00036	0.001705	0	0.154336	0	-0.154336
Gm3404	chr5	146525801	146528552	0.015589	0.003706	0.002288	0.000363	0.128	0	-0.128
Gm3409	chr5	146537647	146540426	0.006712	0.001062	0.00228	0.000617	0	0	0
Gm3415	chr5	146556136	146558914	0.004885	0.00036	0.000995	0	0	0	0
Rpl21	chr5	146832890	146837031	0.007773	0.001196	0.004457	0.000322	0.364442	0	-0.364442
Rasl11a	chr5	146845071	146847725	0.005388	0.001217	0.005115	0.004305	0.487005	0	-0.487005
Gtf3a	chr5	146948657	146955613	0.022128	0.003486	0.010212	0.002808	0.315762	0	-0.315762
Polr1d	chr5	147077050	147111596	0.013296	0.002893	0.007675	0.001365	0.365998	0	-0.365998
Gsx1	chr5	147188696	147190946	0.000535	0.000539	0.000954	0.000888	0	0	0
Pdx1	chr5	147269959	147275847	0.00266	0.001015	0.002338	0.001583	0	0	0
Pan3	chr5	147430161	147548501	0.006339	0.001273	0.005494	0.001097	0.464296	0	-0.464296
Pomp	chr5	147860461	147876455	0.018374	0.004546	0.007033	0.001793	0.276811	0	-0.276811
Mtus2	chr5	147957320	148316064	0.007931	0.002514	0.006735	0.002072	0.459219	0	-0.459219
Uspl1	chr5	149184350	149215433	0.005555	0.001939	0.004983	0.001318	0.472878	0	-0.472878
Alox5ap	chr5	149264767	149288152	0.011567	0.002896	0.006335	0.001587	0.353883	0	-0.353883
Medag	chr5	149411749	149431722	0.007009	0.001718	0.005102	0.001313	0.421238	0	-0.421238
Tex26	chr5	149439660	149470978	0.012105	0.002552	0.006486	0.001388	0.34889	0	-0.34889
Wdr95	chr5	149528679	149611893	0.010976	0.002962	0.005527	0.001621	0.334915	0	-0.334915
B3glct	chr5	149678230	149762598	0.009921	0.002311	0.006791	0.001549	0.40634	0	-0.40634
Rxfp2	chr5	150018675	150082183	0.01302	0.003022	0.005746	0.001215	0.306179	0	-0.306179
Fry	chr5	150118645	150497752	0.00946	0.002329	0.006339	0.001645	0.401225	0	-0.401225
Brca2	chr5	150522630	150570328	0.01159	0.002198	0.002742	0.000571	0.191312	0	-0.191312
Pds5b	chr5	150673739	150810689	0.007342	0.001402	0.003378	0.000666	0.315103	0	-0.315103
Kl	chr5	150952607	150993816	0.012192	0.002279	0.004216	0.001009	0.256962	0	-0.256962
Rbm48	chr5	3583978	3596584	0.009512	0.001066	0.005106	0.000976	0.349278	0	-0.349278
Gatad1	chr5	3632932	3657184	0.012057	0.001973	0.004149	0.000951	0.256009	0	-0.256009
Ankib1	chr5	3690000	3802924	0.005741	0.001209	0.003316	0.000524	0	0	0
Mterf1a	chr5	3890581	3893932	0.006574	0.000239	0.002862	0.000298	0	0	0
Cyp51	chr5	4081145	4104745	0.008908	0.001404	0.004796	0.001275	0.349958	0	-0.349958
Fzd1	chr5	4753839	4758034	0.004758	0.001976	0.007888	0.00289	0.623755	0	-0.623755
Cdk14	chr5	4803391	5420311	0.007407	0.001463	0.004276	0.000705	0.366005	0	-0.366005
1700015F17Rik	chr5	5437827	5479142	0.007428	0.001031	0.00215	0.000405	0	0	0
Cldn12	chr5	5489537	5514957	0.007493	0.002016	0.005704	0.001053	0.432197	0	-0.432197
Gtpbp10	chr5	5537454	5559537	0.010125	0.001938	0.003224	0.000344	0.241523	0	-0.241523
Cfap69	chr5	5579278	5664238	0.008266	0.001935	0.002531	0.000665	0.234417	0	-0.234417
Steap2	chr5	5664829	5694577	0.003837	0.000975	0.004587	0.001045	0	0	0
Steap1	chr5	5736317	5749325	0.012376	0.001611	0.004851	0.000779	0.281614	0	-0.281614
Zfp804b	chr5	6769010	7344755	0.005817	0.001025	0.001432	0.000216	0	0	0
Adam22	chr5	8072352	8368159	0.007204	0.001505	0.003814	0.000838	0.346167	0	-0.346167
Dbf4	chr5	8396973	8422715	0.009647	0.00157	0.002224	0.000241	0.187329	0	-0.187329
Rundc3b	chr5	8490334	8622951	0.005785	0.001279	0.00257	0.00045	0	0	0
Crot	chr5	8966033	8997323	0.01141	0.002277	0.003441	0.000702	0.231687	0	-0.231687
Dmtf1	chr5	9118801	9161775	0.008449	0.001709	0.00417	0.001006	0.33044	0	-0.33044
Grm3	chr5	9485541	9725169	0.005008	0.001064	0.002388	0.000459	0	0	0
Gm5152	chr5	10242041	10246525	0.005436	0.00107	0.001564	0.000223	0	0	0
Gm9758	chr5	14910122	14914898	0.005907	0.003074	0.001301	0.001176	0	0	0
Speer4e	chr5	14933221	14938428	0.006547	0.001783	0.001011	0.000317	0	0	0
Gm10354	chr5	14974113	14978934	0.00675	0.004427	0.000421	0.001166	0	0	0
Gm17019	chr5	15028950	15032997	0.008237	0.001649	0.001167	0.00058	0	0	0
Gm21149	chr5	15471703	15476522	0.007218	0.003105	0.000872	0.000685	0	0	0
Gm21190	chr5	15524456	15529221	0.006607	0.004109	0.000628	0.000714	0	0	0
4930572O03Rik	chr5	15652286	15657058	0.004837	0.001343	0.000912	0.000655	0	0	0
Speer4c	chr5	15709501	15714270	0.00574	0.000852	0.000957	0.000831	0	0	0
Cd36	chr5	17781690	17888800	0.006251	0.00118	0.00156	0.000255	0	0	0
Gnai1	chr5	18265135	18360354	0.006118	0.00133	0.00495	0.000874	0.447213	0	-0.447213
Phtf2	chr5	20758663	20882123	0.005855	0.00154	0.004336	0.000792	0.425486	0	-0.425486
Rsbn1l	chr5	20893028	20956397	0.007738	0.001708	0.005131	0.000975	0.398711	0	-0.398711
Ptpn12	chr5	20986645	21055910	0.007405	0.001328	0.004946	0.000911	0.400452	0	-0.400452
Ccdc146	chr5	21292961	21424676	0.008249	0.001818	0.003091	0.000642	0.272568	0	-0.272568
Fbxl13	chr5	21483847	21645633	0.010714	0.00246	0.003762	0.000873	0.259898	0	-0.259898
Napepld	chr5	21662901	21701395	0.013987	0.003115	0.00606	0.000819	0.302274	0	-0.302274
Dnajc2	chr5	21757267	21785250	0.010431	0.002056	0.003258	0.000796	0.237994	0	-0.237994
Slc26a5	chr5	21810655	21865603	0.012237	0.002485	0.004482	0.001116	0.268096	0	-0.268096
Reln	chr5	21884454	22344701	0.009471	0.001743	0.003838	0.000712	0.288369	0	-0.288369
Orc5	chr5	22486485	22550428	0.007003	0.001368	0.003333	0.000652	0.322496	0	-0.322496
Srpk2	chr5	23503264	23684616	0.007257	0.002001	0.005602	0.001189	0.435646	0	-0.435646
Pus7	chr5	23740648	23783710	0.013928	0.004272	0.006245	0.001751	0.309584	0	-0.309584
Tomm7	chr5	23838944	23844160	0.007086	0.001118	0.00318	0.000719	0.309758	0	-0.309758
Fam126a	chr5	23915276	24030689	0.007585	0.001695	0.003108	0.000783	0.290692	0	-0.290692
Kcnh2	chr5	24319589	24351603	0.012999	0.004712	0.00682	0.002858	0.344099	0	-0.344099
Atg9b	chr5	24384181	24392142	0.012174	0.004192	0.004571	0.002899	0.272997	0	-0.272997
Cdk5	chr5	24418241	24423529	0.010689	0.004144	0.005738	0.003302	0.349305	0	-0.349305
Fastk	chr5	24438440	24445286	0.012664	0.00696	0.007784	0.003008	0.380683	0	-0.380683
Tmub1	chr5	24445458	24447853	0.011928	0.003766	0.011551	0.003729	0.491954	0	-0.491954
Gbx1	chr5	24502757	24527201	0.009436	0.003005	0.005338	0.002001	0.36133	0	-0.36133
Asb10	chr5	24532697	24540977	0.012853	0.005607	0.007555	0.004915	0.370215	0.467115	0.096901
Iqca1l	chr5	24543432	24556808	0.014049	0.006825	0.00497	0.001468	0.261302	0	-0.261302
Abcf2	chr5	24565345	24577466	0.014765	0.005174	0.003527	0.000746	0.192798	0	-0.192798
Smarcd3	chr5	24590818	24624410	0.007505	0.003047	0.006275	0.002679	0.455377	0	-0.455377
Wdr86	chr5	24711738	24730726	0.013366	0.004007	0.005764	0.00244	0.301292	0	-0.301292
Crygn	chr5	24751003	24758007	0.01434	0.005998	0.007364	0.003818	0.339305	0	-0.339305
Rheb	chr5	24802823	24842623	0.004125	0.00135	0.004445	0.001485	0	0	0
Prkag2	chr5	24862744	25100641	0.009806	0.003186	0.006635	0.002221	0.403555	0	-0.403555
Kmt2c	chr5	25271798	25498782	0.00536	0.001122	0.003322	0.00063	0	0	0
Xrcc2	chr5	25689812	25705824	0.013021	0.003244	0.003889	0.000555	0.230008	0	-0.230008
Gm21663	chr5	25935791	25942380	0.005781	0.000542	0.001397	6.5e-05	0	0	0
Gm21671	chr5	25948253	25954416	0.007111	0.001406	0.003335	0.000284	0.319262	0	-0.319262
Gm21680	chr5	25965961	25972662	0.003855	0.000405	0.001191	4.3e-05	0	0	0
Gm21698	chr5	25982030	25988649	0.00433	0.000906	0.00184	0.000151	0	0	0
Gm1979	chr5	25999022	26004797	0.00779	0.002022	0.001983	0.000548	0	0	0
Gm5862	chr5	26017278	26022915	0.005772	0.000355	0.001437	0.000355	0	0	0
Speer4a	chr5	26032846	26039557	0.007373	0.002457	0.002349	0.000958	0	0	0
Gm7347	chr5	26051883	26058580	0.004404	0.000491	0.001149	0.000505	0	0	0
Gm10471	chr5	26082574	26089290	0.007593	0.002159	0.002532	0.000419	0.250096	0	-0.250096
5031410I06Rik	chr5	26098668	26105361	0.002103	0	0.000891	0	0	0	0
Gm10220	chr5	26114764	26121420	0.007373	0.001164	0.001973	0.000263	0	0	0
Speer4b	chr5	27495639	27501437	0.008973	0.002784	0.003142	0.001848	0.259376	0	-0.259376
Paxip1	chr5	27740080	27791690	0.009035	0.002376	0.00432	0.001088	0.323488	0	-0.323488
Cnpy1	chr5	28200819	28245805	0.00575	0.001298	0.003005	0.00105	0	0	0
Shh	chr5	28456815	28467255	0.003142	0.00162	0.004509	0.004502	0	0	0
Lmbr1	chr5	29229802	29378389	0.006736	0.001565	0.002378	0.000559	0	0	0
Mnx1	chr5	29473034	29478469	0.001135	0.000537	0.001468	0.001091	0	0	0
Tyms	chr5	30058202	30073616	0.009587	0.002162	0.002216	0.000508	0.187748	0	-0.187748
3110082J24Rik	chr5	30103584	30106085	0.005032	0.002047	0.003162	0.002065	0	0	0
Hadha	chr5	30118304	30155161	0.008873	0.002419	0.004791	0.00104	0.350629	0	-0.350629
Adgrf3	chr5	30193431	30205721	0.015824	0.005596	0.004932	0.001646	0.23762	0	-0.23762
Otof	chr5	30367062	30461931	0.014147	0.004517	0.00565	0.001832	0.285399	0	-0.285399
Cib4	chr5	30485583	30545835	0.01215	0.003027	0.005715	0.001104	0.319901	0	-0.319901
Ost4	chr5	30905885	30907787	0.003161	0.000394	0.00306	0.001905	0	0	0
Cgref1	chr5	30933143	30945590	0.007291	0.001987	0.003754	0.00148	0.339869	0	-0.339869
Preb	chr5	30950853	30960360	0.010643	0.00542	0.006422	0.001886	0.376326	0	-0.376326
Slc5a6	chr5	31036036	31048923	0.013246	0.003631	0.004478	0.001009	0.252654	0	-0.252654
Slc30a3	chr5	31086106	31108236	0.010579	0.003967	0.005248	0.002319	0.331582	0	-0.331582
Ucn	chr5	31138063	31138828	0.000895	0.00053	0.001032	0.002611	0	0	0
Mpv17	chr5	31140654	31154250	0.010658	0.00338	0.003868	0.001036	0.266275	0	-0.266275
Gm29609	chr5	31144739	31179910	0.011014	0.002978	0.003991	0.001074	0.265953	0	-0.265953
Gtf3c2	chr5	31156005	31180143	0.011417	0.002703	0.004089	0.000913	0.263722	0	-0.263722
Eif2b4	chr5	31187558	31193429	0.018286	0.006236	0.005022	0.002088	0.215465	0	-0.215465
Zfp513	chr5	31198981	31202302	0.015434	0.007589	0.009227	0.006781	0.374151	0.471897	0.097746
Ppm1g	chr5	31202664	31220686	0.007216	0.001888	0.004026	0.001134	0.358135	0	-0.358135
Ift172	chr5	31253277	31291115	0.014575	0.004355	0.005865	0.001525	0.286944	0	-0.286944
Fndc4	chr5	31292242	31296079	0.00198	0.000988	0.002289	0.001668	0	0	0
Supt7l	chr5	31514564	31527806	0.012814	0.003271	0.005137	0.000788	0.286174	0	-0.286174
Rbks	chr5	31624439	31697626	0.007936	0.002045	0.004007	0.000793	0.3355	0	-0.3355
Pisd	chr5	32736301	32785645	0.00872	0.003276	0.00479	0.001471	0.354553	0	-0.354553
Gm20671	chr5	32737230	32827108	0.009388	0.002674	0.004542	0.001129	0.32607	0	-0.32607
Prr14l	chr5	32789820	32854255	0.008975	0.001729	0.004386	0.000745	0.328271	0	-0.328271
Spon2	chr5	33198184	33218454	0.012989	0.004157	0.006384	0.001831	0.329539	0	-0.329539
Ctbp1	chr5	33247723	33274993	0.006716	0.002972	0.005681	0.001824	0.458278	0	-0.458278
Nkx1-1	chr5	33430734	33433975	0.000909	0.001332	0.002593	0.001285	0	0	0
Fam53a	chr5	33600347	33629634	0.010412	0.002355	0.004452	0.001006	0.299532	0	-0.299532
Slbp	chr5	33634952	33652573	0.00823	0.002547	0.003971	0.001186	0.325496	0	-0.325496
Tmem129	chr5	33653216	33658415	0.010376	0.002596	0.00316	0.001058	0.233435	0	-0.233435
Letm1	chr5	33739673	33782816	0.011122	0.002825	0.005078	0.001483	0.313459	0	-0.313459
Nelfa	chr5	33897916	33936412	0.004013	0.001006	0.003152	0.000804	0	0	0
Poln	chr5	34007179	34169447	0.004681	0.001022	0.001509	0.000378	0	0	0
Haus3	chr5	34153880	34169526	0.004718	0.00038	0.001462	0.000519	0	0	0
Mxd4	chr5	34173883	34187719	0.005753	0.002652	0.003585	0.001485	0	0	0
Zfyve28	chr5	34194893	34288448	0.008242	0.002558	0.005235	0.001576	0.38845	0	-0.38845
Tnip2	chr5	34496087	34513990	0.006833	0.001783	0.004345	0.000891	0.388689	0	-0.388689
Mfsd10	chr5	34633642	34637211	0.008765	0.005533	0.008458	0.004514	0.491096	0.449296	-0.0418
Nop14	chr5	34638536	34660147	0.012171	0.003131	0.004515	0.001253	0.2706	0	-0.2706
Lrpap1	chr5	35091501	35105765	0.011097	0.004297	0.007847	0.003786	0.414227	0	-0.414227
Cpz	chr5	35502218	35525697	0.014967	0.004106	0.004551	0.001697	0.233156	0	-0.233156
Trmt44	chr5	35556203	35575069	0.013234	0.00298	0.004497	0.001009	0.253617	0	-0.253617
Htra3	chr5	35652023	35679781	0.014247	0.005417	0.005413	0.001738	0.27534	0	-0.27534
Sh3tc1	chr5	35697180	35739986	0.013036	0.005006	0.005739	0.001681	0.305683	0	-0.305683
Sorcs2	chr5	36017180	36398138	0.008353	0.00268	0.005709	0.001882	0.406007	0	-0.406007
Tada2b	chr5	36473670	36484284	0.007084	0.002837	0.006601	0.002246	0.482366	0	-0.482366
Tbc1d14	chr5	36490604	36593275	0.008444	0.002367	0.004893	0.001484	0.366859	0	-0.366859
D5Ertd579e	chr5	36600485	36696023	0.002088	0.000677	0.002661	0.000626	0	0	0
Bloc1s4	chr5	36747378	36748649	0.000605	0.000314	0.001168	0	0	0	0
