entrez_id	symbol	chr	start	end	width	gb_ctrl_signal	gb_mut_signal	gb_log2fc	gb_signal_class	pr_ctrl_signal	pr_mut_signal	pr_log2fc	pr_signal_class
100034748	Prr35	chr17	25946387	25952565	6179	2.036111	1.710009	-0.225205	quantifiable	3.062762	3.355749	0.123326	quantifiable
100036518	Vmn1r223	chr13	23249238	23250323	1086	0.917028	0.877192	-0.051441	quantifiable	0.812301	0.739626	-0.105293	quantifiable
100036520	Gata5os	chr2	180332857	180340732	7876	3.889406	2.976584	-0.362375	quantifiable	3.853363	2.987958	-0.344542	quantifiable
100036521	Umad1	chr6	8259288	8459470	200183	1.087177	1.516645	0.409784	quantifiable	2.03175	3.849142	0.85361	quantifiable
100036523	Gm16982	chr7	141610066	141613747	3682	2.157951	1.628854	-0.363046	quantifiable	1.930165	1.323025	-0.478623	quantifiable
100036537	Gm11149	chr9	49518288	49572591	54304	0.885657	0.754475	-0.182164	quantifiable	1.028424	0.736443	-0.384273	quantifiable
100036768	Gm11696	chr11	109352835	109363654	10820	1.228024	2.349717	0.827421	quantifiable	1.822856	2.568518	0.448866	quantifiable
100037258	Dnajc3	chr14	118937976	118981697	43722	1.042228	1.181076	0.150536	quantifiable	3.846	6.32185	0.686056	quantifiable
100037260	9430060I03Rik	chr1	92933526	92950590	17065	1.10093	1.148164	0.050678	quantifiable	1.420569	0.91896	-0.526387	quantifiable
100037262	Gm12359	chr11	98797707	98810087	12381	0.651941	0.607478	-0.075489	quantifiable	0.807338	0.834112	0.037108	quantifiable
100037278	Niban3	chr8	71597648	71607936	10289	1.972656	2.072559	0.064273	quantifiable	1.690274	2.44743	0.481619	quantifiable
100037282	Rsph3b	chr17	6904413	6948682	44270	0.60923	0.666094	0.095661	quantifiable	2.010804	3.015798	0.53651	quantifiable
100037283	Rnaset2a	chr17	8115445	8147785	32341	2.609199	3.355195	0.337603	quantifiable	3.044684	3.681751	0.257161	quantifiable
100037396	D030047H15Rik	chr7	4126340	4136926	10587	0.818088	0.906822	0.118305	quantifiable	0.975119	1.061262	0.100392	quantifiable
100038347	Fam174b	chr7	73740302	73776919	36618	1.152546	1.572508	0.385067	quantifiable	2.625853	4.178125	0.627985	quantifiable
100038353	Gm10532	chr18	75514645	75522806	8162	2.247129	2.106118	-0.0849	quantifiable	3.049239	3.201414	0.065633	quantifiable
100038356	Gm15612	chr6	88842854	88847274	4421	2.342792	2.913632	0.290095	quantifiable	4.074634	4.995769	0.280331	quantifiable
100038358	Gm10857	chr2	6132869	6140568	7700	1.284871	1.599221	0.273642	quantifiable	2.478374	3.652786	0.521243	quantifiable
100038363	Mir223hg	chrX	96239926	96243636	3711	0.649468	0.291077	-0.766317	quantifiable	0.641766	0.223554	-0.957811	quantifiable
100038371	Zfp389	chr13	21504313	21506533	2221	1.589539	4.164389	1.276643	quantifiable	1.159609	3.096753	1.265367	quantifiable
100038374	Gm10714	chr2	174125038	174183918	58881	0.299766	0.489431	0.448622	quantifiable	0.244464	0.31875	0.213948	quantifiable
100038378	Gm10433	chr12	100187968	100193540	5573	0.985498	1.95392	0.850542	quantifiable	1.384616	2.392301	0.703011	quantifiable
100038392	Gm10785	chr16	91688898	91715642	26745	0.602289	0.47655	-0.239343	quantifiable	1.387017	1.607018	0.185079	quantifiable
100038394	Gm10512	chr17	13205042	13206209	1168	1.254981	0.825986	-0.495737	quantifiable	1.03566	0.799465	-0.30057	quantifiable
100038417	Spink13	chr18	62607535	62741387	133853	0.999189	1.13625	0.153673	quantifiable	0.543149	0.306314	-0.535839	quantifiable
100038439	Gm10556	chr18	4812486	4850959	38474	1.843483	1.51623	-0.249092	quantifiable	1.664675	1.46963	-0.157587	quantifiable
100038453	Gm12522	chr3	108379277	108383741	4465	2.388664	3.371	0.461039	quantifiable	3.273138	4.870993	0.543393	quantifiable
100038454	Platr8	chr2	109902396	109913319	10924	1.134616	1.356197	0.218527	quantifiable	0.611952	1.215498	0.786806	quantifiable
100038464	Gm15441	chr3	96555765	96566801	11037	2.274217	3.562615	0.60075	quantifiable	3.9132	5.825492	0.548574	quantifiable
100038468	Gm10684	chr9	45107176	45135606	28431	1.264954	1.381197	0.108716	quantifiable	4.94326	4.045798	-0.275453	quantifiable
100038479	Gm10787	chr10	77011995	77022214	10220	1.355054	2.050968	0.527839	quantifiable	0.267187	0.564331	0.686719	quantifiable
100038489	Apela	chr8	65014856	65037336	22481	1.05013	1.159421	0.119065	quantifiable	3.957951	4.462	0.16432	quantifiable
100038493	Gm13582	chr2	60964376	60975151	10776	1.266965	1.50259	0.212176	quantifiable	1.020949	1.04466	0.0273	quantifiable
100038494	Gm10782	chr13	56362900	56368857	5958	0.781083	0.548898	-0.380595	quantifiable	0.690562	0.524088	-0.2912	quantifiable
100038514	Gm11837	chr4	14929908	14953030	23123	1.359606	1.540506	0.156403	quantifiable	3.360034	4.758479	0.475705	quantifiable
100038516	Gm10640	chr7	31155668	31170641	14974	0.403796	0.347906	-0.135368	quantifiable	0.718646	0.710017	-0.013321	quantifiable
100038522	Dnmt3aos	chr12	3859293	3862244	2952	1.711033	1.279988	-0.364371	quantifiable	1.225126	0.941518	-0.315126	quantifiable
100038525	Gm10804	chr2	93452819	93469871	17053	3.500298	3.510299	0.003873	quantifiable	2.963619	2.779503	-0.085937	quantifiable
100038526	Gm16008	chr4	156022008	156023824	1817	0.456269	0.291256	-0.403388	quantifiable	0.2927	0.192249	-0.314435	one_condition
100038538	Ramacl	chr13	66904914	66909236	4323	0.68626	0.930778	0.344532	quantifiable	0.527779	0.886579	0.565274	quantifiable
100038545	Gm10745	chr3	11823229	11844359	21131	0.244416	0.204468	-0.129692	one_condition	0.315496	0.397208	0.204794	quantifiable
100038554	Gm15348	chr8	12706944	12719127	12184	0.94752	0.735652	-0.288824	quantifiable	1.651315	1.515779	-0.108454	quantifiable
100038555	Gm10578	chr7	137234683	137242609	7927	1.987658	2.198991	0.131875	quantifiable	1.839604	2.057588	0.145124	quantifiable
100038556	Gm10445	chr6	84412942	84423838	10897	2.11693	1.782158	-0.223034	quantifiable	2.046972	2.160487	0.070483	quantifiable
100038560	Gm10687	chr9	44122186	44134485	12300	1.87991	2.620358	0.435703	quantifiable	4.51555	5.727883	0.328829	quantifiable
100038566	Gm10658	chr9	57056630	57071966	15337	0.607122	0.604975	-0.003749	quantifiable	1.861521	2.887179	0.577913	quantifiable
100038570	Prcd	chr11	116653534	116668389	14856	2.014514	2.32025	0.184991	quantifiable	2.7103	2.84947	0.066936	quantifiable
100038571	Gm12863	chr4	118954274	118954919	646	0.484539	0.57494	0.174111	quantifiable	0.537094	0.412185	-0.260036	quantifiable
100038574	Gm10415	chr6	126286649	126328686	42038	2.135057	2.787222	0.352638	quantifiable	3.120881	3.466859	0.142154	quantifiable
100038575	Gm10635	chr9	79444037	79519302	75266	0.559769	0.562044	0.004201	quantifiable	1.237515	0.998802	-0.258	quantifiable
100038577	Gm10790	chr13	41865915	41913092	47178	0.635798	0.433332	-0.389329	quantifiable	0.998736	0.674022	-0.446901	quantifiable
100038584	Gm14812	chrX	99405331	99443797	38467	2.563866	2.888266	0.159007	quantifiable	2.881366	3.427613	0.234032	quantifiable
100038591	F420014N23Rik	chr10	127195249	127202643	7395	1.237771	1.303126	0.063261	quantifiable	1.72675	1.951061	0.157315	quantifiable
100038595	Gm16287	chr4	139175405	139180655	5251	0.71852	0.513655	-0.355183	quantifiable	0.543281	0.454117	-0.179156	quantifiable
100038599	Gm10710	chr3	83125276	83129246	3971	8.78797	8.97346	0.029405	quantifiable	8.041315	7.93185	-0.019243	quantifiable
100038600	Gm11529	chr11	96448323	96464547	16225	1.028336	0.940498	-0.10524	quantifiable	3.101896	2.890998	-0.094622	quantifiable
100038602	Gm10865	chr15	78994955	79011041	16087	1.47261	1.914982	0.334932	quantifiable	0.906891	0.888058	-0.02431	quantifiable
100038607	Gm10636	chr3	146367153	146378944	11792	0.970945	0.770217	-0.266232	quantifiable	1.253679	0.970446	-0.307865	quantifiable
100038608	Gm10389	chr15	10600293	10611651	11359	0.778472	0.587012	-0.307051	quantifiable	0.819341	0.684841	-0.199884	quantifiable
100038614	Gm10791	chr16	84972214	84979451	7238	1.184673	1.263453	0.078711	quantifiable	1.668381	1.599602	-0.05352	quantifiable
100038617	Gm10466	chr11	24721006	24730722	9717	1.783143	3.857263	1.025249	quantifiable	1.57697	3.022078	0.851267	quantifiable
100038623	Gm10823	chr16	27849930	27926128	76199	0.536169	0.620325	0.152194	quantifiable	0.436591	0.573595	0.273319	quantifiable
100038627	F630042J09Rik	chr13	67278577	67283361	4785	0.284329	0.253664	-0.090459	quantifiable	0.193979	0.258288	0.208213	one_condition
100038628	Gm10768	chr19	43838803	43840728	1926	0.719792	0.446269	-0.496088	quantifiable	0.813675	0.505964	-0.509672	quantifiable
100038653	Gm10538	chr1	132729355	132732826	3472	1.588548	0.981725	-0.58963	quantifiable	1.380691	0.971785	-0.425497	quantifiable
100038654	Gm10371	chr14	47097679	47116161	18483	1.747806	2.298278	0.355811	quantifiable	1.508688	1.810852	0.232378	quantifiable
100038657	Myocos	chr1	162647193	162658219	11027	3.369676	3.738354	0.141038	quantifiable	3.162139	3.083773	-0.033819	quantifiable
100038659	Mirt2	chr15	76266461	76269839	3379	1.118201	1.12347	0.005669	quantifiable	0.930893	0.972325	0.051013	quantifiable
100038666	Gm12298	chr11	66905721	66947086	41366	1.025197	0.882191	-0.175964	quantifiable	0.441095	0.285814	-0.386091	quantifiable
100038689	Gm10421	chr12	117144530	117151269	6740	2.909513	2.513824	-0.195002	quantifiable	4.961209	3.648218	-0.421597	quantifiable
100038690	Gm10732	chr13	118603418	118658743	55326	0.552891	0.406385	-0.303112	quantifiable	0.669484	0.563517	-0.182951	quantifiable
100038693	Tmem51os1	chr4	142083972	142088099	4128	1.674279	2.766599	0.656789	quantifiable	2.787227	4.975014	0.788646	quantifiable
100038699	Gm10754	chr10	97681414	97967090	285677	0.743828	0.679462	-0.099688	quantifiable	0.889606	0.756966	-0.183626	quantifiable
100038706	Gm10637	chr8	87169747	87199850	30104	1.793701	2.080818	0.192276	quantifiable	2.015681	2.702477	0.386441	quantifiable
100038712	Gm10516	chr1	192136896	192151026	14131	0.973754	1.032443	0.069226	quantifiable	2.606572	3.167759	0.261258	quantifiable
100038713	Gm10432	chr12	100276609	100302315	25707	2.026883	2.597423	0.32642	quantifiable	2.352151	3.399923	0.492945	quantifiable
100038714	Gm15401	chr6	72629288	72637717	8430	1.903944	2.608204	0.4131	quantifiable	1.210501	2.123763	0.712213	quantifiable
100038725	Cep85l	chr10	53273443	53379947	106505	0.817869	1.040177	0.279943	quantifiable	1.584557	4.125392	1.26773	quantifiable
100038728	Gm10373	chr15	43430943	43477036	46094	0.501414	0.521286	0.039191	quantifiable	2.020532	4.349306	1.028055	quantifiable
100038732	Gm11681	chr11	112792731	112799008	6278	1.004367	1.09706	0.105265	quantifiable	1.668581	2.211726	0.364637	quantifiable
100038734	Gm10845	chr14	79860521	79869176	8656	1.510701	2.592985	0.700669	quantifiable	2.483781	4.354946	0.758724	quantifiable
100038743	Gm13629	chr2	66440880	66546026	105147	0.718376	0.775166	0.084751	quantifiable	4.763674	4.845069	0.023371	quantifiable
100038746	Gm1976	chr17	94759944	94834799	74856	0.222487	0.19298	-0.099506	one_condition	0.764717	1.509781	0.812658	quantifiable
100038752	Gm10825	chr10	22402883	22407470	4588	1.13017	0.663388	-0.611887	quantifiable	1.180381	0.70246	-0.602134	quantifiable
100038847	Gm10406	chr14	7006115	7027449	21335	1.36057	2.058918	0.527837	quantifiable	2.291087	3.500487	0.567135	quantifiable
100038854	Cstdc6	chr16	36321665	36334332	12668	0.240702	0.130186	-0.395479	one_condition	0.447312	0.2568	-0.484772	quantifiable
100038859	Or10h1b	chr17	33176416	33177363	948	0.503568	0.361234	-0.315893	quantifiable	0.261	0.194628	-0.214106	one_condition
100038860	Or10h1	chr17	33199062	33200009	948	0.618982	0.361056	-0.529781	quantifiable	0.252562	0.170209	-0.276103	one_condition
100038862	Btnl1	chr17	34377132	34386028	8897	0.749423	0.552249	-0.32797	quantifiable	0.564652	0.485144	-0.154086	quantifiable
100038882	Isg15	chr4	156199455	156200796	1342	0.911274	1.390905	0.509832	quantifiable	1.140675	1.749571	0.533481	quantifiable
100038909	Pira12	chr7	3884242	3898120	13879	0.156932	0.120278	NA	no_signal	0.244131	0.151766	-0.319952	one_condition
100038912	Ceacam-ps1	chr7	16648949	16657476	8528	0.686874	0.39002	-0.571861	quantifiable	0.541526	0.400555	-0.295231	quantifiable
100038927	Defa30	chr8	21134642	21135598	957	0.356761	0.189883	-0.492519	one_condition	0.258667	0.161527	-0.327056	one_condition
100038941	Vmn2r121	chrX	124124961	124135952	10992	0.231298	0.125427	-0.385468	one_condition	0.454144	0.190619	-0.714928	one_condition
100038947	Sirpb1c	chr3	15795145	15848528	53384	0.15236	0.089624	NA	no_signal	0.547107	0.394076	-0.320899	quantifiable
100038948	Mup9	chr4	60418046	60421952	3907	0.640907	0.491593	-0.274723	quantifiable	0.46867	0.376676	-0.206787	quantifiable
100038949	Gm1979	chr5	25999022	26004798	5777	2.977677	3.193197	0.094092	quantifiable	4.123295	4.926479	0.244784	quantifiable
100038977	Gm1993	chrX	25548296	25570452	22157	0.066024	0.029756	NA	no_signal	0.065094	0.045099	NA	no_signal
100038982	Gm1995	chr12	87861366	87863967	2602	1.036635	0.586748	-0.639224	quantifiable	0.714181	0.412797	-0.561784	quantifiable
100039008	Mup10	chr4	60578260	60582199	3940	0.482407	0.258199	-0.554468	quantifiable	0.346941	0.243324	-0.291041	quantifiable
100039027	Gm2011	chr3	40847002	40917098	70097	0.43558	0.737399	0.546183	quantifiable	2.764269	5.793171	1.01069	quantifiable
100039028	Mup11	chr4	60658466	60662411	3946	0.536386	0.429039	-0.220742	quantifiable	0.499646	0.330377	-0.386721	quantifiable
100039030	Gm2012	chrX	26200678	26231355	30678	0.031405	0.025388	NA	no_signal	0.124969	0.082977	NA	no_signal
100039042	Eif1ad3	chr12	87874072	87877859	3788	0.407239	0.247926	-0.422548	quantifiable	0.285496	0.128273	-0.537173	one_condition
100039045	Speer4a2	chr5	26082574	26089291	6718	2.086738	1.847128	-0.158209	quantifiable	2.776706	2.704428	-0.035221	quantifiable
100039054	Mup12	chr4	60737383	60741326	3944	0.512558	0.292538	-0.515084	quantifiable	0.336946	0.239517	-0.277288	quantifiable
100039055	Gm16404	chrX	55553147	55568358	15212	0.073815	0.051754	NA	no_signal	0.092906	0.092014	NA	no_signal
100039060	Gm2026	chr2	176474630	176486783	12154	0.266891	0.305357	0.109647	quantifiable	0.447814	0.712798	0.481972	quantifiable
100039062	Gm2027	chr12	44221745	44223373	1629	1.526507	3.291712	1.007603	quantifiable	0.772856	1.934532	1.117531	quantifiable
100039065	Gm2030	chrX	26286977	26310044	23068	0.05807	0.046943	NA	no_signal	0.065281	0.03564	NA	no_signal
100039087	Gm2042	chr12	87602688	87960683	357996	0.134338	0.089343	NA	no_signal	0.163866	0.069742	NA	no_signal
100039089	Mup13	chr4	61224307	61228286	3980	0.584974	0.3747	-0.436628	quantifiable	0.394484	0.272827	-0.318157	quantifiable
100039116	Mup14	chr4	61300023	61304000	3978	0.455532	0.385752	-0.157237	quantifiable	0.395076	0.262812	-0.349151	quantifiable
100039120	Gm14525	chrX	26672777	26702638	29862	0.086067	0.06842	NA	no_signal	0.140375	0.078628	NA	no_signal
100039123	Gm14295	chr2	176798612	176811223	12612	0.304063	0.355955	0.136157	quantifiable	0.389137	0.759591	0.685198	quantifiable
100039138	Gm2061	chr1	185447116	185455568	8453	2.753207	3.34856	0.263303	quantifiable	6.760844	7.481993	0.141826	quantifiable
100039139	Ccdc152	chr15	3280070	3303526	23457	0.443808	0.33548	-0.256931	quantifiable	0.51216	0.389034	-0.265542	quantifiable
100039148	Gm12128	chr11	37658989	37673166	14178	0.547715	0.424233	-0.252903	quantifiable	0.5681	0.4725	-0.186505	quantifiable
100039150	Mup15	chr4	61435790	61439743	3954	0.502051	0.362405	-0.309964	quantifiable	0.518134	0.313754	-0.46753	quantifiable
100039176	Gm13580	chr2	60411525	60412579	1055	1.412886	1.401522	-0.010074	quantifiable	1.502607	1.413707	-0.076434	quantifiable
100039177	Mup16	chr4	61515592	61519531	3940	0.542872	0.364417	-0.384305	quantifiable	0.305877	0.275511	-0.085769	quantifiable
100039186	Gm2087	chr9	83431547	83454573	23027	1.100719	2.133673	0.833476	quantifiable	0.414315	0.625154	0.413881	quantifiable
100039206	Mup17	chr4	61591929	61595871	3943	0.743833	0.382853	-0.676763	quantifiable	0.577971	0.230278	-0.825189	quantifiable
100039222	Gm2109	chr9	83691475	83693223	1749	2.477817	3.674192	0.529492	quantifiable	2.344771	3.7232	0.62049	quantifiable
100039239	Ctxnd1	chr7	84528954	84583531	54578	0.921516	0.71362	-0.289977	quantifiable	4.037219	4.19575	0.052744	quantifiable
100039240	Gm10058	chrX	24948574	30841834	5893261	0.036534	0.021685	NA	no_signal	0.100563	0.075925	NA	no_signal
100039315	Pramel51	chr12	88175589	88182108	6520	0.260917	0.190606	-0.227911	one_condition	0.114225	0.15702	NA	no_signal
100039348	Gm2176	chr18	80541892	80544546	2655	1.502652	0.948361	-0.560051	quantifiable	0.86786	0.577177	-0.448406	quantifiable
100039436	Mageb16-ps1	chrX	144555211	144556337	1127	1.064259	0.69237	-0.493137	quantifiable	0.924334	0.841518	-0.108356	quantifiable
100039467	Gm10487	chrX	28270710	30843469	2572760	0.032823	0.019723	NA	no_signal	0.091656	0.030826	NA	no_signal
100039495	Gm15706	chr6	145250529	145251849	1321	2.015901	3.243642	0.631379	quantifiable	1.978219	3.061172	0.577825	quantifiable
100039574	Gm20806	chrY	67339176	80757034	13417859	0.036818	0.024848	NA	no_signal	0.093556	0.03459	NA	no_signal
100039596	Tcf24	chr1	9960163	9967932	7770	3.29712	3.041356	-0.108915	quantifiable	5.928659	6.30422	0.08553	quantifiable
100039641	E330012B07Rik	chr6	147180244	147208285	28042	0.535126	0.352249	-0.39993	quantifiable	0.236837	0.158109	-0.27272	one_condition
100039672	Msmp	chr4	43583216	43584494	1279	1.165147	1.199986	0.035832	quantifiable	1.197176	0.956698	-0.268226	quantifiable
100039684	5031434O11Rik	chr3	51560035	51567117	7083	2.068157	2.73253	0.367732	quantifiable	2.351355	2.948156	0.301089	quantifiable
100039691	Lncenc1	chr13	97434970	97497007	62038	3.500661	4.061062	0.202398	quantifiable	8.333692	8.66235	0.054393	quantifiable
100039706	Gm2381	chr7	42816829	42867234	50406	0.052717	0.034237	NA	no_signal	0.033281	0.035091	NA	no_signal
100039707	Mthfsl	chr9	88688602	88720296	31695	0.835758	0.824203	-0.015874	quantifiable	1.230813	2.063205	0.654113	quantifiable
100039727	1700049E15Rik	chr6	147690241	147702374	12134	1.130296	1.631174	0.455096	quantifiable	1.364637	1.719471	0.291471	quantifiable
100039753	Gm20815	chrY	8832821	8835169	2349	0.053623	0.027828	NA	no_signal	0.053781	0.021916	NA	no_signal
100039781	Hrct1	chr4	43727188	43728639	1452	1.636441	1.073513	-0.521165	quantifiable	2.083676	1.820818	-0.174771	quantifiable
100039795	Ildr2	chr1	166254139	166316823	62685	4.265944	5.865927	0.440045	quantifiable	8.375232	9.259995	0.141346	quantifiable
100039796	Tgtp2	chr11	49057194	49064206	7013	0.548541	0.451591	-0.194476	quantifiable	0.45929	0.355536	-0.239032	quantifiable
100039801	Cldn24	chr8	47822143	47822805	663	1.836459	0.932663	-0.83506	quantifiable	1.29305	0.888157	-0.449214	quantifiable
100039805	D5Ertd605e	chr5	147418601	147423044	4444	0.402931	0.62513	0.439956	quantifiable	0.1545	0.274058	0.399493	one_condition
100039864	Snhg12	chr4	132308623	132311024	2402	1.029994	0.980004	-0.05887	quantifiable	0.735157	0.728097	-0.010701	quantifiable
100039890	Gm15093	chrX	148290866	149305003	1014138	0.119526	0.065127	NA	no_signal	0.140803	0.090494	NA	no_signal
100039911	Gm2491	chr15	54981333	54986891	5559	1.282016	0.893232	-0.432066	quantifiable	1.108026	0.889481	-0.259348	quantifiable
100039913	Rhox2b	chrX	37412067	37416806	4740	0.326217	0.130222	-0.640852	one_condition	0.39667	0.177302	-0.633954	one_condition
100039934	Gm15085	chrX	149447617	149487784	40168	0.11781	0.061104	NA	no_signal	0.176377	0.089977	NA	no_signal
100039948	Rhox2c	chrX	37453680	37469861	16182	0.192375	0.135717	NA	no_signal	0.381659	0.230193	-0.418212	quantifiable
100039953	Gfy	chr7	45176349	45179569	3221	2.751038	2.448019	-0.155185	quantifiable	2.629264	2.495746	-0.069235	quantifiable
100039954	Gm2516	chr8	50368112	50416088	47977	0.690343	0.618891	-0.117896	quantifiable	0.698006	0.531039	-0.289533	quantifiable
100039968	Tmem35b	chr4	127123691	127129644	5954	1.233901	1.332099	0.094277	quantifiable	0.519881	0.389382	-0.279848	quantifiable
100040016	Rhox2e	chrX	37530452	37541813	11362	0.131665	0.105236	NA	no_signal	0.279438	0.21591	-0.196172	one_condition
100040022	Gm20822	chrY	11197162	15883245	4686084	0.031756	0.021222	NA	no_signal	0.044156	0.010092	NA	no_signal
100040049	Smim38	chr7	145205825	145208119	2295	3.097285	3.144053	0.020196	quantifiable	2.1894	2.290398	0.059237	quantifiable
100040160	Gm20826	chrY	7167094	7636973	469880	0.039481	0.024897	NA	no_signal	0.051469	0.010261	NA	no_signal
100040201	Krtap6-3	chr16	89015284	89015846	563	0.708171	0.705376	-0.00435	quantifiable	0.76979	0.486387	-0.486524	quantifiable
100040208	Gm2663	chr6	40995830	40999479	3650	0.693501	0.328656	-0.735253	quantifiable	0.561216	0.300139	-0.586605	quantifiable
100040214	Krtap6-7	chr16	89040923	89041472	550	0.677536	0.874971	0.286781	quantifiable	0.340643	0.314858	-0.067895	quantifiable
100040223	Gm20831	chrY	13252391	17967603	4715213	0.031651	0.021518	NA	no_signal	0.041875	0.029002	NA	no_signal
100040233	Prss3l	chr6	41442216	41446145	3930	0.57222	0.352302	-0.468959	quantifiable	0.638397	0.294369	-0.738572	quantifiable
100040248	Krtap4-25	chr11	99657949	99658960	1012	0.516502	0.268121	-0.593213	quantifiable	0.3479	0.242032	-0.297504	quantifiable
100040268	Or13c7c	chr4	43834752	43836517	1766	1.122228	0.672424	-0.588699	quantifiable	0.902823	0.513545	-0.61401	quantifiable
100040276	Krtap4-22	chr11	99771714	99772913	1200	0.432996	0.391324	-0.0951	quantifiable	0.536062	0.44829	-0.177972	quantifiable
100040294	Cbln1os	chr8	87460469	87525554	65086	1.459298	1.235149	-0.20666	quantifiable	1.588781	2.237816	0.442309	quantifiable
100040298	Gm15501	chr7	93178983	93184176	5194	0.277084	0.269251	-0.022905	quantifiable	0.445469	0.446685	0.002633	quantifiable
100040299	Krtap10-20	chr10	77814682	77815404	723	2.505996	2.169559	-0.190021	quantifiable	2.608601	2.355463	-0.135244	quantifiable
100040322	3830408C21Rik	chr13	107022553	107055497	32945	0.752749	0.904317	0.208861	quantifiable	1.867428	3.954237	0.999704	quantifiable
100040328	Gm2716	chr8	88051511	88070810	19300	1.332773	1.713866	0.316597	quantifiable	0.712838	0.716647	0.005878	quantifiable
100040339	Gm2721	chr12	105394860	105404618	9759	1.458248	1.386662	-0.06288	quantifiable	1.408194	1.50639	0.084474	quantifiable
100040421	Gm2762	chr13	53393657	53455630	61974	0.797733	0.62138	-0.274458	quantifiable	0.692026	0.584016	-0.1818	quantifiable
100040462	Mndal	chr1	173849126	173880881	31756	0.80754	0.824103	0.023064	quantifiable	0.883621	0.599131	-0.429971	quantifiable
100040482	Btbd35f2	chrX	32278435	32562003	283569	0.038367	0.025586	NA	no_signal	0.130094	0.122123	NA	no_signal
100040525	Tmem181c-ps	chr17	6613753	6639790	26038	1.372209	1.920248	0.426693	quantifiable	1.169381	1.613353	0.399982	quantifiable
100040533	Btbd35f5	chrX	32973938	32975845	1908	0.16041	0.151053	NA	no_signal	0.108224	0.098753	NA	no_signal
100040557	Gm12408	chr4	45639744	45646111	6368	2.353672	2.48066	0.069478	quantifiable	4.112589	4.874186	0.233611	quantifiable
100040563	Dynlt1c	chr17	6601792	6607549	5758	1.455656	2.137429	0.492429	quantifiable	1.625969	3.109185	0.850708	quantifiable
100040567	Gm12409	chr4	45762377	45764223	1847	7.793822	8.650049	0.146447	quantifiable	8.818409	8.464655	-0.057599	quantifiable
100040591	Kcnj13	chr1	87386363	87394729	8367	0.425445	0.287386	-0.347067	quantifiable	0.696257	0.504263	-0.33914	quantifiable
100040599	Potefam3a	chr8	20337664	20363210	25547	1.191672	0.699511	-0.618336	quantifiable	1.523019	0.997047	-0.518118	quantifiable
100040606	Btbd35f12	chrX	33313379	33315286	1908	0.18532	0.126046	NA	no_signal	0.144936	0.089692	NA	no_signal
100040608	Fancf	chr7	51860577	51862267	1691	3.117258	3.54235	0.17296	quantifiable	2.589963	4.142921	0.6347	quantifiable
100040617	Wincr1	chr4	89050308	89084614	34307	0.615781	0.478101	-0.259609	quantifiable	0.915364	0.763753	-0.206741	quantifiable
100040671	Gm2897	chr14	3049285	3076840	27556	1.245657	1.566356	0.28543	quantifiable	4.93257	7.256837	0.537115	quantifiable
100040722	Btbd35f13	chrX	33657172	33658872	1701	0.232884	0.103472	-0.485198	one_condition	0.139354	0.070858	NA	no_signal
100040724	Mirg	chr12	109729764	109749460	19697	1.343947	1.188019	-0.1515	quantifiable	1.130577	0.872807	-0.305478	quantifiable
100040732	Btbd35f14	chrX	33700649	33702349	1701	0.200873	0.067624	NA	no_signal	0.142254	0.065412	NA	no_signal
