chr	start	end	width_kb	boundary_left_pos	boundary_right_pos	boundary_left_type	boundary_right_type	boundary_left_differential	boundary_right_differential	boundary_left_gap_score	boundary_right_gap_score	boundary_left_tad_score1	boundary_left_tad_score2	boundary_right_tad_score1	boundary_right_tad_score2	boundary_left_enriched	boundary_right_enriched	is_differential	mean_tad_score	mean_gap_score	cg_mc_ctrl_mean	cg_mc_mut_mean	cg_mc_log2fc	cg_mc_pseudocount	cg_mc_ctrl_cv	cg_mc_mut_cv	cg_mc_ctrl_within_var	cg_mc_mut_within_var	cg_mc_ctrl_insulation	cg_mc_mut_insulation	cg_hmc_ctrl_mean	cg_hmc_mut_mean	cg_hmc_log2fc	cg_hmc_pseudocount	cg_hmc_ctrl_cv	cg_hmc_mut_cv	cg_hmc_ctrl_within_var	cg_hmc_mut_within_var	cg_hmc_ctrl_insulation	cg_hmc_mut_insulation	chg_mc_ctrl_mean	chg_mc_mut_mean	chg_mc_log2fc	chg_mc_pseudocount	chg_mc_ctrl_cv	chg_mc_mut_cv	chg_mc_ctrl_within_var	chg_mc_mut_within_var	chg_mc_ctrl_insulation	chg_mc_mut_insulation	chh_mc_ctrl_mean	chh_mc_mut_mean	chh_mc_log2fc	chh_mc_pseudocount	chh_mc_ctrl_cv	chh_mc_mut_cv	chh_mc_ctrl_within_var	chh_mc_mut_within_var	chh_mc_ctrl_insulation	chh_mc_mut_insulation	mecp2_ctrl_mean	mecp2_mut_mean	mecp2_log2fc	mecp2_pseudocount	mecp2_ctrl_cv	mecp2_mut_cv	mecp2_ctrl_within_var	mecp2_mut_within_var	mecp2_ctrl_insulation	mecp2_mut_insulation	mecp2_peak_count	mecp2_up_count	mecp2_down_count
chr1	4750000	4880000	130	4750000	4880000	Complex	Non-Differential	Differential	Non-Differential	-2.15497143354094	1.70544988621261	1.34383493594565	2.03974188049502	1.92455868143977	1.36119532761473	Matrix 2	Matrix 1	TRUE	1.63419680869271	-0.224760773664167	0.00586638	0.00601663	0.023704	0.00320356209341412	0.335035	0.33746	3.8896056983239e-06	4.12589147905349e-06	0.00081968	0.00085696	0.00091093	0.00074473	-0.258706	0.000101517354514925	0.583452	0.512118	2.82804582391212e-07	1.46466458896405e-07	0.00034111	0.00029867	0	9e-08	0.119738	1e-06	NA	3.605551	0	1.55769243148657e-12	0	6.2e-07	-7.3e-07	2.1e-07	2.149429	1e-06	3.605551	2.464223	4.56076918134323e-12	4.3476922447712e-12	7.7e-07	0	0.72874926	0.56564261	-0.23839	0.342143936271676	0.550393	0.529113	0.160880198909425	0.0895710712802985	0.08578253	0.04518128	0	0	0
chr1	4880000	5000000	120	4880000	5000000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	1.70544988621261	-0.367174158058545	1.92455868143977	1.36119532761473	1.83552850404371	1.9473147197097	Matrix 1	Matrix 2	FALSE	1.88004359274174	0.669137864077033	0.00554866	0.00562794	0.013009	0.00320356209341412	0.31845	0.318991	3.09153508585959e-06	3.22392900253938e-06	0.00051015	0.00057857	0.00051442	0.00038991	-0.325817	0.000101517354514925	0.451621	0.454272	5.40502749562899e-08	3.24345703132355e-08	0.00015519	0.00017591	0	1.3e-07	0.175257	1e-06	NA	3.464102	0	3.20333322862784e-12	0	6.2e-07	1.56e-06	1.28e-06	-0.166841	1e-06	3.464102	3.464102	2.94533313163122e-11	1.02675002646446e-11	8.1e-07	2.11e-06	0.61141477	0.45263634	-0.262766	0.342143936271676	0.604661	0.623217	0.136679456048533	0.0795763793424116	0.21277587	0.16222789	0	0	0
chr1	5010000	5170000	160	5010000	5170000	Strength Change	Non-Differential	Differential	Non-Differential	-2.42933140935094	-0.932865136736672	2.95545483939854	3.73387669479265	1.85885610854793	2.1547128915294	Matrix 2	Matrix 2	TRUE	2.40715547397323	-1.68109827304381	0.00449139	0.00453489	0.008133	0.00320356209341412	0.455587	0.44918	4.13503264147642e-06	4.15418207249805e-06	0.00106024	0.00110758	0.00051662	0.00043535	-0.203357	0.000101517354514925	0.585223	0.570572	1.01025715775036e-07	6.58877834809719e-08	0.00020261	0.00023517	2e-07	-2.2e-07	-0.62221	1e-06	NA	NA	0	1.2780626193285e-11	6.2e-07	0	1.9e-07	-1.22e-06	NA	1e-06	4	NA	7.15562410712245e-12	6.25000018626452e-12	8.1e-07	2.11e-06	0.57545187	0.48144074	-0.155942	0.342143936271676	0.662932	0.651519	0.145532801380139	0.0983888535454836	0.13364188	0.12412625	0	0	0
chr1	5190000	5340000	150	5190000	5340000	Non-Differential	Split	Non-Differential	Differential	0.664425977038361	2.05641042146057	2.32263612452469	2.09651218740287	1.55086350962478	0.874818131604983	Matrix 1	Matrix 1	TRUE	1.93674981707473	1.36041819924947	0.00406597	0.00407023	0.000846	0.00320356209341412	0.368542	0.369149	2.2430984759862e-06	2.28832783446574e-06	0.00111126	0.00103645	0.00013835	0.00012296	-0.095688	0.000101517354514925	0.420362	0.658208	3.11601066427675e-09	5.28866273044942e-09	0.00010852	8.521e-05	6e-08	-5e-08	-0.160065	1e-06	NA	NA	2.56266658290227e-12	0	6.2e-07	0	0	0	0	1e-06	NA	NA	0	0	0	1.29e-06	0.52165527	0.43031255	-0.161242	0.342143936271676	0.432874	0.505662	0.0509913459688864	0.0473472818054567	0.16678435	0.12220938	0	0	0
chr1	5350000	5470000	120	5350000	5470000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	1.87343098281255	0.803653680223826	1.80091335112039	1.18338350219169	1.90590261857845	1.63621120677323	Matrix 1	Matrix 1	FALSE	1.85340798484942	1.33854233151819	0.00365141	0.00360347	-0.010125	0.00320356209341412	0.432145	0.444571	2.50542648688341e-06	2.61434569600293e-06	0.00075763	0.00086384	7.18e-05	7.118e-05	-0.00516	0.000101517354514925	0.424926	0.451662	7.17599008059922e-10	9.71940250893825e-10	2.329e-05	1.207e-05	0	0	0	1e-06	NA	NA	0	0	0	0	-2.2e-07	2.7e-07	0.707261	1e-06	NA	3.464102	0	1.3867500140965e-11	0	1.82e-06	0.21129668	0.16999338	-0.111898	0.342143936271676	0.894882	0.92713	0.0357539289044642	0.0248400283591033	0.23429516	0.16672494	0	0	0
chr1	5470000	5630000	160	5470000	5630000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	0.803653680223826	-0.250399221602659	1.90590261857845	1.63621120677323	2.3787987980713	2.45027257057794	Matrix 1	Matrix 2	FALSE	2.14235070832488	0.276627229310583	0.0036698	0.00366896	-0.000177	0.00320356209341412	0.374726	0.379491	1.9088444783595e-06	1.94658429220919e-06	0.00049223	0.00054034	8.971e-05	8.723e-05	-0.018842	0.000101517354514925	0.477705	0.757072	1.63448767904478e-09	4.68458596747109e-09	2.574e-05	4.129e-05	-1e-07	0	0.15702	1e-06	NA	NA	6.25000018626452e-12	0	1e-06	0	-5.2e-07	-7.6e-07	-1.023516	1e-06	NA	NA	1.74306241041422e-11	8.966000156492e-12	0	5.3e-07	0.33154676	0.25809526	-0.166549	0.342143936271676	1.040065	1.112046	0.118909261231207	0.0823778875879611	0.2508056	0.19859333	0	0	0
chr1	5630000	6060000	430	5630000	6060000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.250399221602659	1.75282104620514	2.3787987980713	2.45027257057794	1.6295499454388	1.05201024538957	Matrix 2	Matrix 1	FALSE	2.00417437175505	0.751210912301242	0.00368892	0.00366475	-0.005068	0.00320356209341412	0.455331	0.464951	2.86050738245653e-06	2.90858258333669e-06	0.00015117	0.00016051	8.217e-05	7.757e-05	-0.03664	0.000101517354514925	0.730634	1.006079	3.67320592924633e-09	5.33161941347643e-09	3.679e-05	5.33e-05	2.6e-07	5.6e-07	0.312945	1e-06	NA	8.686249	1.3432559909377e-12	1.3965968756279e-11	1.76e-06	2.38e-06	7.5e-07	1.4e-07	-0.615681	1e-06	6.557439	343.685727	1.14613956442545e-11	1.02213397857643e-11	1.11e-06	1.67e-06	0.3317703	0.25941306	-0.163864	0.342143936271676	0.769208	0.802705	0.0651274774092859	0.0433607967544043	0.28284493	0.22653025	0	0	0
chr1	6080000	6190000	110	6080000	6190000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-1.16661862669298	-0.876788475760571	1.48420401904236	1.85774515172105	1.34311864748509	1.62289717841833	Matrix 2	Matrix 2	FALSE	1.41366133326372	-1.02170355122677	0.00476545	0.00471519	-0.009128	0.00320356209341412	0.419187	0.387399	4.05703284770196e-06	3.34330459070908e-06	0.00106684	0.00088347	0.00012475	0.0001152	-0.062199	0.000101517354514925	0.386177	0.464739	2.37789623954782e-09	2.52643073760565e-09	0.00060752	0.00052636	0	0	0	1e-06	NA	NA	0	0	0	0	2.7e-07	-1.9e-07	-0.646918	1e-06	3.316625	NA	1.12009093796123e-11	0	1.11e-06	0	0.36639342	0.28519994	-0.175587	0.342143936271676	0.506352	0.50581	0.034417058464997	0.0208086891118313	0.1832741	0.1491862	0	0	0
chr1	6210000	6370000	160	6210000	6370000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	0.419197264251059	-1.29386557744085	2.34522859687129	2.19884708351824	1.60532793893473	2.01978461052224	Matrix 1	Matrix 2	FALSE	1.97527826790301	-0.437334156594896	0.00402017	0.0041548	0.02664	0.00320356209341412	0.262135	0.25394	1.11864143675919e-06	1.11317662639975e-06	0.00100236	0.0007497	0.00075582	0.00063885	-0.21163	0.000101517354514925	0.867865	0.899841	4.15126717471518e-07	3.17155455661907e-07	0.00072761	0.00061958	0	0	0	1e-06	NA	NA	0	0	0	0	0	0	0	1e-06	NA	NA	0	0	0	0	0.62347157	0.48256205	-0.227569	0.342143936271676	0.611813	0.634904	0.145501800437202	0.0938669339915256	0.44234551	0.39995379	0	0	0
chr1	6370000	6720000	350	6370000	6720000	Non-Differential	Complex	Non-Differential	Differential	-1.29386557744085	4.7538664130714	1.60532793893473	2.01978461052224	1.64824164384165	0.0935881194805225	Matrix 2	Matrix 1	TRUE	1.62678479138819	1.73000041781527	0.00431124	0.00431372	0.000475	0.00320356209341412	0.381677	0.397499	2.69392257111701e-06	2.94341946472811e-06	0.00158572	0.00131336	0.00041968	0.00042527	0.015389	0.000101517354514925	0.592752	0.622783	6.33842228539136e-08	6.74527039855218e-08	0.00059	0.00047801	3e-08	5e-08	0.033598	1e-06	NA	NA	0	0	0	0	-1.9e-07	1.23e-06	1.458275	1e-06	NA	NA	2.37131428522603e-11	0	0	0	0.56412395	0.50955766	-0.08959	0.342143936271676	0.680446	0.67593	0.147343893572388	0.118627483628294	0.6282277	0.91402385	0	0	0
chr1	6730000	6860000	130	6730000	6860000	Complex	Non-Differential	Differential	Non-Differential	3.41888027930414	-0.453717392179413	1.55067782885054	0.431060944350058	3.52682563866435	3.65964370103552	Matrix 1	Matrix 2	TRUE	2.53875173375745	1.48258144356236	0.00217634	0.00261957	0.114215	0.00320356209341412	0.376834	0.264654	6.55797797919593e-07	4.81955473469695e-07	0.00159288	0.00120301	0.00134612	0.00110552	-0.262221	0.000101517354514925	0.316906	0.254611	1.8275100759648e-07	7.92529229995099e-08	0.00086381	0.00067883	0	0	0	1e-06	NA	NA	0	0	2.22e-06	0	-3.1e-07	1.2e-07	0.700434	1e-06	NA	NA	5.29923036584488e-12	0	8.3e-07	6.7e-07	1.17618784	1.60184544	0.356533	0.342143936271676	0.290966	0.659186	0.117122839789268	1.11496558167418	0.61244228	1.19485373	6	6	0
chr1	6860000	7080000	220	6860000	7080000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.453717392179413	0.0225839925659495	3.52682563866435	3.65964370103552	4.67553794813492	4.64843716861824	Matrix 2	Matrix 1	FALSE	4.10118179339964	-0.215566699806732	0.00400456	0.00402021	0.003129	0.00320356209341412	0.349151	0.3986	1.9331475006982e-06	2.59303124146695e-06	0.00071154	0.00037118	0.00025323	0.00022449	-0.121901	0.000101517354514925	0.922375	0.865964	5.88472380935307e-08	3.80984533138415e-08	0.00115452	0.00098795	8.6e-07	-8e-08	-1.007077	1e-06	4.690416	NA	2.24018187592246e-11	0	2.22e-06	0	-8.6e-07	-4.56e-06	NA	1e-06	NA	NA	2.84090909090909e-11	1.06787239236207e-11	3.33e-06	2.51e-06	0.45540843	0.35924111	-0.185373	0.342143936271676	0.652351	0.694298	0.0882610816693337	0.062211104699478	0.4120588	0.70347568	0	0	0
chr1	7090000	7240000	150	7090000	7240000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	0.644801744034967	-0.445601921201422	3.74563131948238	3.51988599055181	1.4332500324329	1.57226868778893	Matrix 1	Matrix 2	FALSE	2.58944067595764	0.0995999114167726	0.00436076	0.00459571	0.044127	0.00320356209341412	0.485649	0.453058	4.45485103464494e-06	4.33771198008943e-06	0.0008279	0.00053931	0.00110395	0.00092412	-0.233077	0.000101517354514925	0.805774	0.790396	8.0498275900462e-07	5.39156084773827e-07	0.00092148	0.00079929	0	0	0	1e-06	NA	NA	0	0	4.8e-07	0	-2.4e-07	-2e-08	0.3594	1e-06	NA	NA	0	1.35000010728836e-12	3.03e-06	1.84e-06	0.58219309	0.4654429	-0.194802	0.342143936271676	0.589752	0.628102	0.117890284888392	0.0854672078659485	0.14273484	0.10615735	0	0	0
chr1	7240000	7430000	190	7240000	7430000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.445601921201422	-0.39824064134161	1.4332500324329	1.57226868778893	2.03283574626148	2.15390274362911	Matrix 2	Matrix 2	FALSE	1.73304288934719	-0.421921281271516	0.00533773	0.00534863	0.001839	0.00320356209341412	0.536804	0.528612	8.39170447785902e-06	8.13975261230716e-06	0.00065212	0.0006415	0.0002028	0.0001904	-0.060022	0.000101517354514925	0.924008	0.863631	3.44361920800274e-08	2.69374185100205e-08	0.00016629	0.00015041	-9e-08	1.2e-07	0.304654	1e-06	NA	NA	8.00894756337007e-12	0	4.8e-07	0	2.71e-06	2.53e-06	-0.069212	1e-06	3.41865	3.322328	1.04447663541626e-10	4.55567238952333e-11	4.97e-06	2.92e-06	0.47879845	0.38426737	-0.176494	0.342143936271676	0.710077	0.795832	0.115585549969487	0.0935183518921696	0.3098868	0.28562835	0	0	0
chr1	7430000	7550000	120	7430000	7550000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.39824064134161	1.62678892830602	2.03283574626148	2.15390274362911	1.7262680349776	1.18935145068565	Matrix 2	Matrix 1	FALSE	1.87955189061954	0.614274143482205	0.00337829	0.00336423	-0.003087	0.00320356209341412	0.304559	0.305904	1.08171904331865e-06	1.06327685347981e-06	0.00066926	0.00068025	7.182e-05	6.588e-05	-0.050319	0.000101517354514925	0.436126	0.59057	9.19402044421178e-10	1.58478264851701e-09	0.00012616	9.62e-05	0	0	0	1e-06	NA	NA	0	0	0	0	2.6e-07	-1e-07	-0.4859	1e-06	3.464102	NA	1.30208333333333e-11	0	5.69e-06	2.92e-06	0.37987595	0.27650299	-0.222922	0.342143936271676	0.648153	0.615462	0.0606172156030603	0.028957455630596	0.3683876	0.32024478	0	0	0
chr1	7550000	7720000	170	7550000	7720000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	1.62678892830602	-0.634946333183507	1.7262680349776	1.18935145068565	1.63976974493155	1.83956000060441	Matrix 1	Matrix 2	FALSE	1.68301888995457	0.495921297561257	0.00457496	0.00454395	-0.005763	0.00320356209341412	0.460657	0.445332	4.55963005124781e-06	4.07255679375342e-06	0.00075543	0.00070814	7.695e-05	6.654e-05	-0.086721	0.000101517354514925	0.681626	0.782194	2.63111141695478e-09	3.04753693389722e-09	6.68e-06	2.778e-05	-1.2e-07	0	0.187803	1e-06	NA	NA	4.05235263270491e-12	0	0	0	-2e-07	1e-07	0.456779	1e-06	NA	NA	0	0	3.07e-06	1.82e-06	0.47500763	0.36054939	-0.217708	0.342143936271676	0.761664	0.731958	0.13089789186716	0.069647671733302	0.1415485	0.07190146	0	0	0
chr1	7720000	7880000	160	7720000	7880000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.634946333183507	-1.35585506948942	1.63976974493155	1.83956000060441	1.50104500403255	1.93612373841868	Matrix 2	Matrix 2	FALSE	1.57040737448205	-0.995400701336464	0.00387006	0.00384857	-0.004389	0.00320356209341412	0.463226	0.459777	3.32418787252031e-06	3.22394482991541e-06	0.00090937	0.00086295	5.949e-05	5.945e-05	-0.00035	0.000101517354514925	0.487764	0.861729	7.61159837099846e-10	1.64821586339982e-09	5.78e-06	4.674e-05	0	-7e-08	-0.105182	1e-06	NA	NA	0	0	0	0	-1.05e-06	-7.6e-07	NA	1e-06	NA	NA	2.07024991592765e-11	2.72582905597141e-11	1.82e-06	2.73e-06	0.36042275	0.26146087	-0.219031	0.342143936271676	0.627566	0.562896	0.051159917887667	0.0216588713612354	0.056565	0.0134144	0	0	0
