enh_idx	loop_idx	enh_on_anchor	partner_type	own_type	enhancer_class	loop_type	logFC	FDR	direction	is_differential	partner_group	promoter_gene	promoter_distance	enh_chr	enh_start	enh_end	in_abc	abc_score_wt	abc_score_ko	delta_abc
174	38866	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	0.246004301116783	0.0179345311386376	up_in_mutant	TRUE	Promoter	Tafa5	0	chr15	86234748	86235344	FALSE	NA	NA	NA
178	8859	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.0456240285644582	0.813139825386774	unchanged	FALSE	Promoter	Zfp706	0	chr15	36890844	36890937	FALSE	NA	NA	NA
180	26231	1	Active_Promoter	Poised_Enhancer	Activity_Lost	Active_Promoter-Poised_Enhancer	-0.336434080620894	5.86262790786964e-05	down_in_mutant	TRUE	Promoter	Gm26979	0	chr1	137698953	137699282	FALSE	NA	NA	NA
180	28509	1	Active_Promoter	Poised_Enhancer	Activity_Lost	Active_Promoter-Poised_Enhancer	-0.337827141611237	5.65356025075646e-05	down_in_mutant	TRUE	Promoter	Gm4258	0	chr1	137698953	137699282	FALSE	NA	NA	NA
180	16238	1	Active_Promoter	Poised_Enhancer	Activity_Lost	Active_Promoter-Poised_Enhancer	-0.333456247248353	0.000909291680477282	down_in_mutant	TRUE	Promoter	Gm4258	0	chr1	137698953	137699282	FALSE	NA	NA	NA
187	10140	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.174315721207551	0.00767101320400556	down_in_mutant	TRUE	Promoter	Nedd4l	0	chr18	64750640	64750803	FALSE	NA	NA	NA
200	21609	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.0663579285460782	0.415514342396662	unchanged	FALSE	Promoter	Gm40190	0	chr3	122247318	122247486	TRUE	0.030011	0.011989	-0.018022
204	29332	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	0.200790771051194	0.329427419422636	unchanged	FALSE	Promoter	Micu3	0	chr8	35948846	35949182	FALSE	NA	NA	NA
204	32359	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	0.12176988404774	0.217382130665017	unchanged	FALSE	Promoter	Prag1	0	chr8	35948846	35949182	FALSE	NA	NA	NA
205	5691	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.15315697986689	0.0118404692740421	down_in_mutant	TRUE	Promoter	Trmt6	0	chr2	132513552	132514650	TRUE	0.040221	0.019274	-0.020947
205	17992	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.285938525184082	0.00571476120169652	down_in_mutant	TRUE	Promoter	Chgb	0	chr2	132513552	132514650	TRUE	0.024999	0.005434	-0.019565
208	12756	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.0697619735246026	0.313838141001268	unchanged	FALSE	Promoter	Mmp17	0	chr5	129395327	129395457	FALSE	NA	NA	NA
212	37630	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.236186635030272	0.0235769563105717	down_in_mutant	TRUE	Promoter	Ccnl1	0	chr3	65116954	65117238	FALSE	NA	NA	NA
215	12617	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.148777780108415	0.359535247156003	unchanged	FALSE	Promoter	Barhl2	0	chr5	106277199	106277616	TRUE	0.043995	0.017203	-0.026792
221	36097	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.176591684316897	0.00491291755260162	down_in_mutant	TRUE	Promoter	Cntn6	0	chr6	104318404	104319020	TRUE	0.064198	0.019253	-0.044945
221	13228	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.278992004300099	0.00115077093135518	down_in_mutant	TRUE	Promoter	Cntn6	0	chr6	104318404	104319020	TRUE	0.064198	0.019253	-0.044945
223	12885	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.0922247332400854	0.283708819233064	unchanged	FALSE	Promoter	Kctd8	0	chr5	68274329	68274602	FALSE	NA	NA	NA
234	27070	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.160686401231454	0.42968119246157	unchanged	FALSE	Promoter	C230035I16Rik	0	chr13	20474767	20474864	FALSE	NA	NA	NA
238	32567	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.0662246927377564	0.30847476207345	unchanged	FALSE	Promoter	Gm5089	0	chr14	122229280	122229374	TRUE	0.021308	0.007063	-0.014245
245	2115	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.172214736562475	0.18741567940946	unchanged	FALSE	Promoter	Ctns	0	chr11	73015929	73016116	FALSE	NA	NA	NA
246	38866	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	0.246004301116783	0.0179345311386376	up_in_mutant	TRUE	Promoter	Tafa5	0	chr15	86226004	86226184	FALSE	NA	NA	NA
255	26652	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.171089265360503	0.591332748157927	unchanged	FALSE	Promoter	Srrm3	0	chr5	133935137	133935454	FALSE	NA	NA	NA
256	27966	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	0.260543838558256	0.0405821830183665	up_in_mutant	TRUE	Promoter	Grik2	0	chr10	46345398	46345677	FALSE	NA	NA	NA
257	30172	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.126833581137759	0.0842462657359974	unchanged	FALSE	Promoter	Galnt7	0	chr8	57569336	57569673	TRUE	0.040413	0.029572	-0.010841
258	11502	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.313264685170645	0.00812721078996571	down_in_mutant	TRUE	Promoter	Gclm	0	chr3	122206092	122206600	TRUE	0.121312	0.059241	-0.062071
259	32725	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.303776909482196	0.000950655848783685	down_in_mutant	TRUE	Promoter	Zic4	0	chr9	90691944	90692151	FALSE	NA	NA	NA
264	19893	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.210735633741633	0.00634268683177521	down_in_mutant	TRUE	Promoter	Akirin2	0	chr4	34498691	34499322	TRUE	0.062338	0.022399	-0.039939
266	2765	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.208154136024598	0.00782611726263873	down_in_mutant	TRUE	Promoter	Elp4	0	chr2	105800712	105801006	TRUE	0.031806	0.008447	-0.023359
283	13992	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.160645857095597	0.248020178987975	unchanged	FALSE	Promoter	Cited2	1782	chr10	15300794	15300965	FALSE	NA	NA	NA
286	30939	1	Bivalent_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Bivalent_Promoter	0.0236505775644995	0.7991176065685	unchanged	FALSE	Promoter	Plag1	0	chr4	3690928	3691521	FALSE	NA	NA	NA
287	2054	1	Repressed_Promoter	Active_Enhancer	Activity_Lost	Repressed_Promoter-Active_Enhancer	-0.211098903456373	0.0724253111031322	unchanged	FALSE	Promoter	Hic1	0	chr11	75133469	75133640	TRUE	0.020146	0.006361	-0.013785
291	37404	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.139940009913743	0.0475590164699155	down_in_mutant	TRUE	Promoter	Zfp521	0	chr18	13398074	13398583	TRUE	0.044161	0.011895	-0.032266
291	10302	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.258307076267138	0.0333108208865451	down_in_mutant	TRUE	Promoter	Zfp521	0	chr18	13398074	13398583	TRUE	0.044161	0.011895	-0.032266
294	14966	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.33827721501329	7.90500323236132e-05	down_in_mutant	TRUE	Promoter	Gm26979	0	chr1	137591311	137591583	TRUE	0.026322	0.011349	-0.014973
297	23074	1	Active_Promoter	Poised_Enhancer	Activity_Lost	Active_Promoter-Poised_Enhancer	-0.0485444300265369	0.672873745010566	unchanged	FALSE	Promoter	Diras2	0	chr13	52378348	52378734	FALSE	NA	NA	NA
298	36735	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.330367802458661	0.000265964987771683	down_in_mutant	TRUE	Promoter	Cited2	0	chr10	17131830	17131998	TRUE	0.021643	0.002873	-0.01877
298	14112	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.438942905209204	0.00319831475972173	down_in_mutant	TRUE	Promoter	Cited2	0	chr10	17131830	17131998	TRUE	0.021643	0.002873	-0.01877
301	12302	1	Repressed_Promoter	Active_Enhancer	Activity_Lost	Repressed_Promoter-Active_Enhancer	-0.37529443403347	6.91951560597886e-05	down_in_mutant	TRUE	Promoter	Gm12914	0	chr4	81573763	81574091	FALSE	NA	NA	NA
305	23552	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	0.0531052756066126	0.477442764618893	unchanged	FALSE	Promoter	Dnlz	0	chr2	26300363	26301057	TRUE	0.024467	0.01329	-0.011177
305	25096	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	0.0748723628646729	0.332878359467101	unchanged	FALSE	Promoter	Inpp5e	0	chr2	26300363	26301057	FALSE	NA	NA	NA
308	32994	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.15802281669471	0.0268051643433432	down_in_mutant	TRUE	Promoter	8430419K02Rik	0	chr11	18756768	18756864	FALSE	NA	NA	NA
308	7369	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.441396930864424	3.14224082486974e-05	down_in_mutant	TRUE	Promoter	8430419K02Rik	0	chr11	18756768	18756864	FALSE	NA	NA	NA
308	7583	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.280575286185293	0.00132850381000356	down_in_mutant	TRUE	Promoter	Meis1	0	chr11	18756768	18756864	FALSE	NA	NA	NA
309	9005	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.134534384302447	0.0606486195842114	unchanged	FALSE	Promoter	Ndufb4	0	chr16	37584310	37585020	FALSE	NA	NA	NA
310	5691	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.15315697986689	0.0118404692740421	down_in_mutant	TRUE	Promoter	Trmt6	0	chr2	132509398	132509608	FALSE	NA	NA	NA
329	10196	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.289537479938327	0.019318885212499	down_in_mutant	TRUE	Promoter	Nedd4l	0	chr18	64844958	64845664	TRUE	0.051224	0.018634	-0.03259
330	36152	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.429102197530757	0.000440505713942125	down_in_mutant	TRUE	Promoter	Kcnd2	0	chr6	20641453	20641672	TRUE	0.023051	0.004278	-0.018773
330	13224	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.585153563235224	0.000120201006687154	down_in_mutant	TRUE	Promoter	Kcnd2	0	chr6	20641453	20641672	TRUE	0.023051	0.004278	-0.018773
331	15113	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.124413438171702	0.0716251451519914	unchanged	FALSE	Promoter	Kif5c	702	chr2	49562741	49563168	FALSE	NA	NA	NA
332	34122	1	Repressed_Promoter	Other	Activity_Lost	Repressed_Promoter-Other	-0.0234346144237508	0.765214838091103	unchanged	FALSE	Promoter	Camk1g	0	chr1	193272459	193273185	TRUE	0.029944	0.01799	-0.011954
336	35839	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.0259903765932729	0.68354099916249	unchanged	FALSE	Promoter	Gm28050	0	chr5	106463746	106464310	TRUE	0.03368	0.015033	-0.018647
336	842	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	0.0997122244143202	0.415720383866418	unchanged	FALSE	Promoter	Gm28039	0	chr5	106463746	106464310	TRUE	0.021028	0.005808	-0.01522
336	12687	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.223102445911809	0.00682793969423762	down_in_mutant	TRUE	Promoter	Gm28050	0	chr5	106463746	106464310	TRUE	0.03368	0.015033	-0.018647
338	19921	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.0322786579501254	0.860456409783515	unchanged	FALSE	Promoter	Asph	0	chr4	9519344	9519571	FALSE	NA	NA	NA
346	35386	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.234045829474245	0.00860209272894799	down_in_mutant	TRUE	Promoter	Unc5c	0	chr3	140952463	140952669	FALSE	NA	NA	NA
347	26800	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.132427151683586	0.09172007741808	unchanged	FALSE	Promoter	Cdc40	0	chr10	40372466	40372623	FALSE	NA	NA	NA
350	35839	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.0259903765932729	0.68354099916249	unchanged	FALSE	Promoter	Gm28050	0	chr5	106472347	106472503	TRUE	0.021251	0.00478	-0.016471
351	36066	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.0266549443833533	0.666876089353784	unchanged	FALSE	Promoter	Abtb1	0	chr6	88559801	88559948	FALSE	NA	NA	NA
358	2966	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.103715195938144	0.573036805288982	unchanged	FALSE	Promoter	Clvs1	0	chr4	9185276	9185727	TRUE	0.025977	0.008122	-0.017855
359	10683	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.120340675398941	0.101046072023537	unchanged	FALSE	Promoter	Neurod1	0	chr2	79379839	79379964	FALSE	NA	NA	NA
359	11296	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	0.119813916685831	0.201912386353814	unchanged	FALSE	Promoter	Itprid2	0	chr2	79379839	79379964	FALSE	NA	NA	NA
