chr1	x1	x2	chr2	y1	y2	name	score	strand1	strand2	color	direction	direction_confidence	logFC	FDR	source	pval_ctrl	pval_mut	detection_confidence	in_10kb	nearest_gene	distance_to_tss	nearest_coding_gene	nearest_coding_dist	body_genes	body_gene_count	anchor_type	h3k27ac	h3k27me3	h3k4me1	stripe_length_kb	anchor_width_kb	stripe_idx	se_P60_overlap	se_ENCODE_overlap	k27ac_class	concordant
chr13	83735001	83755000	chr13	83735001	84315000	stripe_1943	4.2201999498761404	.	.	0,0,139	lost	high	-0.197	6.023e-5	control_only	0.048	NA	high	NA	Mir9-2	0	Mef2c	230966	Tmem161b	1	Active_Promoter	TRUE	FALSE	TRUE	580	20	212	TRUE	TRUE	lost_k27ac	TRUE
chr13	84045001	84070000	chr13	83705001	84070000	stripe_1944	3.17181735766949	.	.	0,0,139	lost	high	-0.1386	6.733e-4	control_only	0.053	NA	high	NA	Gm17750	0	Tmem161b	152295	NA	0	Active_Promoter	TRUE	FALSE	TRUE	365	25	213	TRUE	FALSE	lost_k27ac	TRUE
chr14	55160001	55175000	chr14	55160001	55595000	stripe_2160	1.60747216019667	.	.	0,0,139	lost	high	-0.089	0.02469	control_only	0.02	NA	high	NA	Jph4	43065	Jph4	43065	Carmil3,Cpne6,Dcaf11,Dhrs2,Dhrs4,Emc9,Fitm1,Nrl,Pck2,Psme1,Psme2,Rnf31	12	Active_Enhancer	TRUE	FALSE	TRUE	435	15	240	TRUE	FALSE	lost_k27ac	TRUE
chr14	105890001	105915000	chr14	105890001	106345000	stripe_2281	4.9138825590354	.	.	139,0,0	gained	high	0.3027	1.219e-5	mutant_only	NA	0.082	high	NA	Spry2	0	Spry2	0	Spry2,Trim52	2	Active_Promoter	TRUE	FALSE	TRUE	455	25	264	TRUE	FALSE	lost_k27ac	FALSE
chr15	39720001	39740000	chr15	39195001	39740000	stripe_2424	1.42302756695494	.	.	0,0,139	lost	high	-0.0642	0.03775	control_only	0.011	NA	high	NA	Dcstamp	5931	Dcstamp	5931	Rims2	1	Active_Enhancer	TRUE	FALSE	TRUE	545	20	283	TRUE	FALSE	lost_k27ac	TRUE
chr16	24480001	24495000	chr16	24035001	24495000	stripe_2786	1.5702965341663	.	.	0,0,139	lost	high	-0.0884	0.0269	control_only	0.022	NA	high	NA	Morf4l1-ps1	34393	Lpp	86493	Lpp	1	Active_Enhancer	TRUE	FALSE	TRUE	460	15	324	TRUE	FALSE	lost_k27ac	TRUE
chr16	37435001	37460000	chr16	37435001	37680000	stripe_2848	3.72439942485365	.	.	0,0,139	lost	high	-0.141	1.886e-4	control_only	0.01	NA	high	NA	Stxbp5l	50038	Stxbp5l	50038	Gtf2e1,Hgd,Ndufb4,Rabl3	4	Active_Enhancer	TRUE	FALSE	TRUE	245	25	331	TRUE	FALSE	lost_k27ac	TRUE
chr16	41715001	41750000	chr16	41715001	42160000	stripe_2871	4.17388531628031	.	.	0,0,139	lost	high	-0.1526	6.701e-5	control_only	0.076	NA	high	NA	Mir6540	553468	Gap43	590650	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	445	35	334	TRUE	FALSE	lost_k27ac	TRUE
chr17	88505001	88525000	chr17	87680001	88525000	stripe_3302	2.63122428482008	.	.	0,0,139	lost	high	-0.0997	0.002338	control_only	0.095	NA	high	NA	Ppp1r21	5117	Ppp1r21	5117	Fbxo11,Foxn2,Gm4832,Kcnk12,Msh6	5	Active_Enhancer	TRUE	FALSE	TRUE	845	20	376	TRUE	FALSE	lost_k27ac	TRUE
chr18	39375001	39395000	chr18	37805001	39395000	stripe_3440	1.38186813902297	.	.	0,0,139	lost	high	-0.0617	0.04151	control_only	0.058	NA	high	NA	Nr3c1	124420	Nr3c1	124420	Arap3,Arhgap26,Dele1,Diaph1,Fchsd1,Fgf1,Gm19774,Gm5820,Gnpda1,Hdac3,Ndfip1,Pcdh1,Pcdh12,Pcdhgc3,Pcdhgc4,Pcdhgc5,Rell2,Rnf14,Spry4	19	Active_Enhancer	TRUE	FALSE	TRUE	1590	20	384	TRUE	FALSE	lost_k27ac	TRUE
chr19	3845001	3875000	chr19	3845001	4340000	stripe_3588	1.51630773530332	.	.	0,0,139	lost	high	-0.0649	0.03046	control_only	0.098	NA	high	NA	Chka	0	Chka	0	Acy3,Aip,Aldh3b1,Aldh3b2,Aldh3b3,Ankrd13d,Cabp2,Cabp4,Carns1,Cdk2ap2,Chka,Clcf1,Coro1b,Doc2g,Gpr152,Grk2,Gstp1,Gstp2,Gstp3,Ndufs8,Ndufv1,Nudt8,Pitpnm1,Pold4,Ppp1ca,Ptprcap,Rad9a,Rps6kb2,Ssh3,Tbc1d10c,Tbx10,Tcirg1,Tmem134,Unc93b1	34	Other	TRUE	FALSE	TRUE	495	30	403	TRUE	FALSE	lost_k27ac	TRUE
chr19	10870001	10900000	chr19	10520001	10900000	stripe_3626	1.61570717138307	.	.	0,0,139	lost	high	-0.0655	0.02423	control_only	0.0775	NA	high	NA	Tmem109	0	Tmem109	0	Cd5,Cd6,Cpsf7,Cyb561a3,Ddb1,Pga5,Prpf19,Sdhaf2,Slc15a3,Tkfc,Tmem109,Tmem132a,Tmem138,Tmem216,Vps37c,Vwce	16	Active_Promoter	TRUE	FALSE	TRUE	380	30	405	TRUE	FALSE	stable_k27ac	FALSE
chr2	138255001	138290000	chr2	138255001	139380000	stripe_4190	1.68655846103425	.	.	0,0,139	lost	high	-0.0636	0.02058	control_only	0.032	NA	high	NA	Btbd3	0	Btbd3	0	Btbd3	1	Active_Promoter	TRUE	FALSE	TRUE	1125	35	459	TRUE	FALSE	lost_k27ac	TRUE
chr2	139350001	139385000	chr2	137965001	139385000	stripe_4203	1.81361347539302	.	.	0,0,139	lost	high	-0.068	0.01536	control_only	0.0235	NA	high	NA	Sptlc3	108912	Sptlc3	108912	Btbd3	1	Active_Enhancer	TRUE	FALSE	TRUE	1420	35	461	TRUE	FALSE	lost_k27ac	TRUE
chr3	52090001	52115000	chr3	51215001	52115000	stripe_4437	2.55094151272004	.	.	0,0,139	lost	high	-0.093	0.002812	control_only	0.022	NA	high	NA	Maml3	0	Maml3	0	Elf2,Maml3,Mgarp,Mgst2,Naa15,Ndufc1,Noct,Rab33b,Setd7	9	Active_Promoter	TRUE	FALSE	TRUE	900	25	495	TRUE	FALSE	lost_k27ac	TRUE
chr4	62675001	62700000	chr4	62290001	62700000	stripe_4808	1.69023429695324	.	.	0,0,139	lost	high	-0.0692	0.02041	control_only	0.0415	NA	high	NA	Rgs3	115153	Rgs3	115153	4933430I17Rik,Alad,Bspry,Cdc26,Fkbp15,Hdhd3,Pole3,Prpf4,Rgs3,Rnf183,Slc31a1,Wdr31	12	Active_Enhancer	TRUE	FALSE	TRUE	410	25	528	TRUE	FALSE	lost_k27ac	TRUE
chr5	74250001	74270000	chr5	73705001	74270000	stripe_5377	1.59018900558417	.	.	0,0,139	lost	high	-0.0733	0.02569	control_only	0.028	NA	high	NA	Rasl11b	54714	Rasl11b	54714	Rasl11b,Usp46	2	Active_Enhancer	TRUE	FALSE	TRUE	565	20	591	TRUE	FALSE	lost_k27ac	TRUE
chr5	74275001	74295000	chr5	73645001	74295000	stripe_5378	1.45666450116111	.	.	0,0,139	lost	high	-0.0693	0.03494	control_only	0.046	NA	high	NA	Rasl11b	79714	Rasl11b	79714	Rasl11b,Sgcb,Spata18,Usp46	4	Poised_Enhancer	FALSE	FALSE	TRUE	650	20	592	TRUE	FALSE	no_diffbind_peak	FALSE
chr7	46700001	46720000	chr7	45675001	46720000	stripe_6163	1.50221072138171	.	.	0,0,139	lost	high	-0.0844	0.03146	control_only	0.035	NA	high	NA	Saal1	0	Saal1	0	Abcc6,Abcc8,Car11,Cyth2,Dbp,Emp3,Fam83e,Grin2d,Grwd1,Kcnc1,Kcnj11,Kcnj14,Kdelr1,Lmtk3,Myod1,Nomo1,Ntn5,Odad1,Otog,Rpl18,Saa3,Saal1,Sec1,Sergef,Spaca4,Sphk2,Sult2b1,Syngr4,Tmem143,Tph1,Ush1c	31	Other	TRUE	FALSE	TRUE	1045	20	679	TRUE	FALSE	lost_k27ac	TRUE
chr7	49250001	49275000	chr7	49250001	49595000	stripe_6175	1.54027460076944	.	.	139,0,0	gained	high	0.0836	0.02882	mutant_only	NA	0.021	high	NA	9130015G15Rik	90181	Nav2	341284	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	345	25	684	TRUE	FALSE	gained_k27ac	TRUE
chr7	139455001	139485000	chr7	139225001	139485000	stripe_6506	1.38710846711482	.	.	0,0,139	lost	high	-0.0857	0.04101	control_only	0.0155	NA	high	NA	Inpp5a	65891	Inpp5a	65891	Inpp5a,Pwwp2b	2	Active_Enhancer	TRUE	FALSE	TRUE	260	30	725	TRUE	FALSE	lost_k27ac	TRUE
chr7	141520001	141540000	chr7	141180001	141540000	stripe_6515	1.42117446427159	.	.	0,0,139	lost	high	-0.0846	0.03792	control_only	0.0885	NA	high	NA	Chid1	0	Chid1	0	Cd151,Cdhr5,Cend1,Chid1,Cracr2b,Deaf1,Drd4,Eps8l2,Gatd1,Hras,Irf7,Lmntd2,Lrrc56,Phrf1,Pidd1,Pnpla2,Polr2l,Rassf7,Rplp2,Sct,Slc25a22,Taldo1,Tmem80,Tspan4	24	Other	TRUE	FALSE	TRUE	360	20	726	TRUE	FALSE	lost_k27ac	TRUE
chr8	36485001	36520000	chr8	35850001	36520000	stripe_6615	2.30483644839694	.	.	0,0,139	lost	high	-0.0887	0.004956	control_only	0.05	NA	high	NA	Trmt9b	27452	Trmt9b	27452	Lonrf1,Prag1,Trmt9b	3	Active_Enhancer	TRUE	FALSE	TRUE	670	35	748	TRUE	FALSE	lost_k27ac	TRUE
chr8	57645001	57670000	chr8	57645001	57965000	stripe_6634	3.20308310488483	.	.	0,0,139	lost	high	-0.1616	6.265e-4	control_only	0.0945	NA	high	NA	Galnt7	0	Galnt7	0	Galnt7	1	Active_Promoter	TRUE	FALSE	TRUE	320	25	752	TRUE	FALSE	stable_k27ac	FALSE
chr8	86525001	86545000	chr8	85675001	86545000	stripe_6708	2.80743341719429	.	.	0,0,139	lost	high	-0.1092	0.001558	control_only	0.021	NA	high	NA	Abcc12	35685	Abcc12	35685	Itfg1,Neto2,Phkb	3	Active_Enhancer	TRUE	FALSE	TRUE	870	20	762	TRUE	FALSE	lost_k27ac	TRUE
chr8	114490001	114510000	chr8	114490001	115490000	stripe_6806	2.99435025218724	.	.	0,0,139	lost	high	-0.1385	0.001013	control_only	0.0515	NA	high	NA	Wwox	50345	Wwox	50345	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	1000	20	774	TRUE	FALSE	lost_k27ac	TRUE
chr9	22045001	22065000	chr9	21750001	22065000	stripe_6946	1.58880605988317	.	.	0,0,139	lost	high	-0.0832	0.02577	control_only	0.045	NA	high	NA	Elavl3	0	Elavl3	0	Angptl8,Ccdc159,Dock6,Elavl3,Epor,Kank2,Odad3,Plppr2,Prkcsh,Rab3d,Rgl3,Spc24,Swsap1,Tmem205	14	Active_Promoter	TRUE	FALSE	TRUE	315	20	787	TRUE	FALSE	lost_k27ac	TRUE
chr9	29575001	29600000	chr9	29130001	29600000	stripe_6974	1.55848076507111	.	.	0,0,139	lost	high	-0.0647	0.02764	control_only	0.0795	NA	high	NA	Ntm	363140	Ntm	363140	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	470	25	793	TRUE	FALSE	lost_k27ac	TRUE
chr9	40320001	40340000	chr9	40320001	41165000	stripe_7007	2.81822786509535	.	.	0,0,139	lost	high	-0.1164	0.00152	control_only	0.053	NA	high	NA	1700110K17Rik	0	Scn3b	50783	Bsx,Clmp,Crtam,Gramd1b,Hspa8,Jhy,Ubash3b	7	Other	TRUE	FALSE	TRUE	845	20	797	TRUE	FALSE	stable_k27ac	FALSE
chr9	91340001	91355000	chr9	89820001	91355000	stripe_7238	5.40506915612734	.	.	0,0,139	lost	high	-0.2565	3.935e-6	control_only	0.044	NA	high	NA	Zic4	7412	Zic4	7412	Adamts7,Ctsh,Morf4l1,Rasgrf1,Tbc1d2b	5	Active_Enhancer	TRUE	FALSE	TRUE	1535	15	821	TRUE	TRUE	stable_k27ac	FALSE
chr14	60360001	60410000	chr14	57520001	60410000	stripe_1061	2.07058639729423	.	.	0,0,139	lost	high	-0.0683	0.0085	control_only	0.095	NA	high	NA	Fnip1	0	Fnip1	0	Acsl6,Csf2,Fnip1,Il13,Il3,Il4,Il5,Irf1,Kif3a,Meikin,P4ha2,Pdlim4,Rad50,Septin8,Slc22a21,Slc22a4,Slc22a5	17	Active_Promoter	TRUE	FALSE	TRUE	2890	50	883	TRUE	FALSE	lost_k27ac	TRUE
chr15	88510001	88550000	chr15	86110001	88550000	stripe_1278	2.28582403006095	.	.	139,0,0	gained	high	0.0796	0.005178	mutant_only	NA	0.0165	high	NA	Arl4d	0	Arl4d	0	Adam11,Arl4d,Asb16,Atxn7l3,C1ql1,Ccdc103,Ccdc43,Cd300lg,Cfap97d1,Dcakd,Dhx8,Dusp3,Eftud2,Etv4,Fam171a2,Fam187a,Fzd2,G6pc3,Gfap,Gjc1,Gpatch8,Grn,Hdac5,Higd1b,Hrob,Itga2b,Kif18b,Lsm12,Meioc,Meox1,Mpp2,Mpp3,Nags,Nmt1,Ppy,Pyy,Rundc3a,Slc25a39,Slc4a1,Sost,Tmem101,Tmub2,Ubtf	43	Other	FALSE	FALSE	FALSE	2440	40	896	TRUE	FALSE	no_diffbind_peak	FALSE
chr18	38930001	38980000	chr18	38930001	39980000	stripe_1681	3.32002305935751	.	.	0,0,139	lost	high	-0.1161	4.786e-4	control_only	0.068	NA	high	NA	Ak7	9024	Ak7	9024	Ak7,Atg2b,Bdkrb1,Bdkrb2,D430019H16Rik,Gskip,Tcl1,Tcl1b1,Tcl1b2,Tcl1b3,Tcl1b4,Tcl1b5,Tunar	13	Other	FALSE	FALSE	FALSE	1050	50	908	TRUE	FALSE	lost_k27ac	TRUE
chr9	90660001	90700000	chr9	89810001	90700000	stripe_3491	1.50627534670284	.	.	0,0,139	lost	high	-0.0924	0.03117	control_only	0.083	NA	high	NA	Spmip10	6650	Spmip10	6650	C330018D20Rik,Lmnb1,Marchf3,Megf10	4	Other	FALSE	FALSE	FALSE	890	40	1009	TRUE	FALSE	lost_k27ac	TRUE
