stripe_id	chr	pos1	pos2	pos3	pos4	direction	direction_confidence	significant_FDR05	stripe_logFC	stripe_FDR	anchor_pc1_ctrl	anchor_pc1_mut	anchor_pc1_delta	anchor_n_bins	anchor_compartment	body_pc1_ctrl	body_pc1_mut	body_pc1_delta	body_n_bins	body_compartment	anchor_on_switched_bin
stripe_0021	chr1	22250001	22270000	21345001	22270000	unchanged	low	FALSE	-0.0290088576587089	0.630216754787894	0.194	0.0906666666666667	-0.103333333333333	1	A	-0.285894736842105	-0.294078947368421	-0.00818421052631585	38	B	FALSE
stripe_0022	chr1	22590001	22615000	22590001	23385000	unchanged	low	FALSE	-0.0396592323089845	0.40540778016478	1.04716666666667	0.760666666666667	-0.286499999999998	2	A	0.864888888888889	0.751555555555556	-0.113333333333333	33	A	FALSE
stripe_0023	chr1	22780001	22810000	22475001	22810000	lost	low	FALSE	-0.0629283652677949	0.21893140719339	1.06533333333334	0.863166666666667	-0.202166666666668	2	A	1.10016666666667	0.831142857142857	-0.269023809523809	14	A	FALSE
stripe_0024	chr1	23125001	23145000	22585001	23145000	unchanged	low	FALSE	-0.0520640309606839	0.278477212107299	0.680333333333333	0.569	-0.111333333333333	1	A	0.99604347826087	0.840086956521739	-0.155956521739131	23	A	FALSE
stripe_0025	chr1	23315001	23335000	23315001	23875000	gained	low	FALSE	-0.0554907376526636	0.327819297404441	0.528666666666667	0.593	0.0643333333333335	2	A	0.49768115942029	0.602333333333333	0.104652173913043	23	A	FALSE
stripe_0026	chr1	23475001	23505000	23315001	23505000	gained	low	FALSE	0.011484385938862	0.827547905331583	0.333666666666667	0.460166666666667	0.1265	2	A	0.477444444444444	0.549481481481481	0.072037037037037	9	A	FALSE
stripe_0027	chr1	24000001	24035000	23810001	24035000	lost	low	FALSE	0.0316712939479169	0.519629034875482	0.888333333333333	0.851333333333333	-0.0369999999999995	2	A	0.919966666666667	0.8989	-0.0210666666666665	10	A	FALSE
stripe_0028	chr1	24235001	24260000	23745001	24260000	unchanged	low	FALSE	-0.0540921685495488	0.274089169324507	0.641	0.539166666666666	-0.101833333333334	2	A	0.819469696969697	0.795606060606061	-0.0238636363636363	22	A	FALSE
stripe_0029	chr1	24370001	24390000	24370001	24720000	unchanged	low	FALSE	-0.0355108564822949	0.533738585958491	0.083	-0.0053333333333333	-0.0883333333333333	2	A	0.279288888888889	0.176133333333333	-0.103155555555556	15	A	FALSE
stripe_0030	chr1	25810001	25830000	25500001	25830000	unchanged	low	FALSE	-0.0174451668779208	0.819739703158047	-0.1185	-0.231833333333334	-0.113333333333333	2	B	0.0205238095238095	-0.138833333333333	-0.159357142857143	14	A	FALSE
stripe_0031	chr1	30930001	30950000	30775001	30950000	unchanged	low	FALSE	-0.00341425202824171	0.973752953731917	-0.477	-0.650666666666667	-0.173666666666667	1	B	-0.273285714285714	-0.43652380952381	-0.163238095238095	7	B	FALSE
stripe_0032	chr1	31140001	31175000	30700001	31175000	lost	low	FALSE	0.0291625583834016	0.560694109059395	-0.695333333333334	-0.670833333333334	0.0245000000000001	2	B	-0.589578947368421	-0.650543859649123	-0.0609649122807021	19	B	FALSE
stripe_0033	chr1	33660001	33685000	33660001	34200000	unchanged	low	FALSE	0.00913049830861935	0.893775042091368	0.0831666666666669	-0.0733333333333335	-0.1565	2	A	0.963696969696969	0.824560606060606	-0.139136363636363	22	A	FALSE
stripe_0034	chr1	33950001	33975000	33735001	33975000	unchanged	low	FALSE	-0.0391372369792534	0.395483545120236	1.05333333333333	0.919666666666667	-0.133666666666663	1	A	0.858199999999999	0.715333333333333	-0.142866666666666	10	A	FALSE
stripe_0035	chr1	34585001	34610000	34200001	34610000	lost	low	FALSE	-0.0137299007470017	0.804940352296038	1.56833333333333	1.5525	-0.0158333333333298	2	A	1.54386274509804	1.48441176470588	-0.0594509803921552	17	A	FALSE
stripe_0036	chr1	36040001	36065000	35630001	36065000	unchanged	low	FALSE	-0.0117047841914814	0.834082811184045	1.3	1.36366666666667	0.0636666666666703	2	A	1.16496296296296	1.27435185185185	0.10938888888889	18	A	FALSE
stripe_0037	chr1	37255001	37285000	37255001	37855000	unchanged	low	FALSE	-0.0342440415158388	0.506519646387537	1.5575	1.53366666666667	-0.02383333333333	2	A	1.58132	1.53741333333333	-0.0439066666666663	25	A	FALSE
stripe_0038	chr1	37445001	37465000	37445001	37885000	gained	low	FALSE	-0.0135776960312482	0.817097618124182	1.60333333333333	1.53916666666667	-0.0641666666666598	2	A	1.57608771929825	1.52577192982456	-0.0503157894736836	19	A	FALSE
stripe_0039	chr1	37620001	37645000	37290001	37645000	unchanged	low	FALSE	-0.0128493588150139	0.799171819642471	1.6005	1.59683333333333	-0.00366666666666515	2	A	1.61704444444444	1.58031111111111	-0.0367333333333326	15	A	FALSE
stripe_0040	chr1	37880001	37900000	37880001	38105000	gained	low	FALSE	0.0645546912924121	0.319406971273192	1.60133333333333	1.48466666666667	-0.11666666666666	1	A	1.54073333333333	1.3999	-0.140833333333332	10	A	FALSE
stripe_0041	chr1	38175001	38195000	38175001	38735000	unchanged	low	FALSE	-0.0513525506746855	0.280243501551375	1.55966666666667	1.56066666666667	0.00099999999999989	1	A	1.5791884057971	1.55453623188406	-0.0246521739130434	23	A	FALSE
stripe_0042	chr1	38755001	38780000	38185001	38780000	unchanged	low	FALSE	-0.0492151820034876	0.274089169324507	1.556	1.53566666666667	-0.02033333333333	2	A	1.57733333333333	1.55302666666667	-0.0243066666666663	25	A	FALSE
stripe_0043	chr1	38995001	39030000	38995001	39490000	unchanged	low	FALSE	-0.0186449605073682	0.730915668234716	1.17833333333333	1.16477777777778	-0.0135555555555524	3	A	1.15074603174603	1.17346031746032	0.0227142857142855	21	A	FALSE
stripe_0044	chr1	39515001	39535000	38825001	39535000	unchanged	low	FALSE	-0.0178003578851536	0.738289775182335	1.43916666666667	1.42383333333334	-0.015333333333335	2	A	1.24740229885057	1.25620689655172	0.00880459770114883	29	A	FALSE
stripe_0045	chr1	39675001	39690000	39675001	40120000	unchanged	low	FALSE	-0.0319247977436593	0.633606748144713	1.14366666666667	1.17733333333333	0.0336666666666601	1	A	1.13018518518518	1.10468518518519	-0.0254999999999981	18	A	FALSE
stripe_0046	chr1	39745001	39775000	39745001	40005000	lost	low	FALSE	-0.0159768543476362	0.798437140067463	1.2885	1.27666666666667	-0.01183333333333	2	A	1.31788888888889	1.28780555555556	-0.0300833333333301	12	A	FALSE
stripe_0047	chr1	39745001	39775000	39745001	40020000	gained	low	FALSE	-0.0199625758796794	0.739248049504227	1.2885	1.27666666666667	-0.01183333333333	2	A	1.31788888888889	1.28780555555556	-0.0300833333333301	12	A	FALSE
stripe_0048	chr1	40365001	40385000	39565001	40385000	unchanged	low	FALSE	0.0499472801542677	0.26739708634708	-0.128	-0.0828333333333335	0.0451666666666665	2	B	0.744431372549019	0.75736274509804	0.0129313725490205	34	A	FALSE
stripe_0049	chr1	40560001	40590000	40560001	40850000	gained	low	FALSE	0.0415744787673017	0.417748458898009	-0.474666666666667	-0.3745	0.100166666666667	2	B	-0.430444444444445	-0.344888888888889	0.0855555555555557	12	B	FALSE
stripe_0050	chr1	43290001	43310000	43290001	43750000	unchanged	low	FALSE	0.0137159032047323	0.819739703158047	0.163833333333333	0.282	0.118166666666666	2	A	0.39921052631579	0.474035087719298	0.0748245614035088	19	A	FALSE
stripe_0051	chr1	43725001	43750000	43265001	43750000	gained	low	FALSE	-0.00612220531449258	0.91221037425204	0.37	0.385	0.015	1	A	0.379716666666667	0.455516666666667	0.0758	20	A	FALSE
stripe_0052	chr1	43750001	43775000	43750001	44160000	unchanged	low	FALSE	-0.0441825970924563	0.371182920953883	0.491	0.441	-0.05	1	A	0.310313725490196	0.209117647058823	-0.101196078431373	17	A	FALSE
stripe_0053	chr1	50970001	50990000	50970001	51345000	unchanged	low	FALSE	-0.0577468909068675	0.416364015391088	0.0615	-0.0455	-0.107	2	A	0.109895833333333	0.020625	-0.0892708333333334	16	A	FALSE
stripe_0054	chr1	51315001	51335000	50930001	51335000	gained	low	FALSE	-0.0858716324783489	0.114839554226933	-0.0375	-0.0871666666666667	-0.0496666666666667	2	B	0.097686274509804	0.0060980392156863	-0.0915882352941177	17	A	FALSE
stripe_0055	chr1	51585001	51610000	50975001	51610000	unchanged	low	FALSE	0.0437315610124421	0.447633115620405	0.129	0.1335	0.0045	2	A	0.0801410256410257	0.0678461538461538	-0.0122948717948719	26	A	FALSE
stripe_0056	chr1	51660001	51685000	51660001	52000000	gained	low	FALSE	-0.0727008033359208	0.226607991699299	0.533333333333333	0.382333333333334	-0.151	2	A	0.500166666666667	0.381380952380952	-0.118785714285714	14	A	FALSE
stripe_0057	chr1	52080001	52105000	51315001	52105000	unchanged	low	FALSE	-0.0529595149883333	0.303427612608657	0.189333333333333	0.0568333333333335	-0.1325	2	A	0.237858585858586	0.197818181818182	-0.0400404040404042	33	A	FALSE
stripe_0058	chr1	52620001	52640000	52110001	52640000	unchanged	low	FALSE	-0.0640777859751665	0.258673953041801	0.144833333333334	-0.218	-0.362833333333334	2	A	0.0975	-0.237454545454545	-0.334954545454545	22	A	TRUE
stripe_0059	chr1	52630001	52655000	52630001	52860000	unchanged	low	FALSE	-0.0162685645448933	0.809695548361809	0.200333333333334	-0.156	-0.356333333333334	2	A	0.206333333333333	-0.181166666666667	-0.3875	10	A	TRUE
stripe_0060	chr1	53020001	53040000	52690001	53040000	unchanged	low	FALSE	-0.00114601890277951	0.991298559879663	-0.259666666666667	-0.572666666666666	-0.312999999999999	2	B	-0.0443333333333334	-0.392488888888889	-0.348155555555555	15	B	TRUE
stripe_0061	chr1	53255001	53285000	52850001	53285000	unchanged	low	FALSE	-0.0029712985784869	0.96422965266886	-0.162166666666667	-0.571	-0.408833333333333	2	B	-0.306407407407408	-0.65762962962963	-0.351222222222222	18	B	TRUE
stripe_0062	chr1	53905001	53925000	53905001	54425000	lost	low	FALSE	0.0690113912680554	0.188124647460427	-0.097	-0.337333333333333	-0.240333333333333	1	B	-0.0800952380952381	-0.359746031746032	-0.279650793650794	21	B	FALSE
stripe_0063	chr1	54965001	54985000	54675001	54985000	lost	low	FALSE	-0.0387606019642504	0.595364889188725	1.03183333333333	0.796833333333334	-0.235000000000001	2	A	1.12266666666667	0.925794871794872	-0.196871794871795	13	A	FALSE
stripe_0064	chr1	55365001	55395000	55000001	55395000	lost	low	FALSE	0.00122666255130405	0.985886966378647	-0.205666666666666	-0.195666666666667	0.00999999999999984	2	B	0.337354166666666	0.235229166666667	-0.102125	16	A	FALSE
stripe_0065	chr1	55395001	55420000	55395001	55880000	unchanged	low	FALSE	-0.00963171412158396	0.863664462747486	-0.00483333333333335	-0.0063333333333333	-0.00149999999999995	2	B	-0.0271904761904762	0.0440158730158729	0.0712063492063492	21	B	FALSE
stripe_0066	chr1	57410001	57430000	57410001	58470000	unchanged	low	FALSE	0.0361655828769509	0.486104396396092	0.563666666666667	0.734166666666667	0.1705	2	A	0.583093023255814	0.89746511627907	0.314372093023256	43	A	FALSE
stripe_0067	chr1	57920001	57950000	57590001	57950000	unchanged	high	TRUE	0.10692574536099	0.038542311709638	0.6155	0.951166666666668	0.335666666666669	2	A	0.372133333333333	0.844622222222222	0.472488888888889	15	A	TRUE
stripe_0068	chr1	58260001	58285000	57945001	58285000	unchanged	low	FALSE	0.0838445541012735	0.10775370355089	0.6185	0.922833333333334	0.304333333333333	2	A	0.706466666666667	0.954488888888889	0.248022222222223	15	A	TRUE
stripe_0069	chr1	58750001	58775000	58750001	59250000	gained	low	FALSE	-0.00876171798239713	0.870335017949042	0.999	0.732333333333333	-0.266666666666667	1	A	1.04836666666667	0.759966666666667	-0.288399999999999	20	A	FALSE
stripe_0070	chr1	59300001	59325000	59300001	59625000	unchanged	low	FALSE	-0.0443162658707148	0.35166087092832	1.543	1.50066666666667	-0.04233333333333	1	A	1.57489743589744	1.52158974358974	-0.0533076923076932	13	A	FALSE
stripe_0071	chr1	59300001	59325000	59300001	59605000	gained	low	FALSE	-0.0464395075912406	0.327091342903179	1.543	1.50066666666667	-0.04233333333333	1	A	1.57489743589744	1.52158974358974	-0.0533076923076932	13	A	FALSE
stripe_0072	chr1	60850001	60875000	60230001	60875000	unchanged	low	FALSE	0.0458589807909581	0.306230727206603	0.643666666666667	0.834666666666667	0.191	1	A	0.725102564102564	0.799679487179487	0.0745769230769239	26	A	FALSE
stripe_0073	chr1	62685001	62705000	61765001	62705000	unchanged	low	FALSE	0.0224897999607777	0.664266598321942	0.616666666666666	0.746666666666667	0.13	2	A	0.431811965811966	0.760025641025641	0.328213675213675	39	A	FALSE
stripe_0074	chr1	63655001	63680000	63655001	65135000	lost	low	FALSE	-0.0677000387951295	0.129120058031848	0.956833333333333	0.893	-0.0638333333333334	2	A	1.15707222222222	1.11382777777778	-0.0432444444444442	60	A	FALSE
stripe_0075	chr1	63750001	63775000	63750001	64410000	unchanged	low	FALSE	-0.00984082488433983	0.875320024739012	1.04266666666667	0.991	-0.05166666666667	1	A	1.32207407407407	1.31414814814815	-0.00792592592592545	27	A	FALSE
stripe_0076	chr1	63750001	63775000	63750001	64435000	gained	low	FALSE	-0.0111669581416295	0.861508544476609	1.04266666666667	0.991	-0.05166666666667	1	A	1.31705952380952	1.30977380952381	-0.00728571428571367	28	A	FALSE
stripe_0077	chr1	64430001	64455000	63815001	64455000	unchanged	low	FALSE	0.0120798519756636	0.863664462747486	1.1045	1.09983333333333	-0.00466666666666504	2	A	1.32804938271605	1.32095061728395	-0.00709876543209798	27	A	FALSE
stripe_0078	chr1	66095001	66115000	66095001	66735000	unchanged	low	FALSE	-0.0260231423594513	0.651443973658577	-0.410333333333333	-0.477833333333333	-0.0675000000000005	2	B	0.315469135802469	0.110111111111111	-0.205358024691358	27	A	FALSE
stripe_0079	chr1	66825001	66845000	66385001	66845000	unchanged	low	FALSE	0.0619171673709752	0.322686665755101	0.089	-0.178666666666667	-0.267666666666667	1	A	0.251087719298246	0.0027543859649123	-0.248333333333333	19	A	FALSE
stripe_0080	chr1	67630001	67650000	67630001	69030000	unchanged	low	FALSE	-0.0212634224618143	0.71938755722084	-0.614666666666667	-0.675	-0.060333333333333	1	B	-0.323134502923977	-0.34253216374269	-0.0193976608187134	57	B	FALSE
stripe_0081	chr1	69090001	69115000	68120001	69115000	unchanged	low	FALSE	0.00561581112278262	0.919004041266442	-0.0511666666666667	-0.0658333333333335	-0.0146666666666668	2	B	-0.0783008130081301	-0.093910569105691	-0.015609756097561	41	B	FALSE
stripe_0082	chr1	72300001	72325000	72300001	72640000	unchanged	low	FALSE	0.0149812192886269	0.809197083687728	1.22366666666667	1.121	-0.10266666666667	1	A	1.30354761904762	1.228	-0.0755476190476192	14	A	FALSE
stripe_0083	chr1	72845001	72865000	72225001	72865000	unchanged	low	FALSE	-0.0295195236797503	0.628146202320207	1.2355	1.20783333333333	-0.0276666666666701	2	A	1.27302564102564	1.21403846153846	-0.0589871794871795	26	A	FALSE
stripe_0084	chr1	72880001	72910000	72880001	74000000	unchanged	low	FALSE	-0.00314871446727469	0.961118328964391	1.02916666666667	1.12433333333333	0.09516666666667	2	A	1.12419259259259	1.21982962962963	0.0956370370370367	45	A	FALSE
stripe_0085	chr1	73260001	73280000	72915001	73280000	gained	low	FALSE	-0.000596420379724378	0.993582024187712	1.04616666666666	1.15416666666667	0.108	2	A	1.14810416666667	1.237625	0.0895208333333324	16	A	FALSE
stripe_0086	chr1	73600001	73625000	72930001	73625000	lost	low	FALSE	0.0535764302965909	0.275806952060738	0.971666666666667	1.045	0.0733333333333329	1	A	1.07619047619048	1.18275	0.106559523809523	28	A	FALSE
stripe_0087	chr1	73815001	73835000	72930001	73835000	unchanged	low	FALSE	0.00459188444903739	0.938633816611334	1.0995	1.17316666666667	0.0736666666666701	2	A	1.07846846846847	1.17927027027027	0.100801801801802	37	A	FALSE
stripe_0088	chr1	73885001	73915000	73885001	74195000	unchanged	low	FALSE	0.00887314117525794	0.911241387341369	1.416	1.47183333333333	0.055833333333335	2	A	1.48448717948718	1.53925641025641	0.0547692307692293	13	A	FALSE
stripe_0089	chr1	74745001	74765000	74450001	74765000	gained	low	FALSE	0.0204582075004387	0.765485428593832	1.56866666666667	1.54	-0.02866666666667	2	A	1.51507692307692	1.37920512820513	-0.135871794871795	13	A	FALSE
stripe_0090	chr1	75020001	75055000	74685001	75055000	unchanged	low	FALSE	0.0304726422733984	0.503908807985779	1.47344444444445	1.41144444444444	-0.0620000000000036	3	A	1.58416666666667	1.5415625	-0.0426041666666681	16	A	FALSE
stripe_0091	chr1	75040001	75060000	75040001	75305000	lost	high	FALSE	-0.134802237828734	0.0977677545897006	1.43333333333333	1.35766666666667	-0.0756666666666699	2	A	1.54175757575758	1.48969696969697	-0.0520606060606073	11	A	FALSE
stripe_0092	chr1	75040001	75055000	74630001	75055000	gained	low	FALSE	0.0419943073161318	0.492551577207763	1.43333333333333	1.35766666666667	-0.0756666666666699	2	A	1.58059259259259	1.52874074074074	-0.0518518518518529	18	A	FALSE
stripe_0093	chr1	75125001	75140000	74780001	75140000	lost	low	FALSE	-0.017314493439143	0.847306911631132	1.591	1.53366666666667	-0.0573333333333299	1	A	1.57192857142857	1.53140476190476	-0.0405238095238116	14	A	FALSE
stripe_0094	chr1	75455001	75475000	75225001	75475000	unchanged	low	FALSE	-0.0655665959735455	0.182294144903548	1.58266666666667	1.55166666666667	-0.0309999999999999	1	A	1.59253333333333	1.5659	-0.026633333333334	10	A	FALSE
stripe_0095	chr1	75635001	75660000	75635001	77090000	unchanged	low	FALSE	-0.0169665678009068	0.79531295449972	0.898333333333333	0.949166666666666	0.0508333333333331	2	A	1.00574011299435	1.08260451977401	0.0768644067796609	59	A	FALSE
stripe_0096	chr1	75915001	75935000	75915001	77160000	unchanged	low	FALSE	0.00214582646035782	0.975484214161523	0.862333333333334	0.887833333333333	0.0255	2	A	1.01167973856209	1.0917908496732	0.0801111111111108	51	A	FALSE
stripe_0097	chr1	77495001	77525000	76505001	77525000	unchanged	low	FALSE	0.0425303601457435	0.338540604835151	0.806666666666666	0.869333333333333	0.0626666666666666	2	A	1.04528455284553	1.13585365853658	0.0905691056910563	41	A	FALSE
stripe_0098	chr1	77970001	77990000	77970001	78445000	gained	low	FALSE	0.0444872730862337	0.401972468185176	0.512666666666666	0.503166666666667	-0.00949999999999995	2	A	0.6079	0.5461	-0.0617999999999999	20	A	FALSE
stripe_0099	chr1	78205001	78225000	78205001	78460000	lost	low	FALSE	-0.0156326651758768	0.842302454660044	0.665666666666667	0.541	-0.124666666666667	1	A	0.817272727272727	0.691272727272727	-0.126	11	A	FALSE
stripe_0100	chr1	78720001	78740000	78720001	79695000	gained	low	FALSE	0.016682003733877	0.763207168448595	-0.151333333333333	-0.236	-0.0846666666666666	2	B	-0.739766666666666	-0.77325	-0.0334833333333336	40	B	FALSE
stripe_0101	chr1	79775001	79795000	79775001	80490000	unchanged	high	TRUE	0.127375198957474	0.0366693198873996	-0.0296666666666667	-0.168666666666667	-0.139	1	B	-0.286436781609195	-0.290862068965517	-0.00442528735632186	29	B	FALSE
stripe_0102	chr1	80170001	80190000	80170001	80415000	unchanged	low	FALSE	-0.00247785235439378	0.982179341543144	-0.454333333333333	-0.534833333333333	-0.0805	2	B	0.0127575757575758	-0.0627575757575758	-0.0755151515151516	11	A	FALSE
stripe_0103	chr1	80495001	80520000	80185001	80520000	unchanged	low	FALSE	0.0452990721158241	0.443436998551255	-0.334333333333333	-0.4725	-0.138166666666667	2	B	-0.027047619047619	-0.0973333333333333	-0.0702857142857143	14	B	FALSE
stripe_0104	chr1	80825001	80855000	80825001	81270000	unchanged	low	FALSE	0.0125589098620035	0.819739703158047	-0.321333333333333	-0.211833333333333	0.1095	2	B	-0.128574074074074	-0.0613333333333333	0.0672407407407408	18	B	FALSE
stripe_0105	chr1	81280001	81305000	80505001	81305000	unchanged	low	FALSE	-0.0272473612124896	0.57501651588969	-0.210333333333334	-0.2865	-0.0761666666666665	2	B	-0.263161616161616	-0.291949494949495	-0.0287878787878789	33	B	FALSE
stripe_0106	chr1	81310001	81330000	81310001	82440000	lost	low	FALSE	0.0250297396140571	0.682181800048588	-0.4175	-0.451	-0.0335	2	B	-0.735971014492753	-0.667159420289855	0.0688115942028985	46	B	FALSE
stripe_0107	chr1	82285001	82305000	81330001	82305000	gained	low	FALSE	-0.0415656354346039	0.477425200057601	-0.135166666666666	-0.172833333333334	-0.037666666666667	2	B	-0.779291666666666	-0.7093	0.0699916666666666	40	B	FALSE
stripe_0108	chr1	83400001	83420000	83400001	83705000	unchanged	low	FALSE	-0.000670985237642122	0.993582024187712	0.598666666666667	0.555	-0.043666666666667	1	A	0.386666666666667	0.50348717948718	0.116820512820513	13	A	FALSE
stripe_0109	chr1	83700001	83720000	83170001	83720000	unchanged	low	FALSE	-0.000701776716364328	0.9926719798152	0.102	0.192333333333333	0.090333333333333	1	A	0.35431884057971	0.418927536231884	0.0646086956521739	23	A	FALSE
stripe_0110	chr1	83730001	83750000	83730001	84710000	unchanged	low	FALSE	-0.00492844199900719	0.932740413696052	-0.0903333333333333	0.0233333333333333	0.113666666666667	1	B	-0.3311	-0.1687	0.1624	40	B	FALSE
stripe_0111	chr1	84680001	84705000	84115001	84705000	unchanged	low	FALSE	-0.0165011829535472	0.776209559012119	-0.0531666666666667	-0.0383333333333333	0.0148333333333334	2	B	-0.228506666666667	-0.0860133333333333	0.142493333333333	25	B	FALSE
stripe_0112	chr1	85325001	85345000	85150001	85345000	lost	low	FALSE	0.0673435809628851	0.57501651588969	-1.01733333333333	-1.02666666666667	-0.00933333333333985	1	B	-1.039375	-1.03425	0.00512500000000049	8	B	FALSE
stripe_0113	chr1	85835001	85860000	85835001	86145000	lost	low	FALSE	-0.0343762328358293	0.553909671834016	0.431	0.348833333333333	-0.082166666666667	2	A	0.671410256410256	0.578282051282051	-0.0931282051282052	13	A	FALSE
stripe_0114	chr1	86335001	86360000	86065001	86360000	lost	low	FALSE	0.0161382386413953	0.823817184139498	1.41666666666666	1.2785	-0.138166666666665	2	A	1.25658974358974	1.1304358974359	-0.126153846153846	13	A	FALSE
stripe_0115	chr1	86645001	86665000	86645001	87140000	lost	low	FALSE	0.0134904295752492	0.819739703158047	1.43133333333334	1.36633333333333	-0.0650000000000002	2	A	1.377	1.29198412698413	-0.0850158730158719	21	A	FALSE
stripe_0116	chr1	87025001	87045000	86625001	87045000	unchanged	low	FALSE	-0.0503100066933599	0.31813324689016	1.447	1.37066666666667	-0.07633333333333	1	A	1.37521568627451	1.28325490196078	-0.0919607843137242	17	A	FALSE
