stripe_id	chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	effect_category	stripe_length_kb	anchor_width_kb	plot_cat	FDR_safe	distance_to_tss	nearest_gene_id	nearest_gene	nearest_coding_dist	nearest_coding_id	nearest_coding_gene	body_genes	body_gene_count	h3k27ac	h3k27me3	h3k4me1	h3k4me3	bivalent	anchor_type
stripe_0011	chr1	13130001	13150000	chr1	13130001	13715000	3prime	control_only	0.084	NA	-5.97090208234637	NA	178196.405572007	NA	585000	20000	13140000.5	0.0736760560567362	6.76283314849504	9.84325726125498	0.00640078968755324	0.0251009244488951	TRUE	TRUE	up_in_mutant	lost	low	FALSE	minimal	585	20	Lost (Low)	0.0251009244488951	2837	383491	Prdm14	2837	383491	Prdm14	Lactb2,Ncoa2,Tram1,Xkr9	4	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0012	chr1	13350001	13385000	chr1	13120001	13385000	5prime	shared	0.032	0.021	2.40041782727876	4.33567134146576	387780.480135877	372071.717076756	265000	35000	13367500.5	0.102793512099755	7.53111734810783	15.9117569307443	0.00106831553121052	0.00655120946801396	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal	265	35	Unchanged	0.00655120946801396	0	17978	Ncoa2	0	17978	Ncoa2	Ncoa2,Prdm14	2	FALSE	FALSE	TRUE	TRUE	FALSE	Other
stripe_0013	chr1	13520001	13540000	chr1	12855001	13540000	5prime	control_only	0.082	NA	0.945634891159613	NA	108951.904052662	NA	685000	20000	13530000.5	0.132247033502288	6.7994853577047	27.0640363268591	8.90269636196796e-05	0.00103996473667299	TRUE	TRUE	up_in_mutant	lost	low	FALSE	minimal	685	20	Lost (Low)	0.00103996473667299	49909	72265	Tram1	49909	72265	Tram1	Ncoa2,Prdm14,Slco5a1	3	FALSE	FALSE	FALSE	FALSE	FALSE	Other
stripe_0014	chr1	13580001	13600000	chr1	13110001	13600000	5prime	shared	0.0605	0.09	2.18532708450627	-1.04366433538448	130333.214207303	99234.2536903065	490000	20000	13590000.5	0.00224664496650804	6.33244548906265	0.00565879389933598	0.940974184138972	0.965410087003305	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	490	20	Unchanged	0.965410087003305	0	72265	Tram1	0	72265	Tram1	Ncoa2,Prdm14,Tram1	3	FALSE	FALSE	TRUE	FALSE	FALSE	Other
stripe_0015	chr1	13780001	13800000	chr1	13780001	14945000	3prime	shared	0.032	0.014	6.61996381936735	16.9203089630926	69757.1354057949	70817.442748512	1165000	20000	13790000.5	0.181722530303609	7.04714823962189	59.7368065905104	9.01404072104404e-07	4.54704911546111e-05	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal	1165	20	Unchanged	4.54704911546111e-05	0	433273	Gm5523	111229	381246	Xkr9	Eya1,Msc,Trpa1	3	FALSE	FALSE	FALSE	FALSE	FALSE	Other
stripe_0016	chr1	14995001	15015000	chr1	14995001	16150000	3prime	shared	0.025	0.028	10.3986361453211	8.91765532096838	73461.4473037024	56009.4643422641	1155000	20000	15005000.5	0.10142468694587	7.15177882384506	23.1149519078453	0.000196602483840517	0.00189184974985438	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal	1155	20	Unchanged	0.00189184974985438	76138	277328	Trpa1	76138	277328	Trpa1	4930444P10Rik,Kcnb2,Rdh10,Rpl7,Sbspon,Terf1	6	FALSE	FALSE	FALSE	FALSE	FALSE	Other
stripe_0017	chr1	15275001	15295000	chr1	15275001	16020000	3prime	shared	0.086	0.032	0.861014575869933	3.28868553178446	102337.782543048	137071.475304937	745000	20000	15285000.5	0.0883020543182901	6.70378578895476	11.9618539054209	0.00326028533387082	0.0150291201975996	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal	745	20	Unchanged	0.0150291201975996	0	98741	Kcnb2	0	98741	Kcnb2	Kcnb2,Sbspon,Terf1	3	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Promoter
stripe_0018	chr1	15605001	15625000	chr1	15025001	15625000	5prime	shared	0.073	0.038	-2.24423166671488	-1.35559363431124	180771.656917282	201103.192313305	600000	20000	15615000.5	0.141321064110373	6.64866007622514	31.7100610680118	3.84393061143065e-05	0.000559952816933899	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal	600	20	Unchanged	0.000559952816933899	180645	21749	Terf1	180645	21749	Terf1	Kcnb2	1	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0019	chr1	16095001	16115000	chr1	16095001	17160000	3prime	shared	0.019	0.024	11.257172622974	7.79449118267635	110046.969285501	86919.2823865724	1065000	20000	16105000.5	-0.0229500823223355	6.66590953251647	0.90961004847728	0.354495237822972	0.506099141808691	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	1065	20	Unchanged	0.506099141808691	0	98711	Rdh10	0	98711	Rdh10	Eloc,Gdap1,Jph1,Ly96,Rdh10,Rpl7,Stau2,Tmem70,Ube2w	9	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Promoter
stripe_0020	chr1	16650001	16670000	chr1	16650001	17170000	3prime	shared	0.072	0.093	1.81875513575805	1.62004051137391	224329.676494817	195187.018947531	520000	20000	16660000.5	-0.0140586431835345	6.46771598806547	0.275772926434405	0.606732034545981	0.729920324243256	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	520	20	Unchanged	0.729920324243256	0	70397	Tmem70	0	70397	Tmem70	Eloc,Gdap1,Jph1,Ly96,Tmem70	5	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Promoter
stripe_0021	chr1	16780001	16815000	chr1	16780001	17145000	3prime	shared	0.038	0.046	8.2005663255679	5.78830329020441	223327.881539276	192540.977954519	365000	35000	16797500.5	-0.0458645983833413	7.68192267927647	5.06483284810667	0.0389314717548867	0.0988822525161421	FALSE	TRUE	unchanged	unchanged	medium	NA	minimal	365	35	Unchanged	0.0988822525161421	91949	17087	Ly96	91949	17087	Ly96	Jph1	1	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0022	chr1	17115001	17135000	chr1	16420001	17135000	5prime	control_only	0.023	NA	1.91149063885499	NA	215724.039454804	NA	715000	20000	17125000.5	-0.0601615395118819	7.19705292797719	8.53663243042968	0.0100312653989592	0.035471197893809	TRUE	TRUE	down_in_mutant	lost	high	TRUE	minimal	715	20	Lost (High)	0.035471197893809	10361	14545	Gdap1	10361	14545	Gdap1	Eloc,Jph1,Ly96,Stau2,Tmem70,Ube2w	6	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0023	chr1	18885001	18905000	chr1	18355001	18905000	5prime	shared	0.081	0.0685	-1.33548664154324	-2.86331857884234	178189.074952717	174426.025727129	550000	20000	18895000.5	-0.0826733295164504	6.71044571699143	12.6186866021927	0.00267645751197407	0.0129365038168924	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal	550	20	Unchanged	0.0129365038168924	198021	226896	Tfap2d	198021	226896	Tfap2d	NA	0	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0024	chr1	21090001	21115000	chr1	20620001	21115000	5prime	control_only	0.077	NA	-2.26874382495566	NA	162716.335911185	NA	495000	25000	21102500.5	0.0427312086710445	6.95735543966796	3.40627357735285	0.0836559286243816	0.17473160949003	FALSE	FALSE	unchanged	lost	low	FALSE	minimal	495	25	Lost (Low)	0.17473160949003	10771	170829	Tram2	10771	170829	Tram2	Efhc1,Il17a,Il17f,Mcm3,Paqr8,Tram2	6	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0025	chr1	21155001	21180000	chr1	20580001	21180000	5prime	shared	0.0625	0.086	-1.30984276707424	-0.333754810043503	127925.084275017	188184.792917559	600000	25000	21167500.5	0.0147342822700564	7.10871502494213	0.401318817969356	0.535417099342399	0.668117595080416	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	600	25	Unchanged	0.668117595080416	38574	75712	Tmem14a	38574	75712	Tmem14a	Efhc1,Il17a,Il17f,Mcm3,Paqr8,Pkhd1,Tram2	7	FALSE	TRUE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0026	chr1	21155001	21180000	chr1	20595001	21180000	5prime	mutant_only	NA	0.068	NA	-1.12404196213002	NA	118000.892705085	585000	25000	21167500.5	0.0147666566102884	7.09901997749056	0.40095492228337	0.535599900872362	0.668117595080416	FALSE	FALSE	unchanged	gained	low	TRUE	minimal	585	25	Gained (Low)	0.668117595080416	38574	75712	Tmem14a	38574	75712	Tmem14a	Efhc1,Il17a,Il17f,Mcm3,Paqr8,Pkhd1,Tram2	7	FALSE	TRUE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0027	chr1	21400001	21420000	chr1	21400001	22490000	3prime	shared	0.0735	0.072	7.59361568520313	4.87639763041325	106144.653856039	97433.1759215543	1090000	20000	21410000.5	0.112351295538439	6.75611042363452	19.550718320069	0.000433816098689215	0.00332742816174631	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal	1090	20	Unchanged	0.00332742816174631	16444	98582	Khdc1b	16444	98582	Khdc1b	Kcnq5	1	FALSE	TRUE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0028	chr1	22245001	22270000	chr1	20725001	22270000	5prime	shared	0.041	0.012	1.67961255510573	17.0913261488437	67801.1886636899	91136.413755388	1545000	25000	22257500.5	0.0580683716164333	7.36821197057053	5.3935185527147	0.0338174911435397	0.0894719049601691	FALSE	TRUE	unchanged	unchanged	medium	NA	minimal	1545	25	Unchanged	0.0894719049601691	283058	226922	Kcnq5	283058	226922	Kcnq5	Efhc1,Gsta3,Il17a,Il17f,Kcnq5,Khdc1a,Khdc1b,Khdc1c,Mcm3,Paqr8,Tmem14a,Tram2	12	FALSE	TRUE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0029	chr1	22495001	22530000	chr1	22495001	22800000	3prime	control_only	0.064	NA	-0.117989662451757	NA	351018.646080551	NA	305000	35000	22512500.5	0.000988805329190555	7.64113865217101	0.00233565911259192	0.962056248036024	0.977524961227083	FALSE	FALSE	unchanged	lost	low	FALSE	minimal	305	35	Lost (Low)	0.977524961227083	275993	116837	Rims1	275993	116837	Rims1	NA	0	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Enhancer
stripe_0030	chr1	22600001	22620000	chr1	22600001	23130000	3prime	shared	0.0105	0.017	2.29819447199293	2.35532527918061	312695.183506989	232513.900072046	530000	20000	22610000.5	-0.0243205742235924	7.29663203552848	1.12429678953343	0.304839032011631	0.452965443533726	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	530	20	Unchanged	0.452965443533726	185993	116837	Rims1	185993	116837	Rims1	Ppp1r14bl,Rims1	2	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0031	chr1	22925001	22945000	chr1	22290001	22945000	5prime	shared	0.031	0.037	-2.55693542668535	-0.795845698900574	257478.212836611	208917.894812555	655000	20000	22935000.5	-0.0289961687397487	7.02497125221336	1.81090366814194	0.197278822632474	0.328619706581687	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	655	20	Unchanged	0.328619706581687	119006	116837	Rims1	119006	116837	Rims1	Rims1	1	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0032	chr1	22980001	23000000	chr1	22290001	23000000	5prime	control_only	0.0335	NA	-8.41903532147163	NA	285883.201698896	NA	710000	20000	22990000.5	-0.0631389205589013	7.19013615199034	9.85747783415365	0.00637052095885102	0.0250171070792173	TRUE	TRUE	down_in_mutant	lost	high	TRUE	minimal	710	20	Lost (High)	0.0250171070792173	102252	66755	Ppp1r14bl	102252	66755	Ppp1r14bl	Rims1	1	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0033	chr1	22980001	23000000	chr1	22310001	23000000	5prime	mutant_only	NA	0.06	NA	-8.62263369096627	NA	217792.678238539	690000	20000	22990000.5	-0.0618829399813684	7.18487500466157	9.39668388822123	0.00743995607115287	0.0281188527276899	TRUE	TRUE	down_in_mutant	gained	low	FALSE	minimal	690	20	Gained (Low)	0.0281188527276899	102252	66755	Ppp1r14bl	102252	66755	Ppp1r14bl	Rims1	1	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0034	chr1	23050001	23070000	chr1	22480001	23070000	5prime	mutant_only	NA	0.0895	NA	-13.5727261936185	NA	155178.294124601	590000	20000	23060000.5	-0.0123841599288258	7.2859965690437	0.234298346687487	0.634955053119179	0.753421393519232	FALSE	FALSE	unchanged	gained	low	FALSE	minimal	590	20	Gained (Low)	0.753421393519232	32252	66755	Ppp1r14bl	32252	66755	Ppp1r14bl	Rims1	1	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0035	chr1	23130001	23150000	chr1	22315001	23150000	5prime	mutant_only	NA	0.032	NA	0.271580191206795	NA	122409.487574056	835000	20000	23140000.5	-0.0456696616963548	7.4325047413032	5.2287814809038	0.0362765360813265	0.0940205159829317	FALSE	TRUE	unchanged	gained	low	FALSE	minimal	835	20	Gained (Low)	0.0940205159829317	27747	66755	Ppp1r14bl	27747	66755	Ppp1r14bl	Ppp1r14bl,Rims1	2	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0036	chr1	23240001	23260000	chr1	22310001	23260000	5prime	shared	0.0295	0.024	-0.49773772068322	1.69236508342628	110950.194550822	94245.9990928812	950000	20000	23250000.5	-0.0600145296736274	6.81637701027535	6.83826353567077	0.0188311879432573	0.0574047503431552	FALSE	TRUE	unchanged	unchanged	medium	NA	minimal	950	20	Unchanged	0.0574047503431552	12268	387225	Mir30a	137540	70155	Ogfrl1	Ppp1r14bl,Rims1	2	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Enhancer
stripe_0037	chr1	23475001	23505000	chr1	23180001	23505000	5prime	control_only	0.086	NA	-0.55572708904724	NA	247120.892633455	NA	325000	30000	23490000.5	-0.0784333219078379	7.43844332093721	15.3607352752269	0.00123645351742298	0.00728529086884472	TRUE	TRUE	down_in_mutant	lost	high	TRUE	minimal	325	30	Lost (High)	0.00728529086884472	69586	105243890	Gm28822	77459	70155	Ogfrl1	Ogfrl1	1	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0038	chr1	23740001	23765000	chr1	23740001	24415000	3prime	mutant_only	NA	0.047	NA	-0.382876453090004	NA	127088.088601532	675000	25000	23752500.5	-0.0233312486338965	7.16105440174425	1.08968159010263	0.31215568471757	0.460364056033056	FALSE	FALSE	unchanged	gained	low	FALSE	minimal	675	25	Gained (Low)	0.460364056033056	0	280645	B3gat2	0	280645	B3gat2	B3gat2,Col9a1,Fam135a,Sdhaf4,Smap1	5	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Promoter
stripe_0039	chr1	23745001	23765000	chr1	23745001	24185000	3prime	control_only	0.049	NA	0.00836552262585414	NA	211543.031191527	NA	440000	20000	23755000.5	-0.0390908615878929	6.6936728801101	2.66736188038967	0.12207043446338	0.230890729389164	FALSE	FALSE	unchanged	lost	low	TRUE	minimal	440	20	Lost (Low)	0.230890729389164	0	280645	B3gat2	0	280645	B3gat2	B3gat2,Col9a1,Fam135a,Sdhaf4,Smap1	5	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Promoter
stripe_0040	chr1	23750001	23765000	chr1	23205001	23765000	5prime	mutant_only	NA	0.072	NA	-0.824125842419024	NA	134475.839329917	560000	15000	23757500.5	-0.0221691117363285	6.16110282455201	0.428574599750307	0.522048576353976	0.659023188944259	FALSE	FALSE	unchanged	gained	low	FALSE	minimal	560	15	Gained (Low)	0.659023188944259	0	280645	B3gat2	0	280645	B3gat2	B3gat2,Ogfrl1	2	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Promoter
stripe_0041	chr1	23815001	23835000	chr1	23815001	24195000	3prime	shared	0.033	0.044	1.57130112504905	0.980251812132416	340322.131094739	277981.566959468	380000	20000	23825000.5	-0.0360371727131386	6.86831982846878	1.81599805932652	0.196682380343775	0.327996793102708	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	380	20	Unchanged	0.327996793102708	53247	280645	B3gat2	53247	280645	B3gat2	Col9a1,Fam135a,Sdhaf4,Smap1	4	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0042	chr1	23995001	24015000	chr1	23275001	24015000	5prime	shared	0.054	0.084	-2.57032691949714	-1.63642833582982	176988.791640733	80423.4549521853	740000	20000	24005000.5	-0.0123686376975063	6.95933583092502	0.274087540454702	0.607824130554131	0.730319954813442	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	740	20	Unchanged	0.730319954813442	0	68002	Sdhaf4	0	68002	Sdhaf4	B3gat2,Ogfrl1,Sdhaf4,Smap1	4	TRUE	FALSE	TRUE	FALSE	FALSE	Other
stripe_0043	chr1	24215001	24235000	chr1	22505001	24235000	5prime	shared	0.094	0.068	-2.00026093945875	0.963676412239831	66595.8470439274	265278.033145348	1730000	20000	24225000.5	-0.0567821058580057	7.1596574488975	6.87028265424023	0.0185988299862244	0.0569082506552345	FALSE	TRUE	unchanged	unchanged	medium	NA	minimal	1730	20	Unchanged	0.0569082506552345	37390	12839	Col9a1	37390	12839	Col9a1	B3gat2,Col9a1,Fam135a,Ogfrl1,Ppp1r14bl,Rims1,Sdhaf4,Smap1	8	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0044	chr1	24350001	24370000	chr1	24350001	25290000	3prime	shared	0.093	0.086	-4.31501098024779	-4.52483312149041	91566.105369567	63382.7287430067	940000	20000	24360000.5	-0.0681803498118994	6.9791687970692	9.1750155446004	0.00802621602165923	0.0299535082048729	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal	940	20	Unchanged	0.0299535082048729	172390	12839	Col9a1	172390	12839	Col9a1	Col19a1,Gm20172,Lmbrd1	3	FALSE	TRUE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0045	chr1	24735001	24755000	chr1	24735001	25625000	3prime	shared	0.0525	0.055	-4.87433272389004	-4.46688584344166	106465.703873666	83161.5553821978	890000	20000	24745000.5	-0.020978757352357	6.99085465241579	0.931227685218461	0.348994777066621	0.500085634089826	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	890	20	Unchanged	0.500085634089826	56370	68421	Lmbrd1	56370	68421	Lmbrd1	Gm20172	1	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0046	chr1	24865001	24885000	chr1	24865001	25825000	3prime	shared	0.0395	0.0315	-1.02094168467696	-1.32884220309626	117561.381599962	107511.348234918	960000	20000	24875000.5	-0.0338462937536292	6.91580985953166	1.68345465376947	0.212978120263732	0.349168533021345	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	960	20	Unchanged	0.349168533021345	186370	68421	Lmbrd1	186370	68421	Lmbrd1	Gm20172	1	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0047	chr1	25075001	25100000	chr1	25075001	25505000	3prime	shared	0.0765	0.0375	-4.31766948713803	-4.94193167655184	220750.141631087	247821.599949745	430000	25000	25087500.5	0.096203601292995	7.17158824072493	15.3620094912113	0.00123603166821151	0.00728529086884472	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal	430	25	Unchanged	0.00728529086884472	177953	100504323	Gm20172	177953	100504323	Gm20172	Gm20172	1	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0048	chr1	25075001	25095000	chr1	24505001	25095000	5prime	control_only	0.0665	NA	0.112629455481296	NA	172611.49649701	NA	590000	20000	25085000.5	-0.103638944686639	6.68559666727729	19.3192582144951	0.000458021203193762	0.00345909250895617	TRUE	TRUE	down_in_mutant	lost	high	TRUE	minimal	590	20	Lost (High)	0.00345909250895617	182953	100504323	Gm20172	182953	100504323	Gm20172	Col19a1,Lmbrd1	2	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0049	chr1	25150001	25175000	chr1	25150001	25835000	3prime	control_only	0.095	NA	-4.42969426363976	NA	173231.562224222	NA	685000	25000	25162500.5	0.0896013713292015	7.21726248862162	17.8413782504738	0.000653846706882698	0.00459000388231654	TRUE	TRUE	up_in_mutant	lost	low	FALSE	minimal	685	25	Lost (Low)	0.00459000388231654	102953	100504323	Gm20172	102953	100504323	Gm20172	Adgrb3,Gm20172	2	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0050	chr1	25150001	25175000	chr1	24475001	25175000	5prime	control_only	0.095	NA	-4.61835074793305	NA	170708.45429721	NA	700000	25000	25162500.5	-0.0182008849829239	7.17980709038384	0.775557047454532	0.391622451427752	0.542011235578736	FALSE	FALSE	unchanged	lost	low	TRUE	minimal	700	25	Lost (Low)	0.542011235578736	102953	100504323	Gm20172	102953	100504323	Gm20172	Col19a1,Lmbrd1	2	TRUE	FALSE	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0051	chr1	25810001	25835000	chr1	24510001	25835000	5prime	shared	0.012	0.009	6.39085301527356	17.0064043184001	137957.430175356	222735.718988897	1325000	25000	25822500.5	-0.01675684874533	7.60507648194173	0.723329216358199	0.407681094526589	0.556560816042353	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	1325	25	Unchanged	0.556560816042353	0	210933	Adgrb3	0	210933	Adgrb3	Adgrb3,Col19a1,Gm20172,Lmbrd1	4	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Promoter
