loop_id	logFC	FDR	direction	anchor1_chr	anchor1_start	anchor1_end	anchor1_annotation	anchor1_all_genes	anchor1_gene_count	anchor2_chr	anchor2_start	anchor2_end	anchor2_annotation	anchor2_all_genes	anchor2_gene_count
loop_564	-0.608304515067549	0.0056090876456255	down	chr19	22450000	22455000	Promoter (1-2kb)	Trpm3	1	chr19	22635000	22640000	Intron (ENSMUST00000237357.1/226025, intron 1 of 24)	Trpm3	1
loop_570	-0.507246378783241	0.0124541925204314	down	chr19	59740000	59745000	Distal Intergenic	Mir3084-2	1	chr19	60140000	60145000	Promoter (<=1kb)	Mir3084-2,E330013P04Rik	2
loop_749	-0.394578570668128	0.0015326090365922	down	chr2	6870000	6880000	Promoter (<=1kb)	Celf2	1	chr2	7080000	7090000	Promoter (<=1kb)	Celf2	1
loop_15040	-0.43863070613811	3.14224082486974e-05	down	chr3	123690000	123700000	Promoter (<=1kb)	Ndst3	1	chr3	123830000	123840000	Distal Intergenic	NA	0
loop_720	-0.483819620901568	0.0230187873892694	down	chr3	86545000	86550000	Promoter (<=1kb)	Mab21l2,Lrba	2	chr3	86755000	86760000	Exon (ENSMUST00000194759.5/80877, exon 53 of 55)	Lrba	1
loop_17841	-0.348629608286288	0.0009143091278898	down	chr3	86325000	86350000	Exon (ENSMUST00000192145.5/80877, exon 19 of 51)	Lrba	1	chr3	86975000	87000000	Promoter (<=1kb)	Cd1d1,Cd1d2	2
loop_727	0.648903030552877	0.0256698622010734	up	chr3	49185000	49190000	Distal Intergenic	NA	0	chr3	49760000	49765000	Distal Intergenic	NA	0
loop_753	-0.407900527865251	0.0160789924202226	down	chr4	33520000	33525000	Distal Intergenic	NA	0	chr4	33735000	33740000	Distal Intergenic	NA	0
loop_15943	0.353299532641351	0.000384580681911	up	chr4	45940000	45950000	Exon (ENSMUST00000178561.7/381522, exon 31 of 38)	Ccdc180	1	chr4	46120000	46130000	Promoter (1-2kb)	Tstd2	1
loop_827	-0.460344990434603	0.012276662330146	down	chr5	67845000	67850000	Promoter (<=1kb)	Atp8a1	1	chr5	68045000	68050000	Intron (ENSMUST00000094715.7/433899, intron 1 of 3)	Grxcr1	1
loop_867	-0.316726841379132	0.0253141522163369	down	chr6	13835000	13840000	Promoter (<=1kb)	Gpr85	1	chr6	13900000	13905000	Intron (ENSMUST00000181090.7/76311, intron 2 of 2)	1110019D14Rik	1
loop_869	-0.31590110989778	0.0266033656551999	down	chr6	51765000	51770000	Distal Intergenic	NA	0	chr6	51845000	51850000	Distal Intergenic	NA	0
loop_882	-0.433706220302438	0.0269721261047592	down	chr6	13830000	13835000	3' UTR	Gpr85	1	chr6	13980000	13985000	Intron (ENSMUST00000181090.7/76311, intron 2 of 2)	1110019D14Rik	1
loop_17266	-0.600053079545689	0.0006548165469775	down	chr6	60550000	60560000	Distal Intergenic	NA	0	chr6	61300000	61310000	Promoter (<=1kb)	Ccser1	1
loop_1107	-0.62207260584874	0.0003614764220882	down	chr6	43660000	43670000	Promoter (<=1kb)	Tpk1	1	chr6	44290000	44300000	Distal Intergenic	NA	0
loop_15541	-0.452097905259116	0.0002589436056028	down	chr6	20500000	20525000	Distal Intergenic	NA	0	chr6	21200000	21225000	Promoter (<=1kb)	Kcnd2	1
loop_936	-0.310295150617931	0.0088678910504422	down	chr7	90055000	90060000	Distal Intergenic	NA	0	chr7	90115000	90120000	Distal Intergenic	NA	0
loop_971	-0.404672533324142	0.0206478738780949	down	chr7	92870000	92875000	Promoter (<=1kb)	Ddias	1	chr7	93090000	93095000	Intron (ENSMUST00000181886.1/ENSMUST00000181886.1, intron 3 of 3)	NA	0
loop_17977	-0.374358903730253	0.0020457195262961	down	chr7	60390000	60400000	Distal Intergenic	NA	0	chr7	60490000	60500000	Distal Intergenic	NA	0
loop_1021	-0.408779181980828	0.017779488281524	down	chr10	81625000	81630000	Promoter (<=1kb)	Sirt6,Ankrd24	2	chr10	82175000	82180000	Exon (ENSMUST00000156803.8/ENSMUST00000156803.8, exon 1 of 6)	NA	0
loop_1054	-0.435500809394855	0.0120494355181984	down	chr8	21990000	21995000	3' UTR	Atp7b	1	chr8	22045000	22050000	Intron (ENSMUST00000006742.10/11979, intron 1 of 20)	Atp7b	1
loop_8008	-0.907281814173301	2.57709819655521e-05	down	chr8	95970000	95980000	Distal Intergenic	NA	0	chr8	100770000	100780000	Distal Intergenic	NA	0
loop_1100	0.316430794939712	0.0119934694950731	up	chr9	120495000	120500000	3' UTR	Eif1b	1	chr9	120565000	120570000	Promoter (1-2kb)	Entpd3	1
loop_1350	-0.693425681985245	1.8502089672842e-05	down	chr9	94530000	94540000	Promoter (<=1kb)	Dipk2a	1	chr9	94700000	94710000	Exon (ENSMUST00000162306.1/ENSMUST00000162306.1, exon 1 of 2)	Slc9a9	1
loop_1127	0.512268586533115	0.0011421711698848	up	chr9	99845000	99850000	Exon (ENSMUST00000216324.1/ENSMUST00000216324.1, exon 2 of 3)	NA	0	chr9	100395000	100400000	Distal Intergenic	NA	0
loop_1133	-0.413238809337614	0.0072145797429907	down	chr9	106900000	106905000	Promoter (<=1kb)	Dock3	1	chr9	107290000	107295000	Promoter (<=1kb)	NA	0
loop_1164	-0.443512061434171	0.0031231608696555	down	chr11	85835000	85840000	Exon (ENSMUST00000000095.6/21385, exon 3 of 7)	Tbx2	1	chr11	85885000	85890000	Promoter (<=1kb)	Tbx4	1
loop_1231	-0.334345538443171	0.0049474664804606	down	chr12	100685000	100690000	Intron (ENSMUST00000222731.1/73086, intron 1 of 16)	Rps6ka5	1	chr12	100720000	100725000	Promoter (<=1kb)	Rps6ka5	1
loop_1262	-0.497796548329216	0.0045136831499299	down	chr15	57690000	57695000	Promoter (<=1kb)	Zhx2	1	chr15	57910000	57915000	Promoter (<=1kb)	Tbc1d31	1
loop_1280	0.445075926971527	0.0167595595999851	up	chr15	73830000	73835000	Promoter (<=1kb)	Mroh5	1	chr15	73995000	74000000	Exon (ENSMUST00000230277.1/ENSMUST00000230277.1, exon 2 of 5)	NA	0
loop_11108	0.528857142465129	0.0005650977096149	up	chr16	72200000	72225000	Distal Intergenic	NA	0	chr16	72975000	73000000	Promoter (<=1kb)	Robo1	1
loop_1327	-0.606689936726529	0.0236370379231726	down	chr16	30600000	30605000	Promoter (<=1kb)	Fam43a	1	chr16	31200000	31205000	Promoter (<=1kb)	Acap2	1
loop_1403	0.336947069739314	0.0195523107666676	up	chr1	91570000	91575000	Distal Intergenic	NA	0	chr1	91750000	91755000	Distal Intergenic	NA	0
loop_13443	-0.451842733240291	2.50458627324543e-05	down	chr19	17240000	17250000	Exon (ENSMUST00000235246.1/ENSMUST00000235246.1, exon 1 of 3)	NA	0	chr19	17350000	17360000	Promoter (<=1kb)	Gcnt1	1
loop_1475	-0.445495426881342	0.0110015182887482	down	chr2	57905000	57910000	Distal Intergenic	NA	0	chr2	57950000	57955000	Distal Intergenic	NA	0
loop_13840	-0.365749360104936	2.41477285657953e-05	down	chr2	73920000	73930000	Distal Intergenic	NA	0	chr2	73990000	74000000	Distal Intergenic	NA	0
loop_14500	-0.441518084243702	0.003276241804923	down	chr2	109540000	109550000	Distal Intergenic	NA	0	chr2	109880000	109890000	Promoter (<=1kb)	NA	0
loop_1541	-0.353380232961542	0.0089336997540338	down	chr3	123970000	123975000	Distal Intergenic	NA	0	chr3	124070000	124075000	Distal Intergenic	NA	0
loop_1566	-0.395993412485924	0.0043505787767933	down	chr4	3675000	3680000	Promoter (<=1kb)	Lyn	1	chr4	3750000	3755000	Promoter (1-2kb)	Lyn	1
loop_1591	-0.956922657768539	0.0009032206145608	down	chr4	82535000	82540000	Intron (ENSMUST00000139835.1/102635783, intron 1 of 1)	Gm11266,Nfib	2	chr4	82700000	82705000	Promoter (<=1kb)	Nfib	1
loop_1610	-0.453235069681451	0.0055054991878025	down	chr5	105985000	105990000	Distal Intergenic	NA	0	chr5	106275000	106280000	Distal Intergenic	NA	0
loop_20087	0.447695485461473	5.75823574649592e-05	up	chr5	118780000	118790000	Distal Intergenic	NA	0	chr5	118870000	118880000	Exon (ENSMUST00000202790.1/ENSMUST00000202790.1, exon 1 of 2)	NA	0
loop_1638	-0.459287738883099	0.0207454171166079	down	chr5	49815000	49820000	Distal Intergenic	NA	0	chr5	49960000	49965000	3' UTR	Adgra3	1
loop_1662	-0.402242657976892	0.0130359506450365	down	chr6	140625000	140630000	Promoter (<=1kb)	Aebp2	1	chr6	140710000	140715000	Distal Intergenic	NA	0
loop_1715	-0.326783252490957	0.0279717310074719	down	chr7	84590000	84595000	Exon (ENSMUST00000032865.16/14085, exon 9 of 14)	Fah	1	chr7	84750000	84755000	Promoter (<=1kb)	2610206C17Rik	1
loop_1720	-0.571639821742711	0.0119934694950731	down	chr7	90280000	90285000	Distal Intergenic	NA	0	chr7	90405000	90410000	3' UTR	Sytl2	1
loop_1844	-0.614637350000508	0.0133038001430177	down	chr8	57795000	57800000	Promoter (<=1kb)	Galntl6	1	chr8	57960000	57965000	Promoter (<=1kb)	Galntl6	1
loop_2207	-0.353707683412625	0.0060858628107524	down	chr8	86030000	86040000	Promoter (<=1kb)	Phkb	1	chr8	86530000	86540000	Promoter (<=1kb)	Abcc12	1
loop_18710	-0.499289638027787	0.000133523178893	down	chr8	98860000	98870000	Distal Intergenic	NA	0	chr8	99410000	99420000	Promoter (<=1kb)	Cdh8,A330008L17Rik	2
loop_7955	-0.676079610913446	0.0001395794781755	down	chr8	57540000	57550000	Promoter (1-2kb)	Galnt7	1	chr8	57960000	57970000	Promoter (<=1kb)	Galntl6	1
loop_7987	-0.511863483899756	0.0008478707314906	down	chr8	27670000	27680000	Distal Intergenic	NA	0	chr8	30920000	30930000	Distal Intergenic	NA	0
loop_1882	0.409196285067122	0.0231948575343385	up	chr8	19705000	19710000	Distal Intergenic	NA	0	chr8	20595000	20600000	Exon (ENSMUST00000212224.1/ENSMUST00000212224.1, exon 1 of 1)	NA	0
loop_1955	-0.412725005993494	0.0061657611348622	down	chr9	91405000	91410000	Intron (ENSMUST00000191272.1/ENSMUST00000191272.1, intron 1 of 2)	NA	0	chr9	91545000	91550000	Intron (ENSMUST00000191272.1/ENSMUST00000191272.1, intron 1 of 2)	NA	0
loop_1965	0.374205075883309	0.0090279570325212	up	chr9	29790000	29795000	Intron (ENSMUST00000075069.10/235106, intron 1 of 7)	Ntm	1	chr9	29960000	29965000	Promoter (<=1kb)	Ntm	1
loop_1986	-0.427661869333732	0.0166122285567147	down	chr9	118290000	118295000	Distal Intergenic	NA	0	chr9	118475000	118480000	Promoter (<=1kb)	Eomes	1
loop_2010	-0.381392022376958	0.0130231788240529	down	chr9	88480000	88485000	Promoter (<=1kb)	Syncrip	1	chr9	88715000	88720000	Promoter (<=1kb)	Mthfsl	1
loop_8889	-0.481854557237322	0.0001306749303275	down	chr9	79030000	79040000	Distal Intergenic	NA	0	chr9	79290000	79300000	Distal Intergenic	NA	0
loop_2084	-0.484434612867771	0.0007967080440606	down	chr11	26385000	26390000	Promoter (<=1kb)	Fancl	1	chr11	26435000	26440000	Intron (ENSMUST00000004120.8/67030, intron 7 of 13)	Fancl	1
loop_2107	-0.362250056899823	0.0208137016283425	down	chr11	93695000	93700000	Exon (ENSMUST00000122414.1/ENSMUST00000122414.1, exon 1 of 1)	NA	0	chr11	93815000	93820000	Distal Intergenic	NA	0
loop_2108	-0.491873905022398	0.004789085760411	down	chr11	93485000	93490000	Intron (ENSMUST00000107861.7/72605, intron 4 of 4)	Car10	1	chr11	93640000	93645000	Distal Intergenic	NA	0
loop_2134	-0.440902541707972	0.0118671348522153	down	chr11	30090000	30095000	Distal Intergenic	NA	0	chr11	30220000	30225000	Promoter (<=1kb)	Sptbn1	1
loop_2207	-0.35344100089504	0.026223895657889	down	chr13	98260000	98265000	Promoter (<=1kb)	Utp15,Ankra2	2	chr13	98315000	98320000	Promoter (<=1kb)	Gm9828,Btf3	2
loop_10324	-0.454853910788424	0.0030749859243435	down	chr13	83520000	83530000	Promoter (<=1kb)	Mef2c	1	chr13	84750000	84760000	Distal Intergenic	NA	0
loop_10216	-0.51177362507795	4.69297804567962e-05	down	chr13	83520000	83530000	Promoter (<=1kb)	Mef2c	1	chr13	83650000	83660000	Promoter (<=1kb)	Mef2c	1
loop_2243	0.603657576505031	0.002407982251765	up	chr13	9680000	9685000	3' UTR	Zmynd11	1	chr13	9845000	9850000	Distal Intergenic	NA	0
loop_2308	-0.479423629127426	0.0034435214634492	down	chr12	31710000	31715000	Promoter (<=1kb)	Cog5,Gpr22	2	chr12	31820000	31825000	Exon (ENSMUST00000036862.4/238123, exon 11 of 23)	Cog5	1
loop_11180	-0.527071564812169	0.0029717674829817	down	chr15	44830000	44840000	Exon (ENSMUST00000227721.1/ENSMUST00000227721.1, exon 2 of 10)	2310069G16Rik	1	chr15	48790000	48800000	Promoter (<=1kb)	Csmd3	1
loop_2432	-0.426407329428652	0.0271576972621035	down	chr16	67610000	67615000	Intron (ENSMUST00000114292.7/239857, intron 1 of 9)	Cadm2	1	chr16	67845000	67850000	Distal Intergenic	NA	0
loop_11631	-0.535767264392674	0.0007343824111495	down	chr16	49270000	49280000	Distal Intergenic	NA	0	chr16	50300000	50310000	Intron (ENSMUST00000138166.7/70508, intron 3 of 16)	Bbx	1
loop_11629	-0.447037141542841	0.0009505000050692	down	chr16	82660000	82670000	Distal Intergenic	NA	0	chr16	83410000	83420000	Distal Intergenic	NA	0
loop_2824	-0.398789845490994	0.0001620660208252	down	chr17	88330000	88340000	Intron (ENSMUST00000234514.1/ENSMUST00000234514.1, intron 1 of 1)	NA	0	chr17	88500000	88510000	Distal Intergenic	NA	0
loop_2833	-0.429871889624772	7.74277804085203e-05	down	chr17	42310000	42320000	Promoter (<=1kb)	Ptchd4	1	chr17	42450000	42460000	Intron (ENSMUST00000048691.5/627626, intron 3 of 3)	Ptchd4	1
loop_2490	-0.688339953467639	0.016230532390915	down	chr17	5440000	5445000	Promoter (<=1kb)	Tmem242	1	chr17	5885000	5890000	Exon (ENSMUST00000002436.10/66616, exon 2 of 18)	Snx9	1
loop_2524	0.382641463407192	0.004597824725245	up	chr1	135750000	135755000	3' UTR	Csrp1	1	chr1	135785000	135790000	Promoter (1-2kb)	Tnni1	1
loop_2573	-0.505405314812313	0.0287498320047992	down	chr1	80965000	80970000	Distal Intergenic	NA	0	chr1	81075000	81080000	Promoter (<=1kb)	Nyap2	1
loop_22500	0.333895372721255	0.0031581680320535	up	chr1	182550000	182560000	Exon (ENSMUST00000192906.1/ENSMUST00000192906.1, exon 3 of 3)	NA	0	chr1	182650000	182660000	Distal Intergenic	NA	0
loop_19480	-0.360856400490715	0.0007204604398812	down	chr1	150780000	150790000	Exon (ENSMUST00000177268.1/ENSMUST00000177268.1, exon 2 of 2)	Hmcn1	1	chr1	151010000	151020000	Distal Intergenic	NA	0
loop_2619	-0.618777302365277	0.0067196575004867	down	chr1	48535000	48540000	Distal Intergenic	NA	0	chr1	49105000	49110000	Distal Intergenic	NA	0
loop_621	-0.426098600223582	0.0019012489101667	down	chr18	31010000	31020000	Intron (ENSMUST00000082070.12/19762, intron 3 of 3)	Rit2	1	chr18	31310000	31320000	Promoter (<=1kb)	Rit2	1
loop_4416	-0.445959354074573	0.0008197874651893	down	chr18	30960000	30970000	Distal Intergenic	NA	0	chr18	31440000	31450000	Promoter (<=1kb)	Syt4	1
loop_12404	-0.302946727000836	0.0016140558077295	down	chr18	57400000	57425000	Promoter (<=1kb)	Gm19500,4930511M06Rik	2	chr18	58475000	58500000	Distal Intergenic	NA	0
loop_13250	-0.303911684470155	0.0097761483798808	down	chr18	77790000	77800000	Promoter (<=1kb)	Pstpip2,F830208F22Rik	2	chr18	78130000	78140000	Intron (ENSMUST00000160639.1/108052, intron 1 of 8)	Slc14a1	1
loop_2742	-0.302543432546916	0.0122609754273034	down	chr2	58135000	58140000	Exon (ENSMUST00000028175.6/227929, exon 7 of 8)	Cytip	1	chr2	58175000	58180000	Exon (ENSMUST00000138444.1/100042926, exon 4 of 4)	Gm13546,Cytip	2
loop_2760	-0.49703932814721	0.0113917233825537	down	chr2	138475000	138480000	Intron (ENSMUST00000155646.7/228662, intron 2 of 3)	Btbd3	1	chr2	138585000	138590000	Exon (ENSMUST00000128656.1/228662, exon 6 of 6)	Btbd3	1
loop_19717	-0.453986813969425	0.0007489451877104	down	chr2	138790000	138800000	Distal Intergenic	NA	0	chr2	139270000	139280000	Exon (ENSMUST00000134801.1/ENSMUST00000134801.1, exon 4 of 6)	NA	0
loop_14358	0.352591526415697	9.41534420221487e-05	up	chr2	165390000	165400000	Promoter (<=1kb)	Ocstamp	1	chr2	165480000	165490000	Distal Intergenic	NA	0
loop_19716	-0.352345497635602	0.0014566921028054	down	chr2	6870000	6880000	Promoter (<=1kb)	Celf2	1	chr2	7000000	7010000	Intron (ENSMUST00000002176.12/14007, intron 2 of 15)	Celf2	1
loop_2797	-0.959745981857733	0.0016863693998006	down	chr2	138585000	138590000	Exon (ENSMUST00000128656.1/228662, exon 6 of 6)	Btbd3	1	chr2	139275000	139280000	Exon (ENSMUST00000134801.1/ENSMUST00000134801.1, exon 4 of 6)	NA	0
loop_3189	-0.715769569998683	0.0004995099625223	down	chr2	139270000	139280000	Exon (ENSMUST00000134801.1/ENSMUST00000134801.1, exon 4 of 6)	NA	0	chr2	139580000	139590000	Exon (ENSMUST00000110083.7/228677, exon 7 of 12)	Sptlc3	1
loop_2816	-0.302499319263223	0.0210532143045522	down	chr2	118260000	118265000	Intron (ENSMUST00000189100.1/71313, intron 1 of 1)	Fsip1	1	chr2	118430000	118435000	Exon (ENSMUST00000005233.11/27103, exon 12 of 39)	Eif2ak4	1
loop_22112	0.398883149355024	0.0032089158864276	up	chr2	73960000	73970000	Exon (ENSMUST00000119237.2/ENSMUST00000119237.2, exon 1 of 1)	NA	0	chr2	74670000	74680000	Promoter (<=1kb)	Hoxd11,Hoxd12,Hoxd13	3
loop_2926	-0.363489173848245	0.0251054111008995	down	chr3	123690000	123695000	Promoter (<=1kb)	Ndst3	1	chr3	124065000	124070000	Distal Intergenic	NA	0
loop_2945	-0.46414556533356	0.0161368932613151	down	chr3	80095000	80100000	Intron (ENSMUST00000194077.1/ENSMUST00000194077.1, intron 1 of 2)	NA	0	chr3	80800000	80805000	Promoter (<=1kb)	Gria2	1
loop_3005	0.3588138934346	0.0122429145067475	up	chr4	144890000	144895000	Promoter (<=1kb)	Dhrs3	1	chr4	145040000	145045000	Exon (ENSMUST00000036579.13/230895, exon 65 of 70)	Vps13d	1
loop_15947	-0.569680714409841	0.0001812379486588	down	chr4	81560000	81570000	Distal Intergenic	NA	0	chr4	82400000	82410000	Intron (ENSMUST00000050872.14/18028, intron 2 of 11)	Nfib	1
loop_3034	-0.468349214128843	0.0239053150981243	down	chr4	33395000	33400000	Intron (ENSMUST00000108153.8/24018, intron 12 of 15)	Rngtt	1	chr4	33520000	33525000	Distal Intergenic	NA	0
loop_3050	-0.637165764659236	0.004789085760411	down	chr4	117705000	117710000	Distal Intergenic	NA	0	chr4	118290000	118295000	Promoter (<=1kb)	Ptprf	1
loop_3162	-0.49179923556903	0.0132915675900754	down	chr5	86165000	86170000	Intron (ENSMUST00000039373.13/231380, intron 2 of 32)	Uba6	1	chr5	86815000	86820000	Promoter (<=1kb)	Ythdc1	1
loop_14988	-0.364018910309957	0.0014518412338507	down	chr5	41875000	41900000	Promoter (<=1kb)	Mir6414	1	chr5	43625000	43650000	Distal Intergenic	NA	0
loop_17280	-0.866346995338293	9.11944669701854e-06	down	chr6	51170000	51180000	Distal Intergenic	NA	0	chr6	52310000	52320000	Promoter (<=1kb)	Evx1,Evx1os	2
loop_3243	-0.593720340707453	0.017416485814602	down	chr6	19580000	19585000	Distal Intergenic	NA	0	chr6	20595000	20600000	Distal Intergenic	NA	0
loop_3244	-0.441273377578629	0.0250220643515027	down	chr6	106800000	106805000	Promoter (<=1kb)	Crbn	1	chr6	107710000	107715000	Distal Intergenic	NA	0
loop_3247	-0.518124344638804	0.0287498320047992	down	chr6	19580000	19585000	Distal Intergenic	NA	0	chr6	20500000	20505000	Distal Intergenic	NA	0
loop_17332	-0.384812844216208	0.0149873355543256	down	chr6	42610000	42620000	Distal Intergenic	NA	0	chr6	43290000	43300000	Distal Intergenic	NA	0
loop_3263	-0.365227924008328	0.0168046007960576	down	chr7	38180000	38185000	Promoter (<=1kb)	1600014C10Rik	1	chr7	38225000	38230000	Promoter (<=1kb)	Plekhf1	1
loop_3768	-0.453466896818812	0.0005410499886787	down	chr7	111040000	111050000	Promoter (<=1kb)	Ctr9	1	chr7	111240000	111250000	Distal Intergenic	NA	0
loop_3357	-0.378789667339191	0.0287498320047992	down	chr10	59620000	59625000	Distal Intergenic	NA	0	chr10	59815000	59820000	Exon (ENSMUST00000104610.2/ENSMUST00000104610.2, exon 1 of 1)	Micu1	1
loop_3398	-0.516277471406927	0.0206478738780949	down	chr10	13085000	13090000	Promoter (<=1kb)	Plagl1	1	chr10	14390000	14395000	Distal Intergenic	NA	0
loop_3456	0.689208253393807	0.0135165551198552	up	chr14	70780000	70785000	Distal Intergenic	NA	0	chr14	70890000	70895000	Promoter (<=1kb)	Gfra2	1
loop_21700	0.356141088902321	0.0087001841420762	up	chr14	24060000	24070000	Exon (ENSMUST00000109467.3/ENSMUST00000109467.3, exon 1 of 1)	NA	0	chr14	24270000	24280000	Distal Intergenic	NA	0
loop_3462	0.343872786343041	0.0127557821097193	up	chr9	63995000	64000000	Intron (ENSMUST00000041029.5/17130, intron 3 of 3)	Smad6	1	chr9	64085000	64090000	Exon (ENSMUST00000176950.1/76814, exon 2 of 3)	Scarletltr	1
loop_183	0.419793779939131	0.0001647257840287	up	chr9	104575000	104600000	Promoter (<=1kb)	Cpne4	1	chr9	105050000	105075000	Promoter (<=1kb)	Mrpl3	1
loop_10314	-0.455944243282767	0.0014296496134987	down	chr13	29850000	29860000	Promoter (<=1kb)	Cdkal1	1	chr13	30250000	30260000	Distal Intergenic	NA	0
loop_18627	0.338132400885666	0.0008959320518175	up	chr13	53450000	53475000	Promoter (<=1kb)	Gm2762,Msx2	2	chr13	53675000	53700000	Exon (ENSMUST00000220534.1/ENSMUST00000220534.1, exon 2 of 5)	NA	0
loop_3590	-0.335760400317859	0.0281175137525158	down	chr12	116480000	116485000	Promoter (<=1kb)	NA	0	chr12	116535000	116540000	Intron (ENSMUST00000185505.6/19276, intron 1 of 3)	Ptprn2	1
loop_21870	0.435920573711936	0.0002667337326173	up	chr12	117590000	117600000	Promoter (<=1kb)	Rapgef5	1	chr12	117760000	117770000	Downstream (<=300bp)	NA	0
loop_3611	0.531906894289216	0.0271576972621035	up	chr12	27345000	27350000	Distal Intergenic	NA	0	chr12	28430000	28435000	Distal Intergenic	NA	0
loop_3634	0.473893658439265	0.018117747923249	up	chr15	61985000	61990000	Promoter (<=1kb)	Myc	1	chr15	62160000	62165000	Exon (ENSMUST00000180432.8/19296, exon 4 of 9)	Pvt1	1
loop_21904	0.610417457156287	0.0002097205010062	up	chr15	61100000	61110000	Distal Intergenic	NA	0	chr15	63740000	63750000	Exon (ENSMUST00000228483.1/ENSMUST00000228483.1, exon 1 of 3)	NA	0
loop_3645	0.445710499556838	0.0058550054749854	up	chr16	91160000	91165000	Distal Intergenic	NA	0	chr16	91310000	91315000	Exon (ENSMUST00000231371.1/ENSMUST00000231371.1, exon 3 of 3)	NA	0
loop_4284	0.436899544178765	0.0007128315915334	up	chr16	86420000	86430000	Distal Intergenic	NA	0	chr16	86880000	86890000	Distal Intergenic	NA	0
