loop_id	direction	anchor1_annotation	anchor2_annotation	anchor1_gene	anchor2_gene
loop_1133	down	Promoter (<=1kb)	Promoter (<=1kb)	Dock3	Mapkapk3
loop_1164	down	Exon (ENSMUST00000000095.6/21385, exon 3 of 7)	Promoter (<=1kb)	Tbx2	Tbx4
loop_1231	down	Intron (ENSMUST00000222731.1/73086, intron 1 of 16)	Promoter (<=1kb)	Rps6ka5	Rps6ka5
loop_1262	down	Promoter (<=1kb)	Promoter (<=1kb)	Zhx2	Tbc1d31
loop_1280	up	Promoter (<=1kb)	Exon (ENSMUST00000230277.1/ENSMUST00000230277.1, exon 2 of 5)	Mroh5	Mroh5
loop_11108	up	Distal Intergenic	Promoter (<=1kb)	8030451O07Rik	Robo1
loop_1327	down	Promoter (<=1kb)	Promoter (<=1kb)	Fam43a	Acap2
loop_13443	down	Exon (ENSMUST00000235246.1/ENSMUST00000235246.1, exon 1 of 3)	Promoter (<=1kb)	Gcnt1	Gcnt1
loop_14500	down	Distal Intergenic	Promoter (<=1kb)	Bdnf	Lin7c
loop_1566	down	Promoter (<=1kb)	Promoter (1-2kb)	Lyn	Lyn
loop_1591	down	Intron (ENSMUST00000139835.1/102635783, intron 1 of 1)	Promoter (<=1kb)	Gm11266	Nfib
loop_1662	down	Promoter (<=1kb)	Distal Intergenic	Aebp2	Aebp2
loop_1715	down	Exon (ENSMUST00000032865.16/14085, exon 9 of 14)	Promoter (<=1kb)	Fah	2610206C17Rik
loop_1844	down	Promoter (<=1kb)	Promoter (<=1kb)	Galntl6	Galntl6
loop_2207	down	Promoter (<=1kb)	Promoter (<=1kb)	Phkb	Abcc12
loop_18710	down	Distal Intergenic	Promoter (<=1kb)	Gm15679	Cdh8
loop_7955	down	Promoter (1-2kb)	Promoter (<=1kb)	Galnt7	Galntl6
loop_1965	up	Intron (ENSMUST00000075069.10/235106, intron 1 of 7)	Promoter (<=1kb)	Ntm	Ntm
loop_1986	down	Distal Intergenic	Promoter (<=1kb)	4933432G23Rik	Eomes
loop_2010	down	Promoter (<=1kb)	Promoter (<=1kb)	Syncrip	Mthfsl
loop_2084	down	Promoter (<=1kb)	Intron (ENSMUST00000004120.8/67030, intron 7 of 13)	Fancl	Fancl
loop_2134	down	Distal Intergenic	Promoter (<=1kb)	Sptbn1	Sptbn1
loop_2207	down	Promoter (<=1kb)	Promoter (<=1kb)	Phkb	Abcc12
loop_10324	down	Promoter (<=1kb)	Distal Intergenic	Mef2c	Ccnh
loop_10216	down	Promoter (<=1kb)	Promoter (<=1kb)	Mef2c	Mef2c
loop_2308	down	Promoter (<=1kb)	Exon (ENSMUST00000036862.4/238123, exon 11 of 23)	Gpr22	Cog5
loop_11180	down	Exon (ENSMUST00000227721.1/ENSMUST00000227721.1, exon 2 of 10)	Promoter (<=1kb)	A930017M01Rik	Csmd3
loop_2833	down	Promoter (<=1kb)	Intron (ENSMUST00000048691.5/627626, intron 3 of 3)	Ptchd4	Ptchd4
loop_2490	down	Promoter (<=1kb)	Exon (ENSMUST00000002436.10/66616, exon 2 of 18)	Tmem242	Snx9
loop_2524	up	3' UTR	Promoter (1-2kb)	Phlda3	Tnni1
loop_2573	down	Distal Intergenic	Promoter (<=1kb)	Nyap2	Nyap2
loop_621	down	Intron (ENSMUST00000082070.12/19762, intron 3 of 3)	Promoter (<=1kb)	Rit2	Rit2
loop_4416	down	Distal Intergenic	Promoter (<=1kb)	Rit2	Syt4
loop_12404	down	Promoter (<=1kb)	Distal Intergenic	Gm19500	Slc27a6
loop_13250	down	Promoter (<=1kb)	Intron (ENSMUST00000160639.1/108052, intron 1 of 8)	Pstpip2	Slc14a1
loop_14358	up	Promoter (<=1kb)	Distal Intergenic	Ocstamp	Trp53rka
loop_19716	down	Promoter (<=1kb)	Intron (ENSMUST00000002176.12/14007, intron 2 of 15)	Celf2	Celf2
loop_22112	up	Exon (ENSMUST00000119237.2/ENSMUST00000119237.2, exon 1 of 1)	Promoter (<=1kb)	Atp5mc3	Hoxd11
loop_2926	down	Promoter (<=1kb)	Distal Intergenic	Ndst3	Tram1l1
loop_2945	down	Intron (ENSMUST00000194077.1/ENSMUST00000194077.1, intron 1 of 2)	Promoter (<=1kb)	Gask1b	Gria2
loop_3005	up	Promoter (<=1kb)	Exon (ENSMUST00000036579.13/230895, exon 65 of 70)	Dhrs3	Vps13d
loop_3050	down	Distal Intergenic	Promoter (<=1kb)	Dmap1	Ptprf
loop_3162	down	Intron (ENSMUST00000039373.13/231380, intron 2 of 32)	Promoter (<=1kb)	Uba6	Ythdc1
loop_14988	down	Promoter (<=1kb)	Distal Intergenic	Mir6414	Cc2d2a
loop_17280	down	Distal Intergenic	Promoter (<=1kb)	Mir148a	Evx1
loop_3244	down	Promoter (<=1kb)	Distal Intergenic	Crbn	Lrrn1
loop_3263	down	Promoter (<=1kb)	Promoter (<=1kb)	1600014C10Rik	Plekhf1
loop_3768	down	Promoter (<=1kb)	Distal Intergenic	Ctr9	Zbed5-ps
loop_3398	down	Promoter (<=1kb)	Distal Intergenic	Plagl1	Adgrg6
loop_3456	up	Distal Intergenic	Promoter (<=1kb)	Dok2	Gfra2
loop_183	up	Promoter (<=1kb)	Promoter (<=1kb)	Cpne4	Mrpl3
loop_10314	down	Promoter (<=1kb)	Distal Intergenic	Cdkal1	Mboat1
loop_18627	up	Promoter (<=1kb)	Exon (ENSMUST00000220534.1/ENSMUST00000220534.1, exon 2 of 5)	Msx2	4930555G21Rik
loop_3590	down	Promoter (<=1kb)	Intron (ENSMUST00000185505.6/19276, intron 1 of 3)	Ptprn2	Ptprn2
loop_21870	up	Promoter (<=1kb)	Downstream (<=300bp)	Rapgef5	Cdca7l
loop_3634	up	Promoter (<=1kb)	Exon (ENSMUST00000180432.8/19296, exon 4 of 9)	Myc	Pvt1
loop_3692	up	Distal Intergenic	Promoter (1-2kb)	Or10h5	Or10h28
loop_21983	up	Promoter (<=1kb)	Promoter (<=1kb)	Alppl2	Prss56
loop_22011	up	Promoter (<=1kb)	Intron (ENSMUST00000043725.8/636808, intron 19 of 23)	Cntnap5a	Cntnap5a
loop_3757	up	Intron (ENSMUST00000168574.8/98496, intron 2 of 2)	Promoter (<=1kb)	Pid1	Pid1
loop_3779	up	Promoter (<=1kb)	Promoter (<=1kb)	Onecut2	Fech
loop_3836	down	Promoter (<=1kb)	Promoter (<=1kb)	1700054M17Rik	Eif2ak4
loop_3839	up	Promoter (<=1kb)	Intron (ENSMUST00000000314.12/12561, intron 2 of 15)	Cdh4	Cdh4
loop_3859	up	Promoter (<=1kb)	Intron (ENSMUST00000112429.8/319876, intron 6 of 13)	Grb14	Cobll1
loop_22237	up	Promoter (<=1kb)	Promoter (<=1kb)	Cracd	Cracd
loop_22214	up	Promoter (<=1kb)	Exon (ENSMUST00000165117.7/12571, exon 6 of 8)	Cdk6	Fam133b
loop_22596	up	Promoter (<=1kb)	5' UTR	Man2b2	Jakmip1
loop_22261	up	Exon (ENSMUST00000123402.1/574519, exon 3 of 6)	Promoter (<=1kb)	Vax2os	Atp6v1b1
loop_4829	up	Promoter (<=1kb)	Intron (ENSMUST00000124096.7/14183, intron 2 of 6)	Hmx2	Bub3
loop_4131	up	3' UTR	Promoter (<=1kb)	Ahi1	Gm33619
loop_4162	up	Promoter (<=1kb)	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	Foxl1	1700018B08Rik
loop_4165	up	Distal Intergenic	Promoter (<=1kb)	Pllp	Cx3cl1
loop_4167	up	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	Promoter (<=1kb)	Zfp469	Zfp469
loop_4191	down	Promoter (<=1kb)	Distal Intergenic	Gm10033	Gm10033
loop_21673	up	Intron (ENSMUST00000152652.7/244310, intron 2 of 14)	Promoter (<=1kb)	Dlgap2	Dlgap2
loop_5042	up	Promoter (<=1kb)	Exon (ENSMUST00000233028.1/73144, exon 4 of 4)	Mir100hg	Mir100hg
loop_4348	up	Promoter (<=1kb)	Distal Intergenic	Sdk2	1700092K14Rik
loop_4423	up	Exon (ENSMUST00000222823.1/ENSMUST00000222823.1, exon 1 of 4)	Promoter (<=1kb)	2610307P16Rik	2610307P16Rik
loop_21843	up	Promoter (<=1kb)	Exon (ENSMUST00000118602.7/80837, exon 2 of 5)	Rhoj	Gphb5
loop_5292	up	Promoter (<=1kb)	Exon (ENSMUST00000067005.10/212073, exon 11 of 17)	Clmn	Syne3
loop_4507	up	Promoter (<=1kb)	Exon (ENSMUST00000093723.1/ENSMUST00000093723.1, exon 1 of 1)	Ncf4	Mir7676-1
loop_4514	up	Promoter (<=1kb)	Promoter (<=1kb)	Myc	Pvt1
loop_4527	up	3' UTR	Promoter (<=1kb)	Parvb	Shisal1
loop_21903	up	Exon (ENSMUST00000226163.1/ENSMUST00000226163.1, exon 1 of 1)	Promoter (<=1kb)	Basp1	Gm5468
loop_19312	up	Promoter (<=1kb)	Distal Intergenic	Dcbld2	Ftdc1
loop_4613	up	Promoter (<=1kb)	Distal Intergenic	Dll1	Psmb1
loop_4647	up	Promoter (<=1kb)	Distal Intergenic	Lamc1	E330020D12Rik
loop_4648	up	Promoter (<=1kb)	Exon (ENSMUST00000169786.7/21961, exon 2 of 35)	Tns1	Tns1
loop_22503	up	Promoter (<=1kb)	Distal Intergenic	Adgrb3	Adgrb3
loop_19558	up	Distal Intergenic	Promoter (<=1kb)	Greb1l	Greb1l
loop_5694	up	Exon (ENSMUST00000074156.6/68870, exon 11 of 13)	Promoter (<=1kb)	Ak8	Ddx31
loop_4810	down	Promoter (1-2kb)	Intron (ENSMUST00000155646.7/228662, intron 2 of 3)	Btbd3	Btbd3
loop_22537	up	Distal Intergenic	Promoter (<=1kb)	Acvr2a	Acvr2a
loop_14446	up	Distal Intergenic	Promoter (1-2kb)	Mybl2	Oser1
loop_4905	up	Promoter (<=1kb)	Intron (ENSMUST00000041124.12/170753, intron 4 of 8)	C030034L19Rik	Zfp704
loop_5820	up	Distal Intergenic	Promoter (<=1kb)	Cd1d1	Kirrel1
loop_4935	up	Intron (ENSMUST00000133895.7/242466, intron 1 of 2)	Promoter (1-2kb)	Zfp462	Zfp462
loop_4947	up	Promoter (1-2kb)	Intron (ENSMUST00000129619.7/329942, intron 3 of 12)	Csmd2	Csmd2os
loop_4989	up	Promoter (<=1kb)	Distal Intergenic	Mettl27	Cldn3
loop_22228	up	Promoter (<=1kb)	Distal Intergenic	Coq2	Helq
loop_6107	up	Promoter (<=1kb)	Promoter (<=1kb)	Fgf4	Fgf15
loop_2086	down	3' UTR	Promoter (<=1kb)	Cadm4	Xrcc1
loop_22316	up	Promoter (<=1kb)	Exon (ENSMUST00000098090.9/12850, exon 6 of 7)	Syt17	Coq7
loop_6149	up	Promoter (1-2kb)	Promoter (<=1kb)	Adam12	D7Ertd443e
loop_5204	up	Promoter (<=1kb)	Promoter (<=1kb)	Lemd3	Wif1
loop_16445	up	Promoter (<=1kb)	3' UTR	Wif1	Tbc1d30
loop_5269	up	Promoter (1-2kb)	Promoter (<=1kb)	Gm30052	Adamts18
loop_5005	up	Promoter (<=1kb)	Distal Intergenic	Ppifos	Zcchc24
loop_16750	up	Promoter (<=1kb)	Intron (ENSMUST00000043349.6/14803, intron 4 of 15)	Grid1	Mir346
loop_18879	up	Promoter (<=1kb)	Promoter (<=1kb)	Ccdc12	Prss50
loop_5350	down	Promoter (<=1kb)	Promoter (1-2kb)	Cox5a	Csk
loop_22404	up	Exon (ENSMUST00000217308.2/270120, exon 14 of 26)	Promoter (1-2kb)	Fat3	Fat3
loop_5435	up	Promoter (<=1kb)	Distal Intergenic	Sdk2	Rpl38
loop_4402	up	Promoter (<=1kb)	Exon (ENSMUST00000036796.7/320027, exon 9 of 16)	Fstl4	Gm11186
loop_6481	up	Promoter (<=1kb)	Exon (ENSMUST00000145127.1/ENSMUST00000145127.1, exon 1 of 3)	Bcl11a	4933427E13Rik
loop_9594	down	Distal Intergenic	Promoter (<=1kb)	Ccng1	Pttg1
loop_5188	up	Promoter (<=1kb)	3' UTR	Dock2	Spdl1
loop_6516	up	Promoter (<=1kb)	Distal Intergenic	Irx2	D730050B12Rik
loop_5502	up	Distal Intergenic	Promoter (<=1kb)	Plekhd1	Ccdc177
loop_22451	up	Distal Intergenic	Promoter (<=1kb)	Gsc	Dicer1
loop_19231	up	Promoter (<=1kb)	Promoter (<=1kb)	Cox6c	Rgs22
loop_5561	up	Promoter (<=1kb)	Exon (ENSMUST00000227678.1/ENSMUST00000227678.1, exon 3 of 4)	Myc	Gm20740
loop_11228	up	Promoter (<=1kb)	Distal Intergenic	Pdzrn4	Gxylt1
loop_5584	up	Intron (ENSMUST00000142270.1/75722, intron 1 of 3)	Promoter (<=1kb)	4932412D23Rik	Zbtb20
loop_11047	up	Promoter (<=1kb)	Promoter (<=1kb)	Dcbld2	Cpox
loop_5591	down	Promoter (<=1kb)	Intron (ENSMUST00000232205.1/19876, intron 2 of 28)	Robo1	Robo1
loop_5622	up	Promoter (1-2kb)	Distal Intergenic	Fam120b	Psmb1
loop_5626	up	Exon (ENSMUST00000233203.1/ENSMUST00000233203.1, exon 1 of 1)	Promoter (<=1kb)	Dact2	Dact2
loop_5643	up	Promoter (<=1kb)	Promoter (<=1kb)	Map2	Map2
loop_5647	down	Distal Intergenic	Promoter (<=1kb)	Cdh7	Cdh7
loop_21011	up	Exon (ENSMUST00000193198.1/ENSMUST00000193198.1, exon 1 of 1)	Promoter (<=1kb)	C730036E19Rik	Ivns1abp
loop_5682	up	Promoter (<=1kb)	3' UTR	Tiprl	Gpr161
loop_5688	up	Promoter (<=1kb)	Promoter (<=1kb)	Tns1	Rufy4
loop_21996	up	Promoter (<=1kb)	Intron (ENSMUST00000027226.11/170771, intron 6 of 8)	Khdrbs2	Semp2l1
loop_5728	up	Promoter (<=1kb)	Intron (ENSMUST00000126977.7/225115, intron 1 of 37)	Svil	Svil
loop_5739	up	Distal Intergenic	Promoter (<=1kb)	Ythdc2	Kcnn2
loop_22515	up	Promoter (<=1kb)	Distal Intergenic	Kcnn2	Trim36
loop_5754	up	Promoter (<=1kb)	Promoter (<=1kb)	Thoc1	Snrpd1
loop_21115	up	Intron (ENSMUST00000207917.1/16500, intron 1 of 1)	Promoter (<=1kb)	Snord12	Kcnb1
loop_6948	up	Distal Intergenic	Promoter (<=1kb)	A530006G24Rik	Foxa2
loop_5819	up	Exon (ENSMUST00000239040.1/ENSMUST00000239040.1, exon 3 of 7)	Promoter (1-2kb)	E130018N17Rik	Adnp
loop_13296	up	Promoter (<=1kb)	Promoter (<=1kb)	Ppp4r1l-ps	Gnas
loop_15862	up	Promoter (<=1kb)	Exon (ENSMUST00000036579.13/230895, exon 66 of 70)	Dhrs3	Vps13d
loop_6012	up	Promoter (<=1kb)	Promoter (<=1kb)	Paxip1	Htr5a
loop_6068	up	Promoter (<=1kb)	Distal Intergenic	Srp72	Spink2
loop_20083	up	Promoter (<=1kb)	Intron (ENSMUST00000032093.11/243548, intron 2 of 8)	Prickle2	Prickle2
loop_6115	down	Promoter (<=1kb)	Distal Intergenic	Mir6370	Kcnd2
loop_20388	up	Promoter (<=1kb)	Distal Intergenic	Lrrtm4	Mir7232
loop_22304	up	Intron (ENSMUST00000105902.7/210274, intron 14 of 22)	Promoter (<=1kb)	Shank2	Shank2
loop_17798	up	3' UTR	Promoter (<=1kb)	Adam12	D7Ertd443e
loop_21576	up	Promoter (<=1kb)	Promoter (<=1kb)	Or52i2	Or51s1
loop_6155	up	Promoter (<=1kb)	Distal Intergenic	Pde2a	Art2a
loop_22323	up	Promoter (1-2kb)	Promoter (<=1kb)	Adam12	Adam12
loop_6186	up	Promoter (<=1kb)	Distal Intergenic	Gpr139	Gp2
loop_6209	up	Exon (ENSMUST00000218673.1/ENSMUST00000218673.1, exon 3 of 3)	Promoter (<=1kb)	Anks1b	Anks1b
loop_6419	down	Promoter (<=1kb)	Promoter (<=1kb)	Lrrc36	Tppp3
loop_7624	up	Promoter (<=1kb)	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	Cox4i1	Irf8
loop_6531	down	Distal Intergenic	Promoter (1-2kb)	Galntl6	Galntl6
loop_6564	down	Promoter (<=1kb)	Distal Intergenic	Adamts18	Adamts18
loop_7879	up	Promoter (<=1kb)	5' UTR	Palld	Palld
loop_7945	down	Promoter (<=1kb)	Exon (ENSMUST00000211321.1/ENSMUST00000211321.1, exon 1 of 3)	Inpp4b	Zfp330
loop_8103	down	Distal Intergenic	Promoter (<=1kb)	Mir6390	Spry2
loop_8266	down	Exon (ENSMUST00000226914.1/ENSMUST00000226914.1, exon 1 of 1)	Promoter (<=1kb)	Oxgr1	Mbnl2
loop_8152	up	Exon (ENSMUST00000224710.1/ENSMUST00000224710.1, exon 1 of 1)	Promoter (<=1kb)	Adam28	Stc1
loop_8246	up	5' UTR	Promoter (<=1kb)	Gata4	Blk
loop_8593	up	Promoter (<=1kb)	Promoter (<=1kb)	Zfp503	Lrmda
loop_7105	down	Promoter (<=1kb)	3' UTR	Tmem158	Lars2
loop_7156	up	Distal Intergenic	Promoter (<=1kb)	Arhgap32	Kcnj5
loop_7194	up	Promoter (<=1kb)	Exon (ENSMUST00000179013.3/235302, exon 3 of 3)	Oaf	D630033O11Rik
loop_7284	down	Promoter (<=1kb)	3' UTR	Car12	Aph1b
loop_8739	up	Intron (ENSMUST00000114865.7/110637, intron 3 of 20)	Promoter (<=1kb)	Grik4	Grik4
loop_7336	down	Promoter (<=1kb)	Promoter (<=1kb)	Dop1a	Pgm3
loop_7374	down	Promoter (<=1kb)	Promoter (<=1kb)	Tmem123	Birc2
loop_7382	down	3' UTR	Promoter (<=1kb)	Tecta	Grik4
loop_7388	up	Exon (ENSMUST00000213446.1/ENSMUST00000213446.1, exon 1 of 27)	Promoter (1-2kb)	Bcl2a1c	Crtap
loop_7406	up	Promoter (1-2kb)	Promoter (1-2kb)	Ctdspl	Vill
loop_7433	up	3' UTR	Promoter (<=1kb)	Trf	Inhca
loop_7457	up	Promoter (<=1kb)	Exon (ENSMUST00000213253.1/ENSMUST00000213253.1, exon 1 of 1)	Skic8	Ireb2
loop_7478	down	Distal Intergenic	Promoter (<=1kb)	Dipk2a	Dipk2a
loop_8865	down	Intron (ENSMUST00000012281.7/12160, intron 1 of 6)	Promoter (<=1kb)	Bmp5	Hmgcll1
loop_7501	down	Promoter (<=1kb)	Promoter (<=1kb)	Gm15511	Anxa2
loop_7502	up	Promoter (<=1kb)	Distal Intergenic	Tle3	Rplp1
loop_9037	up	Promoter (<=1kb)	Distal Intergenic	Mir100hg	Sorl1
loop_7757	down	Exon (ENSMUST00000190769.1/ENSMUST00000190769.1, exon 3 of 3)	Promoter (<=1kb)	Meis1	Meis1
loop_7872	down	Promoter (<=1kb)	Exon (ENSMUST00000109366.7/103583, exon 2 of 13)	Ubtd2	Fbxw11
loop_7929	up	Promoter (<=1kb)	3' UTR	Myom2	Csmd1
loop_9491	up	Promoter (<=1kb)	Promoter (<=1kb)	Zzef1	P2rx1
loop_9643	down	Promoter (<=1kb)	3' UTR	Hoxb9	Copz2
loop_9632	up	Distal Intergenic	Promoter (<=1kb)	Ttc1	Ublcp1
loop_8067	up	Promoter (<=1kb)	Intron (ENSMUST00000036796.7/320027, intron 4 of 15)	Fstl4	Gm11186
loop_9856	down	Promoter (1-2kb)	Distal Intergenic	Mir9-2hg	Ccnh
loop_9955	up	Distal Intergenic	Promoter (<=1kb)	E130119H09Rik	Drd1
loop_9943	down	Promoter (<=1kb)	Distal Intergenic	Gm17750	Ccnh
loop_9978	down	Promoter (1-2kb)	Intron (ENSMUST00000185281.6/320203, intron 3 of 3)	Mir9-2	2810049E08Rik
loop_8366	up	Promoter (<=1kb)	Intron (ENSMUST00000225130.1/102632492, intron 1 of 3)	Mast4	Gm30551
loop_10186	up	Distal Intergenic	Promoter (<=1kb)	Exoc2	Foxf2
loop_8445	up	Promoter (<=1kb)	Intron (ENSMUST00000128120.1/110789, intron 5 of 7)	Zic4	Zic4
loop_8524	down	Intron (ENSMUST00000190626.6/18191, intron 13 of 18)	Promoter (<=1kb)	Nrxn3	Nrxn3
loop_10402	up	3' UTR	Promoter (<=1kb)	Unc79	Fam181a
loop_10537	up	Promoter (<=1kb)	Promoter (<=1kb)	Kcnk13	Psmc1
loop_10531	down	Exon (ENSMUST00000041806.12/19164, exon 4 of 12)	Promoter (<=1kb)	Psen1	Acot3
loop_10451	down	Intron (ENSMUST00000222731.1/73086, intron 3 of 16)	Promoter (<=1kb)	Rps6ka5	Rps6ka5
loop_8665	down	3' UTR	Promoter (<=1kb)	4930549C15Rik	Mir6538
loop_10490	down	Promoter (<=1kb)	Distal Intergenic	Adam17	Ywhaq
loop_8726	down	Promoter (<=1kb)	Distal Intergenic	Fut8	Fut8
loop_10626	up	Exon (ENSMUST00000067005.10/212073, exon 6 of 17)	Promoter (1-2kb)	Syne3	Mir3069
loop_8748	up	Promoter (1-2kb)	Intron (ENSMUST00000142046.7/268534, intron 1 of 16)	Tpo	Sntg2
loop_10927	up	Promoter (1-2kb)	Distal Intergenic	Parvb	Prr5
loop_8890	down	Promoter (<=1kb)	Exon (ENSMUST00000175699.1/ENSMUST00000175699.1, exon 1 of 3)	Zfat	Mir30d
loop_10954	up	3' UTR	Promoter (1-2kb)	Cyth4	Elfn2
loop_8951	down	Distal Intergenic	Promoter (<=1kb)	Oxr1	Oxr1
loop_11031	up	Promoter (<=1kb)	Intron (ENSMUST00000140840.7/211147, intron 2 of 3)	Zfp622	Marchf11
loop_10979	up	Promoter (<=1kb)	Promoter (<=1kb)	Tg	Ccn4
loop_11060	up	Promoter (<=1kb)	Exon (ENSMUST00000057410.13/14114, exon 12 of 17)	Gm19277	Fbln1
loop_20807	up	Promoter (<=1kb)	5' UTR	Ncf4	Csf2rb
loop_11012	up	Promoter (<=1kb)	Distal Intergenic	Krt72	Krt78
loop_11110	up	Promoter (<=1kb)	Distal Intergenic	Krt84	Krt78
loop_11207	down	Promoter (<=1kb)	Distal Intergenic	Khdrbs3	Fam135b
loop_9176	up	Promoter (1-2kb)	Distal Intergenic	Hunk	Mis18a
loop_11397	down	Promoter (<=1kb)	Distal Intergenic	Adamts1	N6amt1
loop_9250	down	Promoter (<=1kb)	Intron (ENSMUST00000231352.1/210126, intron 3 of 6)	Bcl6	Lpp
loop_9305	down	Promoter (<=1kb)	Intron (ENSMUST00000210378.1/ENSMUST00000210378.1, intron 3 of 7)	Mrtfb	Mir193b
loop_11417	down	Intron (ENSMUST00000231580.1/19876, intron 1 of 1)	Promoter (<=1kb)	Robo1	Robo1
loop_11537	up	Promoter (<=1kb)	Distal Intergenic	Adamts1	Gm32461
loop_9554	up	Promoter (<=1kb)	3' UTR	Adgrf1	Adgrf5
loop_9586	up	5' UTR	Promoter (1-2kb)	Cacna1h	Tekt4
loop_9657	up	Exon (ENSMUST00000237283.1/ENSMUST00000237283.1, exon 2 of 2)	Promoter (<=1kb)	Cryaa	Hsf2bp
loop_11875	up	Distal Intergenic	Promoter (<=1kb)	Mep1a	Tdrd6
loop_9713	up	Distal Intergenic	Promoter (<=1kb)	4930542M03Rik	Vegfa
loop_9790	down	3' UTR	Promoter (<=1kb)	Chst10	Nms
loop_9860	up	Promoter (1-2kb)	Promoter (<=1kb)	Plekha6	Kiss1
loop_9863	down	Promoter (<=1kb)	Distal Intergenic	Tmem161b	Ccnh
loop_9908	up	Distal Intergenic	Promoter (<=1kb)	Gpr37l1	Elf3
loop_12304	up	Promoter (1-2kb)	Exon (ENSMUST00000027267.13/227099, exon 3 of 13)	Mstn	Pms1
loop_12473	up	Exon (ENSMUST00000086130.8/89867, exon 15 of 28)	Promoter (<=1kb)	Sec16b	Astn1
loop_10207	up	Promoter (<=1kb)	Distal Intergenic	Ackr3	Cops8
loop_12524	up	Promoter (1-2kb)	Exon (ENSMUST00000148810.7/63913, exon 9 of 14)	Niban1	Niban1
loop_12439	up	Exon (ENSMUST00000044828.13/329252, exon 12 of 18)	Promoter (<=1kb)	Lgr6	Ptprv
loop_12610	up	Promoter (<=1kb)	Promoter (<=1kb)	Sox13	Snrpe
loop_12637	up	Promoter (<=1kb)	Promoter (<=1kb)	Csrp1	Tnni1
loop_12527	up	Promoter (<=1kb)	Promoter (1-2kb)	Rab17	Lrrfip1
loop_10252	up	Intron (ENSMUST00000120904.7/329152, intron 13 of 28)	Promoter (<=1kb)	Hecw2	Ccdc150
loop_12605	up	Promoter (<=1kb)	Distal Intergenic	Gm5523	Msc
loop_12625	up	Distal Intergenic	Promoter (<=1kb)	Cops8	Col6a3
loop_12666	up	Promoter (1-2kb)	Distal Intergenic	Traf3ip1	Twist2
