anchor_id	chr	start	end	ctrl_signal	mut_signal	log2fc	signal_class
chr7:90055000-90060000	chr7	90055000	90060000	1.557597	2.926795	0.777396	quantifiable
chr7:92870000-92875000	chr7	92870000	92875000	1.231396	2.004439	0.571218	quantifiable
chr7:60390000-60400000	chr7	60390000	60400000	0.157697	0.116302	NA	no_signal
chr10:81625000-81630000	chr10	81625000	81630000	0.999572	1.066268	0.069095	quantifiable
chr8:21990000-21995000	chr8	21990000	21995000	1.449985	0.857393	-0.5722	quantifiable
chr8:95970000-95980000	chr8	95970000	95980000	1.339155	0.755848	-0.606697	quantifiable
chr9:120495000-120500000	chr9	120495000	120500000	1.017531	0.654433	-0.441429	quantifiable
chr9:94530000-94540000	chr9	94530000	94540000	2.196187	2.211194	0.008445	quantifiable
chr9:99845000-99850000	chr9	99845000	99850000	2.35635	1.430675	-0.601178	quantifiable
chr9:106900000-106905000	chr9	106900000	106905000	0.680674	0.274705	-0.7134	one_condition
chr11:85835000-85840000	chr11	85835000	85840000	11.55895	7.31957	-0.634163	quantifiable
chr12:100685000-100690000	chr12	100685000	100690000	0.282019	0.394369	0.232669	one_condition
chr15:57690000-57695000	chr15	57690000	57695000	2.872633	3.566123	0.280399	quantifiable
chr15:73830000-73835000	chr15	73830000	73835000	2.76665	2.208077	-0.283934	quantifiable
chr16:72200000-72225000	chr16	72200000	72225000	1.286371	0.736356	-0.586592	quantifiable
chr16:30600000-30605000	chr16	30600000	30605000	4.353188	4.178826	-0.054385	quantifiable
chr1:91570000-91575000	chr1	91570000	91575000	1.004866	0.700915	-0.363464	quantifiable
chr19:17240000-17250000	chr19	17240000	17250000	0.772546	1.55513	0.757896	quantifiable
chr2:57905000-57910000	chr2	57905000	57910000	1.84913	8.034095	1.925918	quantifiable
chr2:73920000-73930000	chr2	73920000	73930000	0.883143	1.409805	0.509614	quantifiable
chr2:109540000-109550000	chr2	109540000	109550000	5.122044	7.293238	0.48136	quantifiable
chr3:123970000-123975000	chr3	123970000	123975000	1.56117	5.78789	1.67813	quantifiable
chr4:3675000-3680000	chr4	3675000	3680000	4.67613	6.328446	0.409359	quantifiable
chr4:82535000-82540000	chr4	82535000	82540000	4.934941	7.527476	0.574953	quantifiable
chr5:105985000-105990000	chr5	105985000	105990000	2.266921	2.954737	0.335527	quantifiable
chr5:118780000-118790000	chr5	118780000	118790000	1.138295	0.606536	-0.632449	quantifiable
chr5:49815000-49820000	chr5	49815000	49820000	3.683213	8.849659	1.187654	quantifiable
chr6:140625000-140630000	chr6	140625000	140630000	1.29796	1.361632	0.054369	quantifiable
chr7:84590000-84595000	chr7	84590000	84595000	1.487123	0.836298	-0.626722	quantifiable
chr7:90280000-90285000	chr7	90280000	90285000	2.333733	1.796788	-0.320729	quantifiable
chr8:57795000-57800000	chr8	57795000	57800000	1.53649	4.472201	1.349369	quantifiable
chr8:86030000-86040000	chr8	86030000	86040000	1.042553	1.532441	0.432205	quantifiable
chr8:98860000-98870000	chr8	98860000	98870000	1.375237	3.741956	1.2412	quantifiable
chr8:57540000-57550000	chr8	57540000	57550000	1.95318	5.080144	1.233784	quantifiable
chr8:27670000-27680000	chr8	27670000	27680000	1.175932	1.886218	0.548397	quantifiable
chr8:19705000-19710000	chr8	19705000	19710000	3.321429	2.048889	-0.611907	quantifiable
chr9:91405000-91410000	chr9	91405000	91410000	2.513543	6.106704	1.170212	quantifiable
chr9:29790000-29795000	chr9	29790000	29795000	8.930376	7.439267	-0.2524	quantifiable
chr9:118290000-118295000	chr9	118290000	118295000	1.446761	1.940324	0.348439	quantifiable
chr9:88480000-88485000	chr9	88480000	88485000	2.081619	2.971045	0.448144	quantifiable
chr9:79030000-79040000	chr9	79030000	79040000	1.674179	3.048641	0.744763	quantifiable
chr11:26385000-26390000	chr11	26385000	26390000	0.819323	1.565282	0.707132	quantifiable
chr11:93695000-93700000	chr11	93695000	93700000	2.012667	3.621785	0.746916	quantifiable
chr11:93485000-93490000	chr11	93485000	93490000	1.219121	1.558308	0.28072	quantifiable
chr11:30090000-30095000	chr11	30090000	30095000	0.797491	0.825315	0.034271	quantifiable
chr13:98260000-98265000	chr13	98260000	98265000	0.895254	1.712618	0.723495	quantifiable
chr13:83520000-83530000	chr13	83520000	83530000	4.100166	4.895111	0.236626	quantifiable
chr13:9680000-9685000	chr13	9680000	9685000	1.768196	1.543107	-0.161278	quantifiable
chr12:31710000-31715000	chr12	31710000	31715000	1.889444	3.446635	0.75896	quantifiable
chr15:44830000-44840000	chr15	44830000	44840000	1.687596	2.048193	0.234025	quantifiable
chr16:67610000-67615000	chr16	67610000	67615000	1.674175	5.050506	1.411339	quantifiable
chr16:49270000-49280000	chr16	49270000	49280000	1.248588	2.025205	0.568332	quantifiable
chr16:82660000-82670000	chr16	82660000	82670000	3.23193	6.051367	0.835881	quantifiable
chr17:88330000-88340000	chr17	88330000	88340000	1.024262	1.684924	0.562945	quantifiable
chr17:42310000-42320000	chr17	42310000	42320000	2.620899	3.584043	0.403933	quantifiable
chr17:5440000-5445000	chr17	5440000	5445000	1.032928	1.222213	0.183828	quantifiable
chr1:135750000-135755000	chr1	135750000	135755000	2.51994	1.933832	-0.328285	quantifiable
chr1:80965000-80970000	chr1	80965000	80970000	1.53764	2.707423	0.692834	quantifiable
chr1:182550000-182560000	chr1	182550000	182560000	1.188331	0.932986	-0.260015	quantifiable
chr1:150780000-150790000	chr1	150780000	150790000	0.894461	0.854379	-0.04685	quantifiable
chr1:48535000-48540000	chr1	48535000	48540000	0.155944	0.462761	0.673305	one_condition
chr18:31010000-31020000	chr18	31010000	31020000	0.967753	4.230442	1.789681	quantifiable
chr18:30960000-30970000	chr18	30960000	30970000	1.316556	2.984926	0.996493	quantifiable
chr18:57400000-57425000	chr18	57400000	57425000	2.38304	2.216905	-0.090138	quantifiable
chr18:77790000-77800000	chr18	77790000	77800000	2.839029	2.472264	-0.175681	quantifiable
chr2:58135000-58140000	chr2	58135000	58140000	2.590006	7.340518	1.384251	quantifiable
chr2:138475000-138480000	chr2	138475000	138480000	2.499819	6.278355	1.214915	quantifiable
chr2:138790000-138800000	chr2	138790000	138800000	1.244012	2.236035	0.694641	quantifiable
chr2:165390000-165400000	chr2	165390000	165400000	0.972297	1.028802	0.059927	quantifiable
chr2:138585000-138590000	chr2	138585000	138590000	7.277944	8.279761	0.177808	quantifiable
chr2:139270000-139280000	chr2	139270000	139280000	1.498638	3.294109	0.975291	quantifiable
chr2:118260000-118265000	chr2	118260000	118265000	1.535583	1.580575	0.033843	quantifiable
chr2:73960000-73970000	chr2	73960000	73970000	1.710774	2.011784	0.195806	quantifiable
chr3:123690000-123695000	chr3	123690000	123695000	2.6211	4.281806	0.638849	quantifiable
chr3:80095000-80100000	chr3	80095000	80100000	3.103876	3.243963	0.057198	quantifiable
chr4:144890000-144895000	chr4	144890000	144895000	5.548819	4.409422	-0.309058	quantifiable
chr4:81560000-81570000	chr4	81560000	81570000	4.084692	7.401981	0.804348	quantifiable
chr4:33395000-33400000	chr4	33395000	33400000	1.45414	1.474677	0.016241	quantifiable
chr4:117705000-117710000	chr4	117705000	117710000	1.074475	0.760674	-0.356169	quantifiable
chr5:86165000-86170000	chr5	86165000	86170000	0.184767	0.188151	NA	no_signal
chr5:41875000-41900000	chr5	41875000	41900000	1.447601	2.019727	0.396729	quantifiable
chr6:51170000-51180000	chr6	51170000	51180000	9.296001	6.195215	-0.558786	quantifiable
chr6:19580000-19585000	chr6	19580000	19585000	1.015593	3.114225	1.336666	quantifiable
chr6:106800000-106805000	chr6	106800000	106805000	1.414247	2.939183	0.894919	quantifiable
chr6:42610000-42620000	chr6	42610000	42620000	0.387311	0.276299	-0.232019	one_condition
chr7:38180000-38185000	chr7	38180000	38185000	1.375822	2.006269	0.447005	quantifiable
chr7:111040000-111050000	chr7	111040000	111050000	0.541546	0.301873	-0.445872	one_condition
chr10:59620000-59625000	chr10	59620000	59625000	2.558938	4.085059	0.606766	quantifiable
chr10:13085000-13090000	chr10	13085000	13090000	2.710133	3.414212	0.297878	quantifiable
chr14:70780000-70785000	chr14	70780000	70785000	2.419912	2.426302	0.003313	quantifiable
chr14:24060000-24070000	chr14	24060000	24070000	1.256749	1.189278	-0.061502	quantifiable
chr9:63995000-64000000	chr9	63995000	64000000	1.141199	1.108885	-0.031395	quantifiable
chr9:104575000-104600000	chr9	104575000	104600000	1.515906	1.177816	-0.286713	quantifiable
chr13:29850000-29860000	chr13	29850000	29860000	0.75744	1.708829	0.888644	quantifiable
chr13:53450000-53475000	chr13	53450000	53475000	2.455528	1.847115	-0.35125	quantifiable
chr12:116480000-116485000	chr12	116480000	116485000	1.942941	3.680236	0.810974	quantifiable
chr12:117590000-117600000	chr12	117590000	117600000	0.664364	0.455278	-0.32938	quantifiable
chr12:27345000-27350000	chr12	27345000	27350000	2.456453	2.845895	0.186851	quantifiable
chr15:61985000-61990000	chr15	61985000	61990000	12.081754	7.345241	-0.691281	quantifiable
chr15:61100000-61110000	chr15	61100000	61110000	1.416637	0.855176	-0.548001	quantifiable
chr16:91160000-91165000	chr16	91160000	91165000	2.487183	1.762127	-0.424032	quantifiable
chr16:86420000-86430000	chr16	86420000	86430000	0.564149	0.801474	0.329773	quantifiable
chr17:33225000-33230000	chr17	33225000	33230000	0	0	NA	no_signal
chr17:84110000-84115000	chr17	84110000	84115000	2.137022	1.913237	-0.135463	quantifiable
chr1:87090000-87100000	chr1	87090000	87100000	1.333744	0.958466	-0.361366	quantifiable
chr1:113970000-113975000	chr1	113970000	113975000	0.74233	2.48915	1.370012	quantifiable
chr1:115680000-115690000	chr1	115680000	115690000	2.172007	5.271704	1.153304	quantifiable
chr1:169670000-169675000	chr1	169670000	169675000	1.215615	0.977765	-0.236097	quantifiable
chr1:84125000-84130000	chr1	84125000	84130000	0.516772	0.424701	-0.160068	quantifiable
chr18:64340000-64345000	chr18	64340000	64345000	16.756544	11.712679	-0.503647	quantifiable
chr18:45910000-45915000	chr18	45910000	45915000	7.791042	10.11089	0.361329	quantifiable
chr19:17850000-17860000	chr19	17850000	17860000	1.4305	1.429493	-0.000811	quantifiable
chr2:102685000-102690000	chr2	102685000	102690000	2.669803	3.930794	0.502027	quantifiable
chr2:118305000-118310000	chr2	118305000	118310000	1.519974	2.6136	0.66151	quantifiable
chr2:179440000-179445000	chr2	179440000	179445000	4.960508	4.643563	-0.088609	quantifiable
chr2:3810000-3820000	chr2	3810000	3820000	2.398561	2.912231	0.246363	quantifiable
chr2:65020000-65025000	chr2	65020000	65025000	5.896263	5.654073	-0.056959	quantifiable
chr2:27550000-27560000	chr2	27550000	27560000	0.929495	0.600963	-0.42427	quantifiable
chrX:103690000-103700000	chrX	103690000	103700000	3.282264	3.389897	0.042016	quantifiable
chrX:50670000-50680000	chrX	50670000	50680000	0.086104	0.106133	NA	no_signal
chr3:127620000-127625000	chr3	127620000	127625000	3.606804	2.303675	-0.574567	quantifiable
chr3:59320000-59330000	chr3	59320000	59330000	1.032579	1.279304	0.235331	quantifiable
chr4:96715000-96720000	chr4	96715000	96720000	2.001321	3.303828	0.633767	quantifiable
chr4:125110000-125120000	chr4	125110000	125120000	1.8701	1.367337	-0.368567	quantifiable
chr4:70800000-70810000	chr4	70800000	70810000	2.935298	5.273858	0.773722	quantifiable
chr5:64505000-64510000	chr5	64505000	64510000	3.555044	4.392565	0.279681	quantifiable
chr5:76650000-76660000	chr5	76650000	76660000	2.87886	2.819315	-0.02677	quantifiable
chr5:3340000-3350000	chr5	3340000	3350000	7.23717	5.871257	-0.285941	quantifiable
chr5:59750000-59760000	chr5	59750000	59760000	0.978709	2.256318	0.966719	quantifiable
chr5:36830000-36840000	chr5	36830000	36840000	1.62855	1.995001	0.244016	quantifiable
chr6:83690000-83700000	chr6	83690000	83700000	2.686468	1.558043	-0.667515	quantifiable
chr6:103220000-103225000	chr6	103220000	103225000	0.938034	2.314629	1.043036	quantifiable
chr6:72280000-72285000	chr6	72280000	72285000	0.348105	0.439233	0.174663	one_condition
chr6:148000000-148010000	chr6	148000000	148010000	0.574384	0.446718	-0.211962	quantifiable
chr7:131540000-131550000	chr7	131540000	131550000	7.883446	4.479454	-0.768409	quantifiable
chr7:124380000-124390000	chr7	124380000	124390000	0.947068	0.920364	-0.029781	quantifiable
chr7:136150000-136160000	chr7	136150000	136160000	0.778597	0.665935	-0.150325	quantifiable
chr10:21080000-21085000	chr10	21080000	21085000	3.347058	5.020623	0.537504	quantifiable
chr8:121125000-121130000	chr8	121125000	121130000	6.368533	4.267001	-0.540219	quantifiable
chr8:94700000-94705000	chr8	94700000	94705000	1.119126	1.243163	0.116179	quantifiable
chr8:122160000-122165000	chr8	122160000	122165000	3.208408	2.714317	-0.215018	quantifiable
chr8:69395000-69400000	chr8	69395000	69400000	2.070102	2.97008	0.454547	quantifiable
chr8:14420000-14430000	chr8	14420000	14430000	3.727713	4.961553	0.380557	quantifiable
chr9:41370000-41380000	chr9	41370000	41380000	2.757412	2.299144	-0.229391	quantifiable
chr9:23020000-23030000	chr9	23020000	23030000	1.281603	1.229445	-0.046584	quantifiable
chr9:122615000-122620000	chr9	122615000	122620000	1.837196	1.393867	-0.325132	quantifiable
chr11:114065000-114070000	chr11	114065000	114070000	7.584737	4.497281	-0.709856	quantifiable
chr11:87210000-87220000	chr11	87210000	87220000	0.407723	0.231663	-0.375836	one_condition
chr11:96145000-96150000	chr11	96145000	96150000	1.122916	0.533999	-0.730121	quantifiable
chr13:28415000-28420000	chr13	28415000	28420000	4.529357	8.633842	0.879299	quantifiable
chr12:105490000-105500000	chr12	105490000	105500000	1.791754	1.233817	-0.433037	quantifiable
chr12:75300000-75310000	chr12	75300000	75310000	5.215674	5.26704	0.01323	quantifiable
chr12:104770000-104780000	chr12	104770000	104780000	3.099078	2.884187	-0.092531	quantifiable
chr15:78255000-78260000	chr15	78255000	78260000	1.363606	1.029221	-0.311164	quantifiable
chr15:84260000-84265000	chr15	84260000	84265000	2.65779	2.250792	-0.209008	quantifiable
chr15:38695000-38700000	chr15	38695000	38700000	1.131236	0.659251	-0.549019	quantifiable
chr15:24720000-24730000	chr15	24720000	24730000	0.970977	1.1539	0.18579	quantifiable
chr16:58450000-58460000	chr16	58450000	58460000	0.934523	0.551549	-0.50605	quantifiable
chr17:15375000-15380000	chr17	15375000	15380000	8.331354	6.179107	-0.41049	quantifiable
chr1:153330000-153335000	chr1	153330000	153335000	3.712587	3.891029	0.061867	quantifiable
chr1:73995000-74000000	chr1	73995000	74000000	4.211092	2.942168	-0.469131	quantifiable
chr1:25830000-25840000	chr1	25830000	25840000	1.681814	3.017861	0.726271	quantifiable
chr18:34660000-34665000	chr18	34660000	34665000	1.029544	0.886881	-0.156293	quantifiable
chr18:10290000-10300000	chr18	10290000	10300000	0.807007	0.504722	-0.432524	quantifiable
chr18:80800000-80825000	chr18	80800000	80825000	1.035522	0.674762	-0.431522	quantifiable
chr19:42660000-42670000	chr19	42660000	42670000	1.417795	1.837276	0.305635	quantifiable
chr2:166005000-166010000	chr2	166005000	166010000	0.37435	0.252204	-0.262473	one_condition
chr2:28750000-28760000	chr2	28750000	28760000	2.329178	1.952014	-0.218019	quantifiable
chr2:138280000-138285000	chr2	138280000	138285000	4.008266	3.884899	-0.041331	quantifiable
chr2:48000000-48010000	chr2	48000000	48010000	2.546172	2.322128	-0.115744	quantifiable
chr2:5085000-5090000	chr2	5085000	5090000	0.824402	0.705182	-0.153066	quantifiable
chr2:163100000-163110000	chr2	163100000	163110000	2.262909	2.089855	-0.098473	quantifiable
chrX:168410000-168420000	chrX	168410000	168420000	0.267986	0.207689	NA	no_signal
chr3:9400000-9405000	chr3	9400000	9405000	3.163267	3.158667	-0.001885	quantifiable
chr3:87030000-87040000	chr3	87030000	87040000	1.599204	1.268722	-0.266534	quantifiable
chr3:70105000-70110000	chr3	70105000	70110000	2.627765	4.02701	0.554178	quantifiable
chr3:10060000-10065000	chr3	10060000	10065000	1.914967	1.687144	-0.152236	quantifiable
chr4:54950000-54955000	chr4	54950000	54955000	3.309161	3.814302	0.186087	quantifiable
chr4:127990000-127995000	chr4	127990000	127995000	2.543307	1.500381	-0.642112	quantifiable
chr5:134930000-134935000	chr5	134930000	134935000	0.936891	0.638922	-0.376627	quantifiable
chr5:136840000-136845000	chr5	136840000	136845000	0.51086	0.298875	-0.40246	one_condition
chr5:73535000-73540000	chr5	73535000	73540000	0.565325	0.316347	-0.452223	one_condition
chr5:68055000-68060000	chr5	68055000	68060000	2.511919	4.102329	0.63579	quantifiable
chr5:100670000-100680000	chr5	100670000	100680000	0.698718	1.039661	0.402773	quantifiable
chr6:114220000-114230000	chr6	114220000	114230000	1.272414	0.928701	-0.341099	quantifiable
chr6:120220000-120230000	chr6	120220000	120230000	0.908734	0.44847	-0.650152	quantifiable
chr7:144840000-144850000	chr7	144840000	144850000	1.639813	1.007874	-0.547944	quantifiable
chr7:83200000-83205000	chr7	83200000	83205000	6.900732	6.753397	-0.029577	quantifiable
chr7:24470000-24480000	chr7	24470000	24480000	1.255512	1.172477	-0.076129	quantifiable
chr7:118440000-118450000	chr7	118440000	118450000	2.134694	1.960356	-0.104518	quantifiable
chr7:133950000-133960000	chr7	133950000	133960000	0.941477	0.814468	-0.148148	quantifiable
chr7:91225000-91250000	chr7	91225000	91250000	0.979701	0.756711	-0.262664	quantifiable
chr10:120975000-120980000	chr10	120975000	120980000	2.470253	2.562763	0.046403	quantifiable
chr10:121025000-121050000	chr10	121025000	121050000	4.391766	4.006761	-0.121901	quantifiable
chr8:113670000-113675000	chr8	113670000	113675000	2.865598	3.049165	0.079853	quantifiable
chr8:28140000-28150000	chr8	28140000	28150000	0.745149	0.860268	0.142962	quantifiable
chr14:75895000-75900000	chr14	75895000	75900000	1.944461	1.602109	-0.232029	quantifiable
chr14:25700000-25710000	chr14	25700000	25710000	1.410401	1.039401	-0.339276	quantifiable
chr14:23580000-23590000	chr14	23580000	23590000	1.296202	1.496256	0.164521	quantifiable
chr14:34800000-34825000	chr14	34800000	34825000	2.750335	2.801636	0.023602	quantifiable
chr14:39530000-39540000	chr14	39530000	39540000	0.905052	0.789191	-0.138584	quantifiable
chr9:110710000-110720000	chr9	110710000	110720000	1.08592	0.623318	-0.556279	quantifiable
chr9:57520000-57525000	chr9	57520000	57525000	0.612602	0.460835	-0.24477	quantifiable
chr9:42550000-42560000	chr9	42550000	42560000	1.362152	1.203713	-0.13924	quantifiable
chr9:15970000-15980000	chr9	15970000	15980000	2.493566	3.289628	0.354988	quantifiable
chr9:73160000-73165000	chr9	73160000	73165000	1.380149	2.003177	0.441527	quantifiable
chr9:54185000-54190000	chr9	54185000	54190000	0.507538	0.363977	-0.260997	quantifiable
chr9:41730000-41740000	chr9	41730000	41740000	2.558682	1.865577	-0.391144	quantifiable
chr9:122420000-122430000	chr9	122420000	122430000	1.235289	0.881747	-0.361458	quantifiable
chr11:51325000-51330000	chr11	51325000	51330000	1.162584	0.885838	-0.289415	quantifiable
chr11:52750000-52775000	chr11	52750000	52775000	1.928606	1.423201	-0.360008	quantifiable
chr11:24080000-24090000	chr11	24080000	24090000	5.186152	4.682196	-0.137436	quantifiable
chr11:40925000-40950000	chr11	40925000	40950000	0.958402	0.745458	-0.254155	quantifiable
chr11:34230000-34240000	chr11	34230000	34240000	1.317216	0.715238	-0.641434	quantifiable
chr13:72630000-72640000	chr13	72630000	72640000	7.803898	8.483297	0.115327	quantifiable
chr12:80725000-80730000	chr12	80725000	80730000	1.566087	1.240142	-0.267479	quantifiable
chr12:104440000-104450000	chr12	104440000	104450000	4.407547	2.603773	-0.68582	quantifiable
chr12:109440000-109445000	chr12	109440000	109445000	3.549498	2.792438	-0.310519	quantifiable
chr15:78620000-78630000	chr15	78620000	78630000	3.086545	2.403324	-0.318751	quantifiable
chr15:84215000-84220000	chr15	84215000	84220000	1.469489	0.83041	-0.620001	quantifiable
chr15:35930000-35940000	chr15	35930000	35940000	0.806444	1.030602	0.253601	quantifiable
chr15:92590000-92600000	chr15	92590000	92600000	4.240412	4.144085	-0.030529	quantifiable
chr16:37370000-37375000	chr16	37370000	37375000	0.406832	0.324579	-0.163703	one_condition
chr16:42790000-42795000	chr16	42790000	42795000	5.87203	9.048842	0.594319	quantifiable
chr16:58450000-58475000	chr16	58450000	58475000	0.893106	0.496387	-0.549198	quantifiable
chr16:72660000-72665000	chr16	72660000	72665000	5.474483	5.254471	-0.055455	quantifiable
chr16:43525000-43550000	chr16	43525000	43550000	1.772349	2.247594	0.290281	quantifiable
chr17:15390000-15395000	chr17	15390000	15395000	0.297963	0.461326	0.319969	one_condition
chr17:14125000-14130000	chr17	14125000	14130000	0.856079	0.628505	-0.298929	quantifiable
chr1:66320000-66325000	chr1	66320000	66325000	1.858517	2.163668	0.18593	quantifiable
chr1:109945000-109950000	chr1	109945000	109950000	1.368551	4.640978	1.532671	quantifiable
chr1:151080000-151090000	chr1	151080000	151090000	2.013662	2.343518	0.187727	quantifiable
chr1:165775000-165780000	chr1	165775000	165780000	3.940637	4.640108	0.217411	quantifiable
chr1:165235000-165240000	chr1	165235000	165240000	1.869026	3.131237	0.647335	quantifiable
chr1:73985000-73990000	chr1	73985000	73990000	2.920583	2.435726	-0.230733	quantifiable
chr1:114330000-114340000	chr1	114330000	114340000	1.946967	2.993803	0.539809	quantifiable
chr1:32170000-32180000	chr1	32170000	32180000	4.554795	6.249211	0.42735	quantifiable
chr1:101120000-101125000	chr1	101120000	101125000	1.279794	3.14453	1.095727	quantifiable
chr18:4920000-4925000	chr18	4920000	4925000	9.717571	7.771865	-0.309491	quantifiable
chr18:45010000-45015000	chr18	45010000	45015000	2.736162	4.544657	0.663679	quantifiable
chr18:45550000-45560000	chr18	45550000	45560000	2.42337	3.093314	0.311153	quantifiable
chr18:9955000-9960000	chr18	9955000	9960000	1.222481	2.174698	0.679641	quantifiable
chr19:31340000-31350000	chr19	31340000	31350000	0.866822	0.579038	-0.385687	quantifiable
chr2:167110000-167120000	chr2	167110000	167120000	1.281437	0.683623	-0.653381	quantifiable
chr2:147840000-147850000	chr2	147840000	147850000	1.056228	1.113081	0.056785	quantifiable
chr2:168125000-168130000	chr2	168125000	168130000	1.224227	0.934798	-0.291061	quantifiable
chr2:178755000-178760000	chr2	178755000	178760000	0.879997	0.612802	-0.350132	quantifiable
chr2:173575000-173600000	chr2	173575000	173600000	2.55492	1.522523	-0.630801	quantifiable
chrX:6260000-6265000	chrX	6260000	6265000	0.47578	0.342725	-0.250177	one_condition
chr3:121550000-121555000	chr3	121550000	121555000	1.209703	1.135668	-0.069703	quantifiable
chr3:141885000-141890000	chr3	141885000	141890000	1.671321	1.302685	-0.28891	quantifiable
chr4:144890000-144900000	chr4	144890000	144900000	3.726204	2.879068	-0.335187	quantifiable
chr4:135705000-135710000	chr4	135705000	135710000	1.285813	0.871326	-0.418601	quantifiable
chr4:107420000-107425000	chr4	107420000	107425000	1.964707	1.683267	-0.186175	quantifiable
chr5:139945000-139950000	chr5	139945000	139950000	7.603648	6.15121	-0.290506	quantifiable
chr5:113095000-113100000	chr5	113095000	113100000	1.390722	0.946516	-0.422237	quantifiable
chr5:27790000-27795000	chr5	27790000	27795000	1.531819	2.229512	0.452916	quantifiable
chr5:76995000-77000000	chr5	76995000	77000000	0.962785	0.498764	-0.623271	quantifiable
chr5:50475000-50480000	chr5	50475000	50480000	1.400578	1.430704	0.024478	quantifiable
chr6:120670000-120675000	chr6	120670000	120675000	0.709858	0.575015	-0.194366	quantifiable
chr6:92475000-92500000	chr6	92475000	92500000	1.819339	1.799861	-0.012952	quantifiable
chr6:19550000-19555000	chr6	19550000	19555000	0.984159	2.6644	1.169972	quantifiable
chr6:111370000-111380000	chr6	111370000	111380000	2.704939	4.208303	0.575807	quantifiable
chr6:80000000-80025000	chr6	80000000	80025000	1.084489	1.739473	0.539481	quantifiable
chr6:5410000-5415000	chr6	5410000	5415000	2.097061	1.514281	-0.390605	quantifiable
chr7:144270000-144280000	chr7	144270000	144280000	5.642741	3.982932	-0.466956	quantifiable
chr7:134260000-134270000	chr7	134260000	134270000	2.117263	2.190782	0.042193	quantifiable
chr7:121840000-121845000	chr7	121840000	121845000	0.626675	0.948442	0.407219	quantifiable
chr7:102660000-102670000	chr7	102660000	102670000	0.609993	0.470657	-0.223732	quantifiable
chr7:101410000-101415000	chr7	101410000	101415000	2.157269	1.764082	-0.245025	quantifiable
