gene_id	direction	symbol
102466989	lost	Mir6940
217882	lost	Cep170b
13411	lost	Dnah11
207615	lost	Wdr37
319554	lost	Idi1
217980	lost	Larp4b
19720	lost	Trim27
258527	lost	Or2ad1
26946	lost	Trpc7
235907	lost	Zfp65
68271	lost	Zfp85os
320203	lost	Mir9-2hg
723967	lost	Mir9-2
553095	lost	Gm17750
218639	lost	Arl15
246103	lost	Atxn7
66413	lost	Psmd6
16531	lost	Kcnma1
100038654	lost	Gm10371
74480	lost	Samd4
105501	lost	Abhd4
13135	lost	Dad1
21821	lost	Ift88
239114	lost	Il17d
50769	lost	Atp8a2
110902	lost	Chrna2
19229	lost	Ptk2b
108811	lost	Ccdc122
210808	lost	Lacc1
239188	lost	Enox1
219181	lost	Akap11
380921	lost	Dgkh
211253	lost	Mtrf1
66897	lost	Naa16
380934	lost	AA536875
116838	lost	Rims2
75766	lost	Dcstamp
22762	lost	Zfpm2
239463	lost	Fam83a
75758	lost	9130401M01Rik
107831	lost	Adgrb1
104445	lost	Cdc42ep1
106039	lost	Gga1
107753	lost	Lgals2
100316695	lost	Mir1943
223693	lost	Tmem184b
105785	lost	Kdelr3
67040	lost	Ddx17
100504637	lost	Gm20324
21411	lost	Tcf20
320709	lost	Tmem117
16668	lost	Krt18
210126	lost	Lpp
13383	lost	Dlg1
30060	lost	Meltf
106389	lost	Eaf2
224139	lost	Golgb1
320299	lost	Iqcb1
68306	lost	4930565N06Rik
77782	lost	Polq
67657	lost	Rabl3
74197	lost	Gtf2e1
15233	lost	Hgd
68194	lost	Ndufb4
268890	lost	Lsamp
100503040	lost	Gm19522
56490	lost	Zbtb20
75722	lost	4932412D23Rik
21787	lost	Tfg
239853	lost	Adgrg7
320712	lost	Abi3bp
13837	lost	Epha3
13508	lost	Dscam
50873	lost	Prkn
240058	lost	Cpne5
442827	lost	Rab44
224694	lost	Zfp81
22643	lost	Zfp101
69481	lost	Actl9
77596	lost	Adgrf1
224840	lost	Treml4
328833	lost	Treml2
58218	lost	Trem3
106821	lost	Oard1
11811	lost	Apobec2
18044	lost	Nfya
69083	lost	Sult1c2
240174	lost	Thada
19043	lost	Ppm1b
68531	lost	1110020A21Rik
73825	lost	Ppp1r21
13506	lost	Dsc2
19762	lost	Rit2
11789	lost	Apc
633395	lost	Gm10548
107065	lost	Lrrtm2
12385	lost	Ctnna1
71302	lost	Arhgap26
14815	lost	Nr3c1
107003	lost	A330093E20Rik
140492	lost	Kcnn2
414127	lost	G630055G22Rik
20496	lost	Slc12a2
170947	lost	Myoz3
66810	lost	Rbm22
67665	lost	Dctn4
14151	lost	Fech
70223	lost	Nars1
19434	lost	Rax
225644	lost	Cplx4
102465187	lost	Mir145b
207259	lost	Zbtb7c
27411	lost	Slc14a2
12660	lost	Chka
109575	lost	Tbx10
17995	lost	Ndufv1
60425	lost	Doc2g
66387	lost	Nudt8
71670	lost	Acy3
269060	lost	Dagla
28000	lost	Prpf19
68539	lost	Tmem109
98170	lost	Tmem132a
226025	lost	Trpm3
67483	lost	Cfap95
102465114	lost	Mir3084-2
20510	lost	Slc1a1
226139	lost	Cox15
66388	lost	Cutc
170750	lost	Xpnpep1
78457	lost	1700054A03Rik
100526480	lost	Mir3086
73442	lost	Hspa12a
107376	lost	E330013P04Rik
22325	lost	Vav2
68975	lost	Med27
102466844	lost	Mir7674
227720	lost	Nup214
241303	lost	Fam78a
227721	lost	Plpp7
319817	lost	Rc3h2
227929	lost	Cytip
228019	lost	Mettl8
75763	lost	Dcaf17
55935	lost	Fnbp4
59015	lost	Nup160
75786	lost	Ckap5
241556	lost	Tspan18
241568	lost	Lrrc4c
241589	lost	D430041D05Rik
12064	lost	Bdnf
12653	lost	Chgb
66634	lost	Mcm8
66926	lost	Trmt6
228662	lost	Btbd3
72899	lost	Macrod2
13436	lost	Dnmt3b
98932	lost	Myl9
19281	lost	Ptprt
76652	lost	Actrt3
80732	lost	Mynn
24063	lost	Spry1
75947	lost	4930594O21Rik
433586	lost	Maml3
26422	lost	Nbea
16497	lost	Kcnab1
67437	lost	Ssr3
99470	lost	Magi3
109676	lost	Ank2
22253	lost	Unc5c
116940	lost	Tgs1
24018	lost	Rngtt
381522	lost	Ccdc180
74152	lost	Stra6l
20529	lost	Slc31a1
66440	lost	Cdc26
70052	lost	Prpf4
76072	lost	Rnf183
50780	lost	Rgs3
56079	lost	Astn2
17475	lost	Mpdz
18028	lost	Nfib
77739	lost	Adamtsl1
75811	lost	Saxo1
230396	lost	Ifna13
381590	lost	Pramel32
230514	lost	Leprot
72685	lost	Dnajc6
329942	lost	Csmd2
74989	lost	Csmd2os
67025	lost	Rpl11
230959	lost	Ajap1
230971	lost	Megf6
230972	lost	Arhgef16
70673	lost	Prdm16
12293	lost	Cacna2d1
433899	lost	Grxcr1
212986	lost	Scfd2
52822	lost	Rufy3
65961	lost	Utp3
791294	lost	Gm9958
81702	lost	Ankrd17
21814	lost	Tgfbr3
384214	lost	Ephx4
231570	lost	NA
76421	lost	1700028K03Rik
333050	lost	Ksr2
319974	lost	Auts2
57255	lost	Cldn13
76629	lost	Tmem270
79565	lost	Mettl27
140709	lost	Col26a1
17120	lost	Mad1l1
330222	lost	Sdk1
231861	lost	Tnrc18
65255	lost	Asb4
100036521	lost	Umad1
170772	lost	Glcci1
320312	lost	A430035B10Rik
15893	lost	Ica1
12389	lost	Cav1
55961	lost	Slc13a1
56463	lost	Snd1
20336	lost	Exoc4
14548	lost	Mrps33
243372	lost	Zfp775
243373	lost	AI854703
243374	lost	Gimap8
58887	lost	Repin1
625167	lost	Gm6559
71982	lost	Snx10
100042056	lost	9130019P16Rik
22644	lost	Rnf103
102634268	lost	Kbtbd8os
243574	lost	Kbtbd8
56353	lost	Rybp
72171	lost	Shq1
53870	lost	Cntn6
102638038	lost	Gm15631
269784	lost	Cntn4
68971	lost	Tamm41
330409	lost	Cecr2
71803	lost	Slc25a18
14792	lost	Lpcat3
74071	lost	Lmntd1
545902	lost	Ptprh
68255	lost	Tmem86b
100885832	lost	Mir5620
12727	lost	Clcn4
76229	lost	Vmn2r29
70080	lost	Igsf23
71601	lost	Ceacam20
545936	lost	Gm5893
20210	lost	Saa3
20211	lost	Saa4
78935	lost	Saal1
108167326	lost	Gm2788
108961	lost	E2f8
78286	lost	Nav2
170711	lost	Otud7a
23859	lost	Dlg2
68472	lost	Tmem126b
75845	lost	4930567K12Rik
76954	lost	Dennd2b
20947	lost	Swap70
11535	lost	Adm
319934	lost	Sbf2
13690	lost	Eif4g2
75479	lost	Zbed5-ps
233733	lost	Galnt18
628779	lost	Hs3st4
100043597	lost	Srcap
105180375	lost	Tmem265
233899	lost	Cfap119
233900	lost	Rnf40
68961	lost	Phkg2
100043133	lost	Zfp696
21804	lost	Tgfb1i1
233912	lost	Armc5
381924	lost	Itgad
11489	lost	Adam12
52432	lost	Ppp2r2d
69546	lost	Mapk1ip1
212111	lost	Inpp5a
68038	lost	Chid1
102636989	lost	Acte1
210274	lost	Shank2
244310	lost	Dlgap2
319582	lost	Trmt9b
102466237	lost	Mir7666
78506	lost	Micu3
80857	lost	Fgf20
100502619	lost	AW046200
108150	lost	Galnt7
270049	lost	Galntl6
21892	lost	Tll1
77113	lost	Klhl2
234353	lost	Psd3
622675	lost	Zfp827
16477	lost	Junb
170833	lost	Hook2
21672	lost	Prdx2
234542	lost	Rtbdn
69724	lost	Rnaseh2a
244562	lost	Abcc12
26992	lost	Brd7
257632	lost	Nod2
74256	lost	Cyld
80707	lost	Wwox
67866	lost	Wfdc1
69047	lost	Atp2c2
100316819	lost	Mir1967
102162	lost	Taf5l
108148	lost	Galnt2
382038	lost	Urb2
67618	lost	Aasdhppt
69149	lost	Kbtbd3
23988	lost	Pin1
244723	lost	Olfm2
66177	lost	Ubl5
100503652	lost	Gm16845
15571	lost	Elavl3
26940	lost	Ecsit
319601	lost	Zfp653
319845	lost	Bbs9
55934	lost	Rp9
68283	lost	Matcap2
330908	lost	Opcml
235106	lost	Ntm
235283	lost	Gramd1b
73558	lost	1700110K17Rik
110637	lost	Grik4
140630	lost	Ube4a
270160	lost	Rab39
75717	lost	Cul5
23938	lost	Map2k5
69478	lost	2300009A05Rik
76459	lost	Car12
208117	lost	Aph1b
235469	lost	Zfp280d
108153	lost	Adamts7
67016	lost	Tbc1d2b
22771	lost	Zic1
22774	lost	Zic4
102465763	lost	Mir7656
331004	lost	Slc9a9
64085	lost	Clstn2
66737	lost	4921534H16Rik
102791	lost	Tcta
11848	lost	Rhoa
434437	lost	Amt
66257	lost	Nicn1
333433	lost	Gpd1l
13813	lost	Eomes
69032	lost	Lyzl4
75384	lost	Lyzl4os
22354	lost	Vipr1
29806	lost	Limd1
83493	lost	Sacm1l
497097	gained	Xkr4
56363	gained	Tmeff2
442821	gained	9330175M20Rik
77341	gained	9530026F06Rik
72823	gained	Pard3b
12969	gained	Crygf
22596	gained	Xrcc5
271711	gained	Tmem169
21961	gained	Tns1
102465181	gained	Mir6353
98496	gained	Pid1
227325	gained	Dner
347722	gained	Agap1
102634194	gained	Gm29461
14633	gained	Gli2
269109	gained	Dpp10
210356	gained	Nckap5
210417	gained	Thsd7b
240753	gained	Plekha6
215690	gained	Nav1
16763	gained	Lad1
18772	gained	Pkp1
21956	gained	Tnnt2
226438	gained	Igfn1
19735	gained	Rgs2
226519	gained	Lamc1
12290	gained	Cacna1e
433367	gained	Gm5532
21960	gained	Tnr
103967	gained	Dnm3
67292	gained	Pigc
72753	gained	2810442N19Rik
54418	gained	Fmn2
319455	gained	Pld5
78772	gained	Hhipl2
21808	gained	Tgfb2
67223	gained	Rrp15
320119	gained	Rps6kc1
22353	gained	Vip
19272	gained	Ptprk
210757	gained	Themis
100041085	gained	Mfsd4b3-ps
215928	gained	Mfsd4b5
11793	gained	Atg5
14806	gained	Grik2
14609	gained	Gja1
237353	gained	Sh3rf3
100302688	gained	Gm17455
22295	gained	Cdh23
68802	gained	Mypn
216033	gained	Ctnna3
216028	gained	Lrrtm3
11735	gained	Ank3
11994	gained	Pcdh15
103149	gained	Upb1
68778	gained	Gucd1
237422	gained	Ric8b
278279	gained	Tmtc2
327812	gained	Gm15663
20979	gained	Syt1
19263	gained	Ptprb
71316	gained	4933430M04Rik
102466154	gained	Mir6372
70626	gained	5730522E02Rik
216618	gained	Cfap36
18148	gained	Npm1
70357	gained	Kcnip1
23964	gained	Tenm2
30939	gained	Pttg1
11548	gained	Adra1b
24052	gained	Sgcd
320027	gained	Fstl4
15525	gained	Hspa4
14778	gained	Gpx3
57783	gained	Tnip1
14799	gained	Gria1
67726	gained	Fam114a2
11670	gained	Aldh3a1
11671	gained	Aldh3a2
104709	gained	Pik3r6
108167906	gained	Ccdc42os
215723	gained	Mfsd6l
276920	gained	Ccdc42
216856	gained	Nlgn2
69186	gained	Tmem256
70310	gained	Plscr3
74288	gained	Spem1
83813	gained	Tnk1
109212	gained	Pimreg
114230	gained	Aipl1
192159	gained	Prpf8
215113	gained	Slc43a2
280408	gained	Rilp
380713	gained	Scarf1
11418	gained	Asic2
237891	gained	Gas2l2
276952	gained	Rasl10b
66330	gained	1700020L24Rik
71770	gained	Ap2b1
114714	gained	Rad51c
83560	gained	Tex14
193280	gained	C030037D09Rik
76626	gained	Msi2
104079	gained	Nxph3
94179	gained	Krt23
237979	gained	Sdk2
319819	gained	4932435O22Rik
26941	gained	Nherf1
58222	gained	Rab37
66176	gained	Nat9
14149	gained	Fdxr
14813	gained	Grin2c
328035	gained	Fads6
208439	gained	Klhl29
23967	gained	Osr1
69420	gained	1700022H16Rik
77442	gained	9530020I12Rik
102465204	gained	Mir6387
217410	gained	Trib2
14245	gained	Lpin1
211914	gained	Asap2
20666	gained	Sox11
17933	gained	Myt1l
238123	gained	Cog5
73389	gained	Hbp1
74076	gained	4933406C10Rik
238161	gained	Akap6
20471	gained	Six1
20493	gained	Slc10a1
100526532	gained	Mir3067
64075	gained	Smoc1
110893	gained	Slc8a3
78767	gained	Efcab11
100038378	gained	Gm10433
12313	gained	Calm1
217827	gained	Nrde2
73086	gained	Rps6ka5
192119	gained	Dicer1
94040	gained	Clmn
22367	gained	Vrk1
212198	gained	Wdr25
22375	gained	Wars1
13386	gained	Dlk1
380787	gained	Lbhd2
74190	gained	Exoc3l4
382639	gained	Zbtb42
102466989	gained	Mir6940
104759	gained	Pld4
217882	gained	Cep170b
217887	gained	Clba1
56696	gained	Gpr132
71963	gained	Cdca4
13411	gained	Dnah11
217980	gained	Larp4b
12671	gained	Chrm3
20191	gained	Ryr2
664793	gained	Zp4-ps
94253	gained	Hecw1
192136	gained	Sugct
214158	gained	Trim38
102466635	gained	Mir6368
72518	gained	2610307P16Rik
100503727	gained	1700011B04Rik
75197	gained	4930529N20Rik
20238	gained	Atxn1
18676	gained	Phf2
328258	gained	Slc25a48
100038538	gained	Ramacl
66410	gained	Mterf3
67530	gained	Uqcrb
235907	gained	Zfp65
68271	gained	Zfp85os
16372	gained	Irx2
328287	gained	Gm20554
105364	gained	AW495222
74129	gained	Dmgdh
625662	gained	Ankrd31
328314	gained	Gm5086
102632492	gained	Gm30551
218763	gained	Lrrc3b
77981	gained	B230110C06Rik
76633	gained	Lrmda
238988	gained	Erc2
12294	gained	Cacna2d3
192187	gained	Stab1
21924	gained	Tnnc1
64652	gained	Nisch
239027	gained	Arhgap22
14803	gained	Grid1
74480	gained	Samd4
50934	gained	Slc7a8
219135	gained	Mtmr6
71844	gained	Nup58
268752	gained	Wdfy2
16554	gained	Kif13b
11549	gained	Adra1a
12934	gained	Dpysl2
14586	gained	Gfra2
380916	gained	Lrch1
108811	gained	Ccdc122
210808	gained	Lacc1
239188	gained	Enox1
108670	gained	Epsti1
219189	gained	Vwa8
102633266	gained	Gm9748
18530	gained	Pcdh8
100038734	gained	Gm10845
219228	gained	Pcdh17
319903	gained	9630013A20Rik
24064	gained	Spry2
23888	gained	Gpc6
380934	gained	AA536875
12563	gained	Cdh6
223435	gained	Trio
18163	gained	Ctnnd2
223453	gained	Dap
20356	gained	Sema5a
16539	gained	Kcns2
56274	gained	Stk3
252973	gained	Grhl2
118452	gained	Baalc
116838	gained	Rims2
69659	gained	2310069G16Rik
211401	gained	Mtss1
100416830	gained	Zfp572
432958	gained	Gm20740
11514	gained	Adcy8
54562	gained	Dnaaf11
13992	gained	Khdrbs3
100041273	gained	Ndufb4c
268816	gained	Mroh5
21411	gained	Tcf20
76279	gained	Cyp2d26
74039	gained	Nfam1
77627	gained	Efcab6
29859	gained	Sult4a1
100502602	gained	Gm19277
140557	gained	Smc1b
67747	gained	Ribc2
223754	gained	Tbc1d22a
328579	gained	B230214G05Rik
74127	gained	Krt80
114566	gained	Krt82
16680	gained	Krt84
105866	gained	Krt72
406222	gained	Krt74
56735	gained	Krt71
15423	gained	Hoxc4
15424	gained	Hoxc5
15425	gained	Hoxc6
751557	gained	Mir615
210126	gained	Lpp
268880	gained	Xxylt1
16419	gained	Itgb5
17063	gained	Muc13
545156	gained	Kalrn
67657	gained	Rabl3
74197	gained	Gtf2e1
15233	gained	Hgd
68194	gained	Ndufb4
100503040	gained	Gm19522
56490	gained	Zbtb20
102633941	gained	Gm31641
13876	gained	Erg
16415	gained	Itgb2l
18546	gained	Pcp4
72058	gained	Igsf5
13508	gained	Dscam
17857	gained	Mx1
56175	gained	Bace2
69310	gained	Pacrg
50873	gained	Prkn
19170	gained	Psmb1
71840	gained	Tekt4
66978	gained	Luc7l
13417	gained	Dnah8
224671	gained	Btbd9
18131	gained	Notch3
14961	gained	H2-Ab1
15002	gained	H2-Ob
268970	gained	Arhgap28
320159	gained	Togaram2
72515	gained	Wdr43
11682	gained	Alk
18189	gained	Nrxn1
240186	gained	Zfp438
71302	gained	Arhgap26
332309	gained	Grxcr2
140492	gained	Kcnn2
75084	gained	4930511M06Rik
75444	gained	Ccdc192
20496	gained	Slc12a2
18596	gained	Pdgfrb
667742	gained	Piezo2
16891	gained	Lipg
71545	gained	9030625G05Rik
207259	gained	Zbtb7c
105246501	gained	A330094K24Rik
27411	gained	Slc14a2
14427	gained	Galr1
102465597	gained	Mir6988
18120	gained	Mrpl49
29805	gained	Znhit2
68505	gained	Vps51
73166	gained	Tm7sf2
74126	gained	Syvn1
81909	gained	Zfpl1
102466213	gained	Mir6990
107173	gained	Gpr137
12015	gained	Bad
16528	gained	Kcnk4
18797	gained	Plcb3
26379	gained	Esrra
54683	gained	Prdx5
67077	gained	Catsperz
67674	gained	Trmt112
28000	gained	Prpf19
65221	gained	Slc15a3
68539	gained	Tmem109
98170	gained	Tmem132a
14537	gained	Gcnt1
226025	gained	Trpm3
102465114	gained	Mir3084-2
67155	gained	Smarca2
226090	gained	Ermp1
18034	gained	Nfkb2
67116	gained	Cuedc2
68431	gained	Fbxl15
73728	gained	Psd
75146	gained	Mfsd13a
751550	gained	Mir146b
18011	gained	Neurl1a
13006	gained	Smc3
226250	gained	Afap1l2
240675	gained	Vwa2
226252	gained	Fhip2a
320879	gained	B230217O12Rik
209630	gained	Frmd4a
73489	gained	1700080N15Rik
109079	gained	Sephs1
74186	gained	Ccdc3
19215	gained	Ptgds
30839	gained	Fbxw5
69379	gained	C8g
77701	gained	Lcn12
100504116	gained	Brd3os
102466836	gained	Mir7578
22325	gained	Vav2
67382	gained	Brd3
30934	gained	Tor1b
381359	gained	Prdm12
71684	gained	Rbm43
14571	gained	Gpd2
227929	gained	Cytip
269275	gained	Acvr1c
320106	gained	Slc38a11
20274	gained	Scn9a
53416	gained	Stk39
329421	gained	Myo3b
228026	gained	Pdk1
65964	gained	Map3k20
100217458	gained	Snord67
75786	gained	Ckap5
99382	gained	Abtb2
215653	gained	Rassf2
12653	gained	Chgb
66926	gained	Trmt6
100526500	gained	Mir3090
12156	gained	Bmp2
241656	gained	Pak5
228662	gained	Btbd3
72899	gained	Macrod2
408057	gained	BC039771
19281	gained	Ptprt
269389	gained	Tox2
59091	gained	Jph2
319684	gained	5031425F14Rik
277360	gained	Prex1
16500	gained	Kcnb1
19223	gained	Ptgis
105980075	gained	Gm20716
11538	gained	Adnp
13480	gained	Dpm1
22722	gained	Zfp64
70065	gained	Ankrd60
100036520	gained	Gata5os
14464	gained	Gata5
170753	gained	Zfp704
94212	gained	Pag1
100041480	gained	Myef2l
76897	gained	Ralyl
56456	gained	Actl6a
66046	gained	Ndufb5
74600	gained	Mrpl47
26570	gained	Slc7a11
433586	gained	Maml3
13175	gained	Dclk1
16497	gained	Kcnab1
71004	gained	4931440P22Rik
99929	gained	Tiparp
66183	gained	Sptssb
11444	gained	Chrnb2
56417	gained	Adar
70093	gained	Ube2q1
74034	gained	4632404H12Rik
213603	gained	Slc44a3
22253	gained	Unc5c
20447	gained	St6galnac3
320840	gained	Negr1
242274	gained	Lrrc7
65973	gained	Asph
269513	gained	Nkain3
68512	gained	Tomm5
230125	gained	Slc25a51
230126	gained	Shb
16600	gained	Klf4
242481	gained	NA
677884	gained	Pakap
56079	gained	Astn2
21885	gained	Tle1
12695	gained	Patj
230500	gained	Efcab7
67733	gained	Itgb3bp
622167	gained	Gm12718
13131	gained	Dab1
108079	gained	Prkaa2
67916	gained	Plpp3
230587	gained	Glis1
72787	gained	Ndc1
140477	gained	Dmbx1
17346	gained	Mknk1
654462	gained	Kncn
76237	gained	Tmem275
14807	gained	Grik3
329942	gained	Csmd2
19746	gained	Rhd
27981	gained	Rsrp1
68592	gained	Syf2
71817	gained	Tmem50a
18600	gained	Padi2
100126227	gained	Gm13031
67680	gained	Sdhb
100072	gained	Camta1
16498	gained	Kcnab2
230959	gained	Ajap1
230971	gained	Megf6
70673	gained	Prdm16
18647	gained	Cdk14
12293	gained	Cacna2d1
14677	gained	Gnai1
100042049	gained	Gm15421
105247048	gained	Gm9057
26429	gained	Orc5
320719	gained	6030443J06Rik
13483	gained	Dpp6
20423	gained	Shh
654796	gained	9530036O11Rik
81840	gained	Sorcs2
17701	gained	Msx1
27278	gained	Clnk
433882	gained	Gm16223
12182	gained	Bst1
70693	gained	Adgra3
57915	gained	Tbc1d1
16599	gained	Klf3
77569	gained	Limch1
433899	gained	Grxcr1
13839	gained	Epha5
18125	gained	Nos1
76792	gained	Spring1
16873	gained	Lhx5
257635	gained	Sdsl
140904	gained	Caln1
381673	gained	A330070K13Rik
22384	gained	Eif4h
56743	gained	Lat2
13047	gained	Cux1
243312	gained	Elfn1
330222	gained	Sdk1
18261	gained	Ocm
13395	gained	Dlx5
13396	gained	Dlx6
13397	gained	Dlx6os2
320038	gained	Dlx6os1
100036521	gained	Umad1
170772	gained	Glcci1
56463	gained	Snd1
100503869	gained	Mkln1os
27418	gained	Mkln1
20336	gained	Exoc4
319472	gained	9330158H04Rik
320127	gained	Dgki
319981	gained	C530044C16Rik
15399	gained	Hoxa2
15400	gained	Hoxa3
15401	gained	Hoxa4
15402	gained	Hoxa5
15403	gained	Hoxa6
15404	gained	Hoxa7
72628	gained	Hoxaas3
77580	gained	5730596B20Rik
15398	gained	Hoxa13
791364	gained	Hottip
58875	gained	Hibadh
231986	gained	Jazf1
231991	gained	Creb5
330323	gained	Mindy4
104263	gained	Kdm3a
384452	gained	Noto
21802	gained	Tgfa
17216	gained	Mcm2
24100	gained	Tpra1
232236	gained	Ccdc174
232237	gained	Fgd5
243548	gained	Prickle2
232288	gained	Frmd4b
320502	gained	Lmod3
108655	gained	Foxp1
56353	gained	Rybp
72171	gained	Shq1
269784	gained	Cntn4
108073	gained	Grm7
68971	gained	Tamm41
214932	gained	Hdhd5
73505	gained	1700072O05Rik
24110	gained	Usp18
232441	gained	Rerg
109135	gained	Plekha5
545902	gained	Ptprh
68255	gained	Tmem86b
100885832	gained	Mir5620
12727	gained	Clcn4
76229	gained	Vmn2r29
16890	gained	Lipe
232983	gained	Cxcl17
654804	gained	4732471J01Rik
74206	gained	Sipa1l3
20210	gained	Saa3
20211	gained	Saa4
78935	gained	Saal1
78286	gained	Nav2
338352	gained	Nell1
70638	gained	Entrep2
100038347	gained	Fam174b
76453	gained	Prss23
23859	gained	Dlg2
23966	gained	Tenm4
60510	gained	Syt9
320360	gained	Ric3
319934	gained	Sbf2
11717	gained	Ampd3
67150	gained	Rnf141
68815	gained	Btbd10
233781	gained	Xylt1
73076	gained	3100003L05Rik
75861	gained	4930571K23Rik
67711	gained	Nsmce1
77035	gained	Kdm8
233865	gained	Katnip
269994	gained	Gsg1l
74204	gained	Xpo6
100043597	gained	Srcap
105180375	gained	Tmem265
233899	gained	Cfap119
233900	gained	Rnf40
68961	gained	Phkg2
11489	gained	Adam12
330662	gained	Dock1
13593	gained	Ebf3
102636989	gained	Acte1
12443	gained	Ccnd1
72284	gained	LTO1
140482	gained	Zfp358
50767	gained	Pnpla6
76406	gained	Saxo5
94178	gained	Mcoln1
270028	gained	Nalf1
24099	gained	Tnfsf13b
78634	gained	Spaca7
234086	gained	Erich1
244310	gained	Dlgap2
94109	gained	Csmd1
100526464	gained	Mir3106
102032	gained	Smim19
20516	gained	Slc20a2
244418	gained	Prag1
73301	gained	Ttc29
30932	gained	Zfp330
244562	gained	Abcc12
93960	gained	Nkd1
257632	gained	Nod2
71607	gained	Snx20
80707	gained	Wwox
67866	gained	Wfdc1
69047	gained	Atp2c2
72042	gained	Cotl1
100316819	gained	Mir1967
102162	gained	Taf5l
108148	gained	Galnt2
382038	gained	Urb2
78100	gained	Msantd4
66396	gained	Ccdc82
77532	gained	Jrkl
270120	gained	Fat3
100503652	gained	Gm16845
15571	gained	Elavl3
26940	gained	Ecsit
319601	gained	Zfp653
244745	gained	Dpy19l1
67484	gained	Eepd1
330908	gained	Opcml
330914	gained	Arhgap32
235283	gained	Gramd1b
73558	gained	1700110K17Rik
73144	gained	Mir100hg
110637	gained	Grik4
235300	gained	Tlcd5
69632	gained	Arhgef12
140630	gained	Ube4a
27425	gained	Atp5mg
114873	gained	Dscaml1
15450	gained	Lipc
235469	gained	Zfp280d
17999	gained	Nedd4
20255	gained	Scg3
67958	gained	U2surp
64085	gained	Clstn2
74020	gained	Cpne4
208583	gained	Nek11
235574	gained	Atp2c1
66595	gained	Aste1
69232	gained	Qrich1
71472	gained	Usp19
97541	gained	Qars1
17433	gained	Mobp
245049	gained	Myrip
209012	gained	Ulk4
29806	gained	Limd1
83493	gained	Sacm1l
