gene	chr	start	end	mc_diff_pct	mc_direction	mc_ctrl_mean	mc_mut_mean	num_contexts	mean_coverage
Ncald	chr15	37366174	37792569	8.72	Hypermethylated	0.612671133418017	0.699884254605694	3516	19.8950867463026
Dlg1	chr16	31663442	31875128	8.68	Hypermethylated	0.572708885547579	0.659519159945178	1338	22.6326606875934
Cdh8	chr8	99024470	99416470	8.52	Hypermethylated	0.633639475430346	0.718810572151761	1822	24.6610181119649
Lpp	chr16	24393506	24992577	8.51	Hypermethylated	0.654555698359258	0.739688215912983	4506	21.8544440745672
Tmeff2	chr1	50900646	51187269	8.5	Hypermethylated	0.640378491826691	0.7254126058217	1582	24.5595764854614
Nrip1	chr16	76287399	76373826	8.49	Hypermethylated	0.509324236379029	0.59423700656875	1159	21.5391501294219
Arhgap26	chr18	38676717	39110533	8.46	Hypermethylated	0.632502946312368	0.717146036628845	4074	19.6097201767305
Ptchd4	chr17	42315946	42505076	8.45	Hypermethylated	0.687361043553803	0.771836361900959	961	23.6467221644121
Lrrtm3	chr10	63928471	64090276	8.37	Hypermethylated	0.352630485126402	0.436286417184588	1232	22.1114042207792
Ppm1l	chr3	69316860	69560801	8.1	Hypermethylated	0.569937700593607	0.65095924701421	2579	20.6531116711904
Aig1	chr10	13647053	13868979	8.09	Hypermethylated	0.525704007027182	0.606585987668104	1876	21.4589552238806
Sptb	chr12	76580487	76710546	8.05	Hypermethylated	0.452349094632222	0.53288929138706	1585	17.0757097791798
Myt1l	chr12	29528383	29923212	8	Hypermethylated	0.617488525144413	0.697479925127299	2939	20.6270840421912
Maml3	chr3	51685906	52105075	7.97	Hypermethylated	0.592762990210212	0.672452139382638	5317	19.6378832048147
Gramd1b	chr9	40293232	40531382	7.85	Hypermethylated	0.436896688594335	0.515428238077552	2323	19.1141304347826
Fam107b	chr2	3570487	3782141	7.84	Hypermethylated	0.631092628819651	0.709456266767524	1619	20.1952594193947
Zbtb20	chr16	42875880	43642601	7.75	Hypermethylated	0.660374804468341	0.737893647758754	4781	23.2629157080109
Peak1	chr9	56201125	56418066	7.71	Hypermethylated	0.563004082346738	0.640065918945542	1563	22.3161388355726
Cdyl2	chr8	116574399	116732990	7.67	Hypermethylated	0.658452084191442	0.735180452163827	1693	19.1661252215003
Rims2	chr15	39198260	39684371	7.67	Hypermethylated	0.591951350105404	0.668648098382076	2563	22.4564962934062
Nfia	chr4	97772733	98118873	7.66	Hypermethylated	0.457978593038488	0.534627216234368	2910	21.9802835051546
Svep1	chr4	58042441	58206858	7.5	Hypermethylated	0.705093523360558	0.780080842440474	1550	21.6108064516129
Rit2	chr18	30973488	31317289	7.41	Hypermethylated	0.734209507242041	0.808296077581016	1587	24.1795053560176
Trhde	chr10	114398820	114802306	7.26	Hypermethylated	0.662997007894628	0.735629457436484	2248	24.1194395017794
Plcl2	chr17	50509402	50688483	7.25	Hypermethylated	0.576274861447263	0.648802114135765	1507	21.0151791639018
Mllt3	chr4	87769924	88033363	7.23	Hypermethylated	0.569346970859172	0.641674106123721	1976	22.6231022267206
Cog5	chr12	31654868	31937629	7.08	Hypermethylated	0.658304478574485	0.729072570572343	1884	22.4004777070064
Nfib	chr4	82290172	82705749	7.01	Hypermethylated	0.441185613101348	0.511280652356242	3835	21.5242177314211
Sergef	chr7	46443153	46639806	6.78	Hypermethylated	0.512357468866414	0.580185748914008	2245	17.9922048997773
Tmem132c	chr5	127241807	127565792	6.78	Hypermethylated	0.649108031777896	0.716879701556819	3040	18.3965460526316
Car10	chr11	93098027	93601748	6.69	Hypermethylated	0.46423306189711	0.531124877675005	2888	21.7266274238227
Rab3c	chr13	110054186	110280995	6.66	Hypermethylated	0.596411582901294	0.663047154181082	1707	22.7185852372583
Kcnab1	chr3	64949195	65378222	6.6	Hypermethylated	0.679987569898824	0.74597884230085	2314	22.019716940363
Ldlrad4	chr18	67933256	68268629	6.59	Hypermethylated	0.519575650631756	0.585501103085803	3610	19.9197022160665
Slco3a1	chr7	74275418	74554779	6.4	Hypermethylated	0.572050145662425	0.636047608571812	2135	19.2779859484778
1700025G04Rik	chr1	151852402	152090124	6.28	Hypermethylated	0.495154571891374	0.557977032958663	2723	20.2067572530297
Snd1	chr6	28475138	28935161	6.04	Hypermethylated	0.614584155980767	0.674969226366021	3591	20.0120091896408
Cntn6	chr6	104492789	104863405	6.01	Hypermethylated	0.700920744068365	0.761036374302894	1553	24.4860753380554
Ext1	chr15	53064037	53346158	6.01	Hypermethylated	0.576765016009533	0.636815472634592	2666	21.4457520630158
Dlgap1	chr17	69969072	70821412	5.75	Hypermethylated	0.58162316522434	0.63909833521636	6600	20.8470075757576
Negr1	chr3	156561793	157316444	5.65	Hypermethylated	0.542053452801088	0.59850766420907	3656	22.8832056892779
Prune2	chr19	16956117	17223931	5.65	Hypermethylated	0.692545094277728	0.74903773328557	2221	21.8729176046826
Samd12	chr15	53453809	53902536	5.65	Hypermethylated	0.69865950866965	0.755162490046661	2609	23.1261019547719
Zfp385b	chr2	77410633	77819638	5.47	Hypermethylated	0.494302802867296	0.549003528616544	3862	21.4791558777835
Cadm2	chr16	66655420	67620907	5.44	Hypermethylated	0.650962076845473	0.705350310064024	4796	24.7678273561301
Syne1	chr10	5020916	5551481	5.36	Hypermethylated	0.492790040097121	0.546351759991845	3752	20.9748134328358
Tcf4	chr18	69343355	69689078	5.13	Hypermethylated	0.330607615735362	0.381907327578877	4246	20.8567475270843
Pde4d	chr13	108449947	109953460	4.82	Hypermethylated	0.673546144600015	0.721728624208981	10611	22.7648666478183
Rora	chr9	68653785	69388245	4.23	Hypermethylated	0.585274120322299	0.627553969878086	7081	19.6036753283435
Kcnip4	chr5	48389501	49524906	4.13	Hypermethylated	0.704358337562884	0.745662443022529	5112	24.3306191314554
Pcdh9	chr14	93013409	93890678	3.97	Hypermethylated	0.660668506227543	0.700329768416725	4604	24.8062282797567
Ank3	chr10	69398772	70027437	3.95	Hypermethylated	0.592798704876013	0.63230015524137	6951	19.8972090346713
Lsamp	chr16	39984360	42181678	3.76	Hypermethylated	0.713330119781662	0.750968703321312	10684	24.3909116435792
Lrrc4c	chr2	96318168	97631665	3.54	Hypermethylated	0.735325988765099	0.770750524234378	5329	24.3044426721711
Opcml	chr9	27790774	28925409	3.52	Hypermethylated	0.702679966306576	0.737909883811108	6114	22.5318122342166
Macrod2	chr2	140395308	142392965	2.34	Hypermethylated	0.75563291796689	0.779033618738814	9986	23.9291382936111
Fat3	chr9	15910188	16501284	-4.39	Hypomethylated	0.770542533812878	0.726656544603448	3543	22.8676968670618
Sgcz	chr8	37522297	38661507	-5.17	Hypomethylated	0.812875612607372	0.761156843185184	4277	24.0667231704466
Csmd2	chr4	127987856	128567655	-5.46	Hypomethylated	0.709675237076001	0.65511119777996	5846	17.8015523434827
