gene	chr	start	end	mc_diff	hmc_diff	meth_ratio	log2_ratio	gb_log2fc	mecp2_mean_fold	ratio_quintile
Cbx4	chr11	119077572	119086220	-0.054796019434738	0.0021660683341462	25.2974564887571	4.66092043255302	-0.213892	-0.0550234825142621	5
Fat2	chr11	55250608	55336563	0.0705968480960141	-0.00282239495179742	25.0131003285189	4.64461198292877	-0.27363	0.0741364858346219	5
Npw	chr17	24657329	24658456	-0.117762015265174	0.00485670705716337	24.2472963427929	4.59975198567994	-0.187152	0.0712639807865443	5
6330403K07Rik	chr11	71031940	71033512	-0.0546137273642647	0.00226238555519089	24.1398851044453	4.59334690438371	-0.012971	-0.0336375395665966	5
Aqp8	chr7	123462290	123468003	0.04087771344512	-0.00169797048665393	24.0744546306425	4.5894312113121	0.273422	0.0239202255617175	5
Scgb2b11	chr7	32209172	32211144	-0.0906502698830843	0.00376864269096176	24.0538244977399	4.58819439201195	-0.31372	-0.044348655968089	5
Defa34	chr8	21665796	21666731	-0.0905216311466311	0.00396825396825397	22.811451048951	4.51168631508158	0.162793	-0.19918387364467	5
Pgam2	chr11	5801639	5803732	0.0391540742864235	-0.00174371476818519	22.4544030943627	4.4889264663369	-0.337723	0.0143813563089053	5
Arhgap36	chrX	49463944	49500243	-0.0225587321763441	0.00100627048053442	22.4181595433102	4.48659593740498	-0.193732	-0.106221572842107	5
Hemk1	chr9	107327083	107338349	0.030357563680474	-0.00137456156647685	22.0852702569618	4.46501258160063	0.270563	-0.0664896967622693	5
Kcnj9	chr1	172320500	172329317	0.0514347143241161	-0.00233379233651604	22.0391135575068	4.46199429284782	0.178947	-0.0410554542097104	5
Angel1	chr12	86700501	86726459	0.0601709510046449	-0.0027483872774007	21.8931849595636	4.45240994392989	0.867602	0.00584067523974237	5
Sox21	chr14	118233231	118237029	-0.0307352270009171	0.00144037263240653	21.3383858519761	4.41537914211692	-0.401842	0.0698817777234775	5
Slc6a9	chr4	117834505	117875197	-0.0260420526970333	0.00122476691713116	21.262864250149	4.41026404552652	-0.150239	-0.0524782964730357	5
Gp1ba	chr11	70639121	70642035	-0.0380582168851393	0.00179981462830231	21.1456314926377	4.40228774050793	-0.575209	0.00688051846295369	5
Hmgb2	chr8	57511906	57515998	0.0409541687471211	-0.00194377545745723	21.0693928611979	4.39707683672369	0.983475	0.0807271440721666	5
Rwdd2b	chr16	87433406	87440572	0.0363784873066314	-0.00174803567638777	20.8110668437876	4.37927901915286	0.88237	0.0484435007210769	5
Gm13272	chr4	88779849	88780659	-0.0457455341844188	0.00221890373367699	20.6162770786874	4.36571192686391	0.238574	-0.0358387390478432	5
Cfap77	chr2	28926948	29055065	-0.0225459812990029	0.00111203785865006	20.2744727831229	4.34159249401235	-0.175471	-0.0535833166794502	5
Arf6	chr12	69372149	69373782	0.0390102300439166	-0.00194104060383106	20.0975857830699	4.32895030335723	-0.150915	0.257804155780918	5
Napa	chr7	16098457	16117974	0.0689425246427859	-0.0034379534310118	20.0533619859115	4.32577222252997	-0.172772	-0.0216514965400088	5
Dsel	chr1	111858701	111864917	0.0293753627555472	-0.00147543452823166	19.9096348861743	4.31539485925389	0.543823	0.220965638555769	5
Hlf	chr11	90336535	90390894	-0.0310287116412492	0.00156917814269111	19.7738617414308	4.30552274497068	-0.132366	-0.122861299714181	5
Ifitm1	chr7	140967220	140969824	-0.0440650129949455	0.00225142251205724	19.5720762135762	4.29072490062985	-0.38568	-0.0866533606899678	5
Fndc5	chr4	129136998	129144592	0.119367321188313	-0.00610405891250204	19.5554012337316	4.28949523218432	0.037039	-0.0104163689859782	5
Irgm1	chr11	48861967	48871682	-0.0550118022545059	0.00281316242347419	19.555146121484	4.28947641121661	0.312058	0.0122055132664971	5
Sebox	chr11	78503446	78505080	0.0386562683081711	-0.00197896786802654	19.533550257549	4.2878822803369	0.839943	-0.0415601848533681	5
Snai3	chr8	122454207	122460732	-0.0396519483761586	0.00205838592956048	19.2636122345751	4.26780635176924	-0.266685	-0.0147986097944179	5
Prrt4	chr6	29169231	29179583	-0.0280346477958547	0.00146815781190615	19.0951187729993	4.25513198854164	0.075125	-0.557766700001523	5
Mcidas	chr13	112993844	113000393	-0.0591414119152805	0.00311591859230893	18.9804098416628	4.24643923951987	0.077614	-0.0786741332522993	5
4921517D22Rik	chr13	59687401	59694107	-0.0274460586467958	0.00146982463193125	18.673015848655	4.22288304861764	0.071743	0.0124509647232672	5
Dact3	chr7	16875316	16887461	-0.0704213318533847	0.00380367501981466	18.514024328192	4.21054661771757	0.012485	-0.131061341915513	5
Id3	chr4	136143496	136145754	-0.0476486717075293	0.00257559056957528	18.5000955782295	4.20946081913606	-0.456121	-0.017014961373594	5
Fam181a	chr12	103310974	103317064	-0.0503136092047002	0.00272252494912462	18.4804951818266	4.2079315089354	0.006481	0.00808193186803731	5
Mpst	chr15	78406415	78414012	-0.0609278408708467	0.00333386494806644	18.2754376136872	4.19183404746931	0.430899	-0.00661837435666386	5
Alad	chr4	62509168	62519917	0.126109349874742	-0.00705752117987737	17.8687880150199	4.15936987901396	0.429193	-0.00890686971012512	5
Tmem270	chr5	134901592	134906732	-0.0241336037271271	0.00136039549920811	17.7401378798852	4.14894531748314	-0.207964	-0.0676865615123574	5
Kbtbd12	chr6	88545113	88637949	0.0302195470514123	-0.0017087677880325	17.6849933987856	4.14445377541667	0.738787	1.40625935861403	5
Itm2c	chr1	85894280	85908674	0.146151617649357	-0.00831173240941976	17.5837732075833	4.13617277878004	0.472313	-0.0503086684025741	5
Ctrl	chr8	105932002	105933861	-0.0304282828560141	0.00174361739219696	17.451238438081	4.12525751671367	-0.392919	-0.0239195347007956	5
Prr7	chr13	55464266	55473153	-0.0711074675088999	0.00408180530324886	17.4205926608755	4.12272180116407	-0.209717	-0.0962166526677279	5
Cyp26c1	chr19	37685580	37693397	-0.0274483265618181	0.00159789883772337	17.1777623925965	4.10247021545279	-0.432128	-0.0554302060609894	5
Tnfsf13	chr11	69682845	69685783	0.146649608250268	-0.00862503661474565	17.0027809504659	4.08769882568119	0.8859	-0.0756737838181283	5
Sema6c	chr3	95160456	95174023	-0.0522898717778233	0.00307600506480457	16.9992801299713	4.08740174860857	-0.212971	-0.0561377488930965	5
Pirt	chr11	66911980	66929875	-0.0190531602245171	0.00112471662387527	16.9404095396656	4.08239684758006	-0.288552	0.0919878167843711	5
Chst15	chr7	132235779	132317227	0.0720970062801595	-0.00425914469740007	16.9275785169191	4.08130370595378	0.473764	0.259735525918425	5
Lcn11	chr2	25777016	25780278	-0.0330168779838645	0.00195599241844401	16.8798598974782	4.07723102464027	-0.618748	-0.0439312615311879	5
Fam107a	chr14	8296273	8318022	-0.0216584812595757	0.00130331076863181	16.6180482666558	4.05467904731085	0.299644	-0.0936034255306387	5
Cd9	chr6	125460265	125494790	-0.0180128433263077	0.00108619135303017	16.5834898943514	4.05167574004791	-0.042771	-0.0780172855190656	5
Scnn1a	chr6	125320658	125344942	-0.0205400139329451	0.00124069085841734	16.55530367907	4.04922156966758	-0.094508	0.0191192980753303	5
Gemin8	chrX	166170453	166190511	0.0211797654002618	-0.00129454864273566	16.3607335414638	4.03216552855258	0.757433	0.246787632511778	5
Clec2l	chr6	38663066	38680864	-0.033562872489875	0.00209018440718564	16.0573738730863	4.00516405934455	-0.086171	-0.0840103895591054	5
Cerkl	chr2	79330542	79456784	0.0541282022520972	-0.00337166250677112	16.0538613053337	4.00484843373441	0.983307	1.115286949067	5
Crip1	chr12	113146315	113153878	-0.0520229696883535	0.00328853000272117	15.8195210763794	3.98363401889584	0.179388	-0.0243023511425279	5
Vmn1r238	chr18	3122491	3123411	0.0578684350057403	-0.00366883013277853	15.7729938185812	3.9793846140704	0.15517	-0.0615162237692218	5
Krt9	chr11	100186780	100193245	0.0219027087611993	-0.00139262936094392	15.7275936982642	3.97522605202751	-0.560575	0.0204897432922266	5
Fthl17e	chrX	9033492	9034332	0.0294224704518093	-0.00188529191300235	15.6063208296235	3.96405855875825	-0.601912	-0.00435972502071026	5
Mex3d	chr10	80380354	80387658	-0.0307230654388627	0.00198020873818425	15.5150640669499	3.95559774914233	-0.200089	-0.0286026148294088	5
Tssk3	chr4	129489013	129491021	-0.0289436042368469	0.00186613282009504	15.5099379450241	3.95512100907664	-0.311873	-0.011356110405786	5
Dusp26	chr8	31089470	31097046	0.0386464031521347	-0.00250289869382811	15.4406581646444	3.94866234429589	0.723383	0.131737236627923	5
Lin7b	chr7	45367890	45370582	0.0767096314885276	-0.00497435715143685	15.4210140432659	3.94682573089841	0.249428	-0.024238297444554	5
Dab2ip	chr2	35558265	35730993	0.0386447012673928	-0.00252180459580892	15.3242250932597	3.9377422172617	0.10515	0.0934606398981547	5
Rfc2	chr5	134581365	134601804	-0.0241936770254682	0.00157879885522176	15.3241034761644	3.93773076760761	-0.226548	0.0595317600882971	5
2610318N02Rik	chr16	17113397	17125166	-0.0368869286293725	0.00243201571114754	15.1672246442715	3.92288521486541	0.135811	-0.0394722938880952	5
Ciao2b	chr8	104639837	104641964	0.0320519866721757	-0.00213723664963801	14.9969291784344	3.90659521476915	0.846773	0.0863423445691945	5
Shld1	chr2	132686930	132751054	0.0895581815569854	-0.00598787563392178	14.9565867817346	3.90270907259301	1.071197	-0.0181692697692133	5
Ly6f	chr15	75268420	75272234	-0.0320395486675614	0.00214293649548126	14.9512357156277	3.90219282259727	-0.336294	-0.0151084596619602	5
Scgb1b27	chr7	34021482	34022880	0.0185496832469478	-0.00124122865086721	14.9446141401809	3.90155374297504	0.017407	-0.0295971954160725	5
Pdgfrl	chr8	40926211	40990784	-0.0393178877427525	0.00263252022727645	14.9354551335888	3.90066929697977	0.793209	0.0167526037411684	5
Clu	chr14	65968482	65981546	0.0159774944142098	-0.00107572958691068	14.8527051859702	3.8926538139908	0.528521	0.0676255248309668	5
Lama5	chr2	180176372	180225858	-0.0171667681302918	0.00115583962600535	14.8522059151244	3.89260531725766	-0.044536	-0.0349794389130986	5
Pih1d1	chr7	45154302	45160064	0.0179170669296886	-0.00120833540921858	14.8278919851198	3.89024160577619	0.145945	0.00982918357256827	5
Prm2	chr16	10791379	10796133	-0.0251190564702084	0.00172142096434734	14.5920474947463	3.86711042524851	-0.329502	-0.00214211416028342	5
Gm5134	chr10	75954513	76009590	0.018779273524291	-0.00128820255112622	14.5778887861021	3.86570989422547	0.771035	0.119362204851444	5
Zfp217	chr2	170108642	170148102	-0.0231558754549253	0.0015960776755124	14.5079878067284	3.85877553279235	-0.18708	-0.0269855888353718	5
Cdkn2d	chr9	21288409	21291406	0.0892205137224003	-0.00616235493034972	14.4783146590579	3.85582177089075	0.34761	-0.0760747577760781	5
H2aj	chr6	136808243	136810073	0.0299898744324943	-0.00207158496269511	14.4767774301073	3.8556685852211	0.599248	-0.0213380314808586	5
Slc25a4	chr8	46206796	46211283	0.0279570671551863	-0.0019355795425744	14.4437707364908	3.85237552081599	0.124307	0.0161452694708739	5
Slc7a3	chrX	101079209	101086019	-0.0155355992718376	0.00107913437772252	14.3963528477566	3.8476314624648	0.099136	-0.0644841300694932	5
Pilrb1	chr5	137852146	137858105	-0.0180381962895798	0.00125375584402572	14.3873277843798	3.84672675435811	-0.486744	0.0330616853736565	5
Upk1a	chr7	30603091	30612846	-0.0254257596229004	0.00177977647628377	14.2859285768234	3.83652290852524	-0.341188	0.0128908893619323	5
Lrrc25	chr8	70616154	70621482	-0.0182945660492354	0.00128799629720051	14.2038964622795	3.82821484403247	0.067019	-0.0203233881561259	5
Sgcz	chr8	37522297	38661507	-0.0517187694221879	0.00366384474517919	14.1159828047404	3.8192576727125	-0.184899	0.00824542530084752	5
Lmo1	chr7	109138571	109175206	-0.0243836656489027	0.0017301185355014	14.093638758593	3.81697223607599	0.045161	-0.0300424800194047	5
Lrig3	chr10	125966167	126015358	-0.0446935760745534	0.003172128180948	14.0894609313034	3.81654450947225	0.14834	-0.0276756083778992	5
Susd6	chr12	80790509	80880834	0.0620499756805546	-0.00440841904989325	14.0753351662558	3.81509737150462	0.101567	0.101298354606308	5
Myh6	chr14	54941920	54966926	-0.0192017812503535	0.00136431708457137	14.0742804348786	3.81498925949701	-0.353385	-0.00850287094036488	5
Zar1l	chr5	150507054	150518163	-0.0145692156577893	0.00103841352706121	14.0302637418652	3.81047022398093	-0.009166	0.0782139938255581	5
Rasl11a	chr5	146845070	146847725	-0.0386456380790733	0.00276088512160635	13.9975538194752	3.80710282199601	0.313332	0.00559110392522599	5
Hspa12b	chr2	131127279	131146320	-0.0163414284931072	0.00117237873289143	13.9386940709889	3.80102349500583	-0.270906	-0.0070330256950883	5
Cd209a	chr8	3743396	3748983	-0.0438881419229569	0.00315043399372619	13.9308241373589	3.80020870413381	-0.554997	0.0729926142257719	5
Rbbp8nl	chr2	180277645	180289878	-0.0244794815389464	0.00175893262625745	13.917236609018	3.79880087459125	-0.468879	-0.0384583752692795	5
Mboat4	chr8	34115029	34125181	-0.0378432938243144	0.00273257798758927	13.8489345944342	3.79170308816919	0.571392	0.0369338037788453	5
Tex13c3	chrX	19479419	19481318	0.0287779172003542	-0.00209949270711598	13.7070812881678	3.77684949901924	0.283003	-0.0418303732221675	5
Shroom2	chrX	152609508	152769464	-0.0153543427733105	0.0011247316450005	13.6515611004291	3.77099403233797	-0.319005	0.00640764510378199	5
Gpr22	chr12	31706866	31713946	0.164985186171975	-0.0121353797916432	13.5953871246443	3.76504532715132	0.958371	0.82430209948478	5
4921536K21Rik	chr11	3886087	3895097	-0.0286531524862343	0.00210880120846169	13.5874127780569	3.76419886904934	0.314292	-0.047760678856838	5
1700013G24Rik	chr4	137453283	137455460	-0.0204726318207535	0.0015072938245076	13.5823762347341	3.76366399583742	-0.328837	0.0113125757751093	5
Nfatc4	chr14	55823143	55833942	-0.0524058036779858	0.00391979300591894	13.3695334419068	3.74087721530802	-0.086938	-0.0957275157360377	5
Tmem151a	chr19	5070858	5085530	-0.0328949898169952	0.00246573674283404	13.3408361264012	3.73777718401935	-0.1514	-0.046600656915817	5
Plxnd1	chr6	115954810	115995004	0.0419240646183843	-0.00315082340866069	13.3057487459143	3.73397779138983	0.541639	0.0555490668461597	5
Btg1b	chrX	38013172	38018814	0.0253962926061251	-0.00191266933746554	13.2779315842316	3.73095851825984	-0.510799	-0.00103427426392054	5
Tmem95	chr11	69876056	69878052	-0.0559508517584038	0.00421471352633521	13.2751256778902	3.73065361422268	0.215086	0.0619123444564131	5
Mmp3	chr9	7445821	7455974	-0.0236221388857262	0.00179167098379937	13.1844178419599	3.72076196528895	-0.505518	0.0238042057235039	5
H2ac6	chr13	23681466	23683947	-0.0764510082525996	0.00585011280832532	13.0682964170882	3.70799917857558	0.314647	-0.0445288786314667	5
Rbp4	chr19	38116628	38125280	-0.0244974669234176	0.00187603780654086	13.0580880822372	3.70687177307367	-0.00473	0.0296368692443029	5
Prr18	chr17	8337458	8344112	-0.0141956874026912	0.00108959309685666	13.0284300108398	3.70359133750079	-0.082662	0.00689602685207666	5
Vwf	chr6	125546773	125686678	-0.0172742625561638	0.0013265879724991	13.0215733251535	3.70283186683682	-0.265026	-0.143837660866144	5
Ercc6l	chrX	102141715	102157090	0.0134602473714786	-0.00103577423414383	12.9953487234647	3.6999234431925	-0.172095	-0.0173648494777329	5
Chn2	chr6	54039553	54301809	0.0485735124922975	-0.00375603994149998	12.9321075517902	3.69288550590114	-0.216951	-0.04648891551322	5
Hsd3b6	chr3	98805503	98814442	-0.0203684848683772	0.00158395073489375	12.8592919083077	3.68473929832318	-0.643402	0.0404590164238255	5
Gpd1	chr15	99717514	99725004	0.0809460556237569	-0.00629535258235092	12.8580654641473	3.68460169593396	0.390259	-0.101335748333947	5
Tnrc18	chr5	142724660	142817661	-0.059695634205645	0.00467244109506049	12.7761127408867	3.67537704365088	-0.270925	-0.0994229414272862	5
Stpg3	chr2	25212206	25214636	-0.0193443501040521	0.00152847183933856	12.6560068731285	3.66175038329882	0.317032	-0.0173840322825696	5
Sowahd	chrX	37048844	37050417	0.074602629059219	-0.00589800871917463	12.6487824300231	3.66092661287342	0.013704	-0.0403353155536847	5
Susd3	chr13	49230689	49248705	-0.0183595147846713	0.00145470070935048	12.6208192975095	3.65773366274251	-0.036886	-0.0262328365008378	5
Tigd5	chr15	75909734	75914534	0.0809629567552936	-0.00646829977498653	12.516883813639	3.64580353046575	0.185614	0.000976255433163302	5
Serpinf2	chr11	75431731	75439590	-0.0180618800673475	0.00144437971293576	12.5049389060138	3.64442610400911	-0.159029	-0.0127744360827759	5
Trim62	chr4	128883579	128911327	0.0346613165275989	-0.00277485182619097	12.4912314958375	3.64284381245411	-0.222959	-0.0354116754934402	5
H2-M10.1	chr17	36322857	36326154	-0.0165450868625742	0.00133551604272845	12.3885347185892	3.63093365450177	-0.370636	-0.0594438670470824	5
Cts7	chr13	61352460	61358196	0.0130902088889188	-0.00105873699021853	12.3639855883536	3.62807197257022	-0.39594	-0.0524267874812606	5
Krt24	chr11	99279958	99285261	0.138092706726149	-0.0112052711172921	12.32390589042	3.62338766550427	1.16442	0.945307962612713	5
Anxa2	chr9	69453619	69491794	-0.0204427067435546	0.00166582476764113	12.2718230276419	3.61727767783886	-0.257674	-0.0365299614099762	5
Lcn8	chr2	25653119	25656216	0.0125673978782986	-0.00102409653926824	12.2716925567179	3.6172623393879	-0.193639	0.0913892861487123	5
Zfy2	chrY	2106014	2170408	0.0470083118129348	-0.00384615384615385	12.222161071363	3.61142749389728	0.014144	0.0534780430923531	5
Arhgef37	chr18	61491656	61536593	0.0742044564250778	-0.00609302066596468	12.1785991699618	3.60627629325684	0.75558	0.00755257719878582	5
Pik3ip1	chr11	3330400	3342970	0.0516588311694173	-0.0042422399213678	12.1772535563621	3.60611688105386	-2.7e-05	-0.0196959089738969	5
Ahsa2	chr11	23487881	23498029	-0.014910759024462	0.00122476491750748	12.1743844972363	3.60577693042033	-0.031155	0.009824156064388	5
Scgb1a1	chr19	9083635	9087957	0.0168990689282654	-0.00139179227248903	12.1419476615168	3.6019279543917	-0.089498	0.0225747865777542	5
Sdc1	chr12	8771322	8793714	0.0411573359891155	-0.00339066165255097	12.1384379235099	3.60151087026962	0.483098	0.321718360759224	5
Exoc3l4	chr12	111417016	111431677	-0.0523228100141365	0.00435109406335768	12.0252077413743	3.5879899123639	-0.096347	0.0155188463784549	5
Myl7	chr11	5896636	5898781	-0.0404751001828816	0.00337359050921129	11.9976328106117	3.58467787828115	0.133628	0.0502290724115305	5
Hspb8	chr5	116408490	116422863	0.0406652179629339	-0.00339032965788547	11.9944731239783	3.58429788127084	0.260984	0.0725282553231613	5
Kif21b	chr1	136131388	136177997	-0.0146011845298381	0.0012199361876653	11.9688100717642	3.58120782286648	0.165941	-0.035503005181548	5
Arsa	chr15	89472475	89477424	0.0338298170418299	-0.00283842317013441	11.9185248337118	3.5751337781045	0.490135	-0.0545161585025338	5
Trpt1	chr19	6996130	6999045	0.0479904129264855	-0.00403979166832444	11.8794276701873	3.57039342620512	0.588048	-0.0193842642213404	5
Ankrd39	chr1	36537506	36547444	0.0806932419023622	-0.0068026571175322	11.862018106777	3.56827757399173	0.316449	-0.0027644454241474	5
Gdf5	chr2	155941022	155945366	-0.0298992408670367	0.00252284176316542	11.851413474907	3.56698722925386	-0.300719	-0.0778624044682735	5
Vmn1r185	chr7	26607635	26618463	-0.0176978564891506	0.00149715236954245	11.8210122424342	3.56328167478626	-0.609372	-0.0884857886817078	5
Nudt16	chr9	105128902	105131823	0.0523098930434258	-0.00442833387414765	11.8125449729091	3.56224791688303	0.89601	-0.0199398492892924	5
Pcdh10	chr3	45378397	45435622	-0.0136797081084649	0.00116133137220067	11.7793322697745	3.55818585490562	0.047284	0.000633004519287269	5
Panx1	chr9	15002127	15045477	-0.0189858204643603	0.00164444362348418	11.5454371273209	3.5292508916009	0.14336	-0.0178628191896176	5
Lrrc8d	chr5	105699968	105832435	-0.011947908467844	0.00103806388640204	11.5098007207011	3.52479094992613	-0.071143	-0.069545177673782	5
Med7	chr11	46436924	46442720	0.0310796983083468	-0.00271259718987485	11.4575427654191	3.5182257654866	0.032109	-0.0017858026740135	5
Tpi1	chr6	124810585	124814295	0.0434496440237628	-0.0038057693283943	11.4167833819016	3.51308433117046	0.115605	0.0375249302714782	5
Crhr2	chr6	55090048	55133015	-0.0245716725178746	0.00215814859292601	11.3855332289981	3.50912995498874	-0.181307	-0.0187193944500911	5
Pctp	chr11	89982664	90002893	-0.0128404950785251	0.00113035464645135	11.3597047783514	3.50585343674203	-0.022828	-0.0260825573442766	5
Rnf224	chr2	25234475	25236786	-0.0266934745342133	0.00235349353466557	11.3420641021673	3.50361131003331	-0.462549	-0.0113870795332775	5
Slc2a5	chr4	150119282	150144168	-0.0187145714978499	0.00165383932472959	11.3158341430234	3.50027103120649	-0.064561	0.00802548640121982	5
Galnt3	chr2	66082765	66124993	-0.0160207438142904	0.00141937728498086	11.2871637328664	3.49661110246925	-0.21664	-0.0539088235851823	5
Ap5z1	chr5	142463943	142478709	0.0150070973943048	-0.0013297743165861	11.2854468665271	3.49639164052022	0.002075	0.0118213063116132	5
A930004D18Rik	chr2	18025192	18037736	-0.0225011053691312	0.00199871439100419	11.2577892421269	3.49285163966207	0.546677	0.748062906700406	5
Ehbp1l1	chr19	5707375	5726316	-0.0250870173583384	0.00223750956750673	11.2120268546127	3.48697519986187	0.012016	-0.0193775375533197	5
Pabpc5	chrX	119927195	119930164	0.0278258304908299	-0.00248614233382671	11.1923722597169	3.48444394752019	0.898506	0.837211965088745	5
Pip5k1c	chr10	81292962	81319972	0.0380175534306392	-0.00342203189141482	11.1096432286378	3.47374058213286	-0.326704	-0.0584484043402038	5
Tmem44	chr16	30511854	30550841	-0.0218298742719216	0.00196685406750967	11.0988784742741	3.4723419965664	0.34608	-0.0373763822426643	5
AI429214	chr8	36993603	36995532	-0.0887408617893384	0.00799712511522883	11.0965954028092	3.47204519948873	1.300848	-0.0574954911488568	5
P2rx3	chr2	84998582	85037461	-0.0170935806558433	0.00154068268588979	11.0948093415947	3.47181297068735	0.195028	-0.0350638449065891	5
Pear1	chr3	87747889	87824305	-0.0159750456374589	0.00144469879210316	11.0576998643453	3.4669794136054	-0.04574	-0.0070567726572995	5
Adra2a	chr19	54044150	54048981	-0.0307563051395178	0.00280608392314979	10.960579220665	3.4542521355855	-0.069874	-0.00302593319788305	5
Hdac11	chr6	91156664	91174691	0.0377121868752452	-0.00344670215396289	10.9415276373345	3.45174227368933	0.315618	0.00583100434056002	5
Shq1	chr6	100568255	100671156	-0.0206926001493679	0.00189514604963906	10.9187363967589	3.44873400063128	0.427663	0.00454674638596536	5
Rtn4rl1	chr11	75193782	75267768	0.107151308886847	-0.00985640342869265	10.8712381409757	3.44244435522699	0.034709	-0.0366626307599792	5
