gene	chr	start	end	chromatin_state	atac_fold	k27ac_fold	k27me3_fold	k119ub_fold	gb_ctrl_signal	gb_mut_signal	is_neuronal	is_synapse	is_coordinated	is_mecp2_up	is_triple	ctrl_decile
1110065P20Rik	chr4	124849079	124851195	Active_Promoter	NA	NA	NA	NA	1.171159	1.719186	FALSE	FALSE	FALSE	FALSE	FALSE	6
1190005I06Rik	chr8	120608601	120647631	Repressed_Promoter	0.255114200050095	NA	NA	-0.296283078134707	1.992004	1.887428	FALSE	FALSE	FALSE	FALSE	FALSE	9
1190007I07Rik	chr10	82619850	82623227	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1300017J02Rik	chr9	103250520	103305081	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1500009C09Rik	chr15	82252396	82260752	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1500009L16Rik	chr10	83722864	83762761	Other	0.373461158573921	NA	-0.675179909636752	0.121142347396936	1.193743	1.630891	FALSE	FALSE	FALSE	FALSE	FALSE	7
1500011B03Rik	chr5	114808195	114823467	Other	0.04501263263416	0.819935047901109	NA	NA	0.475805	0.440116	FALSE	FALSE	TRUE	FALSE	FALSE	2
1520401A03Rik	chr17	23704487	23722782	Poised_Enhancer	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1600012H06Rik	chr17	14943183	14959569	Other	NA	NA	NA	NA	0.419312	0.664156	FALSE	FALSE	FALSE	FALSE	FALSE	1
1600014C10Rik	chr7	38183216	38197567	Active_Promoter	0.130647251664564	-0.160758072756794	0.0308387709462711	0.597916002377074	0.920237	1.18601	FALSE	FALSE	TRUE	FALSE	FALSE	5
1600014C23Rik	chr17	45732863	45733843	Other	0.132054852818658	NA	NA	-0.00258351857314592	7.645816	6.839087	FALSE	FALSE	FALSE	FALSE	FALSE	10
1700001C19Rik	chr17	47412733	47437375	Repressed_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700001F09Rik	chr14	43342382	43347810	Other	NA	NA	NA	NA	1.048675	0.752429	FALSE	FALSE	FALSE	FALSE	FALSE	6
1700001J03Rik	chr5	146182440	146185303	Other	-0.0846766629490606	-0.292190684440934	NA	NA	1.414977	1.26599	FALSE	FALSE	FALSE	FALSE	FALSE	7
1700001K19Rik	chr12	110667687	110682618	Other	0.190690775884998	NA	NA	NA	0.363153	0.244423	FALSE	FALSE	TRUE	FALSE	FALSE	1
1700001L19Rik	chr13	68597420	68614230	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700001O22Rik	chr2	30794768	30803660	Repressed_Promoter	0.718605534523642	NA	NA	0.20497550599492	2.318824	2.479496	FALSE	FALSE	FALSE	FALSE	FALSE	9
1700001P01Rik	chr11	97771480	97775917	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700003E16Rik	chr6	83156403	83162944	Other	NA	NA	NA	NA	1.732888	3.05247	FALSE	FALSE	FALSE	FALSE	FALSE	8
1700003F12Rik	chr2	154547084	154550002	Other	-0.159038778154781	-1.38489678174877	NA	0.184205045966292	5.256734	7.056488	FALSE	FALSE	TRUE	FALSE	FALSE	10
1700003H04Rik	chr3	124556351	124581100	Other	NA	NA	NA	NA	0.645764	0.437783	FALSE	FALSE	FALSE	FALSE	FALSE	3
1700006A11Rik	chr3	124400988	124426039	Other	NA	NA	NA	NA	0.7075	0.449127	FALSE	FALSE	FALSE	FALSE	FALSE	4
1700007K13Rik	chr2	28462000	28466331	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700008O03Rik	chr7	44360042	44385819	Active_Promoter	-0.0180535172349307	0.0714854484904684	NA	NA	0.718651	0.794327	FALSE	FALSE	FALSE	FALSE	FALSE	4
1700008P02Rik	chr3	6615417	6620442	Other	0.182911272681414	NA	NA	NA	0.476932	0.384528	FALSE	FALSE	FALSE	FALSE	FALSE	2
1700009N14Rik	chr4	39450294	39451775	Other	0.316788415099352	0.157888763652656	NA	1.38595774595784	0.790735	0.742392	FALSE	FALSE	FALSE	FALSE	FALSE	4
1700010B08Rik	chr2	173719414	173722088	Other	NA	NA	NA	NA	0.483248	0.422095	FALSE	FALSE	FALSE	FALSE	FALSE	2
1700010I14Rik	chr17	8988332	9011948	Other	-0.206264709550539	0.176575985059526	2.53553248930825	-0.160759192378628	1.236161	1.162113	FALSE	FALSE	FALSE	FALSE	FALSE	7
1700011L22Rik	chr8	79210430	79248569	Other	-0.304284668691058	-1.08252532539726	NA	1.11538000640992	1.087543	2.436656	FALSE	FALSE	FALSE	FALSE	FALSE	6
1700011M02Rik	chrX	102908904	102909650	Repressed_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700012A03Rik	chr6	32050245	32058920	Repressed_Promoter	0.322481692746566	0.385096342545582	-0.723699024985998	0.52705593541276	1.791846	1.953137	FALSE	FALSE	FALSE	FALSE	FALSE	8
1700012B07Rik	chr11	109787650	109828045	Other	NA	NA	NA	NA	0.433817	0.293275	FALSE	FALSE	FALSE	FALSE	FALSE	1
1700012B09Rik	chr9	14756586	14771029	Repressed_Promoter	NA	NA	0.0173434882984248	NA	1.010574	0.792228	FALSE	FALSE	FALSE	FALSE	FALSE	6
1700012P22Rik	chr4	144418188	144438771	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700013F07Rik	chr3	108534149	108544722	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700013G24Rik	chr4	137453283	137455460	Other	-0.320202112086953	NA	NA	-0.421440240347713	1.686843	1.298139	FALSE	FALSE	FALSE	FALSE	FALSE	8
1700013H16Rik	chrX	53742900	53757830	Other	NA	NA	NA	NA	0.348051	0.315112	FALSE	FALSE	FALSE	FALSE	FALSE	1
1700014D04Rik	chr13	59740841	59746751	Poised_Enhancer	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700015F17Rik	chr5	5437826	5479142	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700015G11Rik	chr7	52011682	52015727	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700016C15Rik	chr1	177729813	177753323	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700016D06Rik	chr8	11654923	11701062	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700016H13Rik	chr5	103648038	103656009	Repressed_Promoter	0.218678877646451	NA	-0.0513478327668231	0.0232377783021067	1.091457	1.110871	FALSE	FALSE	FALSE	FALSE	FALSE	6
1700016K19Rik	chr11	75999911	76003568	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700017B05Rik	chr9	57253116	57262611	Active_Promoter	0.144696372536393	-0.213043436746457	NA	0.0229164690162469	2.700748	2.863889	FALSE	FALSE	FALSE	FALSE	FALSE	10
1700017N19Rik	chr10	100590483	100618400	Other	-0.0672252665022688	-0.815080843292502	NA	1.86160420283067	1.162687	2.715629	FALSE	FALSE	FALSE	FALSE	FALSE	6
1700018B08Rik	chr8	121530779	121544319	Other	0.0745989816919141	NA	0.0267543256789061	-0.639920346685934	1.225878	0.848967	FALSE	FALSE	FALSE	FALSE	FALSE	7
1700018F24Rik	chr5	145042989	145045680	Other	NA	NA	NA	NA	0.80217	0.570102	FALSE	FALSE	FALSE	FALSE	FALSE	4
1700018G05Rik	chrX	102928371	102929093	Repressed_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700019A02Rik	chr1	53158576	53187635	Other	0.00124275373098517	-1.09241795679999	NA	1.56320382313199	0.454454	0.492175	FALSE	FALSE	TRUE	FALSE	FALSE	1
1700019D03Rik	chr1	52922323	53020178	Active_Promoter	0.407794095830078	-0.0429263292984076	NA	1.49412675823468	0.869175	1.791495	FALSE	FALSE	FALSE	FALSE	FALSE	5
1700019N19Rik	chr19	58785802	58794460	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700020A23Rik	chr2	130405258	130406073	Other	0.226779214124824	NA	NA	NA	1.620938	1.7513	FALSE	FALSE	FALSE	FALSE	FALSE	8
1700020D05Rik	chr19	5502766	5503786	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700020L24Rik	chr11	83437676	83441232	Other	0.0866954026931887	NA	1.27799224061825	0.00078304808831169	2.172544	2.427448	FALSE	FALSE	FALSE	FALSE	FALSE	9
1700020N01Rik	chr10	21593144	21622375	Other	0.0769496548753046	NA	NA	0.221953468118442	2.068036	2.371298	FALSE	FALSE	FALSE	FALSE	FALSE	9
1700020N15Rik	chrX	69945299	69945977	Other	NA	NA	NA	NA	0.753594	0.511504	FALSE	FALSE	FALSE	FALSE	FALSE	4
1700021F07Rik	chr2	173522585	173528500	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700022I11Rik	chr4	42969603	42983639	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700024B05Rik	chr14	41943994	42003820	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700024G13Rik	chr14	32376067	32388390	Repressed_Promoter	0.218928113136823	0.748003034745817	0.0393160456119146	0.0280037184989937	2.641176	3.047276	FALSE	FALSE	FALSE	FALSE	FALSE	10
1700025B11Rik	chr15	77558238	77561891	Other	NA	NA	NA	NA	0.459613	0.388353	FALSE	FALSE	FALSE	FALSE	FALSE	2
1700025C18Rik	chr2	165078692	165090749	Other	0.179849329432401	-0.245369974386752	-0.460796651921171	-0.321601055271683	1.011435	1.172909	FALSE	FALSE	FALSE	FALSE	FALSE	6
1700025G04Rik	chr1	151852402	152090124	Active_Promoter	0.221561838563829	-0.121642607377991	0.267292060247399	0.215261613994854	1.539181	1.88093	FALSE	FALSE	TRUE	FALSE	FALSE	8
1700028J19Rik	chr7	44229810	44246694	Other	0.0879152945049704	NA	NA	NA	0.419477	0.339655	FALSE	FALSE	FALSE	FALSE	FALSE	1
1700028K03Rik	chr5	107534708	107551541	Other	-0.0713037253344157	-1.33284735673221	NA	1.3458136391803	0.384901	0.356348	TRUE	TRUE	FALSE	FALSE	FALSE	1
1700028P14Rik	chr19	23558752	23652811	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700029F12Rik	chr13	97021863	97034361	Repressed_Promoter	1.7974050491754	NA	-0.0414009513626068	NA	0.852418	1.283299	FALSE	FALSE	FALSE	FALSE	FALSE	5
1700029H14Rik	chr8	13550732	13562460	Other	0.0808417481658666	0.988723842211415	NA	-0.473028218989626	2.478038	2.519049	FALSE	FALSE	FALSE	FALSE	FALSE	9
1700029I15Rik	chr2	92382537	92385707	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700029J07Rik	chr8	45953605	45975439	Active_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700029P11Rik	chr15	81980539	81981562	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700030J22Rik	chr8	116969593	116978958	Other	-0.0542313810404071	NA	NA	0.329373261887472	1.115821	1.487111	FALSE	FALSE	FALSE	FALSE	FALSE	6
1700030K09Rik	chr8	72443879	72461000	Other	NA	NA	NA	NA	0.452635	0.593015	FALSE	FALSE	TRUE	FALSE	FALSE	1
1700031F05Rik	chrX	102859185	102867970	Repressed_Promoter	NA	NA	NA	NA	0.969499	0.502832	FALSE	FALSE	FALSE	FALSE	FALSE	5
1700031L13Rik	chr5	82122407	82124712	Other	0.87752136692817	NA	NA	0.44218039033629	1.150512	0.854238	FALSE	FALSE	FALSE	FALSE	FALSE	6
1700034E13Rik	chr18	52646208	52663732	Other	NA	NA	NA	0.911491234928601	1.031796	1.31235	FALSE	FALSE	FALSE	FALSE	FALSE	6
1700034J05Rik	chr6	146950328	146954421	Other	NA	NA	NA	NA	1.495106	1.172029	FALSE	FALSE	FALSE	FALSE	FALSE	8
1700037C18Rik	chr16	3895178	3908688	Other	0.0586822766153687	NA	NA	NA	0.655078	0.584907	FALSE	FALSE	FALSE	FALSE	FALSE	3
1700037H04Rik	chr2	131146323	131160080	Active_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700042G07Rik	chr4	116173371	116174289	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700049E17Rik1	chr14	41924948	41933040	Other	NA	NA	NA	NA	0.596578	0.416274	FALSE	FALSE	FALSE	FALSE	FALSE	3
1700049E17Rik2	chr14	41573210	41581304	Other	NA	NA	NA	NA	0.623249	0.405624	FALSE	FALSE	FALSE	FALSE	FALSE	3
1700056E22Rik	chr1	184033029	184034300	Active_Promoter	0.0709907170233782	-0.0399114913154849	-0.312888635212952	0.502689837050593	4.992779	6.174722	FALSE	FALSE	FALSE	FALSE	FALSE	10
1700057G04Rik	chr9	92309376	92357875	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700064H15Rik	chr3	19610367	19628676	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700066B19Rik	chr18	35703224	35730868	Active_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700066M21Rik	chr1	57377619	57385422	Other	NA	NA	NA	NA	1.16472	1.743502	FALSE	FALSE	TRUE	FALSE	FALSE	6
1700067K01Rik	chr8	84001501	84004769	Other	NA	NA	NA	NA	2.269087	3.006158	FALSE	FALSE	FALSE	FALSE	FALSE	9
1700069L16Rik	chr5	113692421	113724771	Other	0.121110206648493	-0.0130530383621942	NA	NA	0.744946	0.669342	FALSE	FALSE	TRUE	FALSE	FALSE	4
1700074P13Rik	chr6	40920436	40940556	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700080O16Rik	chrX	51968694	51972771	Repressed_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700084M14Rik	chrX	91575209	91575910	Other	NA	NA	NA	NA	0.428878	0.225874	FALSE	FALSE	FALSE	FALSE	FALSE	1
1700086D15Rik	chr11	65151909	65159890	Poised_Enhancer	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700088E04Rik	chr15	79129348	79141252	Other	0.0778904181486828	NA	NA	NA	0.825933	0.982215	FALSE	FALSE	TRUE	FALSE	FALSE	4
1700092M07Rik	chr19	8740717	8741224	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700093K21Rik	chr11	23516202	23521154	Other	NA	NA	NA	NA	0.739494	0.626866	FALSE	FALSE	FALSE	FALSE	FALSE	4
1700094D03Rik	chr3	90062795	90068346	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700102P08Rik	chr9	108392804	108410933	Other	-0.0614231364853813	NA	NA	NA	0.627027	0.515434	FALSE	FALSE	FALSE	FALSE	FALSE	3
1700109H08Rik	chr5	3571565	3584355	Other	NA	NA	NA	NA	0.364624	0.251104	FALSE	FALSE	FALSE	FALSE	FALSE	1
1700113H08Rik	chr10	87058044	87230588	Repressed_Promoter	0.649906295166595	NA	-0.0856746458659258	0.202839700112131	0.771292	0.65884	FALSE	FALSE	FALSE	FALSE	FALSE	4
1700123K08Rik	chr5	138561839	138564711	Repressed_Promoter	NA	NA	-0.788947769000349	NA	0.839805	0.501554	FALSE	FALSE	FALSE	FALSE	FALSE	5
1700123L14Rik	chr6	96164496	96166242	Repressed_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700123O20Rik	chr14	54686215	54690740	Active_Promoter	-0.0167988868086832	0.0519290725322973	NA	NA	0.971731	1.306981	FALSE	FALSE	FALSE	FALSE	FALSE	5
1700125H20Rik	chr11	85170403	85181144	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1700129C05Rik	chr14	59133039	59142892	Other	0.02394749601471	-0.811179905689119	2.07139480158365	0.612802331875554	0.736529	0.49637	FALSE	FALSE	FALSE	FALSE	FALSE	4
1810009A15Rik	chr19	8888852	8890880	Other	NA	NA	NA	NA	0.519034	1.069971	FALSE	FALSE	FALSE	FALSE	FALSE	2
1810009J06Rik	chr6	40964753	40968434	Other	NA	NA	NA	NA	0.637865	0.370593	FALSE	FALSE	FALSE	FALSE	FALSE	3
1810010H24Rik	chr11	107025680	107030442	Other	-0.0320303675079771	-0.598138282871293	NA	NA	1.258897	1.851756	FALSE	FALSE	FALSE	FALSE	FALSE	7
1810013L24Rik	chr16	8830099	8858921	Active_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1810020O05Rik	chr6	87675589	87722800	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1810024B03Rik	chr2	127186354	127208279	Other	0.107945671330129	0.0913000208161588	0.0307805195404839	NA	0.308187	0.37055	FALSE	FALSE	FALSE	FALSE	FALSE	1
1810030O07Rik	chrX	12654878	12673667	Other	0.0535475161831942	0.0994915737778363	NA	NA	0.39609	0.336866	FALSE	FALSE	TRUE	FALSE	FALSE	1
1810037I17Rik	chr3	122924202	122926183	Active_Promoter	NA	NA	NA	NA	2.104705	4.382517	FALSE	FALSE	FALSE	FALSE	FALSE	9
1810046K07Rik	chr9	51289685	51328923	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1810055G02Rik	chr19	3708292	3717880	Other	0.0640672892333892	-0.0066705870464987	NA	NA	0.792575	0.861596	FALSE	FALSE	TRUE	FALSE	FALSE	4
1810058I24Rik	chr6	35252653	35263495	Active_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1810062G17Rik	chr3	36475936	36482298	Active_Promoter	0.426607781002328	NA	NA	0.395221009989859	2.878513	4.989123	FALSE	FALSE	FALSE	FALSE	FALSE	10
1810065E05Rik	chr11	58421110	58426023	Other	NA	NA	NA	NA	0.601591	0.367069	FALSE	FALSE	FALSE	FALSE	FALSE	3
2010003K11Rik	chr19	4496787	4498582	Other	0.00195431027853469	-0.362171828108655	NA	NA	2.589713	2.989591	FALSE	FALSE	FALSE	FALSE	FALSE	9
2010106E10Rik	chrX	112495273	112558342	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2010109A12Rik	chr5	93206517	93213474	Active_Promoter	0.0568273948825885	0.00394248124217254	NA	1.23483547187907	0.60457	1.180993	FALSE	FALSE	TRUE	FALSE	FALSE	3
2010300C02Rik	chr1	37611676	37720084	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2200002D01Rik	chr7	29246560	29248465	Other	-0.048507740288421	NA	NA	NA	1.779879	1.445764	FALSE	FALSE	FALSE	FALSE	FALSE	8
2200002J24Rik	chr7	30698925	30700535	Other	NA	NA	NA	NA	0.714946	0.579242	FALSE	FALSE	FALSE	FALSE	FALSE	4
2210010C04Rik	chr6	41030267	41035508	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2210016F16Rik	chr13	58379816	58385224	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2210016L21Rik	chr5	114942157	114949782	Other	0.12375314653641	0.32787106742547	NA	-0.31959763109133	1.250843	1.182741	FALSE	FALSE	TRUE	FALSE	FALSE	7
2210017I01Rik	chr3	92604717	92607491	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2210407C18Rik	chr11	58608203	58616074	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2210408I21Rik	chr13	77135539	77613783	Active_Promoter	0.300827462214555	NA	NA	NA	0.419184	0.432793	FALSE	FALSE	FALSE	FALSE	FALSE	1
2300002M23Rik	chr17	35567449	35568951	Repressed_Promoter	0.0161038395433551	NA	0.193913636537841	NA	2.121419	1.487061	FALSE	FALSE	FALSE	FALSE	FALSE	9
2300003K06Rik	chr11	99836801	99838065	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2300009A05Rik	chr9	63394446	63399245	Active_Promoter	0.126552881111143	0.0471790540834368	0.860290804871475	NA	1.13528	1.111157	FALSE	FALSE	FALSE	FALSE	FALSE	6
2310002L09Rik	chr4	73939370	73950845	Other	NA	NA	NA	NA	0.478449	0.301857	FALSE	FALSE	FALSE	FALSE	FALSE	2
2310003L06Rik	chr5	87969458	87972869	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2310009B15Rik	chr1	138851982	138856851	Repressed_Promoter	0.0356373478353963	NA	-0.0611632292661992	0.495582500026422	4.151163	5.967362	FALSE	FALSE	FALSE	FALSE	FALSE	10
2310011J03Rik	chr10	80318253	80320536	Other	0.0436073261167357	-0.433931307026637	NA	0.173973610391815	1.210305	1.516279	FALSE	FALSE	FALSE	FALSE	FALSE	7
2310022A10Rik	chr7	27553232	27582098	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA
2310022B05Rik	chr8	124635755	124663368	Other	0.111712425571304	-0.52033740494764	NA	-0.107819821367778	1.575151	1.834217	FALSE	FALSE	TRUE	FALSE	FALSE	8
2310030G06Rik	chr9	50739690	50746535	Other	0.0795863041189069	NA	NA	NA	0.787396	1.450139	FALSE	FALSE	TRUE	FALSE	FALSE	4
2310033P09Rik	chr11	59208320	59210737	Other	0.0716037416818449	0.249048717900476	NA	NA	1.070505	0.761717	FALSE	FALSE	FALSE	FALSE	FALSE	6
2310034C09Rik	chr16	88758846	88759791	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2310034G01Rik	chr19	46348200	46350301	Poised_Enhancer	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2310046K23Rik	chr3	92532504	92534510	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2310050C09Rik	chr3	92868358	92870215	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2310057J18Rik	chr10	28972287	28986302	Other	0.705859003536864	NA	NA	0.64603727737411	0.64226	0.41419	FALSE	FALSE	FALSE	FALSE	FALSE	3
2310057M21Rik	chr7	131338219	131362758	Active_Promoter	0.0683215916923079	-0.0303447076484011	NA	NA	0.342331	0.285538	FALSE	FALSE	TRUE	FALSE	FALSE	1
2310057N15Rik	chr16	88773178	88774205	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2310061I04Rik	chr17	35892676	35897430	Other	0.140131222815231	0.224699533220222	NA	NA	0.581051	0.467836	FALSE	FALSE	FALSE	FALSE	FALSE	3
2310061N02Rik	chr16	88707168	88707961	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
2310079G19Rik	chr16	88626785	88627665	Other	NA	NA	NA	NA	1.532069	0.806876	FALSE	FALSE	FALSE	FALSE	FALSE	8
2410002F23Rik	chr7	44246721	44252318	Other	NA	0.299413003052062	NA	NA	0.807936	0.760605	FALSE	FALSE	FALSE	FALSE	FALSE	4
2410004B18Rik	chr3	145938013	145944828	Active_Promoter	0.0524498361556979	NA	NA	NA	0.931214	1.64744	FALSE	FALSE	FALSE	FALSE	FALSE	5
2410004P03Rik	chr12	17003318	17011726	Repressed_Promoter	NA	NA	NA	NA	1.074685	1.03687	FALSE	FALSE	FALSE	FALSE	FALSE	6
2410131K14Rik	chr5	118245226	118266092	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
