gene	mecp2_nearest_fold	mecp2_nearest_fdr	mecp2_peak_chr	mecp2_peak_start	mecp2_peak_end	mecp2_annotation	mc_ctrl	mc_mut	mc_difference	mc_qvalue
Acsbg1	-0.0249	9.21e-01	chr9	54661397	54661797	Promoter	0.7545	0.7491	-0.0054	0.1433
Actbl2	-0.0250	8.97e-01	chr13	111255302	111255702	Promoter	0.8768	0.8774	0.0006	0.8379
Adam28	-0.0596	1.00e+00	chr14	68665715	68666115	Distal Intergenic	0.8256	0.8233	-0.0024	0.6339
Adam30	-0.0494	8.29e-01	chr3	98160641	98161041	Promoter	0.8564	0.8557	-0.0007	0.9973
Adam34	0.0659	1.00e+00	chr8	43698731	43699131	Promoter	0.8538	0.8534	-0.0004	0.8915
Adamts2	-0.0076	9.76e-01	chr11	50776091	50776491	Promoter	0.7270	0.7235	-0.0035	0.0822
Adamts5	0.3972	1.69e-01	chr16	85902148	85902548	Promoter	0.7351	0.7306	-0.0045	0.3301
Adamtsl1	-0.0412	8.48e-01	chr4	85514146	85514546	Promoter	0.7811	0.7824	0.0013	0.1166
Adra1a	-0.0297	9.08e-01	chr14	66636279	66636679	Promoter	0.7517	0.7516	-0.0001	0.9295
Aff2	-0.0719	1.00e+00	chrX	69360374	69360774	Promoter	0.7366	0.7422	0.0056	0.0729
Agtr1b	0.0075	9.80e-01	chr3	20366755	20367155	Promoter	0.8139	0.8123	-0.0016	0.7467
Akain1	-0.0115	9.66e-01	chr17	69439512	69439912	Promoter	0.7258	0.7270	0.0011	0.8718
Alcam	-0.0163	1.00e+00	chr16	52296364	52296764	Promoter	0.7825	0.7826	0.0001	0.8656
Aldoart1	0.0186	9.42e-01	chr4	72851887	72852287	Promoter	0.8408	0.8395	-0.0013	0.9976
Ankrd7	0.0298	8.80e-01	chr6	18907264	18907664	Distal Intergenic	0.8731	0.8669	-0.0061	0.4853
Ano5	0.0315	8.90e-01	chr7	51512313	51512713	Intron (ENSMUST00000043944.5/233246, intron 1 of 21)	0.8239	0.8201	-0.0038	0.1584
Arg1	-0.0297	8.95e-01	chr10	24918651	24919051	Intron (ENSMUST00000020161.9/11846, intron 3 of 7)	0.7754	0.7860	0.0107	0.0916
Asb17	-0.1289	5.60e-01	chr3	153844118	153844518	Promoter	0.8017	0.8002	-0.0015	0.9325
B3gat1	-0.0120	9.60e-01	chr9	26755735	26756135	Promoter	0.7319	0.7219	-0.0100	0.0808
BB014433	0.0546	7.74e-01	chr8	15048070	15048470	Exon (ENSMUST00000209938.1/ENSMUST00000209938.1, exon 2 of 3)	0.6480	0.6512	0.0032	0.8092
Bhlha9	-0.0355	9.17e-01	chr11	76672681	76673081	Promoter	0.3364	0.4259	0.0896	0.1643
Bmp2	-0.0706	7.43e-01	chr2	133552314	133552714	Promoter	0.7861	0.7857	-0.0004	0.9356
Bmper	-0.0032	9.89e-01	chr9	23223079	23223479	Promoter	0.7853	0.7847	-0.0007	0.8005
Bpifa6	-0.0205	9.36e-01	chr2	153973233	153973633	Distal Intergenic	0.7838	0.7906	0.0068	0.3448
Btg1	-0.0022	9.92e-01	chr10	96616638	96617038	Promoter	0.0122	0.0143	0.0021	0.5000
C6	0.0371	1.00e+00	chr15	4781086	4781486	Intron (ENSMUST00000162585.7/12274, intron 8 of 15)	0.8316	0.8338	0.0022	0.5425
Calb1	-0.0855	6.86e-01	chr4	15881749	15882149	Promoter	0.7081	0.7171	0.0090	0.0977
Car3	-0.0402	8.24e-01	chr3	14863433	14863833	Promoter	0.7280	0.7133	-0.0147	0.0900
Casp12	0.1013	7.00e-01	chr9	5418354	5418754	Distal Intergenic	0.8311	0.8330	0.0018	0.7230
Ccdc162	0.0274	9.13e-01	chr10	41553129	41553529	Promoter	0.7304	0.7305	0.0001	0.9928
Ccdc175	0.0298	8.95e-01	chr12	72184561	72184961	Promoter	0.8074	0.8037	-0.0037	0.2701
Cd109	-0.0746	7.29e-01	chr9	78615394	78615794	Promoter	0.8017	0.7996	-0.0021	0.5057
Cd163	0.0550	1.00e+00	chr6	124304806	124305206	Promoter	0.7253	0.7293	0.0040	0.5018
Cd300lg	1.9051	1.65e-08	chr11	102037620	102038020	Distal Intergenic	0.7103	0.7148	0.0045	0.4743
Cd33	-0.0065	9.79e-01	chr7	43532771	43533171	Promoter	0.7561	0.7516	-0.0045	0.5898
Cd40	0.0172	9.41e-01	chr2	165055296	165055696	Promoter	0.6584	0.6616	0.0031	0.6938
Cdh11	0.0076	9.76e-01	chr8	102785322	102785722	Promoter	0.7442	0.7429	-0.0012	0.6412
Cdh20	-0.0136	9.52e-01	chr1	104769185	104769585	Promoter	0.7531	0.7529	-0.0002	0.9160
Cdh26	-0.1543	5.06e-01	chr2	178429042	178429442	Distal Intergenic	0.7166	0.7133	-0.0033	0.4455
Cdh6	-0.0450	8.09e-01	chr15	13173128	13173528	Promoter	0.7881	0.7867	-0.0014	0.4225
Celsr1	0.0061	9.80e-01	chr15	85978632	85979032	Promoter	0.7453	0.7421	-0.0032	0.1003
Ces2b	-0.0405	8.45e-01	chr8	104834611	104835011	3' UTR	0.7891	0.8012	0.0121	0.2864
Ces5a	-0.1976	1.00e+00	chr8	93513986	93514386	Promoter	0.8043	0.8049	0.0006	0.8884
Cfap161	0.0109	9.68e-01	chr7	83794073	83794473	Promoter	0.7231	0.7192	-0.0039	0.6300
Chac1	0.0393	8.22e-01	chr2	119350940	119351340	Promoter	0.6314	0.6277	-0.0037	0.8739
Chd7	-0.0132	9.55e-01	chr4	8854959	8855359	Promoter	0.2376	0.2367	-0.0009	0.6884
Cited2	0.0430	8.14e-01	chr10	17722809	17723209	Promoter	0.0168	0.0170	0.0002	0.8832
Clrn1	0.0006	9.98e-01	chr3	58884799	58885199	Promoter	0.7341	0.7341	0.0000	0.9349
Cmpk2	0.0042	9.88e-01	chr12	26469801	26470201	Promoter	0.7251	0.7226	-0.0026	0.8201
Cngb3	0.0318	1.00e+00	chr4	19332578	19332978	Intron (ENSMUST00000102999.1/30952, intron 3 of 17)	0.8025	0.8015	-0.0010	0.6375
Col11a2	-0.1439	5.52e-01	chr17	34039854	34040254	Promoter	0.7972	0.7961	-0.0011	0.7565
Cpxm2	0.0192	9.38e-01	chr7	132154706	132155106	Promoter	0.7754	0.7729	-0.0024	0.4331
Crisp4	2.1637	2.72e-05	chr1	18167443	18167843	Distal Intergenic	0.7974	0.8012	0.0038	0.5289
Crygs	-0.0162	9.43e-01	chr16	22806789	22807189	Intron (ENSMUST00000040592.5/12970, intron 1 of 2)	0.7148	0.7179	0.0030	0.7159
Csnka2ip	-0.0251	1.00e+00	chr16	64647028	64647428	Distal Intergenic	0.8354	0.8312	-0.0042	0.0500
Cstl1	-0.0647	7.47e-01	chr2	148750318	148750718	Promoter	0.5201	0.5193	-0.0008	0.9454
Cylc2	0.1062	1.00e+00	chr4	51228584	51228984	Exon (ENSMUST00000156384.3/74914, exon 4 of 8)	0.8173	0.8159	-0.0014	0.8596
Cyp2j5	0.0043	9.87e-01	chr4	96696424	96696824	Distal Intergenic	0.8225	0.8173	-0.0052	0.3300
Cypt12	1.7811	3.20e-05	chr3	17898732	17899132	Distal Intergenic	0.9022	0.9083	0.0061	0.7875
Cyyr1	-0.0078	9.77e-01	chr16	85549911	85550311	Promoter	0.7933	0.7972	0.0039	0.1128
D1Pas1	-0.0237	9.12e-01	chr1	186967784	186968184	Promoter	0.9386	0.9374	-0.0012	0.7340
Dapp1	-0.0105	9.68e-01	chr3	137981201	137981601	Promoter	0.7259	0.7248	-0.0011	0.5928
Defb41	1.6274	4.84e-03	chr1	18293862	18294262	Distal Intergenic	0.8963	0.8886	-0.0077	0.2034
Dio1	-0.0301	8.40e-01	chr4	107307023	107307423	Promoter	0.7687	0.7675	-0.0012	0.7898
Disc1	-0.0499	8.46e-01	chr8	125054131	125054531	Promoter	0.6823	0.6810	-0.0013	0.5883
Dkk2	-0.0096	9.80e-01	chr3	132085983	132086383	Promoter	0.7486	0.7449	-0.0037	0.1590
Dmac1	-0.0168	9.41e-01	chr4	75278116	75278516	Promoter	0.0607	0.0643	0.0035	0.9311
Dmd	-0.0898	6.76e-01	chrX	84076425	84076825	Promoter	0.7694	0.7733	0.0038	0.0678
Dmrt2	0.0848	6.73e-01	chr19	25672272	25672672	Promoter	0.3338	0.3365	0.0027	0.7999
Dnah5	-0.0042	9.89e-01	chr15	28201521	28201921	Distal Intergenic	0.7954	0.7964	0.0010	0.5227
Dsc3	-0.0385	8.66e-01	chr18	20001611	20002011	Promoter	0.8068	0.8053	-0.0015	0.7346
Dsg1c	0.0025	9.94e-01	chr18	20228443	20228843	Distal Intergenic	0.8538	0.8445	-0.0092	0.0678
Dsg2	0.0183	9.20e-01	chr18	20556448	20556848	Distal Intergenic	0.7209	0.7252	0.0043	0.2488
Dusp14	0.0255	8.97e-01	chr11	84068107	84068507	Promoter	0.4508	0.4580	0.0072	0.3007
E030018B13Rik	0.0325	8.84e-01	chr7	63918246	63918646	Intron (ENSMUST00000177638.1/381994, intron 1 of 2)	0.2093	0.2344	0.0251	0.1579
E130114P18Rik	-0.0352	8.72e-01	chr4	97690734	97691134	Promoter	0.6281	0.6278	-0.0003	0.9779
Efcab5	-0.0183	9.42e-01	chr11	77102853	77103253	Promoter	0.7955	0.7946	-0.0010	0.7740
Efcab8	0.0227	9.21e-01	chr2	153778783	153779183	Promoter	0.7555	0.7588	0.0033	0.3226
Egr4	0.0028	9.91e-01	chr6	85512081	85512481	Exon (ENSMUST00000095759.4/13656, exon 2 of 2)	0.3825	0.3886	0.0061	0.7102
Eif4e3	-0.0451	8.22e-01	chr6	99666485	99666885	Promoter	0.6090	0.6071	-0.0019	0.7353
En2	-0.0038	9.86e-01	chr5	28165354	28165754	Promoter	0.0155	0.0129	-0.0026	0.4205
Enkur	-0.0063	9.82e-01	chr2	21194190	21194590	Exon (ENSMUST00000027992.2/71233, exon 3 of 5)	0.6865	0.6916	0.0052	0.4744
Eno1	-0.0032	9.88e-01	chr4	150236932	150237332	Promoter	0.4498	0.4604	0.0105	0.1916
Eno1b	-1.1424	2.92e-02	chr18	48046626	48047026	5' UTR	0.9129	0.9250	0.0121	0.2302
Enpp7	-0.0947	5.88e-01	chr11	118990520	118990920	Exon (ENSMUST00000092373.12/238011, exon 3 of 6)	0.8152	0.8319	0.0167	0.0502
Enthd1	0.0094	9.67e-01	chr15	80560549	80560949	Promoter	0.7360	0.7321	-0.0039	0.1392
Erg	-0.0262	9.00e-01	chr16	95585350	95585750	Promoter	0.7742	0.7737	-0.0005	0.8039
Eya1	0.0097	9.70e-01	chr1	14309723	14310123	Promoter	0.7584	0.7582	-0.0002	0.9152
F13a1	-0.0097	9.71e-01	chr13	37049153	37049553	Promoter	0.8010	0.8003	-0.0007	0.7773
F3	-0.0208	9.19e-01	chr3	121723383	121723783	Promoter	0.7354	0.7363	0.0009	0.9312
Fam114a2	-0.2331	3.50e-01	chr11	57518382	57518782	Promoter	0.7711	0.7741	0.0031	0.4464
Fam149a	-0.0341	8.74e-01	chr8	45358412	45358812	Promoter	0.8048	0.8007	-0.0042	0.1812
Fam169a	-0.0521	7.94e-01	chr13	97069870	97070270	Intron (ENSMUST00000169863.8/320557, intron 1 of 12)	0.8009	0.8042	0.0033	0.2402
Fam216b	-0.0317	8.78e-01	chr14	78087571	78087971	Intron (ENSMUST00000174283.1/ENSMUST00000174283.1, intron 1 of 1)	0.8091	0.7945	-0.0146	0.0918
Fam241b	-0.0331	8.83e-01	chr10	62110699	62111099	Promoter	0.4940	0.4947	0.0007	0.8510
Fam43a	-0.0824	6.90e-01	chr16	30600233	30600633	Promoter	0.2848	0.3118	0.0269	0.1891
Fau	0.0600	7.75e-01	chr16	76403245	76403645	Promoter	0.2735	0.3178	0.0442	0.0861
Fbxo15	-0.0485	8.51e-01	chr18	84959931	84960331	Promoter	0.7316	0.7383	0.0067	0.0976
Fgf13	-0.0239	9.27e-01	chrX	59133966	59134366	Promoter	0.7255	0.7241	-0.0014	0.1018
Fgf20	0.0280	8.90e-01	chr8	40308111	40308511	Promoter	0.6444	0.6357	-0.0087	0.1157
Fggy	-0.0289	8.98e-01	chr4	95585063	95585463	Promoter	0.7856	0.7848	-0.0008	0.6585
Fgr	0.1871	1.00e+00	chr4	132977157	132977557	Promoter	0.6954	0.7052	0.0098	0.0802
Fhl5	-0.0148	1.00e+00	chr4	25242896	25243296	Promoter	0.7861	0.7896	0.0035	0.4922
Fmo9	0.0685	7.77e-01	chr1	166679646	166680046	Intron (ENSMUST00000027843.10/240894, intron 3 of 9)	0.8531	0.8567	0.0036	0.4753
Fmod	0.0465	7.92e-01	chr1	134038265	134038665	Promoter	0.7459	0.7461	0.0003	0.9717
Fmr1	-0.1201	1.00e+00	chrX	68678684	68679084	Promoter	0.6691	0.6811	0.0120	0.1690
Fnbp1l	0.0358	8.90e-01	chr3	122619392	122619792	Promoter	0.7858	0.7870	0.0012	0.7039
Fos	-0.1037	5.88e-01	chr12	85473510	85473910	Promoter	0.3442	0.3418	-0.0024	0.8399
Frem1	1.0163	2.10e-03	chr4	82940443	82940843	Promoter	0.7506	0.7519	0.0014	0.5364
Frem2	0.0113	1.00e+00	chr3	53653014	53653414	Promoter	0.7446	0.7463	0.0017	0.3246
Frk	-0.0022	1.00e+00	chr10	34511165	34511565	Intron (ENSMUST00000019913.14/14302, intron 2 of 8)	0.8169	0.8135	-0.0034	0.2089
Frmd4b	-0.0577	8.18e-01	chr6	97431394	97431794	Promoter	0.7255	0.7235	-0.0020	0.1517
Frmd5	-0.0385	8.65e-01	chr2	121551125	121551525	Promoter	0.6993	0.6984	-0.0009	0.5297
Frzb	0.0046	9.87e-01	chr2	80446977	80447377	Promoter	0.7455	0.7510	0.0055	0.1376
Fscb	0.0029	9.93e-01	chr12	64473188	64473588	Exon (ENSMUST00000059833.7/623046, exon 1 of 1)	0.8793	0.8600	-0.0193	0.2406
Fsip2	-0.0014	9.97e-01	chr2	82943515	82943915	Promoter	0.8657	0.8641	-0.0015	0.7166
Ftmt	0.0037	9.89e-01	chr18	52331638	52332038	Promoter	0.9303	0.9157	-0.0146	0.1643
Fzd1	0.0081	9.65e-01	chr5	4757827	4758227	Promoter	0.3850	0.3892	0.0041	0.7898
Gadd45g	0.0043	9.86e-01	chr13	51847013	51847413	Promoter	0.0387	0.0266	-0.0121	0.2582
Gal3st2	0.0170	1.00e+00	chr1	93853456	93853856	Distal Intergenic	0.7415	0.7399	-0.0016	0.8701
Gbe1	-0.0009	9.97e-01	chr16	70314012	70314412	Promoter	0.8393	0.8400	0.0007	0.6561
Glra2	0.7933	4.76e-02	chrX	165329424	165329824	Distal Intergenic	0.7381	0.7362	-0.0019	0.2961
Gm16223	-0.0518	8.18e-01	chr5	42068080	42068480	Promoter	0.8067	0.8036	-0.0030	0.2774
Gm4791	-0.0747	7.57e-01	chr9	46998588	46998988	Promoter	0.8245	0.8126	-0.0119	0.2718
Gm4792	-0.0256	9.03e-01	chr10	94298694	94299094	Promoter	0.6579	0.6796	0.0217	0.0844
Gm4894	-0.0277	9.15e-01	chr9	49262536	49262936	Intron (ENSMUST00000216428.1/235327, intron 1 of 3)	0.7712	0.7677	-0.0035	0.5801
Gm6812	-0.1124	1.00e+00	chrX	68892052	68892452	Promoter	0.8639	0.8358	-0.0281	0.3847
Gm7361	0.0318	1.00e+00	chr5	26258866	26259266	Exon (ENSMUST00000074148.6/664837, exon 2 of 5)	0.8188	0.8283	0.0096	0.4922
Grap2	0.0485	8.17e-01	chr15	80572247	80572647	Promoter	0.7004	0.6967	-0.0038	0.1655
Gtdc1	-0.0383	8.57e-01	chr2	44927131	44927531	Promoter	0.7931	0.7910	-0.0021	0.2353
Gucy1a1	-0.0207	9.14e-01	chr3	82145396	82145796	Promoter	0.8016	0.7994	-0.0023	0.6884
Gucy2d	0.0266	9.17e-01	chr7	98443265	98443665	Promoter	0.7279	0.7365	0.0086	0.2248
Gzmd	2.2839	4.08e-09	chr14	56131251	56131651	Promoter	0.7753	0.7860	0.0107	0.5504
Gzmg	1.6255	1.30e-04	chr14	56159764	56160164	Promoter	0.8654	0.8621	-0.0033	0.8704
H2al1j	0.6356	9.07e-02	chrX	11329736	11330136	Distal Intergenic	0.8833	0.8824	-0.0009	0.5560
H2al1n	0.0337	1.00e+00	chrX	14259077	14259477	Distal Intergenic	0.8582	0.8606	0.0024	0.8508
H60c	0.0720	7.41e-01	chr10	3304508	3304908	Distal Intergenic	0.6824	0.6757	-0.0067	0.6070
Hal	0.0206	9.25e-01	chr10	93489012	93489412	Promoter	0.7685	0.7692	0.0007	0.8709
Hhip	-0.0077	9.79e-01	chr8	80057399	80057799	Promoter	0.7309	0.7293	-0.0016	0.7107
Hk2	0.0891	6.79e-01	chr6	82773903	82774303	Promoter	0.6996	0.6962	-0.0035	0.3669
Hrh2	-0.0089	9.72e-01	chr13	54192321	54192721	Promoter	0.6938	0.7008	0.0070	0.1301
Hrh4	-0.0004	9.99e-01	chr18	13022189	13022589	3' UTR	0.8203	0.8111	-0.0092	0.0745
Hs3st5	-0.0793	6.95e-01	chr10	36506701	36507101	Promoter	0.7657	0.7679	0.0022	0.2082
Hsfy2	-0.0372	1.00e+00	chr1	56639227	56639627	Distal Intergenic	0.8548	0.8683	0.0135	0.3658
Icos	0.5674	1.28e-01	chr1	60993460	60993860	Exon (ENSMUST00000027162.11/54167, exon 2 of 4)	0.7447	0.7558	0.0111	0.3578
Ids	-0.2207	1.00e+00	chrX	70370953	70371353	Distal Intergenic	0.6977	0.7053	0.0076	0.4426
Il10	0.8630	3.05e-02	chr1	131022065	131022465	Intron (ENSMUST00000016673.5/16153, intron 3 of 4)	0.6821	0.6884	0.0063	0.6338
Il7	-0.0038	9.88e-01	chr3	7612937	7613337	Promoter	0.8054	0.8022	-0.0031	0.4702
Iqub	0.0772	1.00e+00	chr6	24478484	24478884	Intron (ENSMUST00000052277.4/214704, intron 8 of 12)	0.7868	0.7930	0.0062	0.0670
Irf2bp2	-0.0540	7.50e-01	chr8	126594430	126594830	Promoter	0.0076	0.0119	0.0043	0.2095
Irx2	0.2082	3.80e-01	chr13	72632555	72632955	Promoter	0.3285	0.3076	-0.0209	0.0572
Ism2	0.8377	3.47e-02	chr12	87286754	87287154	Promoter	0.7711	0.7628	-0.0083	0.2266
Itpr2	-0.0215	9.25e-01	chr6	146501963	146502363	Promoter	0.7553	0.7541	-0.0012	0.3119
Iyd	0.0082	9.71e-01	chr10	3536142	3536542	Distal Intergenic	0.6878	0.6910	0.0032	0.7915
Kcna5	-0.0405	8.68e-01	chr6	126534407	126534807	Promoter	0.5478	0.5401	-0.0077	0.5956
Kcnh7	-0.1251	5.89e-01	chr2	63184024	63184424	Promoter	0.8188	0.8191	0.0003	0.7362
Kcnip1	0.0263	8.93e-01	chr11	33993065	33993465	Promoter	0.7217	0.7227	0.0010	0.4745
Kcnj3	-0.0131	9.52e-01	chr2	55435698	55436098	Promoter	0.5345	0.5398	0.0052	0.1330
Kcnk2	-0.3154	2.74e-01	chr1	189243076	189243476	Promoter	0.7485	0.7480	-0.0005	0.9197
Kcnk9	-0.0039	9.86e-01	chr15	72545497	72545897	Promoter	0.5630	0.5612	-0.0018	0.7390
Kcnq3	-0.1537	5.19e-01	chr15	66286050	66286450	Promoter	0.7464	0.7496	0.0032	0.0711
Kcnv1	-0.0125	9.59e-01	chr15	45114618	45115018	Promoter	0.7925	0.7985	0.0060	0.7481
Kctd16	-0.4817	1.64e-01	chr18	40258555	40258955	Promoter	0.7907	0.7881	-0.0027	0.1767
Klf4	0.0635	7.53e-01	chr4	55531053	55531453	Promoter	0.6738	0.6636	-0.0102	0.5286
Klf6	0.0425	7.65e-01	chr13	5861162	5861562	Promoter	0.3072	0.3178	0.0106	0.2843
Klhl5	0.0568	8.11e-01	chr5	65132256	65132656	Promoter	0.7560	0.7616	0.0056	0.0684
Krtap16-1	0.0091	9.63e-01	chr11	99985536	99985936	Promoter	0.3246	0.3168	-0.0078	0.9074
Krtap17-1	1.1025	1.53e-02	chr11	99995823	99996223	Distal Intergenic	0.6142	0.6042	-0.0100	0.7882
L1td1	-0.0043	9.82e-01	chr4	98726258	98727057	Promoter	0.7816	0.7740	-0.0077	0.2062
L3mbtl4	0.0786	6.64e-01	chr17	68764155	68764555	Promoter	0.7952	0.7959	0.0008	0.5458
Lama3	-0.0361	8.63e-01	chr18	12333503	12333903	Promoter	0.7603	0.7631	0.0029	0.0866
Lamc1	-0.2637	3.25e-01	chr1	153332543	153332943	Promoter	0.7324	0.7320	-0.0004	0.8551
Lamp5	0.9140	3.04e-02	chr2	136052952	136053352	Promoter	0.6720	0.6660	-0.0060	0.4114
Ldoc1	-0.0631	8.06e-01	chrX	61709306	61709706	Promoter	0.4807	0.4931	0.0124	0.8848
Lgsn	2.0265	1.84e-06	chr1	31176652	31177052	Promoter	0.7766	0.7716	-0.0050	0.2906
Lhfpl3	-0.0098	9.61e-01	chr5	22745028	22745428	Promoter	0.7685	0.7674	-0.0011	0.4904
Lnx1	0.0193	9.29e-01	chr5	74677837	74678237	Promoter	0.7462	0.7485	0.0023	0.3957
Lsp1	-0.0529	7.87e-01	chr7	142474657	142475057	Promoter	0.7349	0.7260	-0.0089	0.2160
Lum	0.4758	1.71e-01	chr10	97567142	97567542	Intron (ENSMUST00000038160.5/17022, intron 1 of 2)	0.7629	0.7758	0.0129	0.1440
Lyplal1	0.0258	8.86e-01	chr1	186116913	186117313	Promoter	0.8231	0.8236	0.0005	0.8962
Lzts1	-0.0595	7.73e-01	chr8	69183970	69184370	Promoter	0.5756	0.5811	0.0055	0.2084
Mbnl3	-0.0606	8.49e-01	chrX	51205625	51206025	Promoter	0.7805	0.7782	-0.0022	0.4169
Mboat1	0.0656	7.54e-01	chr13	30136383	30136783	Promoter	0.7956	0.7975	0.0019	0.3939
Mc2r	0.0101	9.72e-01	chr18	68407575	68407975	Exon (ENSMUST00000052347.7/17200, exon 3 of 3)	0.8437	0.8419	-0.0018	0.6286
Mctp2	-0.0106	9.68e-01	chr7	72306174	72306574	Promoter	0.7825	0.7809	-0.0016	0.4589
Mdga2	-0.2204	4.13e-01	chr12	67223150	67223550	Promoter	0.8206	0.8190	-0.0016	0.0883
Mettl21e	0.7872	7.13e-02	chr1	44218750	44219150	Promoter	0.8340	0.8339	-0.0001	0.9905
Mgst2	-0.0539	8.01e-01	chr3	51660171	51660571	Promoter	0.7632	0.7636	0.0004	0.9480
Minar1	-0.0586	7.56e-01	chr9	89622777	89623177	Promoter	0.6356	0.6389	0.0033	0.6699
Mis18a	-0.0204	9.18e-01	chr16	90727211	90727611	Promoter	0.8278	0.8284	0.0006	0.9998
Mras	0.0394	8.52e-01	chr9	99394665	99395065	Promoter	0.6102	0.6074	-0.0028	0.4370
Mrc1	-0.0135	9.64e-01	chr2	14229150	14229550	Promoter	0.8072	0.8108	0.0035	0.2671
Mroh5	-0.0183	9.34e-01	chr15	73839700	73840100	Promoter	0.7450	0.7446	-0.0005	0.9467
Mstn	1.0513	7.48e-04	chr1	53060360	53060760	Promoter	0.7133	0.7312	0.0179	0.0512
Mtus1	0.0184	9.38e-01	chr8	41041795	41042195	Promoter	0.5321	0.5328	0.0007	0.8616
Myo3b	0.1793	1.00e+00	chr2	70038639	70039039	Promoter	0.7449	0.7426	-0.0023	0.1068
Myom2	0.2022	3.94e-01	chr8	15058658	15059058	Promoter	0.7629	0.7670	0.0041	0.1886
N4bp1	-0.0761	7.60e-01	chr8	86884775	86885175	Promoter	0.5505	0.5572	0.0067	0.0912
Nat3	-0.0318	8.95e-01	chr8	67523964	67524364	Promoter	0.8020	0.8002	-0.0018	0.9253
Ncam1	0.0363	8.76e-01	chr9	49542132	49542532	Promoter	0.5021	0.5044	0.0023	0.3356
Ncam2	0.1042	5.96e-01	chr16	81199464	81199864	Promoter	0.7655	0.7655	-0.0000	0.9078
Ncor2	-0.0488	7.53e-01	chr5	125026896	125027296	Promoter	0.4696	0.4737	0.0041	0.1017
Ndrg1	-0.0970	6.45e-01	chr15	66969552	66969952	Promoter	0.6896	0.6806	-0.0090	0.0962
Nebl	-0.0230	9.09e-01	chr2	17731130	17731530	Promoter	0.7366	0.7348	-0.0018	0.2348
Nectin3	-0.0403	8.36e-01	chr16	46496139	46496539	Promoter	0.6283	0.6266	-0.0017	0.6668
Nefl	-0.0114	9.63e-01	chr14	68084195	68084595	Promoter	0.7156	0.6917	-0.0240	0.0846
Nefm	0.0038	9.88e-01	chr14	68124391	68124791	Promoter	0.7123	0.7077	-0.0046	0.3537
Neurod2	-0.8461	3.65e-02	chr11	98329896	98330296	Promoter	0.0330	0.0303	-0.0026	0.6444
Nfic	0.0171	9.53e-01	chr10	81430912	81431312	Promoter	0.3428	0.3486	0.0057	0.2150
Nfkbia	-0.0156	9.41e-01	chr12	55492291	55492691	Promoter	0.4541	0.4810	0.0269	0.1292
Npffr2	-0.0847	6.64e-01	chr5	89526928	89527328	Promoter	0.7986	0.7997	0.0011	0.7699
Ntng2	-0.7004	3.80e-02	chr2	29248924	29249324	Promoter	0.5721	0.5790	0.0069	0.1193
Nucb2	-0.0106	9.56e-01	chr7	116504176	116504576	Promoter	0.8506	0.8520	0.0014	0.6598
Nxph1	-0.1015	6.50e-01	chr6	8948776	8949176	Promoter	0.7309	0.7345	0.0036	0.0531
Olfm4	-0.0159	9.49e-01	chr14	80000213	80000613	Promoter	0.7779	0.7735	-0.0044	0.4174
