gene	chr	start	end	chg_mc_difference	chg_mc_qvalue	chg_mc_direction	in_cg_hmc
Xntrpc	chr7	102065712	102096863	-0.000428372356867337	5.23745365793958e-10	Hypomethylated	FALSE
Olfr65	chr7	103903486	103908649	-0.000794376406682152	0.00159154218542905	Hypomethylated	FALSE
Olfr714	chr7	107070980	107077801	-0.000408088545890796	0.00743616507670889	Hypomethylated	FALSE
Nlrp14	chr7	107166989	107198101	-0.00020064659210223	0.00257953962241234	Hypomethylated	FALSE
Olfml1	chr7	107567445	107591093	-0.000338708634235215	1.06230453240788e-06	Hypomethylated	TRUE
Folh1	chr7	86718976	86775942	-0.00014808329751892	0.000540301711503147	Hypomethylated	FALSE
Ccdc83	chr7	90223872	90265776	-0.000138457750272213	0.00992380562166708	Hypomethylated	FALSE
Aqp11	chr7	97724005	97738288	-0.000602900460088778	8.60262902945273e-05	Hypomethylated	TRUE
Capn5	chr7	98121558	98178273	-0.000424634598941039	9.59945927146058e-16	Hypomethylated	TRUE
Dgat2	chr7	99153657	99182718	-0.000407158094963194	1.5870619423199e-06	Hypomethylated	TRUE
Neu3	chr7	99811438	99828416	-0.000929380276215092	3.20389580575947e-10	Hypomethylated	FALSE
Plekhb1	chr7	100642891	100662413	-0.00047098351810455	1.9823753657428e-06	Hypomethylated	TRUE
P2ry6	chr7	100937629	100974648	-0.000275654311589047	1.22007666819905e-05	Hypomethylated	FALSE
P2ry2	chr7	100996567	101012865	-0.000455991992414086	0.000100968720728713	Hypomethylated	FALSE
Folr2	chr7	101839987	101857193	-0.000279602614365753	0.0026753211676121	Hypomethylated	FALSE
Lrrc51	chr7	101912983	101933894	-0.000145751114566353	0.0213928129527377	Hypomethylated	TRUE
Olfr551	chr7	102583509	102591885	-0.000340800127557888	0.0298198142322071	Hypomethylated	FALSE
Olfr571	chr7	102905089	102917535	-0.000283765925176104	0.00107418790092458	Hypomethylated	TRUE
Olfr575	chr7	102952269	102958774	-0.000385210096780292	0.00965574717664616	Hypomethylated	FALSE
Olfr609	chr7	103490024	103498061	-0.000857611757525708	4.72499524118762e-05	Hypomethylated	FALSE
Olfr610	chr7	103505374	103512121	-0.000469379391246821	0.0399026362949799	Hypomethylated	FALSE
Olfr612	chr7	103537221	103542716	-0.000812204064000896	0.0492897434915982	Hypomethylated	FALSE
Olfr69	chr7	103765804	103771593	-0.000650606312646927	0.0160626721047881	Hypomethylated	FALSE
Olfr67	chr7	103784593	103791820	-0.00100328212000478	0.00043363528322621	Hypomethylated	FALSE
Trim30b	chr7	104355381	104369883	-0.000487182163715523	5.30468614694438e-05	Hypomethylated	FALSE
Trim30c	chr7	104382064	104400836	-0.000225609394982292	0.00235301172062786	Hypomethylated	FALSE
Trim30d	chr7	104470013	104507848	-0.000347180905836982	1.81984801119921e-10	Hypomethylated	FALSE
Zmat4	chr8	23636018	24156584	-1.0400661970415e-05	5.68608258078512e-08	Hypomethylated	TRUE
Purg	chr8	33386324	33417466	0.000956071280144526	5.12440091488882e-47	Hypermethylated	TRUE
Asb5	chr8	54529579	54587874	0.000161888255179909	8.32139506765558e-10	Hypermethylated	FALSE
Hpgd	chr8	56294584	56321042	0.00037347629628557	5.58892104957693e-10	Hypermethylated	FALSE
Scrg1	chr8	57455922	57477584	0.000293150442442108	5.96017452138097e-07	Hypermethylated	FALSE
Nek1	chr8	60993194	61131345	1.30236797853513e-05	0.0320585603984954	Hypermethylated	TRUE
Naf1	chr8	66860216	66890563	0.000541304367987856	3.55321351249817e-13	Hypermethylated	TRUE
Nat3	chr8	67523853	67548626	7.93047186005685e-05	0.0137960743677368	Hypermethylated	TRUE
D130040H23Rik	chr8	69271079	69314206	0.000555051508986055	3.57418436433284e-34	Hypermethylated	TRUE
Zfp964	chr8	69654478	69666981	0.000150322037207375	0.0292285854641628	Hypermethylated	TRUE
Sugp1	chr8	70042812	70072346	0.00037843372476715	1.17854022847488e-13	Hypermethylated	TRUE
Tm6sf2	chr8	70072923	70080065	0.000661459400719392	6.04009320048956e-05	Hypermethylated	FALSE
Borcs8	chr8	70139498	70147318	0.00062340360082403	0.000114194538805155	Hypermethylated	TRUE
Mef2b	chr8	70139710	70167487	0.00033777552751447	1.65650854558061e-08	Hypermethylated	TRUE
Homer3	chr8	70282826	70294360	0.000529414818798251	0.000408080748499975	Hypermethylated	FALSE
Cope	chr8	70302517	70312992	0.000369984526462838	0.00746174876582879	Hypermethylated	TRUE
Myo9b	chr8	71272713	71360712	0.000213515525503429	3.8821773624911e-16	Hypermethylated	TRUE
Babam1	chr8	71396860	71404618	0.000513380562710264	0.00755343320480064	Hypermethylated	TRUE
Mvb12a	chr8	71542921	71548084	0.000830550938589594	0.00297878292017794	Hypermethylated	FALSE
Colgalt1	chr8	71610997	71624910	0.000619865656560283	1.36867293052921e-06	Hypermethylated	TRUE
Zfp617	chr8	71908634	71934628	0.000196702720492948	3.12579161837463e-05	Hypermethylated	TRUE
Adam32	chr8	24836139	24948803	-2.29610886848977e-05	0.00371345178416054	Hypomethylated	FALSE
Cldn23	chr8	35824711	35826558	0.00215688420179188	0.00460949210452617	Hypermethylated	FALSE
Fgf20	chr8	40279165	40308330	0.000810611810821734	1.10622321969688e-34	Hypermethylated	TRUE
Cnot7	chr8	40492539	40515846	0.000677738960610615	1.11951547729203e-23	Hypermethylated	TRUE
Mtus1	chr8	40990913	41133725	0.00123712724020553	8.4180797375695e-268	Hypermethylated	TRUE
Asah1	chr8	41340196	41374772	0.000838777658725468	1.54062380784432e-42	Hypermethylated	TRUE
Frg1	chr8	41397458	41417073	0.00171192061734913	1.52546583800027e-51	Hypermethylated	TRUE
Trappc11	chr8	47490114	47533469	0.000251354630354989	3.13211696242612e-11	Hypermethylated	TRUE
Adam29	chr8	55870911	55906947	0.000189783519715971	3.81593107728344e-08	Hypermethylated	FALSE
Msmo1	chr8	64718138	64733791	0.000601572329185853	2.79072057285816e-09	Hypermethylated	TRUE
Smim31	chr8	65085612	65129562	0.000135181916885761	2.91664594184531e-07	Hypermethylated	FALSE
Tma16	chr8	66473117	66486529	0.00029659274938852	9.75634069181289e-05	Hypermethylated	TRUE
Slc18a1	chr8	69037710	69089234	0.000217956196611623	9.56805433149423e-15	Hypermethylated	TRUE
Lzts1	chr8	69132668	69184224	0.00046170660545677	2.16970090775916e-29	Hypermethylated	FALSE
Gm9495	chr8	69427979	69453564	0.000362473742290405	2.6979017859327e-05	Hypermethylated	FALSE
Zfp963	chr8	69741638	69749969	0.000491258828655675	2.52941198612559e-05	Hypermethylated	FALSE
Gm20422	chr8	69742861	69774885	0.000666235840694289	1.61342661459741e-30	Hypermethylated	TRUE
Zfp866	chr8	69761325	69791177	0.000305058330324987	2.38563114517246e-10	Hypermethylated	TRUE
Gatad2a	chr8	69907075	69996383	0.000186484059470474	4.78658877580835e-18	Hypermethylated	TRUE
Rfxank	chr8	70130793	70139153	0.000752611596117733	1.05572761877734e-05	Hypermethylated	TRUE
Slc25a42	chr8	70184339	70212304	0.00028979334825725	2.15335155015202e-08	Hypermethylated	TRUE
Ddx49	chr8	70292865	70302488	0.000520179083392253	0.00444266524159059	Hypermethylated	TRUE
Pgpep1	chr8	70646434	70660387	0.000392155112000021	6.64899971995489e-05	Hypermethylated	TRUE
Kcnn1	chr8	70842048	70863257	0.000342836594460823	6.97556486236963e-05	Hypermethylated	FALSE
Ccdc124	chr8	70868226	70873934	0.0012173419023104	1.14396900315105e-05	Hypermethylated	FALSE
Slc5a5	chr8	70882888	70892756	0.00048274320537062	0.00390226411189052	Hypermethylated	FALSE
Haus8	chr8	71248560	71272933	0.000414708573141523	2.12405450317852e-09	Hypermethylated	TRUE
B3gnt3	chr8	71690755	71701788	0.000609569275638647	7.14261649452275e-06	Hypermethylated	FALSE
Fcho1	chr8	71708386	71725715	0.000178142886857648	0.0272517530498576	Hypermethylated	TRUE
Mei4	chr9	81863669	82206006	-7.90339873803854e-05	1.81430399015389e-14	Hypomethylated	FALSE
Ttk	chr9	83834688	83872388	-0.000134904723866382	0.00153547787704168	Hypomethylated	FALSE
Slc9a9	chr9	94669908	95230444	-1.34609118359943e-05	0.00165215701973654	Hypomethylated	TRUE
Me1	chr9	86581370	86695952	-5.03632700565232e-05	0.013527066048872	Hypomethylated	FALSE
Cbr1	chr16	93605852	93610504	-0.00042835601070313	0.0376468055229587	Hypomethylated	FALSE
Gm49948	chr16	96361793	96525579	-4.86989005704047e-05	2.8328203407747e-10	Hypomethylated	TRUE
Tmprss2	chr16	97564681	97611194	-0.000124596653821382	1.0216932341894e-06	Hypomethylated	TRUE
Taf4b	chr18	14783244	14900358	2.43145136595732e-05	0.0208205134482545	Hypermethylated	TRUE
