human_gene	mouse_gene	field_direction	prom_mc_diff	prom_mc_q	prom_mc_sig	prom_mc_dir	prom_hmc_diff	prom_hmc_q	prom_concordance
GEM	Gem	Hypomethylated	-0.00694206444039768	0.53932479875024	FALSE	Hypomethylated	-0.0172444408370831	0.320459977216299	Non-significant
GFRA2	Gfra2	Hypomethylated	NA	NA	NA	NA	NA	NA	Not in data
IDO1	Ido1	Hypomethylated	-0.0309200603516873	0.265059267913156	FALSE	Hypomethylated	0.0122388344919536	0.800218280323992	Non-significant
IL7	Il7	Hypomethylated	0.0297983503712337	0.54323326500171	FALSE	Hypermethylated	-0.0196559406976224	0.845332328914143	Non-significant
JPH1	Jph1	Hypomethylated	0.0692258517947527	0.480703770166391	FALSE	Hypermethylated	0.104040790158641	0.505272124678664	Non-significant
KCNK9	Kcnk9	Hypomethylated	0.000536261491317671	0.951407577669306	FALSE	Hypermethylated	-0.00242718446601942	0.993931660477818	Non-significant
KCNS2	Kcns2	Hypomethylated	0.00065195633795917	0.987964181346055	FALSE	Hypermethylated	-0.0194505375910493	0.816712235869266	Non-significant
KHDRBS3	Khdrbs3	Hypomethylated	0.000193717248351037	0.966000439198783	FALSE	Hypermethylated	-0.00440537449783132	0.964038691509208	Non-significant
KIAA0196	Washc5	Hypomethylated	0.0106403375349394	0.637000437047269	FALSE	Hypermethylated	-0.00347927703136326	0.958904982261463	Non-significant
LOXL2	Loxl2	Hypomethylated	NA	NA	NA	NA	NA	NA	Not in data
LRP12	Lrp12	Hypomethylated	0.0054051504471858	0.867100501881868	FALSE	Hypermethylated	-0.00126104013817285	0.988857606779115	Non-significant
LRRC69	Lrrc69	Hypomethylated	0.0138326920784705	0.684803235089263	FALSE	Hypermethylated	-0.0253778324491157	0.25606506725619	Non-significant
LYN	Lyn	Hypomethylated	0.136713140195227	5.93506152332892e-12	TRUE	Hypermethylated	0.103881676835526	9.14155651549576e-06	Discordant
MMP16	Mmp16	Hypomethylated	0.0122227380064381	0.951661141537034	FALSE	Hypermethylated	-0.0556500561075063	0.382450564402516	Non-significant
MRPS28	Mrps28	Hypomethylated	0.023210773208698	0.742709838581273	FALSE	Hypermethylated	-0.0264066287952813	0.572930140917868	Non-significant
MTDH	Mtdh	Hypomethylated	0.0168522452762397	0.0878713886688539	FALSE	Hypermethylated	0.0113193136364955	0.527157614516965	Non-significant
OSR2	Osr2	Hypomethylated	-0.0139086422598319	0.29593393660139	FALSE	Hypomethylated	-0.00212455209577684	0.910951352808269	Non-significant
OXR1	Oxr1	Hypomethylated	0.0337504539336586	0.0440387011602899	TRUE	Hypermethylated	0.0616807386609301	0.00562268944556423	Discordant
PHYHIP	Phyhip	Hypomethylated	0.0589616483235808	0.11840251416711	FALSE	Hypermethylated	0.00824527828497734	0.977025115620189	Non-significant
PNOC	Pnoc	Hypomethylated	0.0181344429170132	0.668654434449029	FALSE	Hypermethylated	-0.0313626553651355	0.490273156685718	Non-significant
PREX2	Prex2	Hypomethylated	0.02864967214148	0.455506178623074	FALSE	Hypermethylated	0.0212655785383008	0.598529588993147	Non-significant
PRKDC	Prkdc	Hypomethylated	0	0.873394331718013	FALSE	Hypomethylated	0	0.948974124144273	Non-significant
PTP4A3	Ptp4a3	Hypomethylated	-0.0556760571634242	0.354509742711044	FALSE	Hypomethylated	0.0418491211882264	0.647767859792244	Non-significant
RAB2A	Rab2a	Hypomethylated	-0.0677308283925908	0.606041471578994	FALSE	Hypomethylated	-0.00261640665052609	0.997918750449046	Non-significant
RIMS2	Rims2	Hypomethylated	NA	NA	NA	NA	NA	NA	Not in data
RP1	Rp1	Hypomethylated	0.00757900728268657	0.957263478586641	FALSE	Hypermethylated	0.00119940728503589	0.994914971003319	Non-significant
RRM2B	Rrm2b	Hypomethylated	0.0291211996492578	0.560542248889945	FALSE	Hypermethylated	-0.0158803700206701	0.903985864213558	Non-significant
RUNX1T1	Runx1t1	Hypomethylated	0.0268766434039286	0.672245681938907	FALSE	Hypermethylated	0.0127257918337794	0.932044080165675	Non-significant
SDC2	Sdc2	Hypomethylated	-0.0104459942164309	0.992682401297985	FALSE	Hypomethylated	0.0171359059382973	0.952053426482724	Non-significant
SLA	Sla	Hypomethylated	-0.0704248366013072	0.78967728522015	FALSE	Hypomethylated	0.105561391223156	0.726169182623321	Non-significant
SPAG1	Spag1	Hypomethylated	0.0690496989994591	0.0042089444249377	TRUE	Hypermethylated	-0.0590226123541079	0.00513690928034574	Discordant
ST3GAL1	St3gal1	Hypomethylated	-0.0347320337607983	0.424730467785936	FALSE	Hypomethylated	0.0603381560077656	0.0597747962876511	Non-significant
STMN2	Stmn2	Hypomethylated	0.0222494799626058	0.830653698386147	FALSE	Hypermethylated	-0.0178236077549929	0.929715049474371	Non-significant
TCEB1	Eloc	Hypomethylated	0.0118557566331392	0.474440983992504	FALSE	Hypermethylated	0.00297482252051979	0.917379598269984	Non-significant
TNFRSF10C	Tnfrsf22	Hypomethylated	-0.00359276744648834	0.881854808931912	FALSE	Hypomethylated	0.0119619181503703	0.851748380476482	Non-significant
TNFRSF11B	Tnfrsf11b	Hypomethylated	-0.0211522447357274	0.505295921763118	FALSE	Hypomethylated	0.000926254773548602	0.999847485459188	Non-significant
TOX	Tox	Hypomethylated	-0.0620907384560276	0.101545856519145	FALSE	Hypomethylated	0.00245070731063039	0.970759358539181	Non-significant
TPD52	Tpd52	Hypomethylated	0.0297810757584749	0.609995174607113	FALSE	Hypermethylated	0.0251982327896838	0.638519707141185	Non-significant
TRAM1	Tram1	Hypomethylated	0.0296883323406709	0.488342547095382	FALSE	Hypermethylated	0.0229945416844198	0.512788269527844	Non-significant
TRIB1	Trib1	Hypomethylated	0.0276276378748919	0.25639660677638	FALSE	Hypermethylated	0.0151276378748919	0.649932374853127	Non-significant
TSPYL5	Tspyl5	Hypomethylated	-0.00104161256770291	0.959352157510112	FALSE	Hypomethylated	0.0292813156041631	0.67609917048374	Non-significant
UBE2V2	Ube2v2	Hypomethylated	-0.0182641619218245	0.801042051054956	FALSE	Hypomethylated	0.0101910958685655	0.93168518472273	Non-significant
XKR4	Xkr4	Hypomethylated	NA	NA	NA	NA	NA	NA	Not in data
ZFPM2	Zfpm2	Hypomethylated	0.0224449202115447	0.101347459438142	FALSE	Hypermethylated	0.0413815607213148	0.0300214789359376	Non-significant
